Time,Miami,Score,New Orleans,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
9:16.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by T. Herro),8-4, ,,1,8,4,4,164.0
9:01.0, ,8-4,C. McCollum misses 2-pt layup from 2 ft,,1,8,4,4,179.0
8:59.0,Defensive rebound by J. Butler,8-4, ,,1,8,4,4,181.0
8:44.0,B. Adebayo makes 2-pt layup from 2 ft (assist by T. Herro),10-4, ,,1,10,4,6,196.0
8:35.0, ,10-4,C. McCollum misses 2-pt jump shot from 12 ft,,1,10,4,6,205.0
8:30.0,Defensive rebound by B. Adebayo,10-4, ,,1,10,4,6,210.0
8:21.0,T. Herro makes 2-pt jump shot from 13 ft,12-4, ,,1,12,4,8,219.0
8:07.0, ,12-6,J. Valančiūnas makes 2-pt layup from 2 ft (assist by C. McCollum),,1,12,6,6,233.0
7:43.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by T. Herro),14-6, ,,1,14,6,8,257.0
7:26.0, ,14-6,J. Valančiūnas misses 2-pt jump shot from 10 ft,,1,14,6,8,274.0
7:25.0,Defensive rebound by T. Herro,14-6, ,,1,14,6,8,275.0
7:17.0,B. Adebayo misses 2-pt jump shot from 9 ft,14-6, ,,1,14,6,8,283.0
7:15.0,Offensive rebound by K. Lowry,14-6, ,,1,14,6,8,285.0
7:14.0,T. Herro misses 3-pt jump shot from 26 ft,14-6, ,,1,14,6,8,286.0
7:14.0, ,14-6,Defensive rebound by T. Murphy,,1,14,6,8,286.0
7:06.0, ,14-8,D. Daniels makes 2-pt layup from 2 ft (assist by T. Murphy),,1,14,8,6,294.0
6:49.0,J. Butler makes 2-pt jump shot from 10 ft,16-8, ,,1,16,8,8,311.0
6:49.0,Shooting foul by C. McCollum (drawn by J. Butler),16-8, ,,1,16,8,8,311.0
6:49.0, ,16-8,New Orleans full timeout,,1,16,8,8,311.0
6:49.0, ,16-8,J. Alvarado enters the game for N. Marshall,,1,16,8,8,311.0
6:49.0,J. Butler misses free throw 1 of 1,16-8, ,,1,16,8,8,311.0
6:46.0, ,16-8,Defensive rebound by D. Daniels,,1,16,8,8,314.0
6:32.0, ,16-8,J. Alvarado misses 3-pt jump shot from 25 ft,,1,16,8,8,328.0
6:28.0,Defensive rebound by K. Lowry,16-8, ,,1,16,8,8,332.0
6:24.0,J. Butler misses 2-pt layup from 2 ft (block by J. Alvarado),16-8, ,,1,16,8,8,336.0
6:21.0, ,16-8,Defensive rebound by J. Alvarado,,1,16,8,8,339.0
6:16.0, ,16-8,Turnover by D. Daniels (bad pass; steal by T. Herro),,1,16,8,8,344.0
6:12.0,J. Butler makes 2-pt layup from 2 ft (assist by T. Herro),18-8, ,,1,18,8,10,348.0
5:55.0, ,18-8,Turnover by J. Alvarado (bad pass; steal by C. Martin),,1,18,8,10,365.0
5:42.0,B. Adebayo makes 2-pt jump shot from 14 ft (assist by K. Lowry),20-8, ,,1,20,8,12,378.0
5:24.0, ,20-8,Offensive foul by J. Valančiūnas (drawn by B. Adebayo),,1,20,8,12,396.0
5:24.0, ,20-8,Turnover by J. Valančiūnas (offensive foul),,1,20,8,12,396.0
5:24.0,V. Oladipo enters the game for B. Adebayo,20-8, ,,1,20,8,12,396.0
5:24.0,O. Robinson enters the game for C. Martin,20-8, ,,1,20,8,12,396.0
5:24.0, ,20-8,W. Hernangómez enters the game for T. Murphy,,1,20,8,12,396.0
5:24.0, ,20-8,L. Nance enters the game for J. Valančiūnas,,1,20,8,12,396.0
5:00.0,O. Robinson makes 2-pt layup from 1 ft (assist by V. Oladipo),22-8, ,,1,22,8,14,420.0
4:51.0, ,22-8,C. McCollum misses 2-pt jump shot from 15 ft,,1,22,8,14,429.0
4:47.0,Defensive rebound by V. Oladipo,22-8, ,,1,22,8,14,433.0
4:45.0,T. Herro misses 3-pt jump shot from 26 ft,22-8, ,,1,22,8,14,435.0
4:40.0,Offensive rebound by J. Butler,22-8, ,,1,22,8,14,440.0
4:39.0,K. Lowry misses 3-pt jump shot from 28 ft,22-8, ,,1,22,8,14,441.0
4:36.0, ,22-8,Defensive rebound by C. McCollum,,1,22,8,14,444.0
4:30.0, ,22-8,Turnover by C. McCollum (lost ball; steal by O. Robinson),,1,22,8,14,450.0
4:27.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. Herro),24-8, ,,1,24,8,16,453.0
4:27.0, ,24-8,New Orleans full timeout,,1,24,8,16,453.0
4:27.0, ,24-8,N. Marshall enters the game for D. Daniels,,1,24,8,16,453.0
4:12.0, ,24-8,N. Marshall misses 2-pt jump shot from 14 ft,,1,24,8,16,468.0
4:09.0,Defensive rebound by T. Herro,24-8, ,,1,24,8,16,471.0
4:03.0,Turnover by T. Herro (bad pass; steal by W. Hernangómez),24-8, ,,1,24,8,16,477.0
3:44.0, ,24-8,Personal foul by O. Robinson (drawn by W. Hernangómez),,1,24,8,16,496.0
3:44.0,M. Strus enters the game for T. Herro,24-8, ,,1,24,8,16,496.0
3:44.0,G. Vincent enters the game for K. Lowry,24-8, ,,1,24,8,16,496.0
3:32.0, ,24-8,C. McCollum misses 2-pt jump shot from 16 ft,,1,24,8,16,508.0
3:29.0,Defensive rebound by V. Oladipo,24-8, ,,1,24,8,16,511.0
3:18.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by M. Strus),27-8, ,,1,27,8,19,522.0
3:06.0, ,27-8,Shooting foul by O. Robinson (drawn by W. Hernangómez),,1,27,8,19,534.0
3:06.0, ,27-9,W. Hernangómez makes free throw 1 of 2,,1,27,9,18,534.0
3:06.0, ,27-10,W. Hernangómez makes free throw 2 of 2,,1,27,10,17,534.0
2:46.0,G. Vincent makes 3-pt jump shot from 27 ft (assist by J. Butler),30-10, ,,1,30,10,20,554.0
2:25.0, ,30-10,J. Alvarado misses 2-pt jump shot from 7 ft,,1,30,10,20,575.0
2:24.0, ,30-10,Offensive rebound by L. Nance,,1,30,10,20,576.0
2:17.0, ,30-13,C. McCollum makes 3-pt jump shot from 26 ft (assist by L. Nance),,1,30,13,17,583.0
2:02.0,O. Robinson misses 2-pt layup from 4 ft,30-13, ,,1,30,13,17,598.0
2:00.0, ,30-13,Defensive rebound by N. Marshall,,1,30,13,17,600.0
1:56.0, ,30-15,C. McCollum makes 2-pt layup from 4 ft (assist by N. Marshall),,1,30,15,15,604.0
1:48.0,Miami full timeout,30-15, ,,1,30,15,15,612.0
1:48.0,B. Adebayo enters the game for J. Butler,30-15, ,,1,30,15,15,612.0
1:48.0,C. Martin enters the game for O. Robinson,30-15, ,,1,30,15,15,612.0
1:44.0,V. Oladipo makes 2-pt layup from 1 ft (assist by M. Strus),32-15, ,,1,32,15,17,616.0
1:27.0, ,32-18,C. McCollum makes 3-pt jump shot from 25 ft (assist by L. Nance),,1,32,18,14,633.0
1:08.0,G. Vincent misses 3-pt jump shot from 23 ft,32-18, ,,1,32,18,14,652.0
1:05.0, ,32-18,Defensive rebound by N. Marshall,,1,32,18,14,655.0
0:57.0, ,32-18,Shooting foul by V. Oladipo (drawn by N. Marshall),,1,32,18,14,663.0
0:57.0, ,32-19,N. Marshall makes free throw 1 of 2,,1,32,19,13,663.0
0:57.0, ,32-19,D. Graham enters the game for C. McCollum,,1,32,19,13,663.0
0:57.0, ,32-20,N. Marshall makes free throw 2 of 2,,1,32,20,12,663.0
0:52.0,Shooting foul by W. Hernangómez (drawn by B. Adebayo),32-20, ,,1,32,20,12,668.0
0:52.0,B. Adebayo misses free throw 1 of 2,32-20, ,,1,32,20,12,668.0
0:52.0,Offensive rebound by Team,32-20, ,,1,32,20,12,668.0
0:52.0,B. Adebayo makes free throw 2 of 2,33-20, ,,1,33,20,13,668.0
0:37.0, ,33-22,N. Marshall makes 2-pt layup from 4 ft (assist by W. Hernangómez),,1,33,22,11,683.0
0:37.0, ,33-22,Shooting foul by G. Vincent (drawn by N. Marshall),,1,33,22,11,683.0
0:37.0, ,33-23,N. Marshall makes free throw 1 of 1,,1,33,23,10,683.0
0:31.0,M. Strus misses 3-pt jump shot from 27 ft,33-23, ,,1,33,23,10,689.0
0:28.0, ,33-23,Defensive rebound by W. Hernangómez,,1,33,23,10,692.0
0:05.0, ,33-23,N. Marshall misses 2-pt jump shot from 12 ft,,1,33,23,10,715.0
0:03.0,Defensive rebound by V. Oladipo,33-23, ,,1,33,23,10,717.0
0:00.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by M. Strus),36-23, ,,1,36,23,13,720.0
0:00.0,Instant Replay (Request: Stands),36-23, ,,1,36,23,13,720.0
0:00.0,End of 1st quarter,36-23,,,1,36,23,13,720.0
12:00.0,Start of 2nd quarter,36-23,,,2,36,23,13,720.0
11:40.0, ,36-25,J. Valančiūnas makes 2-pt jump shot from 11 ft (assist by D. Graham),,2,36,25,11,740.0
11:19.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),39-25, ,,2,39,25,14,761.0
11:08.0, ,39-25,T. Murphy misses 3-pt jump shot from 32 ft,,2,39,25,14,772.0
11:03.0,Defensive rebound by B. Adebayo,39-25, ,,2,39,25,14,777.0
11:03.0,Turnover by B. Adebayo (bad pass),39-25, ,,2,39,25,14,777.0
10:57.0, ,39-25,N. Marshall misses 3-pt jump shot from 26 ft,,2,39,25,14,783.0
10:53.0,Defensive rebound by B. Adebayo,39-25, ,,2,39,25,14,787.0
10:45.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by M. Strus),41-25, ,,2,41,25,16,795.0
10:28.0, ,41-25,Turnover by D. Graham (lost ball; steal by C. Martin),,2,41,25,16,812.0
10:24.0,M. Strus makes 2-pt layup from 3 ft,43-25, ,,2,43,25,18,816.0
10:04.0, ,43-25,J. Valančiūnas misses 2-pt jump shot from 6 ft,,2,43,25,18,836.0
10:02.0,Defensive rebound by B. Adebayo,43-25, ,,2,43,25,18,838.0
9:57.0,B. Adebayo makes 2-pt layup from 4 ft,45-25, ,,2,45,25,20,843.0
9:57.0, ,45-25,New Orleans full timeout,,2,45,25,20,843.0
9:42.0, ,45-28,J. Alvarado makes 3-pt jump shot from 23 ft (assist by N. Marshall),,2,45,28,17,858.0
9:20.0,M. Strus misses 3-pt jump shot from 25 ft,45-28, ,,2,45,28,17,880.0
9:17.0, ,45-28,Defensive rebound by N. Marshall,,2,45,28,17,883.0
9:04.0, ,45-28,T. Murphy misses 3-pt jump shot from 23 ft,,2,45,28,17,896.0
9:00.0,Defensive rebound by V. Oladipo,45-28, ,,2,45,28,17,900.0
8:58.0,Shooting foul by J. Alvarado (drawn by C. Martin),45-28, ,,2,45,28,17,902.0
8:58.0, ,45-28,New Orleans full timeout,,2,45,28,17,902.0
8:58.0, ,45-28,Instant Replay (Challenge: Stands),,2,45,28,17,902.0
8:58.0,C. Martin makes free throw 1 of 2,46-28, ,,2,46,28,18,902.0
8:58.0,C. Martin makes free throw 2 of 2,47-28, ,,2,47,28,19,902.0
8:34.0, ,47-28,D. Graham misses 2-pt jump shot from 10 ft,,2,47,28,19,926.0
8:31.0,Defensive rebound by G. Vincent,47-28, ,,2,47,28,19,929.0
8:28.0,Personal foul by D. Graham (drawn by B. Adebayo),47-28, ,,2,47,28,19,932.0
8:20.0,B. Adebayo makes 2-pt jump shot from 13 ft (assist by V. Oladipo),49-28, ,,2,49,28,21,940.0
8:04.0, ,49-30,N. Marshall makes 2-pt jump shot from 8 ft (assist by T. Murphy),,2,49,30,19,956.0
7:44.0,B. Adebayo misses 2-pt jump shot from 14 ft,49-30, ,,2,49,30,19,976.0
7:42.0, ,49-30,Defensive rebound by J. Valančiūnas,,2,49,30,19,978.0
7:34.0, ,49-30,Shooting foul by C. Martin (drawn by J. Valančiūnas),,2,49,30,19,986.0
7:34.0, ,49-31,J. Valančiūnas makes free throw 1 of 2,,2,49,31,18,986.0
7:34.0,J. Butler enters the game for B. Adebayo,49-31, ,,2,49,31,18,986.0
7:34.0,T. Herro enters the game for C. Martin,49-31, ,,2,49,31,18,986.0
7:34.0,O. Robinson enters the game for V. Oladipo,49-31, ,,2,49,31,18,986.0
7:34.0, ,49-31,D. Daniels enters the game for J. Alvarado,,2,49,31,18,986.0
7:34.0, ,49-31,C. McCollum enters the game for N. Marshall,,2,49,31,18,986.0
7:34.0, ,49-31,J. Valančiūnas misses free throw 2 of 2,,2,49,31,18,986.0
7:31.0,Defensive rebound by M. Strus,49-31, ,,2,49,31,18,989.0
7:11.0,G. Vincent misses 3-pt jump shot from 31 ft,49-31, ,,2,49,31,18,1009.0
7:09.0,Offensive rebound by M. Strus,49-31, ,,2,49,31,18,1011.0
6:58.0,J. Butler misses 3-pt jump shot from 23 ft,49-31, ,,2,49,31,18,1022.0
6:54.0, ,49-31,Defensive rebound by D. Graham,,2,49,31,18,1026.0
6:49.0, ,49-31,T. Murphy misses 2-pt layup from 2 ft,,2,49,31,18,1031.0
6:47.0,Defensive rebound by G. Vincent,49-31, ,,2,49,31,18,1033.0
6:39.0,O. Robinson makes 2-pt hook shot from 6 ft (assist by J. Butler),51-31, ,,2,51,31,20,1041.0
6:19.0, ,51-31,D. Daniels misses 2-pt hook shot from 6 ft,,2,51,31,20,1061.0
6:15.0,Defensive rebound by G. Vincent,51-31, ,,2,51,31,20,1065.0
6:01.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),54-31, ,,2,54,31,23,1079.0
5:45.0, ,54-31,J. Valančiūnas misses 2-pt jump shot from 5 ft,,2,54,31,23,1095.0
5:43.0,Defensive rebound by G. Vincent,54-31, ,,2,54,31,23,1097.0
5:25.0,G. Vincent misses 3-pt jump shot from 26 ft,54-31, ,,2,54,31,23,1115.0
5:22.0, ,54-31,Defensive rebound by D. Graham,,2,54,31,23,1118.0
5:16.0, ,54-34,D. Graham makes 3-pt jump shot from 26 ft,,2,54,34,20,1124.0
5:15.0, ,54-34,Loose ball foul by J. Valančiūnas (drawn by O. Robinson),,2,54,34,20,1125.0
5:15.0,Miami full timeout,54-34, ,,2,54,34,20,1125.0
5:15.0,K. Lowry enters the game for G. Vincent,54-34, ,,2,54,34,20,1125.0
5:15.0, ,54-34,L. Nance enters the game for J. Valančiūnas,,2,54,34,20,1125.0
4:51.0,M. Strus misses 3-pt jump shot from 26 ft,54-34, ,,2,54,34,20,1149.0
4:48.0,Offensive rebound by K. Lowry,54-34, ,,2,54,34,20,1152.0
4:46.0,Offensive foul by M. Strus (drawn by L. Nance),54-34, ,,2,54,34,20,1154.0
4:46.0,Turnover by M. Strus (offensive foul),54-34, ,,2,54,34,20,1154.0
4:34.0, ,54-37,C. McCollum makes 3-pt jump shot from 27 ft (assist by L. Nance),,2,54,37,17,1166.0
4:21.0,J. Butler makes 2-pt jump shot from 8 ft,56-37, ,,2,56,37,19,1179.0
4:21.0,Shooting foul by D. Daniels (drawn by J. Butler),56-37, ,,2,56,37,19,1179.0
4:21.0,V. Oladipo enters the game for M. Strus,56-37, ,,2,56,37,19,1179.0
4:21.0, ,56-37,J. Alvarado enters the game for D. Graham,,2,56,37,19,1179.0
4:21.0, ,56-37,N. Marshall enters the game for T. Murphy,,2,56,37,19,1179.0
4:21.0,J. Butler makes free throw 1 of 1,57-37, ,,2,57,37,20,1179.0
4:12.0, ,57-37,Shooting foul by V. Oladipo (drawn by L. Nance),,2,57,37,20,1188.0
4:12.0, ,57-37,L. Nance misses free throw 1 of 2,,2,57,37,20,1188.0
4:12.0, ,57-37,Offensive rebound by Team,,2,57,37,20,1188.0
4:12.0, ,57-37,L. Nance misses free throw 2 of 2,,2,57,37,20,1188.0
4:09.0,Defensive rebound by T. Herro,57-37, ,,2,57,37,20,1191.0
3:51.0,T. Herro makes 2-pt layup from 1 ft (assist by K. Lowry),59-37, ,,2,59,37,22,1209.0
3:41.0, ,59-40,N. Marshall makes 3-pt jump shot from 23 ft (assist by L. Nance),,2,59,40,19,1219.0
3:19.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by K. Lowry),62-40, ,,2,62,40,22,1241.0
2:59.0, ,62-40,Turnover by C. McCollum (bad pass; steal by O. Robinson),,2,62,40,22,1261.0
2:35.0,J. Butler misses 2-pt jump shot from 13 ft,62-40, ,,2,62,40,22,1285.0
2:34.0,Offensive rebound by Team,62-40, ,,2,62,40,22,1286.0
2:34.0,Flagrant foul type 1 by C. McCollum (drawn by O. Robinson),62-40, ,,2,62,40,22,1286.0
2:34.0,Instant Replay (Request: Ruling Stands),62-40, ,,2,62,40,22,1286.0
2:34.0,O. Robinson makes flagrant free throw 1 of 2,63-40, ,,2,63,40,23,1286.0
2:34.0,O. Robinson makes flagrant free throw 2 of 2,64-40, ,,2,64,40,24,1286.0
2:34.0,B. Adebayo enters the game for O. Robinson,64-40, ,,2,64,40,24,1286.0
2:27.0,T. Herro makes 2-pt layup from 2 ft (assist by J. Butler),66-40, ,,2,66,40,26,1293.0
2:14.0, ,66-43,C. McCollum makes 3-pt jump shot from 24 ft (assist by L. Nance),,2,66,43,23,1306.0
1:56.0,T. Herro misses 3-pt jump shot from 23 ft,66-43, ,,2,66,43,23,1324.0
1:53.0, ,66-43,Defensive rebound by N. Marshall,,2,66,43,23,1327.0
1:44.0, ,66-43,Personal foul by B. Adebayo (drawn by C. McCollum),,2,66,43,23,1336.0
1:40.0, ,66-46,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Alvarado),,2,66,46,20,1340.0
1:18.0,T. Herro makes 2-pt jump shot from 9 ft (assist by J. Butler),68-46, ,,2,68,46,22,1362.0
1:05.0, ,68-46,J. Alvarado misses 2-pt jump shot from 3 ft,,2,68,46,22,1375.0
1:03.0,Defensive rebound by J. Butler,68-46, ,,2,68,46,22,1377.0
1:00.0,T. Herro makes 2-pt layup from 3 ft (assist by J. Butler),70-46, ,,2,70,46,24,1380.0
0:41.0, ,70-48,N. Marshall makes 2-pt layup from 2 ft (assist by C. McCollum),,2,70,48,22,1399.0
0:30.0,V. Oladipo misses 2-pt jump shot from 12 ft,70-48, ,,2,70,48,22,1410.0
0:27.0, ,70-48,Defensive rebound by D. Daniels,,2,70,48,22,1413.0
0:06.0, ,70-51,J. Alvarado makes 3-pt jump shot from 26 ft (assist by D. Daniels),,2,70,51,19,1434.0
0:00.0,J. Butler misses 2-pt layup from 6 ft,70-51, ,,2,70,51,19,1440.0
0:00.0,Offensive rebound by Team,70-51, ,,2,70,51,19,1440.0
0:00.0,End of 2nd quarter,70-51,,,2,70,51,19,1440.0
12:00.0,Start of 3rd quarter,70-51,,,3,70,51,19,1440.0
11:48.0, ,70-51,C. McCollum misses 3-pt jump shot from 25 ft,,3,70,51,19,1452.0
11:44.0,Defensive rebound by K. Lowry,70-51, ,,3,70,51,19,1456.0
11:21.0,J. Butler makes 2-pt jump shot from 11 ft (assist by K. Lowry),72-51, ,,3,72,51,21,1479.0
11:10.0, ,72-51,Turnover by C. McCollum (bad pass),,3,72,51,21,1490.0
11:02.0,Turnover by B. Adebayo (bad pass; steal by T. Murphy),72-51, ,,3,72,51,21,1498.0
10:44.0, ,72-51,N. Marshall misses 2-pt jump shot from 6 ft,,3,72,51,21,1516.0
10:42.0,Defensive rebound by C. Martin,72-51, ,,3,72,51,21,1518.0
10:38.0,T. Herro misses 3-pt jump shot from 27 ft,72-51, ,,3,72,51,21,1522.0
10:34.0, ,72-51,Defensive rebound by J. Valančiūnas,,3,72,51,21,1526.0
10:17.0, ,72-53,C. McCollum makes 2-pt jump shot from 7 ft,,3,72,53,19,1543.0
10:01.0,K. Lowry misses 3-pt jump shot from 26 ft,72-53, ,,3,72,53,19,1559.0
9:57.0, ,72-53,Defensive rebound by C. McCollum,,3,72,53,19,1563.0
9:43.0, ,72-53,T. Murphy misses 3-pt jump shot from 24 ft,,3,72,53,19,1577.0
9:39.0,Defensive rebound by K. Lowry,72-53, ,,3,72,53,19,1581.0
9:36.0,Turnover by C. Martin (lost ball; steal by C. McCollum),72-53, ,,3,72,53,19,1584.0
9:31.0, ,72-56,T. Murphy makes 3-pt jump shot from 26 ft (assist by C. McCollum),,3,72,56,16,1589.0
9:10.0,T. Herro misses 3-pt jump shot from 26 ft,72-56, ,,3,72,56,16,1610.0
9:06.0, ,72-56,Defensive rebound by T. Murphy,,3,72,56,16,1614.0
8:56.0, ,72-56,N. Marshall misses 2-pt layup from 2 ft,,3,72,56,16,1624.0
8:53.0, ,72-56,Offensive rebound by J. Valančiūnas,,3,72,56,16,1627.0
8:53.0, ,72-58,J. Valančiūnas makes 2-pt layup at rim,,3,72,58,14,1627.0
8:42.0,Turnover by J. Butler (bad pass),72-58, ,,3,72,58,14,1638.0
8:23.0, ,72-58,Turnover by J. Valančiūnas (lost ball; steal by B. Adebayo),,3,72,58,14,1657.0
8:19.0,B. Adebayo misses 2-pt layup from 3 ft (block by C. McCollum),72-58, ,,3,72,58,14,1661.0
8:19.0,Offensive rebound by Team,72-58, ,,3,72,58,14,1661.0
8:07.0,Shooting foul by D. Daniels (drawn by T. Herro),72-58, ,,3,72,58,14,1673.0
8:07.0,T. Herro makes free throw 1 of 2,73-58, ,,3,73,58,15,1673.0
8:07.0,T. Herro makes free throw 2 of 2,74-58, ,,3,74,58,16,1673.0
7:50.0, ,74-58,C. McCollum misses 2-pt jump shot from 12 ft,,3,74,58,16,1690.0
7:50.0, ,74-58,Offensive rebound by Team,,3,74,58,16,1690.0
7:50.0,Loose ball foul by K. Lowry (drawn by J. Valančiūnas),74-58, ,,3,74,58,16,1690.0
7:44.0, ,74-58,N. Marshall misses 3-pt jump shot from 25 ft,,3,74,58,16,1696.0
7:40.0, ,74-58,Offensive rebound by J. Valančiūnas,,3,74,58,16,1700.0
7:36.0, ,74-60,J. Valančiūnas makes 2-pt hook shot from 5 ft,,3,74,60,14,1704.0
7:20.0,J. Butler makes 2-pt layup from 4 ft (assist by T. Herro),76-60, ,,3,76,60,16,1720.0
7:20.0,Shooting foul by C. McCollum (drawn by J. Butler),76-60, ,,3,76,60,16,1720.0
7:20.0,J. Butler makes free throw 1 of 1,77-60, ,,3,77,60,17,1720.0
7:10.0, ,77-62,D. Daniels makes 2-pt layup from 2 ft (assist by C. McCollum),,3,77,62,15,1730.0
6:49.0,J. Butler makes 2-pt hook shot from 6 ft (assist by T. Herro),79-62, ,,3,79,62,17,1751.0
6:39.0, ,79-62,C. McCollum misses 3-pt jump shot from 22 ft,,3,79,62,17,1761.0
6:36.0,Defensive rebound by K. Lowry,79-62, ,,3,79,62,17,1764.0
6:35.0,Turnover by K. Lowry (lost ball; steal by D. Daniels),79-62, ,,3,79,62,17,1765.0
6:30.0, ,79-62,N. Marshall misses 2-pt jump shot from 12 ft (block by B. Adebayo),,3,79,62,17,1770.0
6:26.0,Defensive rebound by K. Lowry,79-62, ,,3,79,62,17,1774.0
6:20.0,K. Lowry makes 3-pt jump shot from 22 ft (assist by J. Butler),82-62, ,,3,82,62,20,1780.0
5:58.0, ,82-64,C. McCollum makes 2-pt jump shot from 6 ft,,3,82,64,18,1802.0
5:54.0,T. Herro misses 3-pt jump shot from 26 ft,82-64, ,,3,82,64,18,1806.0
5:54.0,Offensive rebound by Team,82-64, ,,3,82,64,18,1806.0
5:54.0, ,82-64,Loose ball foul by C. McCollum (drawn by J. Butler),,3,82,64,18,1806.0
5:54.0, ,82-64,New Orleans full timeout,,3,82,64,18,1806.0
5:54.0, ,82-64,J. Alvarado enters the game for C. McCollum,,3,82,64,18,1806.0
5:46.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),84-64, ,,3,84,64,20,1814.0
5:22.0, ,84-64,J. Alvarado misses 2-pt jump shot from 18 ft,,3,84,64,20,1838.0
5:20.0, ,84-64,Offensive rebound by D. Daniels,,3,84,64,20,1840.0
5:14.0, ,84-64,Turnover by D. Daniels (bad pass; steal by T. Herro),,3,84,64,20,1846.0
5:07.0,T. Herro misses 3-pt jump shot from 26 ft,84-64, ,,3,84,64,20,1853.0
5:03.0, ,84-64,Defensive rebound by J. Valančiūnas,,3,84,64,20,1857.0
4:56.0, ,84-64,D. Daniels misses 3-pt jump shot from 25 ft,,3,84,64,20,1864.0
4:54.0,Defensive rebound by Team,84-64, ,,3,84,64,20,1866.0
4:54.0,V. Oladipo enters the game for B. Adebayo,84-64, ,,3,84,64,20,1866.0
4:54.0,O. Robinson enters the game for C. Martin,84-64, ,,3,84,64,20,1866.0
4:54.0, ,84-64,D. Graham enters the game for D. Daniels,,3,84,64,20,1866.0
4:36.0,O. Robinson misses 2-pt layup from 6 ft (block by J. Alvarado),84-64, ,,3,84,64,20,1884.0
4:36.0,Offensive rebound by Team,84-64, ,,3,84,64,20,1884.0
4:31.0,J. Butler misses 2-pt jump shot from 9 ft,84-64, ,,3,84,64,20,1889.0
4:31.0,Offensive rebound by Team,84-64, ,,3,84,64,20,1889.0
4:21.0,V. Oladipo makes 2-pt layup from 2 ft (assist by J. Butler),86-64, ,,3,86,64,22,1899.0
4:11.0, ,86-64,T. Murphy misses 3-pt jump shot from 23 ft,,3,86,64,22,1909.0
4:11.0, ,86-64,Offensive rebound by Team,,3,86,64,22,1909.0
4:10.0,Loose ball foul by O. Robinson (drawn by J. Valančiūnas),86-64, ,,3,86,64,22,1910.0
4:06.0, ,86-64,N. Marshall misses 3-pt jump shot from 25 ft,,3,86,64,22,1914.0
4:02.0,Defensive rebound by K. Lowry,86-64, ,,3,86,64,22,1918.0
3:47.0,O. Robinson misses 2-pt jump shot from 10 ft,86-64, ,,3,86,64,22,1933.0
3:45.0, ,86-64,Defensive rebound by D. Graham,,3,86,64,22,1935.0
3:42.0, ,86-67,J. Alvarado makes 3-pt jump shot from 23 ft (assist by T. Murphy),,3,86,67,19,1938.0
3:30.0,Miami full timeout,86-67, ,,3,86,67,19,1950.0
