Time,Houston,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
8:54.0, ,35-37,Shooting foul by U. Garuba (drawn by B. Adebayo),,2,37,35,2,906.0
8:54.0, ,35-38,B. Adebayo makes free throw 1 of 2,,2,38,35,3,906.0
8:54.0,J. Christopher enters the game for J. Green,35-38, ,,2,38,35,3,906.0
8:54.0, ,35-39,B. Adebayo makes free throw 2 of 2,,2,39,35,4,906.0
8:32.0,Shooting foul by H. Highsmith (drawn by K. Martin),35-39, ,,2,39,35,4,928.0
8:32.0,K. Martin makes free throw 1 of 2,36-39, ,,2,39,36,3,928.0
8:32.0,K. Martin misses free throw 2 of 2,36-39, ,,2,39,36,3,928.0
8:29.0, ,36-39,Defensive rebound by B. Adebayo,,2,39,36,3,931.0
8:21.0, ,36-41,B. Adebayo makes 2-pt dunk from 5 ft (assist by T. Herro),,2,41,36,5,939.0
8:16.0,Houston full timeout,36-41, ,,2,41,36,5,944.0
8:07.0,K. Martin makes 2-pt layup from 3 ft (assist by J. Christopher),38-41, ,,2,41,38,3,953.0
8:07.0,Shooting foul by H. Highsmith (drawn by K. Martin),38-41, ,,2,41,38,3,953.0
8:07.0,K. Martin makes free throw 1 of 1,39-41, ,,2,41,39,2,953.0
7:57.0, ,39-41,Personal foul by U. Garuba (drawn by T. Herro),,2,41,39,2,963.0
7:43.0, ,39-41,B. Adebayo misses 2-pt jump shot from 15 ft,,2,41,39,2,977.0
7:37.0,Defensive rebound by T. Washington,39-41, ,,2,41,39,2,983.0
7:32.0,T. Washington misses 2-pt jump shot from 9 ft,39-41, ,,2,41,39,2,988.0
7:26.0,Offensive rebound by T. Washington,39-41, ,,2,41,39,2,994.0
7:25.0,U. Garuba makes 2-pt layup from 4 ft (assist by T. Washington),41-41, ,Tie,2,41,41,0,995.0
7:15.0, ,41-44,M. Strus makes 3-pt jump shot from 28 ft (assist by T. Herro),,2,44,41,3,1005.0
6:55.0,Turnover by J. Christopher (bad pass),41-44, ,,2,44,41,3,1025.0
6:55.0,A. Sengun enters the game for T. Eason,41-44, ,,2,44,41,3,1025.0
6:55.0,J. Tate enters the game for U. Garuba,41-44, ,,2,44,41,3,1025.0
6:55.0, ,41-44,C. Martin enters the game for H. Highsmith,,2,44,41,3,1025.0
6:43.0, ,41-46,B. Adebayo makes 2-pt layup from 3 ft (assist by T. Herro),,2,46,41,5,1037.0
6:25.0,Shooting foul by M. Strus (drawn by T. Washington),41-46, ,,2,46,41,5,1055.0
6:25.0,T. Washington misses free throw 1 of 2,41-46, ,,2,46,41,5,1055.0
6:25.0,Offensive rebound by Team,41-46, ,,2,46,41,5,1055.0
6:25.0,T. Washington makes free throw 2 of 2,42-46, ,,2,46,42,4,1055.0
6:08.0, ,42-46,M. Strus misses 3-pt jump shot from 26 ft,,2,46,42,4,1072.0
6:05.0,Defensive rebound by T. Washington,42-46, ,,2,46,42,4,1075.0
5:57.0,J. Christopher misses 2-pt layup from 2 ft,42-46, ,,2,46,42,4,1083.0
5:55.0, ,42-46,Defensive rebound by T. Herro,,2,46,42,4,1085.0
5:55.0, ,42-46,Personal foul by J. Christopher (drawn by T. Herro),,2,46,42,4,1085.0
5:55.0,J. Smith enters the game for K. Martin,42-46, ,,2,46,42,4,1085.0
5:55.0, ,42-46,J. Butler enters the game for B. Adebayo,,2,46,42,4,1085.0
5:55.0, ,42-46,O. Robinson enters the game for J. Bouyea,,2,46,42,4,1085.0
5:55.0, ,42-46,G. Vincent enters the game for T. Herro,,2,46,42,4,1085.0
5:36.0, ,42-46,G. Vincent misses 3-pt jump shot from 24 ft,,2,46,42,4,1104.0
5:33.0,Defensive rebound by A. Sengun,42-46, ,,2,46,42,4,1107.0
5:26.0,Shooting foul by C. Martin (drawn by J. Tate),42-46, ,,2,46,42,4,1114.0
5:26.0,J. Tate misses free throw 1 of 2,42-46, ,,2,46,42,4,1114.0
5:26.0,Offensive rebound by Team,42-46, ,,2,46,42,4,1114.0
5:26.0,J. Tate makes free throw 2 of 2,43-46, ,,2,46,43,3,1114.0
5:12.0, ,43-46,Shooting foul by J. Tate (drawn by M. Strus),,2,46,43,3,1128.0
5:12.0, ,43-47,M. Strus makes free throw 1 of 3,,2,47,43,4,1128.0
5:12.0, ,43-48,M. Strus makes free throw 2 of 3,,2,48,43,5,1128.0
5:12.0, ,43-49,M. Strus makes free throw 3 of 3,,2,49,43,6,1128.0
4:53.0,T. Washington misses 2-pt jump shot from 12 ft,43-49, ,,2,49,43,6,1147.0
4:49.0, ,43-49,Defensive rebound by C. Martin,,2,49,43,6,1151.0
4:29.0, ,43-49,C. Martin misses 2-pt jump shot from 12 ft,,2,49,43,6,1171.0
4:29.0,Defensive rebound by A. Sengun,43-49, ,,2,49,43,6,1171.0
4:29.0,Personal foul by C. Martin (drawn by A. Sengun),43-49, ,,2,49,43,6,1171.0
4:29.0,A. Sengun makes free throw 1 of 2,44-49, ,,2,49,44,5,1171.0
4:29.0,J. Green enters the game for J. Christopher,44-49, ,,2,49,44,5,1171.0
4:29.0,A. Sengun makes free throw 2 of 2,45-49, ,,2,49,45,4,1171.0
4:06.0, ,45-49,J. Butler misses 2-pt jump shot from 13 ft,,2,49,45,4,1194.0
4:02.0,Defensive rebound by A. Sengun,45-49, ,,2,49,45,4,1198.0
3:50.0,J. Green misses 2-pt layup from 3 ft,45-49, ,,2,49,45,4,1210.0
3:50.0,Offensive rebound by A. Sengun,45-49, ,,2,49,45,4,1210.0
3:49.0,A. Sengun makes 2-pt dunk at rim,47-49, ,,2,49,47,2,1211.0
3:36.0, ,47-49,G. Vincent misses 3-pt jump shot from 27 ft,,2,49,47,2,1224.0
3:32.0,Defensive rebound by J. Smith,47-49, ,,2,49,47,2,1228.0
3:25.0,Personal foul by M. Strus (drawn by A. Sengun),47-49, ,,2,49,47,2,1235.0
3:25.0,A. Sengun makes free throw 1 of 2,48-49, ,,2,49,48,1,1235.0
3:25.0,A. Sengun makes free throw 2 of 2,49-49, ,Tie,2,49,49,0,1235.0
3:07.0, ,49-49,J. Butler misses 3-pt jump shot from 23 ft,,2,49,49,0,1253.0
3:06.0, ,49-49,Offensive rebound by Team,,2,49,49,0,1254.0
3:03.0, ,49-49,Shooting foul by J. Smith (drawn by J. Butler),,2,49,49,0,1257.0
3:03.0, ,49-50,J. Butler makes free throw 1 of 2,,2,50,49,1,1257.0
3:03.0,K. Martin enters the game for T. Washington,49-50, ,,2,50,49,1,1257.0
3:03.0, ,49-51,J. Butler makes free throw 2 of 2,,2,51,49,2,1257.0
2:54.0,J. Tate makes 2-pt layup from 3 ft,51-51, ,Tie,2,51,51,0,1266.0
2:54.0,Shooting foul by O. Robinson (drawn by J. Tate),51-51, ,,2,51,51,0,1266.0
2:54.0, ,51-51,Miami full timeout,,2,51,51,0,1266.0
2:54.0, ,51-51,B. Adebayo enters the game for O. Robinson,,2,51,51,0,1266.0
2:54.0, ,51-51,T. Herro enters the game for M. Strus,,2,51,51,0,1266.0
2:54.0,J. Tate misses free throw 1 of 1,51-51, ,,2,51,51,0,1266.0
2:52.0, ,51-51,Defensive rebound by C. Martin,,2,51,51,0,1268.0
2:31.0, ,51-53,G. Vincent makes 2-pt jump shot from 20 ft (assist by C. Martin),,2,53,51,2,1289.0
2:06.0,A. Sengun misses 2-pt jump shot from 9 ft,51-53, ,,2,53,51,2,1314.0
1:59.0,Offensive rebound by J. Tate,51-53, ,,2,53,51,2,1321.0
1:58.0,J. Tate misses 2-pt layup from 3 ft (block by T. Herro),51-53, ,,2,53,51,2,1322.0
1:58.0, ,51-53,Defensive rebound by B. Adebayo,,2,53,51,2,1322.0
1:52.0, ,51-55,T. Herro makes 2-pt jump shot from 16 ft (assist by B. Adebayo),,2,55,51,4,1328.0
1:27.0,J. Green misses 3-pt jump shot from 27 ft,51-55, ,,2,55,51,4,1353.0
1:23.0,Offensive rebound by J. Green,51-55, ,,2,55,51,4,1357.0
1:22.0,K. Martin makes 2-pt layup from 2 ft (assist by J. Green),53-55, ,,2,55,53,2,1358.0
1:06.0, ,53-55,Turnover by G. Vincent (bad pass; steal by A. Sengun),,2,55,53,2,1374.0
1:00.0,J. Smith makes 2-pt jump shot from 7 ft (assist by K. Martin),55-55, ,Tie,2,55,55,0,1380.0
1:00.0,Shooting foul by C. Martin (drawn by J. Smith),55-55, ,,2,55,55,0,1380.0
1:00.0, ,55-55,M. Strus enters the game for C. Martin,,2,55,55,0,1380.0
1:00.0,J. Smith makes free throw 1 of 1,56-55, ,Lead change,2,55,56,-1,1380.0
0:46.0, ,56-58,M. Strus makes 3-pt jump shot from 27 ft (assist by G. Vincent),Lead change,2,58,56,2,1394.0
0:31.0,Turnover by J. Green (lost ball; steal by M. Strus),56-58, ,,2,58,56,2,1409.0
0:27.0, ,56-58,Offensive foul by B. Adebayo (drawn by J. Tate),,2,58,56,2,1413.0
0:27.0, ,56-58,Turnover by B. Adebayo (offensive foul),,2,58,56,2,1413.0
0:14.0,Turnover by A. Sengun (out of bounds lost ball),56-58, ,,2,58,56,2,1426.0
0:14.0,U. Garuba enters the game for J. Green,56-58, ,,2,58,56,2,1426.0
0:14.0,D. Nix enters the game for A. Sengun,56-58, ,,2,58,56,2,1426.0
0:01.0, ,56-58,Turnover by T. Herro (lost ball; steal by K. Martin),,2,58,56,2,1439.0
0:00.0,K. Martin misses 3-pt jump shot from 33 ft,56-58, ,,2,58,56,2,1440.0
0:00.0,Offensive rebound by Team,56-58, ,,2,58,56,2,1440.0
0:00.0,End of 2nd quarter,56-58,,,2,58,56,2,1440.0
12:00.0,Start of 3rd quarter,56-58,,,3,58,56,2,1440.0
11:51.0,Houston full timeout,56-58, ,,3,58,56,2,1449.0
11:46.0,Personal foul by C. Martin (drawn by A. Sengun),56-58, ,,3,58,56,2,1454.0
11:46.0, ,56-58,H. Highsmith enters the game for C. Martin,,3,58,56,2,1454.0
11:40.0,J. Smith makes 2-pt dunk from 4 ft (assist by J. Tate),58-58, ,Tie,3,58,58,0,1460.0
11:14.0, ,58-58,Turnover by Team (shot clock),,3,58,58,0,1486.0
11:01.0,J. Green misses 2-pt jump shot from 15 ft,58-58, ,,3,58,58,0,1499.0
10:57.0, ,58-58,Defensive rebound by H. Highsmith,,3,58,58,0,1503.0
10:53.0, ,58-61,G. Vincent makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,61,58,3,1507.0
10:28.0,A. Sengun misses 2-pt hook shot from 4 ft,58-61, ,,3,61,58,3,1532.0
10:24.0,Offensive rebound by J. Smith,58-61, ,,3,61,58,3,1536.0
10:21.0,J. Smith makes 2-pt layup from 6 ft (assist by A. Sengun),60-61, ,,3,61,60,1,1539.0
10:02.0, ,60-63,T. Herro makes 2-pt jump shot from 18 ft,,3,63,60,3,1558.0
9:41.0,K. Martin misses 3-pt jump shot from 26 ft,60-63, ,,3,63,60,3,1579.0
9:38.0, ,60-63,Defensive rebound by T. Herro,,3,63,60,3,1582.0
9:16.0, ,60-63,J. Butler misses 2-pt jump shot from 11 ft,,3,63,60,3,1604.0
9:13.0,Defensive rebound by A. Sengun,60-63, ,,3,63,60,3,1607.0
9:06.0,Turnover by J. Green (out of bounds lost ball),60-63, ,,3,63,60,3,1614.0
8:47.0, ,60-63,Turnover by H. Highsmith (traveling),,3,63,60,3,1633.0
8:28.0,J. Smith misses 2-pt jump shot from 19 ft,60-63, ,,3,63,60,3,1652.0
8:24.0, ,60-63,Defensive rebound by J. Butler,,3,63,60,3,1656.0
8:18.0, ,60-63,J. Butler misses 2-pt dunk from 3 ft,,3,63,60,3,1662.0
8:13.0, ,60-63,Offensive rebound by J. Butler,,3,63,60,3,1667.0
8:13.0, ,60-65,J. Butler makes 2-pt layup from 2 ft,,3,65,60,5,1667.0
8:01.0,J. Tate misses 2-pt jump shot from 6 ft,60-65, ,,3,65,60,5,1679.0
7:58.0, ,60-65,Defensive rebound by J. Butler,,3,65,60,5,1682.0
7:53.0, ,60-68,H. Highsmith makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,68,60,8,1687.0
7:53.0,Houston full timeout,60-68, ,,3,68,60,8,1687.0
7:53.0,D. Nix enters the game for J. Tate,60-68, ,,3,68,60,8,1687.0
7:28.0,Turnover by A. Sengun (bad pass; steal by J. Butler),60-68, ,,3,68,60,8,1712.0
7:23.0, ,60-68,G. Vincent misses 3-pt jump shot from 23 ft,,3,68,60,8,1717.0
7:17.0,Defensive rebound by A. Sengun,60-68, ,,3,68,60,8,1723.0
7:16.0,Turnover by A. Sengun (bad pass; steal by G. Vincent),60-68, ,,3,68,60,8,1724.0
7:09.0, ,60-68,T. Herro misses 3-pt jump shot from 26 ft,,3,68,60,8,1731.0
7:05.0, ,60-68,Offensive rebound by T. Herro,,3,68,60,8,1735.0
7:05.0, ,60-68,Personal foul by A. Sengun (drawn by T. Herro),,3,68,60,8,1735.0
6:53.0, ,60-68,Turnover by B. Adebayo (lost ball; steal by J. Green),,3,68,60,8,1747.0
6:49.0,J. Green misses 2-pt layup from 4 ft,60-68, ,,3,68,60,8,1751.0
6:45.0, ,60-68,Defensive rebound by G. Vincent,,3,68,60,8,1755.0
6:32.0, ,60-68,B. Adebayo misses 2-pt dunk from 4 ft (block by J. Smith),,3,68,60,8,1768.0
6:27.0,Defensive rebound by D. Nix,60-68, ,,3,68,60,8,1773.0
6:26.0,K. Martin makes 2-pt layup from 4 ft (assist by J. Smith),62-68, ,,3,68,62,6,1774.0
6:14.0, ,62-68,T. Herro misses 2-pt jump shot from 14 ft,,3,68,62,6,1786.0
6:12.0,Defensive rebound by J. Smith,62-68, ,,3,68,62,6,1788.0
5:59.0,J. Green misses 3-pt jump shot from 26 ft,62-68, ,,3,68,62,6,1801.0
5:58.0,Offensive rebound by Team,62-68, ,,3,68,62,6,1802.0
5:58.0, ,62-68,Loose ball foul by B. Adebayo (drawn by A. Sengun),,3,68,62,6,1802.0
5:58.0, ,62-68,Technical foul by B. Adebayo,,3,68,62,6,1802.0
5:58.0,J. Green makes technical free throw,63-68, ,,3,68,63,5,1802.0
5:58.0, ,63-68,M. Strus enters the game for J. Butler,,3,68,63,5,1802.0
5:46.0,J. Green makes 2-pt layup from 4 ft,65-68, ,,3,68,65,3,1814.0
5:21.0, ,65-68,T. Herro misses 3-pt jump shot from 23 ft,,3,68,65,3,1839.0
5:18.0,Defensive rebound by K. Martin,65-68, ,,3,68,65,3,1842.0
5:10.0,Personal foul by B. Adebayo (drawn by A. Sengun),65-68, ,,3,68,65,3,1850.0
5:10.0,U. Garuba enters the game for A. Sengun,65-68, ,,3,68,65,3,1850.0
5:10.0, ,65-68,O. Robinson enters the game for B. Adebayo,,3,68,65,3,1850.0
5:03.0,J. Green misses 3-pt jump shot from 27 ft,65-68, ,,3,68,65,3,1857.0
5:02.0, ,65-68,Defensive rebound by Team,,3,68,65,3,1858.0
4:43.0, ,65-68,G. Vincent misses 2-pt jump shot from 8 ft,,3,68,65,3,1877.0
4:38.0, ,65-68,Offensive rebound by T. Herro,,3,68,65,3,1882.0
4:37.0, ,65-68,M. Strus misses 3-pt jump shot from 25 ft,,3,68,65,3,1883.0
4:33.0,Defensive rebound by J. Smith,65-68, ,,3,68,65,3,1887.0
4:29.0,J. Smith misses 3-pt jump shot from 30 ft,65-68, ,,3,68,65,3,1891.0
4:28.0, ,65-68,Defensive rebound by T. Herro,,3,68,65,3,1892.0
