Time,LA Clippers,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:51.0,N. Batum misses 3-pt jump shot from 24 ft,9-8, ,,1,8,9,-1,249.0
7:51.0, ,9-8,Defensive rebound by C. Martin,,1,8,9,-1,249.0
7:39.0, ,9-10,J. Butler makes 2-pt layup at rim,Lead change,1,10,9,1,261.0
7:26.0,I. Zubac makes 2-pt dunk from 2 ft (assist by P. George),11-10, ,Lead change,1,10,11,-1,274.0
7:04.0, ,11-10,D. Smith misses 3-pt jump shot from 27 ft,,1,10,11,-1,296.0
7:01.0,Defensive rebound by I. Zubac,11-10, ,,1,10,11,-1,299.0
6:49.0,P. George misses 2-pt jump shot from 18 ft,11-10, ,,1,10,11,-1,311.0
6:45.0, ,11-10,Defensive rebound by B. Adebayo,,1,10,11,-1,315.0
6:39.0, ,11-10,C. Martin misses 3-pt jump shot from 27 ft,,1,10,11,-1,321.0
6:35.0,Defensive rebound by M. Morris,11-10, ,,1,10,11,-1,325.0
6:34.0,Personal foul by C. Martin (drawn by I. Zubac),11-10, ,,1,10,11,-1,326.0
6:34.0, ,11-10,Miami full timeout,,1,10,11,-1,326.0
6:20.0,Turnover by N. Batum (bad pass; steal by D. Smith),11-10, ,,1,10,11,-1,340.0
6:08.0, ,11-10,T. Herro misses 2-pt layup from 3 ft (block by I. Zubac),,1,10,11,-1,352.0
6:04.0, ,11-10,Offensive rebound by B. Adebayo,,1,10,11,-1,356.0
5:55.0, ,11-10,T. Herro misses 3-pt jump shot from 23 ft,,1,10,11,-1,365.0
5:53.0,Defensive rebound by M. Morris,11-10, ,,1,10,11,-1,367.0
5:47.0,Shooting foul by D. Smith (drawn by I. Zubac),11-10, ,,1,10,11,-1,373.0
5:47.0,I. Zubac makes free throw 1 of 2,12-10, ,,1,10,12,-2,373.0
5:47.0,L. Kennard enters the game for N. Batum,12-10, ,,1,10,12,-2,373.0
5:47.0,J. Wall enters the game for R. Jackson,12-10, ,,1,10,12,-2,373.0
5:47.0, ,12-10,M. Strus enters the game for T. Herro,,1,10,12,-2,373.0
5:47.0,I. Zubac makes free throw 2 of 2,13-10, ,,1,10,13,-3,373.0
5:38.0, ,13-12,B. Adebayo makes 2-pt jump shot from 9 ft (assist by D. Smith),,1,12,13,-1,382.0
5:18.0,P. George makes 2-pt jump shot from 15 ft,15-12, ,,1,12,15,-3,402.0
4:55.0, ,15-14,J. Butler makes 2-pt dunk from 2 ft,,1,14,15,-1,425.0
4:35.0,J. Wall makes 3-pt jump shot from 27 ft (assist by L. Kennard),18-14, ,,1,14,18,-4,445.0
4:22.0, ,18-14,B. Adebayo misses 2-pt jump shot from 8 ft,,1,14,18,-4,458.0
4:19.0,Defensive rebound by P. George,18-14, ,,1,14,18,-4,461.0
4:10.0,P. George misses 3-pt jump shot from 26 ft,18-14, ,,1,14,18,-4,470.0
4:07.0, ,18-14,Defensive rebound by C. Martin,,1,14,18,-4,473.0
3:59.0, ,18-16,J. Butler makes 2-pt jump shot from 7 ft,,1,16,18,-2,481.0
3:58.0,LA Clippers full timeout,18-16, ,,1,16,18,-2,482.0
3:58.0, ,18-16,D. Dedmon enters the game for B. Adebayo,,1,16,18,-2,482.0
3:58.0, ,18-16,V. Oladipo enters the game for C. Martin,,1,16,18,-2,482.0
3:36.0,M. Morris makes 2-pt layup from 4 ft,20-16, ,,1,16,20,-4,504.0
3:09.0, ,20-16,V. Oladipo misses 2-pt hook shot from 6 ft,,1,16,20,-4,531.0
3:04.0,Defensive rebound by P. George,20-16, ,,1,16,20,-4,536.0
2:58.0,J. Wall misses 2-pt jump shot from 19 ft,20-16, ,,1,16,20,-4,542.0
2:54.0, ,20-16,Defensive rebound by M. Strus,,1,16,20,-4,546.0
2:50.0, ,20-18,J. Butler makes 2-pt jump shot from 7 ft,,1,18,20,-2,550.0
2:43.0,P. George makes 3-pt jump shot from 28 ft (assist by J. Wall),23-18, ,,1,18,23,-5,557.0
2:23.0, ,23-20,D. Dedmon makes 2-pt hook shot from 6 ft,,1,20,23,-3,577.0
2:09.0,M. Morris misses 3-pt jump shot from 27 ft,23-20, ,,1,20,23,-3,591.0
2:06.0, ,23-20,Defensive rebound by D. Dedmon,,1,20,23,-3,594.0
1:50.0, ,23-20,V. Oladipo misses 3-pt jump shot from 28 ft,,1,20,23,-3,610.0
1:46.0,Defensive rebound by M. Morris,23-20, ,,1,20,23,-3,614.0
1:34.0,I. Zubac makes 2-pt layup from 3 ft (assist by J. Wall),25-20, ,,1,20,25,-5,626.0
1:34.0,Shooting foul by D. Dedmon (drawn by I. Zubac),25-20, ,,1,20,25,-5,626.0
1:34.0,R. Covington enters the game for P. George,25-20, ,,1,20,25,-5,626.0
1:34.0,R. Jackson enters the game for M. Morris,25-20, ,,1,20,25,-5,626.0
1:34.0, ,25-20,T. Herro enters the game for J. Butler,,1,20,25,-5,626.0
1:34.0, ,25-20,C. Martin enters the game for D. Smith,,1,20,25,-5,626.0
1:34.0,I. Zubac makes free throw 1 of 1,26-20, ,,1,20,26,-6,626.0
1:21.0, ,26-20,D. Dedmon misses 2-pt jump shot from 11 ft,,1,20,26,-6,639.0
1:17.0,Defensive rebound by I. Zubac,26-20, ,,1,20,26,-6,643.0
1:10.0,Turnover by J. Wall (bad pass; steal by D. Dedmon),26-20, ,,1,20,26,-6,650.0
1:03.0, ,26-20,M. Strus misses 2-pt layup from 6 ft (block by R. Covington),,1,20,26,-6,657.0
0:57.0,Defensive rebound by J. Wall,26-20, ,,1,20,26,-6,663.0
0:53.0,L. Kennard misses 3-pt jump shot from 24 ft,26-20, ,,1,20,26,-6,667.0
0:50.0,Offensive rebound by R. Jackson,26-20, ,,1,20,26,-6,670.0
0:49.0,L. Kennard makes 2-pt layup from 4 ft (assist by R. Jackson),28-20, ,,1,20,28,-8,671.0
0:36.0, ,28-20,Turnover by T. Herro (traveling),,1,20,28,-8,684.0
0:36.0,N. Batum enters the game for I. Zubac,28-20, ,,1,20,28,-8,684.0
0:32.0,J. Wall misses 2-pt jump shot from 20 ft,28-20, ,,1,20,28,-8,688.0
0:26.0, ,28-20,Defensive rebound by D. Dedmon,,1,20,28,-8,694.0
0:16.0, ,28-20,Personal foul by R. Covington (drawn by V. Oladipo),,1,20,28,-8,704.0
0:08.0, ,28-20,M. Strus misses 3-pt jump shot from 27 ft,,1,20,28,-8,712.0
0:05.0,Defensive rebound by R. Jackson,28-20, ,,1,20,28,-8,715.0
0:00.0,J. Wall misses 2-pt layup from 5 ft,28-20, ,,1,20,28,-8,720.0
0:00.0,Offensive rebound by Team,28-20, ,,1,20,28,-8,720.0
0:00.0,End of 1st quarter,28-20,,,1,20,28,-8,720.0
12:00.0,Start of 2nd quarter,28-20,,,2,20,28,-8,720.0
11:40.0, ,28-20,Violation by Team (kicked ball),,2,20,28,-8,740.0
11:30.0,R. Covington makes 2-pt layup from 4 ft (assist by J. Wall),30-20, ,,2,20,30,-10,750.0
11:22.0, ,30-22,C. Martin makes 2-pt jump shot from 20 ft (assist by T. Herro),,2,22,30,-8,758.0
11:00.0,L. Kennard makes 2-pt jump shot from 12 ft (assist by J. Wall),32-22, ,,2,22,32,-10,780.0
10:42.0, ,32-24,V. Oladipo makes 2-pt jump shot from 22 ft (assist by C. Martin),,2,24,32,-8,798.0
10:18.0,R. Jackson makes 2-pt jump shot from 17 ft,34-24, ,,2,24,34,-10,822.0
9:52.0, ,34-26,C. Martin makes 2-pt layup from 4 ft,,2,26,34,-8,848.0
9:45.0,R. Jackson misses 2-pt layup from 5 ft,34-26, ,,2,26,34,-8,855.0
9:41.0, ,34-26,Defensive rebound by V. Oladipo,,2,26,34,-8,859.0
9:36.0, ,34-29,C. Martin makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,2,29,34,-5,864.0
9:36.0,LA Clippers full timeout,34-29, ,,2,29,34,-5,864.0
9:36.0,M. Morris enters the game for L. Kennard,34-29, ,,2,29,34,-5,864.0
9:30.0,Personal foul by C. Martin (drawn by J. Wall),34-29, ,,2,29,34,-5,870.0
9:14.0,M. Morris misses 2-pt jump shot from 23 ft,34-29, ,,2,29,34,-5,886.0
9:10.0, ,34-29,Defensive rebound by T. Herro,,2,29,34,-5,890.0
8:50.0, ,34-29,B. Adebayo misses 2-pt jump shot from 8 ft,,2,29,34,-5,910.0
8:46.0,Defensive rebound by J. Wall,34-29, ,,2,29,34,-5,914.0
8:39.0,R. Jackson misses 2-pt layup from 4 ft,34-29, ,,2,29,34,-5,921.0
8:34.0,Offensive rebound by N. Batum,34-29, ,,2,29,34,-5,926.0
8:33.0,J. Wall misses 3-pt jump shot from 27 ft,34-29, ,,2,29,34,-5,927.0
8:29.0, ,34-29,Defensive rebound by B. Adebayo,,2,29,34,-5,931.0
8:22.0, ,34-32,C. Martin makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,2,32,34,-2,938.0
8:00.0,M. Morris misses 2-pt jump shot from 15 ft,34-32, ,,2,32,34,-2,960.0
7:54.0, ,34-32,Defensive rebound by M. Strus,,2,32,34,-2,966.0
7:51.0, ,34-32,C. Martin misses 2-pt layup from 4 ft,,2,32,34,-2,969.0
7:48.0,Defensive rebound by R. Covington,34-32, ,,2,32,34,-2,972.0
7:47.0,Turnover by J. Wall (bad pass; steal by T. Herro),34-32, ,,2,32,34,-2,973.0
7:36.0, ,34-35,T. Herro makes 3-pt jump shot from 23 ft (assist by M. Strus),Lead change,2,35,34,1,984.0
7:11.0,R. Jackson misses 3-pt jump shot from 26 ft,34-35, ,,2,35,34,1,1009.0
7:08.0, ,34-35,Defensive rebound by C. Martin,,2,35,34,1,1012.0
6:54.0, ,34-37,B. Adebayo makes 2-pt jump shot from 6 ft,,2,37,34,3,1026.0
6:38.0,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Wall),37-37, ,Tie,2,37,37,0,1042.0
6:25.0, ,37-37,T. Herro misses 2-pt layup from 5 ft,,2,37,37,0,1055.0
6:25.0, ,37-37,Offensive rebound by B. Adebayo,,2,37,37,0,1055.0
6:23.0, ,37-39,B. Adebayo makes 2-pt layup from 6 ft,,2,39,37,2,1057.0
6:23.0,LA Clippers full timeout,37-39, ,,2,39,37,2,1057.0
6:23.0,B. Boston enters the game for R. Covington,37-39, ,,2,39,37,2,1057.0
6:23.0,I. Zubac enters the game for J. Wall,37-39, ,,2,39,37,2,1057.0
6:23.0, ,37-39,J. Butler enters the game for B. Adebayo,,2,39,37,2,1057.0
6:23.0, ,37-39,D. Dedmon enters the game for T. Herro,,2,39,37,2,1057.0
6:23.0, ,37-39,D. Smith enters the game for V. Oladipo,,2,39,37,2,1057.0
6:00.0,N. Batum makes 3-pt jump shot from 25 ft (assist by B. Boston),40-39, ,Lead change,2,39,40,-1,1080.0
5:38.0, ,40-39,C. Martin misses 2-pt jump shot from 16 ft,,2,39,40,-1,1102.0
5:35.0, ,40-39,Offensive rebound by C. Martin,,2,39,40,-1,1105.0
5:35.0, ,40-41,D. Dedmon makes 2-pt jump shot from 8 ft (assist by C. Martin),Lead change,2,41,40,1,1105.0
5:20.0,R. Jackson misses 2-pt layup from 5 ft (block by D. Dedmon),40-41, ,,2,41,40,1,1120.0
5:20.0, ,40-41,Defensive rebound by J. Butler,,2,41,40,1,1120.0
5:07.0, ,40-41,D. Smith misses 3-pt jump shot from 23 ft,,2,41,40,1,1133.0
5:04.0,Defensive rebound by B. Boston,40-41, ,,2,41,40,1,1136.0
4:56.0,B. Boston misses 2-pt jump shot from 15 ft,40-41, ,,2,41,40,1,1144.0
4:52.0, ,40-41,Defensive rebound by M. Strus,,2,41,40,1,1148.0
4:48.0, ,40-41,Personal foul by M. Morris (drawn by M. Strus),,2,41,40,1,1152.0
4:48.0,P. George enters the game for N. Batum,40-41, ,,2,41,40,1,1152.0
4:48.0, ,40-41,T. Herro enters the game for C. Martin,,2,41,40,1,1152.0
4:37.0, ,40-41,M. Strus misses 3-pt jump shot from 23 ft,,2,41,40,1,1163.0
4:33.0,Defensive rebound by P. George,40-41, ,,2,41,40,1,1167.0
4:30.0,Personal foul by T. Herro (drawn by P. George),40-41, ,,2,41,40,1,1170.0
4:21.0,I. Zubac makes 2-pt dunk from 3 ft (assist by P. George),42-41, ,Lead change,2,41,42,-1,1179.0
4:11.0, ,42-41,Offensive foul by D. Dedmon (drawn by B. Boston),,2,41,42,-1,1189.0
4:11.0, ,42-41,Turnover by D. Dedmon (offensive foul),,2,41,42,-1,1189.0
4:11.0, ,42-41,Violation by Team (delay of game),,2,41,42,-1,1189.0
3:59.0,P. George misses 3-pt jump shot from 27 ft,42-41, ,,2,41,42,-1,1201.0
3:56.0, ,42-41,Defensive rebound by D. Dedmon,,2,41,42,-1,1204.0
3:48.0, ,42-41,T. Herro misses 2-pt jump shot from 15 ft,,2,41,42,-1,1212.0
3:43.0,Defensive rebound by B. Boston,42-41, ,,2,41,42,-1,1217.0
3:30.0,M. Morris makes 2-pt jump shot from 16 ft,44-41, ,,2,41,44,-3,1230.0
3:19.0, ,44-41,Personal foul by B. Boston (drawn by D. Dedmon),,2,41,44,-3,1241.0
3:19.0, ,44-41,B. Adebayo enters the game for D. Dedmon,,2,41,44,-3,1241.0
3:19.0, ,44-41,C. Martin enters the game for M. Strus,,2,41,44,-3,1241.0
3:12.0, ,44-41,Shooting foul by R. Jackson (drawn by T. Herro),,2,41,44,-3,1248.0
3:12.0, ,44-42,T. Herro makes free throw 1 of 2,,2,42,44,-2,1248.0
3:12.0, ,44-43,T. Herro makes free throw 2 of 2,,2,43,44,-1,1248.0
2:58.0,M. Morris misses 2-pt jump shot from 10 ft,44-43, ,,2,43,44,-1,1262.0
2:54.0, ,44-43,Defensive rebound by T. Herro,,2,43,44,-1,1266.0
2:48.0, ,44-43,B. Adebayo misses 2-pt jump shot from 9 ft,,2,43,44,-1,1272.0
2:45.0,Defensive rebound by I. Zubac,44-43, ,,2,43,44,-1,1275.0
2:33.0,P. George misses 2-pt layup from 5 ft,44-43, ,,2,43,44,-1,1287.0
2:33.0, ,44-43,Defensive rebound by D. Smith,,2,43,44,-1,1287.0
2:25.0, ,44-46,C. Martin makes 3-pt jump shot from 26 ft (assist by D. Smith),Lead change,2,46,44,2,1295.0
2:11.0,Shooting foul by D. Smith (drawn by R. Jackson),44-46, ,,2,46,44,2,1309.0
2:11.0,R. Jackson makes free throw 1 of 2,45-46, ,,2,46,45,1,1309.0
2:11.0,N. Batum enters the game for I. Zubac,45-46, ,,2,46,45,1,1309.0
2:11.0,R. Jackson makes free throw 2 of 2,46-46, ,Tie,2,46,46,0,1309.0
1:56.0, ,46-46,Turnover by C. Martin (step out of bounds),,2,46,46,0,1324.0
1:44.0,N. Batum makes 3-pt jump shot from 24 ft (assist by R. Jackson),49-46, ,Lead change,2,46,49,-3,1336.0
1:24.0, ,49-48,B. Adebayo makes 2-pt layup from 3 ft,,2,48,49,-1,1356.0
1:12.0,Turnover by P. George (lost ball; steal by J. Butler),49-48, ,,2,48,49,-1,1368.0
1:08.0, ,49-50,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),Lead change,2,50,49,1,1372.0
0:53.0,B. Boston makes 2-pt layup from 3 ft (assist by R. Jackson),51-50, ,Lead change,2,50,51,-1,1387.0
0:42.0, ,51-50,Away from play foul by R. Jackson (drawn by T. Herro),,2,50,51,-1,1398.0
0:42.0, ,51-51,T. Herro makes free throw 1 of 1,Tie,2,51,51,0,1398.0
0:42.0,L. Kennard enters the game for R. Jackson,51-51, ,,2,51,51,0,1398.0
0:40.0, ,51-53,B. Adebayo makes 2-pt jump shot from 11 ft (assist by J. Butler),Lead change,2,53,51,2,1400.0
0:33.0,P. George misses 3-pt jump shot from 27 ft,51-53, ,,2,53,51,2,1407.0
0:30.0, ,51-53,Defensive rebound by T. Herro,,2,53,51,2,1410.0
0:10.0, ,51-56,C. Martin makes 3-pt jump shot from 28 ft,,2,56,51,5,1430.0
0:00.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by P. George),54-56, ,,2,56,54,2,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),54-56, ,,2,56,54,2,1440.0
0:00.0,End of 2nd quarter,54-56,,,2,56,54,2,1440.0
12:00.0,Start of 3rd quarter,54-56,,,3,56,54,2,1440.0
11:44.0,Turnover by R. Jackson (bad pass; steal by C. Martin),54-56, ,,3,56,54,2,1456.0
11:28.0, ,54-56,Shooting foul by P. George (drawn by C. Martin),,3,56,54,2,1472.0
11:28.0, ,54-56,C. Martin misses free throw 1 of 2,,3,56,54,2,1472.0
11:28.0, ,54-56,Offensive rebound by Team,,3,56,54,2,1472.0
11:28.0, ,54-57,C. Martin makes free throw 2 of 2,,3,57,54,3,1472.0
11:12.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by P. George),57-57, ,Tie,3,57,57,0,1488.0
10:54.0, ,57-57,Turnover by B. Adebayo (bad pass; steal by N. Batum),,3,57,57,0,1506.0
10:53.0,Turnover by R. Jackson (discontinued dribble),57-57, ,,3,57,57,0,1507.0
10:40.0, ,57-59,B. Adebayo makes 2-pt dunk from 3 ft (assist by D. Smith),,3,59,57,2,1520.0
10:23.0,P. George misses 2-pt jump shot from 17 ft,57-59, ,,3,59,57,2,1537.0
10:20.0, ,57-59,Defensive rebound by B. Adebayo,,3,59,57,2,1540.0
10:08.0, ,57-59,Turnover by T. Herro (bad pass; steal by I. Zubac),,3,59,57,2,1552.0
10:02.0,N. Batum makes 3-pt jump shot from 25 ft (assist by P. George),60-59, ,Lead change,3,59,60,-1,1558.0
9:47.0, ,60-62,J. Butler makes 3-pt jump shot from 28 ft (assist by B. Adebayo),Lead change,3,62,60,2,1573.0
9:33.0,P. George makes 3-pt jump shot from 27 ft,63-62, ,Lead change,3,62,63,-1,1587.0
9:23.0, ,63-62,Def 3 sec tech foul by Team,,3,62,63,-1,1597.0
9:23.0, ,63-62,J. Butler misses technical free throw,,3,62,63,-1,1597.0
9:23.0, ,63-62,Offensive rebound by Team,,3,62,63,-1,1597.0
9:12.0, ,63-62,D. Smith misses 3-pt jump shot from 27 ft,,3,62,63,-1,1608.0
9:10.0, ,63-62,Offensive rebound by B. Adebayo,,3,62,63,-1,1610.0
9:09.0, ,63-64,B. Adebayo makes 2-pt layup at rim,Lead change,3,64,63,1,1611.0
8:56.0,P. George makes 2-pt jump shot from 8 ft,65-64, ,Lead change,3,64,65,-1,1624.0
8:56.0,Shooting foul by D. Smith (drawn by P. George),65-64, ,,3,64,65,-1,1624.0
8:56.0,P. George makes free throw 1 of 1,66-64, ,,3,64,66,-2,1624.0
8:52.0, ,66-64,Personal foul by N. Batum (drawn by J. Butler),,3,64,66,-2,1628.0
8:40.0, ,66-66,B. Adebayo makes 2-pt dunk from 4 ft (assist by J. Butler),Tie,3,66,66,0,1640.0
8:23.0,P. George misses 3-pt jump shot from 26 ft,66-66, ,,3,66,66,0,1657.0
8:20.0, ,66-66,Defensive rebound by B. Adebayo,,3,66,66,0,1660.0
8:10.0, ,66-66,B. Adebayo misses 2-pt jump shot from 10 ft,,3,66,66,0,1670.0
8:07.0,Defensive rebound by R. Jackson,66-66, ,,3,66,66,0,1673.0
8:03.0,R. Jackson misses 2-pt jump shot from 7 ft,66-66, ,,3,66,66,0,1677.0
8:00.0,Offensive rebound by R. Jackson,66-66, ,,3,66,66,0,1680.0
7:58.0,M. Morris misses 2-pt jump shot from 17 ft,66-66, ,,3,66,66,0,1682.0
7:53.0, ,66-66,Defensive rebound by T. Herro,,3,66,66,0,1687.0
7:37.0, ,66-66,C. Martin misses 3-pt jump shot from 24 ft,,3,66,66,0,1703.0
7:35.0,Defensive rebound by P. George,66-66, ,,3,66,66,0,1705.0
7:33.0,Offensive foul by I. Zubac (drawn by D. Smith),66-66, ,,3,66,66,0,1707.0
7:33.0,Turnover by I. Zubac (offensive foul),66-66, ,,3,66,66,0,1707.0
7:22.0, ,66-66,B. Adebayo misses 2-pt layup from 6 ft,,3,66,66,0,1718.0
7:19.0,Defensive rebound by I. Zubac,66-66, ,,3,66,66,0,1721.0
7:14.0,Turnover by R. Jackson (traveling),66-66, ,,3,66,66,0,1726.0
6:57.0, ,66-68,B. Adebayo makes 2-pt layup from 5 ft (assist by T. Herro),Lead change,3,68,66,2,1743.0
6:57.0, ,66-68,Shooting foul by I. Zubac (drawn by B. Adebayo),,3,68,66,2,1743.0
6:57.0, ,66-68,Miami full timeout,,3,68,66,2,1743.0
6:57.0,J. Wall enters the game for R. Jackson,66-68, ,,3,68,66,2,1743.0
6:57.0, ,66-69,B. Adebayo makes free throw 1 of 1,,3,69,66,3,1743.0
6:42.0,Shooting foul by D. Smith (drawn by M. Morris),66-69, ,,3,69,66,3,1758.0
6:42.0,M. Morris makes free throw 1 of 2,67-69, ,,3,69,67,2,1758.0
6:42.0, ,67-69,V. Oladipo enters the game for D. Smith,,3,69,67,2,1758.0
6:42.0,M. Morris makes free throw 2 of 2,68-69, ,,3,69,68,1,1758.0
6:21.0, ,68-71,B. Adebayo makes 2-pt layup from 3 ft,,3,71,68,3,1779.0
6:02.0,N. Batum misses 3-pt jump shot from 26 ft,68-71, ,,3,71,68,3,1798.0
5:58.0, ,68-71,Defensive rebound by C. Martin,,3,71,68,3,1802.0
5:51.0, ,68-71,Turnover by J. Butler (bad pass; steal by P. George),,3,71,68,3,1809.0
5:38.0,P. George misses 2-pt jump shot from 21 ft,68-71, ,,3,71,68,3,1822.0
5:34.0, ,68-71,Defensive rebound by C. Martin,,3,71,68,3,1826.0
5:30.0, ,68-71,C. Martin misses 3-pt jump shot from 26 ft,,3,71,68,3,1830.0
5:25.0,Defensive rebound by N. Batum,68-71, ,,3,71,68,3,1835.0
5:22.0,Turnover by P. George (bad pass; steal by J. Butler),68-71, ,,3,71,68,3,1838.0
5:14.0, ,68-71,V. Oladipo misses 3-pt jump shot from 28 ft,,3,71,68,3,1846.0
5:09.0,Defensive rebound by P. George,68-71, ,,3,71,68,3,1851.0
5:04.0,Personal foul by C. Martin (drawn by P. George),68-71, ,,3,71,68,3,1856.0
5:04.0,L. Kennard enters the game for N. Batum,68-71, ,,3,71,68,3,1856.0
5:04.0, ,68-71,M. Strus enters the game for T. Herro,,3,71,68,3,1856.0
4:55.0,P. George makes 2-pt jump shot from 8 ft (assist by J. Wall),70-71, ,,3,71,70,1,1865.0
4:38.0, ,70-74,M. Strus makes 3-pt jump shot from 27 ft (assist by J. Butler),,3,74,70,4,1882.0
4:16.0,M. Morris makes 2-pt jump shot from 14 ft,72-74, ,,3,74,72,2,1904.0
3:58.0, ,72-74,C. Martin misses 3-pt jump shot from 23 ft,,3,74,72,2,1922.0
3:55.0, ,72-74,Offensive rebound by M. Strus,,3,74,72,2,1925.0
3:43.0, ,72-74,C. Martin misses 2-pt jump shot from 18 ft,,3,74,72,2,1937.0
3:43.0,Defensive rebound by Team,72-74, ,,3,74,72,2,1937.0
3:43.0, ,72-74,Loose ball foul by C. Martin (drawn by P. George),,3,74,72,2,1937.0
3:43.0, ,72-74,H. Highsmith enters the game for C. Martin,,3,74,72,2,1937.0
3:28.0,J. Wall makes 3-pt jump shot from 27 ft (assist by P. George),75-74, ,Lead change,3,74,75,-1,1952.0
3:13.0, ,75-77,J. Butler makes 3-pt jump shot from 27 ft,Lead change,3,77,75,2,1967.0
2:53.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Wall),78-77, ,Lead change,3,77,78,-1,1987.0
2:37.0, ,78-77,B. Adebayo misses 2-pt jump shot from 7 ft,,3,77,78,-1,2003.0
2:37.0,Defensive rebound by P. George,78-77, ,,3,77,78,-1,2003.0
2:33.0,P. George makes 2-pt layup from 3 ft,80-77, ,,3,77,80,-3,2007.0
2:33.0,Shooting foul by H. Highsmith (drawn by P. George),80-77, ,,3,77,80,-3,2007.0
2:33.0,LA Clippers full timeout,80-77, ,,3,77,80,-3,2007.0
2:33.0,B. Boston enters the game for M. Morris,80-77, ,,3,77,80,-3,2007.0
2:33.0, ,80-77,T. Herro enters the game for J. Butler,,3,77,80,-3,2007.0
2:33.0,P. George makes free throw 1 of 1,81-77, ,,3,77,81,-4,2007.0
2:19.0, ,81-80,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,3,80,81,-1,2021.0
2:05.0,B. Boston makes 2-pt dunk from 3 ft (assist by J. Wall),83-80, ,,3,80,83,-3,2035.0
2:05.0,Shooting foul by T. Herro (drawn by B. Boston),83-80, ,,3,80,83,-3,2035.0
2:05.0,N. Batum enters the game for P. George,83-80, ,,3,80,83,-3,2035.0
2:05.0,B. Boston makes free throw 1 of 1,84-80, ,,3,80,84,-4,2035.0
1:49.0, ,84-80,V. Oladipo misses 2-pt jump shot from 16 ft,,3,80,84,-4,2051.0
1:44.0,Defensive rebound by I. Zubac,84-80, ,,3,80,84,-4,2056.0
1:39.0,J. Wall misses 2-pt layup from 3 ft,84-80, ,,3,80,84,-4,2061.0
1:37.0,Offensive rebound by J. Wall,84-80, ,,3,80,84,-4,2063.0
