Time,Dallas,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:03.0,Personal foul by D. Robinson (drawn by J. Green),31-35, ,,1,35,31,4,597.0
1:50.0,J. Green misses 2-pt layup from 2 ft,31-35, ,,1,35,31,4,610.0
1:48.0, ,31-35,Defensive rebound by D. Robinson,,1,35,31,4,612.0
1:42.0, ,31-37,J. Butler makes 2-pt layup from 6 ft (assist by K. Lowry),,1,37,31,6,618.0
1:37.0,Offensive foul by C. Wood (drawn by K. Love),31-37, ,,1,37,31,6,623.0
1:37.0,Turnover by C. Wood (offensive foul),31-37, ,,1,37,31,6,623.0
1:15.0, ,31-39,K. Lowry makes 2-pt jump shot from 17 ft,,1,39,31,8,645.0
1:15.0, ,31-39,Shooting foul by J. Green (drawn by K. Lowry),,1,39,31,8,645.0
1:15.0, ,31-40,K. Lowry makes free throw 1 of 1,,1,40,31,9,645.0
0:59.0,Turnover by J. Green (bad pass),31-40, ,,1,40,31,9,661.0
0:41.0, ,31-42,K. Love makes 2-pt hook shot from 3 ft (assist by K. Lowry),,1,42,31,11,679.0
0:27.0,L. Dončić misses 2-pt jump shot from 4 ft,31-42, ,,1,42,31,11,693.0
0:26.0, ,31-42,Defensive rebound by Team,,1,42,31,11,694.0
0:26.0,Loose ball foul by L. Dončić (drawn by K. Love),31-42, ,,1,42,31,11,694.0
0:26.0, ,31-43,K. Love makes free throw 1 of 2,,1,43,31,12,694.0
0:26.0,J. Holiday enters the game for J. Green,31-43, ,,1,43,31,12,694.0
0:26.0, ,31-43,G. Vincent enters the game for J. Butler,,1,43,31,12,694.0
0:26.0, ,31-44,K. Love makes free throw 2 of 2,,1,44,31,13,694.0
0:07.0,C. Wood misses 3-pt jump shot from 24 ft,31-44, ,,1,44,31,13,713.0
0:06.0, ,31-44,Defensive rebound by G. Vincent,,1,44,31,13,714.0
0:00.0, ,31-44,D. Robinson misses 3-pt jump shot from 26 ft,,1,44,31,13,720.0
0:00.0, ,31-44,Offensive rebound by Team,,1,44,31,13,720.0
0:00.0,End of 1st quarter,31-44,,,1,44,31,13,720.0
12:00.0,Start of 2nd quarter,31-44,,,2,44,31,13,720.0
11:45.0, ,31-44,Shooting foul by M. Kleber (drawn by K. Love),,2,44,31,13,735.0
11:45.0, ,31-45,K. Love makes free throw 1 of 2,,2,45,31,14,735.0
11:45.0, ,31-46,K. Love makes free throw 2 of 2,,2,46,31,15,735.0
11:32.0,Turnover by J. Hardy (bad pass; steal by T. Herro),31-46, ,,2,46,31,15,748.0
11:15.0, ,31-46,T. Herro misses 2-pt jump shot from 15 ft,,2,46,31,15,765.0
11:13.0,Defensive rebound by C. Wood,31-46, ,,2,46,31,15,767.0
11:11.0,Offensive foul by J. Hardy (drawn by K. Love),31-46, ,,2,46,31,15,769.0
11:11.0,Turnover by J. Hardy (offensive foul),31-46, ,,2,46,31,15,769.0
10:56.0, ,31-48,K. Love makes 2-pt jump shot from 16 ft,,2,48,31,17,784.0
10:43.0,J. Hardy makes 3-pt jump shot from 26 ft (assist by M. Kleber),34-48, ,,2,48,34,14,797.0
10:29.0, ,34-48,Turnover by T. Herro (lost ball; steal by M. Kleber),,2,48,34,14,811.0
10:26.0,Turnover by J. Hardy (bad pass),34-48, ,,2,48,34,14,814.0
10:26.0,T. Hardaway enters the game for J. Hardy,34-48, ,,2,48,34,14,814.0
10:26.0,D. Powell enters the game for M. Kleber,34-48, ,,2,48,34,14,814.0
10:12.0, ,34-51,K. Love makes 3-pt jump shot from 25 ft (assist by T. Herro),,2,51,34,17,828.0
9:56.0,J. Holiday misses 3-pt jump shot from 23 ft,34-51, ,,2,51,34,17,844.0
9:55.0,Offensive rebound by D. Powell,34-51, ,,2,51,34,17,845.0
9:55.0,Personal foul by C. Martin (drawn by D. Powell),34-51, ,,2,51,34,17,845.0
9:45.0,C. Wood makes 3-pt jump shot from 26 ft (assist by K. Irving),37-51, ,,2,51,37,14,855.0
9:39.0, ,37-51,Shooting foul by D. Powell (drawn by K. Love),,2,51,37,14,861.0
9:39.0, ,37-52,K. Love makes free throw 1 of 2,,2,52,37,15,861.0
9:39.0, ,37-53,K. Love makes free throw 2 of 2,,2,53,37,16,861.0
9:27.0,T. Hardaway misses 3-pt jump shot from 25 ft,37-53, ,,2,53,37,16,873.0
9:25.0, ,37-53,Defensive rebound by K. Love,,2,53,37,16,875.0
9:25.0, ,37-53,Offensive foul by K. Love (drawn by D. Powell),,2,53,37,16,875.0
9:25.0, ,37-53,Turnover by K. Love (offensive foul),,2,53,37,16,875.0
9:25.0, ,37-53,M. Strus enters the game for K. Lowry,,2,53,37,16,875.0
9:08.0,K. Irving makes 2-pt jump shot from 5 ft (assist by C. Wood),39-53, ,,2,53,39,14,892.0
9:07.0,Technical foul by T. Pinson,39-53, ,,2,53,39,14,893.0
9:07.0, ,39-54,T. Herro makes technical free throw,,2,54,39,15,893.0
8:44.0, ,39-56,T. Herro makes 2-pt jump shot from 3 ft,,2,56,39,17,916.0
8:31.0,Shooting foul by M. Strus (drawn by J. Holiday),39-56, ,,2,56,39,17,929.0
8:31.0,J. Holiday makes free throw 1 of 3,40-56, ,,2,56,40,16,929.0
8:31.0,J. Holiday makes free throw 2 of 3,41-56, ,,2,56,41,15,929.0
8:31.0,L. Dončić enters the game for C. Wood,41-56, ,,2,56,41,15,929.0
8:31.0, ,41-56,C. Zeller enters the game for K. Love,,2,56,41,15,929.0
8:31.0,J. Holiday makes free throw 3 of 3,42-56, ,,2,56,42,14,929.0
8:19.0, ,42-56,T. Herro misses 3-pt jump shot from 23 ft,,2,56,42,14,941.0
8:14.0,Defensive rebound by T. Hardaway,42-56, ,,2,56,42,14,946.0
8:13.0,Shooting foul by C. Zeller (drawn by T. Hardaway),42-56, ,,2,56,42,14,947.0
8:13.0,T. Hardaway misses free throw 1 of 2,42-56, ,,2,56,42,14,947.0
8:13.0,Offensive rebound by Team,42-56, ,,2,56,42,14,947.0
8:13.0,R. Bullock enters the game for J. Holiday,42-56, ,,2,56,42,14,947.0
8:13.0,T. Hardaway makes free throw 2 of 2,43-56, ,,2,56,43,13,947.0
8:03.0, ,43-56,T. Herro misses 3-pt jump shot from 25 ft,,2,56,43,13,957.0
8:00.0,Defensive rebound by T. Hardaway,43-56, ,,2,56,43,13,960.0
7:51.0,Personal foul by C. Martin (drawn by D. Powell),43-56, ,,2,56,43,13,969.0
7:34.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by R. Bullock),46-56, ,,2,56,46,10,986.0
7:27.0, ,46-56,Miami full timeout,,2,56,46,10,993.0
7:27.0, ,46-56,J. Butler enters the game for G. Vincent,,2,56,46,10,993.0
7:15.0, ,46-56,Shooting foul by L. Dončić (drawn by C. Zeller),,2,56,46,10,1005.0
7:15.0, ,46-56,C. Zeller misses free throw 1 of 2,,2,56,46,10,1005.0
7:15.0, ,46-56,Offensive rebound by Team,,2,56,46,10,1005.0
7:15.0, ,46-57,C. Zeller makes free throw 2 of 2,,2,57,46,11,1005.0
7:00.0,K. Irving misses 2-pt jump shot from 9 ft,46-57, ,,2,57,46,11,1020.0
6:58.0, ,46-57,Defensive rebound by M. Strus,,2,57,46,11,1022.0
6:54.0, ,46-59,C. Martin makes 2-pt layup from 3 ft (assist by J. Butler),,2,59,46,13,1026.0
6:39.0,Turnover by L. Dončić (lost ball; steal by C. Zeller),46-59, ,,2,59,46,13,1041.0
6:30.0, ,46-59,C. Zeller misses 2-pt layup from 3 ft (block by D. Powell),,2,59,46,13,1050.0
6:27.0,Defensive rebound by K. Irving,46-59, ,,2,59,46,13,1053.0
6:25.0,K. Irving misses 3-pt jump shot from 25 ft,46-59, ,,2,59,46,13,1055.0
6:20.0, ,46-59,Defensive rebound by M. Strus,,2,59,46,13,1060.0
6:11.0, ,46-61,C. Zeller makes 2-pt layup from 2 ft (assist by C. Martin),,2,61,46,15,1069.0
6:11.0, ,46-61,Shooting foul by D. Powell (drawn by C. Zeller),,2,61,46,15,1069.0
6:11.0, ,46-62,C. Zeller makes free throw 1 of 1,,2,62,46,16,1069.0
5:53.0,L. Dončić makes 2-pt jump shot from 9 ft,48-62, ,,2,62,48,14,1087.0
5:43.0, ,48-64,C. Zeller makes 2-pt dunk from 1 ft (assist by J. Butler),,2,64,48,16,1097.0
5:26.0,R. Bullock misses 3-pt jump shot from 24 ft,48-64, ,,2,64,48,16,1114.0
5:22.0, ,48-64,Defensive rebound by T. Herro,,2,64,48,16,1118.0
5:10.0, ,48-66,C. Zeller makes 2-pt layup at rim (assist by J. Butler),,2,66,48,18,1130.0
5:10.0,Dallas full timeout,48-66, ,,2,66,48,18,1130.0
5:10.0,M. Kleber enters the game for D. Powell,48-66, ,,2,66,48,18,1130.0
4:56.0,L. Dončić makes 2-pt layup from 1 ft,50-66, ,,2,66,50,16,1144.0
4:29.0, ,50-68,J. Butler makes 2-pt jump shot from 13 ft,,2,68,50,18,1171.0
4:14.0,R. Bullock makes 2-pt jump shot from 18 ft (assist by T. Hardaway),52-68, ,,2,68,52,16,1186.0
4:00.0, ,52-70,J. Butler makes 2-pt layup from 7 ft,,2,70,52,18,1200.0
3:50.0,K. Irving makes 2-pt jump shot from 5 ft,54-70, ,,2,70,54,16,1210.0
3:40.0, ,54-72,C. Zeller makes 2-pt layup from 1 ft (assist by J. Butler),,2,72,54,18,1220.0
3:22.0,T. Hardaway makes 2-pt jump shot from 16 ft (assist by M. Kleber),56-72, ,,2,72,56,16,1238.0
3:10.0, ,56-72,M. Strus misses 3-pt jump shot from 24 ft,,2,72,56,16,1250.0
3:07.0,Defensive rebound by L. Dončić,56-72, ,,2,72,56,16,1253.0
3:01.0,L. Dončić makes 2-pt layup from 2 ft,58-72, ,,2,72,58,14,1259.0
2:38.0, ,58-74,C. Martin makes 2-pt jump shot from 11 ft,,2,74,58,16,1282.0
2:21.0,K. Irving makes 2-pt jump shot from 9 ft (assist by M. Kleber),60-74, ,,2,74,60,14,1299.0
2:00.0, ,60-74,M. Strus misses 2-pt layup from 2 ft,,2,74,60,14,1320.0
1:58.0,Defensive rebound by L. Dončić,60-74, ,,2,74,60,14,1322.0
1:53.0,L. Dončić makes 2-pt dunk from 2 ft (assist by K. Irving),62-74, ,,2,74,62,12,1327.0
1:32.0, ,62-74,M. Strus misses 3-pt jump shot from 25 ft,,2,74,62,12,1348.0
1:30.0,Defensive rebound by M. Kleber,62-74, ,,2,74,62,12,1350.0
1:20.0,Turnover by M. Kleber (traveling),62-74, ,,2,74,62,12,1360.0
1:20.0, ,62-74,K. Love enters the game for M. Strus,,2,74,62,12,1360.0
1:20.0, ,62-74,K. Lowry enters the game for C. Zeller,,2,74,62,12,1360.0
1:07.0, ,62-74,K. Lowry misses 3-pt jump shot from 26 ft,,2,74,62,12,1373.0
1:05.0,Defensive rebound by L. Dončić,62-74, ,,2,74,62,12,1375.0
0:50.0,Turnover by L. Dončić (bad pass; steal by K. Love),62-74, ,,2,74,62,12,1390.0
0:41.0, ,62-74,Personal foul by K. Irving (drawn by J. Butler),,2,74,62,12,1399.0
0:41.0, ,62-75,J. Butler makes free throw 1 of 2,,2,75,62,13,1399.0
0:41.0, ,62-76,J. Butler makes free throw 2 of 2,,2,76,62,14,1399.0
0:29.0,Turnover by K. Irving (bad pass; steal by C. Martin),62-76, ,,2,76,62,14,1411.0
0:05.0, ,62-76,Turnover by Team (shot clock),,2,76,62,14,1435.0
0:05.0, ,62-76,G. Vincent enters the game for T. Herro,,2,76,62,14,1435.0
0:05.0, ,62-76,C. Zeller enters the game for K. Love,,2,76,62,14,1435.0
0:00.0,L. Dončić makes 2-pt jump shot from 10 ft,64-76, ,,2,76,64,12,1440.0
0:00.0,End of 2nd quarter,64-76,,,2,76,64,12,1440.0
12:00.0,Start of 3rd quarter,64-76,,,3,76,64,12,1440.0
11:34.0, ,64-76,T. Herro misses 2-pt jump shot from 15 ft,,3,76,64,12,1466.0
11:30.0,Defensive rebound by L. Dončić,64-76, ,,3,76,64,12,1470.0
11:17.0,T. Hardaway makes 2-pt jump shot from 18 ft (assist by L. Dončić),66-76, ,,3,76,66,10,1483.0
11:03.0, ,66-76,J. Butler misses 2-pt jump shot from 9 ft,,3,76,66,10,1497.0
11:03.0,Defensive rebound by D. Powell,66-76, ,,3,76,66,10,1497.0
10:56.0,K. Irving makes 3-pt jump shot from 24 ft (assist by T. Hardaway),69-76, ,,3,76,69,7,1504.0
10:31.0, ,69-78,C. Zeller makes 2-pt dunk from 1 ft (assist by J. Butler),,3,78,69,9,1529.0
10:11.0,K. Irving makes 2-pt jump shot from 13 ft (assist by L. Dončić),71-78, ,,3,78,71,7,1549.0
10:02.0, ,71-80,C. Zeller makes 2-pt layup from 1 ft (assist by J. Butler),,3,80,71,9,1558.0
9:48.0,Offensive foul by D. Powell (drawn by G. Vincent),71-80, ,,3,80,71,9,1572.0
9:48.0,Turnover by D. Powell (offensive foul),71-80, ,,3,80,71,9,1572.0
9:27.0, ,71-83,T. Herro makes 3-pt jump shot from 24 ft (assist by M. Strus),,3,83,71,12,1593.0
9:13.0,Personal foul by J. Butler (drawn by L. Dončić),71-83, ,,3,83,71,12,1607.0
9:03.0,L. Dončić makes 2-pt jump shot from 11 ft (assist by K. Irving),73-83, ,,3,83,73,10,1617.0
8:52.0, ,73-83,T. Herro misses 3-pt jump shot from 25 ft,,3,83,73,10,1628.0
8:48.0, ,73-83,Offensive rebound by M. Strus,,3,83,73,10,1632.0
8:48.0, ,73-83,M. Strus misses 2-pt layup at rim,,3,83,73,10,1632.0
8:47.0,Defensive rebound by R. Bullock,73-83, ,,3,83,73,10,1633.0
8:41.0,R. Bullock misses 3-pt jump shot from 24 ft,73-83, ,,3,83,73,10,1639.0
8:37.0, ,73-83,Defensive rebound by C. Zeller,,3,83,73,10,1643.0
8:23.0, ,73-86,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),,3,86,73,13,1657.0
8:05.0,K. Irving misses 3-pt jump shot from 24 ft,73-86, ,,3,86,73,13,1675.0
8:02.0, ,73-86,Defensive rebound by J. Butler,,3,86,73,13,1678.0
7:56.0, ,73-88,C. Zeller makes 2-pt layup from 2 ft (assist by J. Butler),,3,88,73,15,1684.0
7:56.0,Dallas full timeout,73-88, ,,3,88,73,15,1684.0
7:56.0,M. Kleber enters the game for R. Bullock,73-88, ,,3,88,73,15,1684.0
7:49.0,Personal foul by T. Herro (drawn by D. Powell),73-88, ,,3,88,73,15,1691.0
7:41.0,T. Hardaway makes 2-pt layup from 2 ft (assist by D. Powell),75-88, ,,3,88,75,13,1699.0
7:25.0, ,75-91,M. Strus makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,91,75,16,1715.0
7:12.0,L. Dončić makes 2-pt layup from 2 ft (assist by K. Irving),77-91, ,,3,91,77,14,1728.0
7:01.0, ,77-91,Turnover by T. Herro (traveling),,3,91,77,14,1739.0
6:46.0,T. Hardaway makes 2-pt jump shot from 12 ft (assist by K. Irving),79-91, ,,3,91,79,12,1754.0
6:28.0, ,79-91,G. Vincent misses 3-pt jump shot from 26 ft,,3,91,79,12,1772.0
6:24.0,Defensive rebound by T. Hardaway,79-91, ,,3,91,79,12,1776.0
6:19.0,L. Dončić makes 2-pt layup from 1 ft (assist by T. Hardaway),81-91, ,,3,91,81,10,1781.0
6:09.0, ,81-93,T. Herro makes 2-pt jump shot from 14 ft,,3,93,81,12,1791.0
5:55.0,T. Hardaway misses 3-pt jump shot from 26 ft,81-93, ,,3,93,81,12,1805.0
5:55.0, ,81-93,Defensive rebound by C. Zeller,,3,93,81,12,1805.0
5:42.0, ,81-93,Offensive foul by G. Vincent (drawn by K. Irving),,3,93,81,12,1818.0
5:42.0, ,81-93,Turnover by G. Vincent (offensive foul),,3,93,81,12,1818.0
5:42.0,J. Green enters the game for D. Powell,81-93, ,,3,93,81,12,1818.0
5:42.0, ,81-93,K. Lowry enters the game for T. Herro,,3,93,81,12,1818.0
5:24.0,K. Irving makes 2-pt layup from 2 ft (assist by T. Hardaway),83-93, ,,3,93,83,10,1836.0
5:06.0, ,83-95,C. Zeller makes 2-pt dunk from 1 ft (assist by G. Vincent),,3,95,83,12,1854.0
4:49.0,K. Irving misses 2-pt jump shot from 17 ft,83-95, ,,3,95,83,12,1871.0
4:47.0, ,83-95,Defensive rebound by C. Zeller,,3,95,83,12,1873.0
4:44.0, ,83-95,Shooting foul by M. Kleber (drawn by J. Butler),,3,95,83,12,1876.0
4:44.0, ,83-96,J. Butler makes free throw 1 of 2,,3,96,83,13,1876.0
4:44.0, ,83-96,K. Love enters the game for G. Vincent,,3,96,83,13,1876.0
4:44.0, ,83-96,C. Martin enters the game for C. Zeller,,3,96,83,13,1876.0
4:44.0, ,83-97,J. Butler makes free throw 2 of 2,,3,97,83,14,1876.0
4:30.0,Shooting foul by M. Strus (drawn by L. Dončić),83-97, ,,3,97,83,14,1890.0
4:30.0,L. Dončić makes free throw 1 of 2,84-97, ,,3,97,84,13,1890.0
4:30.0,L. Dončić makes free throw 2 of 2,85-97, ,,3,97,85,12,1890.0
4:09.0, ,85-97,K. Love misses 3-pt jump shot from 26 ft,,3,97,85,12,1911.0
4:07.0, ,85-97,Offensive rebound by K. Lowry,,3,97,85,12,1913.0
3:58.0, ,85-97,K. Love misses 2-pt jump shot from 9 ft,,3,97,85,12,1922.0
3:55.0,Defensive rebound by L. Dončić,85-97, ,,3,97,85,12,1925.0
3:48.0,Dallas full timeout,85-97, ,,3,97,85,12,1932.0
3:48.0,Instant Replay (Challenge: Ruling Stands),85-97, ,,3,97,85,12,1932.0
3:44.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by K. Irving),88-97, ,,3,97,88,9,1936.0
3:23.0, ,88-97,K. Love misses 3-pt jump shot from 26 ft,,3,97,88,9,1957.0
3:20.0,Defensive rebound by M. Kleber,88-97, ,,3,97,88,9,1960.0
3:08.0,M. Kleber makes 3-pt jump shot from 27 ft (assist by T. Hardaway),91-97, ,,3,97,91,6,1972.0
2:50.0, ,91-97,K. Lowry misses 3-pt jump shot from 24 ft,,3,97,91,6,1990.0
2:48.0, ,91-97,Offensive rebound by K. Love,,3,97,91,6,1992.0
2:41.0, ,91-97,J. Butler misses 3-pt jump shot from 26 ft,,3,97,91,6,1999.0
2:38.0,Defensive rebound by L. Dončić,91-97, ,,3,97,91,6,2002.0
2:36.0,Personal foul by C. Martin (drawn by J. Green),91-97, ,,3,97,91,6,2004.0
2:29.0,Offensive foul by L. Dončić (drawn by K. Love),91-97, ,,3,97,91,6,2011.0
2:29.0,Turnover by L. Dončić (offensive foul),91-97, ,,3,97,91,6,2011.0
2:29.0,J. Hardy enters the game for K. Irving,91-97, ,,3,97,91,6,2011.0
2:12.0, ,91-100,M. Strus makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,100,91,9,2028.0
1:51.0,J. Hardy misses 3-pt jump shot from 26 ft,91-100, ,,3,100,91,9,2049.0
1:48.0, ,91-100,Defensive rebound by C. Martin,,3,100,91,9,2052.0
1:34.0, ,91-100,Turnover by M. Strus (lost ball; steal by L. Dončić),,3,100,91,9,2066.0
1:26.0,L. Dončić makes 3-pt jump shot from 25 ft,94-100, ,,3,100,94,6,2074.0
1:10.0, ,94-102,J. Butler makes 2-pt jump shot from 12 ft (assist by K. Love),,3,102,94,8,2090.0
0:53.0,M. Kleber misses 3-pt jump shot from 26 ft,94-102, ,,3,102,94,8,2107.0
