Time,Detroit,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:33.0,Detroit full timeout,6-14, ,,1,14,6,8,327.0
6:11.0,J. Ivey misses 2-pt layup from 2 ft,6-14, ,,1,14,6,8,349.0
6:10.0,Offensive rebound by M. Bagley,6-14, ,,1,14,6,8,350.0
6:10.0,M. Bagley misses 2-pt layup from 3 ft,6-14, ,,1,14,6,8,350.0
6:09.0, ,6-14,Defensive rebound by B. Adebayo,,1,14,6,8,351.0
6:03.0, ,6-17,K. Lowry makes 3-pt jump shot from 27 ft (assist by M. Strus),,1,17,6,11,357.0
5:44.0,J. Ivey misses 3-pt jump shot from 24 ft,6-17, ,,1,17,6,11,376.0
5:41.0, ,6-17,Defensive rebound by B. Adebayo,,1,17,6,11,379.0
5:38.0, ,6-17,Offensive foul by B. Adebayo (drawn by J. Ivey),,1,17,6,11,382.0
5:38.0, ,6-17,Turnover by B. Adebayo (offensive foul),,1,17,6,11,382.0
5:38.0, ,6-17,N. Jović enters the game for B. Adebayo,,1,17,6,11,382.0
5:18.0,Turnover by B. Bogdanović (lost ball; steal by K. Lowry),6-17, ,,1,17,6,11,402.0
5:05.0, ,6-17,Turnover by N. Jović (bad pass; steal by B. Bogdanović),,1,17,6,11,415.0
4:59.0,K. Hayes makes 3-pt jump shot from 24 ft (assist by J. Ivey),9-17, ,,1,17,9,8,421.0
4:59.0,S. Bey enters the game for M. Bagley,9-17, ,,1,17,9,8,421.0
4:59.0,A. Burks enters the game for J. Ivey,9-17, ,,1,17,9,8,421.0
4:59.0, ,9-17,H. Highsmith enters the game for T. Herro,,1,17,9,8,421.0
4:34.0, ,9-17,N. Jović misses 3-pt jump shot from 27 ft,,1,17,9,8,446.0
4:32.0,Defensive rebound by Team,9-17, ,,1,17,9,8,448.0
4:18.0,A. Burks makes 3-pt jump shot from 27 ft (assist by K. Hayes),12-17, ,,1,17,12,5,462.0
4:01.0, ,12-17,K. Lowry misses 3-pt jump shot from 26 ft,,1,17,12,5,479.0
3:57.0, ,12-17,Offensive rebound by C. Martin,,1,17,12,5,483.0
3:52.0, ,12-17,N. Jović misses 3-pt jump shot from 26 ft,,1,17,12,5,488.0
3:49.0,Defensive rebound by B. Bogdanović,12-17, ,,1,17,12,5,491.0
3:47.0,Personal foul by N. Jović (drawn by I. Stewart),12-17, ,,1,17,12,5,493.0
3:47.0, ,12-17,V. Oladipo enters the game for C. Martin,,1,17,12,5,493.0
3:35.0,K. Hayes misses 2-pt jump shot from 13 ft,12-17, ,,1,17,12,5,505.0
3:31.0, ,12-17,Defensive rebound by K. Lowry,,1,17,12,5,509.0
3:23.0, ,12-17,K. Lowry misses 2-pt jump shot from 10 ft,,1,17,12,5,517.0
3:23.0,Defensive rebound by I. Stewart,12-17, ,,1,17,12,5,517.0
3:17.0,Turnover by B. Bogdanović (lost ball; steal by K. Lowry),12-17, ,,1,17,12,5,523.0
3:14.0, ,12-17,Shooting foul by I. Stewart (drawn by V. Oladipo),,1,17,12,5,526.0
3:14.0, ,12-18,V. Oladipo makes free throw 1 of 2,,1,18,12,6,526.0
3:14.0,J. Duren enters the game for K. Hayes,12-18, ,,1,18,12,6,526.0
3:14.0,C. Joseph enters the game for I. Stewart,12-18, ,,1,18,12,6,526.0
3:14.0, ,12-19,V. Oladipo makes free throw 2 of 2,,1,19,12,7,526.0
2:58.0,S. Bey makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),15-19, ,,1,19,15,4,542.0
2:41.0, ,15-19,Turnover by M. Strus (bad pass),,1,19,15,4,559.0
2:41.0, ,15-19,Miami full timeout,,1,19,15,4,559.0
2:41.0,K. Knox enters the game for B. Bogdanović,15-19, ,,1,19,15,4,559.0
2:41.0, ,15-19,D. Robinson enters the game for M. Strus,,1,19,15,4,559.0
2:25.0,Shooting foul by D. Robinson (drawn by S. Bey),15-19, ,,1,19,15,4,575.0
2:25.0,S. Bey makes free throw 1 of 2,16-19, ,,1,19,16,3,575.0
2:25.0,S. Bey makes free throw 2 of 2,17-19, ,,1,19,17,2,575.0
2:05.0, ,17-19,V. Oladipo misses 3-pt jump shot from 24 ft,,1,19,17,2,595.0
2:04.0, ,17-19,Offensive rebound by N. Jović,,1,19,17,2,596.0
2:04.0, ,17-21,N. Jović makes 2-pt layup at rim,,1,21,17,4,596.0
1:39.0,S. Bey misses 2-pt layup from 1 ft,17-21, ,,1,21,17,4,621.0
1:37.0, ,17-21,Defensive rebound by V. Oladipo,,1,21,17,4,623.0
1:33.0, ,17-21,K. Lowry misses 3-pt jump shot from 25 ft,,1,21,17,4,627.0
1:33.0, ,17-21,Offensive rebound by Team,,1,21,17,4,627.0
1:32.0,Loose ball foul by S. Bey (drawn by H. Highsmith),17-21, ,,1,21,17,4,628.0
1:32.0, ,17-21,T. Herro enters the game for K. Lowry,,1,21,17,4,628.0
1:23.0, ,17-21,Personal foul by J. Duren (drawn by V. Oladipo),,1,21,17,4,637.0
1:23.0, ,17-21,V. Oladipo misses free throw 1 of 2,,1,21,17,4,637.0
1:23.0, ,17-21,Offensive rebound by Team,,1,21,17,4,637.0
1:23.0, ,17-21,V. Oladipo misses free throw 2 of 2,,1,21,17,4,637.0
1:21.0,Defensive rebound by J. Duren,17-21, ,,1,21,17,4,639.0
1:08.0,K. Knox makes 3-pt jump shot from 26 ft (assist by C. Joseph),20-21, ,,1,21,20,1,652.0
0:59.0, ,20-21,Turnover by T. Herro (back court),,1,21,20,1,661.0
0:51.0,C. Joseph misses 3-pt jump shot from 28 ft,20-21, ,,1,21,20,1,669.0
0:51.0, ,20-21,Defensive rebound by Team,,1,21,20,1,669.0
0:51.0,Loose ball foul by K. Knox (drawn by T. Herro),20-21, ,,1,21,20,1,669.0
0:51.0, ,20-22,T. Herro makes free throw 1 of 2,,1,22,20,2,669.0
0:51.0, ,20-23,T. Herro makes free throw 2 of 2,,1,23,20,3,669.0
0:36.0,A. Burks misses 3-pt jump shot from 25 ft,20-23, ,,1,23,20,3,684.0
0:32.0, ,20-23,Defensive rebound by T. Herro,,1,23,20,3,688.0
0:23.0, ,20-25,T. Herro makes 2-pt jump shot from 16 ft,,1,25,20,5,697.0
0:01.0,S. Bey misses 2-pt jump shot from 17 ft,20-25, ,,1,25,20,5,719.0
0:01.0,Offensive rebound by Team,20-25, ,,1,25,20,5,719.0
0:00.0,End of 1st quarter,20-25,,,1,25,20,5,720.0
12:00.0,Start of 2nd quarter,20-25,,,2,25,20,5,720.0
12:00.0, ,20-25,Violation by Team (delay of game),,2,25,20,5,720.0
11:40.0, ,20-25,D. Robinson misses 3-pt jump shot from 25 ft,,2,25,20,5,740.0
11:35.0,Defensive rebound by A. Burks,20-25, ,,2,25,20,5,745.0
11:21.0,Turnover by J. Duren (step out of bounds),20-25, ,,2,25,20,5,759.0
11:09.0, ,20-25,D. Robinson misses 2-pt hook shot from 9 ft,,2,25,20,5,771.0
11:06.0,Defensive rebound by A. Burks,20-25, ,,2,25,20,5,774.0
10:54.0,S. Bey misses 2-pt layup from 1 ft,20-25, ,,2,25,20,5,786.0
10:53.0, ,20-25,Defensive rebound by H. Highsmith,,2,25,20,5,787.0
10:52.0, ,20-25,Turnover by H. Highsmith (lost ball; steal by S. Bey),,2,25,20,5,788.0
10:39.0,Shooting foul by H. Highsmith (drawn by S. Bey),20-25, ,,2,25,20,5,801.0
10:39.0,S. Bey makes free throw 1 of 2,21-25, ,,2,25,21,4,801.0
10:39.0, ,21-25,B. Adebayo enters the game for N. Jović,,2,25,21,4,801.0
10:39.0,S. Bey makes free throw 2 of 2,22-25, ,,2,25,22,3,801.0
10:28.0, ,22-25,Turnover by D. Robinson (bad pass; steal by S. Bey),,2,25,22,3,812.0
10:21.0,K. Knox misses 3-pt jump shot from 27 ft,22-25, ,,2,25,22,3,819.0
10:17.0, ,22-25,Defensive rebound by H. Highsmith,,2,25,22,3,823.0
10:10.0, ,22-25,H. Highsmith misses 2-pt jump shot from 19 ft,,2,25,22,3,830.0
10:07.0,Defensive rebound by A. Burks,22-25, ,,2,25,22,3,833.0
10:04.0,J. Duren makes 2-pt dunk from 2 ft (assist by A. Burks),24-25, ,,2,25,24,1,836.0
9:50.0, ,24-25,Shooting foul by J. Duren (drawn by T. Herro),,2,25,24,1,850.0
9:50.0, ,24-26,T. Herro makes free throw 1 of 2,,2,26,24,2,850.0
9:50.0, ,24-27,T. Herro makes free throw 2 of 2,,2,27,24,3,850.0
9:35.0,Personal foul by H. Highsmith (drawn by A. Burks),24-27, ,,2,27,24,3,865.0
9:28.0,C. Joseph makes 3-pt jump shot from 25 ft,27-27, ,Tie,2,27,27,0,872.0
9:17.0, ,27-29,T. Herro makes 2-pt jump shot from 6 ft,,2,29,27,2,883.0
9:07.0,K. Knox makes 2-pt jump shot from 9 ft (assist by C. Joseph),29-29, ,Tie,2,29,29,0,893.0
8:54.0, ,29-31,B. Adebayo makes 2-pt hook shot from 5 ft (assist by D. Robinson),,2,31,29,2,906.0
8:39.0,A. Burks misses 2-pt jump shot from 8 ft,29-31, ,,2,31,29,2,921.0
8:37.0, ,29-31,Defensive rebound by D. Robinson,,2,31,29,2,923.0
8:22.0, ,29-31,Def 3 sec tech foul by Team,,2,31,29,2,938.0
8:22.0, ,29-32,T. Herro makes technical free throw,,2,32,29,3,938.0
8:12.0, ,29-34,T. Herro makes 2-pt jump shot from 7 ft (assist by V. Oladipo),,2,34,29,5,948.0
7:49.0,Turnover by K. Knox (bad pass; steal by T. Herro),29-34, ,,2,34,29,5,971.0
7:44.0, ,29-34,V. Oladipo misses 2-pt layup from 3 ft,,2,34,29,5,976.0
7:42.0,Defensive rebound by A. Burks,29-34, ,,2,34,29,5,978.0
7:28.0,A. Burks makes 2-pt jump shot from 10 ft,31-34, ,,2,34,31,3,992.0
7:28.0,Shooting foul by D. Robinson (drawn by A. Burks),31-34, ,,2,34,31,3,992.0
7:28.0,M. Bagley enters the game for J. Duren,31-34, ,,2,34,31,3,992.0
7:28.0, ,31-34,K. Lowry enters the game for T. Herro,,2,34,31,3,992.0
7:28.0, ,31-34,C. Martin enters the game for V. Oladipo,,2,34,31,3,992.0
7:28.0,A. Burks makes free throw 1 of 1,32-34, ,,2,34,32,2,992.0
7:20.0, ,32-34,D. Robinson misses 3-pt jump shot from 25 ft,,2,34,32,2,1000.0
7:17.0,Defensive rebound by A. Burks,32-34, ,,2,34,32,2,1003.0
7:06.0,A. Burks misses 3-pt jump shot from 26 ft,32-34, ,,2,34,32,2,1014.0
7:04.0,Offensive rebound by M. Bagley,32-34, ,,2,34,32,2,1016.0
7:04.0,Turnover by S. Bey (traveling),32-34, ,,2,34,32,2,1016.0
7:04.0,J. Ivey enters the game for A. Burks,32-34, ,,2,34,32,2,1016.0
7:04.0, ,32-34,M. Strus enters the game for D. Robinson,,2,34,32,2,1016.0
6:49.0, ,32-34,B. Adebayo misses 2-pt jump shot from 9 ft,,2,34,32,2,1031.0
6:46.0,Defensive rebound by S. Bey,32-34, ,,2,34,32,2,1034.0
6:35.0,Turnover by K. Knox (bad pass; steal by K. Lowry),32-34, ,,2,34,32,2,1045.0
6:25.0, ,32-36,B. Adebayo makes 2-pt hook shot from 7 ft (assist by K. Lowry),,2,36,32,4,1055.0
6:12.0,C. Joseph misses 3-pt jump shot from 27 ft,32-36, ,,2,36,32,4,1068.0
6:12.0, ,32-36,Defensive rebound by B. Adebayo,,2,36,32,4,1068.0
5:56.0, ,32-36,B. Adebayo misses 2-pt jump shot from 8 ft,,2,36,32,4,1084.0
5:53.0,Defensive rebound by K. Knox,32-36, ,,2,36,32,4,1087.0
5:48.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by J. Ivey),35-36, ,,2,36,35,1,1092.0
5:32.0, ,35-36,Personal foul by K. Knox (drawn by B. Adebayo),,2,36,35,1,1108.0
5:32.0, ,35-36,Miami full timeout,,2,36,35,1,1108.0
5:32.0,B. Bogdanović enters the game for S. Bey,35-36, ,,2,36,35,1,1108.0
5:32.0,K. Hayes enters the game for C. Joseph,35-36, ,,2,36,35,1,1108.0
5:32.0,I. Stewart enters the game for K. Knox,35-36, ,,2,36,35,1,1108.0
5:19.0, ,35-36,K. Lowry misses 3-pt jump shot from 29 ft,,2,36,35,1,1121.0
5:16.0, ,35-36,Offensive rebound by H. Highsmith,,2,36,35,1,1124.0
5:16.0, ,35-36,Turnover by B. Adebayo (off goaltending),,2,36,35,1,1124.0
5:03.0,M. Bagley misses 2-pt layup from 2 ft,35-36, ,,2,36,35,1,1137.0
5:01.0,Offensive rebound by M. Bagley,35-36, ,,2,36,35,1,1139.0
4:59.0,M. Bagley misses 2-pt layup from 3 ft,35-36, ,,2,36,35,1,1141.0
4:57.0, ,35-36,Defensive rebound by B. Adebayo,,2,36,35,1,1143.0
4:55.0, ,35-36,Personal foul by K. Hayes (drawn by M. Strus),,2,36,35,1,1145.0
4:44.0, ,35-38,B. Adebayo makes 2-pt jump shot from 11 ft (assist by M. Strus),,2,38,35,3,1156.0
4:18.0,I. Stewart makes 3-pt jump shot from 24 ft (assist by K. Hayes),38-38, ,Tie,2,38,38,0,1182.0
4:06.0, ,38-38,C. Martin misses 3-pt jump shot from 23 ft,,2,38,38,0,1194.0
4:02.0, ,38-38,Offensive rebound by Team,,2,38,38,0,1198.0
3:52.0, ,38-38,B. Adebayo misses 2-pt hook shot from 6 ft,,2,38,38,0,1208.0
3:49.0,Defensive rebound by I. Stewart,38-38, ,,2,38,38,0,1211.0
3:38.0,I. Stewart makes 2-pt layup from 1 ft,40-38, ,Lead change,2,38,40,-2,1222.0
3:23.0, ,40-38,Turnover by B. Adebayo (lost ball; steal by M. Bagley),,2,38,40,-2,1237.0
3:18.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by K. Hayes),43-38, ,,2,38,43,-5,1242.0
3:18.0, ,43-38,Miami full timeout,,2,38,43,-5,1242.0
3:18.0, ,43-38,T. Herro enters the game for H. Highsmith,,2,38,43,-5,1242.0
2:59.0, ,43-41,M. Strus makes 3-pt jump shot from 27 ft (assist by T. Herro),,2,41,43,-2,1261.0
2:33.0,K. Hayes misses 2-pt jump shot from 19 ft,43-41, ,,2,41,43,-2,1287.0
2:29.0, ,43-41,Defensive rebound by K. Lowry,,2,41,43,-2,1291.0
2:28.0, ,43-41,Shooting foul by J. Ivey (drawn by K. Lowry),,2,41,43,-2,1292.0
2:28.0, ,43-41,K. Lowry misses free throw 1 of 2,,2,41,43,-2,1292.0
2:28.0, ,43-41,Offensive rebound by Team,,2,41,43,-2,1292.0
2:28.0, ,43-42,K. Lowry makes free throw 2 of 2,,2,42,43,-1,1292.0
2:17.0,Personal foul by C. Martin (drawn by M. Bagley),43-42, ,,2,42,43,-1,1303.0
2:04.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by K. Hayes),46-42, ,,2,42,46,-4,1316.0
1:57.0, ,46-42,Shooting foul by M. Bagley (drawn by B. Adebayo),,2,42,46,-4,1323.0
1:57.0, ,46-42,B. Adebayo misses free throw 1 of 2,,2,42,46,-4,1323.0
1:57.0, ,46-42,Offensive rebound by Team,,2,42,46,-4,1323.0
1:57.0, ,46-42,B. Adebayo misses free throw 2 of 2,,2,42,46,-4,1323.0
1:54.0,Defensive rebound by I. Stewart,46-42, ,,2,42,46,-4,1326.0
1:42.0,I. Stewart misses 3-pt jump shot from 23 ft,46-42, ,,2,42,46,-4,1338.0
1:37.0, ,46-42,Defensive rebound by C. Martin,,2,42,46,-4,1343.0
1:27.0, ,46-44,B. Adebayo makes 2-pt hook shot from 4 ft (assist by T. Herro),,2,44,46,-2,1353.0
1:17.0,Turnover by J. Ivey (bad pass; steal by K. Lowry),46-44, ,,2,44,46,-2,1363.0
1:13.0, ,46-47,T. Herro makes 3-pt jump shot from 25 ft (assist by B. Adebayo),Lead change,2,47,46,1,1367.0
1:13.0,Detroit full timeout,46-47, ,,2,47,46,1,1367.0
1:13.0, ,46-47,H. Highsmith enters the game for B. Adebayo,,2,47,46,1,1367.0
1:13.0,Violation by Team (delay of game),46-47, ,,2,47,46,1,1367.0
1:00.0,Shooting foul by M. Strus (drawn by J. Ivey),46-47, ,,2,47,46,1,1380.0
1:00.0,J. Ivey misses free throw 1 of 2,46-47, ,,2,47,46,1,1380.0
1:00.0,Offensive rebound by Team,46-47, ,,2,47,46,1,1380.0
1:00.0,J. Ivey makes free throw 2 of 2,47-47, ,Tie,2,47,47,0,1380.0
0:42.0, ,47-47,C. Martin misses 3-pt jump shot from 28 ft,,2,47,47,0,1398.0
0:41.0,Defensive rebound by Team,47-47, ,,2,47,47,0,1399.0
0:33.0,K. Hayes misses 3-pt jump shot from 28 ft,47-47, ,,2,47,47,0,1407.0
0:30.0, ,47-47,Defensive rebound by K. Lowry,,2,47,47,0,1410.0
0:25.0, ,47-50,M. Strus makes 3-pt jump shot from 26 ft (assist by K. Lowry),,2,50,47,3,1415.0
0:01.0,J. Ivey misses 3-pt jump shot from 36 ft,47-50, ,,2,50,47,3,1439.0
0:00.0,Offensive rebound by Team,47-50, ,,2,50,47,3,1440.0
0:00.0,Turnover by Team (shot clock),47-50, ,,2,50,47,3,1440.0
0:00.0,End of 2nd quarter,47-50,,,2,50,47,3,1440.0
12:00.0,Start of 3rd quarter,47-50,,,3,50,47,3,1440.0
11:38.0, ,47-52,B. Adebayo makes 2-pt hook shot from 6 ft,,3,52,47,5,1462.0
11:15.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by K. Hayes),49-52, ,,3,52,49,3,1485.0
11:10.0, ,49-54,M. Strus makes 2-pt dunk from 1 ft (assist by K. Lowry),,3,54,49,5,1490.0
10:45.0,B. Bogdanović misses 2-pt jump shot from 9 ft,49-54, ,,3,54,49,5,1515.0
10:40.0, ,49-54,Defensive rebound by B. Adebayo,,3,54,49,5,1520.0
10:32.0, ,49-54,Offensive foul by C. Martin (drawn by K. Hayes),,3,54,49,5,1528.0
10:32.0, ,49-54,Turnover by C. Martin (offensive foul),,3,54,49,5,1528.0
10:17.0,M. Bagley misses 2-pt layup from 2 ft,49-54, ,,3,54,49,5,1543.0
10:13.0, ,49-54,Defensive rebound by B. Adebayo,,3,54,49,5,1547.0
10:11.0, ,49-54,Shooting foul by J. Ivey (drawn by T. Herro),,3,54,49,5,1549.0
10:11.0, ,49-55,T. Herro makes free throw 1 of 2,,3,55,49,6,1549.0
10:11.0, ,49-56,T. Herro makes free throw 2 of 2,,3,56,49,7,1549.0
9:49.0,B. Bogdanović makes 2-pt jump shot from 13 ft,51-56, ,,3,56,51,5,1571.0
9:34.0, ,51-56,Turnover by C. Martin (bad pass; steal by M. Bagley),,3,56,51,5,1586.0
9:27.0,J. Ivey misses 2-pt layup from 2 ft,51-56, ,,3,56,51,5,1593.0
9:22.0,Offensive rebound by I. Stewart,51-56, ,,3,56,51,5,1598.0
9:22.0,I. Stewart misses 2-pt layup at rim,51-56, ,,3,56,51,5,1598.0
9:21.0, ,51-56,Defensive rebound by M. Strus,,3,56,51,5,1599.0
9:21.0, ,51-56,Personal foul by K. Hayes (drawn by K. Lowry),,3,56,51,5,1599.0
9:21.0, ,51-56,Instant Replay,,3,56,51,5,1599.0
9:21.0, ,51-56,Instant Replay (Request: Ruling Stands),,3,56,51,5,1599.0
9:01.0, ,51-58,T. Herro makes 2-pt layup from 3 ft,,3,58,51,7,1619.0
8:48.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. Hayes),54-58, ,,3,58,54,4,1632.0
8:31.0, ,54-61,C. Martin makes 3-pt jump shot from 24 ft (assist by T. Herro),,3,61,54,7,1649.0
8:13.0,Turnover by B. Bogdanović (bad pass; steal by C. Martin),54-61, ,,3,61,54,7,1667.0
8:09.0, ,54-61,C. Martin misses 2-pt layup from 2 ft,,3,61,54,7,1671.0
8:09.0, ,54-61,Offensive rebound by M. Strus,,3,61,54,7,1671.0
8:09.0, ,54-61,Personal foul by J. Ivey (drawn by M. Strus),,3,61,54,7,1671.0
7:57.0, ,54-61,B. Adebayo misses 2-pt jump shot from 10 ft,,3,61,54,7,1683.0
7:54.0,Defensive rebound by M. Bagley,54-61, ,,3,61,54,7,1686.0
7:46.0,B. Bogdanović makes 2-pt jump shot from 14 ft,56-61, ,,3,61,56,5,1694.0
7:40.0, ,56-61,T. Herro misses 2-pt jump shot from 12 ft,,3,61,56,5,1700.0
7:37.0,Defensive rebound by I. Stewart,56-61, ,,3,61,56,5,1703.0
7:36.0,Shooting foul by M. Strus (drawn by J. Ivey),56-61, ,,3,61,56,5,1704.0
7:36.0,J. Ivey makes free throw 1 of 2,57-61, ,,3,61,57,4,1704.0
7:36.0,S. Bey enters the game for M. Bagley,57-61, ,,3,61,57,4,1704.0
7:36.0,J. Ivey makes free throw 2 of 2,58-61, ,,3,61,58,3,1704.0
7:18.0, ,58-61,M. Strus misses 2-pt layup from 3 ft,,3,61,58,3,1722.0
7:16.0,Defensive rebound by B. Bogdanović,58-61, ,,3,61,58,3,1724.0
7:09.0,I. Stewart makes 2-pt hook shot from 2 ft (assist by S. Bey),60-61, ,,3,61,60,1,1731.0
6:55.0, ,60-61,M. Strus misses 3-pt jump shot from 29 ft,,3,61,60,1,1745.0
6:52.0,Defensive rebound by K. Hayes,60-61, ,,3,61,60,1,1748.0
6:49.0,Personal foul by M. Strus (drawn by I. Stewart),60-61, ,,3,61,60,1,1751.0
6:49.0, ,60-61,Miami full timeout,,3,61,60,1,1751.0
6:49.0,A. Burks enters the game for J. Ivey,60-61, ,,3,61,60,1,1751.0
6:39.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by I. Stewart),63-61, ,Lead change,3,61,63,-2,1761.0
6:13.0, ,63-61,M. Strus misses 3-pt jump shot from 28 ft,,3,61,63,-2,1787.0
6:12.0, ,63-61,Offensive rebound by Team,,3,61,63,-2,1788.0
6:12.0,Loose ball foul by B. Bogdanović (drawn by B. Adebayo),63-61, ,,3,61,63,-2,1788.0
6:00.0, ,63-63,B. Adebayo makes 2-pt layup from 2 ft (assist by T. Herro),Tie,3,63,63,0,1800.0
5:46.0,A. Burks makes 3-pt jump shot from 23 ft (assist by I. Stewart),66-63, ,,3,63,66,-3,1814.0
5:30.0, ,66-63,Turnover by C. Martin (bad pass; steal by S. Bey),,3,63,66,-3,1830.0
5:26.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by S. Bey),68-63, ,,3,63,68,-5,1834.0
5:12.0, ,68-63,T. Herro misses 2-pt jump shot from 9 ft,,3,63,68,-5,1848.0
5:09.0, ,68-63,Offensive rebound by B. Adebayo,,3,63,68,-5,1851.0
5:07.0, ,68-63,M. Strus misses 3-pt jump shot from 27 ft,,3,63,68,-5,1853.0
5:03.0,Defensive rebound by I. Stewart,68-63, ,,3,63,68,-5,1857.0
4:54.0,B. Bogdanović misses 3-pt jump shot from 28 ft,68-63, ,,3,63,68,-5,1866.0
4:51.0, ,68-63,Defensive rebound by T. Herro,,3,63,68,-5,1869.0
4:45.0, ,68-65,T. Herro makes 2-pt layup from 2 ft,,3,65,68,-3,1875.0
4:45.0, ,68-65,Shooting foul by S. Bey (drawn by T. Herro),,3,65,68,-3,1875.0
4:45.0,J. Duren enters the game for I. Stewart,68-65, ,,3,65,68,-3,1875.0
4:45.0, ,68-66,T. Herro makes free throw 1 of 1,,3,66,68,-2,1875.0
4:28.0,A. Burks misses 3-pt jump shot from 24 ft,68-66, ,,3,66,68,-2,1892.0
4:26.0, ,68-66,Defensive rebound by K. Lowry,,3,66,68,-2,1894.0
4:25.0, ,68-66,Shooting foul by S. Bey (drawn by K. Lowry),,3,66,68,-2,1895.0
4:25.0, ,68-67,K. Lowry makes free throw 1 of 2,,3,67,68,-1,1895.0
4:25.0, ,68-68,K. Lowry makes free throw 2 of 2,Tie,3,68,68,0,1895.0
4:02.0,K. Hayes makes 3-pt jump shot from 25 ft (assist by A. Burks),71-68, ,,3,68,71,-3,1918.0
3:54.0, ,71-68,Turnover by K. Lowry (lost ball; steal by B. Bogdanović),,3,68,71,-3,1926.0
3:48.0,A. Burks misses 3-pt jump shot from 26 ft,71-68, ,,3,68,71,-3,1932.0
3:45.0, ,71-68,Defensive rebound by K. Lowry,,3,68,71,-3,1935.0
3:45.0, ,71-68,H. Highsmith enters the game for T. Herro,,3,68,71,-3,1935.0
3:45.0, ,71-68,V. Oladipo enters the game for C. Martin,,3,68,71,-3,1935.0
3:27.0, ,71-68,H. Highsmith misses 3-pt jump shot from 24 ft,,3,68,71,-3,1953.0
