Time,Miami,Score,Charlotte,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:17.0,Defensive rebound by T. Herro,37-48, ,,2,37,48,-11,1243.0
3:09.0,C. Zeller misses 2-pt jump shot from 9 ft,37-48, ,,2,37,48,-11,1251.0
3:07.0, ,37-48,Defensive rebound by M. Williams,,2,37,48,-11,1253.0
3:07.0, ,37-48,K. Oubre enters the game for J. Thor,,2,37,48,-11,1253.0
2:53.0, ,37-48,K. Oubre misses 2-pt jump shot from 16 ft,,2,37,48,-11,1267.0
2:50.0,Defensive rebound by J. Butler,37-48, ,,2,37,48,-11,1270.0
2:47.0,C. Zeller makes 2-pt layup from 2 ft (assist by J. Butler),39-48, ,,2,39,48,-9,1273.0
2:33.0, ,39-50,M. Williams makes 2-pt dunk from 1 ft (assist by L. Ball),,2,39,50,-11,1287.0
2:24.0,Miami full timeout,39-50, ,,2,39,50,-11,1296.0
2:24.0,B. Adebayo enters the game for C. Zeller,39-50, ,,2,39,50,-11,1296.0
2:24.0, ,39-50,J. Thor enters the game for G. Hayward,,2,39,50,-11,1296.0
2:15.0,Shooting foul by M. Williams (drawn by J. Butler),39-50, ,,2,39,50,-11,1305.0
2:15.0,J. Butler makes free throw 1 of 2,40-50, ,,2,40,50,-10,1305.0
2:15.0,J. Butler makes free throw 2 of 2,41-50, ,,2,41,50,-9,1305.0
1:54.0, ,41-50,Personal foul by B. Adebayo (drawn by T. Rozier),,2,41,50,-9,1326.0
1:54.0, ,41-51,T. Rozier makes free throw 1 of 2,,2,41,51,-10,1326.0
1:54.0,C. Martin enters the game for B. Adebayo,41-51, ,,2,41,51,-10,1326.0
1:54.0, ,41-52,T. Rozier makes free throw 2 of 2,,2,41,52,-11,1326.0
1:48.0,Technical foul by B. Adebayo,41-52, ,,2,41,52,-11,1332.0
1:48.0, ,41-52,L. Ball misses technical free throw,,2,41,52,-11,1332.0
1:48.0,Defensive rebound by Team,41-52, ,,2,41,52,-11,1332.0
1:36.0,K. Love makes 3-pt jump shot from 23 ft (assist by J. Butler),44-52, ,,2,44,52,-8,1344.0
1:24.0, ,44-52,M. Williams misses 2-pt jump shot from 7 ft,,2,44,52,-8,1356.0
1:23.0, ,44-52,Offensive rebound by M. Williams,,2,44,52,-8,1357.0
1:20.0, ,44-54,M. Williams makes 2-pt dunk from 1 ft,,2,44,54,-10,1360.0
1:12.0,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),47-54, ,,2,47,54,-7,1368.0
0:52.0, ,47-54,J. Thor misses 2-pt jump shot from 9 ft,,2,47,54,-7,1388.0
0:52.0,Defensive rebound by Team,47-54, ,,2,47,54,-7,1388.0
0:52.0, ,47-54,Loose ball foul by M. Williams (drawn by K. Love),,2,47,54,-7,1388.0
0:52.0,K. Love makes free throw 1 of 2,48-54, ,,2,48,54,-6,1388.0
0:52.0,V. Oladipo enters the game for G. Vincent,48-54, ,,2,48,54,-6,1388.0
0:52.0, ,48-54,N. Richards enters the game for M. Williams,,2,48,54,-6,1388.0
0:52.0,K. Love makes free throw 2 of 2,49-54, ,,2,49,54,-5,1388.0
0:35.0, ,49-54,L. Ball misses 2-pt jump shot from 3 ft,,2,49,54,-5,1405.0
0:33.0,Defensive rebound by K. Love,49-54, ,,2,49,54,-5,1407.0
0:23.0,Shooting foul by K. Oubre (drawn by J. Butler),49-54, ,,2,49,54,-5,1417.0
0:23.0,J. Butler makes free throw 1 of 2,50-54, ,,2,50,54,-4,1417.0
0:23.0,J. Butler makes free throw 2 of 2,51-54, ,,2,51,54,-3,1417.0
0:04.0, ,51-54,L. Ball misses 2-pt layup from 2 ft,,2,51,54,-3,1436.0
0:02.0, ,51-54,Offensive rebound by K. Oubre,,2,51,54,-3,1438.0
0:00.0, ,51-54,T. Rozier misses 3-pt jump shot from 26 ft,,2,51,54,-3,1440.0
0:00.0, ,51-54,Offensive rebound by Team,,2,51,54,-3,1440.0
0:00.0,End of 2nd quarter,51-54,,,2,51,54,-3,1440.0
12:00.0,Start of 3rd quarter,51-54,,,3,51,54,-3,1440.0
11:49.0, ,51-54,G. Hayward misses 3-pt jump shot from 25 ft,,3,51,54,-3,1451.0
11:46.0,Defensive rebound by K. Love,51-54, ,,3,51,54,-3,1454.0
11:30.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),53-54, ,,3,53,54,-1,1470.0
11:30.0,Shooting foul by J. Thor (drawn by B. Adebayo),53-54, ,,3,53,54,-1,1470.0
11:30.0,B. Adebayo misses free throw 1 of 1,53-54, ,,3,53,54,-1,1470.0
11:28.0, ,53-54,Defensive rebound by M. Williams,,3,53,54,-1,1472.0
11:15.0, ,53-54,Turnover by L. Ball (bad pass; steal by T. Herro),,3,53,54,-1,1485.0
11:12.0,Turnover by T. Herro (lost ball; steal by T. Rozier),53-54, ,,3,53,54,-1,1488.0
11:05.0, ,53-54,Turnover by T. Rozier (out of bounds lost ball),,3,53,54,-1,1495.0
10:44.0,K. Love misses 3-pt jump shot from 27 ft,53-54, ,,3,53,54,-1,1516.0
10:42.0, ,53-54,Defensive rebound by L. Ball,,3,53,54,-1,1518.0
10:36.0, ,53-57,L. Ball makes 3-pt jump shot from 28 ft,,3,53,57,-4,1524.0
10:25.0,Offensive foul by G. Vincent (drawn by L. Ball),53-57, ,,3,53,57,-4,1535.0
10:25.0,Turnover by G. Vincent (offensive foul),53-57, ,,3,53,57,-4,1535.0
