Time,Miami,Score,Oklahoma City,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:27.0, ,56-40,J. Giddey makes 2-pt layup from 1 ft (assist by A. Wiggins),,2,56,40,16,1173.0
4:10.0,D. Robinson misses 3-pt jump shot from 24 ft,56-40, ,,2,56,40,16,1190.0
4:07.0,Offensive rebound by B. Adebayo,56-40, ,,2,56,40,16,1193.0
4:04.0,Shooting foul by S. Gilgeous-Alexander (drawn by B. Adebayo),56-40, ,,2,56,40,16,1196.0
4:04.0,B. Adebayo makes free throw 1 of 2,57-40, ,,2,57,40,17,1196.0
4:04.0,B. Adebayo makes free throw 2 of 2,58-40, ,,2,58,40,18,1196.0
3:49.0, ,58-40,J. Giddey misses 3-pt jump shot from 25 ft,,2,58,40,18,1211.0
3:44.0,Defensive rebound by H. Highsmith,58-40, ,,2,58,40,18,1216.0
3:35.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),61-40, ,,2,61,40,21,1225.0
3:18.0, ,61-40,L. Dort misses 3-pt jump shot from 25 ft,,2,61,40,21,1242.0
3:15.0, ,61-40,Offensive rebound by J. Giddey,,2,61,40,21,1245.0
3:13.0, ,61-43,L. Dort makes 3-pt jump shot from 23 ft (assist by J. Giddey),,2,61,43,18,1247.0
2:52.0,Turnover by C. Martin (out of bounds lost ball),61-43, ,,2,61,43,18,1268.0
2:52.0, ,61-43,I. Joe enters the game for D. Bazley,,2,61,43,18,1268.0
2:52.0, ,61-43,M. Muscala enters the game for A. Wiggins,,2,61,43,18,1268.0
2:43.0, ,61-46,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft,,2,61,46,15,1277.0
2:26.0,K. Lowry misses 3-pt jump shot from 28 ft,61-46, ,,2,61,46,15,1294.0
2:25.0, ,61-46,Defensive rebound by Team,,2,61,46,15,1295.0
2:19.0, ,61-46,I. Joe misses 3-pt jump shot from 24 ft,,2,61,46,15,1301.0
2:16.0,Defensive rebound by K. Lowry,61-46, ,,2,61,46,15,1304.0
2:08.0,Turnover by H. Highsmith (lost ball; steal by S. Gilgeous-Alexander),61-46, ,,2,61,46,15,1312.0
2:04.0, ,61-48,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,2,61,48,13,1316.0
1:49.0,C. Martin makes 3-pt jump shot from 26 ft (assist by B. Adebayo),64-48, ,,2,64,48,16,1331.0
1:27.0, ,64-48,L. Dort misses 2-pt jump shot from 12 ft,,2,64,48,16,1353.0
1:25.0,Defensive rebound by B. Adebayo,64-48, ,,2,64,48,16,1355.0
1:15.0,Offensive foul by B. Adebayo (drawn by L. Dort),64-48, ,,2,64,48,16,1365.0
1:15.0,Turnover by B. Adebayo (offensive foul),64-48, ,,2,64,48,16,1365.0
1:15.0,T. Herro enters the game for H. Highsmith,64-48, ,,2,64,48,16,1365.0
1:15.0,V. Oladipo enters the game for D. Robinson,64-48, ,,2,64,48,16,1365.0
0:59.0, ,64-50,S. Gilgeous-Alexander makes 2-pt jump shot from 8 ft,,2,64,50,14,1381.0
0:41.0,B. Adebayo misses 2-pt jump shot from 16 ft,64-50, ,,2,64,50,14,1399.0
0:38.0, ,64-50,Defensive rebound by S. Gilgeous-Alexander,,2,64,50,14,1402.0
0:32.0, ,64-50,J. Giddey misses 2-pt layup from 2 ft,,2,64,50,14,1408.0
0:31.0, ,64-50,Offensive rebound by L. Dort,,2,64,50,14,1409.0
0:31.0, ,64-52,L. Dort makes 2-pt layup at rim,,2,64,52,12,1409.0
0:12.0,T. Herro misses 3-pt jump shot from 27 ft,64-52, ,,2,64,52,12,1428.0
0:09.0,Offensive rebound by T. Herro,64-52, ,,2,64,52,12,1431.0
0:00.0,V. Oladipo misses 2-pt layup from 2 ft,64-52, ,,2,64,52,12,1440.0
0:00.0,Offensive rebound by Team,64-52, ,,2,64,52,12,1440.0
0:00.0,End of 2nd quarter,64-52,,,2,64,52,12,1440.0
12:00.0,Start of 3rd quarter,64-52,,,3,64,52,12,1440.0
11:45.0,M. Strus misses 3-pt jump shot from 26 ft,64-52, ,,3,64,52,12,1455.0
11:41.0, ,64-52,Defensive rebound by L. Dort,,3,64,52,12,1459.0
11:34.0, ,64-52,D. Bazley misses 2-pt layup from 4 ft,,3,64,52,12,1466.0
11:32.0,Defensive rebound by B. Adebayo,64-52, ,,3,64,52,12,1468.0
11:19.0,M. Strus misses 2-pt jump shot from 4 ft,64-52, ,,3,64,52,12,1481.0
11:16.0, ,64-52,Defensive rebound by S. Gilgeous-Alexander,,3,64,52,12,1484.0
11:12.0, ,64-52,J. Williams misses 2-pt jump shot from 7 ft,,3,64,52,12,1488.0
11:09.0,Defensive rebound by C. Martin,64-52, ,,3,64,52,12,1491.0
11:00.0,B. Adebayo misses 2-pt layup from 4 ft,64-52, ,,3,64,52,12,1500.0
10:57.0, ,64-52,Defensive rebound by D. Bazley,,3,64,52,12,1503.0
10:50.0, ,64-54,J. Williams makes 2-pt dunk from 2 ft (assist by J. Giddey),,3,64,54,10,1510.0
10:29.0,M. Strus misses 3-pt jump shot from 26 ft,64-54, ,,3,64,54,10,1531.0
10:26.0, ,64-54,Defensive rebound by D. Bazley,,3,64,54,10,1534.0
10:19.0, ,64-54,Personal foul by B. Adebayo (drawn by S. Gilgeous-Alexander),,3,64,54,10,1541.0
10:13.0, ,64-57,J. Williams makes 3-pt jump shot from 27 ft (assist by L. Dort),,3,64,57,7,1547.0
9:58.0,B. Adebayo misses 2-pt jump shot from 9 ft,64-57, ,,3,64,57,7,1562.0
9:55.0, ,64-57,Defensive rebound by J. Giddey,,3,64,57,7,1565.0
9:45.0, ,64-60,J. Williams makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,3,64,60,4,1575.0
9:24.0,T. Herro misses 2-pt jump shot from 15 ft,64-60, ,,3,64,60,4,1596.0
9:22.0, ,64-60,Defensive rebound by J. Giddey,,3,64,60,4,1598.0
9:17.0, ,64-62,J. Giddey makes 2-pt layup from 3 ft,,3,64,62,2,1603.0
9:17.0,Miami full timeout,64-62, ,,3,64,62,2,1603.0
9:01.0,T. Herro misses 2-pt layup from 3 ft (block by J. Williams),64-62, ,,3,64,62,2,1619.0
8:58.0,Offensive rebound by B. Adebayo,64-62, ,,3,64,62,2,1622.0
8:57.0,B. Adebayo makes 2-pt dunk at rim,66-62, ,,3,66,62,4,1623.0
8:43.0, ,66-65,L. Dort makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,3,66,65,1,1637.0
8:22.0,C. Martin misses 3-pt jump shot from 23 ft,66-65, ,,3,66,65,1,1658.0
8:19.0, ,66-65,Defensive rebound by J. Williams,,3,66,65,1,1661.0
8:10.0, ,66-65,L. Dort misses 2-pt layup from 4 ft,,3,66,65,1,1670.0
8:07.0,Defensive rebound by B. Adebayo,66-65, ,,3,66,65,1,1673.0
8:03.0,K. Lowry misses 3-pt jump shot from 25 ft,66-65, ,,3,66,65,1,1677.0
7:59.0, ,66-65,Defensive rebound by J. Giddey,,3,66,65,1,1681.0
7:51.0, ,66-65,J. Williams misses 2-pt jump shot from 9 ft,,3,66,65,1,1689.0
7:48.0,Defensive rebound by K. Lowry,66-65, ,,3,66,65,1,1692.0
7:36.0,T. Herro makes 3-pt jump shot from 25 ft (assist by C. Martin),69-65, ,,3,69,65,4,1704.0
7:18.0, ,69-67,D. Bazley makes 2-pt layup from 1 ft (assist by L. Dort),,3,69,67,2,1722.0
7:18.0, ,69-67,Shooting foul by B. Adebayo (drawn by D. Bazley),,3,69,67,2,1722.0
7:18.0, ,69-68,D. Bazley makes free throw 1 of 1,,3,69,68,1,1722.0
7:05.0,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Martin),72-68, ,,3,72,68,4,1735.0
6:46.0, ,72-70,D. Bazley makes 2-pt jump shot from 12 ft (assist by J. Giddey),,3,72,70,2,1754.0
6:32.0,Turnover by K. Lowry (bad pass; steal by L. Dort),72-70, ,,3,72,70,2,1768.0
6:25.0, ,72-72,J. Williams makes 2-pt dunk from 3 ft (assist by L. Dort),Tie,3,72,72,0,1775.0
6:06.0,M. Strus misses 2-pt layup from 1 ft (block by J. Williams),72-72, ,,3,72,72,0,1794.0
6:04.0, ,72-72,Defensive rebound by J. Giddey,,3,72,72,0,1796.0
5:58.0, ,72-72,L. Dort misses 3-pt jump shot from 24 ft,,3,72,72,0,1802.0
5:55.0,Defensive rebound by C. Martin,72-72, ,,3,72,72,0,1805.0
5:46.0,Personal foul by J. Williams (drawn by B. Adebayo),72-72, ,,3,72,72,0,1814.0
5:46.0,V. Oladipo enters the game for T. Herro,72-72, ,,3,72,72,0,1814.0
5:42.0,M. Strus makes 3-pt jump shot from 26 ft (assist by B. Adebayo),75-72, ,,3,75,72,3,1818.0
5:25.0, ,75-72,J. Williams misses 3-pt jump shot from 27 ft,,3,75,72,3,1835.0
5:24.0, ,75-72,Offensive rebound by D. Bazley,,3,75,72,3,1836.0
5:24.0, ,75-72,Personal foul by V. Oladipo (drawn by D. Bazley),,3,75,72,3,1836.0
5:12.0, ,75-72,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,3,75,72,3,1848.0
5:11.0,Defensive rebound by Team,75-72, ,,3,75,72,3,1849.0
4:59.0,B. Adebayo makes 2-pt jump shot from 11 ft,77-72, ,,3,77,72,5,1861.0
4:43.0, ,77-74,D. Bazley makes 2-pt dunk from 1 ft (assist by J. Giddey),,3,77,74,3,1877.0
4:21.0,M. Strus misses 3-pt jump shot from 23 ft,77-74, ,,3,77,74,3,1899.0
4:18.0, ,77-74,Defensive rebound by S. Gilgeous-Alexander,,3,77,74,3,1902.0
4:15.0, ,77-76,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,,3,77,76,1,1905.0
3:51.0,V. Oladipo misses 3-pt jump shot from 25 ft,77-76, ,,3,77,76,1,1929.0
3:47.0, ,77-76,Defensive rebound by J. Giddey,,3,77,76,1,1933.0
3:42.0, ,77-78,J. Giddey makes 2-pt layup from 1 ft (assist by J. Williams),Lead change,3,77,78,-1,1938.0
3:42.0,Miami full timeout,77-78, ,,3,77,78,-1,1938.0
3:42.0,D. Dedmon enters the game for B. Adebayo,77-78, ,,3,77,78,-1,1938.0
3:42.0,T. Herro enters the game for K. Lowry,77-78, ,,3,77,78,-1,1938.0
3:42.0,H. Highsmith enters the game for C. Martin,77-78, ,,3,77,78,-1,1938.0
3:42.0,D. Robinson enters the game for M. Strus,77-78, ,,3,77,78,-1,1938.0
3:42.0, ,77-78,I. Joe enters the game for D. Bazley,,3,77,78,-1,1938.0
3:42.0, ,77-78,M. Muscala enters the game for J. Giddey,,3,77,78,-1,1938.0
3:42.0, ,77-78,A. Wiggins enters the game for J. Williams,,3,77,78,-1,1938.0
3:18.0,T. Herro misses 3-pt jump shot from 25 ft,77-78, ,,3,77,78,-1,1962.0
3:15.0,Offensive rebound by H. Highsmith,77-78, ,,3,77,78,-1,1965.0
3:13.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by H. Highsmith),80-78, ,Lead change,3,80,78,2,1967.0
2:57.0, ,80-80,M. Muscala makes 2-pt jump shot from 12 ft (assist by L. Dort),Tie,3,80,80,0,1983.0
2:44.0,Personal foul by M. Muscala (drawn by D. Dedmon),80-80, ,,3,80,80,0,1996.0
2:35.0,T. Herro misses 2-pt jump shot from 12 ft,80-80, ,,3,80,80,0,2005.0
2:32.0, ,80-80,Defensive rebound by S. Gilgeous-Alexander,,3,80,80,0,2008.0
2:28.0, ,80-80,Personal foul by V. Oladipo (drawn by S. Gilgeous-Alexander),,3,80,80,0,2012.0
2:18.0, ,80-80,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,3,80,80,0,2022.0
2:14.0,Defensive rebound by D. Dedmon,80-80, ,,3,80,80,0,2026.0
2:05.0,Turnover by D. Robinson (bad pass; steal by A. Wiggins),80-80, ,,3,80,80,0,2035.0
2:01.0, ,80-82,A. Wiggins makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),Lead change,3,80,82,-2,2039.0
