Time,Miami,Score,LA Lakers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:18.0, ,12-13,T. Bryant makes 2-pt layup at rim,Lead change,1,12,13,-1,342.0
6:05.0,J. Butler misses 2-pt jump shot from 17 ft,12-13, ,,1,12,13,-1,355.0
6:03.0,Offensive rebound by C. Martin,12-13, ,,1,12,13,-1,357.0
6:03.0,C. Martin makes 2-pt layup at rim,14-13, ,Lead change,1,14,13,1,357.0
6:03.0, ,14-13,Violation by Team (def goaltending),,1,14,13,1,357.0
5:54.0, ,14-13,Personal foul by C. Martin (drawn by T. Bryant),,1,14,13,1,366.0
5:54.0,V. Oladipo enters the game for T. Herro,14-13, ,,1,14,13,1,366.0
5:46.0, ,14-13,R. Westbrook misses 2-pt layup from 4 ft (block by B. Adebayo),,1,14,13,1,374.0
5:43.0,Defensive rebound by C. Martin,14-13, ,,1,14,13,1,377.0
5:37.0,Turnover by B. Adebayo (lost ball; steal by D. Schröder),14-13, ,,1,14,13,1,383.0
5:37.0,O. Robinson enters the game for B. Adebayo,14-13, ,,1,14,13,1,383.0
5:37.0, ,14-13,T. Brown enters the game for P. Beverley,,1,14,13,1,383.0
5:21.0, ,14-13,D. Schröder misses 3-pt jump shot from 27 ft,,1,14,13,1,399.0
5:17.0, ,14-13,Offensive rebound by T. Bryant,,1,14,13,1,403.0
5:15.0, ,14-13,Turnover by T. Bryant (lost ball; steal by O. Robinson),,1,14,13,1,405.0
5:02.0,J. Butler misses 2-pt layup from 5 ft,14-13, ,,1,14,13,1,418.0
5:01.0, ,14-13,Defensive rebound by Team,,1,14,13,1,419.0
5:01.0, ,14-13,W. Gabriel enters the game for T. Bryant,,1,14,13,1,419.0
5:01.0,Jump ball: R. Westbrook vs. O. Robinson (A. Reaves gains possession),14-13,,,1,14,13,1,419.0
4:42.0, ,14-15,W. Gabriel makes 2-pt layup from 5 ft (assist by R. Westbrook),Lead change,1,14,15,-1,438.0
4:29.0,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),17-15, ,Lead change,1,17,15,2,451.0
4:21.0, ,17-17,T. Brown makes 2-pt layup from 4 ft (assist by R. Westbrook),Tie,1,17,17,0,459.0
4:03.0,C. Martin misses 3-pt jump shot from 23 ft,17-17, ,,1,17,17,0,477.0
4:00.0, ,17-17,Defensive rebound by A. Reaves,,1,17,17,0,480.0
3:57.0, ,17-19,R. Westbrook makes 2-pt jump shot from 11 ft (assist by A. Reaves),Lead change,1,17,19,-2,483.0
3:45.0,K. Lowry misses 3-pt jump shot from 27 ft,17-19, ,,1,17,19,-2,495.0
3:45.0, ,17-19,Defensive rebound by R. Westbrook,,1,17,19,-2,495.0
3:23.0, ,17-21,A. Reaves makes 2-pt layup from 3 ft (assist by R. Westbrook),,1,17,21,-4,517.0
3:23.0,Miami full timeout,17-21, ,,1,17,21,-4,517.0
3:23.0,M. Strus enters the game for C. Martin,17-21, ,,1,17,21,-4,517.0
3:23.0, ,17-21,M. Christie enters the game for A. Reaves,,1,17,21,-4,517.0
3:23.0, ,17-21,K. Nunn enters the game for D. Schröder,,1,17,21,-4,517.0
3:11.0,J. Butler makes 2-pt jump shot from 11 ft,19-21, ,,1,19,21,-2,529.0
2:53.0, ,19-21,Turnover by R. Westbrook (bad pass),,1,19,21,-2,547.0
2:53.0,G. Vincent enters the game for K. Lowry,19-21, ,,1,19,21,-2,547.0
2:28.0,J. Butler makes 3-pt jump shot from 27 ft,22-21, ,Lead change,1,22,21,1,572.0
2:16.0, ,22-23,W. Gabriel makes 2-pt layup from 2 ft (assist by R. Westbrook),Lead change,1,22,23,-1,584.0
2:02.0,Turnover by O. Robinson (lost ball),22-23, ,,1,22,23,-1,598.0
2:02.0,Loose ball foul by O. Robinson (drawn by W. Gabriel),22-23, ,,1,22,23,-1,598.0
2:02.0,B. Adebayo enters the game for J. Butler,22-23, ,,1,22,23,-1,598.0
2:02.0,T. Herro enters the game for O. Robinson,22-23, ,,1,22,23,-1,598.0
2:02.0, ,22-23,D. Schröder enters the game for K. Nunn,,1,22,23,-1,598.0
1:49.0, ,22-23,R. Westbrook misses 2-pt layup from 4 ft,,1,22,23,-1,611.0
1:43.0, ,22-23,Offensive rebound by R. Westbrook,,1,22,23,-1,617.0
1:43.0, ,22-23,R. Westbrook misses 2-pt layup from 4 ft,,1,22,23,-1,617.0
1:37.0,Defensive rebound by M. Strus,22-23, ,,1,22,23,-1,623.0
1:33.0,Turnover by T. Herro (bad pass; steal by D. Schröder),22-23, ,,1,22,23,-1,627.0
1:28.0, ,22-23,M. Christie misses 3-pt jump shot from 23 ft,,1,22,23,-1,632.0
1:25.0,Defensive rebound by B. Adebayo,22-23, ,,1,22,23,-1,635.0
1:14.0,M. Strus misses 2-pt jump shot from 4 ft,22-23, ,,1,22,23,-1,646.0
1:14.0, ,22-23,Defensive rebound by Team,,1,22,23,-1,646.0
1:14.0, ,22-23,K. Nunn enters the game for M. Christie,,1,22,23,-1,646.0
1:14.0,Jump ball: T. Brown vs. M. Strus (K. Nunn gains possession),22-23,,,1,22,23,-1,646.0
1:01.0, ,22-23,K. Nunn misses 2-pt layup from 6 ft,,1,22,23,-1,659.0
0:51.0,Defensive rebound by G. Vincent,22-23, ,,1,22,23,-1,669.0
0:50.0,T. Herro misses 2-pt jump shot from 17 ft,22-23, ,,1,22,23,-1,670.0
0:50.0, ,22-23,Defensive rebound by K. Nunn,,1,22,23,-1,670.0
0:47.0, ,22-26,K. Nunn makes 3-pt jump shot from 26 ft,,1,22,26,-4,673.0
0:30.0,B. Adebayo misses 2-pt layup from 3 ft,22-26, ,,1,22,26,-4,690.0
0:29.0, ,22-26,Defensive rebound by T. Brown,,1,22,26,-4,691.0
0:21.0, ,22-28,D. Schröder makes 2-pt layup from 3 ft,,1,22,28,-6,699.0
0:21.0, ,22-28,Shooting foul by M. Strus (drawn by D. Schröder),,1,22,28,-6,699.0
0:21.0, ,22-29,D. Schröder makes free throw 1 of 1,,1,22,29,-7,699.0
0:05.0,Shooting foul by R. Westbrook (drawn by V. Oladipo),22-29, ,,1,22,29,-7,715.0
0:05.0,V. Oladipo misses free throw 1 of 2,22-29, ,,1,22,29,-7,715.0
0:05.0,Offensive rebound by Team,22-29, ,,1,22,29,-7,715.0
0:05.0,V. Oladipo makes free throw 2 of 2,23-29, ,,1,23,29,-6,715.0
0:00.0, ,23-32,W. Gabriel makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,1,23,32,-9,720.0
0:00.0, ,23-32,Instant Replay (Request: Ruling Stands),,1,23,32,-9,720.0
0:00.0,End of 1st quarter,23-32,,,1,23,32,-9,720.0
12:00.0,Start of 2nd quarter,23-32,,,2,23,32,-9,720.0
11:41.0,T. Herro misses 3-pt jump shot from 26 ft,23-32, ,,2,23,32,-9,739.0
11:39.0, ,23-32,Defensive rebound by R. Westbrook,,2,23,32,-9,741.0
11:36.0, ,23-32,Turnover by R. Westbrook (bad pass),,2,23,32,-9,744.0
11:24.0,M. Strus misses 3-pt jump shot from 25 ft,23-32, ,,2,23,32,-9,756.0
11:21.0,Offensive rebound by V. Oladipo,23-32, ,,2,23,32,-9,759.0
11:19.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by V. Oladipo),25-32, ,,2,25,32,-7,761.0
11:02.0, ,25-32,M. Christie misses 3-pt jump shot from 23 ft,,2,25,32,-7,778.0
11:02.0, ,25-32,Offensive rebound by T. Brown,,2,25,32,-7,778.0
10:57.0, ,25-35,R. Westbrook makes 3-pt jump shot from 30 ft (assist by D. Schröder),,2,25,35,-10,783.0
10:39.0,Personal foul by M. Christie (drawn by B. Adebayo),25-35, ,,2,25,35,-10,801.0
10:31.0,T. Herro misses 2-pt layup from 4 ft,25-35, ,,2,25,35,-10,809.0
10:29.0, ,25-35,Defensive rebound by W. Gabriel,,2,25,35,-10,811.0
10:24.0, ,25-35,D. Schröder misses 3-pt jump shot from 29 ft,,2,25,35,-10,816.0
10:24.0,Defensive rebound by Team,25-35, ,,2,25,35,-10,816.0
10:24.0, ,25-35,K. Nunn enters the game for M. Christie,,2,25,35,-10,816.0
10:06.0,B. Adebayo misses 2-pt layup from 5 ft (block by W. Gabriel),25-35, ,,2,25,35,-10,834.0
10:05.0,Offensive rebound by Team,25-35, ,,2,25,35,-10,835.0
9:58.0,T. Herro misses 2-pt jump shot from 17 ft,25-35, ,,2,25,35,-10,842.0
9:55.0, ,25-35,Defensive rebound by W. Gabriel,,2,25,35,-10,845.0
9:47.0, ,25-37,R. Westbrook makes 2-pt layup from 3 ft,,2,25,37,-12,853.0
9:34.0,B. Adebayo makes 2-pt jump shot from 6 ft (assist by V. Oladipo),27-37, ,,2,27,37,-10,866.0
9:13.0, ,27-37,T. Brown misses 3-pt jump shot from 26 ft,,2,27,37,-10,887.0
9:10.0,Defensive rebound by T. Herro,27-37, ,,2,27,37,-10,890.0
9:04.0,V. Oladipo misses 3-pt jump shot from 25 ft,27-37, ,,2,27,37,-10,896.0
9:01.0, ,27-37,Defensive rebound by D. Schröder,,2,27,37,-10,899.0
8:53.0, ,27-37,D. Schröder misses 2-pt jump shot from 14 ft,,2,27,37,-10,907.0
8:49.0,Defensive rebound by M. Strus,27-37, ,,2,27,37,-10,911.0
8:42.0,T. Herro makes 2-pt layup from 4 ft,29-37, ,,2,29,37,-8,918.0
8:23.0, ,29-40,R. Westbrook makes 3-pt jump shot from 27 ft (assist by T. Brown),,2,29,40,-11,937.0
8:07.0,Turnover by V. Oladipo (bad pass; steal by T. Brown),29-40, ,,2,29,40,-11,953.0
8:04.0, ,29-40,Turnover by R. Westbrook (lost ball; steal by G. Vincent),,2,29,40,-11,956.0
8:00.0,T. Herro misses 3-pt jump shot from 25 ft,29-40, ,,2,29,40,-11,960.0
7:57.0,Offensive rebound by B. Adebayo,29-40, ,,2,29,40,-11,963.0
7:53.0,G. Vincent misses 3-pt jump shot from 25 ft,29-40, ,,2,29,40,-11,967.0
7:50.0, ,29-40,Defensive rebound by T. Brown,,2,29,40,-11,970.0
7:46.0, ,29-40,LA Lakers full timeout,,2,29,40,-11,974.0
7:46.0, ,29-40,P. Beverley enters the game for T. Brown,,2,29,40,-11,974.0
7:46.0, ,29-40,T. Bryant enters the game for W. Gabriel,,2,29,40,-11,974.0
7:46.0, ,29-40,J. Toscano-Anderson enters the game for R. Westbrook,,2,29,40,-11,974.0
7:35.0, ,29-42,K. Nunn makes 2-pt jump shot from 9 ft (assist by T. Bryant),,2,29,42,-13,985.0
7:18.0,G. Vincent makes 2-pt layup from 4 ft (assist by M. Strus),31-42, ,,2,31,42,-11,1002.0
7:18.0,Shooting foul by T. Bryant (drawn by G. Vincent),31-42, ,,2,31,42,-11,1002.0
7:18.0,C. Martin enters the game for T. Herro,31-42, ,,2,31,42,-11,1002.0
7:18.0,G. Vincent misses free throw 1 of 1,31-42, ,,2,31,42,-11,1002.0
7:16.0, ,31-42,Defensive rebound by T. Bryant,,2,31,42,-11,1004.0
7:03.0, ,31-42,K. Nunn misses 3-pt jump shot from 27 ft,,2,31,42,-11,1017.0
7:00.0,Defensive rebound by V. Oladipo,31-42, ,,2,31,42,-11,1020.0
6:46.0,B. Adebayo makes 2-pt hook shot from 8 ft (assist by M. Strus),33-42, ,,2,33,42,-9,1034.0
6:38.0, ,33-42,Turnover by T. Bryant (lost ball; steal by M. Strus),,2,33,42,-9,1042.0
6:31.0,V. Oladipo makes 3-pt jump shot from 26 ft,36-42, ,,2,36,42,-6,1049.0
6:29.0, ,36-42,LA Lakers full timeout,,2,36,42,-6,1051.0
6:29.0,J. Butler enters the game for B. Adebayo,36-42, ,,2,36,42,-6,1051.0
6:29.0,D. Dedmon enters the game for V. Oladipo,36-42, ,,2,36,42,-6,1051.0
6:29.0,K. Lowry enters the game for G. Vincent,36-42, ,,2,36,42,-6,1051.0
6:29.0, ,36-42,A. Reaves enters the game for K. Nunn,,2,36,42,-6,1051.0
6:29.0, ,36-42,R. Westbrook enters the game for D. Schröder,,2,36,42,-6,1051.0
6:15.0, ,36-42,J. Toscano-Anderson misses 3-pt jump shot from 23 ft,,2,36,42,-6,1065.0
6:10.0,Defensive rebound by D. Dedmon,36-42, ,,2,36,42,-6,1070.0
6:04.0,K. Lowry misses 3-pt jump shot from 27 ft,36-42, ,,2,36,42,-6,1076.0
6:03.0, ,36-42,Defensive rebound by T. Bryant,,2,36,42,-6,1077.0
5:45.0, ,36-44,T. Bryant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,2,36,44,-8,1095.0
5:29.0,C. Martin misses 2-pt layup from 4 ft,36-44, ,,2,36,44,-8,1111.0
5:27.0, ,36-44,Defensive rebound by R. Westbrook,,2,36,44,-8,1113.0
5:26.0, ,36-44,Turnover by R. Westbrook (bad pass; steal by J. Butler),,2,36,44,-8,1114.0
5:24.0,Shooting foul by P. Beverley (drawn by C. Martin),36-44, ,,2,36,44,-8,1116.0
5:24.0,C. Martin misses free throw 1 of 2,36-44, ,,2,36,44,-8,1116.0
5:24.0,Offensive rebound by Team,36-44, ,,2,36,44,-8,1116.0
5:24.0,C. Martin makes free throw 2 of 2,37-44, ,,2,37,44,-7,1116.0
5:02.0, ,37-44,P. Beverley misses 2-pt jump shot from 20 ft,,2,37,44,-7,1138.0
4:59.0,Defensive rebound by D. Dedmon,37-44, ,,2,37,44,-7,1141.0
4:51.0,C. Martin misses 2-pt jump shot from 23 ft,37-44, ,,2,37,44,-7,1149.0
4:49.0,Offensive rebound by M. Strus,37-44, ,,2,37,44,-7,1151.0
4:45.0,M. Strus makes 2-pt layup from 3 ft,39-44, ,,2,39,44,-5,1155.0
4:21.0, ,39-46,P. Beverley makes 2-pt jump shot from 8 ft,,2,39,46,-7,1179.0
4:02.0,J. Butler makes 2-pt jump shot from 7 ft,41-46, ,,2,41,46,-5,1198.0
3:50.0, ,41-46,T. Bryant misses 2-pt layup from 5 ft,,2,41,46,-5,1210.0
3:46.0,Defensive rebound by D. Dedmon,41-46, ,,2,41,46,-5,1214.0
3:45.0,Turnover by D. Dedmon (lost ball; steal by J. Toscano-Anderson),41-46, ,,2,41,46,-5,1215.0
3:44.0, ,41-46,Shooting foul by D. Dedmon (drawn by T. Bryant),,2,41,46,-5,1216.0
3:44.0, ,41-47,T. Bryant makes free throw 1 of 2,,2,41,47,-6,1216.0
3:44.0, ,41-47,T. Brown enters the game for P. Beverley,,2,41,47,-6,1216.0
3:44.0, ,41-47,D. Schröder enters the game for J. Toscano-Anderson,,2,41,47,-6,1216.0
3:44.0, ,41-48,T. Bryant makes free throw 2 of 2,,2,41,48,-7,1216.0
3:27.0,M. Strus misses 3-pt jump shot from 27 ft,41-48, ,,2,41,48,-7,1233.0
3:23.0, ,41-48,Defensive rebound by R. Westbrook,,2,41,48,-7,1237.0
3:18.0, ,41-48,D. Schröder misses 2-pt layup from 5 ft (block by D. Dedmon),,2,41,48,-7,1242.0
3:17.0,Defensive rebound by K. Lowry,41-48, ,,2,41,48,-7,1243.0
3:08.0,C. Martin misses 2-pt jump shot from 20 ft,41-48, ,,2,41,48,-7,1252.0
3:08.0, ,41-48,Defensive rebound by T. Bryant,,2,41,48,-7,1252.0
3:03.0, ,41-48,Turnover by R. Westbrook (bad pass),,2,41,48,-7,1257.0
3:03.0,B. Adebayo enters the game for D. Dedmon,41-48, ,,2,41,48,-7,1257.0
3:03.0,V. Oladipo enters the game for M. Strus,41-48, ,,2,41,48,-7,1257.0
2:43.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Lowry),43-48, ,,2,43,48,-5,1277.0
2:24.0, ,43-48,R. Westbrook misses 2-pt jump shot from 17 ft,,2,43,48,-5,1296.0
2:22.0,Defensive rebound by C. Martin,43-48, ,,2,43,48,-5,1298.0
2:12.0,J. Butler misses 2-pt jump shot from 7 ft,43-48, ,,2,43,48,-5,1308.0
2:09.0, ,43-48,Defensive rebound by T. Bryant,,2,43,48,-5,1311.0
1:58.0, ,43-48,Shooting foul by C. Martin (drawn by D. Schröder),,2,43,48,-5,1322.0
1:58.0, ,43-48,D. Schröder misses free throw 1 of 2,,2,43,48,-5,1322.0
1:58.0, ,43-48,Offensive rebound by Team,,2,43,48,-5,1322.0
1:58.0,T. Herro enters the game for C. Martin,43-48, ,,2,43,48,-5,1322.0
1:58.0, ,43-48,W. Gabriel enters the game for T. Bryant,,2,43,48,-5,1322.0
1:58.0, ,43-49,D. Schröder makes free throw 2 of 2,,2,43,49,-6,1322.0
1:44.0,V. Oladipo misses 3-pt jump shot from 23 ft,43-49, ,,2,43,49,-6,1336.0
1:41.0, ,43-49,Defensive rebound by T. Brown,,2,43,49,-6,1339.0
1:28.0, ,43-49,Turnover by R. Westbrook (bad pass; steal by B. Adebayo),,2,43,49,-6,1352.0
1:23.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by T. Herro),46-49, ,,2,46,49,-3,1357.0
1:15.0, ,46-49,Turnover by D. Schröder (bad pass),,2,46,49,-3,1365.0
1:03.0,B. Adebayo misses 2-pt hook shot from 6 ft,46-49, ,,2,46,49,-3,1377.0
1:01.0,Offensive rebound by J. Butler,46-49, ,,2,46,49,-3,1379.0
0:57.0,J. Butler misses 3-pt jump shot from 24 ft,46-49, ,,2,46,49,-3,1383.0
0:53.0, ,46-49,Defensive rebound by A. Reaves,,2,46,49,-3,1387.0
0:38.0, ,46-49,Personal foul by K. Lowry (drawn by D. Schröder),,2,46,49,-3,1402.0
0:38.0, ,46-49,D. Schröder misses free throw 1 of 2,,2,46,49,-3,1402.0
0:38.0, ,46-49,Offensive rebound by Team,,2,46,49,-3,1402.0
0:38.0, ,46-50,D. Schröder makes free throw 2 of 2,,2,46,50,-4,1402.0
0:29.0,Turnover by T. Herro (traveling),46-50, ,,2,46,50,-4,1411.0
0:08.0, ,46-50,Shooting foul by T. Herro (drawn by R. Westbrook),,2,46,50,-4,1432.0
0:08.0, ,46-51,R. Westbrook makes free throw 1 of 2,,2,46,51,-5,1432.0
0:08.0, ,46-51,P. Beverley enters the game for A. Reaves,,2,46,51,-5,1432.0
0:08.0, ,46-52,R. Westbrook makes free throw 2 of 2,,2,46,52,-6,1432.0
0:01.0,K. Lowry makes 2-pt layup from 2 ft,48-52, ,,2,48,52,-4,1439.0
0:01.0, ,48-52,Turnover by R. Westbrook (bad pass; steal by B. Adebayo),,2,48,52,-4,1439.0
0:00.0,B. Adebayo misses 2-pt hook shot from 8 ft,48-52, ,,2,48,52,-4,1440.0
0:00.0,Offensive rebound by Team,48-52, ,,2,48,52,-4,1440.0
0:00.0,End of 2nd quarter,48-52,,,2,48,52,-4,1440.0
12:00.0,Start of 3rd quarter,48-52,,,3,48,52,-4,1440.0
11:41.0,J. Butler makes 2-pt layup from 5 ft,50-52, ,,3,50,52,-2,1459.0
11:25.0, ,50-52,P. Beverley misses 3-pt jump shot from 27 ft,,3,50,52,-2,1475.0
11:23.0,Defensive rebound by B. Adebayo,50-52, ,,3,50,52,-2,1477.0
11:14.0,T. Herro misses 2-pt jump shot from 16 ft,50-52, ,,3,50,52,-2,1486.0
11:08.0,Offensive rebound by J. Butler,50-52, ,,3,50,52,-2,1492.0
11:08.0,J. Butler makes 2-pt layup at rim,52-52, ,Tie,3,52,52,0,1492.0
10:50.0, ,52-55,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. Beverley),,3,52,55,-3,1510.0
10:34.0,B. Adebayo misses 2-pt hook shot from 9 ft (block by J. Toscano-Anderson),52-55, ,,3,52,55,-3,1526.0
10:31.0, ,52-55,Defensive rebound by A. Reaves,,3,52,55,-3,1529.0
10:17.0, ,52-57,A. Reaves makes 2-pt hook shot from 6 ft,,3,52,57,-5,1543.0
10:01.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),54-57, ,,3,54,57,-3,1559.0
9:48.0, ,54-59,D. Schröder makes 2-pt layup from 3 ft,,3,54,59,-5,1572.0
9:35.0,J. Butler makes 2-pt layup from 4 ft (assist by B. Adebayo),56-59, ,,3,56,59,-3,1585.0
9:35.0,Shooting foul by P. Beverley (drawn by J. Butler),56-59, ,,3,56,59,-3,1585.0
9:35.0,J. Butler misses free throw 1 of 1,56-59, ,,3,56,59,-3,1585.0
9:33.0, ,56-59,Defensive rebound by J. Toscano-Anderson,,3,56,59,-3,1587.0
9:21.0, ,56-59,Turnover by A. Reaves (lost ball; steal by J. Butler),,3,56,59,-3,1599.0
9:17.0,J. Butler makes 2-pt dunk from 1 ft,58-59, ,,3,58,59,-1,1603.0
9:17.0, ,58-59,LA Lakers full timeout,,3,58,59,-1,1603.0
9:01.0, ,58-62,D. Schröder makes 3-pt jump shot from 27 ft,,3,58,62,-4,1619.0
8:37.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),60-62, ,,3,60,62,-2,1643.0
8:19.0, ,60-62,D. Schröder misses 3-pt jump shot from 27 ft,,3,60,62,-2,1661.0
8:17.0,Defensive rebound by C. Martin,60-62, ,,3,60,62,-2,1663.0
8:07.0,C. Martin makes 2-pt jump shot from 19 ft,62-62, ,Tie,3,62,62,0,1673.0
7:51.0, ,62-62,A. Reaves misses 2-pt jump shot from 16 ft,,3,62,62,0,1689.0
7:51.0, ,62-62,Offensive rebound by Team,,3,62,62,0,1689.0
7:51.0, ,62-62,R. Westbrook enters the game for P. Beverley,,3,62,62,0,1689.0
7:49.0, ,62-62,Turnover by A. Reaves (bad pass),,3,62,62,0,1691.0
7:42.0,Turnover by J. Butler (traveling),62-62, ,,3,62,62,0,1698.0
7:21.0, ,62-62,R. Westbrook misses 3-pt jump shot from 26 ft,,3,62,62,0,1719.0
7:19.0,Defensive rebound by C. Martin,62-62, ,,3,62,62,0,1721.0
6:58.0,J. Butler misses 2-pt layup from 5 ft (block by T. Bryant),62-62, ,,3,62,62,0,1742.0
6:55.0, ,62-62,Defensive rebound by D. Schröder,,3,62,62,0,1745.0
6:51.0, ,62-62,A. Reaves misses 3-pt jump shot from 25 ft,,3,62,62,0,1749.0
6:48.0,Defensive rebound by T. Herro,62-62, ,,3,62,62,0,1752.0
6:44.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),64-62, ,Lead change,3,64,62,2,1756.0
6:44.0,Shooting foul by A. Reaves (drawn by B. Adebayo),64-62, ,,3,64,62,2,1756.0
6:44.0,B. Adebayo makes free throw 1 of 1,65-62, ,,3,65,62,3,1756.0
6:22.0, ,65-62,A. Reaves misses 2-pt jump shot from 11 ft,,3,65,62,3,1778.0
6:19.0,Defensive rebound by B. Adebayo,65-62, ,,3,65,62,3,1781.0
6:08.0,Turnover by T. Herro (bad pass; steal by R. Westbrook),65-62, ,,3,65,62,3,1792.0
5:51.0, ,65-64,T. Bryant makes 2-pt layup from 3 ft (assist by A. Reaves),,3,65,64,1,1809.0
5:33.0,T. Herro misses 3-pt jump shot from 26 ft,65-64, ,,3,65,64,1,1827.0
5:30.0, ,65-64,Defensive rebound by J. Toscano-Anderson,,3,65,64,1,1830.0
5:24.0, ,65-64,Shooting foul by C. Martin (drawn by A. Reaves),,3,65,64,1,1836.0
5:24.0, ,65-65,A. Reaves makes free throw 1 of 3,Tie,3,65,65,0,1836.0
5:24.0, ,65-66,A. Reaves makes free throw 2 of 3,Lead change,3,65,66,-1,1836.0
5:24.0,V. Oladipo enters the game for T. Herro,65-66, ,,3,65,66,-1,1836.0
5:24.0, ,65-66,W. Gabriel enters the game for T. Bryant,,3,65,66,-1,1836.0
5:24.0, ,65-66,K. Nunn enters the game for D. Schröder,,3,65,66,-1,1836.0
5:24.0, ,65-67,A. Reaves makes free throw 3 of 3,,3,65,67,-2,1836.0
5:05.0,C. Martin misses 2-pt layup from 4 ft,65-67, ,,3,65,67,-2,1855.0
5:04.0,Offensive rebound by J. Butler,65-67, ,,3,65,67,-2,1856.0
5:04.0,J. Butler makes 2-pt layup at rim,67-67, ,Tie,3,67,67,0,1856.0
5:04.0,Shooting foul by W. Gabriel (drawn by J. Butler),67-67, ,,3,67,67,0,1856.0
