Time,Miami,Score,Utah,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:09.0,Miami full timeout,60-52, ,,2,60,52,8,1191.0
4:09.0, ,60-52,J. Clarkson enters the game for M. Beasley,,2,60,52,8,1191.0
4:09.0, ,60-52,W. Kessler enters the game for M. Conley,,2,60,52,8,1191.0
4:09.0, ,60-52,C. Sexton enters the game for J. Vanderbilt,,2,60,52,8,1191.0
4:03.0,T. Herro makes 2-pt jump shot from 9 ft (assist by O. Robinson),62-52, ,,2,62,52,10,1197.0
3:47.0, ,62-54,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Olynyk),,2,62,54,8,1213.0
3:27.0,O. Robinson misses 2-pt layup from 3 ft,62-54, ,,2,62,54,8,1233.0
3:26.0, ,62-54,Defensive rebound by L. Markkanen,,2,62,54,8,1234.0
3:17.0, ,62-54,L. Markkanen misses 3-pt jump shot from 28 ft,,2,62,54,8,1243.0
3:13.0,Defensive rebound by T. Herro,62-54, ,,2,62,54,8,1247.0
3:08.0,T. Herro misses 3-pt jump shot from 25 ft,62-54, ,,2,62,54,8,1252.0
3:06.0, ,62-54,Defensive rebound by K. Olynyk,,2,62,54,8,1254.0
3:06.0, ,62-54,Personal foul by O. Robinson (drawn by K. Olynyk),,2,62,54,8,1254.0
3:06.0, ,62-55,K. Olynyk makes free throw 1 of 2,,2,62,55,7,1254.0
3:06.0,B. Adebayo enters the game for O. Robinson,62-55, ,,2,62,55,7,1254.0
3:06.0, ,62-56,K. Olynyk makes free throw 2 of 2,,2,62,56,6,1254.0
3:01.0,Personal foul by C. Sexton (drawn by B. Adebayo),62-56, ,,2,62,56,6,1259.0
2:53.0,B. Adebayo makes 2-pt jump shot from 7 ft (assist by V. Oladipo),64-56, ,,2,64,56,8,1267.0
2:26.0, ,64-59,L. Markkanen makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,2,64,59,5,1294.0
2:14.0,V. Oladipo misses 3-pt jump shot from 25 ft,64-59, ,,2,64,59,5,1306.0
2:10.0,Offensive rebound by B. Adebayo,64-59, ,,2,64,59,5,1310.0
2:07.0,D. Robinson misses 3-pt jump shot from 25 ft,64-59, ,,2,64,59,5,1313.0
2:05.0, ,64-59,Defensive rebound by J. Clarkson,,2,64,59,5,1315.0
2:00.0, ,64-59,Turnover by J. Clarkson (bad pass),,2,64,59,5,1320.0
1:45.0,Personal foul by C. Sexton (drawn by B. Adebayo),64-59, ,,2,64,59,5,1335.0
1:45.0,B. Adebayo misses free throw 1 of 2,64-59, ,,2,64,59,5,1335.0
1:45.0,Offensive rebound by Team,64-59, ,,2,64,59,5,1335.0
1:45.0,M. Strus enters the game for V. Oladipo,64-59, ,,2,64,59,5,1335.0
1:45.0,G. Vincent enters the game for D. Robinson,64-59, ,,2,64,59,5,1335.0
1:45.0,B. Adebayo misses free throw 2 of 2,64-59, ,,2,64,59,5,1335.0
1:43.0, ,64-59,Defensive rebound by W. Kessler,,2,64,59,5,1337.0
1:24.0, ,64-59,Personal foul by B. Adebayo (drawn by W. Kessler),,2,64,59,5,1356.0
1:24.0, ,64-59,W. Kessler misses free throw 1 of 2,,2,64,59,5,1356.0
1:24.0, ,64-59,Offensive rebound by Team,,2,64,59,5,1356.0
1:24.0, ,64-60,W. Kessler makes free throw 2 of 2,,2,64,60,4,1356.0
1:18.0,Turnover by T. Herro (bad pass; steal by C. Sexton),64-60, ,,2,64,60,4,1362.0
1:14.0, ,64-60,C. Sexton misses 2-pt layup from 5 ft,,2,64,60,4,1366.0
1:11.0,Defensive rebound by K. Lowry,64-60, ,,2,64,60,4,1369.0
1:08.0,T. Herro makes 2-pt dunk from 2 ft (assist by K. Lowry),66-60, ,,2,66,60,6,1372.0
0:49.0, ,66-60,Personal foul by G. Vincent (drawn by K. Olynyk),,2,66,60,6,1391.0
0:49.0, ,66-61,K. Olynyk makes free throw 1 of 2,,2,66,61,5,1391.0
0:49.0,O. Robinson enters the game for B. Adebayo,66-61, ,,2,66,61,5,1391.0
0:49.0, ,66-62,K. Olynyk makes free throw 2 of 2,,2,66,62,4,1391.0
0:44.0,T. Herro misses 3-pt jump shot from 25 ft,66-62, ,,2,66,62,4,1396.0
0:39.0,Offensive rebound by G. Vincent,66-62, ,,2,66,62,4,1401.0
0:36.0,M. Strus misses 3-pt jump shot from 27 ft,66-62, ,,2,66,62,4,1404.0
0:33.0, ,66-62,Defensive rebound by J. Clarkson,,2,66,62,4,1407.0
0:30.0, ,66-62,J. Clarkson misses 3-pt jump shot from 26 ft,,2,66,62,4,1410.0
0:27.0, ,66-62,Offensive rebound by C. Sexton,,2,66,62,4,1413.0
0:15.0, ,66-62,Shooting foul by M. Strus (drawn by J. Clarkson),,2,66,62,4,1425.0
0:15.0, ,66-62,J. Clarkson misses free throw 1 of 2,,2,66,62,4,1425.0
0:15.0, ,66-62,Offensive rebound by Team,,2,66,62,4,1425.0
0:15.0, ,66-63,J. Clarkson makes free throw 2 of 2,,2,66,63,3,1425.0
0:01.0,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),69-63, ,,2,69,63,6,1439.0
0:00.0,Instant Replay (Request: Ruling Stands),69-63, ,,2,69,63,6,1440.0
0:00.0,End of 2nd quarter,69-63,,,2,69,63,6,1440.0
12:00.0,Start of 3rd quarter,69-63,,,3,69,63,6,1440.0
11:52.0, ,69-65,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Olynyk),,3,69,65,4,1448.0
11:32.0,Turnover by T. Herro (traveling),69-65, ,,3,69,65,4,1468.0
11:14.0, ,69-65,Turnover by M. Conley (bad pass),,3,69,65,4,1486.0
10:55.0,B. Adebayo makes 2-pt hook shot from 8 ft (assist by M. Strus),71-65, ,,3,71,65,6,1505.0
10:45.0, ,71-65,M. Conley misses 2-pt layup from 4 ft,,3,71,65,6,1515.0
10:44.0,Defensive rebound by M. Strus,71-65, ,,3,71,65,6,1516.0
10:44.0,Personal foul by J. Vanderbilt (drawn by M. Strus),71-65, ,,3,71,65,6,1516.0
10:34.0,K. Lowry misses 2-pt jump shot from 22 ft,71-65, ,,3,71,65,6,1526.0
10:31.0, ,71-65,Defensive rebound by K. Olynyk,,3,71,65,6,1529.0
10:23.0, ,71-65,J. Vanderbilt misses 2-pt jump shot from 8 ft,,3,71,65,6,1537.0
10:23.0, ,71-65,Offensive rebound by J. Vanderbilt,,3,71,65,6,1537.0
10:23.0, ,71-65,Shooting foul by K. Lowry (drawn by J. Vanderbilt),,3,71,65,6,1537.0
10:23.0, ,71-66,J. Vanderbilt makes free throw 1 of 2,,3,71,66,5,1537.0
10:23.0, ,71-67,J. Vanderbilt makes free throw 2 of 2,,3,71,67,4,1537.0
10:16.0,T. Herro misses 3-pt jump shot from 26 ft,71-67, ,,3,71,67,4,1544.0
10:13.0, ,71-67,Defensive rebound by M. Conley,,3,71,67,4,1547.0
10:08.0, ,71-67,K. Olynyk misses 3-pt jump shot from 24 ft,,3,71,67,4,1552.0
10:06.0, ,71-67,Offensive rebound by Team,,3,71,67,4,1554.0
10:03.0, ,71-67,Turnover by M. Conley (bad pass; steal by M. Strus),,3,71,67,4,1557.0
9:59.0,M. Strus misses 2-pt layup from 4 ft,71-67, ,,3,71,67,4,1561.0
9:57.0, ,71-67,Defensive rebound by K. Olynyk,,3,71,67,4,1563.0
9:54.0, ,71-67,Turnover by K. Olynyk (bad pass; steal by K. Lowry),,3,71,67,4,1566.0
9:50.0,M. Strus makes 2-pt layup from 2 ft (assist by K. Lowry),73-67, ,,3,73,67,6,1570.0
9:40.0, ,73-67,Personal foul by T. Herro (drawn by L. Markkanen),,3,73,67,6,1580.0
9:34.0, ,73-69,J. Clarkson makes 2-pt hook shot from 7 ft,,3,73,69,4,1586.0
9:11.0,T. Herro makes 2-pt jump shot from 12 ft,75-69, ,,3,75,69,6,1609.0
9:01.0, ,75-69,Personal foul by T. Herro (drawn by M. Conley),,3,75,69,6,1619.0
8:57.0, ,75-69,Shooting foul by H. Highsmith (drawn by L. Markkanen),,3,75,69,6,1623.0
8:57.0, ,75-70,L. Markkanen makes free throw 1 of 2,,3,75,70,5,1623.0
8:57.0, ,75-71,L. Markkanen makes free throw 2 of 2,,3,75,71,4,1623.0
8:43.0,Shooting foul by K. Olynyk (drawn by B. Adebayo),75-71, ,,3,75,71,4,1637.0
8:43.0,B. Adebayo makes free throw 1 of 2,76-71, ,,3,76,71,5,1637.0
8:43.0,B. Adebayo makes free throw 2 of 2,77-71, ,,3,77,71,6,1637.0
8:31.0, ,77-71,J. Vanderbilt misses 3-pt jump shot from 23 ft,,3,77,71,6,1649.0
8:28.0,Defensive rebound by T. Herro,77-71, ,,3,77,71,6,1652.0
8:19.0,T. Herro makes 2-pt jump shot from 13 ft (assist by B. Adebayo),79-71, ,,3,79,71,8,1661.0
8:19.0, ,79-71,W. Kessler enters the game for J. Vanderbilt,,3,79,71,8,1661.0
7:58.0,Jump ball: J. Clarkson vs. K. Lowry (J. Clarkson gains possession),79-71,,,3,79,71,8,1682.0
7:56.0, ,79-71,J. Clarkson misses 3-pt jump shot from 25 ft,,3,79,71,8,1684.0
7:54.0, ,79-71,Offensive rebound by Team,,3,79,71,8,1686.0
7:42.0, ,79-74,L. Markkanen makes 3-pt jump shot from 22 ft (assist by K. Olynyk),,3,79,74,5,1698.0
7:20.0,B. Adebayo misses 2-pt jump shot from 15 ft,79-74, ,,3,79,74,5,1720.0
7:16.0, ,79-74,Defensive rebound by L. Markkanen,,3,79,74,5,1724.0
7:11.0, ,79-76,K. Olynyk makes 2-pt layup from 3 ft (assist by M. Conley),,3,79,76,3,1729.0
7:11.0, ,79-76,Shooting foul by B. Adebayo (drawn by K. Olynyk),,3,79,76,3,1729.0
7:11.0, ,79-77,K. Olynyk makes free throw 1 of 1,,3,79,77,2,1729.0
7:00.0,T. Herro misses 2-pt jump shot from 16 ft,79-77, ,,3,79,77,2,1740.0
6:58.0, ,79-77,Defensive rebound by M. Conley,,3,79,77,2,1742.0
6:50.0, ,79-77,Turnover by M. Conley (bad pass; steal by K. Lowry),,3,79,77,2,1750.0
6:42.0,K. Lowry misses 3-pt jump shot from 26 ft,79-77, ,,3,79,77,2,1758.0
