Time,Miami,Score,Phoenix,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:52.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),27-21, ,,1,27,21,6,668.0
0:32.0, ,27-21,Turnover by I. Wainright (bad pass; steal by H. Highsmith),,1,27,21,6,688.0
0:15.0,M. Strus misses 3-pt jump shot from 26 ft,27-21, ,,1,27,21,6,705.0
0:13.0, ,27-21,Defensive rebound by D. Lee,,1,27,21,6,707.0
0:03.0, ,27-23,D. Washington makes 2-pt jump shot from 10 ft,,1,27,23,4,717.0
0:00.0,V. Oladipo makes 3-pt jump shot from 36 ft,30-23, ,,1,30,23,7,720.0
0:00.0,Instant Replay (Request: Ruling Stands),30-23, ,,1,30,23,7,720.0
0:00.0,End of 1st quarter,30-23,,,1,30,23,7,720.0
12:00.0,Start of 2nd quarter,30-23,,,2,30,23,7,720.0
11:49.0,Personal foul by D. Lee (drawn by M. Strus),30-23, ,,2,30,23,7,731.0
11:42.0,M. Strus misses 3-pt jump shot from 25 ft,30-23, ,,2,30,23,7,738.0
11:38.0, ,30-23,Defensive rebound by J. Landale,,2,30,23,7,742.0
11:24.0, ,30-25,D. Lee makes 2-pt jump shot from 13 ft (assist by D. Washington),,2,30,25,5,756.0
11:04.0,M. Strus misses 2-pt jump shot from 10 ft,30-25, ,,2,30,25,5,776.0
11:04.0, ,30-25,Defensive rebound by Team,,2,30,25,5,776.0
10:51.0, ,30-25,D. Washington misses 3-pt jump shot from 23 ft,,2,30,25,5,789.0
10:47.0,Defensive rebound by B. Adebayo,30-25, ,,2,30,25,5,793.0
10:33.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by G. Vincent),33-25, ,,2,33,25,8,807.0
10:19.0, ,33-25,Shooting foul by B. Adebayo (drawn by J. Landale),,2,33,25,8,821.0
10:19.0, ,33-26,J. Landale makes free throw 1 of 2,,2,33,26,7,821.0
10:19.0, ,33-27,J. Landale makes free throw 2 of 2,,2,33,27,6,821.0
10:00.0,G. Vincent makes 3-pt jump shot from 25 ft (assist by B. Adebayo),36-27, ,,2,36,27,9,840.0
9:50.0, ,36-27,Def 3 sec tech foul by Team,,2,36,27,9,850.0
9:50.0, ,36-28,D. Lee makes technical free throw,,2,36,28,8,850.0
9:40.0, ,36-28,D. Washington misses 3-pt jump shot from 25 ft,,2,36,28,8,860.0
9:39.0,Defensive rebound by Team,36-28, ,,2,36,28,8,861.0
9:28.0,G. Vincent misses 3-pt jump shot from 24 ft,36-28, ,,2,36,28,8,872.0
9:24.0, ,36-28,Defensive rebound by I. Wainright,,2,36,28,8,876.0
9:14.0, ,36-30,D. Washington makes 2-pt jump shot from 21 ft,,2,36,30,6,886.0
9:04.0,Personal foul by D. Lee (drawn by B. Adebayo),36-30, ,,2,36,30,6,896.0
9:04.0, ,36-30,L. Shamet enters the game for J. Okogie,,2,36,30,6,896.0
8:57.0,Def 3 sec tech foul by Team,36-30, ,,2,36,30,6,903.0
8:57.0,M. Strus makes technical free throw,37-30, ,,2,37,30,7,903.0
8:50.0,M. Strus misses 3-pt jump shot from 25 ft,37-30, ,,2,37,30,7,910.0
8:47.0, ,37-30,Defensive rebound by J. Landale,,2,37,30,7,913.0
8:37.0, ,37-32,I. Wainright makes 2-pt layup from 2 ft (assist by D. Washington),,2,37,32,5,923.0
8:17.0,H. Highsmith misses 3-pt jump shot from 25 ft,37-32, ,,2,37,32,5,943.0
8:14.0,Offensive rebound by H. Highsmith,37-32, ,,2,37,32,5,946.0
8:12.0,Turnover by H. Highsmith (bad pass; steal by D. Lee),37-32, ,,2,37,32,5,948.0
7:57.0, ,37-34,L. Shamet makes 2-pt jump shot from 8 ft,,2,37,34,3,963.0
7:48.0,Turnover by V. Oladipo (bad pass),37-34, ,,2,37,34,3,972.0
7:36.0, ,37-34,D. Washington misses 2-pt layup from 3 ft (block by B. Adebayo),,2,37,34,3,984.0
7:33.0,Defensive rebound by H. Highsmith,37-34, ,,2,37,34,3,987.0
7:29.0,B. Adebayo makes 2-pt layup from 2 ft (assist by M. Strus),39-34, ,,2,39,34,5,991.0
7:29.0, ,39-34,Phoenix full timeout,,2,39,34,5,991.0
7:29.0, ,39-34,D. Ayton enters the game for J. Landale,,2,39,34,5,991.0
7:29.0, ,39-34,C. Paul enters the game for D. Washington,,2,39,34,5,991.0
7:12.0, ,39-34,Turnover by C. Paul (bad pass; steal by V. Oladipo),,2,39,34,5,1008.0
7:12.0, ,39-34,Clear path foul by V. Oladipo,,2,39,34,5,1008.0
7:12.0, ,39-34,Instant Replay (Request: Ruling Stands),,2,39,34,5,1008.0
7:12.0,V. Oladipo misses clear path free throw 1 of 2,39-34, ,,2,39,34,5,1008.0
7:12.0,Offensive rebound by Team,39-34, ,,2,39,34,5,1008.0
7:12.0,V. Oladipo makes clear path free throw 2 of 2,40-34, ,,2,40,34,6,1008.0
7:12.0,J. Butler enters the game for B. Adebayo,40-34, ,,2,40,34,6,1008.0
7:12.0,D. Dedmon enters the game for H. Highsmith,40-34, ,,2,40,34,6,1008.0
7:12.0,K. Lowry enters the game for M. Strus,40-34, ,,2,40,34,6,1008.0
7:12.0, ,40-34,M. Bridges enters the game for D. Lee,,2,40,34,6,1008.0
7:12.0, ,40-34,T. Craig enters the game for I. Wainright,,2,40,34,6,1008.0
6:53.0,V. Oladipo misses 3-pt jump shot from 25 ft,40-34, ,,2,40,34,6,1027.0
6:49.0, ,40-34,Defensive rebound by D. Ayton,,2,40,34,6,1031.0
6:41.0, ,40-34,D. Ayton misses 2-pt jump shot from 18 ft,,2,40,34,6,1039.0
6:40.0,Defensive rebound by J. Butler,40-34, ,,2,40,34,6,1040.0
6:29.0,G. Vincent misses 3-pt jump shot from 23 ft,40-34, ,,2,40,34,6,1051.0
6:27.0, ,40-34,Defensive rebound by D. Ayton,,2,40,34,6,1053.0
6:20.0, ,40-34,L. Shamet misses 2-pt jump shot from 21 ft,,2,40,34,6,1060.0
6:16.0,Defensive rebound by K. Lowry,40-34, ,,2,40,34,6,1064.0
6:07.0,K. Lowry makes 2-pt jump shot from 12 ft,42-34, ,,2,42,34,8,1073.0
5:52.0, ,42-34,T. Craig misses 3-pt jump shot from 24 ft,,2,42,34,8,1088.0
5:50.0,Defensive rebound by D. Dedmon,42-34, ,,2,42,34,8,1090.0
5:43.0,Turnover by V. Oladipo (lost ball; steal by C. Paul),42-34, ,,2,42,34,8,1097.0
5:40.0, ,42-34,Shooting foul by K. Lowry (drawn by M. Bridges),,2,42,34,8,1100.0
5:40.0, ,42-35,M. Bridges makes free throw 1 of 2,,2,42,35,7,1100.0
5:40.0, ,42-36,M. Bridges makes free throw 2 of 2,,2,42,36,6,1100.0
5:28.0,G. Vincent misses 3-pt jump shot from 25 ft,42-36, ,,2,42,36,6,1112.0
5:26.0,Offensive rebound by D. Dedmon,42-36, ,,2,42,36,6,1114.0
5:24.0,K. Lowry misses 3-pt jump shot from 23 ft,42-36, ,,2,42,36,6,1116.0
5:22.0, ,42-36,Defensive rebound by L. Shamet,,2,42,36,6,1118.0
5:16.0, ,42-36,Turnover by T. Craig (bad pass),,2,42,36,6,1124.0
4:58.0,Shooting foul by T. Craig (drawn by J. Butler),42-36, ,,2,42,36,6,1142.0
4:58.0,J. Butler makes free throw 1 of 2,43-36, ,,2,43,36,7,1142.0
4:58.0, ,43-36,D. Washington enters the game for C. Paul,,2,43,36,7,1142.0
4:58.0,J. Butler makes free throw 2 of 2,44-36, ,,2,44,36,8,1142.0
4:44.0, ,44-38,D. Ayton makes 2-pt jump shot from 13 ft (assist by D. Washington),,2,44,38,6,1156.0
4:24.0,G. Vincent misses 3-pt jump shot from 23 ft,44-38, ,,2,44,38,6,1176.0
4:21.0, ,44-38,Defensive rebound by D. Ayton,,2,44,38,6,1179.0
4:10.0, ,44-40,D. Washington makes 2-pt jump shot from 18 ft,,2,44,40,4,1190.0
3:57.0,K. Lowry misses 3-pt jump shot from 24 ft,44-40, ,,2,44,40,4,1203.0
3:53.0, ,44-40,Defensive rebound by T. Craig,,2,44,40,4,1207.0
3:32.0, ,44-40,M. Bridges misses 2-pt layup from 2 ft,,2,44,40,4,1228.0
3:30.0, ,44-40,Offensive rebound by T. Craig,,2,44,40,4,1230.0
3:30.0, ,44-42,T. Craig makes 2-pt layup at rim,,2,44,42,2,1230.0
3:30.0,Miami full timeout,44-42, ,,2,44,42,2,1230.0
3:30.0,B. Adebayo enters the game for D. Dedmon,44-42, ,,2,44,42,2,1230.0
3:30.0,M. Strus enters the game for V. Oladipo,44-42, ,,2,44,42,2,1230.0
3:18.0,K. Lowry misses 2-pt layup from 4 ft (block by T. Craig),44-42, ,,2,44,42,2,1242.0
3:18.0,Offensive rebound by Team,44-42, ,,2,44,42,2,1242.0
3:09.0,J. Butler misses 2-pt jump shot from 15 ft,44-42, ,,2,44,42,2,1251.0
3:04.0, ,44-42,Defensive rebound by D. Ayton,,2,44,42,2,1256.0
2:53.0, ,44-42,D. Washington misses 2-pt jump shot from 16 ft,,2,44,42,2,1267.0
2:50.0,Defensive rebound by K. Lowry,44-42, ,,2,44,42,2,1270.0
2:29.0,B. Adebayo misses 2-pt jump shot from 14 ft,44-42, ,,2,44,42,2,1291.0
2:27.0, ,44-42,Defensive rebound by T. Craig,,2,44,42,2,1293.0
2:17.0, ,44-42,Shooting foul by J. Butler (drawn by M. Bridges),,2,44,42,2,1303.0
2:17.0, ,44-43,M. Bridges makes free throw 1 of 2,,2,44,43,1,1303.0
2:17.0, ,44-44,M. Bridges makes free throw 2 of 2,Tie,2,44,44,0,1303.0
