Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
2:35.0, ,14-22,Loose ball foul by A. Dosunmu (drawn by J. Butler),,1,14,22,-8,565.0
2:35.0,B. Adebayo enters the game for J. Butler,14-22, ,,1,14,22,-8,565.0
2:35.0,T. Herro enters the game for O. Yurtseven,14-22, ,,1,14,22,-8,565.0
2:35.0, ,14-22,D. DeRozan enters the game for Z. LaVine,,1,14,22,-8,565.0
2:35.0, ,14-22,A. Drummond enters the game for N. Vučević,,1,14,22,-8,565.0
2:24.0,Turnover by T. Herro (bad pass; steal by C. White),14-22, ,,1,14,22,-8,576.0
2:20.0, ,14-24,C. White makes 2-pt layup from 2 ft,,1,14,24,-10,580.0
2:07.0,M. Strus makes 3-pt jump shot from 23 ft (assist by B. Adebayo),17-24, ,,1,17,24,-7,593.0
1:53.0, ,17-26,P. Williams makes 2-pt layup from 1 ft (assist by D. DeRozan),,1,17,26,-9,607.0
1:40.0,T. Herro misses 3-pt jump shot from 24 ft,17-26, ,,1,17,26,-9,620.0
1:40.0, ,17-26,Defensive rebound by A. Drummond,,1,17,26,-9,620.0
1:30.0, ,17-26,Turnover by C. White (bad pass; steal by V. Oladipo),,1,17,26,-9,630.0
1:26.0,V. Oladipo misses 2-pt jump shot from 6 ft,17-26, ,,1,17,26,-9,634.0
1:24.0, ,17-26,Defensive rebound by A. Drummond,,1,17,26,-9,636.0
1:14.0, ,17-29,P. Williams makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,1,17,29,-12,646.0
0:56.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by M. Strus),19-29, ,,1,19,29,-10,664.0
0:41.0, ,19-31,D. DeRozan makes 2-pt jump shot from 20 ft,,1,19,31,-12,679.0
0:29.0,Turnover by T. Herro (bad pass),19-31, ,,1,19,31,-12,691.0
0:04.0, ,19-33,C. White makes 2-pt jump shot from 14 ft,,1,19,33,-14,716.0
0:01.0,M. Strus misses 3-pt jump shot from 27 ft,19-33, ,,1,19,33,-14,719.0
0:00.0,Offensive rebound by Team,19-33, ,,1,19,33,-14,720.0
0:00.0,End of 1st quarter,19-33,,,1,19,33,-14,720.0
12:00.0,Start of 2nd quarter,19-33,,,2,19,33,-14,720.0
11:42.0, ,19-35,D. DeRozan makes 2-pt jump shot from 13 ft (assist by C. White),,2,19,35,-16,738.0
11:24.0,B. Adebayo misses 2-pt jump shot from 10 ft,19-35, ,,2,19,35,-16,756.0
11:21.0, ,19-35,Defensive rebound by A. Dosunmu,,2,19,35,-16,759.0
11:15.0, ,19-37,A. Dosunmu makes 2-pt layup from 1 ft (assist by A. Caruso),,2,19,37,-18,765.0
10:56.0,C. Martin misses 2-pt jump shot from 6 ft,19-37, ,,2,19,37,-18,784.0
10:53.0,Offensive rebound by B. Adebayo,19-37, ,,2,19,37,-18,787.0
10:53.0,B. Adebayo makes 2-pt layup at rim,21-37, ,,2,21,37,-16,787.0
10:33.0, ,21-37,A. Drummond misses 2-pt layup from 1 ft (block by V. Oladipo),,2,21,37,-16,807.0
10:30.0,Defensive rebound by M. Strus,21-37, ,,2,21,37,-16,810.0
10:21.0,M. Strus misses 3-pt jump shot from 28 ft,21-37, ,,2,21,37,-16,819.0
10:19.0, ,21-37,Defensive rebound by Team,,2,21,37,-16,821.0
9:59.0, ,21-37,C. White misses 2-pt jump shot from 5 ft,,2,21,37,-16,841.0
9:58.0, ,21-37,Offensive rebound by A. Drummond,,2,21,37,-16,842.0
9:58.0, ,21-37,A. Drummond misses 2-pt layup at rim,,2,21,37,-16,842.0
9:57.0, ,21-37,Offensive rebound by Team,,2,21,37,-16,843.0
9:56.0,Loose ball foul by B. Adebayo (drawn by A. Drummond),21-37, ,,2,21,37,-16,844.0
9:51.0, ,21-37,Turnover by A. Drummond (out of bounds lost ball),,2,21,37,-16,849.0
9:41.0,Personal foul by A. Drummond (drawn by B. Adebayo),21-37, ,,2,21,37,-16,859.0
9:41.0, ,21-37,Technical foul by A. Drummond,,2,21,37,-16,859.0
9:41.0,T. Herro makes technical free throw,22-37, ,,2,22,37,-15,859.0
9:41.0, ,22-37,P. Williams enters the game for A. Dosunmu,,2,22,37,-15,859.0
9:33.0,B. Adebayo misses 2-pt jump shot from 6 ft (block by A. Caruso),22-37, ,,2,22,37,-15,867.0
9:30.0,Offensive rebound by V. Oladipo,22-37, ,,2,22,37,-15,870.0
9:26.0,T. Herro misses 3-pt jump shot from 26 ft,22-37, ,,2,22,37,-15,874.0
9:22.0, ,22-37,Defensive rebound by A. Drummond,,2,22,37,-15,878.0
9:10.0, ,22-37,C. White misses 3-pt jump shot from 25 ft,,2,22,37,-15,890.0
9:08.0,Defensive rebound by B. Adebayo,22-37, ,,2,22,37,-15,892.0
9:01.0,Shooting foul by A. Drummond (drawn by B. Adebayo),22-37, ,,2,22,37,-15,899.0
9:01.0,B. Adebayo misses free throw 1 of 2,22-37, ,,2,22,37,-15,899.0
9:01.0,Offensive rebound by Team,22-37, ,,2,22,37,-15,899.0
9:01.0,B. Adebayo misses free throw 2 of 2,22-37, ,,2,22,37,-15,899.0
8:59.0, ,22-37,Defensive rebound by A. Drummond,,2,22,37,-15,901.0
8:41.0, ,22-37,Chicago full timeout,,2,22,37,-15,919.0
8:41.0, ,22-37,Z. LaVine enters the game for D. DeRozan,,2,22,37,-15,919.0
8:37.0, ,22-37,P. Williams misses 2-pt jump shot from 15 ft,,2,22,37,-15,923.0
8:34.0, ,22-37,Offensive rebound by A. Drummond,,2,22,37,-15,926.0
8:34.0, ,22-37,Shooting foul by B. Adebayo (drawn by A. Drummond),,2,22,37,-15,926.0
8:34.0, ,22-38,A. Drummond makes free throw 1 of 2,,2,22,38,-16,926.0
8:34.0, ,22-39,A. Drummond makes free throw 2 of 2,,2,22,39,-17,926.0
8:24.0,B. Adebayo misses 2-pt jump shot from 8 ft,22-39, ,,2,22,39,-17,936.0
8:22.0,Offensive rebound by B. Adebayo,22-39, ,,2,22,39,-17,938.0
8:18.0,M. Strus makes 3-pt jump shot from 25 ft (assist by B. Adebayo),25-39, ,,2,25,39,-14,942.0
8:18.0, ,25-39,P. Beverley enters the game for A. Drummond,,2,25,39,-14,942.0
8:18.0, ,25-39,N. Vučević enters the game for C. White,,2,25,39,-14,942.0
8:03.0, ,25-41,A. Caruso makes 2-pt layup at rim (assist by Z. LaVine),,2,25,41,-16,957.0
7:46.0,M. Strus makes 2-pt layup from 1 ft (assist by C. Martin),27-41, ,,2,27,41,-14,974.0
7:22.0, ,27-41,P. Williams misses 2-pt jump shot from 12 ft,,2,27,41,-14,998.0
7:20.0,Defensive rebound by C. Martin,27-41, ,,2,27,41,-14,1000.0
7:13.0,Turnover by B. Adebayo (lost ball; steal by A. Caruso),27-41, ,,2,27,41,-14,1007.0
7:04.0, ,27-41,Z. LaVine misses 2-pt jump shot from 16 ft,,2,27,41,-14,1016.0
7:03.0,Defensive rebound by V. Oladipo,27-41, ,,2,27,41,-14,1017.0
6:55.0,T. Herro makes 2-pt jump shot from 13 ft (assist by V. Oladipo),29-41, ,,2,29,41,-12,1025.0
6:55.0,Shooting foul by Z. LaVine (drawn by T. Herro),29-41, ,,2,29,41,-12,1025.0
6:55.0, ,29-41,D. DeRozan enters the game for A. Caruso,,2,29,41,-12,1025.0
6:55.0,T. Herro makes free throw 1 of 1,30-41, ,,2,30,41,-11,1025.0
6:30.0, ,30-43,N. Vučević makes 2-pt hook shot from 8 ft (assist by P. Beverley),,2,30,43,-13,1050.0
6:13.0,B. Adebayo makes 2-pt jump shot from 3 ft (assist by M. Strus),32-43, ,,2,32,43,-11,1067.0
5:59.0, ,32-45,Z. LaVine makes 2-pt layup from 1 ft,,2,32,45,-13,1081.0
5:59.0, ,32-45,Shooting foul by C. Martin (drawn by Z. LaVine),,2,32,45,-13,1081.0
5:59.0,J. Butler enters the game for B. Adebayo,32-45, ,,2,32,45,-13,1081.0
5:59.0,K. Love enters the game for T. Herro,32-45, ,,2,32,45,-13,1081.0
5:59.0,G. Vincent enters the game for V. Oladipo,32-45, ,,2,32,45,-13,1081.0
5:59.0, ,32-46,Z. LaVine makes free throw 1 of 1,,2,32,46,-14,1081.0
5:44.0,Personal foul by P. Beverley (drawn by C. Martin),32-46, ,,2,32,46,-14,1096.0
5:31.0,K. Love misses 3-pt jump shot from 28 ft,32-46, ,,2,32,46,-14,1109.0
5:30.0,Offensive rebound by Team,32-46, ,,2,32,46,-14,1110.0
5:30.0,Turnover by Team (shot clock),32-46, ,,2,32,46,-14,1110.0
5:16.0, ,32-49,P. Beverley makes 3-pt jump shot from 26 ft (assist by N. Vučević),,2,32,49,-17,1124.0
5:03.0,K. Love makes 3-pt jump shot from 26 ft (assist by G. Vincent),35-49, ,,2,35,49,-14,1137.0
4:42.0, ,35-49,P. Beverley misses 2-pt hook shot from 8 ft,,2,35,49,-14,1158.0
4:40.0,Defensive rebound by K. Love,35-49, ,,2,35,49,-14,1160.0
4:31.0,Personal foul by P. Beverley (drawn by C. Martin),35-49, ,,2,35,49,-14,1169.0
4:31.0,C. Martin makes free throw 1 of 2,36-49, ,,2,36,49,-13,1169.0
4:31.0,C. Martin makes free throw 2 of 2,37-49, ,,2,37,49,-12,1169.0
4:12.0, ,37-52,P. Beverley makes 3-pt jump shot from 24 ft (assist by N. Vučević),,2,37,52,-15,1188.0
3:47.0,M. Strus misses 3-pt jump shot from 23 ft,37-52, ,,2,37,52,-15,1213.0
3:44.0, ,37-52,Defensive rebound by P. Beverley,,2,37,52,-15,1216.0
3:37.0, ,37-55,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,2,37,55,-18,1223.0
3:24.0,K. Love misses 3-pt jump shot from 29 ft,37-55, ,,2,37,55,-18,1236.0
3:19.0, ,37-55,Defensive rebound by D. DeRozan,,2,37,55,-18,1241.0
3:02.0, ,37-57,P. Beverley makes 2-pt layup from 1 ft (assist by D. DeRozan),,2,37,57,-20,1258.0
2:49.0,J. Butler makes 2-pt jump shot from 13 ft (assist by G. Vincent),39-57, ,,2,39,57,-18,1271.0
2:34.0, ,39-60,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,2,39,60,-21,1286.0
2:34.0,Miami full timeout,39-60, ,,2,39,60,-21,1286.0
2:34.0,B. Adebayo enters the game for K. Love,39-60, ,,2,39,60,-21,1286.0
2:34.0,T. Herro enters the game for M. Strus,39-60, ,,2,39,60,-21,1286.0
2:14.0,G. Vincent misses 2-pt layup from 2 ft,39-60, ,,2,39,60,-21,1306.0
2:14.0,Offensive rebound by J. Butler,39-60, ,,2,39,60,-21,1306.0
2:14.0,Shooting foul by N. Vučević (drawn by J. Butler),39-60, ,,2,39,60,-21,1306.0
2:14.0,J. Butler makes free throw 1 of 2,40-60, ,,2,40,60,-20,1306.0
2:14.0,J. Butler makes free throw 2 of 2,41-60, ,,2,41,60,-19,1306.0
2:02.0, ,41-60,P. Beverley misses 3-pt jump shot from 23 ft,,2,41,60,-19,1318.0
2:00.0,Defensive rebound by T. Herro,41-60, ,,2,41,60,-19,1320.0
1:45.0,Turnover by T. Herro (out of bounds lost ball),41-60, ,,2,41,60,-19,1335.0
1:27.0, ,41-62,P. Williams makes 2-pt layup from 1 ft,,2,41,62,-21,1353.0
1:14.0,C. Martin misses 3-pt jump shot from 26 ft,41-62, ,,2,41,62,-21,1366.0
1:11.0, ,41-62,Defensive rebound by D. DeRozan,,2,41,62,-21,1369.0
0:51.0, ,41-65,Z. LaVine makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,2,41,65,-24,1389.0
0:36.0,C. Martin makes 2-pt jump shot from 22 ft,43-65, ,,2,43,65,-22,1404.0
0:30.0, ,43-68,D. DeRozan makes 3-pt jump shot from 28 ft,,2,43,68,-25,1410.0
0:20.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),45-68, ,,2,45,68,-23,1420.0
0:01.0, ,45-70,D. DeRozan makes 2-pt jump shot from 20 ft,,2,45,70,-25,1439.0
0:00.0,End of 2nd quarter,45-70,,,2,45,70,-25,1440.0
12:00.0,Start of 3rd quarter,45-70,,,3,45,70,-25,1440.0
11:46.0, ,45-70,P. Beverley misses 3-pt jump shot from 26 ft,,3,45,70,-25,1454.0
11:44.0,Defensive rebound by K. Love,45-70, ,,3,45,70,-25,1456.0
11:33.0,J. Butler makes 2-pt jump shot from 12 ft,47-70, ,,3,47,70,-23,1467.0
11:21.0, ,47-70,Turnover by P. Williams (step out of bounds),,3,47,70,-23,1479.0
11:03.0,B. Adebayo makes 2-pt dunk at rim,49-70, ,,3,49,70,-21,1497.0
10:51.0, ,49-70,Personal foul by T. Herro (drawn by P. Beverley),,3,49,70,-21,1509.0
10:43.0, ,49-73,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,3,49,73,-24,1517.0
10:27.0,B. Adebayo misses 2-pt layup from 1 ft (block by Z. LaVine),49-73, ,,3,49,73,-24,1533.0
10:26.0, ,49-73,Defensive rebound by Team,,3,49,73,-24,1534.0
10:26.0, ,49-73,Chicago full timeout,,3,49,73,-24,1534.0
10:26.0, ,49-73,Instant Replay (Challenge: Ruling Stands),,3,49,73,-24,1534.0
10:24.0,Jump ball: N. Vučević vs. B. Adebayo (P. Beverley gains possession),49-73,,,3,49,73,-24,1536.0
10:08.0, ,49-75,N. Vučević makes 2-pt hook shot from 4 ft (assist by D. DeRozan),,3,49,75,-26,1552.0
10:08.0, ,49-75,Shooting foul by J. Butler (drawn by N. Vučević),,3,49,75,-26,1552.0
10:08.0, ,49-76,N. Vučević makes free throw 1 of 1,,3,49,76,-27,1552.0
9:58.0,G. Vincent makes 2-pt layup from 1 ft (assist by B. Adebayo),51-76, ,,3,51,76,-25,1562.0
9:58.0,Shooting foul by P. Beverley (drawn by G. Vincent),51-76, ,,3,51,76,-25,1562.0
9:58.0,G. Vincent makes free throw 1 of 1,52-76, ,,3,52,76,-24,1562.0
9:48.0, ,52-76,Turnover by P. Beverley (bad pass; steal by B. Adebayo),,3,52,76,-24,1572.0
9:36.0,Turnover by K. Love (bad pass; steal by D. DeRozan),52-76, ,,3,52,76,-24,1584.0
9:22.0, ,52-79,Z. LaVine makes 3-pt jump shot from 26 ft,,3,52,79,-27,1598.0
9:02.0,T. Herro makes 3-pt jump shot from 23 ft (assist by J. Butler),55-79, ,,3,55,79,-24,1618.0
8:41.0, ,55-79,P. Williams misses 2-pt jump shot from 10 ft,,3,55,79,-24,1639.0
8:39.0,Defensive rebound by J. Butler,55-79, ,,3,55,79,-24,1641.0
8:31.0,J. Butler makes 2-pt layup from 3 ft,57-79, ,,3,57,79,-22,1649.0
8:16.0, ,57-79,Z. LaVine misses 2-pt jump shot from 15 ft,,3,57,79,-22,1664.0
8:13.0,Defensive rebound by J. Butler,57-79, ,,3,57,79,-22,1667.0
8:06.0,B. Adebayo misses 2-pt jump shot from 5 ft,57-79, ,,3,57,79,-22,1674.0
8:06.0,Offensive rebound by B. Adebayo,57-79, ,,3,57,79,-22,1674.0
8:06.0,B. Adebayo misses 2-pt layup at rim,57-79, ,,3,57,79,-22,1674.0
8:06.0,Offensive rebound by Team,57-79, ,,3,57,79,-22,1674.0
7:58.0,G. Vincent misses 3-pt jump shot from 31 ft (block by P. Williams),57-79, ,,3,57,79,-22,1682.0
7:54.0, ,57-79,Defensive rebound by Z. LaVine,,3,57,79,-22,1686.0
7:52.0, ,57-79,Turnover by Z. LaVine (out of bounds lost ball),,3,57,79,-22,1688.0
7:38.0,K. Love misses 3-pt jump shot from 25 ft,57-79, ,,3,57,79,-22,1702.0
7:37.0, ,57-79,Defensive rebound by D. DeRozan,,3,57,79,-22,1703.0
7:37.0, ,57-79,Chicago full timeout,,3,57,79,-22,1703.0
7:21.0, ,57-79,Offensive foul by P. Beverley (drawn by J. Butler),,3,57,79,-22,1719.0
7:21.0, ,57-79,Turnover by P. Beverley (offensive foul),,3,57,79,-22,1719.0
7:14.0,Personal foul by P. Beverley (drawn by J. Butler),57-79, ,,3,57,79,-22,1726.0
7:14.0, ,57-79,A. Dosunmu enters the game for P. Beverley,,3,57,79,-22,1726.0
6:56.0,J. Butler misses 2-pt jump shot from 6 ft,57-79, ,,3,57,79,-22,1744.0
6:54.0, ,57-79,Defensive rebound by Z. LaVine,,3,57,79,-22,1746.0
6:46.0, ,57-79,N. Vučević misses 2-pt jump shot from 15 ft,,3,57,79,-22,1754.0
6:43.0,Defensive rebound by B. Adebayo,57-79, ,,3,57,79,-22,1757.0
6:39.0,Shooting foul by D. DeRozan (drawn by B. Adebayo),57-79, ,,3,57,79,-22,1761.0
6:39.0,B. Adebayo makes free throw 1 of 2,58-79, ,,3,58,79,-21,1761.0
6:39.0,B. Adebayo makes free throw 2 of 2,59-79, ,,3,59,79,-20,1761.0
6:23.0, ,59-79,Turnover by A. Dosunmu (traveling),,3,59,79,-20,1777.0
6:05.0,T. Herro misses 2-pt jump shot from 7 ft,59-79, ,,3,59,79,-20,1795.0
6:03.0,Offensive rebound by J. Butler,59-79, ,,3,59,79,-20,1797.0
6:03.0,J. Butler makes 2-pt layup at rim,61-79, ,,3,61,79,-18,1797.0
5:42.0, ,61-79,A. Dosunmu misses 2-pt jump shot from 5 ft,,3,61,79,-18,1818.0
5:40.0,Defensive rebound by B. Adebayo,61-79, ,,3,61,79,-18,1820.0
5:37.0,Shooting foul by D. DeRozan (drawn by B. Adebayo),61-79, ,,3,61,79,-18,1823.0
5:37.0,B. Adebayo makes free throw 1 of 2,62-79, ,,3,62,79,-17,1823.0
5:37.0, ,62-79,C. White enters the game for D. DeRozan,,3,62,79,-17,1823.0
5:37.0,B. Adebayo makes free throw 2 of 2,63-79, ,,3,63,79,-16,1823.0
5:24.0, ,63-79,P. Williams misses 3-pt jump shot from 23 ft,,3,63,79,-16,1836.0
5:24.0,Defensive rebound by T. Herro,63-79, ,,3,63,79,-16,1836.0
5:03.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Love),65-79, ,,3,65,79,-14,1857.0
4:42.0, ,65-79,P. Williams misses 2-pt dunk from 2 ft,,3,65,79,-14,1878.0
4:40.0,Defensive rebound by T. Herro,65-79, ,,3,65,79,-14,1880.0
4:21.0,B. Adebayo makes 2-pt jump shot from 13 ft,67-79, ,,3,67,79,-12,1899.0
4:01.0, ,67-79,Z. LaVine misses 3-pt jump shot from 26 ft,,3,67,79,-12,1919.0
3:59.0, ,67-79,Offensive rebound by N. Vučević,,3,67,79,-12,1921.0
3:58.0, ,67-79,C. White misses 3-pt jump shot from 25 ft,,3,67,79,-12,1922.0
3:55.0,Defensive rebound by J. Butler,67-79, ,,3,67,79,-12,1925.0
3:47.0,Turnover by K. Love (bad pass),67-79, ,,3,67,79,-12,1933.0
3:47.0,Loose ball foul by J. Butler (drawn by C. White),67-79, ,,3,67,79,-12,1933.0
3:47.0,C. Martin enters the game for T. Herro,67-79, ,,3,67,79,-12,1933.0
3:47.0,M. Strus enters the game for K. Love,67-79, ,,3,67,79,-12,1933.0
3:47.0, ,67-79,D. DeRozan enters the game for Z. LaVine,,3,67,79,-12,1933.0
3:26.0, ,67-81,A. Dosunmu makes 2-pt layup from 1 ft (assist by C. White),,3,67,81,-14,1954.0
3:17.0,Personal foul by C. White (drawn by J. Butler),67-81, ,,3,67,81,-14,1963.0
3:17.0,J. Butler makes free throw 1 of 2,68-81, ,,3,68,81,-13,1963.0
3:17.0,H. Highsmith enters the game for B. Adebayo,68-81, ,,3,68,81,-13,1963.0
3:17.0,J. Butler makes free throw 2 of 2,69-81, ,,3,69,81,-12,1963.0
2:58.0, ,69-83,D. DeRozan makes 2-pt jump shot from 22 ft (assist by C. White),,3,69,83,-14,1982.0
2:38.0,J. Butler makes 2-pt layup from 1 ft,71-83, ,,3,71,83,-12,2002.0
2:23.0, ,71-85,D. DeRozan makes 2-pt jump shot from 11 ft,,3,71,85,-14,2017.0
2:23.0,Miami full timeout,71-85, ,,3,71,85,-14,2017.0
2:23.0, ,71-85,D. Jones enters the game for N. Vučević,,3,71,85,-14,2017.0
2:02.0,M. Strus misses 3-pt jump shot from 25 ft,71-85, ,,3,71,85,-14,2038.0
1:58.0, ,71-85,Defensive rebound by D. DeRozan,,3,71,85,-14,2042.0
1:49.0, ,71-88,C. White makes 3-pt jump shot from 27 ft (assist by A. Dosunmu),,3,71,88,-17,2051.0
1:41.0,Personal foul by D. Jones (drawn by J. Butler),71-88, ,,3,71,88,-17,2059.0
