Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:41.0,T. Young makes 3-pt jump shot from 27 ft,52-33, ,,2,52,33,19,919.0
8:40.0, ,52-33,Houston full timeout,,2,52,33,19,920.0
8:40.0, ,52-33,J. Green enters the game for J. Green,,2,52,33,19,920.0
8:40.0, ,52-33,A. Sengun enters the game for A. Holiday,,2,52,33,19,920.0
8:26.0, ,52-35,F. VanVleet makes 2-pt jump shot from 16 ft (assist by A. Sengun),,2,52,35,17,934.0
8:04.0,Shooting foul by J. Green (drawn by O. Okongwu),52-35, ,,2,52,35,17,956.0
8:04.0,O. Okongwu makes free throw 1 of 2,53-35, ,,2,53,35,18,956.0
8:04.0,D. Hunter enters the game for S. Bey,53-35, ,,2,53,35,18,956.0
8:04.0,D. Murray enters the game for T. Young,53-35, ,,2,53,35,18,956.0
8:04.0,O. Okongwu misses free throw 2 of 2,53-35, ,,2,53,35,18,956.0
8:04.0, ,53-35,Defensive rebound by J. Green,,2,53,35,18,956.0
7:51.0, ,53-37,A. Sengun makes 2-pt layup from 3 ft (assist by F. VanVleet),,2,53,37,16,969.0
7:36.0,Turnover by G. Mathews (bad pass; steal by J. Green),53-37, ,,2,53,37,16,984.0
7:35.0, ,53-37,Personal foul by B. Bogdanović (drawn by J. Green),,2,53,37,16,985.0
7:35.0, ,53-38,F. VanVleet makes free throw 1 of 1,,2,53,38,15,985.0
7:35.0,C. Capela enters the game for G. Mathews,53-38, ,,2,53,38,15,985.0
7:22.0, ,53-40,A. Sengun makes 2-pt layup from 4 ft (assist by F. VanVleet),,2,53,40,13,998.0
7:04.0,D. Hunter misses 3-pt jump shot from 28 ft,53-40, ,,2,53,40,13,1016.0
7:03.0, ,53-40,Defensive rebound by J. Green,,2,53,40,13,1017.0
6:52.0, ,53-40,Turnover by J. Green (bad pass; steal by C. Capela),,2,53,40,13,1028.0
6:45.0,D. Murray misses 2-pt layup from 3 ft,53-40, ,,2,53,40,13,1035.0
6:43.0,Offensive rebound by C. Capela,53-40, ,,2,53,40,13,1037.0
6:41.0,C. Capela makes 2-pt layup from 2 ft,55-40, ,,2,55,40,15,1039.0
6:41.0,Shooting foul by J. Smith (drawn by C. Capela),55-40, ,,2,55,40,15,1039.0
6:41.0,C. Capela makes free throw 1 of 1,56-40, ,,2,56,40,16,1039.0
