Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:47.0,O. Okongwu enters the game for S. Bey,20-14, ,,1,20,14,6,313.0
6:47.0,T. Young misses free throw 1 of 1,20-14, ,,1,20,14,6,313.0
6:47.0, ,20-14,Defensive rebound by A. Sengun,,1,20,14,6,313.0
6:35.0, ,20-16,J. Green makes 2-pt layup from 2 ft,,1,20,16,4,325.0
6:14.0,O. Okongwu misses 2-pt layup from 5 ft (block by A. Sengun),20-16, ,,1,20,16,4,346.0
6:14.0,Offensive rebound by Team,20-16, ,,1,20,16,4,346.0
6:14.0,B. Bogdanović enters the game for T. Young,20-16, ,,1,20,16,4,346.0
6:12.0,B. Bogdanović makes 2-pt layup from 6 ft (assist by D. Hunter),22-16, ,,1,22,16,6,348.0
6:02.0, ,22-18,F. VanVleet makes 2-pt layup from 7 ft,,1,22,18,4,358.0
5:38.0,B. Bogdanović misses 2-pt jump shot from 10 ft,22-18, ,,1,22,18,4,382.0
5:37.0,Offensive rebound by D. Murray,22-18, ,,1,22,18,4,383.0
5:37.0,Turnover by Team (shot clock),22-18, ,,1,22,18,4,383.0
5:37.0,W. Matthews enters the game for D. Hunter,22-18, ,,1,22,18,4,383.0
5:19.0, ,22-18,J. Green misses 2-pt layup from 4 ft,,1,22,18,4,401.0
5:18.0,Defensive rebound by D. Murray,22-18, ,,1,22,18,4,402.0
5:14.0,W. Matthews misses 3-pt jump shot from 27 ft,22-18, ,,1,22,18,4,406.0
5:13.0, ,22-18,Defensive rebound by J. Smith,,1,22,18,4,407.0
5:06.0, ,22-20,J. Green makes 2-pt dunk from 5 ft (assist by F. VanVleet),,1,22,20,2,414.0
4:50.0,D. Murray makes 3-pt jump shot from 27 ft,25-20, ,,1,25,20,5,430.0
4:37.0, ,25-20,Shooting foul by W. Matthews (drawn by F. VanVleet),,1,25,20,5,443.0
4:37.0, ,25-21,F. VanVleet makes free throw 1 of 2,,1,25,21,4,443.0
4:37.0,G. Mathews enters the game for C. Capela,25-21, ,,1,25,21,4,443.0
4:37.0, ,25-21,J. Tate enters the game for D. Brooks,,1,25,21,4,443.0
4:37.0, ,25-21,A. Thompson enters the game for J. Smith,,1,25,21,4,443.0
4:37.0, ,25-22,F. VanVleet makes free throw 2 of 2,,1,25,22,3,443.0
4:19.0,D. Murray makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),28-22, ,,1,28,22,6,461.0
4:02.0, ,28-22,F. VanVleet misses 2-pt jump shot from 9 ft,,1,28,22,6,478.0
4:02.0,Defensive rebound by Team,28-22, ,,1,28,22,6,478.0
3:51.0,Shooting foul by J. Tate (drawn by D. Murray),28-22, ,,1,28,22,6,489.0
3:51.0,D. Murray makes free throw 1 of 3,29-22, ,,1,29,22,7,489.0
3:51.0,D. Murray makes free throw 2 of 3,30-22, ,,1,30,22,8,489.0
3:51.0, ,30-22,A. Holiday enters the game for J. Green,,1,30,22,8,489.0
3:51.0,D. Murray makes free throw 3 of 3,31-22, ,,1,31,22,9,489.0
3:31.0, ,31-22,A. Holiday misses 2-pt jump shot from 8 ft,,1,31,22,9,509.0
3:31.0,Defensive rebound by G. Mathews,31-22, ,,1,31,22,9,509.0
3:12.0,G. Mathews misses 3-pt jump shot from 26 ft,31-22, ,,1,31,22,9,528.0
3:11.0, ,31-22,Defensive rebound by A. Holiday,,1,31,22,9,529.0
3:03.0, ,31-24,A. Thompson makes 2-pt layup from 5 ft (assist by F. VanVleet),,1,31,24,7,537.0
2:49.0,W. Matthews misses 2-pt jump shot from 11 ft,31-24, ,,1,31,24,7,551.0
2:47.0, ,31-24,Defensive rebound by A. Sengun,,1,31,24,7,553.0
2:39.0, ,31-24,A. Thompson misses 2-pt jump shot from 10 ft,,1,31,24,7,561.0
2:38.0,Defensive rebound by O. Okongwu,31-24, ,,1,31,24,7,562.0
2:32.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),34-24, ,,1,34,24,10,568.0
2:21.0, ,34-24,Houston full timeout,,1,34,24,10,579.0
2:21.0,S. Bey enters the game for W. Matthews,34-24, ,,1,34,24,10,579.0
2:21.0,T. Young enters the game for D. Murray,34-24, ,,1,34,24,10,579.0
2:21.0, ,34-24,J. Green enters the game for A. Sengun,,1,34,24,10,579.0
2:21.0, ,34-24,J. Green enters the game for F. VanVleet,,1,34,24,10,579.0
2:14.0, ,34-24,J. Green misses 3-pt jump shot from 27 ft,,1,34,24,10,586.0
2:12.0,Defensive rebound by O. Okongwu,34-24, ,,1,34,24,10,588.0
2:06.0,S. Bey misses 3-pt jump shot from 24 ft,34-24, ,,1,34,24,10,594.0
2:05.0, ,34-24,Defensive rebound by A. Thompson,,1,34,24,10,595.0
1:52.0, ,34-26,J. Green makes 2-pt jump shot from 7 ft,,1,34,26,8,608.0
1:38.0,T. Young makes 3-pt jump shot from 31 ft,37-26, ,,1,37,26,11,622.0
1:19.0, ,37-29,A. Holiday makes 3-pt jump shot from 27 ft (assist by J. Green),,1,37,29,8,641.0
0:53.0,O. Okongwu makes 2-pt layup from 2 ft (assist by T. Young),39-29, ,,1,39,29,10,667.0
0:40.0, ,39-29,J. Green misses 2-pt jump shot from 5 ft,,1,39,29,10,680.0
0:39.0,Defensive rebound by O. Okongwu,39-29, ,,1,39,29,10,681.0
0:30.0,T. Young misses 2-pt jump shot from 21 ft,39-29, ,,1,39,29,10,690.0
0:28.0,Offensive rebound by Team,39-29, ,,1,39,29,10,692.0
0:21.0,O. Okongwu misses 3-pt jump shot from 25 ft,39-29, ,,1,39,29,10,699.0
0:19.0, ,39-29,Defensive rebound by A. Thompson,,1,39,29,10,701.0
0:03.0, ,39-29,Personal foul by T. Young (drawn by J. Green),,1,39,29,10,717.0
0:00.0, ,39-29,J. Green misses 3-pt jump shot from 26 ft,,1,39,29,10,720.0
0:00.0, ,39-29,Offensive rebound by Team,,1,39,29,10,720.0
0:00.0,End of 1st quarter,39-29,,,1,39,29,10,720.0
12:00.0,Start of 2nd quarter,39-29,,,2,39,29,10,720.0
11:46.0,B. Bogdanović misses 3-pt jump shot from 28 ft,39-29, ,,2,39,29,10,734.0
11:44.0, ,39-29,Defensive rebound by D. Brooks,,2,39,29,10,736.0
11:37.0, ,39-29,Offensive foul by J. Green (drawn by G. Mathews),,2,39,29,10,743.0
11:37.0, ,39-29,Turnover by J. Green (offensive foul),,2,39,29,10,743.0
11:19.0,T. Young makes 2-pt jump shot from 20 ft,41-29, ,,2,41,29,12,761.0
11:06.0, ,41-29,Personal foul by G. Mathews (drawn by F. VanVleet),,2,41,29,12,774.0
11:04.0, ,41-29,Turnover by  (5 sec),,2,41,29,12,776.0
10:42.0,B. Bogdanović makes 3-pt jump shot from 32 ft (assist by T. Young),44-29, ,,2,44,29,15,798.0
10:30.0, ,44-31,J. Green makes 2-pt dunk from 4 ft (assist by F. VanVleet),,2,44,31,13,810.0
10:15.0,B. Bogdanović misses 3-pt jump shot from 23 ft,44-31, ,,2,44,31,13,825.0
10:12.0,Offensive rebound by S. Bey,44-31, ,,2,44,31,13,828.0
10:10.0,S. Bey misses 2-pt jump shot from 4 ft (block by J. Smith),44-31, ,,2,44,31,13,830.0
10:09.0,Offensive rebound by S. Bey,44-31, ,,2,44,31,13,831.0
10:09.0,S. Bey misses 2-pt jump shot from 11 ft (block by J. Smith),44-31, ,,2,44,31,13,831.0
10:08.0,Offensive rebound by S. Bey,44-31, ,,2,44,31,13,832.0
10:03.0,Personal foul by F. VanVleet (drawn by O. Okongwu),44-31, ,,2,44,31,13,837.0
9:54.0,O. Okongwu makes 2-pt dunk from 4 ft (assist by B. Bogdanović),46-31, ,,2,46,31,15,846.0
9:42.0, ,46-31,A. Holiday misses 3-pt jump shot from 23 ft,,2,46,31,15,858.0
9:42.0,Defensive rebound by O. Okongwu,46-31, ,,2,46,31,15,858.0
9:27.0,S. Bey misses 3-pt jump shot from 22 ft,46-31, ,,2,46,31,15,873.0
9:26.0, ,46-31,Defensive rebound by F. VanVleet,,2,46,31,15,874.0
9:18.0, ,46-33,F. VanVleet makes 2-pt layup from 5 ft,,2,46,33,13,882.0
9:05.0,G. Mathews makes 3-pt jump shot from 23 ft (assist by O. Okongwu),49-33, ,,2,49,33,16,895.0
8:54.0, ,49-33,F. VanVleet misses 2-pt hook shot from 7 ft,,2,49,33,16,906.0
8:53.0,Defensive rebound by O. Okongwu,49-33, ,,2,49,33,16,907.0
