Time,Minnesota,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:38.0,N. Reid enters the game for S. Milton,72-54, ,,2,54,72,-18,1282.0
2:17.0,N. Reid misses 2-pt layup from 3 ft (block by C. Capela),72-54, ,,2,54,72,-18,1303.0
2:16.0,Offensive rebound by M. Conley,72-54, ,,2,54,72,-18,1304.0
2:16.0,Turnover by Team (shot clock),72-54, ,,2,54,72,-18,1304.0
2:08.0, ,72-56,T. Young makes 2-pt jump shot from 1 ft,,2,56,72,-16,1312.0
1:52.0,K. Towns makes 2-pt layup from 1 ft (assist by K. Anderson),74-56, ,,2,56,74,-18,1328.0
1:52.0,Shooting foul by C. Capela (drawn by K. Towns),74-56, ,,2,56,74,-18,1328.0
1:52.0,K. Towns makes free throw 1 of 1,75-56, ,,2,56,75,-19,1328.0
1:40.0, ,75-56,T. Young misses 3-pt jump shot from 25 ft,,2,56,75,-19,1340.0
1:37.0,Defensive rebound by Team,75-56, ,,2,56,75,-19,1343.0
1:23.0,N. Reid makes 2-pt dunk from 2 ft (assist by K. Towns),77-56, ,,2,56,77,-21,1357.0
1:13.0, ,77-56,Offensive foul by J. Johnson (drawn by M. Conley),,2,56,77,-21,1367.0
1:13.0, ,77-56,Turnover by J. Johnson (offensive foul),,2,56,77,-21,1367.0
1:13.0, ,77-56,S. Bey enters the game for J. Johnson,,2,56,77,-21,1367.0
1:04.0,N. Reid misses 3-pt jump shot from 25 ft,77-56, ,,2,56,77,-21,1376.0
0:59.0, ,77-56,Defensive rebound by T. Young,,2,56,77,-21,1381.0
0:57.0, ,77-56,Personal foul by K. Anderson (drawn by T. Young),,2,56,77,-21,1383.0
0:57.0, ,77-57,T. Young makes free throw 1 of 2,,2,57,77,-20,1383.0
0:57.0, ,77-58,T. Young makes free throw 2 of 2,,2,58,77,-19,1383.0
0:42.0,N. Reid misses 3-pt jump shot from 26 ft,77-58, ,,2,58,77,-19,1398.0
