Time,Atlanta,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:30.0,T. Young makes 3-pt jump shot from 27 ft,15-10, ,,1,15,10,5,210.0
8:19.0, ,15-13,K. Middleton makes 3-pt jump shot from 25 ft (assist by D. Lillard),,1,15,13,2,221.0
8:06.0,T. Young misses 3-pt jump shot from 31 ft,15-13, ,,1,15,13,2,234.0
8:04.0,Offensive rebound by S. Bey,15-13, ,,1,15,13,2,236.0
7:51.0,D. Hunter misses 2-pt layup from 4 ft,15-13, ,,1,15,13,2,249.0
7:49.0, ,15-13,Defensive rebound by K. Middleton,,1,15,13,2,251.0
7:44.0, ,15-15,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),Tie,1,15,15,0,256.0
7:31.0,D. Murray makes 3-pt jump shot from 30 ft (assist by T. Young),18-15, ,,1,18,15,3,269.0
7:19.0, ,18-15,Personal foul by S. Bey (drawn by G. Antetokounmpo),,1,18,15,3,281.0
7:11.0, ,18-15,Offensive foul by G. Antetokounmpo (drawn by C. Capela),,1,18,15,3,289.0
7:11.0, ,18-15,Turnover by G. Antetokounmpo (offensive foul),,1,18,15,3,289.0
6:55.0,T. Young makes 2-pt jump shot from 16 ft,20-15, ,,1,20,15,5,305.0
6:47.0, ,20-17,K. Middleton makes 2-pt layup from 2 ft,,1,20,17,3,313.0
6:29.0,Turnover by D. Hunter (traveling),20-17, ,,1,20,17,3,331.0
6:29.0, ,20-17,Milwaukee full timeout,,1,20,17,3,331.0
6:29.0,B. Bogdanović enters the game for S. Bey,20-17, ,,1,20,17,3,331.0
6:29.0,G. Mathews enters the game for T. Young,20-17, ,,1,20,17,3,331.0
6:29.0, ,20-17,M. Beauchamp enters the game for G. Antetokounmpo,,1,20,17,3,331.0
6:29.0, ,20-17,B. Portis enters the game for K. Middleton,,1,20,17,3,331.0
6:14.0, ,20-19,B. Portis makes 2-pt layup from 1 ft (assist by B. Lopez),,1,20,19,1,346.0
5:56.0,D. Hunter misses 2-pt layup from 5 ft,20-19, ,,1,20,19,1,364.0
5:53.0, ,20-19,Defensive rebound by D. Lillard,,1,20,19,1,367.0
5:48.0, ,20-19,D. Lillard misses 3-pt jump shot from 26 ft,,1,20,19,1,372.0
5:44.0,Defensive rebound by C. Capela,20-19, ,,1,20,19,1,376.0
5:34.0,D. Murray makes 2-pt jump shot from 17 ft,22-19, ,,1,22,19,3,386.0
5:25.0, ,22-19,Turnover by D. Lillard (bad pass; steal by B. Bogdanović),,1,22,19,3,395.0
5:20.0,B. Bogdanović makes 2-pt dunk from 3 ft (assist by D. Murray),24-19, ,,1,24,19,5,400.0
5:01.0, ,24-21,B. Portis makes 2-pt hook shot from 3 ft (assist by M. Beasley),,1,24,21,3,419.0
4:53.0,D. Hunter makes 2-pt layup from 2 ft (assist by C. Capela),26-21, ,,1,26,21,5,427.0
4:53.0,Shooting foul by B. Lopez (drawn by D. Hunter),26-21, ,,1,26,21,5,427.0
4:53.0,O. Okongwu enters the game for C. Capela,26-21, ,,1,26,21,5,427.0
4:53.0,D. Hunter makes free throw 1 of 1,27-21, ,,1,27,21,6,427.0
4:35.0, ,27-23,B. Portis makes 2-pt jump shot from 14 ft (assist by M. Beasley),,1,27,23,4,445.0
4:22.0,D. Murray misses 2-pt jump shot from 16 ft,27-23, ,,1,27,23,4,458.0
4:19.0, ,27-23,Defensive rebound by B. Lopez,,1,27,23,4,461.0
4:10.0, ,27-25,B. Portis makes 2-pt jump shot from 16 ft (assist by D. Lillard),,1,27,25,2,470.0
3:51.0,D. Hunter makes 2-pt jump shot from 14 ft (assist by O. Okongwu),29-25, ,,1,29,25,4,489.0
3:51.0,W. Matthews enters the game for D. Hunter,29-25, ,,1,29,25,4,489.0
3:51.0, ,29-25,G. Antetokounmpo enters the game for M. Beasley,,1,29,25,4,489.0
3:51.0, ,29-25,A. Green enters the game for B. Lopez,,1,29,25,4,489.0
3:39.0, ,29-28,B. Portis makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,1,29,28,1,501.0
3:25.0,Shooting foul by M. Beauchamp (drawn by W. Matthews),29-28, ,,1,29,28,1,515.0
3:25.0,W. Matthews misses free throw 1 of 2,29-28, ,,1,29,28,1,515.0
3:25.0,Offensive rebound by Team,29-28, ,,1,29,28,1,515.0
3:25.0,W. Matthews makes free throw 2 of 2,30-28, ,,1,30,28,2,515.0
3:08.0, ,30-31,M. Beauchamp makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),Lead change,1,30,31,-1,532.0
2:47.0,B. Bogdanović makes 2-pt jump shot from 18 ft,32-31, ,Lead change,1,32,31,1,553.0
2:32.0, ,32-31,B. Portis misses 3-pt jump shot from 25 ft,,1,32,31,1,568.0
2:30.0, ,32-31,Offensive rebound by D. Lillard,,1,32,31,1,570.0
2:28.0, ,32-33,D. Lillard makes 2-pt jump shot from 13 ft,Lead change,1,32,33,-1,572.0
2:13.0,Def 3 sec tech foul by Team,32-33, ,,1,32,33,-1,587.0
2:13.0,Atlanta full timeout,32-33, ,,1,32,33,-1,587.0
2:13.0,S. Bey enters the game for G. Mathews,32-33, ,,1,32,33,-1,587.0
2:13.0,T. Young enters the game for D. Murray,32-33, ,,1,32,33,-1,587.0
2:13.0,O. Okongwu makes technical free throw,33-33, ,Tie,1,33,33,0,587.0
2:04.0,B. Bogdanović makes 2-pt jump shot from 23 ft,35-33, ,Lead change,1,35,33,2,596.0
1:45.0, ,35-35,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. Lillard),Tie,1,35,35,0,615.0
1:34.0,T. Young misses 3-pt jump shot from 31 ft,35-35, ,,1,35,35,0,626.0
1:31.0, ,35-35,Defensive rebound by M. Beauchamp,,1,35,35,0,629.0
1:29.0, ,35-37,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Beauchamp),Lead change,1,35,37,-2,631.0
1:11.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Young),37-37, ,Tie,1,37,37,0,649.0
0:59.0, ,37-37,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,1,37,37,0,661.0
0:56.0,Defensive rebound by O. Okongwu,37-37, ,,1,37,37,0,664.0
0:50.0,B. Bogdanović misses 2-pt layup from 6 ft (block by M. Beauchamp),37-37, ,,1,37,37,0,670.0
0:48.0,Offensive rebound by T. Young,37-37, ,,1,37,37,0,672.0
0:46.0,T. Young misses 2-pt jump shot from 6 ft,37-37, ,,1,37,37,0,674.0
0:44.0, ,37-37,Defensive rebound by G. Antetokounmpo,,1,37,37,0,676.0
0:41.0, ,37-37,M. Beauchamp misses 2-pt layup from 1 ft,,1,37,37,0,679.0
0:39.0, ,37-37,Offensive rebound by A. Green,,1,37,37,0,681.0
0:34.0, ,37-39,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Beauchamp),,1,37,39,-2,686.0
0:34.0, ,37-39,Shooting foul by B. Bogdanović (drawn by G. Antetokounmpo),,1,37,39,-2,686.0
0:34.0, ,37-40,G. Antetokounmpo makes free throw 1 of 1,,1,37,40,-3,686.0
0:28.0,T. Young misses 2-pt jump shot from 15 ft,37-40, ,,1,37,40,-3,692.0
0:23.0, ,37-40,Defensive rebound by B. Portis,,1,37,40,-3,697.0
0:06.0, ,37-42,B. Portis makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,1,37,42,-5,714.0
0:01.0,W. Matthews misses 3-pt jump shot from 31 ft,37-42, ,,1,37,42,-5,719.0
0:00.0,Offensive rebound by Team,37-42, ,,1,37,42,-5,720.0
0:00.0,End of 1st quarter,37-42,,,1,37,42,-5,720.0
12:00.0,Start of 2nd quarter,37-42,,,2,37,42,-5,720.0
11:39.0,B. Bogdanović misses 2-pt jump shot from 22 ft,37-42, ,,2,37,42,-5,741.0
11:35.0, ,37-42,Defensive rebound by B. Portis,,2,37,42,-5,745.0
11:20.0, ,37-42,K. Middleton misses 2-pt jump shot from 8 ft,,2,37,42,-5,760.0
11:17.0,Defensive rebound by O. Okongwu,37-42, ,,2,37,42,-5,763.0
11:11.0,C. Capela misses 2-pt layup from 3 ft,37-42, ,,2,37,42,-5,769.0
11:09.0, ,37-42,Defensive rebound by C. Payne,,2,37,42,-5,771.0
11:05.0, ,37-42,Shooting foul by O. Okongwu (drawn by G. Antetokounmpo),,2,37,42,-5,775.0
11:05.0, ,37-43,G. Antetokounmpo makes free throw 1 of 2,,2,37,43,-6,775.0
11:05.0, ,37-44,G. Antetokounmpo makes free throw 2 of 2,,2,37,44,-7,775.0
10:44.0,T. Young makes 3-pt jump shot from 27 ft,40-44, ,,2,40,44,-4,796.0
10:32.0, ,40-44,Turnover by G. Antetokounmpo (3 sec),,2,40,44,-4,808.0
10:21.0,Shooting foul by A. Green (drawn by T. Young),40-44, ,,2,40,44,-4,819.0
10:21.0,T. Young misses free throw 1 of 2,40-44, ,,2,40,44,-4,819.0
10:21.0,Offensive rebound by Team,40-44, ,,2,40,44,-4,819.0
10:21.0, ,40-44,M. Beasley enters the game for A. Green,,2,40,44,-4,819.0
10:21.0,T. Young makes free throw 2 of 2,41-44, ,,2,41,44,-3,819.0
10:02.0, ,41-44,C. Payne misses 3-pt jump shot from 23 ft,,2,41,44,-3,838.0
9:58.0,Defensive rebound by B. Bogdanović,41-44, ,,2,41,44,-3,842.0
9:53.0,Turnover by T. Young (bad pass; steal by G. Antetokounmpo),41-44, ,,2,41,44,-3,847.0
9:48.0, ,41-46,M. Beasley makes 2-pt layup from 1 ft,,2,41,46,-5,852.0
9:27.0,T. Young makes 2-pt jump shot from 12 ft,43-46, ,,2,43,46,-3,873.0
9:09.0, ,43-46,B. Portis misses 2-pt layup from 2 ft,,2,43,46,-3,891.0
9:06.0,Defensive rebound by C. Capela,43-46, ,,2,43,46,-3,894.0
9:04.0,B. Bogdanović misses 2-pt layup from 4 ft (block by G. Antetokounmpo),43-46, ,,2,43,46,-3,896.0
9:03.0, ,43-46,Defensive rebound by Team,,2,43,46,-3,897.0
8:49.0, ,43-48,C. Payne makes 2-pt jump shot from 12 ft,,2,43,48,-5,911.0
8:31.0,C. Capela misses 2-pt hook shot from 5 ft,43-48, ,,2,43,48,-5,929.0
8:28.0, ,43-48,Defensive rebound by G. Antetokounmpo,,2,43,48,-5,932.0
8:22.0, ,43-50,G. Antetokounmpo makes 2-pt jump shot from 17 ft,,2,43,50,-7,938.0
8:05.0,B. Bogdanović misses 2-pt jump shot from 23 ft,43-50, ,,2,43,50,-7,955.0
8:02.0, ,43-50,Defensive rebound by B. Portis,,2,43,50,-7,958.0
7:57.0, ,43-50,C. Payne misses 3-pt jump shot from 27 ft,,2,43,50,-7,963.0
7:55.0, ,43-50,Offensive rebound by B. Portis,,2,43,50,-7,965.0
7:53.0, ,43-50,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,2,43,50,-7,967.0
7:53.0,Defensive rebound by Team,43-50, ,,2,43,50,-7,967.0
7:53.0,D. Hunter enters the game for S. Bey,43-50, ,,2,43,50,-7,967.0
7:53.0,W. Matthews enters the game for C. Capela,43-50, ,,2,43,50,-7,967.0
7:53.0, ,43-50,B. Lopez enters the game for B. Portis,,2,43,50,-7,967.0
7:40.0,O. Okongwu makes 2-pt layup from 3 ft (assist by T. Young),45-50, ,,2,45,50,-5,980.0
7:28.0, ,45-50,Turnover by G. Antetokounmpo (bad pass; steal by B. Bogdanović),,2,45,50,-5,992.0
7:20.0,T. Young makes 3-pt jump shot from 27 ft,48-50, ,,2,48,50,-2,1000.0
7:20.0, ,48-50,Milwaukee full timeout,,2,48,50,-2,1000.0
7:20.0,D. Murray enters the game for T. Young,48-50, ,,2,48,50,-2,1000.0
7:20.0, ,48-50,M. Beauchamp enters the game for G. Antetokounmpo,,2,48,50,-2,1000.0
7:01.0, ,48-50,Turnover by C. Payne (bad pass; steal by D. Hunter),,2,48,50,-2,1019.0
6:43.0,D. Hunter misses 2-pt jump shot from 12 ft,48-50, ,,2,48,50,-2,1037.0
6:40.0, ,48-50,Defensive rebound by K. Middleton,,2,48,50,-2,1040.0
6:40.0, ,48-50,D. Lillard enters the game for K. Middleton,,2,48,50,-2,1040.0
6:16.0, ,48-53,B. Lopez makes 3-pt jump shot from 29 ft (assist by C. Payne),,2,48,53,-5,1064.0
5:59.0,D. Hunter misses 2-pt jump shot from 9 ft,48-53, ,,2,48,53,-5,1081.0
5:56.0, ,48-53,Defensive rebound by C. Payne,,2,48,53,-5,1084.0
5:51.0, ,48-55,C. Payne makes 2-pt layup from 1 ft,,2,48,55,-7,1089.0
5:35.0,D. Murray makes 2-pt jump shot from 16 ft,50-55, ,,2,50,55,-5,1105.0
5:20.0, ,50-55,D. Lillard misses 2-pt layup from 2 ft,,2,50,55,-5,1120.0
5:18.0,Defensive rebound by Team,50-55, ,,2,50,55,-5,1122.0
5:18.0,T. Young enters the game for B. Bogdanović,50-55, ,,2,50,55,-5,1122.0
5:05.0,D. Murray makes 3-pt jump shot from 29 ft,53-55, ,,2,53,55,-2,1135.0
4:54.0, ,53-58,D. Lillard makes 3-pt jump shot from 27 ft,,2,53,58,-5,1146.0
4:52.0,Atlanta full timeout,53-58, ,,2,53,58,-5,1148.0
4:52.0,S. Bey enters the game for W. Matthews,53-58, ,,2,53,58,-5,1148.0
4:52.0,C. Capela enters the game for O. Okongwu,53-58, ,,2,53,58,-5,1148.0
4:29.0,D. Murray makes 3-pt jump shot from 23 ft,56-58, ,,2,56,58,-2,1171.0
4:11.0, ,56-61,M. Beasley makes 3-pt jump shot from 25 ft (assist by D. Lillard),,2,56,61,-5,1189.0
3:51.0,D. Murray misses 2-pt jump shot from 21 ft,56-61, ,,2,56,61,-5,1209.0
3:48.0, ,56-61,Defensive rebound by D. Lillard,,2,56,61,-5,1212.0
3:44.0, ,56-61,Personal foul by C. Capela (drawn by D. Lillard),,2,56,61,-5,1216.0
3:44.0, ,56-61,G. Antetokounmpo enters the game for C. Payne,,2,56,61,-5,1216.0
3:35.0, ,56-61,M. Beasley misses 2-pt jump shot from 18 ft,,2,56,61,-5,1225.0
3:32.0,Defensive rebound by C. Capela,56-61, ,,2,56,61,-5,1228.0
3:25.0,T. Young makes 2-pt jump shot from 11 ft,58-61, ,,2,58,61,-3,1235.0
3:12.0, ,58-61,B. Lopez misses 3-pt jump shot from 27 ft,,2,58,61,-3,1248.0
3:10.0, ,58-61,Offensive rebound by M. Beasley,,2,58,61,-3,1250.0
3:09.0, ,58-61,Turnover by M. Beasley (bad pass; steal by T. Young),,2,58,61,-3,1251.0
3:04.0,C. Capela makes 2-pt dunk from 3 ft (assist by T. Young),60-61, ,,2,60,61,-1,1256.0
2:51.0, ,60-63,D. Lillard makes 2-pt layup at rim,,2,60,63,-3,1269.0
2:39.0,Personal foul by M. Beauchamp (drawn by T. Young),60-63, ,,2,60,63,-3,1281.0
2:39.0, ,60-63,C. Payne enters the game for M. Beauchamp,,2,60,63,-3,1281.0
2:33.0,T. Young makes 2-pt jump shot from 13 ft,62-63, ,,2,62,63,-1,1287.0
2:24.0, ,62-63,Turnover by B. Lopez (bad pass),,2,62,63,-1,1296.0
2:17.0,Offensive foul by C. Capela (drawn by B. Lopez),62-63, ,,2,62,63,-1,1303.0
2:17.0,Turnover by C. Capela (offensive foul),62-63, ,,2,62,63,-1,1303.0
2:06.0, ,62-63,C. Payne misses 3-pt jump shot from 25 ft,,2,62,63,-1,1314.0
2:02.0,Defensive rebound by C. Capela,62-63, ,,2,62,63,-1,1318.0
2:01.0,Personal foul by C. Payne (drawn by T. Young),62-63, ,,2,62,63,-1,1319.0
1:50.0,T. Young misses 3-pt jump shot from 30 ft,62-63, ,,2,62,63,-1,1330.0
1:46.0,Offensive rebound by C. Capela,62-63, ,,2,62,63,-1,1334.0
1:42.0,T. Young misses 2-pt jump shot from 12 ft,62-63, ,,2,62,63,-1,1338.0
1:38.0, ,62-63,Defensive rebound by G. Antetokounmpo,,2,62,63,-1,1342.0
1:24.0, ,62-63,C. Payne misses 3-pt jump shot from 24 ft,,2,62,63,-1,1356.0
1:21.0,Defensive rebound by C. Capela,62-63, ,,2,62,63,-1,1359.0
1:17.0,S. Bey misses 3-pt jump shot from 27 ft,62-63, ,,2,62,63,-1,1363.0
1:13.0, ,62-63,Defensive rebound by C. Payne,,2,62,63,-1,1367.0
1:08.0, ,62-63,M. Beasley misses 3-pt jump shot from 25 ft,,2,62,63,-1,1372.0
1:08.0,Defensive rebound by S. Bey,62-63, ,,2,62,63,-1,1372.0
0:55.0,Shooting foul by C. Payne (drawn by S. Bey),62-63, ,,2,62,63,-1,1385.0
0:55.0,S. Bey makes free throw 1 of 2,63-63, ,Tie,2,63,63,0,1385.0
0:55.0,S. Bey misses free throw 2 of 2,63-63, ,,2,63,63,0,1385.0
0:52.0, ,63-63,Defensive rebound by M. Beasley,,2,63,63,0,1388.0
0:43.0, ,63-63,D. Lillard misses 2-pt layup from 1 ft (block by C. Capela),,2,63,63,0,1397.0
0:43.0, ,63-63,Offensive rebound by Team,,2,63,63,0,1397.0
0:41.0, ,63-65,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by D. Lillard),,2,63,65,-2,1399.0
0:29.0,D. Murray misses 3-pt jump shot from 29 ft,63-65, ,,2,63,65,-2,1411.0
0:25.0, ,63-65,Defensive rebound by D. Lillard,,2,63,65,-2,1415.0
0:08.0, ,63-65,Shooting foul by D. Hunter (drawn by D. Lillard),,2,63,65,-2,1432.0
0:08.0, ,63-66,D. Lillard makes free throw 1 of 2,,2,63,66,-3,1432.0
0:08.0, ,63-67,D. Lillard makes free throw 2 of 2,,2,63,67,-4,1432.0
0:03.0,T. Young misses 2-pt jump shot from 15 ft,63-67, ,,2,63,67,-4,1437.0
0:01.0,Offensive rebound by C. Capela,63-67, ,,2,63,67,-4,1439.0
0:01.0,C. Capela misses 2-pt layup at rim,63-67, ,,2,63,67,-4,1439.0
0:00.0,Offensive rebound by C. Capela,63-67, ,,2,63,67,-4,1440.0
0:00.0,C. Capela misses 2-pt layup from 2 ft,63-67, ,,2,63,67,-4,1440.0
0:00.0,Offensive rebound by Team,63-67, ,,2,63,67,-4,1440.0
0:00.0,End of 2nd quarter,63-67,,,2,63,67,-4,1440.0
12:00.0,Start of 3rd quarter,63-67,,,3,63,67,-4,1440.0
11:44.0,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),66-67, ,,3,66,67,-1,1456.0
11:31.0, ,66-69,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by B. Lopez),,3,66,69,-3,1469.0
11:13.0,C. Capela misses 2-pt layup from 2 ft,66-69, ,,3,66,69,-3,1487.0
11:09.0, ,66-69,Defensive rebound by M. Beasley,,3,66,69,-3,1491.0
11:06.0, ,66-71,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by K. Middleton),,3,66,71,-5,1494.0
10:59.0,Personal foul by M. Beasley (drawn by D. Hunter),66-71, ,,3,66,71,-5,1501.0
10:51.0,D. Murray makes 2-pt jump shot from 15 ft,68-71, ,,3,68,71,-3,1509.0
10:39.0, ,68-71,D. Lillard misses 2-pt layup from 4 ft,,3,68,71,-3,1521.0
10:36.0,Defensive rebound by S. Bey,68-71, ,,3,68,71,-3,1524.0
10:31.0,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),70-71, ,,3,70,71,-1,1529.0
10:15.0, ,70-71,Turnover by G. Antetokounmpo (bad pass; steal by D. Hunter),,3,70,71,-1,1545.0
10:10.0,S. Bey makes 2-pt jump shot from 13 ft,72-71, ,Lead change,3,72,71,1,1550.0
9:59.0, ,72-71,Turnover by D. Lillard (bad pass; steal by D. Murray),,3,72,71,1,1561.0
9:56.0,T. Young makes 2-pt layup from 2 ft (assist by D. Murray),74-71, ,,3,74,71,3,1564.0
9:56.0, ,74-71,Milwaukee full timeout,,3,74,71,3,1564.0
9:40.0, ,74-71,Shooting foul by C. Capela (drawn by B. Lopez),,3,74,71,3,1580.0
9:40.0, ,74-72,B. Lopez makes free throw 1 of 2,,3,74,72,2,1580.0
9:40.0, ,74-73,B. Lopez makes free throw 2 of 2,,3,74,73,1,1580.0
9:30.0,Personal foul by D. Lillard (drawn by D. Murray),74-73, ,,3,74,73,1,1590.0
9:18.0,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),76-73, ,,3,76,73,3,1602.0
9:05.0, ,76-73,K. Middleton misses 3-pt jump shot from 26 ft,,3,76,73,3,1615.0
9:01.0,Defensive rebound by C. Capela,76-73, ,,3,76,73,3,1619.0
8:56.0,T. Young makes 2-pt jump shot from 10 ft,78-73, ,,3,78,73,5,1624.0
8:42.0, ,78-73,Turnover by G. Antetokounmpo (bad pass; steal by C. Capela),,3,78,73,5,1638.0
8:33.0,T. Young misses 3-pt jump shot from 25 ft,78-73, ,,3,78,73,5,1647.0
8:29.0, ,78-73,Defensive rebound by G. Antetokounmpo,,3,78,73,5,1651.0
8:21.0, ,78-75,G. Antetokounmpo makes 2-pt layup from 3 ft,,3,78,75,3,1659.0
7:57.0,D. Murray makes 2-pt jump shot from 15 ft,80-75, ,,3,80,75,5,1683.0
7:45.0, ,80-75,Shooting foul by C. Capela (drawn by B. Lopez),,3,80,75,5,1695.0
7:45.0, ,80-76,B. Lopez makes free throw 1 of 2,,3,80,76,4,1695.0
7:45.0,O. Okongwu enters the game for C. Capela,80-76, ,,3,80,76,4,1695.0
7:45.0, ,80-77,B. Lopez makes free throw 2 of 2,,3,80,77,3,1695.0
7:35.0,T. Young makes 3-pt jump shot from 26 ft,83-77, ,,3,83,77,6,1705.0
7:16.0, ,83-79,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by D. Lillard),,3,83,79,4,1724.0
7:03.0,Offensive foul by D. Hunter (drawn by G. Antetokounmpo),83-79, ,,3,83,79,4,1737.0
7:03.0,Turnover by D. Hunter (offensive foul),83-79, ,,3,83,79,4,1737.0
7:03.0, ,83-79,M. Beauchamp enters the game for K. Middleton,,3,83,79,4,1737.0
6:38.0, ,83-82,M. Beasley makes 3-pt jump shot from 27 ft (assist by B. Lopez),,3,83,82,1,1762.0
6:26.0,D. Hunter misses 3-pt jump shot from 27 ft,83-82, ,,3,83,82,1,1774.0
6:22.0, ,83-82,Defensive rebound by G. Antetokounmpo,,3,83,82,1,1778.0
6:21.0, ,83-84,G. Antetokounmpo makes 2-pt dunk from 5 ft (assist by D. Lillard),Lead change,3,83,84,-1,1779.0
6:12.0,Turnover by T. Young (bad pass; steal by D. Lillard),83-84, ,,3,83,84,-1,1788.0
6:04.0, ,83-84,D. Lillard misses 3-pt jump shot from 27 ft,,3,83,84,-1,1796.0
6:01.0,Defensive rebound by S. Bey,83-84, ,,3,83,84,-1,1799.0
5:59.0,D. Murray misses 2-pt layup from 3 ft (block by B. Lopez),83-84, ,,3,83,84,-1,1801.0
5:59.0,Offensive rebound by Team,83-84, ,,3,83,84,-1,1801.0
5:59.0,B. Bogdanović enters the game for T. Young,83-84, ,,3,83,84,-1,1801.0
5:59.0, ,83-84,B. Portis enters the game for B. Lopez,,3,83,84,-1,1801.0
5:56.0,B. Bogdanović misses 2-pt jump shot from 19 ft,83-84, ,,3,83,84,-1,1804.0
5:53.0, ,83-84,Defensive rebound by B. Portis,,3,83,84,-1,1807.0
5:32.0, ,83-84,Turnover by Team (shot clock),,3,83,84,-1,1828.0
5:20.0,B. Bogdanović misses 2-pt jump shot from 12 ft,83-84, ,,3,83,84,-1,1840.0
5:17.0, ,83-84,Defensive rebound by G. Antetokounmpo,,3,83,84,-1,1843.0
5:10.0, ,83-84,B. Portis misses 3-pt jump shot from 29 ft,,3,83,84,-1,1850.0
5:07.0,Defensive rebound by S. Bey,83-84, ,,3,83,84,-1,1853.0
4:57.0,D. Hunter misses 3-pt jump shot from 25 ft,83-84, ,,3,83,84,-1,1863.0
4:54.0,Offensive rebound by O. Okongwu,83-84, ,,3,83,84,-1,1866.0
4:54.0,S. Bey makes 3-pt jump shot from 23 ft (assist by O. Okongwu),86-84, ,Lead change,3,86,84,2,1866.0
4:31.0, ,86-84,M. Beasley misses 3-pt jump shot from 27 ft,,3,86,84,2,1889.0
4:27.0,Defensive rebound by B. Bogdanović,86-84, ,,3,86,84,2,1893.0
4:25.0,Shooting foul by M. Beauchamp (drawn by D. Hunter),86-84, ,,3,86,84,2,1895.0
4:25.0,D. Hunter makes free throw 1 of 2,87-84, ,,3,87,84,3,1895.0
4:25.0,D. Hunter makes free throw 2 of 2,88-84, ,,3,88,84,4,1895.0
4:13.0, ,88-84,B. Portis misses 3-pt jump shot from 23 ft,,3,88,84,4,1907.0
4:11.0,Defensive rebound by D. Hunter,88-84, ,,3,88,84,4,1909.0
4:03.0,D. Murray makes 2-pt jump shot from 5 ft (assist by S. Bey),90-84, ,,3,90,84,6,1917.0
3:51.0, ,90-86,G. Antetokounmpo makes 2-pt layup from 4 ft,,3,90,86,4,1929.0
