Time,Atlanta,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:18.0, ,18-11,Defensive rebound by G. Bitadze,,1,18,11,7,342.0
6:14.0, ,18-13,M. Fultz makes 2-pt layup from 2 ft,,1,18,13,5,346.0
6:14.0,Atlanta full timeout,18-13, ,,1,18,13,5,346.0
6:14.0,S. Bey enters the game for J. Johnson,18-13, ,,1,18,13,5,346.0
6:14.0,B. Bogdanović enters the game for T. Young,18-13, ,,1,18,13,5,346.0
6:02.0,Turnover by B. Bogdanović (bad pass),18-13, ,,1,18,13,5,358.0
5:52.0, ,18-13,J. Suggs misses 2-pt jump shot from 8 ft,,1,18,13,5,368.0
5:47.0, ,18-13,Offensive rebound by G. Bitadze,,1,18,13,5,373.0
5:47.0, ,18-15,G. Bitadze makes 2-pt layup at rim,,1,18,15,3,373.0
5:41.0,Turnover by D. Hunter (bad pass; steal by J. Ingles),18-15, ,,1,18,15,3,379.0
5:37.0, ,18-17,P. Banchero makes 2-pt layup from 2 ft,,1,18,17,1,383.0
5:23.0,Shooting foul by J. Suggs (drawn by D. Hunter),18-17, ,,1,18,17,1,397.0
5:23.0,D. Hunter makes free throw 1 of 2,19-17, ,,1,19,17,2,397.0
5:23.0,O. Okongwu enters the game for C. Capela,19-17, ,,1,19,17,2,397.0
5:23.0,D. Hunter makes free throw 2 of 2,20-17, ,,1,20,17,3,397.0
5:02.0, ,20-20,J. Suggs makes 3-pt jump shot from 25 ft (assist by P. Banchero),Tie,1,20,20,0,418.0
4:48.0,O. Okongwu makes 2-pt layup from 3 ft (assist by D. Murray),22-20, ,,1,22,20,2,432.0
4:33.0, ,22-20,Shooting foul by D. Hunter (drawn by G. Bitadze),,1,22,20,2,447.0
4:33.0, ,22-20,G. Bitadze misses free throw 1 of 2,,1,22,20,2,447.0
4:33.0, ,22-20,Offensive rebound by Team,,1,22,20,2,447.0
4:33.0,A. Griffin enters the game for D. Hunter,22-20, ,,1,22,20,2,447.0
4:33.0, ,22-20,G. Bitadze misses free throw 2 of 2,,1,22,20,2,447.0
4:30.0,Defensive rebound by S. Bey,22-20, ,,1,22,20,2,450.0
4:19.0,A. Griffin makes 2-pt dunk at rim (assist by O. Okongwu),24-20, ,,1,24,20,4,461.0
4:03.0, ,24-20,Shooting foul by D. Murray (drawn by J. Suggs),,1,24,20,4,477.0
4:03.0, ,24-20,J. Suggs misses free throw 1 of 2,,1,24,20,4,477.0
4:03.0, ,24-20,Offensive rebound by Team,,1,24,20,4,477.0
4:03.0, ,24-20,C. Anthony enters the game for M. Fultz,,1,24,20,4,477.0
4:03.0, ,24-21,J. Suggs makes free throw 2 of 2,,1,24,21,3,477.0
3:42.0,Turnover by A. Griffin (traveling),24-21, ,,1,24,21,3,498.0
3:24.0, ,24-21,J. Ingles misses 2-pt layup from 8 ft (block by O. Okongwu),,1,24,21,3,516.0
3:21.0, ,24-21,Offensive rebound by J. Ingles,,1,24,21,3,519.0
3:21.0, ,24-21,J. Ingles misses 2-pt layup from 4 ft (block by O. Okongwu),,1,24,21,3,519.0
3:16.0, ,24-21,J. Ingles misses 2-pt layup from 3 ft,,1,24,21,3,524.0
3:16.0,Defensive rebound by B. Bogdanović,24-21, ,,1,24,21,3,524.0
3:05.0,Turnover by A. Griffin (lost ball; steal by J. Suggs),24-21, ,,1,24,21,3,535.0
3:03.0, ,24-21,Personal foul by A. Griffin (drawn by J. Suggs),,1,24,21,3,537.0
3:03.0,C. Capela enters the game for D. Murray,24-21, ,,1,24,21,3,537.0
3:03.0,T. Young enters the game for O. Okongwu,24-21, ,,1,24,21,3,537.0
3:03.0, ,24-22,J. Suggs makes free throw 1 of 2,,1,24,22,2,537.0
3:03.0, ,24-23,J. Suggs makes free throw 2 of 2,,1,24,23,1,537.0
2:48.0,T. Young misses 3-pt jump shot from 25 ft,24-23, ,,1,24,23,1,552.0
2:46.0, ,24-23,Defensive rebound by C. Anthony,,1,24,23,1,554.0
2:43.0, ,24-26,J. Ingles makes 3-pt jump shot from 26 ft (assist by C. Anthony),Lead change,1,24,26,-2,557.0
2:19.0,T. Young makes 2-pt jump shot from 5 ft,26-26, ,Tie,1,26,26,0,581.0
2:04.0, ,26-26,Def 3 sec tech foul by Team,,1,26,26,0,596.0
2:04.0, ,26-26,Orlando full timeout,,1,26,26,0,596.0
2:04.0, ,26-26,A. Black enters the game for G. Bitadze,,1,26,26,0,596.0
2:04.0, ,26-26,M. Wagner enters the game for J. Suggs,,1,26,26,0,596.0
2:04.0, ,26-27,P. Banchero makes technical free throw,,1,26,27,-1,596.0
2:04.0, ,26-27,J. Isaac enters the game for P. Banchero,,1,26,27,-1,596.0
1:52.0, ,26-27,J. Ingles misses 3-pt jump shot from 26 ft,,1,26,27,-1,608.0
1:50.0, ,26-27,Offensive rebound by C. Anthony,,1,26,27,-1,610.0
1:45.0, ,26-27,Turnover by A. Black (bad pass; steal by B. Bogdanović),,1,26,27,-1,615.0
1:38.0,Shooting foul by A. Black (drawn by T. Young),26-27, ,,1,26,27,-1,622.0
1:38.0,T. Young makes free throw 1 of 2,27-27, ,Tie,1,27,27,0,622.0
1:38.0,T. Young makes free throw 2 of 2,28-27, ,Lead change,1,28,27,1,622.0
1:31.0, ,28-27,Personal foul by C. Capela (drawn by C. Anthony),,1,28,27,1,629.0
1:31.0, ,28-28,C. Anthony makes free throw 1 of 2,Tie,1,28,28,0,629.0
1:31.0, ,28-28,F. Wagner enters the game for J. Ingles,,1,28,28,0,629.0
1:31.0, ,28-28,C. Anthony misses free throw 2 of 2,,1,28,28,0,629.0
1:28.0, ,28-28,Offensive rebound by F. Wagner,,1,28,28,0,632.0
1:26.0, ,28-28,Turnover by F. Wagner (bad pass; steal by T. Young),,1,28,28,0,634.0
1:23.0,T. Young makes 2-pt layup from 2 ft,30-28, ,,1,30,28,2,637.0
1:23.0, ,30-28,Violation by Team (def goaltending),,1,30,28,2,637.0
1:13.0, ,30-28,J. Isaac misses 3-pt jump shot from 26 ft,,1,30,28,2,647.0
1:11.0,Defensive rebound by Team,30-28, ,,1,30,28,2,649.0
1:11.0, ,30-28,Loose ball foul by M. Wagner (drawn by C. Capela),,1,30,28,2,649.0
1:11.0,C. Capela misses free throw 1 of 2,30-28, ,,1,30,28,2,649.0
1:11.0,Offensive rebound by Team,30-28, ,,1,30,28,2,649.0
1:11.0,C. Capela makes free throw 2 of 2,31-28, ,,1,31,28,3,649.0
0:59.0, ,31-30,M. Wagner makes 2-pt layup from 3 ft (assist by F. Wagner),,1,31,30,1,661.0
0:41.0,T. Young misses 2-pt layup from 5 ft,31-30, ,,1,31,30,1,679.0
0:38.0, ,31-30,Defensive rebound by M. Wagner,,1,31,30,1,682.0
0:34.0, ,31-32,F. Wagner makes 2-pt layup from 4 ft,Lead change,1,31,32,-1,686.0
0:14.0,T. Young makes 3-pt jump shot from 25 ft,34-32, ,Lead change,1,34,32,2,706.0
0:00.0, ,34-32,C. Anthony misses 2-pt jump shot from 7 ft,,1,34,32,2,720.0
0:00.0, ,34-32,Offensive rebound by A. Black,,1,34,32,2,720.0
0:00.0, ,34-34,A. Black makes 2-pt layup at rim,Tie,1,34,34,0,720.0
0:00.0,End of 1st quarter,34-34,,,1,34,34,0,720.0
12:00.0,Start of 2nd quarter,34-34,,,2,34,34,0,720.0
11:44.0, ,34-34,F. Wagner misses 2-pt layup from 5 ft,,2,34,34,0,736.0
11:41.0,Defensive rebound by C. Capela,34-34, ,,2,34,34,0,739.0
11:30.0,T. Young misses 3-pt jump shot from 26 ft,34-34, ,,2,34,34,0,750.0
11:27.0, ,34-34,Defensive rebound by J. Isaac,,2,34,34,0,753.0
11:21.0, ,34-34,F. Wagner misses 2-pt layup from 4 ft,,2,34,34,0,759.0
11:18.0, ,34-34,Offensive rebound by F. Wagner,,2,34,34,0,762.0
11:18.0, ,34-34,F. Wagner misses 2-pt layup at rim,,2,34,34,0,762.0
11:17.0,Defensive rebound by B. Bogdanović,34-34, ,,2,34,34,0,763.0
11:14.0,Turnover by J. Johnson (bad pass; steal by A. Black),34-34, ,,2,34,34,0,766.0
11:01.0, ,34-34,C. Anthony misses 3-pt jump shot from 25 ft,,2,34,34,0,779.0
10:58.0,Defensive rebound by C. Capela,34-34, ,,2,34,34,0,782.0
10:54.0,B. Bogdanović misses 2-pt jump shot from 4 ft,34-34, ,,2,34,34,0,786.0
10:50.0, ,34-34,Defensive rebound by M. Wagner,,2,34,34,0,790.0
10:38.0, ,34-34,Shooting foul by B. Bogdanović (drawn by F. Wagner),,2,34,34,0,802.0
10:38.0, ,34-35,F. Wagner makes free throw 1 of 2,Lead change,2,34,35,-1,802.0
10:38.0, ,34-36,F. Wagner makes free throw 2 of 2,,2,34,36,-2,802.0
10:26.0,J. Johnson misses 3-pt jump shot from 26 ft,34-36, ,,2,34,36,-2,814.0
10:22.0, ,34-36,Defensive rebound by A. Black,,2,34,36,-2,818.0
10:14.0, ,34-36,C. Anthony misses 3-pt jump shot from 25 ft,,2,34,36,-2,826.0
10:11.0,Defensive rebound by C. Capela,34-36, ,,2,34,36,-2,829.0
10:08.0,Shooting foul by A. Black (drawn by T. Young),34-36, ,,2,34,36,-2,832.0
10:08.0,T. Young makes free throw 1 of 2,35-36, ,,2,35,36,-1,832.0
10:08.0,B. Fernando enters the game for C. Capela,35-36, ,,2,35,36,-1,832.0
10:08.0,T. Young makes free throw 2 of 2,36-36, ,Tie,2,36,36,0,832.0
9:50.0, ,36-36,Turnover by C. Anthony (traveling),,2,36,36,0,850.0
9:37.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),39-36, ,Lead change,2,39,36,3,863.0
9:26.0, ,39-36,Turnover by F. Wagner (bad pass; steal by B. Bogdanović),,2,39,36,3,874.0
9:21.0,T. Young makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),42-36, ,,2,42,36,6,879.0
9:21.0, ,42-36,Orlando full timeout,,2,42,36,6,879.0
9:04.0, ,42-36,Shooting foul by B. Fernando (drawn by A. Black),,2,42,36,6,896.0
9:04.0, ,42-37,A. Black makes free throw 1 of 2,,2,42,37,5,896.0
9:04.0, ,42-38,A. Black makes free throw 2 of 2,,2,42,38,4,896.0
8:52.0,T. Young makes 2-pt layup from 4 ft,44-38, ,,2,44,38,6,908.0
8:52.0,Shooting foul by A. Black (drawn by T. Young),44-38, ,,2,44,38,6,908.0
8:52.0,O. Okongwu enters the game for B. Fernando,44-38, ,,2,44,38,6,908.0
8:52.0, ,44-38,M. Fultz enters the game for A. Black,,2,44,38,6,908.0
8:52.0,T. Young makes free throw 1 of 1,45-38, ,,2,45,38,7,908.0
8:36.0,Violation by Team (kicked ball),45-38, ,,2,45,38,7,924.0
8:36.0,D. Hunter enters the game for J. Johnson,45-38, ,,2,45,38,7,924.0
8:27.0, ,45-38,Turnover by M. Wagner (bad pass; steal by O. Okongwu),,2,45,38,7,933.0
8:27.0, ,45-38,P. Banchero enters the game for J. Isaac,,2,45,38,7,933.0
8:16.0,T. Young misses 3-pt jump shot from 26 ft,45-38, ,,2,45,38,7,944.0
8:12.0, ,45-38,Defensive rebound by F. Wagner,,2,45,38,7,948.0
8:08.0, ,45-40,F. Wagner makes 2-pt layup from 3 ft,,2,45,40,5,952.0
7:55.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Young),48-40, ,,2,48,40,8,965.0
7:39.0, ,48-40,M. Wagner misses 3-pt jump shot from 26 ft,,2,48,40,8,981.0
7:35.0, ,48-40,Offensive rebound by Team,,2,48,40,8,985.0
7:35.0,D. Murray enters the game for T. Young,48-40, ,,2,48,40,8,985.0
7:29.0, ,48-40,M. Wagner misses 3-pt jump shot from 25 ft,,2,48,40,8,991.0
7:29.0,Defensive rebound by D. Murray,48-40, ,,2,48,40,8,991.0
7:15.0,B. Bogdanović makes 2-pt jump shot from 9 ft,50-40, ,,2,50,40,10,1005.0
7:03.0, ,50-40,Turnover by P. Banchero (bad pass; steal by O. Okongwu),,2,50,40,10,1017.0
6:56.0,Turnover by D. Hunter (bad pass; steal by P. Banchero),50-40, ,,2,50,40,10,1024.0
6:40.0, ,50-43,M. Wagner makes 3-pt jump shot from 26 ft (assist by M. Fultz),,2,50,43,7,1040.0
6:19.0,D. Hunter misses 3-pt jump shot from 23 ft,50-43, ,,2,50,43,7,1061.0
6:15.0, ,50-43,Defensive rebound by M. Wagner,,2,50,43,7,1065.0
6:08.0, ,50-43,Turnover by C. Anthony (bad pass; steal by O. Okongwu),,2,50,43,7,1072.0
6:03.0,S. Bey makes 2-pt layup from 2 ft (assist by O. Okongwu),52-43, ,,2,52,43,9,1077.0
6:03.0, ,52-43,Orlando full timeout,,2,52,43,9,1077.0
6:03.0, ,52-43,G. Bitadze enters the game for C. Anthony,,2,52,43,9,1077.0
6:03.0, ,52-43,J. Ingles enters the game for F. Wagner,,2,52,43,9,1077.0
6:03.0, ,52-43,J. Suggs enters the game for M. Wagner,,2,52,43,9,1077.0
5:50.0, ,52-43,Shooting foul by D. Murray (drawn by M. Fultz),,2,52,43,9,1090.0
5:50.0, ,52-44,M. Fultz makes free throw 1 of 2,,2,52,44,8,1090.0
5:50.0, ,52-45,M. Fultz makes free throw 2 of 2,,2,52,45,7,1090.0
5:30.0,D. Murray misses 2-pt jump shot from 15 ft,52-45, ,,2,52,45,7,1110.0
5:26.0,Offensive rebound by O. Okongwu,52-45, ,,2,52,45,7,1114.0
5:26.0,Shooting foul by J. Ingles (drawn by O. Okongwu),52-45, ,,2,52,45,7,1114.0
5:26.0,O. Okongwu misses free throw 1 of 2,52-45, ,,2,52,45,7,1114.0
5:26.0,Offensive rebound by Team,52-45, ,,2,52,45,7,1114.0
5:26.0,J. Johnson enters the game for S. Bey,52-45, ,,2,52,45,7,1114.0
5:26.0,T. Young enters the game for B. Bogdanović,52-45, ,,2,52,45,7,1114.0
5:26.0,O. Okongwu makes free throw 2 of 2,53-45, ,,2,53,45,8,1114.0
5:16.0, ,53-47,J. Suggs makes 2-pt layup from 2 ft (assist by J. Ingles),,2,53,47,6,1124.0
5:04.0,Turnover by T. Young (bad pass; steal by J. Ingles),53-47, ,,2,53,47,6,1136.0
4:57.0, ,53-47,G. Bitadze misses 2-pt layup from 3 ft,,2,53,47,6,1143.0
4:55.0, ,53-47,Offensive rebound by P. Banchero,,2,53,47,6,1145.0
4:54.0, ,53-49,P. Banchero makes 2-pt layup from 4 ft,,2,53,49,4,1146.0
4:45.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),56-49, ,,2,56,49,7,1155.0
4:39.0, ,56-49,Personal foul by D. Hunter (drawn by M. Fultz),,2,56,49,7,1161.0
4:31.0, ,56-52,J. Suggs makes 3-pt jump shot from 25 ft,,2,56,52,4,1169.0
4:28.0,Technical foul by T. Young,56-52, ,,2,56,52,4,1172.0
4:28.0, ,56-52,P. Banchero misses technical free throw,,2,56,52,4,1172.0
4:28.0,Defensive rebound by Team,56-52, ,,2,56,52,4,1172.0
4:12.0,D. Hunter misses 2-pt layup from 4 ft (block by G. Bitadze),56-52, ,,2,56,52,4,1188.0
4:09.0,Offensive rebound by J. Johnson,56-52, ,,2,56,52,4,1191.0
4:05.0,T. Young makes 3-pt jump shot from 35 ft (assist by J. Johnson),59-52, ,,2,59,52,7,1195.0
3:54.0, ,59-54,M. Fultz makes 2-pt jump shot from 16 ft,,2,59,54,5,1206.0
3:39.0,T. Young makes 2-pt jump shot from 5 ft,61-54, ,,2,61,54,7,1221.0
3:25.0, ,61-54,J. Ingles misses 3-pt jump shot from 26 ft,,2,61,54,7,1235.0
3:22.0, ,61-54,Offensive rebound by M. Fultz,,2,61,54,7,1238.0
3:22.0, ,61-56,M. Fultz makes 2-pt layup from 3 ft,,2,61,56,5,1238.0
3:22.0, ,61-56,Shooting foul by O. Okongwu (drawn by M. Fultz),,2,61,56,5,1238.0
3:22.0, ,61-57,M. Fultz makes free throw 1 of 1,,2,61,57,4,1238.0
3:17.0,Offensive foul by O. Okongwu (drawn by J. Suggs),61-57, ,,2,61,57,4,1243.0
3:17.0,Turnover by O. Okongwu (offensive foul),61-57, ,,2,61,57,4,1243.0
3:04.0, ,61-60,J. Suggs makes 3-pt jump shot from 26 ft (assist by P. Banchero),,2,61,60,1,1256.0
2:56.0,Personal foul by J. Suggs (drawn by T. Young),61-60, ,,2,61,60,1,1264.0
2:44.0,D. Murray makes 2-pt jump shot from 15 ft,63-60, ,,2,63,60,3,1276.0
2:23.0, ,63-62,J. Suggs makes 2-pt layup from 3 ft,,2,63,62,1,1297.0
2:08.0,O. Okongwu makes 2-pt dunk from 1 ft,65-62, ,,2,65,62,3,1312.0
1:59.0, ,65-64,M. Fultz makes 2-pt layup from 3 ft,,2,65,64,1,1321.0
1:48.0,Personal foul by G. Bitadze (drawn by T. Young),65-64, ,,2,65,64,1,1332.0
1:48.0,T. Young makes free throw 1 of 2,66-64, ,,2,66,64,2,1332.0
1:48.0, ,66-64,J. Isaac enters the game for G. Bitadze,,2,66,64,2,1332.0
1:48.0, ,66-64,C. Okeke enters the game for J. Ingles,,2,66,64,2,1332.0
1:48.0,T. Young makes free throw 2 of 2,67-64, ,,2,67,64,3,1332.0
1:38.0, ,67-67,J. Isaac makes 3-pt jump shot from 23 ft (assist by M. Fultz),Tie,2,67,67,0,1342.0
1:38.0, ,67-67,Shooting foul by D. Hunter (drawn by J. Isaac),,2,67,67,0,1342.0
1:38.0,S. Bey enters the game for D. Hunter,67-67, ,,2,67,67,0,1342.0
1:38.0, ,67-67,J. Isaac misses free throw 1 of 1,,2,67,67,0,1342.0
1:35.0,Defensive rebound by O. Okongwu,67-67, ,,2,67,67,0,1345.0
1:26.0,Personal foul by J. Isaac (drawn by T. Young),67-67, ,,2,67,67,0,1354.0
1:26.0,T. Young makes free throw 1 of 2,68-67, ,,2,68,67,1,1354.0
1:26.0,T. Young makes free throw 2 of 2,69-67, ,,2,69,67,2,1354.0
1:15.0, ,69-67,J. Isaac misses 3-pt jump shot from 23 ft,,2,69,67,2,1365.0
1:11.0, ,69-67,Offensive rebound by C. Okeke,,2,69,67,2,1369.0
1:07.0, ,69-67,M. Fultz misses 2-pt layup from 3 ft,,2,69,67,2,1373.0
0:59.0, ,69-67,Offensive rebound by J. Isaac,,2,69,67,2,1381.0
0:59.0, ,69-69,J. Isaac makes 2-pt dunk at rim,Tie,2,69,69,0,1381.0
0:58.0,Personal foul by J. Suggs (drawn by T. Young),69-69, ,,2,69,69,0,1382.0
0:58.0,T. Young makes free throw 1 of 2,70-69, ,,2,70,69,1,1382.0
0:58.0, ,70-69,C. Anthony enters the game for J. Suggs,,2,70,69,1,1382.0
0:58.0,T. Young makes free throw 2 of 2,71-69, ,,2,71,69,2,1382.0
0:42.0, ,71-69,M. Fultz misses 2-pt dunk from 3 ft (block by O. Okongwu),,2,71,69,2,1398.0
0:38.0,Defensive rebound by J. Johnson,71-69, ,,2,71,69,2,1402.0
0:38.0,T. Young makes 2-pt layup from 1 ft (assist by J. Johnson),73-69, ,,2,73,69,4,1402.0
0:21.0, ,73-69,C. Okeke misses 3-pt jump shot from 26 ft,,2,73,69,4,1419.0
0:17.0,Defensive rebound by D. Murray,73-69, ,,2,73,69,4,1423.0
0:00.0,D. Murray misses 3-pt jump shot from 26 ft,73-69, ,,2,73,69,4,1440.0
0:00.0,Offensive rebound by Team,73-69, ,,2,73,69,4,1440.0
0:00.0,End of 2nd quarter,73-69,,,2,73,69,4,1440.0
12:00.0,Start of 3rd quarter,73-69,,,3,73,69,4,1440.0
11:47.0, ,73-69,Turnover by F. Wagner (traveling),,3,73,69,4,1453.0
11:35.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by C. Capela),76-69, ,,3,76,69,7,1465.0
11:21.0, ,76-69,Shooting foul by C. Capela (drawn by J. Suggs),,3,76,69,7,1479.0
11:21.0, ,76-69,J. Suggs misses free throw 1 of 2,,3,76,69,7,1479.0
11:21.0, ,76-69,Offensive rebound by Team,,3,76,69,7,1479.0
11:21.0, ,76-69,J. Suggs misses free throw 2 of 2,,3,76,69,7,1479.0
11:19.0,Defensive rebound by C. Capela,76-69, ,,3,76,69,7,1481.0
11:07.0,T. Young misses 3-pt jump shot from 31 ft,76-69, ,,3,76,69,7,1493.0
11:02.0,Offensive rebound by T. Young,76-69, ,,3,76,69,7,1498.0
10:55.0,D. Hunter misses 2-pt jump shot from 11 ft,76-69, ,,3,76,69,7,1505.0
10:51.0, ,76-69,Defensive rebound by P. Banchero,,3,76,69,7,1509.0
10:46.0, ,76-69,Personal foul by D. Hunter (drawn by M. Fultz),,3,76,69,7,1514.0
10:46.0,S. Bey enters the game for D. Hunter,76-69, ,,3,76,69,7,1514.0
10:34.0, ,76-71,F. Wagner makes 2-pt layup from 5 ft,,3,76,71,5,1526.0
10:17.0,T. Young misses 2-pt jump shot from 3 ft,76-71, ,,3,76,71,5,1543.0
10:14.0, ,76-71,Defensive rebound by P. Banchero,,3,76,71,5,1546.0
10:10.0, ,76-71,P. Banchero misses 2-pt layup from 4 ft (block by J. Johnson),,3,76,71,5,1550.0
10:06.0, ,76-71,Offensive rebound by P. Banchero,,3,76,71,5,1554.0
10:03.0, ,76-71,P. Banchero misses 2-pt layup from 3 ft,,3,76,71,5,1557.0
10:01.0,Defensive rebound by T. Young,76-71, ,,3,76,71,5,1559.0
9:58.0,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),78-71, ,,3,78,71,7,1562.0
9:56.0, ,78-71,Orlando full timeout,,3,78,71,7,1564.0
9:40.0, ,78-73,M. Fultz makes 2-pt layup from 6 ft,,3,78,73,5,1580.0
9:20.0,J. Johnson makes 2-pt layup from 3 ft,80-73, ,,3,80,73,7,1600.0
9:04.0, ,80-73,M. Fultz misses 2-pt jump shot from 11 ft,,3,80,73,7,1616.0
8:58.0, ,80-73,Offensive rebound by G. Bitadze,,3,80,73,7,1622.0
8:58.0, ,80-75,G. Bitadze makes 2-pt layup at rim,,3,80,75,5,1622.0
8:54.0,Turnover by D. Murray (bad pass; steal by J. Suggs),80-75, ,,3,80,75,5,1626.0
8:50.0, ,80-77,J. Suggs makes 2-pt layup from 2 ft,,3,80,77,3,1630.0
8:40.0,Personal foul by J. Suggs (drawn by C. Capela),80-77, ,,3,80,77,3,1640.0
8:36.0,Atlanta full timeout,80-77, ,,3,80,77,3,1644.0
8:36.0,Instant Replay (Challenge: Ruling Stands),80-77, ,,3,80,77,3,1644.0
8:36.0,T. Young misses 2-pt layup from 5 ft,80-77, ,,3,80,77,3,1644.0
8:36.0,Offensive rebound by C. Capela,80-77, ,,3,80,77,3,1644.0
8:36.0,C. Capela makes 2-pt layup from 2 ft,82-77, ,,3,82,77,5,1644.0
8:21.0, ,82-77,G. Bitadze misses 2-pt layup from 3 ft (block by C. Capela),,3,82,77,5,1659.0
8:21.0,Defensive rebound by C. Capela,82-77, ,,3,82,77,5,1659.0
