Time,Atlanta,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:45.0, ,74-97,M. Christie makes 2-pt layup from 3 ft,,3,74,97,-23,1935.0
3:29.0,O. Okongwu makes 2-pt hook shot from 4 ft (assist by W. Matthews),76-97, ,,3,76,97,-21,1951.0
3:29.0,Shooting foul by A. Davis (drawn by O. Okongwu),76-97, ,,3,76,97,-21,1951.0
3:29.0,T. Forrest enters the game for G. Mathews,76-97, ,,3,76,97,-21,1951.0
3:29.0,J. Johnson enters the game for D. Murray,76-97, ,,3,76,97,-21,1951.0
3:29.0,O. Okongwu misses free throw 1 of 1,76-97, ,,3,76,97,-21,1951.0
3:26.0, ,76-97,Defensive rebound by A. Davis,,3,76,97,-21,1954.0
3:17.0, ,76-97,T. Prince misses 3-pt jump shot from 26 ft,,3,76,97,-21,1963.0
3:13.0,Defensive rebound by O. Okongwu,76-97, ,,3,76,97,-21,1967.0
3:05.0,D. Hunter makes 2-pt jump shot from 15 ft (assist by T. Forrest),78-97, ,,3,78,97,-19,1975.0
2:46.0, ,78-99,A. Reaves makes 2-pt jump shot from 7 ft (assist by A. Davis),,3,78,99,-21,1994.0
2:30.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Hunter),81-99, ,,3,81,99,-18,2010.0
2:08.0, ,81-99,LA Lakers full timeout,,3,81,99,-18,2032.0
2:08.0, ,81-99,D. Russell enters the game for A. Reaves,,3,81,99,-18,2032.0
1:59.0, ,81-99,S. Dinwiddie misses 2-pt jump shot from 17 ft,,3,81,99,-18,2041.0
1:56.0,Defensive rebound by J. Johnson,81-99, ,,3,81,99,-18,2044.0
1:50.0,J. Johnson misses 3-pt jump shot from 27 ft,81-99, ,,3,81,99,-18,2050.0
1:46.0, ,81-99,Defensive rebound by D. Russell,,3,81,99,-18,2054.0
1:40.0, ,81-99,Turnover by A. Davis (lost ball; steal by O. Okongwu),,3,81,99,-18,2060.0
1:34.0,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Forrest),83-99, ,,3,83,99,-16,2066.0
1:19.0, ,83-102,T. Prince makes 3-pt jump shot from 24 ft (assist by M. Christie),,3,83,102,-19,2081.0
1:02.0,O. Okongwu misses 3-pt jump shot from 27 ft,83-102, ,,3,83,102,-19,2098.0
0:59.0, ,83-102,Defensive rebound by A. Davis,,3,83,102,-19,2101.0
0:54.0,Violation by Team (kicked ball),83-102, ,,3,83,102,-19,2106.0
0:51.0, ,83-105,A. Davis makes 3-pt jump shot from 25 ft (assist by D. Russell),,3,83,105,-22,2109.0
0:40.0,J. Johnson makes 2-pt jump shot from 4 ft (assist by T. Forrest),85-105, ,,3,85,105,-20,2120.0
0:40.0,Shooting foul by T. Prince (drawn by J. Johnson),85-105, ,,3,85,105,-20,2120.0
0:40.0,J. Johnson makes free throw 1 of 1,86-105, ,,3,86,105,-19,2120.0
0:29.0, ,86-108,D. Russell makes 3-pt jump shot from 27 ft,,3,86,108,-22,2131.0
0:07.0,D. Hunter misses 2-pt layup from 5 ft,86-108, ,,3,86,108,-22,2153.0
0:05.0, ,86-108,Defensive rebound by A. Davis,,3,86,108,-22,2155.0
0:00.0, ,86-111,D. Russell makes 3-pt jump shot from 25 ft (assist by A. Davis),,3,86,111,-25,2160.0
0:00.0, ,86-111,Instant Replay (Request: Ruling Stands),,3,86,111,-25,2160.0
0:00.0,End of 3rd quarter,86-111,,,3,86,111,-25,2160.0
12:00.0,Start of 4th quarter,86-111,,,4,86,111,-25,2160.0
11:44.0, ,86-111,D. Russell misses 3-pt jump shot from 27 ft,,4,86,111,-25,2176.0
11:40.0,Defensive rebound by T. Forrest,86-111, ,,4,86,111,-25,2180.0
11:20.0,J. Johnson makes 2-pt jump shot from 11 ft,88-111, ,,4,88,111,-23,2200.0
11:05.0, ,88-114,D. Russell makes 3-pt jump shot from 26 ft (assist by L. James),,4,88,114,-26,2215.0
10:44.0,D. Hunter misses 2-pt jump shot from 14 ft,88-114, ,,4,88,114,-26,2236.0
10:41.0, ,88-114,Defensive rebound by L. James,,4,88,114,-26,2239.0
10:38.0, ,88-116,L. James makes 2-pt layup from 2 ft,,4,88,116,-28,2242.0
10:23.0,J. Johnson misses 3-pt jump shot from 27 ft,88-116, ,,4,88,116,-28,2257.0
10:19.0,Offensive rebound by T. Forrest,88-116, ,,4,88,116,-28,2261.0
10:16.0,T. Forrest misses 2-pt jump shot from 8 ft,88-116, ,,4,88,116,-28,2264.0
10:14.0, ,88-116,Defensive rebound by L. James,,4,88,116,-28,2266.0
10:12.0, ,88-119,T. Prince makes 3-pt jump shot from 28 ft (assist by L. James),,4,88,119,-31,2268.0
10:10.0,Atlanta full timeout,88-119, ,,4,88,119,-31,2270.0
10:10.0,D. Murray enters the game for T. Forrest,88-119, ,,4,88,119,-31,2270.0
9:59.0,D. Hunter misses 3-pt jump shot from 27 ft,88-119, ,,4,88,119,-31,2281.0
9:56.0, ,88-119,Defensive rebound by D. Russell,,4,88,119,-31,2284.0
9:46.0, ,88-122,D. Russell makes 3-pt jump shot from 27 ft (assist by L. James),,4,88,122,-34,2294.0
9:27.0,B. Bogdanović misses 2-pt jump shot from 6 ft,88-122, ,,4,88,122,-34,2313.0
9:25.0,Offensive rebound by O. Okongwu,88-122, ,,4,88,122,-34,2315.0
9:23.0,O. Okongwu makes 2-pt layup from 2 ft,90-122, ,,4,90,122,-32,2317.0
9:19.0, ,90-122,D. Russell misses 3-pt jump shot from 28 ft,,4,90,122,-32,2321.0
9:14.0,Defensive rebound by D. Murray,90-122, ,,4,90,122,-32,2326.0
9:11.0,D. Murray misses 3-pt jump shot from 27 ft,90-122, ,,4,90,122,-32,2329.0
9:05.0, ,90-122,Defensive rebound by D. Russell,,4,90,122,-32,2335.0
8:49.0, ,90-124,L. James makes 2-pt layup from 3 ft,,4,90,124,-34,2351.0
8:40.0,Personal take foul by D. Russell (drawn by J. Johnson),90-124, ,,4,90,124,-34,2360.0
8:40.0,C. Capela enters the game for O. Okongwu,90-124, ,,4,90,124,-34,2360.0
