Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:56.0,D. Hunter enters the game for C. Capela,16-12, ,,1,16,12,4,364.0
5:56.0,G. Mathews enters the game for J. Johnson,16-12, ,,1,16,12,4,364.0
5:39.0, ,16-15,P. George makes 3-pt jump shot from 26 ft (assist by J. Harden),,1,16,15,1,381.0
5:18.0,Turnover by B. Fernando (bad pass; steal by P. George),16-15, ,,1,16,15,1,402.0
5:13.0, ,16-15,Offensive foul by J. Harden (drawn by G. Mathews),,1,16,15,1,407.0
5:13.0, ,16-15,Turnover by J. Harden (offensive foul),,1,16,15,1,407.0
5:13.0, ,16-15,B. Hyland enters the game for J. Harden,,1,16,15,1,407.0
4:57.0,G. Mathews makes 3-pt jump shot from 28 ft (assist by D. Murray),19-15, ,,1,19,15,4,423.0
4:42.0, ,19-15,Shooting foul by D. Hunter (drawn by K. Leonard),,1,19,15,4,438.0
4:42.0, ,19-15,K. Leonard misses free throw 1 of 2,,1,19,15,4,438.0
4:42.0, ,19-15,Offensive rebound by Team,,1,19,15,4,438.0
4:42.0,T. Forrest enters the game for V. Krejci,19-15, ,,1,19,15,4,438.0
4:42.0, ,19-16,K. Leonard makes free throw 2 of 2,,1,19,16,3,438.0
4:27.0,T. Forrest misses 2-pt layup from 4 ft,19-16, ,,1,19,16,3,453.0
4:22.0,Offensive rebound by B. Fernando,19-16, ,,1,19,16,3,458.0
4:22.0,B. Fernando makes 2-pt dunk at rim,21-16, ,,1,21,16,5,458.0
4:13.0, ,21-18,T. Mann makes 2-pt layup from 2 ft (assist by P. George),,1,21,18,3,467.0
4:00.0,Turnover by D. Murray (bad pass; steal by P. George),21-18, ,,1,21,18,3,480.0
3:57.0, ,21-20,P. George makes 2-pt dunk from 1 ft,,1,21,20,1,483.0
3:40.0,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),23-20, ,,1,23,20,3,500.0
3:40.0,Shooting foul by T. Mann (drawn by D. Hunter),23-20, ,,1,23,20,3,500.0
3:40.0, ,23-20,A. Coffey enters the game for P. George,,1,23,20,3,500.0
3:40.0,D. Hunter makes free throw 1 of 1,24-20, ,,1,24,20,4,500.0
3:21.0, ,24-20,Turnover by B. Hyland (lost ball; steal by D. Murray),,1,24,20,4,519.0
3:13.0,G. Mathews misses 3-pt jump shot from 27 ft,24-20, ,,1,24,20,4,527.0
3:10.0, ,24-20,Defensive rebound by A. Coffey,,1,24,20,4,530.0
3:03.0, ,24-22,K. Leonard makes 2-pt jump shot from 12 ft,,1,24,22,2,537.0
2:38.0,D. Hunter makes 3-pt jump shot from 28 ft (assist by T. Forrest),27-22, ,,1,27,22,5,562.0
2:15.0, ,27-22,B. Hyland misses 3-pt jump shot from 25 ft (block by G. Mathews),,1,27,22,5,585.0
2:15.0, ,27-22,Offensive rebound by Team,,1,27,22,5,585.0
2:15.0,Atlanta full timeout,27-22, ,,1,27,22,5,585.0
2:15.0,B. Bogdanović enters the game for G. Mathews,27-22, ,,1,27,22,5,585.0
2:15.0,J. Johnson enters the game for D. Murray,27-22, ,,1,27,22,5,585.0
2:15.0, ,27-22,D. Theis enters the game for T. Mann,,1,27,22,5,585.0
2:15.0, ,27-22,P. Tucker enters the game for I. Zubac,,1,27,22,5,585.0
2:08.0, ,27-22,D. Theis misses 2-pt jump shot from 13 ft,,1,27,22,5,592.0
2:06.0,Defensive rebound by J. Johnson,27-22, ,,1,27,22,5,594.0
1:52.0,J. Johnson misses 2-pt jump shot from 7 ft,27-22, ,,1,27,22,5,608.0
1:51.0, ,27-22,Defensive rebound by P. Tucker,,1,27,22,5,609.0
1:32.0, ,27-25,P. Tucker makes 3-pt jump shot from 23 ft (assist by K. Leonard),,1,27,25,2,628.0
1:13.0,D. Hunter misses 2-pt jump shot from 22 ft,27-25, ,,1,27,25,2,647.0
1:11.0, ,27-25,Defensive rebound by B. Hyland,,1,27,25,2,649.0
1:02.0, ,27-25,Turnover by B. Hyland (lost ball; steal by B. Fernando),,1,27,25,2,658.0
0:58.0,D. Hunter makes 2-pt layup from 4 ft (assist by J. Johnson),29-25, ,,1,29,25,4,662.0
0:40.0, ,29-28,K. Leonard makes 3-pt jump shot from 26 ft (assist by B. Hyland),,1,29,28,1,680.0
0:40.0, ,29-28,Shooting foul by J. Johnson (drawn by K. Leonard),,1,29,28,1,680.0
0:40.0, ,29-29,K. Leonard makes free throw 1 of 1,Tie,1,29,29,0,680.0
0:29.0,B. Fernando makes 2-pt layup from 2 ft (assist by B. Bogdanović),31-29, ,,1,31,29,2,691.0
0:10.0, ,31-29,B. Hyland misses 3-pt jump shot from 25 ft,,1,31,29,2,710.0
0:08.0,Defensive rebound by J. Johnson,31-29, ,,1,31,29,2,712.0
0:00.0,End of 1st quarter,31-29,,,1,31,29,2,720.0
12:00.0,Start of 2nd quarter,31-29,,,2,31,29,2,720.0
11:48.0,Offensive foul by B. Fernando (drawn by D. Theis),31-29, ,,2,31,29,2,732.0
11:48.0,Turnover by B. Fernando (offensive foul),31-29, ,,2,31,29,2,732.0
11:26.0, ,31-29,J. Harden misses 3-pt jump shot from 27 ft,,2,31,29,2,754.0
11:24.0, ,31-29,Offensive rebound by P. Tucker,,2,31,29,2,756.0
11:06.0, ,31-29,B. Hyland misses 3-pt jump shot from 27 ft,,2,31,29,2,774.0
11:04.0, ,31-29,Offensive rebound by A. Coffey,,2,31,29,2,776.0
11:02.0, ,31-29,Turnover by D. Theis (bad pass; steal by J. Johnson),,2,31,29,2,778.0
10:55.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Hunter),34-29, ,,2,34,29,5,785.0
10:46.0, ,34-29,A. Coffey misses 3-pt jump shot from 25 ft,,2,34,29,5,794.0
10:43.0,Defensive rebound by B. Fernando,34-29, ,,2,34,29,5,797.0
10:30.0,Shooting foul by D. Theis (drawn by B. Fernando),34-29, ,,2,34,29,5,810.0
10:30.0,B. Fernando makes free throw 1 of 2,35-29, ,,2,35,29,6,810.0
10:30.0, ,35-29,T. Mann enters the game for B. Hyland,,2,35,29,6,810.0
10:30.0,B. Fernando makes free throw 2 of 2,36-29, ,,2,36,29,7,810.0
10:17.0, ,36-29,Personal foul by B. Fernando (drawn by J. Harden),,2,36,29,7,823.0
9:59.0, ,36-29,T. Mann misses 2-pt jump shot from 19 ft,,2,36,29,7,841.0
9:56.0,Defensive rebound by B. Fernando,36-29, ,,2,36,29,7,844.0
9:53.0,J. Johnson makes 2-pt layup from 4 ft (assist by B. Fernando),38-29, ,,2,38,29,9,847.0
9:53.0,Shooting foul by A. Coffey (drawn by J. Johnson),38-29, ,,2,38,29,9,847.0
9:53.0,J. Johnson makes free throw 1 of 1,39-29, ,,2,39,29,10,847.0
9:34.0, ,39-29,P. Tucker misses 2-pt hook shot from 6 ft,,2,39,29,10,866.0
9:32.0, ,39-29,Offensive rebound by D. Theis,,2,39,29,10,868.0
9:30.0, ,39-29,A. Coffey misses 2-pt jump shot from 17 ft,,2,39,29,10,870.0
9:26.0,Defensive rebound by B. Fernando,39-29, ,,2,39,29,10,874.0
9:08.0,D. Hunter misses 2-pt jump shot from 12 ft,39-29, ,,2,39,29,10,892.0
9:05.0, ,39-29,Defensive rebound by A. Coffey,,2,39,29,10,895.0
8:59.0, ,39-31,A. Coffey makes 2-pt layup from 1 ft (assist by J. Harden),,2,39,31,8,901.0
8:39.0,B. Bogdanović misses 3-pt jump shot from 28 ft,39-31, ,,2,39,31,8,921.0
8:36.0, ,39-31,Defensive rebound by D. Theis,,2,39,31,8,924.0
8:27.0, ,39-34,T. Mann makes 3-pt jump shot from 23 ft (assist by D. Theis),,2,39,34,5,933.0
8:08.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Forrest),42-34, ,,2,42,34,8,952.0
7:50.0, ,42-34,D. Theis misses 2-pt dunk from 3 ft (block by D. Hunter),,2,42,34,8,970.0
7:47.0, ,42-34,Offensive rebound by D. Theis,,2,42,34,8,973.0
7:45.0, ,42-34,J. Harden misses 3-pt jump shot from 28 ft,,2,42,34,8,975.0
7:41.0,Defensive rebound by J. Johnson,42-34, ,,2,42,34,8,979.0
7:38.0,D. Hunter makes 2-pt dunk from 2 ft (assist by J. Johnson),44-34, ,,2,44,34,10,982.0
7:38.0, ,44-34,LA Clippers full timeout,,2,44,34,10,982.0
7:38.0,V. Krejci enters the game for T. Forrest,44-34, ,,2,44,34,10,982.0
7:38.0,W. Matthews enters the game for D. Hunter,44-34, ,,2,44,34,10,982.0
7:38.0,D. Murray enters the game for J. Johnson,44-34, ,,2,44,34,10,982.0
7:38.0, ,44-34,P. George enters the game for A. Coffey,,2,44,34,10,982.0
7:38.0, ,44-34,K. Leonard enters the game for D. Theis,,2,44,34,10,982.0
7:38.0, ,44-34,I. Zubac enters the game for P. Tucker,,2,44,34,10,982.0
7:26.0, ,44-36,I. Zubac makes 2-pt layup from 3 ft (assist by J. Harden),,2,44,36,8,994.0
7:12.0,B. Bogdanović misses 3-pt jump shot from 28 ft,44-36, ,,2,44,36,8,1008.0
7:12.0, ,44-36,Defensive rebound by I. Zubac,,2,44,36,8,1008.0
7:01.0, ,44-36,Shooting foul by V. Krejci (drawn by P. George),,2,44,36,8,1019.0
7:01.0, ,44-37,P. George makes free throw 1 of 2,,2,44,37,7,1019.0
7:01.0,C. Capela enters the game for B. Bogdanović,44-37, ,,2,44,37,7,1019.0
7:01.0,G. Mathews enters the game for B. Fernando,44-37, ,,2,44,37,7,1019.0
7:01.0, ,44-38,P. George makes free throw 2 of 2,,2,44,38,6,1019.0
6:49.0,D. Murray makes 2-pt jump shot from 14 ft (assist by C. Capela),46-38, ,,2,46,38,8,1031.0
6:36.0, ,46-38,Turnover by J. Harden (bad pass; steal by G. Mathews),,2,46,38,8,1044.0
6:24.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Murray),49-38, ,,2,49,38,11,1056.0
6:02.0, ,49-38,P. George misses 3-pt jump shot from 25 ft,,2,49,38,11,1078.0
6:00.0,Defensive rebound by D. Murray,49-38, ,,2,49,38,11,1080.0
5:53.0,D. Murray misses 3-pt jump shot from 27 ft,49-38, ,,2,49,38,11,1087.0
5:50.0, ,49-38,Defensive rebound by P. George,,2,49,38,11,1090.0
5:42.0, ,49-40,P. George makes 2-pt layup from 2 ft,,2,49,40,9,1098.0
5:41.0, ,49-40,Violation by Team (delay of game),,2,49,40,9,1099.0
5:25.0,C. Capela makes 2-pt hook shot from 9 ft (assist by D. Murray),51-40, ,,2,51,40,11,1115.0
5:09.0, ,51-40,K. Leonard misses 3-pt jump shot from 25 ft,,2,51,40,11,1131.0
5:07.0,Defensive rebound by D. Murray,51-40, ,,2,51,40,11,1133.0
5:00.0,G. Mathews misses 2-pt layup from 4 ft,51-40, ,,2,51,40,11,1140.0
4:57.0, ,51-40,Defensive rebound by J. Harden,,2,51,40,11,1143.0
4:52.0, ,51-40,J. Harden misses 3-pt jump shot from 26 ft,,2,51,40,11,1148.0
4:49.0, ,51-40,Offensive rebound by I. Zubac,,2,51,40,11,1151.0
4:42.0, ,51-40,J. Harden misses 2-pt layup from 4 ft (block by C. Capela),,2,51,40,11,1158.0
4:39.0,Defensive rebound by W. Matthews,51-40, ,,2,51,40,11,1161.0
4:35.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Murray),54-40, ,,2,54,40,14,1165.0
4:35.0, ,54-40,LA Clippers full timeout,,2,54,40,14,1165.0
4:35.0,B. Bogdanović enters the game for V. Krejci,54-40, ,,2,54,40,14,1165.0
4:35.0,J. Johnson enters the game for G. Mathews,54-40, ,,2,54,40,14,1165.0
4:20.0, ,54-40,Turnover by J. Harden (bad pass),,2,54,40,14,1180.0
4:00.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Capela),57-40, ,,2,57,40,17,1200.0
3:42.0, ,57-40,P. George misses 3-pt jump shot from 27 ft,,2,57,40,17,1218.0
3:37.0,Defensive rebound by B. Bogdanović,57-40, ,,2,57,40,17,1223.0
3:30.0,Turnover by D. Murray (bad pass; steal by T. Mann),57-40, ,,2,57,40,17,1230.0
3:19.0, ,57-40,K. Leonard misses 2-pt jump shot from 15 ft,,2,57,40,17,1241.0
3:16.0,Defensive rebound by C. Capela,57-40, ,,2,57,40,17,1244.0
3:13.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Johnson),59-40, ,,2,59,40,19,1247.0
2:49.0, ,59-40,Offensive foul by I. Zubac (drawn by J. Johnson),,2,59,40,19,1271.0
2:49.0, ,59-40,Turnover by I. Zubac (offensive foul),,2,59,40,19,1271.0
2:38.0,B. Bogdanović misses 3-pt jump shot from 23 ft,59-40, ,,2,59,40,19,1282.0
2:35.0, ,59-40,Defensive rebound by J. Harden,,2,59,40,19,1285.0
2:30.0, ,59-40,J. Harden misses 2-pt layup from 2 ft (block by C. Capela),,2,59,40,19,1290.0
2:28.0,Defensive rebound by C. Capela,59-40, ,,2,59,40,19,1292.0
2:15.0,C. Capela makes 2-pt hook shot from 4 ft (assist by B. Bogdanović),61-40, ,,2,61,40,21,1305.0
1:58.0, ,61-42,K. Leonard makes 2-pt jump shot from 9 ft,,2,61,42,19,1322.0
1:45.0,J. Johnson misses 2-pt jump shot from 9 ft,61-42, ,,2,61,42,19,1335.0
1:42.0,Offensive rebound by J. Johnson,61-42, ,,2,61,42,19,1338.0
1:41.0,J. Johnson misses 2-pt layup from 2 ft (block by K. Leonard),61-42, ,,2,61,42,19,1339.0
