Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:54.0, ,81-58,Turnover by B. Hyland (bad pass; steal by J. Johnson),,3,81,58,23,1986.0
2:52.0,Atlanta full timeout,81-58, ,,3,81,58,23,1988.0
2:52.0,T. Forrest enters the game for D. Murray,81-58, ,,3,81,58,23,1988.0
2:52.0,Offensive foul by B. Fernando (drawn by M. Plumlee),81-58, ,,3,81,58,23,1988.0
2:52.0,Turnover by B. Fernando (offensive foul),81-58, ,,3,81,58,23,1988.0
2:37.0, ,81-58,B. Hyland misses 3-pt jump shot from 26 ft,,3,81,58,23,2003.0
2:35.0,Defensive rebound by D. Hunter,81-58, ,,3,81,58,23,2005.0
2:20.0,D. Hunter makes 2-pt layup at rim,83-58, ,,3,83,58,25,2020.0
1:59.0, ,83-58,Turnover by B. Hyland (bad pass; steal by B. Fernando),,3,83,58,25,2041.0
1:55.0,T. Forrest makes 2-pt layup from 1 ft,85-58, ,,3,85,58,27,2045.0
1:32.0, ,85-58,Personal foul by T. Forrest (drawn by B. Hyland),,3,85,58,27,2068.0
1:32.0, ,85-59,B. Hyland makes free throw 1 of 2,,3,85,59,26,2068.0
1:32.0, ,85-60,B. Hyland makes free throw 2 of 2,,3,85,60,25,2068.0
1:17.0,Turnover by D. Hunter (out of bounds lost ball),85-60, ,,3,85,60,25,2083.0
1:05.0, ,85-60,Personal foul by D. Hunter (drawn by K. Leonard),,3,85,60,25,2095.0
1:05.0, ,85-61,K. Leonard makes free throw 1 of 2,,3,85,61,24,2095.0
1:05.0, ,85-62,K. Leonard makes free throw 2 of 2,,3,85,62,23,2095.0
0:47.0,B. Fernando misses 2-pt jump shot from 13 ft,85-62, ,,3,85,62,23,2113.0
0:44.0, ,85-62,Defensive rebound by M. Plumlee,,3,85,62,23,2116.0
0:28.0, ,85-62,Turnover by B. Hyland (bad pass; steal by J. Johnson),,3,85,62,23,2132.0
0:24.0,D. Hunter makes 2-pt layup from 2 ft (assist by J. Johnson),87-62, ,,3,87,62,25,2136.0
0:24.0,Shooting foul by P. Tucker (drawn by D. Hunter),87-62, ,,3,87,62,25,2136.0
0:24.0,Instant Replay (Request: Stands),87-62, ,,3,87,62,25,2136.0
0:24.0, ,87-62,P. George enters the game for M. Plumlee,,3,87,62,25,2136.0
0:24.0,D. Hunter makes free throw 1 of 1,88-62, ,,3,88,62,26,2136.0
0:24.0,W. Matthews enters the game for D. Hunter,88-62, ,,3,88,62,26,2136.0
0:00.0, ,88-62,A. Coffey misses 3-pt jump shot from 27 ft,,3,88,62,26,2160.0
0:00.0, ,88-62,Offensive rebound by Team,,3,88,62,26,2160.0
0:00.0,End of 3rd quarter,88-62,,,3,88,62,26,2160.0
12:00.0,Start of 4th quarter,88-62,,,4,88,62,26,2160.0
11:35.0, ,88-62,Turnover by Team (shot clock),,4,88,62,26,2185.0
11:19.0,D. Hunter makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),91-62, ,,4,91,62,29,2201.0
11:01.0, ,91-64,J. Harden makes 2-pt layup from 3 ft,,4,91,64,27,2219.0
11:01.0, ,91-64,Shooting foul by D. Hunter (drawn by J. Harden),,4,91,64,27,2219.0
11:01.0, ,91-65,J. Harden makes free throw 1 of 1,,4,91,65,26,2219.0
10:48.0,B. Bogdanović misses 3-pt jump shot from 26 ft,91-65, ,,4,91,65,26,2232.0
10:43.0, ,91-65,Defensive rebound by J. Harden,,4,91,65,26,2237.0
10:34.0, ,91-67,P. George makes 2-pt jump shot from 2 ft,,4,91,67,24,2246.0
10:05.0,T. Forrest misses 2-pt jump shot from 13 ft,91-67, ,,4,91,67,24,2275.0
10:03.0, ,91-67,Defensive rebound by A. Coffey,,4,91,67,24,2277.0
9:55.0, ,91-67,T. Mann misses 3-pt jump shot from 23 ft,,4,91,67,24,2285.0
9:54.0,Defensive rebound by B. Bogdanović,91-67, ,,4,91,67,24,2286.0
9:48.0,Turnover by B. Bogdanović (bad pass; steal by A. Coffey),91-67, ,,4,91,67,24,2292.0
9:44.0, ,91-67,Personal foul by B. Bogdanović (drawn by T. Mann),,4,91,67,24,2296.0
9:44.0,D. Murray enters the game for T. Forrest,91-67, ,,4,91,67,24,2296.0
9:27.0, ,91-67,P. George misses 2-pt jump shot from 21 ft,,4,91,67,24,2313.0
9:24.0,Defensive rebound by B. Fernando,91-67, ,,4,91,67,24,2316.0
9:04.0,Turnover by B. Bogdanović (bad pass; steal by J. Harden),91-67, ,,4,91,67,24,2336.0
9:02.0, ,91-67,Shooting foul by B. Bogdanović (drawn by T. Mann),,4,91,67,24,2338.0
9:02.0, ,91-68,T. Mann makes free throw 1 of 2,,4,91,68,23,2338.0
9:02.0,J. Johnson enters the game for D. Hunter,91-68, ,,4,91,68,23,2338.0
9:02.0, ,91-69,T. Mann makes free throw 2 of 2,,4,91,69,22,2338.0
8:41.0,B. Fernando misses 2-pt layup from 4 ft,91-69, ,,4,91,69,22,2359.0
8:39.0, ,91-69,Defensive rebound by P. George,,4,91,69,22,2361.0
8:34.0, ,91-69,Shooting foul by J. Johnson (drawn by P. George),,4,91,69,22,2366.0
8:34.0, ,91-70,P. George makes free throw 1 of 2,,4,91,70,21,2366.0
8:34.0, ,91-71,P. George makes free throw 2 of 2,,4,91,71,20,2366.0
8:34.0,V. Krejci enters the game for W. Matthews,91-71, ,,4,91,71,20,2366.0
8:16.0,D. Murray makes 3-pt jump shot from 27 ft,94-71, ,,4,94,71,23,2384.0
7:56.0, ,94-71,T. Mann misses 2-pt layup from 5 ft,,4,94,71,23,2404.0
7:52.0,Defensive rebound by B. Fernando,94-71, ,,4,94,71,23,2408.0
7:46.0,B. Fernando misses 2-pt layup from 2 ft (block by J. Harden),94-71, ,,4,94,71,23,2414.0
7:43.0,Offensive rebound by B. Fernando,94-71, ,,4,94,71,23,2417.0
7:41.0,Turnover by B. Fernando (bad pass; steal by P. Tucker),94-71, ,,4,94,71,23,2419.0
7:37.0, ,94-74,J. Harden makes 3-pt jump shot from 26 ft,,4,94,74,20,2423.0
7:37.0,Atlanta full timeout,94-74, ,,4,94,74,20,2423.0
7:37.0,C. Capela enters the game for B. Fernando,94-74, ,,4,94,74,20,2423.0
7:37.0, ,94-74,K. Leonard enters the game for T. Mann,,4,94,74,20,2423.0
7:15.0,J. Johnson misses 2-pt jump shot from 15 ft,94-74, ,,4,94,74,20,2445.0
7:11.0, ,94-74,Defensive rebound by A. Coffey,,4,94,74,20,2449.0
7:11.0, ,94-74,Turnover by A. Coffey (out of bounds lost ball),,4,94,74,20,2449.0
7:11.0,D. Hunter enters the game for B. Bogdanović,94-74, ,,4,94,74,20,2449.0
6:59.0,D. Hunter misses 3-pt jump shot from 27 ft,94-74, ,,4,94,74,20,2461.0
6:56.0, ,94-74,Defensive rebound by P. George,,4,94,74,20,2464.0
6:42.0, ,94-74,P. Tucker misses 2-pt layup from 4 ft (block by J. Johnson),,4,94,74,20,2478.0
6:38.0,Defensive rebound by C. Capela,94-74, ,,4,94,74,20,2482.0
6:25.0,J. Johnson makes 2-pt dunk from 2 ft (assist by V. Krejci),96-74, ,,4,96,74,22,2495.0
6:08.0, ,96-77,P. George makes 3-pt jump shot from 26 ft (assist by J. Harden),,4,96,77,19,2512.0
5:35.0,D. Hunter misses 3-pt jump shot from 32 ft,96-77, ,,4,96,77,19,2545.0
5:29.0,Offensive rebound by C. Capela,96-77, ,,4,96,77,19,2551.0
5:28.0,C. Capela makes 2-pt layup from 1 ft,98-77, ,,4,98,77,21,2552.0
5:09.0, ,98-77,P. George misses 3-pt jump shot from 25 ft,,4,98,77,21,2571.0
5:07.0, ,98-77,Offensive rebound by P. Tucker,,4,98,77,21,2573.0
5:03.0, ,98-80,J. Harden makes 3-pt jump shot from 23 ft (assist by K. Leonard),,4,98,80,18,2577.0
4:34.0,Turnover by D. Murray (lost ball; steal by K. Leonard),98-80, ,,4,98,80,18,2606.0
4:25.0, ,98-80,Personal foul by D. Murray (drawn by K. Leonard),,4,98,80,18,2615.0
4:25.0, ,98-81,K. Leonard makes free throw 1 of 2,,4,98,81,17,2615.0
4:25.0, ,98-82,K. Leonard makes free throw 2 of 2,,4,98,82,16,2615.0
4:10.0,Personal foul by A. Coffey (drawn by D. Murray),98-82, ,,4,98,82,16,2630.0
4:10.0, ,98-82,LA Clippers full timeout,,4,98,82,16,2630.0
4:10.0, ,98-82,Instant Replay (Challenge: Stands),,4,98,82,16,2630.0
4:01.0,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),100-82, ,,4,100,82,18,2639.0
3:43.0, ,100-84,P. George makes 2-pt layup from 4 ft (assist by J. Harden),,4,100,84,16,2657.0
3:23.0,D. Murray misses 3-pt jump shot from 25 ft,100-84, ,,4,100,84,16,2677.0
3:21.0, ,100-84,Defensive rebound by J. Harden,,4,100,84,16,2679.0
3:16.0, ,100-84,Personal foul by D. Hunter (drawn by K. Leonard),,4,100,84,16,2684.0
3:16.0, ,100-85,K. Leonard makes free throw 1 of 2,,4,100,85,15,2684.0
3:16.0, ,100-86,K. Leonard makes free throw 2 of 2,,4,100,86,14,2684.0
2:53.0,D. Murray misses 2-pt jump shot from 7 ft,100-86, ,,4,100,86,14,2707.0
2:51.0, ,100-86,Defensive rebound by P. George,,4,100,86,14,2709.0
2:37.0, ,100-86,A. Coffey misses 3-pt jump shot from 23 ft,,4,100,86,14,2723.0
2:34.0,Defensive rebound by C. Capela,100-86, ,,4,100,86,14,2726.0
2:30.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Murray),103-86, ,,4,103,86,17,2730.0
2:28.0, ,103-86,LA Clippers full timeout,,4,103,86,17,2732.0
2:28.0, ,103-86,B. Boston enters the game for A. Coffey,,4,103,86,17,2732.0
2:28.0, ,103-86,K. Brown enters the game for P. George,,4,103,86,17,2732.0
2:28.0, ,103-86,J. Miller enters the game for J. Harden,,4,103,86,17,2732.0
2:28.0, ,103-86,X. Moon enters the game for K. Leonard,,4,103,86,17,2732.0
2:28.0, ,103-86,M. Plumlee enters the game for P. Tucker,,4,103,86,17,2732.0
2:16.0, ,103-88,X. Moon makes 2-pt jump shot from 18 ft (assist by M. Plumlee),,4,103,88,15,2744.0
1:59.0,Shooting foul by X. Moon (drawn by D. Murray),103-88, ,,4,103,88,15,2761.0
1:59.0,D. Murray makes free throw 1 of 2,104-88, ,,4,104,88,16,2761.0
1:59.0,B. Fernando enters the game for C. Capela,104-88, ,,4,104,88,16,2761.0
1:59.0,G. Mathews enters the game for D. Hunter,104-88, ,,4,104,88,16,2761.0
1:59.0,W. Matthews enters the game for J. Johnson,104-88, ,,4,104,88,16,2761.0
1:59.0,D. Murray makes free throw 2 of 2,105-88, ,,4,105,88,17,2761.0
1:58.0, ,105-88,Personal take foul by D. Murray (drawn by X. Moon),,4,105,88,17,2762.0
1:58.0,T. Forrest enters the game for D. Murray,105-88, ,,4,105,88,17,2762.0
1:58.0, ,105-88,X. Moon misses free throw 1 of 2,,4,105,88,17,2762.0
1:58.0, ,105-88,Offensive rebound by Team,,4,105,88,17,2762.0
1:58.0, ,105-89,X. Moon makes free throw 2 of 2,,4,105,89,16,2762.0
1:41.0,Shooting foul by X. Moon (drawn by V. Krejci),105-89, ,,4,105,89,16,2779.0
1:41.0,V. Krejci makes free throw 1 of 3,106-89, ,,4,106,89,17,2779.0
1:41.0,V. Krejci makes free throw 2 of 3,107-89, ,,4,107,89,18,2779.0
1:41.0,V. Krejci makes free throw 3 of 3,108-89, ,,4,108,89,19,2779.0
1:28.0, ,108-89,M. Plumlee misses 2-pt hook shot from 4 ft,,4,108,89,19,2792.0
1:26.0,Defensive rebound by T. Forrest,108-89, ,,4,108,89,19,2794.0
1:10.0,G. Mathews misses 2-pt jump shot from 7 ft,108-89, ,,4,108,89,19,2810.0
1:07.0, ,108-89,Defensive rebound by M. Plumlee,,4,108,89,19,2813.0
1:01.0, ,108-89,B. Boston misses 2-pt jump shot from 14 ft,,4,108,89,19,2819.0
0:58.0, ,108-89,Offensive rebound by X. Moon,,4,108,89,19,2822.0
0:58.0, ,108-91,X. Moon makes 2-pt jump shot from 10 ft,,4,108,91,17,2822.0
0:37.0,V. Krejci makes 2-pt layup from 3 ft (assist by T. Forrest),110-91, ,,4,110,91,19,2843.0
0:21.0, ,110-93,M. Plumlee makes 2-pt dunk from 5 ft (assist by X. Moon),,4,110,93,17,2859.0
0:00.0,End of 4th quarter,110-93,,,4,110,93,17,2880.0
