Time,Cleveland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:00.0,D. Garland enters the game for C. LeVert,33-37, ,,2,37,33,4,960.0
8:00.0,I. Okoro enters the game for C. Porter,33-37, ,,2,37,33,4,960.0
8:00.0, ,33-37,S. Bey enters the game for B. Bogdanović,,2,37,33,4,960.0
8:00.0, ,33-37,G. Mathews enters the game for T. Forrest,,2,37,33,4,960.0
8:00.0, ,33-37,D. Murray enters the game for J. Johnson,,2,37,33,4,960.0
8:00.0,D. Wade misses free throw 2 of 2,33-37, ,,2,37,33,4,960.0
7:58.0, ,33-37,Defensive rebound by B. Fernando,,2,37,33,4,962.0
7:47.0, ,33-39,D. Hunter makes 2-pt dunk from 1 ft (assist by B. Fernando),,2,39,33,6,973.0
7:21.0,D. Garland misses 3-pt jump shot from 26 ft,33-39, ,,2,39,33,6,999.0
7:15.0, ,33-39,Defensive rebound by D. Hunter,,2,39,33,6,1005.0
7:03.0, ,33-39,Personal foul by D. Garland (drawn by B. Fernando),,2,39,33,6,1017.0
7:03.0,G. Niang enters the game for D. Wade,33-39, ,,2,39,33,6,1017.0
7:03.0, ,33-39,Atlanta full timeout,,2,39,33,6,1017.0
6:58.0, ,33-41,D. Hunter makes 2-pt jump shot from 9 ft,,2,41,33,8,1022.0
6:58.0, ,33-41,Shooting foul by I. Okoro (drawn by D. Hunter),,2,41,33,8,1022.0
6:58.0, ,33-42,D. Hunter makes free throw 1 of 1,,2,42,33,9,1022.0
6:51.0,Offensive foul by G. Niang (drawn by D. Murray),33-42, ,,2,42,33,9,1029.0
6:51.0,Turnover by G. Niang (offensive foul),33-42, ,,2,42,33,9,1029.0
6:43.0,Technical foul by ,33-42, ,,2,42,33,9,1037.0
6:43.0, ,33-43,D. Hunter makes technical free throw,,2,43,33,10,1037.0
6:34.0, ,33-45,B. Fernando makes 2-pt dunk from 1 ft (assist by D. Murray),,2,45,33,12,1046.0
6:14.0,G. Niang misses 2-pt hook shot from 6 ft,33-45, ,,2,45,33,12,1066.0
6:11.0, ,33-45,Defensive rebound by B. Fernando,,2,45,33,12,1069.0
6:07.0, ,33-47,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),,2,47,33,14,1073.0
5:56.0,Shooting foul by B. Fernando (drawn by D. Garland),33-47, ,,2,47,33,14,1084.0
5:56.0,D. Garland makes free throw 1 of 2,34-47, ,,2,47,34,13,1084.0
5:56.0,C. LeVert enters the game for S. Merrill,34-47, ,,2,47,34,13,1084.0
5:56.0, ,34-47,C. Capela enters the game for B. Fernando,,2,47,34,13,1084.0
5:56.0, ,34-47,J. Johnson enters the game for D. Hunter,,2,47,34,13,1084.0
5:56.0,D. Garland makes free throw 2 of 2,35-47, ,,2,47,35,12,1084.0
5:38.0, ,35-47,D. Murray misses 3-pt jump shot from 23 ft,,2,47,35,12,1102.0
5:35.0,Defensive rebound by J. Allen,35-47, ,,2,47,35,12,1105.0
5:31.0,G. Niang misses 3-pt jump shot from 25 ft,35-47, ,,2,47,35,12,1109.0
5:28.0, ,35-47,Defensive rebound by S. Bey,,2,47,35,12,1112.0
5:20.0, ,35-50,S. Bey makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,50,35,15,1120.0
5:08.0,Turnover by  (5 sec),35-50, ,,2,50,35,15,1132.0
4:54.0, ,35-52,D. Murray makes 2-pt jump shot from 8 ft,,2,52,35,17,1146.0
4:54.0, ,35-52,Shooting foul by I. Okoro (drawn by D. Murray),,2,52,35,17,1146.0
4:54.0, ,35-53,D. Murray makes free throw 1 of 1,,2,53,35,18,1146.0
4:37.0,D. Garland misses 2-pt jump shot from 3 ft,35-53, ,,2,53,35,18,1163.0
4:33.0,Offensive rebound by J. Allen,35-53, ,,2,53,35,18,1167.0
4:33.0,J. Allen makes 2-pt layup at rim,37-53, ,,2,53,37,16,1167.0
4:27.0, ,37-55,J. Johnson makes 2-pt layup from 2 ft (assist by D. Murray),,2,55,37,18,1173.0
4:14.0,C. LeVert makes 2-pt jump shot from 12 ft,39-55, ,,2,55,39,16,1186.0
4:03.0, ,39-55,Turnover by D. Murray (lost ball; steal by G. Niang),,2,55,39,16,1197.0
3:59.0,C. LeVert makes 2-pt layup from 1 ft (assist by G. Niang),41-55, ,,2,55,41,14,1201.0
3:42.0, ,41-57,S. Bey makes 2-pt layup from 2 ft,,2,57,41,16,1218.0
3:31.0,J. Allen misses 2-pt layup from 2 ft,41-57, ,,2,57,41,16,1229.0
3:27.0,Offensive rebound by C. LeVert,41-57, ,,2,57,41,16,1233.0
3:26.0,G. Niang makes 3-pt jump shot from 25 ft (assist by C. LeVert),44-57, ,,2,57,44,13,1234.0
3:12.0, ,44-57,J. Johnson misses 3-pt jump shot from 25 ft,,2,57,44,13,1248.0
3:10.0, ,44-57,Offensive rebound by G. Mathews,,2,57,44,13,1250.0
3:10.0, ,44-57,Shooting foul by D. Garland (drawn by S. Bey),,2,57,44,13,1250.0
3:10.0, ,44-58,S. Bey makes free throw 1 of 2,,2,58,44,14,1250.0
3:10.0, ,44-58,B. Bogdanović enters the game for G. Mathews,,2,58,44,14,1250.0
3:10.0, ,44-58,S. Bey misses free throw 2 of 2,,2,58,44,14,1250.0
3:08.0,Defensive rebound by G. Niang,44-58, ,,2,58,44,14,1252.0
2:57.0,C. LeVert misses 3-pt jump shot from 25 ft,44-58, ,,2,58,44,14,1263.0
2:53.0,Offensive rebound by J. Allen,44-58, ,,2,58,44,14,1267.0
2:50.0,C. LeVert misses 2-pt layup from 2 ft,44-58, ,,2,58,44,14,1270.0
2:49.0,Offensive rebound by Team,44-58, ,,2,58,44,14,1271.0
2:49.0,Personal foul by C. Capela (drawn by C. LeVert),44-58, ,,2,58,44,14,1271.0
2:49.0,Cleveland full timeout,44-58, ,,2,58,44,14,1271.0
2:43.0,D. Garland misses 3-pt jump shot from 25 ft,44-58, ,,2,58,44,14,1277.0
2:40.0, ,44-58,Defensive rebound by C. Capela,,2,58,44,14,1280.0
2:27.0, ,44-60,S. Bey makes 2-pt layup from 1 ft,,2,60,44,16,1293.0
2:14.0,C. LeVert misses 2-pt layup from 1 ft (block by S. Bey),44-60, ,,2,60,44,16,1306.0
2:13.0,Offensive rebound by Team,44-60, ,,2,60,44,16,1307.0
2:13.0,D. Wade enters the game for G. Niang,44-60, ,,2,60,44,16,1307.0
1:58.0,D. Garland makes 2-pt jump shot from 12 ft (assist by C. LeVert),46-60, ,,2,60,46,14,1322.0
1:43.0, ,46-62,C. Capela makes 2-pt layup from 2 ft,,2,62,46,16,1337.0
1:33.0,D. Garland makes 3-pt jump shot from 23 ft (assist by I. Okoro),49-62, ,,2,62,49,13,1347.0
1:16.0, ,49-62,B. Bogdanović misses 3-pt jump shot from 28 ft,,2,62,49,13,1364.0
1:13.0,Defensive rebound by Team,49-62, ,,2,62,49,13,1367.0
1:05.0,Turnover by D. Garland (bad pass; steal by D. Murray),49-62, ,,2,62,49,13,1375.0
1:00.0, ,49-62,Personal foul by D. Garland (drawn by D. Murray),,2,62,49,13,1380.0
1:00.0, ,49-63,D. Murray makes free throw 1 of 2,,2,63,49,14,1380.0
1:00.0,S. Merrill enters the game for D. Garland,49-63, ,,2,63,49,14,1380.0
1:00.0, ,49-64,D. Murray makes free throw 2 of 2,,2,64,49,15,1380.0
0:47.0,I. Okoro misses 3-pt jump shot from 23 ft,49-64, ,,2,64,49,15,1393.0
0:44.0, ,49-64,Defensive rebound by J. Johnson,,2,64,49,15,1396.0
0:40.0, ,49-64,Offensive foul by J. Johnson (drawn by S. Merrill),,2,64,49,15,1400.0
0:40.0, ,49-64,Turnover by J. Johnson (offensive foul),,2,64,49,15,1400.0
0:29.0,S. Merrill misses 3-pt jump shot from 24 ft,49-64, ,,2,64,49,15,1411.0
0:27.0, ,49-64,Defensive rebound by D. Murray,,2,64,49,15,1413.0
0:07.0, ,49-64,D. Murray misses 3-pt jump shot from 26 ft,,2,64,49,15,1433.0
0:03.0,Defensive rebound by C. LeVert,49-64, ,,2,64,49,15,1437.0
0:00.0,D. Wade misses 3-pt jump shot from 25 ft,49-64, ,,2,64,49,15,1440.0
0:00.0,Offensive rebound by Team,49-64, ,,2,64,49,15,1440.0
0:00.0,End of 2nd quarter,49-64,,,2,64,49,15,1440.0
12:00.0,Start of 3rd quarter,49-64,,,3,64,49,15,1440.0
11:40.0, ,49-64,B. Bogdanović misses 2-pt jump shot from 20 ft,,3,64,49,15,1460.0
