Time,Atlanta,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:41.0,Shooting foul by C. Kispert (drawn by S. Bey),45-36, ,,2,45,36,9,919.0
8:41.0,S. Bey misses free throw 1 of 2,45-36, ,,2,45,36,9,919.0
8:41.0,Offensive rebound by Team,45-36, ,,2,45,36,9,919.0
8:41.0,S. Bey makes free throw 2 of 2,46-36, ,,2,46,36,10,919.0
8:25.0, ,46-36,Shooting foul by O. Okongwu (drawn by K. Kuzma),,2,46,36,10,935.0
8:25.0, ,46-37,K. Kuzma makes free throw 1 of 2,,2,46,37,9,935.0
8:25.0, ,46-38,K. Kuzma makes free throw 2 of 2,,2,46,38,8,935.0
8:12.0,B. Bogdanović makes 2-pt layup from 5 ft (assist by T. Young),48-38, ,,2,48,38,10,948.0
7:55.0, ,48-38,Turnover by K. Kuzma (bad pass; steal by S. Bey),,2,48,38,10,965.0
7:53.0,S. Bey makes 2-pt dunk from 2 ft,50-38, ,,2,50,38,12,967.0
7:52.0, ,50-38,Washington full timeout,,2,50,38,12,968.0
7:52.0,W. Matthews enters the game for S. Bey,50-38, ,,2,50,38,12,968.0
7:52.0,D. Murray enters the game for T. Young,50-38, ,,2,50,38,12,968.0
7:34.0, ,50-38,Turnover by M. Muscala (lost ball; steal by B. Bogdanović),,2,50,38,12,986.0
7:29.0,W. Matthews misses 3-pt jump shot from 23 ft,50-38, ,,2,50,38,12,991.0
7:25.0, ,50-38,Defensive rebound by K. Kuzma,,2,50,38,12,995.0
7:18.0, ,50-38,K. Kuzma misses 2-pt layup from 2 ft,,2,50,38,12,1002.0
7:16.0,Defensive rebound by B. Bogdanović,50-38, ,,2,50,38,12,1004.0
7:13.0,Turnover by B. Bogdanović (lost ball; steal by B. Coulibaly),50-38, ,,2,50,38,12,1007.0
7:08.0, ,50-38,C. Kispert misses 3-pt jump shot from 26 ft,,2,50,38,12,1012.0
7:02.0, ,50-38,Offensive rebound by K. Kuzma,,2,50,38,12,1018.0
7:01.0, ,50-41,K. Kuzma makes 3-pt jump shot from 27 ft,,2,50,41,9,1019.0
6:41.0,O. Okongwu misses 2-pt hook shot from 7 ft,50-41, ,,2,50,41,9,1039.0
6:41.0, ,50-41,Defensive rebound by M. Muscala,,2,50,41,9,1039.0
6:25.0, ,50-43,C. Kispert makes 2-pt layup from 4 ft (assist by M. Muscala),,2,50,43,7,1055.0
6:07.0,D. Murray misses 2-pt jump shot from 9 ft,50-43, ,,2,50,43,7,1073.0
6:04.0, ,50-43,Defensive rebound by M. Muscala,,2,50,43,7,1076.0
5:54.0, ,50-46,C. Kispert makes 3-pt jump shot from 23 ft (assist by T. Jones),,2,50,46,4,1086.0
5:53.0,Atlanta full timeout,50-46, ,,2,50,46,4,1087.0
5:53.0,S. Bey enters the game for B. Bogdanović,50-46, ,,2,50,46,4,1087.0
5:53.0,C. Capela enters the game for W. Matthews,50-46, ,,2,50,46,4,1087.0
5:53.0,T. Young enters the game for O. Okongwu,50-46, ,,2,50,46,4,1087.0
5:53.0, ,50-46,D. Gafford enters the game for M. Muscala,,2,50,46,4,1087.0
5:40.0,T. Young makes 3-pt jump shot from 27 ft,53-46, ,,2,53,46,7,1100.0
5:17.0, ,53-48,D. Gafford makes 2-pt jump shot from 8 ft (assist by C. Kispert),,2,53,48,5,1123.0
5:02.0,S. Bey misses 3-pt jump shot from 23 ft,53-48, ,,2,53,48,5,1138.0
4:58.0,Offensive rebound by S. Bey,53-48, ,,2,53,48,5,1142.0
4:57.0,S. Bey makes 2-pt dunk from 2 ft,55-48, ,,2,55,48,7,1143.0
4:43.0, ,55-50,D. Gafford makes 2-pt dunk from 1 ft (assist by K. Kuzma),,2,55,50,5,1157.0
4:26.0,T. Young misses 2-pt jump shot from 12 ft,55-50, ,,2,55,50,5,1174.0
4:25.0, ,55-50,Defensive rebound by D. Gafford,,2,55,50,5,1175.0
4:10.0, ,55-50,B. Coulibaly misses 2-pt jump shot from 5 ft,,2,55,50,5,1190.0
4:08.0, ,55-50,Offensive rebound by Team,,2,55,50,5,1192.0
4:03.0, ,55-52,D. Gafford makes 2-pt hook shot from 5 ft (assist by K. Kuzma),,2,55,52,3,1197.0
3:41.0,D. Murray misses 2-pt dunk from 2 ft (block by D. Gafford),55-52, ,,2,55,52,3,1219.0
3:36.0, ,55-52,Defensive rebound by B. Coulibaly,,2,55,52,3,1224.0
3:32.0, ,55-52,Turnover by B. Coulibaly (bad pass),,2,55,52,3,1228.0
3:28.0,S. Bey makes 2-pt layup from 3 ft (assist by T. Young),57-52, ,,2,57,52,5,1232.0
3:14.0, ,57-52,C. Kispert misses 3-pt jump shot from 23 ft,,2,57,52,5,1246.0
3:11.0,Defensive rebound by C. Capela,57-52, ,,2,57,52,5,1249.0
3:04.0,T. Young misses 2-pt jump shot from 8 ft,57-52, ,,2,57,52,5,1256.0
3:03.0,Offensive rebound by C. Capela,57-52, ,,2,57,52,5,1257.0
3:03.0,C. Capela misses 2-pt layup from 1 ft,57-52, ,,2,57,52,5,1257.0
3:02.0, ,57-52,Defensive rebound by B. Coulibaly,,2,57,52,5,1258.0
2:53.0, ,57-54,T. Jones makes 2-pt jump shot from 12 ft (assist by K. Kuzma),,2,57,54,3,1267.0
2:38.0,D. Hunter makes 3-pt jump shot from 27 ft,60-54, ,,2,60,54,6,1282.0
2:23.0, ,60-56,D. Gafford makes 2-pt layup from 2 ft (assist by B. Coulibaly),,2,60,56,4,1297.0
2:03.0,T. Young misses 2-pt jump shot from 10 ft,60-56, ,,2,60,56,4,1317.0
2:00.0, ,60-56,Defensive rebound by K. Kuzma,,2,60,56,4,1320.0
1:54.0, ,60-56,Turnover by K. Kuzma (out of bounds lost ball),,2,60,56,4,1326.0
1:47.0,D. Hunter misses 3-pt jump shot from 25 ft,60-56, ,,2,60,56,4,1333.0
1:44.0, ,60-56,Defensive rebound by T. Jones,,2,60,56,4,1336.0
1:23.0, ,60-56,Turnover by B. Coulibaly (bad pass; steal by D. Hunter),,2,60,56,4,1357.0
1:16.0,C. Capela makes 2-pt dunk from 1 ft (assist by S. Bey),62-56, ,,2,62,56,6,1364.0
1:03.0, ,62-56,K. Kuzma misses 3-pt jump shot from 26 ft,,2,62,56,6,1377.0
1:00.0,Defensive rebound by D. Murray,62-56, ,,2,62,56,6,1380.0
0:50.0,C. Capela misses 2-pt layup from 4 ft,62-56, ,,2,62,56,6,1390.0
0:48.0,Offensive rebound by C. Capela,62-56, ,,2,62,56,6,1392.0
0:48.0,C. Capela misses 2-pt layup at rim,62-56, ,,2,62,56,6,1392.0
0:47.0,Offensive rebound by C. Capela,62-56, ,,2,62,56,6,1393.0
0:47.0,C. Capela misses 2-pt layup from 5 ft,62-56, ,,2,62,56,6,1393.0
0:44.0,C. Capela makes 2-pt layup from 3 ft,64-56, ,,2,64,56,8,1396.0
0:36.0, ,64-58,T. Jones makes 2-pt jump shot from 9 ft,,2,64,58,6,1404.0
0:31.0,T. Young makes 3-pt jump shot from 29 ft,67-58, ,,2,67,58,9,1409.0
0:13.0, ,67-58,Offensive foul by T. Jones (drawn by D. Hunter),,2,67,58,9,1427.0
0:13.0, ,67-58,Turnover by T. Jones (offensive foul),,2,67,58,9,1427.0
0:13.0, ,67-58,D. Avdija enters the game for D. Gafford,,2,67,58,9,1427.0
0:13.0, ,67-58,J. Davis enters the game for T. Jones,,2,67,58,9,1427.0
0:02.0,D. Hunter makes 3-pt jump shot from 24 ft (assist by T. Young),70-58, ,,2,70,58,12,1438.0
0:00.0, ,70-58,J. Davis misses 3-pt jump shot from 55 ft,,2,70,58,12,1440.0
0:00.0, ,70-58,Offensive rebound by Team,,2,70,58,12,1440.0
0:00.0,End of 2nd quarter,70-58,,,2,70,58,12,1440.0
12:00.0,Start of 3rd quarter,70-58,,,3,70,58,12,1440.0
11:34.0, ,70-58,C. Kispert misses 3-pt jump shot from 27 ft,,3,70,58,12,1466.0
11:31.0,Defensive rebound by S. Bey,70-58, ,,3,70,58,12,1469.0
11:23.0,C. Capela misses 2-pt layup from 3 ft,70-58, ,,3,70,58,12,1477.0
11:17.0,Offensive rebound by C. Capela,70-58, ,,3,70,58,12,1483.0
11:17.0,C. Capela makes 2-pt layup at rim,72-58, ,,3,72,58,14,1483.0
11:02.0, ,72-58,C. Kispert misses 2-pt jump shot from 10 ft,,3,72,58,14,1498.0
11:00.0,Defensive rebound by D. Murray,72-58, ,,3,72,58,14,1500.0
10:52.0,D. Hunter misses 2-pt jump shot from 15 ft,72-58, ,,3,72,58,14,1508.0
10:48.0, ,72-58,Defensive rebound by D. Avdija,,3,72,58,14,1512.0
10:46.0, ,72-60,D. Avdija makes 2-pt dunk from 2 ft,,3,72,60,12,1514.0
10:46.0, ,72-60,Shooting foul by D. Hunter (drawn by D. Avdija),,3,72,60,12,1514.0
10:46.0, ,72-61,D. Avdija makes free throw 1 of 1,,3,72,61,11,1514.0
10:33.0,T. Young misses 2-pt layup from 7 ft,72-61, ,,3,72,61,11,1527.0
10:31.0, ,72-61,Defensive rebound by D. Avdija,,3,72,61,11,1529.0
10:22.0, ,72-61,D. Gafford misses 2-pt layup from 5 ft,,3,72,61,11,1538.0
10:19.0,Defensive rebound by C. Capela,72-61, ,,3,72,61,11,1541.0
10:14.0,S. Bey makes 2-pt dunk from 2 ft (assist by T. Young),74-61, ,,3,74,61,13,1546.0
9:57.0, ,74-61,C. Kispert misses 3-pt jump shot from 29 ft,,3,74,61,13,1563.0
9:54.0,Defensive rebound by D. Murray,74-61, ,,3,74,61,13,1566.0
9:52.0,T. Young makes 2-pt layup from 3 ft (assist by D. Murray),76-61, ,,3,76,61,15,1568.0
9:31.0, ,76-61,Turnover by D. Avdija (bad pass; steal by D. Murray),,3,76,61,15,1589.0
9:26.0,Shooting foul by C. Kispert (drawn by C. Capela),76-61, ,,3,76,61,15,1594.0
9:26.0, ,76-61,Washington full timeout,,3,76,61,15,1594.0
9:26.0,C. Capela misses free throw 1 of 2,76-61, ,,3,76,61,15,1594.0
9:26.0,Offensive rebound by Team,76-61, ,,3,76,61,15,1594.0
9:26.0,C. Capela misses free throw 2 of 2,76-61, ,,3,76,61,15,1594.0
9:23.0, ,76-61,Defensive rebound by D. Avdija,,3,76,61,15,1597.0
9:12.0, ,76-61,Turnover by D. Avdija (lost ball; steal by D. Murray),,3,76,61,15,1608.0
9:07.0,D. Murray misses 2-pt dunk from 2 ft,76-61, ,,3,76,61,15,1613.0
9:07.0,Offensive rebound by Team,76-61, ,,3,76,61,15,1613.0
8:53.0,T. Young makes 2-pt jump shot from 22 ft,78-61, ,,3,78,61,17,1627.0
8:46.0, ,78-61,K. Kuzma misses 3-pt jump shot from 27 ft,,3,78,61,17,1634.0
8:43.0,Defensive rebound by D. Murray,78-61, ,,3,78,61,17,1637.0
8:32.0,C. Capela misses 2-pt hook shot from 6 ft,78-61, ,,3,78,61,17,1648.0
8:31.0, ,78-61,Defensive rebound by Team,,3,78,61,17,1649.0
8:31.0,Loose ball foul by C. Capela (drawn by D. Gafford),78-61, ,,3,78,61,17,1649.0
8:18.0, ,78-61,D. Avdija misses 3-pt jump shot from 26 ft,,3,78,61,17,1662.0
8:15.0,Defensive rebound by D. Hunter,78-61, ,,3,78,61,17,1665.0
8:05.0,T. Young misses 2-pt layup from 5 ft,78-61, ,,3,78,61,17,1675.0
8:01.0,Offensive rebound by C. Capela,78-61, ,,3,78,61,17,1679.0
8:01.0,C. Capela makes 2-pt layup at rim,80-61, ,,3,80,61,19,1679.0
7:52.0, ,80-61,K. Kuzma misses 2-pt jump shot from 17 ft,,3,80,61,19,1688.0
7:49.0,Defensive rebound by C. Capela,80-61, ,,3,80,61,19,1691.0
7:34.0,C. Capela misses 2-pt layup from 4 ft,80-61, ,,3,80,61,19,1706.0
7:32.0, ,80-61,Defensive rebound by D. Gafford,,3,80,61,19,1708.0
7:32.0, ,80-61,Personal foul by C. Capela (drawn by D. Gafford),,3,80,61,19,1708.0
7:32.0, ,80-61,L. Shamet enters the game for D. Avdija,,3,80,61,19,1708.0
7:20.0, ,80-61,C. Kispert misses 3-pt jump shot from 23 ft,,3,80,61,19,1720.0
7:19.0, ,80-61,Offensive rebound by D. Gafford,,3,80,61,19,1721.0
7:19.0, ,80-61,D. Gafford misses 2-pt layup at rim,,3,80,61,19,1721.0
7:18.0, ,80-61,Offensive rebound by K. Kuzma,,3,80,61,19,1722.0
7:17.0, ,80-63,K. Kuzma makes 2-pt dunk from 3 ft,,3,80,63,17,1723.0
7:02.0,S. Bey makes 2-pt layup from 2 ft (assist by D. Murray),82-63, ,,3,82,63,19,1738.0
6:53.0, ,82-63,C. Kispert misses 3-pt jump shot from 30 ft,,3,82,63,19,1747.0
6:47.0,Defensive rebound by C. Capela,82-63, ,,3,82,63,19,1753.0
6:37.0,S. Bey makes 2-pt layup from 3 ft (assist by D. Murray),84-63, ,,3,84,63,21,1763.0
6:16.0, ,84-65,L. Shamet makes 2-pt jump shot from 16 ft (assist by K. Kuzma),,3,84,65,19,1784.0
6:01.0,D. Murray makes 3-pt jump shot from 27 ft (assist by C. Capela),87-65, ,,3,87,65,22,1799.0
5:45.0, ,87-67,L. Shamet makes 2-pt jump shot from 9 ft (assist by K. Kuzma),,3,87,67,20,1815.0
5:31.0,D. Hunter misses 2-pt layup from 2 ft,87-67, ,,3,87,67,20,1829.0
5:30.0,Offensive rebound by Team,87-67, ,,3,87,67,20,1830.0
5:30.0,B. Bogdanović enters the game for S. Bey,87-67, ,,3,87,67,20,1830.0
5:30.0,W. Matthews enters the game for C. Capela,87-67, ,,3,87,67,20,1830.0
5:30.0,O. Okongwu enters the game for T. Young,87-67, ,,3,87,67,20,1830.0
5:30.0, ,87-67,A. Gill enters the game for D. Gafford,,3,87,67,20,1830.0
5:30.0, ,87-67,M. Muscala enters the game for K. Kuzma,,3,87,67,20,1830.0
5:26.0,D. Murray misses 3-pt jump shot from 25 ft,87-67, ,,3,87,67,20,1834.0
5:23.0, ,87-67,Defensive rebound by A. Gill,,3,87,67,20,1837.0
5:19.0, ,87-67,T. Jones misses 2-pt jump shot from 7 ft,,3,87,67,20,1841.0
5:16.0, ,87-67,Offensive rebound by T. Jones,,3,87,67,20,1844.0
5:14.0, ,87-67,Turnover by T. Jones (bad pass; steal by O. Okongwu),,3,87,67,20,1846.0
5:06.0,D. Murray misses 3-pt jump shot from 24 ft,87-67, ,,3,87,67,20,1854.0
5:01.0,Offensive rebound by D. Hunter,87-67, ,,3,87,67,20,1859.0
4:57.0,B. Bogdanović makes 2-pt layup at rim (assist by W. Matthews),89-67, ,,3,89,67,22,1863.0
4:38.0, ,89-67,Personal foul by B. Bogdanović (drawn by M. Muscala),,3,89,67,22,1882.0
4:33.0, ,89-67,L. Shamet misses 3-pt jump shot from 27 ft,,3,89,67,22,1887.0
