Time,Detroit,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:22.0, ,7-15,V. Krejci misses 3-pt jump shot from 25 ft,,1,15,7,8,398.0
5:18.0,Defensive rebound by J. Ivey,7-15, ,,1,15,7,8,402.0
5:09.0,J. Duren makes 2-pt layup from 3 ft,9-15, ,,1,15,9,6,411.0
4:50.0, ,9-17,D. Hunter makes 2-pt jump shot from 13 ft,,1,17,9,8,430.0
4:41.0,J. Ivey misses 2-pt layup from 2 ft,9-17, ,,1,17,9,8,439.0
4:38.0, ,9-17,Defensive rebound by D. Murray,,1,17,9,8,442.0
4:31.0, ,9-17,D. Murray misses 3-pt jump shot from 24 ft,,1,17,9,8,449.0
4:26.0,Defensive rebound by T. Brown,9-17, ,,1,17,9,8,454.0
4:25.0,C. Metu makes 2-pt jump shot from 11 ft (assist by T. Brown),11-17, ,,1,17,11,6,455.0
4:25.0,Shooting foul by D. Hunter (drawn by C. Metu),11-17, ,,1,17,11,6,455.0
4:25.0,E. Fournier enters the game for J. Ivey,11-17, ,,1,17,11,6,455.0
4:25.0,C. Metu makes free throw 1 of 1,12-17, ,,1,17,12,5,455.0
4:14.0, ,12-19,D. Murray makes 2-pt layup from 2 ft,,1,19,12,7,466.0
4:03.0,J. Duren makes 2-pt layup from 7 ft,14-19, ,,1,19,14,5,477.0
4:03.0,Shooting foul by B. Fernando (drawn by J. Duren),14-19, ,,1,19,14,5,477.0
4:03.0,J. Duren makes free throw 1 of 1,15-19, ,,1,19,15,4,477.0
3:48.0, ,15-21,V. Krejci makes 2-pt jump shot from 12 ft (assist by D. Hunter),,1,21,15,6,492.0
3:24.0,Shooting foul by B. Fernando (drawn by M. Flynn),15-21, ,,1,21,15,6,516.0
3:24.0,M. Flynn makes free throw 1 of 2,16-21, ,,1,21,16,5,516.0
3:24.0,J. Wiseman enters the game for J. Duren,16-21, ,,1,21,16,5,516.0
3:24.0,M. Flynn makes free throw 2 of 2,17-21, ,,1,21,17,4,516.0
3:06.0, ,17-23,D. Murray makes 2-pt jump shot from 19 ft,,1,23,17,6,534.0
2:54.0,M. Flynn makes 2-pt layup from 1 ft (assist by J. Wiseman),19-23, ,,1,23,19,4,546.0
2:54.0, ,19-23,Atlanta full timeout,,1,23,19,4,546.0
2:54.0, ,19-23,B. Bogdanović enters the game for D. Hunter,,1,23,19,4,546.0
2:54.0, ,19-23,K. Bufkin enters the game for G. Mathews,,1,23,19,4,546.0
2:54.0, ,19-23,J. Johnson enters the game for D. Murray,,1,23,19,4,546.0
2:39.0, ,19-23,K. Bufkin misses 3-pt jump shot from 23 ft,,1,23,19,4,561.0
2:35.0,Defensive rebound by M. Flynn,19-23, ,,1,23,19,4,565.0
2:21.0,M. Flynn makes 2-pt jump shot from 19 ft (assist by J. Wiseman),21-23, ,,1,23,21,2,579.0
1:58.0, ,21-23,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,23,21,2,602.0
1:56.0,Defensive rebound by T. Brown,21-23, ,,1,23,21,2,604.0
1:48.0,Personal foul by B. Fernando (drawn by M. Flynn),21-23, ,,1,23,21,2,612.0
1:48.0,M. Flynn makes free throw 1 of 2,22-23, ,,1,23,22,1,612.0
1:48.0, ,22-23,C. Capela enters the game for B. Fernando,,1,23,22,1,612.0
1:48.0,M. Flynn makes free throw 2 of 2,23-23, ,Tie,1,23,23,0,612.0
1:28.0, ,23-23,Shooting foul by J. Wiseman (drawn by J. Johnson),,1,23,23,0,632.0
1:28.0, ,23-24,J. Johnson makes free throw 1 of 2,,1,24,23,1,632.0
1:28.0, ,23-25,J. Johnson makes free throw 2 of 2,,1,25,23,2,632.0
1:14.0,Turnover by M. Flynn (bad pass; steal by J. Johnson),23-25, ,,1,25,23,2,646.0
1:07.0, ,23-28,K. Bufkin makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,1,28,23,5,653.0
0:54.0,E. Fournier misses 2-pt jump shot from 19 ft,23-28, ,,1,28,23,5,666.0
0:52.0, ,23-28,Defensive rebound by B. Bogdanović,,1,28,23,5,668.0
0:43.0, ,23-28,Turnover by C. Capela (lost ball; steal by M. Flynn),,1,28,23,5,677.0
0:38.0,M. Flynn misses 3-pt jump shot from 26 ft,23-28, ,,1,28,23,5,682.0
0:35.0, ,23-28,Defensive rebound by C. Capela,,1,28,23,5,685.0
0:25.0, ,23-28,K. Bufkin misses 3-pt jump shot from 26 ft,,1,28,23,5,695.0
0:21.0,Defensive rebound by M. Flynn,23-28, ,,1,28,23,5,699.0
0:03.0,J. Wiseman misses 2-pt layup from 1 ft (block by K. Bufkin),23-28, ,,1,28,23,5,717.0
0:02.0,Offensive rebound by Team,23-28, ,,1,28,23,5,718.0
0:01.0,E. Fournier misses 3-pt jump shot from 22 ft,23-28, ,,1,28,23,5,719.0
0:00.0,Offensive rebound by Team,23-28, ,,1,28,23,5,720.0
0:00.0,End of 1st quarter,23-28,,,1,28,23,5,720.0
12:00.0,Start of 2nd quarter,23-28,,,2,28,23,5,720.0
11:48.0,E. Fournier misses 2-pt jump shot from 8 ft,23-28, ,,2,28,23,5,732.0
11:45.0, ,23-28,Defensive rebound by C. Capela,,2,28,23,5,735.0
11:36.0, ,23-28,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,28,23,5,744.0
11:33.0,Defensive rebound by E. Fournier,23-28, ,,2,28,23,5,747.0
11:24.0,T. Brown makes 2-pt jump shot from 21 ft,25-28, ,,2,28,25,3,756.0
10:58.0, ,25-28,C. Capela misses 2-pt layup from 6 ft (block by J. Wiseman),,2,28,25,3,782.0
10:57.0, ,25-28,Offensive rebound by Team,,2,28,25,3,783.0
10:57.0,J. Ivey enters the game for T. Brown,25-28, ,,2,28,25,3,783.0
10:55.0, ,25-28,J. Johnson misses 3-pt jump shot from 26 ft,,2,28,25,3,785.0
10:52.0,Defensive rebound by J. Wiseman,25-28, ,,2,28,25,3,788.0
10:43.0,Shooting foul by G. Mathews (drawn by M. Flynn),25-28, ,,2,28,25,3,797.0
10:43.0,M. Flynn misses free throw 1 of 2,25-28, ,,2,28,25,3,797.0
10:43.0,Offensive rebound by Team,25-28, ,,2,28,25,3,797.0
10:43.0,M. Flynn makes free throw 2 of 2,26-28, ,,2,28,26,2,797.0
10:20.0, ,26-28,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,28,26,2,820.0
10:16.0,Defensive rebound by J. Ivey,26-28, ,,2,28,26,2,824.0
10:13.0,J. Ivey misses 2-pt layup from 2 ft (block by J. Johnson),26-28, ,,2,28,26,2,827.0
10:09.0, ,26-28,Defensive rebound by C. Capela,,2,28,26,2,831.0
10:05.0, ,26-30,K. Bufkin makes 2-pt layup from 2 ft,,2,30,26,4,835.0
9:51.0,M. Flynn makes 2-pt jump shot from 21 ft,28-30, ,,2,30,28,2,849.0
9:28.0, ,28-32,K. Bufkin makes 2-pt jump shot from 18 ft (assist by J. Johnson),,2,32,28,4,872.0
9:12.0,Turnover by M. Flynn (bad pass; steal by K. Bufkin),28-32, ,,2,32,28,4,888.0
9:06.0, ,28-32,C. Capela misses 2-pt layup from 1 ft,,2,32,28,4,894.0
9:02.0,Defensive rebound by J. Wiseman,28-32, ,,2,32,28,4,898.0
9:00.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by M. Flynn),31-32, ,,2,32,31,1,900.0
8:58.0, ,31-32,Atlanta full timeout,,2,32,31,1,902.0
8:58.0,M. Sasser enters the game for E. Fournier,31-32, ,,2,32,31,1,902.0
8:58.0, ,31-32,B. Fernando enters the game for C. Capela,,2,32,31,1,902.0
8:43.0, ,31-32,Turnover by B. Bogdanović (bad pass; steal by C. Metu),,2,32,31,1,917.0
8:39.0,Turnover by C. Metu (bad pass; steal by K. Bufkin),31-32, ,,2,32,31,1,921.0
8:35.0, ,31-34,J. Johnson makes 2-pt dunk from 1 ft (assist by K. Bufkin),,2,34,31,3,925.0
8:19.0,M. Flynn makes 3-pt jump shot from 26 ft (assist by M. Sasser),34-34, ,Tie,2,34,34,0,941.0
8:19.0,Shooting foul by K. Bufkin (drawn by M. Flynn),34-34, ,,2,34,34,0,941.0
8:19.0,T. Evbuomwan enters the game for C. Metu,34-34, ,,2,34,34,0,941.0
8:19.0, ,34-34,V. Krejci enters the game for K. Bufkin,,2,34,34,0,941.0
8:19.0, ,34-34,D. Murray enters the game for J. Johnson,,2,34,34,0,941.0
8:19.0,M. Flynn makes free throw 1 of 1,35-34, ,Lead change,2,34,35,-1,941.0
7:58.0, ,35-37,D. Murray makes 3-pt jump shot from 25 ft (assist by B. Fernando),Lead change,2,37,35,2,962.0
7:36.0,J. Ivey misses 2-pt jump shot from 5 ft,35-37, ,,2,37,35,2,984.0
7:32.0,Offensive rebound by J. Wiseman,35-37, ,,2,37,35,2,988.0
7:25.0,M. Flynn makes 2-pt layup from 1 ft,37-37, ,Tie,2,37,37,0,995.0
7:00.0, ,37-39,B. Bogdanović makes 2-pt layup from 1 ft,,2,39,37,2,1020.0
6:53.0,J. Ivey makes 2-pt layup from 2 ft,39-39, ,Tie,2,39,39,0,1027.0
6:53.0, ,39-39,Atlanta full timeout,,2,39,39,0,1027.0
6:53.0, ,39-39,D. Hunter enters the game for B. Bogdanović,,2,39,39,0,1027.0
6:40.0, ,39-39,Turnover by D. Hunter (lost ball; steal by M. Flynn),,2,39,39,0,1040.0
6:28.0,M. Flynn misses 2-pt jump shot from 8 ft,39-39, ,,2,39,39,0,1052.0
6:24.0, ,39-39,Defensive rebound by G. Mathews,,2,39,39,0,1056.0
6:16.0, ,39-41,D. Murray makes 2-pt jump shot from 12 ft,,2,41,39,2,1064.0
5:54.0,T. Evbuomwan makes 3-pt jump shot from 23 ft (assist by M. Flynn),42-41, ,Lead change,2,41,42,-1,1086.0
5:45.0, ,42-41,Personal foul by T. Evbuomwan (drawn by D. Murray),,2,41,42,-1,1095.0
5:45.0,T. Brown enters the game for M. Flynn,42-41, ,,2,41,42,-1,1095.0
5:45.0,J. Duren enters the game for J. Wiseman,42-41, ,,2,41,42,-1,1095.0
5:45.0, ,42-41,C. Capela enters the game for B. Fernando,,2,41,42,-1,1095.0
5:45.0, ,42-41,J. Johnson enters the game for G. Mathews,,2,41,42,-1,1095.0
5:37.0, ,42-41,D. Murray misses 2-pt jump shot from 7 ft,,2,41,42,-1,1103.0
5:36.0, ,42-41,Offensive rebound by C. Capela,,2,41,42,-1,1104.0
5:36.0, ,42-41,Shooting foul by T. Brown (drawn by C. Capela),,2,41,42,-1,1104.0
5:36.0, ,42-41,C. Capela misses free throw 1 of 2,,2,41,42,-1,1104.0
5:36.0, ,42-41,Offensive rebound by Team,,2,41,42,-1,1104.0
5:36.0, ,42-42,C. Capela makes free throw 2 of 2,Tie,2,42,42,0,1104.0
5:22.0,J. Ivey misses 3-pt jump shot from 25 ft,42-42, ,,2,42,42,0,1118.0
5:19.0, ,42-42,Defensive rebound by J. Johnson,,2,42,42,0,1121.0
5:13.0, ,42-42,Turnover by D. Murray (traveling),,2,42,42,0,1127.0
4:53.0,T. Evbuomwan misses 2-pt layup from 2 ft,42-42, ,,2,42,42,0,1147.0
4:50.0, ,42-42,Defensive rebound by C. Capela,,2,42,42,0,1150.0
4:43.0, ,42-42,V. Krejci misses 3-pt jump shot from 26 ft,,2,42,42,0,1157.0
4:40.0,Defensive rebound by T. Evbuomwan,42-42, ,,2,42,42,0,1160.0
4:26.0,J. Duren misses 2-pt layup from 1 ft (block by C. Capela),42-42, ,,2,42,42,0,1174.0
4:21.0, ,42-42,Defensive rebound by C. Capela,,2,42,42,0,1179.0
4:18.0, ,42-45,D. Hunter makes 3-pt jump shot from 24 ft (assist by J. Johnson),Lead change,2,45,42,3,1182.0
4:01.0,J. Ivey misses 3-pt jump shot from 25 ft,42-45, ,,2,45,42,3,1199.0
3:58.0, ,42-45,Defensive rebound by C. Capela,,2,45,42,3,1202.0
3:48.0, ,42-45,D. Murray misses 3-pt jump shot from 23 ft,,2,45,42,3,1212.0
3:44.0,Defensive rebound by J. Ivey,42-45, ,,2,45,42,3,1216.0
3:33.0,J. Ivey misses 2-pt layup from 3 ft,42-45, ,,2,45,42,3,1227.0
3:30.0, ,42-45,Defensive rebound by J. Johnson,,2,45,42,3,1230.0
3:26.0, ,42-47,D. Murray makes 2-pt dunk from 1 ft (assist by J. Johnson),,2,47,42,5,1234.0
3:26.0,Detroit full timeout,42-47, ,,2,47,42,5,1234.0
3:13.0,Turnover by J. Ivey (bad pass; steal by J. Johnson),42-47, ,,2,47,42,5,1247.0
2:56.0, ,42-47,D. Hunter misses 3-pt jump shot from 24 ft,,2,47,42,5,1264.0
2:52.0, ,42-47,Offensive rebound by D. Murray,,2,47,42,5,1268.0
2:50.0, ,42-47,D. Murray misses 3-pt jump shot from 25 ft,,2,47,42,5,1270.0
2:46.0,Defensive rebound by M. Sasser,42-47, ,,2,47,42,5,1274.0
2:39.0,M. Sasser misses 2-pt jump shot from 9 ft,42-47, ,,2,47,42,5,1281.0
2:34.0,Offensive rebound by M. Sasser,42-47, ,,2,47,42,5,1286.0
2:34.0,M. Sasser makes 2-pt layup at rim,44-47, ,,2,47,44,3,1286.0
2:21.0, ,44-49,D. Hunter makes 2-pt jump shot from 18 ft (assist by D. Murray),,2,49,44,5,1299.0
2:07.0,M. Sasser misses 2-pt jump shot from 16 ft,44-49, ,,2,49,44,5,1313.0
2:04.0, ,44-49,Defensive rebound by J. Johnson,,2,49,44,5,1316.0
1:57.0, ,44-51,D. Hunter makes 2-pt jump shot from 3 ft (assist by J. Johnson),,2,51,44,7,1323.0
1:44.0,J. Duren misses 2-pt hook shot from 6 ft,44-51, ,,2,51,44,7,1336.0
1:41.0, ,44-51,Defensive rebound by C. Capela,,2,51,44,7,1339.0
1:35.0, ,44-51,D. Murray misses 2-pt layup from 6 ft (block by T. Evbuomwan),,2,51,44,7,1345.0
1:34.0, ,44-51,Offensive rebound by Team,,2,51,44,7,1346.0
1:34.0,M. Flynn enters the game for M. Sasser,44-51, ,,2,51,44,7,1346.0
1:34.0, ,44-51,B. Bogdanović enters the game for V. Krejci,,2,51,44,7,1346.0
1:34.0, ,44-51,Personal foul by J. Ivey (drawn by D. Hunter),,2,51,44,7,1346.0
1:25.0, ,44-54,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Murray),,2,54,44,10,1355.0
1:11.0,J. Ivey makes 2-pt layup from 3 ft (assist by J. Duren),46-54, ,,2,54,46,8,1369.0
0:51.0, ,46-57,D. Murray makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,2,57,46,11,1389.0
0:44.0,J. Duren misses 2-pt jump shot from 12 ft,46-57, ,,2,57,46,11,1396.0
0:40.0, ,46-57,Defensive rebound by D. Hunter,,2,57,46,11,1400.0
0:34.0, ,46-57,Turnover by D. Hunter (lost ball; steal by T. Brown),,2,57,46,11,1406.0
0:30.0,Shooting foul by B. Bogdanović (drawn by T. Brown),46-57, ,,2,57,46,11,1410.0
0:30.0,T. Brown makes free throw 1 of 2,47-57, ,,2,57,47,10,1410.0
0:30.0,T. Brown makes free throw 2 of 2,48-57, ,,2,57,48,9,1410.0
0:12.0, ,48-59,C. Capela makes 2-pt dunk at rim (assist by B. Bogdanović),,2,59,48,11,1428.0
0:03.0,M. Flynn misses 2-pt layup from 1 ft,48-59, ,,2,59,48,11,1437.0
0:02.0,Offensive rebound by T. Evbuomwan,48-59, ,,2,59,48,11,1438.0
0:02.0,T. Evbuomwan makes 2-pt layup at rim,50-59, ,,2,59,50,9,1438.0
0:00.0, ,50-59,B. Bogdanović misses 3-pt jump shot from 41 ft,,2,59,50,9,1440.0
0:00.0, ,50-59,Offensive rebound by Team,,2,59,50,9,1440.0
0:00.0,End of 2nd quarter,50-59,,,2,59,50,9,1440.0
12:00.0,Start of 3rd quarter,50-59,,,3,59,50,9,1440.0
11:39.0,M. Sasser makes 3-pt jump shot from 25 ft (assist by J. Ivey),53-59, ,,3,59,53,6,1461.0
11:19.0, ,53-62,D. Hunter makes 3-pt jump shot from 23 ft (assist by J. Johnson),,3,62,53,9,1481.0
10:57.0,J. Ivey misses 2-pt jump shot from 12 ft,53-62, ,,3,62,53,9,1503.0
10:54.0, ,53-62,Defensive rebound by C. Capela,,3,62,53,9,1506.0
10:36.0, ,53-62,D. Hunter misses 3-pt jump shot from 26 ft,,3,62,53,9,1524.0
10:32.0,Defensive rebound by J. Duren,53-62, ,,3,62,53,9,1528.0
10:22.0,J. Ivey misses 3-pt jump shot from 25 ft,53-62, ,,3,62,53,9,1538.0
10:19.0, ,53-62,Defensive rebound by D. Murray,,3,62,53,9,1541.0
10:10.0, ,53-65,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Johnson),,3,65,53,12,1550.0
9:56.0,J. Duren makes 2-pt jump shot from 16 ft,55-65, ,,3,65,55,10,1564.0
9:42.0, ,55-67,D. Murray makes 2-pt layup from 2 ft,,3,67,55,12,1578.0
9:42.0,Violation by Team (def goaltending),55-67, ,,3,67,55,12,1578.0
9:42.0, ,55-67,Shooting foul by J. Ivey (drawn by D. Murray),,3,67,55,12,1578.0
9:42.0, ,55-68,D. Murray makes free throw 1 of 1,,3,68,55,13,1578.0
9:31.0,J. Ivey misses 2-pt layup from 2 ft (block by C. Capela),55-68, ,,3,68,55,13,1589.0
9:28.0, ,55-68,Defensive rebound by D. Murray,,3,68,55,13,1592.0
9:20.0, ,55-68,C. Capela misses 2-pt hook shot from 4 ft,,3,68,55,13,1600.0
9:18.0,Defensive rebound by T. Brown,55-68, ,,3,68,55,13,1602.0
8:58.0,J. Duren misses 2-pt jump shot from 5 ft,55-68, ,,3,68,55,13,1622.0
8:54.0, ,55-68,Defensive rebound by J. Johnson,,3,68,55,13,1626.0
8:50.0, ,55-68,D. Murray misses 2-pt layup from 3 ft,,3,68,55,13,1630.0
8:44.0, ,55-68,Offensive rebound by J. Johnson,,3,68,55,13,1636.0
8:43.0, ,55-70,D. Hunter makes 2-pt layup from 2 ft (assist by J. Johnson),,3,70,55,15,1637.0
8:41.0,Detroit full timeout,55-70, ,,3,70,55,15,1639.0
8:41.0,M. Flynn enters the game for J. Ivey,55-70, ,,3,70,55,15,1639.0
8:29.0,M. Sasser misses 3-pt jump shot from 25 ft,55-70, ,,3,70,55,15,1651.0
8:23.0,Offensive rebound by T. Brown,55-70, ,,3,70,55,15,1657.0
8:23.0,T. Brown makes 2-pt dunk at rim,57-70, ,,3,70,57,13,1657.0
8:07.0, ,57-73,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Hunter),,3,73,57,16,1673.0
7:57.0, ,57-73,Violation by Team (kicked ball),,3,73,57,16,1683.0
7:48.0,Shooting foul by D. Murray (drawn by M. Flynn),57-73, ,,3,73,57,16,1692.0
7:48.0,M. Flynn makes free throw 1 of 2,58-73, ,,3,73,58,15,1692.0
7:48.0,M. Flynn misses free throw 2 of 2,58-73, ,,3,73,58,15,1692.0
7:46.0, ,58-73,Defensive rebound by D. Hunter,,3,73,58,15,1694.0
7:35.0, ,58-75,D. Murray makes 2-pt jump shot from 17 ft (assist by D. Hunter),,3,75,58,17,1705.0
7:14.0,Turnover by M. Flynn (bad pass),58-75, ,,3,75,58,17,1726.0
7:01.0, ,58-77,J. Johnson makes 2-pt jump shot from 5 ft (assist by B. Bogdanović),,3,77,58,19,1739.0
6:37.0,T. Brown misses 3-pt jump shot from 25 ft,58-77, ,,3,77,58,19,1763.0
6:34.0, ,58-77,Defensive rebound by B. Bogdanović,,3,77,58,19,1766.0
6:34.0, ,58-77,V. Krejci enters the game for B. Bogdanović,,3,77,58,19,1766.0
6:34.0, ,58-77,G. Mathews enters the game for J. Johnson,,3,77,58,19,1766.0
6:26.0, ,58-79,D. Hunter makes 2-pt jump shot from 19 ft (assist by V. Krejci),,3,79,58,21,1774.0
6:13.0,M. Flynn makes 2-pt jump shot from 11 ft,60-79, ,,3,79,60,19,1787.0
6:02.0,Violation by Team (kicked ball),60-79, ,,3,79,60,19,1798.0
5:57.0, ,60-79,D. Murray misses 3-pt jump shot from 26 ft,,3,79,60,19,1803.0
5:54.0,Defensive rebound by T. Brown,60-79, ,,3,79,60,19,1806.0
5:48.0,M. Flynn makes 2-pt layup from 2 ft (assist by T. Brown),62-79, ,,3,79,62,17,1812.0
5:31.0, ,62-82,G. Mathews makes 3-pt jump shot from 26 ft (assist by D. Hunter),,3,82,62,20,1829.0
5:15.0,M. Flynn makes 2-pt jump shot from 11 ft,64-82, ,,3,82,64,18,1845.0
4:59.0, ,64-84,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,3,84,64,20,1861.0
4:44.0,M. Sasser misses 3-pt jump shot from 24 ft,64-84, ,,3,84,64,20,1876.0
4:40.0, ,64-84,Defensive rebound by C. Capela,,3,84,64,20,1880.0
4:29.0, ,64-86,V. Krejci makes 2-pt layup from 5 ft (assist by D. Murray),,3,86,64,22,1891.0
4:14.0,Shooting foul by C. Capela (drawn by T. Evbuomwan),64-86, ,,3,86,64,22,1906.0
4:14.0,T. Evbuomwan makes free throw 1 of 2,65-86, ,,3,86,65,21,1906.0
4:14.0,J. Ivey enters the game for T. Brown,65-86, ,,3,86,65,21,1906.0
4:14.0,C. Metu enters the game for J. Duren,65-86, ,,3,86,65,21,1906.0
4:14.0,J. Wiseman enters the game for M. Sasser,65-86, ,,3,86,65,21,1906.0
