Time,Orlando,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:52.0, ,20-20,Defensive rebound by J. Johnson,,1,20,20,0,548.0
2:40.0, ,20-20,T. Young misses 2-pt jump shot from 12 ft,,1,20,20,0,560.0
2:37.0,Defensive rebound by M. Fultz,20-20, ,,1,20,20,0,563.0
2:17.0,C. Anthony misses 3-pt jump shot from 26 ft,20-20, ,,1,20,20,0,583.0
2:13.0, ,20-20,Defensive rebound by G. Mathews,,1,20,20,0,587.0
1:59.0, ,20-20,T. Young misses 3-pt jump shot from 28 ft,,1,20,20,0,601.0
1:57.0, ,20-20,Offensive rebound by O. Okongwu,,1,20,20,0,603.0
1:54.0, ,20-20,Turnover by T. Young (bad pass),,1,20,20,0,606.0
1:41.0,W. Carter makes 3-pt jump shot from 23 ft (assist by P. Banchero),23-20, ,Lead change,1,20,23,-3,619.0
1:26.0, ,23-22,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),,1,22,23,-1,634.0
1:18.0,C. Anthony misses 2-pt jump shot from 12 ft,23-22, ,,1,22,23,-1,642.0
1:15.0, ,23-22,Defensive rebound by O. Okongwu,,1,22,23,-1,645.0
1:09.0, ,23-24,O. Okongwu makes 2-pt dunk from 1 ft (assist by B. Bogdanović),Lead change,1,24,23,1,651.0
0:40.0,P. Banchero misses 2-pt layup from 6 ft (block by B. Bogdanović),23-24, ,,1,24,23,1,680.0
0:38.0, ,23-24,Defensive rebound by B. Bogdanović,,1,24,23,1,682.0
0:33.0, ,23-26,T. Young makes 2-pt layup from 1 ft,,1,26,23,3,687.0
0:23.0,W. Carter makes 3-pt jump shot from 25 ft (assist by M. Fultz),26-26, ,Tie,1,26,26,0,697.0
0:06.0, ,26-26,Personal take foul by J. Ingles (drawn by T. Young),,1,26,26,0,714.0
0:06.0,A. Black enters the game for C. Anthony,26-26, ,,1,26,26,0,714.0
0:06.0,J. Isaac enters the game for P. Banchero,26-26, ,,1,26,26,0,714.0
0:00.0, ,26-26,J. Johnson misses 3-pt jump shot from 26 ft,,1,26,26,0,720.0
0:00.0, ,26-26,Offensive rebound by Team,,1,26,26,0,720.0
0:00.0,End of 1st quarter,26-26,,,1,26,26,0,720.0
12:00.0,Start of 2nd quarter,26-26,,,2,26,26,0,720.0
11:45.0,J. Isaac makes 2-pt dunk from 1 ft (assist by J. Ingles),28-26, ,Lead change,2,26,28,-2,735.0
11:24.0, ,28-26,Turnover by B. Bogdanović (bad pass; steal by M. Fultz),,2,26,28,-2,756.0
11:14.0,J. Ingles misses 3-pt jump shot from 25 ft,28-26, ,,2,26,28,-2,766.0
11:11.0, ,28-26,Defensive rebound by O. Okongwu,,2,26,28,-2,769.0
11:05.0, ,28-29,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),Lead change,2,29,28,1,775.0
10:44.0,W. Carter makes 2-pt layup from 1 ft (assist by J. Ingles),30-29, ,Lead change,2,29,30,-1,796.0
10:30.0, ,30-29,J. Johnson misses 2-pt layup from 1 ft (block by W. Carter),,2,29,30,-1,810.0
10:29.0,Defensive rebound by Team,30-29, ,,2,29,30,-1,811.0
10:16.0,Turnover by C. Anthony (out of bounds lost ball),30-29, ,,2,29,30,-1,824.0
9:56.0, ,30-31,O. Okongwu makes 2-pt dunk at rim (assist by T. Young),Lead change,2,31,30,1,844.0
9:39.0,Offensive foul by J. Ingles (drawn by G. Mathews),30-31, ,,2,31,30,1,861.0
9:39.0,Turnover by J. Ingles (offensive foul),30-31, ,,2,31,30,1,861.0
9:29.0, ,30-31,Turnover by T. Young (bad pass; steal by C. Anthony),,2,31,30,1,871.0
9:22.0,W. Carter misses 3-pt jump shot from 26 ft,30-31, ,,2,31,30,1,878.0
9:20.0, ,30-31,Defensive rebound by Team,,2,31,30,1,880.0
9:13.0, ,30-33,T. Young makes 2-pt layup from 1 ft,,2,33,30,3,887.0
9:13.0, ,30-33,Shooting foul by M. Fultz (drawn by T. Young),,2,33,30,3,887.0
9:13.0, ,30-33,S. Bey enters the game for J. Johnson,,2,33,30,3,887.0
9:13.0, ,30-34,T. Young makes free throw 1 of 1,,2,34,30,4,887.0
8:55.0,M. Fultz makes 2-pt layup from 1 ft,32-34, ,,2,34,32,2,905.0
8:43.0, ,32-34,S. Bey misses 3-pt jump shot from 24 ft,,2,34,32,2,917.0
8:41.0,Defensive rebound by J. Ingles,32-34, ,,2,34,32,2,919.0
8:31.0,M. Fultz misses 2-pt layup from 2 ft (block by O. Okongwu),32-34, ,,2,34,32,2,929.0
8:30.0, ,32-34,Defensive rebound by Team,,2,34,32,2,930.0
8:30.0, ,32-34,D. Murray enters the game for T. Young,,2,34,32,2,930.0
8:18.0, ,32-34,Turnover by D. Murray (bad pass; steal by J. Isaac),,2,34,32,2,942.0
8:13.0,C. Anthony makes 2-pt layup from 1 ft (assist by J. Isaac),34-34, ,Tie,2,34,34,0,947.0
8:01.0, ,34-34,Turnover by G. Mathews (back court),,2,34,34,0,959.0
7:50.0,Shooting foul by G. Mathews (drawn by C. Anthony),34-34, ,,2,34,34,0,970.0
7:50.0,C. Anthony makes free throw 1 of 2,35-34, ,Lead change,2,34,35,-1,970.0
7:50.0, ,35-34,C. Capela enters the game for G. Mathews,,2,34,35,-1,970.0
7:50.0,C. Anthony makes free throw 2 of 2,36-34, ,,2,34,36,-2,970.0
7:33.0, ,36-34,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,34,36,-2,987.0
7:29.0,Defensive rebound by J. Ingles,36-34, ,,2,34,36,-2,991.0
7:22.0,J. Ingles misses 3-pt jump shot from 25 ft,36-34, ,,2,34,36,-2,998.0
7:17.0,Offensive rebound by W. Carter,36-34, ,,2,34,36,-2,1003.0
7:17.0,W. Carter makes 2-pt dunk at rim,38-34, ,,2,34,38,-4,1003.0
7:10.0, ,38-34,Turnover by D. Murray (bad pass; steal by J. Ingles),,2,34,38,-4,1010.0
7:01.0,C. Anthony misses 3-pt jump shot from 26 ft,38-34, ,,2,34,38,-4,1019.0
6:58.0, ,38-34,Defensive rebound by O. Okongwu,,2,34,38,-4,1022.0
6:56.0, ,38-34,Turnover by O. Okongwu (bad pass; steal by J. Isaac),,2,34,38,-4,1024.0
6:42.0,M. Fultz makes 2-pt jump shot from 15 ft (assist by W. Carter),40-34, ,,2,34,40,-6,1038.0
6:25.0, ,40-34,D. Murray misses 2-pt jump shot from 12 ft,,2,34,40,-6,1055.0
6:23.0,Defensive rebound by M. Fultz,40-34, ,,2,34,40,-6,1057.0
6:19.0,J. Ingles misses 3-pt jump shot from 25 ft,40-34, ,,2,34,40,-6,1061.0
6:16.0, ,40-34,Defensive rebound by D. Murray,,2,34,40,-6,1064.0
6:09.0, ,40-34,Turnover by D. Murray (bad pass),,2,34,40,-6,1071.0
6:09.0, ,40-34,Atlanta full timeout,,2,34,40,-6,1071.0
6:09.0,P. Banchero enters the game for J. Ingles,40-34, ,,2,34,40,-6,1071.0
6:09.0,C. Okeke enters the game for J. Isaac,40-34, ,,2,34,40,-6,1071.0
6:09.0, ,40-34,J. Johnson enters the game for B. Bogdanović,,2,34,40,-6,1071.0
6:09.0, ,40-34,T. Young enters the game for O. Okongwu,,2,34,40,-6,1071.0
5:55.0,C. Anthony misses 2-pt jump shot from 14 ft,40-34, ,,2,34,40,-6,1085.0
5:52.0, ,40-34,Defensive rebound by S. Bey,,2,34,40,-6,1088.0
5:31.0, ,40-36,J. Johnson makes 2-pt jump shot from 10 ft,,2,36,40,-4,1109.0
5:13.0,Turnover by C. Okeke (lost ball; steal by D. Murray),40-36, ,,2,36,40,-4,1127.0
5:07.0, ,40-38,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,2,38,40,-2,1133.0
4:54.0,Shooting foul by C. Capela (drawn by P. Banchero),40-38, ,,2,38,40,-2,1146.0
4:54.0,P. Banchero makes free throw 1 of 2,41-38, ,,2,38,41,-3,1146.0
4:54.0,G. Bitadze enters the game for W. Carter,41-38, ,,2,38,41,-3,1146.0
4:54.0,J. Suggs enters the game for M. Fultz,41-38, ,,2,38,41,-3,1146.0
4:54.0,P. Banchero makes free throw 2 of 2,42-38, ,,2,38,42,-4,1146.0
4:41.0, ,42-40,C. Capela makes 2-pt dunk from 1 ft (assist by J. Johnson),,2,40,42,-2,1159.0
4:25.0,Shooting foul by J. Johnson (drawn by C. Anthony),42-40, ,,2,40,42,-2,1175.0
4:25.0,C. Anthony makes free throw 1 of 2,43-40, ,,2,40,43,-3,1175.0
4:25.0,C. Anthony misses free throw 2 of 2,43-40, ,,2,40,43,-3,1175.0
4:23.0, ,43-40,Defensive rebound by J. Johnson,,2,40,43,-3,1177.0
4:12.0, ,43-40,Shooting foul by C. Anthony (drawn by S. Bey),,2,40,43,-3,1188.0
4:12.0, ,43-41,S. Bey makes free throw 1 of 2,,2,41,43,-2,1188.0
4:12.0, ,43-42,S. Bey makes free throw 2 of 2,,2,42,43,-1,1188.0
3:58.0,C. Anthony misses 3-pt jump shot from 23 ft,43-42, ,,2,42,43,-1,1202.0
3:56.0,Offensive rebound by G. Bitadze,43-42, ,,2,42,43,-1,1204.0
3:55.0,G. Bitadze makes 2-pt layup from 2 ft,45-42, ,,2,42,45,-3,1205.0
3:41.0, ,45-42,S. Bey misses 3-pt jump shot from 23 ft,,2,42,45,-3,1219.0
3:39.0,Defensive rebound by C. Okeke,45-42, ,,2,42,45,-3,1221.0
3:29.0,P. Banchero misses 2-pt jump shot from 15 ft,45-42, ,,2,42,45,-3,1231.0
3:25.0,Offensive rebound by G. Bitadze,45-42, ,,2,42,45,-3,1235.0
3:25.0,M. Fultz enters the game for C. Anthony,45-42, ,,2,42,45,-3,1235.0
3:22.0, ,45-42,Violation by Team (kicked ball),,2,42,45,-3,1238.0
3:13.0,P. Banchero misses 2-pt jump shot from 17 ft,45-42, ,,2,42,45,-3,1247.0
3:09.0,Offensive rebound by J. Suggs,45-42, ,,2,42,45,-3,1251.0
3:08.0,J. Suggs misses 2-pt jump shot from 10 ft,45-42, ,,2,42,45,-3,1252.0
3:08.0, ,45-42,Defensive rebound by S. Bey,,2,42,45,-3,1252.0
3:01.0, ,45-42,J. Johnson misses 2-pt layup from 1 ft (block by P. Banchero),,2,42,45,-3,1259.0
3:00.0, ,45-42,Offensive rebound by Team,,2,42,45,-3,1260.0
2:52.0, ,45-44,C. Capela makes 2-pt dunk from 1 ft (assist by J. Johnson),,2,44,45,-1,1268.0
2:35.0,C. Okeke makes 2-pt jump shot from 9 ft (assist by G. Bitadze),47-44, ,,2,44,47,-3,1285.0
2:22.0, ,47-47,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),Tie,2,47,47,0,1298.0
2:07.0,Personal foul by D. Murray (drawn by J. Suggs),47-47, ,,2,47,47,0,1313.0
2:07.0,Orlando full timeout,47-47, ,,2,47,47,0,1313.0
2:01.0,M. Fultz misses 2-pt layup from 3 ft,47-47, ,,2,47,47,0,1319.0
1:56.0,Offensive rebound by G. Bitadze,47-47, ,,2,47,47,0,1324.0
1:56.0,G. Bitadze makes 2-pt layup at rim,49-47, ,,2,47,49,-2,1324.0
1:34.0, ,49-49,D. Murray makes 2-pt layup from 3 ft,Tie,2,49,49,0,1346.0
1:17.0,P. Banchero makes 2-pt jump shot from 18 ft (assist by G. Bitadze),51-49, ,,2,49,51,-2,1363.0
1:05.0, ,51-49,D. Murray misses 2-pt jump shot from 8 ft,,2,49,51,-2,1375.0
1:04.0, ,51-49,Offensive rebound by Team,,2,49,51,-2,1376.0
0:58.0, ,51-49,Personal foul by M. Fultz (drawn by D. Murray),,2,49,51,-2,1382.0
0:47.0, ,51-49,Turnover by J. Johnson (bad pass; steal by C. Okeke),,2,49,51,-2,1393.0
0:32.0,C. Okeke misses 3-pt jump shot from 23 ft,51-49, ,,2,49,51,-2,1408.0
0:29.0,Offensive rebound by M. Fultz,51-49, ,,2,49,51,-2,1411.0
0:16.0,C. Okeke misses 3-pt jump shot from 23 ft,51-49, ,,2,49,51,-2,1424.0
0:12.0, ,51-49,Defensive rebound by Team,,2,49,51,-2,1428.0
0:04.0, ,51-49,T. Young misses 2-pt jump shot from 11 ft,,2,49,51,-2,1436.0
0:01.0,Defensive rebound by G. Bitadze,51-49, ,,2,49,51,-2,1439.0
0:00.0,End of 2nd quarter,51-49,,,2,49,51,-2,1440.0
12:00.0,Start of 3rd quarter,51-49,,,3,49,51,-2,1440.0
11:46.0,C. Houstan misses 3-pt jump shot from 23 ft,51-49, ,,3,49,51,-2,1454.0
11:40.0, ,51-49,Defensive rebound by C. Capela,,3,49,51,-2,1460.0
11:29.0, ,51-49,T. Young misses 2-pt jump shot from 10 ft,,3,49,51,-2,1471.0
11:26.0,Defensive rebound by G. Bitadze,51-49, ,,3,49,51,-2,1474.0
11:04.0,P. Banchero misses 2-pt jump shot from 18 ft,51-49, ,,3,49,51,-2,1496.0
11:01.0, ,51-49,Defensive rebound by J. Johnson,,3,49,51,-2,1499.0
10:52.0, ,51-51,J. Johnson makes 2-pt dunk at rim (assist by T. Young),Tie,3,51,51,0,1508.0
10:52.0, ,51-51,Shooting foul by G. Bitadze (drawn by J. Johnson),,3,51,51,0,1508.0
10:52.0, ,51-51,J. Johnson misses free throw 1 of 1,,3,51,51,0,1508.0
10:48.0,Defensive rebound by G. Bitadze,51-51, ,,3,51,51,0,1512.0
10:40.0,P. Banchero makes 2-pt layup from 2 ft,53-51, ,,3,51,53,-2,1520.0
10:12.0, ,53-51,Turnover by D. Murray (lost ball; steal by C. Okeke),,3,51,53,-2,1548.0
10:10.0,Personal foul by T. Young (drawn by P. Banchero),53-51, ,,3,51,53,-2,1550.0
10:10.0,C. Houstan misses free throw 1 of 1,53-51, ,,3,51,53,-2,1550.0
10:10.0,Offensive rebound by Team,53-51, ,,3,51,53,-2,1550.0
9:59.0,J. Suggs makes 3-pt jump shot from 26 ft,56-51, ,,3,51,56,-5,1561.0
9:48.0, ,56-54,T. Young makes 3-pt jump shot from 29 ft,,3,54,56,-2,1572.0
9:24.0,C. Houstan misses 3-pt jump shot from 26 ft,56-54, ,,3,54,56,-2,1596.0
9:18.0, ,56-54,Defensive rebound by T. Young,,3,54,56,-2,1602.0
9:11.0, ,56-54,Turnover by T. Young (bad pass; steal by C. Okeke),,3,54,56,-2,1609.0
9:08.0,J. Suggs makes 3-pt jump shot from 26 ft,59-54, ,,3,54,59,-5,1612.0
8:40.0, ,59-57,J. Johnson makes 3-pt jump shot from 25 ft (assist by D. Murray),,3,57,59,-2,1640.0
8:18.0,P. Banchero misses 2-pt jump shot from 19 ft,59-57, ,,3,57,59,-2,1662.0
8:15.0,Offensive rebound by G. Bitadze,59-57, ,,3,57,59,-2,1665.0
8:15.0,G. Bitadze makes 2-pt layup from 4 ft,61-57, ,,3,57,61,-4,1665.0
8:04.0, ,61-57,Personal foul by C. Houstan (drawn by T. Young),,3,57,61,-4,1676.0
8:00.0, ,61-59,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,3,59,61,-2,1680.0
7:42.0,Shooting foul by J. Johnson (drawn by P. Banchero),61-59, ,,3,59,61,-2,1698.0
7:42.0,P. Banchero makes free throw 1 of 2,62-59, ,,3,59,62,-3,1698.0
7:42.0,P. Banchero makes free throw 2 of 2,63-59, ,,3,59,63,-4,1698.0
7:33.0, ,63-61,T. Young makes 2-pt jump shot from 22 ft,,3,61,63,-2,1707.0
7:18.0,J. Suggs makes 2-pt jump shot from 10 ft (assist by P. Banchero),65-61, ,,3,61,65,-4,1722.0
6:55.0, ,65-61,Turnover by T. Young (lost ball; steal by P. Banchero),,3,61,65,-4,1745.0
6:50.0,C. Houstan makes 3-pt jump shot from 26 ft (assist by P. Banchero),68-61, ,,3,61,68,-7,1750.0
6:49.0, ,68-61,Atlanta full timeout,,3,61,68,-7,1751.0
6:36.0, ,68-61,T. Young misses 3-pt jump shot from 25 ft,,3,61,68,-7,1764.0
6:33.0,Defensive rebound by J. Suggs,68-61, ,,3,61,68,-7,1767.0
6:18.0,P. Banchero misses 3-pt jump shot from 27 ft,68-61, ,,3,61,68,-7,1782.0
6:15.0, ,68-61,Defensive rebound by J. Johnson,,3,61,68,-7,1785.0
6:09.0, ,68-61,Shooting foul by C. Houstan (drawn by D. Murray),,3,61,68,-7,1791.0
6:09.0, ,68-62,D. Murray makes free throw 1 of 2,,3,62,68,-6,1791.0
6:09.0,M. Fultz enters the game for C. Houstan,68-62, ,,3,62,68,-6,1791.0
6:09.0, ,68-62,B. Bogdanović enters the game for J. Johnson,,3,62,68,-6,1791.0
6:09.0, ,68-62,O. Okongwu enters the game for T. Young,,3,62,68,-6,1791.0
6:09.0, ,68-63,D. Murray makes free throw 2 of 2,,3,63,68,-5,1791.0
6:01.0,Turnover by M. Fultz (lost ball; steal by C. Capela),68-63, ,,3,63,68,-5,1799.0
5:55.0, ,68-65,D. Murray makes 2-pt layup from 2 ft,,3,65,68,-3,1805.0
5:38.0,C. Okeke misses 2-pt jump shot from 5 ft,68-65, ,,3,65,68,-3,1822.0
5:36.0, ,68-65,Defensive rebound by C. Capela,,3,65,68,-3,1824.0
5:21.0, ,68-65,Turnover by C. Capela (traveling),,3,65,68,-3,1839.0
5:05.0,G. Bitadze misses 2-pt jump shot from 11 ft,68-65, ,,3,65,68,-3,1855.0
5:02.0, ,68-65,Defensive rebound by B. Bogdanović,,3,65,68,-3,1858.0
4:54.0, ,68-65,Turnover by D. Murray (lost ball; steal by M. Fultz),,3,65,68,-3,1866.0
4:50.0,P. Banchero misses 2-pt jump shot from 6 ft,68-65, ,,3,65,68,-3,1870.0
4:44.0,Offensive rebound by C. Okeke,68-65, ,,3,65,68,-3,1876.0
4:44.0,C. Okeke makes 2-pt layup at rim,70-65, ,,3,65,70,-5,1876.0
4:32.0, ,70-68,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,3,68,70,-2,1888.0
4:09.0,C. Okeke misses 3-pt jump shot from 24 ft,70-68, ,,3,68,70,-2,1911.0
4:08.0, ,70-68,Defensive rebound by Team,,3,68,70,-2,1912.0
4:08.0,W. Carter enters the game for G. Bitadze,70-68, ,,3,68,70,-2,1912.0
4:08.0,J. Ingles enters the game for J. Suggs,70-68, ,,3,68,70,-2,1912.0
4:08.0, ,70-68,J. Johnson enters the game for C. Capela,,3,68,70,-2,1912.0
3:54.0, ,70-70,B. Bogdanović makes 2-pt layup from 1 ft,Tie,3,70,70,0,1926.0
3:30.0,W. Carter makes 3-pt jump shot from 26 ft (assist by C. Okeke),73-70, ,,3,70,73,-3,1950.0
3:12.0, ,73-70,S. Bey misses 2-pt jump shot from 13 ft,,3,70,73,-3,1968.0
3:08.0,Defensive rebound by P. Banchero,73-70, ,,3,70,73,-3,1972.0
2:54.0,P. Banchero misses 3-pt jump shot from 24 ft,73-70, ,,3,70,73,-3,1986.0
2:53.0, ,73-70,Defensive rebound by Team,,3,70,73,-3,1987.0
2:53.0,Orlando full timeout,73-70, ,,3,70,73,-3,1987.0
2:53.0,C. Anthony enters the game for C. Okeke,73-70, ,,3,70,73,-3,1987.0
2:53.0, ,73-70,G. Mathews enters the game for S. Bey,,3,70,73,-3,1987.0
2:53.0, ,73-70,T. Young enters the game for D. Murray,,3,70,73,-3,1987.0
2:42.0, ,73-70,Offensive foul by O. Okongwu (drawn by C. Anthony),,3,70,73,-3,1998.0
2:42.0, ,73-70,Turnover by O. Okongwu (offensive foul),,3,70,73,-3,1998.0
2:27.0,Turnover by P. Banchero (bad pass; steal by J. Johnson),73-70, ,,3,70,73,-3,2013.0
