Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:17.0,D. Hunter makes free throw 1 of 2,8-6, ,,1,8,6,2,163.0
9:17.0,D. Hunter makes free throw 2 of 2,9-6, ,,1,9,6,3,163.0
9:04.0, ,9-8,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Garland),,1,9,8,1,176.0
8:45.0,C. Capela makes 2-pt hook shot from 5 ft,11-8, ,,1,11,8,3,195.0
8:35.0, ,11-10,D. Mitchell makes 2-pt layup from 1 ft,,1,11,10,1,205.0
8:23.0,Turnover by T. Young (bad pass),11-10, ,,1,11,10,1,217.0
8:15.0, ,11-10,Turnover by E. Mobley (traveling),,1,11,10,1,225.0
7:59.0,D. Hunter misses 3-pt jump shot from 25 ft,11-10, ,,1,11,10,1,241.0
7:57.0,Offensive rebound by C. Capela,11-10, ,,1,11,10,1,243.0
7:55.0,C. Capela makes 2-pt hook shot from 4 ft,13-10, ,,1,13,10,3,245.0
7:55.0, ,13-10,Cleveland full timeout,,1,13,10,3,245.0
7:44.0, ,13-10,D. Mitchell misses 3-pt jump shot from 24 ft,,1,13,10,3,256.0
7:41.0, ,13-10,Offensive rebound by E. Mobley,,1,13,10,3,259.0
7:40.0, ,13-12,E. Mobley makes 2-pt layup from 1 ft,,1,13,12,1,260.0
7:34.0,Personal foul by D. Mitchell (drawn by D. Murray),13-12, ,,1,13,12,1,266.0
7:24.0,C. Capela makes 2-pt hook shot from 8 ft (assist by S. Bey),15-12, ,,1,15,12,3,276.0
7:08.0, ,15-14,D. Garland makes 2-pt jump shot from 10 ft (assist by J. Allen),,1,15,14,1,292.0
6:47.0,T. Young misses 3-pt jump shot from 31 ft,15-14, ,,1,15,14,1,313.0
6:45.0, ,15-14,Defensive rebound by E. Mobley,,1,15,14,1,315.0
6:35.0, ,15-17,M. Strus makes 3-pt jump shot from 26 ft (assist by D. Mitchell),Lead change,1,15,17,-2,325.0
6:18.0,S. Bey misses 2-pt layup from 5 ft (block by M. Strus),15-17, ,,1,15,17,-2,342.0
6:15.0, ,15-17,Defensive rebound by E. Mobley,,1,15,17,-2,345.0
6:09.0, ,15-17,Turnover by D. Mitchell (bad pass),,1,15,17,-2,351.0
6:09.0,B. Bogdanović enters the game for S. Bey,15-17, ,,1,15,17,-2,351.0
6:09.0,A. Griffin enters the game for T. Young,15-17, ,,1,15,17,-2,351.0
6:09.0, ,15-17,C. LeVert enters the game for D. Garland,,1,15,17,-2,351.0
5:53.0,D. Hunter misses 2-pt jump shot from 17 ft,15-17, ,,1,15,17,-2,367.0
5:50.0, ,15-17,Defensive rebound by C. LeVert,,1,15,17,-2,370.0
5:39.0, ,15-19,E. Mobley makes 2-pt layup from 5 ft,,1,15,19,-4,381.0
5:39.0, ,15-19,G. Niang enters the game for J. Allen,,1,15,19,-4,381.0
5:19.0,Turnover by D. Murray (bad pass; steal by D. Mitchell),15-19, ,,1,15,19,-4,401.0
5:14.0, ,15-19,M. Strus misses 3-pt jump shot from 27 ft,,1,15,19,-4,406.0
5:12.0,Defensive rebound by B. Bogdanović,15-19, ,,1,15,19,-4,408.0
5:03.0,A. Griffin misses 2-pt jump shot from 6 ft,15-19, ,,1,15,19,-4,417.0
5:01.0, ,15-19,Defensive rebound by E. Mobley,,1,15,19,-4,419.0
4:49.0, ,15-19,C. LeVert misses 2-pt jump shot from 9 ft,,1,15,19,-4,431.0
4:46.0,Defensive rebound by B. Bogdanović,15-19, ,,1,15,19,-4,434.0
4:40.0,D. Murray makes 2-pt jump shot from 10 ft (assist by D. Hunter),17-19, ,,1,17,19,-2,440.0
4:30.0, ,17-21,D. Mitchell makes 2-pt dunk from 1 ft,,1,17,21,-4,450.0
4:14.0,D. Murray makes 3-pt jump shot from 24 ft,20-21, ,,1,20,21,-1,466.0
4:03.0, ,20-21,Turnover by C. LeVert (bad pass; steal by B. Bogdanović),,1,20,21,-1,477.0
3:57.0,B. Bogdanović makes 3-pt jump shot from 26 ft,23-21, ,Lead change,1,23,21,2,483.0
3:33.0, ,23-21,G. Niang misses 3-pt jump shot from 24 ft,,1,23,21,2,507.0
3:31.0, ,23-21,Offensive rebound by E. Mobley,,1,23,21,2,509.0
3:29.0, ,23-21,M. Strus misses 2-pt layup at rim (block by C. Capela),,1,23,21,2,511.0
3:23.0,Defensive rebound by C. Capela,23-21, ,,1,23,21,2,517.0
3:20.0,B. Bogdanović makes 2-pt layup from 2 ft,25-21, ,,1,25,21,4,520.0
3:13.0, ,25-23,D. Mitchell makes 2-pt layup from 1 ft (assist by C. LeVert),,1,25,23,2,527.0
3:13.0, ,25-23,Shooting foul by D. Hunter (drawn by D. Mitchell),,1,25,23,2,527.0
3:13.0,O. Okongwu enters the game for C. Capela,25-23, ,,1,25,23,2,527.0
3:13.0, ,25-23,I. Okoro enters the game for M. Strus,,1,25,23,2,527.0
3:13.0, ,25-24,D. Mitchell makes free throw 1 of 1,,1,25,24,1,527.0
3:04.0,D. Murray misses 2-pt jump shot from 18 ft,25-24, ,,1,25,24,1,536.0
2:59.0, ,25-24,Defensive rebound by D. Mitchell,,1,25,24,1,541.0
2:51.0, ,25-24,G. Niang misses 2-pt hook shot from 7 ft,,1,25,24,1,549.0
2:49.0,Defensive rebound by O. Okongwu,25-24, ,,1,25,24,1,551.0
2:43.0,D. Hunter misses 3-pt jump shot from 23 ft,25-24, ,,1,25,24,1,557.0
2:40.0, ,25-24,Defensive rebound by D. Mitchell,,1,25,24,1,560.0
2:30.0, ,25-24,Personal foul by D. Hunter (drawn by C. LeVert),,1,25,24,1,570.0
2:30.0,Atlanta full timeout,25-24, ,,1,25,24,1,570.0
2:30.0,S. Bey enters the game for A. Griffin,25-24, ,,1,25,24,1,570.0
2:30.0,W. Matthews enters the game for D. Hunter,25-24, ,,1,25,24,1,570.0
2:30.0,T. Young enters the game for D. Murray,25-24, ,,1,25,24,1,570.0
2:30.0, ,25-24,J. Allen enters the game for D. Mitchell,,1,25,24,1,570.0
2:30.0, ,25-24,D. Garland enters the game for E. Mobley,,1,25,24,1,570.0
2:20.0, ,25-24,G. Niang misses 3-pt jump shot from 24 ft,,1,25,24,1,580.0
2:17.0,Defensive rebound by B. Bogdanović,25-24, ,,1,25,24,1,583.0
2:05.0,O. Okongwu misses 2-pt jump shot from 6 ft,25-24, ,,1,25,24,1,595.0
2:03.0, ,25-24,Defensive rebound by G. Niang,,1,25,24,1,597.0
1:46.0, ,25-26,G. Niang makes 2-pt layup at rim (assist by J. Allen),Lead change,1,25,26,-1,614.0
1:25.0,T. Young makes 2-pt layup from 2 ft (assist by W. Matthews),27-26, ,Lead change,1,27,26,1,635.0
1:20.0, ,27-26,Personal foul by T. Young (drawn by D. Garland),,1,27,26,1,640.0
1:13.0, ,27-28,D. Garland makes 2-pt layup from 1 ft,Lead change,1,27,28,-1,647.0
1:05.0,B. Bogdanović misses 3-pt jump shot from 26 ft,27-28, ,,1,27,28,-1,655.0
1:03.0,Offensive rebound by O. Okongwu,27-28, ,,1,27,28,-1,657.0
1:03.0,Personal foul by G. Niang (drawn by O. Okongwu),27-28, ,,1,27,28,-1,657.0
0:56.0,T. Young makes 3-pt jump shot from 25 ft,30-28, ,Lead change,1,30,28,2,664.0
0:43.0, ,30-28,I. Okoro misses 3-pt jump shot from 24 ft,,1,30,28,2,677.0
0:39.0,Defensive rebound by S. Bey,30-28, ,,1,30,28,2,681.0
0:32.0,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),32-28, ,,1,32,28,4,688.0
0:11.0, ,32-28,Shooting foul by S. Bey (drawn by D. Garland),,1,32,28,4,709.0
0:11.0, ,32-28,D. Garland misses free throw 1 of 2,,1,32,28,4,709.0
0:11.0, ,32-28,Offensive rebound by Team,,1,32,28,4,709.0
0:11.0, ,32-28,E. Mobley enters the game for G. Niang,,1,32,28,4,709.0
0:11.0, ,32-29,D. Garland makes free throw 2 of 2,,1,32,29,3,709.0
0:03.0,Personal foul by C. LeVert (drawn by T. Young),32-29, ,,1,32,29,3,717.0
0:03.0,T. Young misses free throw 1 of 2,32-29, ,,1,32,29,3,717.0
0:03.0,Offensive rebound by Team,32-29, ,,1,32,29,3,717.0
0:03.0, ,32-29,D. Mitchell enters the game for J. Allen,,1,32,29,3,717.0
0:03.0, ,32-29,M. Strus enters the game for I. Okoro,,1,32,29,3,717.0
0:03.0,T. Young makes free throw 2 of 2,33-29, ,,1,33,29,4,717.0
0:00.0,Instant Replay (Request: Ruling Stands),33-29, ,,1,33,29,4,720.0
0:00.0,End of 1st quarter,33-29,,,1,33,29,4,720.0
12:00.0,Start of 2nd quarter,33-29,,,2,33,29,4,720.0
11:45.0, ,33-31,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),,2,33,31,2,735.0
11:33.0,O. Okongwu makes 3-pt jump shot from 25 ft (assist by W. Matthews),36-31, ,,2,36,31,5,747.0
11:16.0, ,36-31,Turnover by C. Porter (out of bounds lost ball),,2,36,31,5,764.0
11:07.0,W. Matthews misses 3-pt jump shot from 23 ft,36-31, ,,2,36,31,5,773.0
11:04.0, ,36-31,Defensive rebound by G. Niang,,2,36,31,5,776.0
10:58.0, ,36-31,C. Porter misses 2-pt layup from 1 ft,,2,36,31,5,782.0
10:54.0,Defensive rebound by W. Matthews,36-31, ,,2,36,31,5,786.0
10:41.0,Shooting foul by J. Allen (drawn by T. Young),36-31, ,,2,36,31,5,799.0
10:41.0,T. Young makes free throw 1 of 2,37-31, ,,2,37,31,6,799.0
10:41.0,T. Young makes free throw 2 of 2,38-31, ,,2,38,31,7,799.0
10:29.0, ,38-31,D. Garland misses 2-pt jump shot from 6 ft,,2,38,31,7,811.0
10:27.0,Defensive rebound by O. Okongwu,38-31, ,,2,38,31,7,813.0
10:19.0,T. Young misses 3-pt jump shot from 32 ft,38-31, ,,2,38,31,7,821.0
10:17.0, ,38-31,Defensive rebound by G. Niang,,2,38,31,7,823.0
10:07.0, ,38-31,G. Niang misses 3-pt jump shot from 27 ft,,2,38,31,7,833.0
10:05.0, ,38-31,Offensive rebound by Team,,2,38,31,7,835.0
10:05.0,Loose ball foul by B. Bogdanović (drawn by J. Allen),38-31, ,,2,38,31,7,835.0
9:55.0, ,38-31,D. Garland misses 3-pt jump shot from 29 ft,,2,38,31,7,845.0
9:52.0,Defensive rebound by T. Young,38-31, ,,2,38,31,7,848.0
9:44.0,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),41-31, ,,2,41,31,10,856.0
9:21.0, ,41-33,C. Porter makes 2-pt jump shot from 15 ft (assist by I. Okoro),,2,41,33,8,879.0
9:07.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by O. Okongwu),43-33, ,,2,43,33,10,893.0
8:53.0, ,43-33,Turnover by C. Porter (bad pass; steal by S. Bey),,2,43,33,10,907.0
8:50.0,S. Bey makes 2-pt layup from 1 ft,45-33, ,,2,45,33,12,910.0
8:50.0, ,45-33,Cleveland full timeout,,2,45,33,12,910.0
8:50.0,A. Griffin enters the game for S. Bey,45-33, ,,2,45,33,12,910.0
8:50.0,D. Hunter enters the game for W. Matthews,45-33, ,,2,45,33,12,910.0
8:50.0, ,45-33,C. LeVert enters the game for J. Allen,,2,45,33,12,910.0
8:50.0, ,45-33,E. Mobley enters the game for I. Okoro,,2,45,33,12,910.0
8:50.0, ,45-33,M. Strus enters the game for C. Porter,,2,45,33,12,910.0
8:36.0, ,45-36,G. Niang makes 3-pt jump shot from 23 ft (assist by M. Strus),,2,45,36,9,924.0
8:12.0,T. Young misses 2-pt jump shot from 15 ft,45-36, ,,2,45,36,9,948.0
8:09.0, ,45-36,Defensive rebound by E. Mobley,,2,45,36,9,951.0
8:04.0, ,45-38,G. Niang makes 2-pt jump shot from 15 ft (assist by E. Mobley),,2,45,38,7,956.0
7:35.0,O. Okongwu misses 2-pt layup from 3 ft,45-38, ,,2,45,38,7,985.0
7:33.0, ,45-38,Defensive rebound by G. Niang,,2,45,38,7,987.0
7:26.0, ,45-41,M. Strus makes 3-pt jump shot from 31 ft (assist by G. Niang),,2,45,41,4,994.0
7:25.0,Atlanta full timeout,45-41, ,,2,45,41,4,995.0
7:25.0,D. Murray enters the game for T. Young,45-41, ,,2,45,41,4,995.0
7:05.0,D. Hunter makes 2-pt jump shot from 7 ft (assist by O. Okongwu),47-41, ,,2,47,41,6,1015.0
6:56.0, ,47-41,Turnover by C. LeVert (lost ball; steal by B. Bogdanović),,2,47,41,6,1024.0
6:53.0,Shooting foul by E. Mobley (drawn by D. Hunter),47-41, ,,2,47,41,6,1027.0
6:53.0,D. Hunter makes free throw 1 of 2,48-41, ,,2,48,41,7,1027.0
6:53.0, ,48-41,D. Mitchell enters the game for D. Garland,,2,48,41,7,1027.0
6:53.0,D. Hunter makes free throw 2 of 2,49-41, ,,2,49,41,8,1027.0
6:37.0, ,49-41,M. Strus misses 3-pt jump shot from 26 ft,,2,49,41,8,1043.0
6:33.0,Defensive rebound by D. Hunter,49-41, ,,2,49,41,8,1047.0
6:25.0,D. Hunter makes 2-pt jump shot from 13 ft,51-41, ,,2,51,41,10,1055.0
6:03.0, ,51-41,Shooting foul by D. Hunter (drawn by G. Niang),,2,51,41,10,1077.0
6:03.0, ,51-42,G. Niang makes free throw 1 of 2,,2,51,42,9,1077.0
6:03.0,S. Bey enters the game for D. Hunter,51-42, ,,2,51,42,9,1077.0
6:03.0, ,51-43,G. Niang makes free throw 2 of 2,,2,51,43,8,1077.0
5:53.0,A. Griffin misses 3-pt jump shot from 26 ft,51-43, ,,2,51,43,8,1087.0
5:46.0, ,51-43,Defensive rebound by D. Mitchell,,2,51,43,8,1094.0
5:44.0, ,51-45,D. Mitchell makes 2-pt layup from 1 ft,,2,51,45,6,1096.0
5:44.0, ,51-45,Shooting foul by A. Griffin (drawn by D. Mitchell),,2,51,45,6,1096.0
5:44.0, ,51-45,D. Garland enters the game for G. Niang,,2,51,45,6,1096.0
5:44.0, ,51-46,D. Mitchell makes free throw 1 of 1,,2,51,46,5,1096.0
5:24.0,D. Murray misses 2-pt jump shot from 16 ft,51-46, ,,2,51,46,5,1116.0
5:22.0,Offensive rebound by O. Okongwu,51-46, ,,2,51,46,5,1118.0
5:22.0,Shooting foul by C. LeVert (drawn by O. Okongwu),51-46, ,,2,51,46,5,1118.0
5:22.0,O. Okongwu makes free throw 1 of 2,52-46, ,,2,52,46,6,1118.0
5:22.0,W. Matthews enters the game for A. Griffin,52-46, ,,2,52,46,6,1118.0
5:22.0,O. Okongwu makes free throw 2 of 2,53-46, ,,2,53,46,7,1118.0
5:10.0, ,53-46,D. Mitchell misses 3-pt jump shot from 27 ft,,2,53,46,7,1130.0
5:07.0,Defensive rebound by D. Murray,53-46, ,,2,53,46,7,1133.0
5:07.0,C. Capela enters the game for B. Bogdanović,53-46, ,,2,53,46,7,1133.0
5:07.0,T. Young enters the game for O. Okongwu,53-46, ,,2,53,46,7,1133.0
4:55.0,W. Matthews misses 3-pt jump shot from 23 ft,53-46, ,,2,53,46,7,1145.0
4:51.0, ,53-46,Defensive rebound by E. Mobley,,2,53,46,7,1149.0
4:47.0, ,53-46,Shooting foul by T. Young (drawn by D. Mitchell),,2,53,46,7,1153.0
4:47.0, ,53-47,D. Mitchell makes free throw 1 of 2,,2,53,47,6,1153.0
4:47.0, ,53-48,D. Mitchell makes free throw 2 of 2,,2,53,48,5,1153.0
4:36.0,C. Capela misses 2-pt dunk from 2 ft (block by E. Mobley),53-48, ,,2,53,48,5,1164.0
4:33.0,Offensive rebound by C. Capela,53-48, ,,2,53,48,5,1167.0
4:32.0,Turnover by C. Capela (bad pass; steal by D. Mitchell),53-48, ,,2,53,48,5,1168.0
4:26.0, ,53-51,D. Mitchell makes 3-pt jump shot from 26 ft,,2,53,51,2,1174.0
4:26.0,Atlanta full timeout,53-51, ,,2,53,51,2,1174.0
4:26.0,B. Bogdanović enters the game for W. Matthews,53-51, ,,2,53,51,2,1174.0
4:07.0,B. Bogdanović misses 3-pt jump shot from 35 ft,53-51, ,,2,53,51,2,1193.0
4:04.0, ,53-51,Defensive rebound by M. Strus,,2,53,51,2,1196.0
3:55.0, ,53-51,C. LeVert misses 3-pt jump shot from 25 ft,,2,53,51,2,1205.0
3:51.0, ,53-51,Offensive rebound by D. Garland,,2,53,51,2,1209.0
3:48.0, ,53-51,D. Mitchell misses 3-pt jump shot from 27 ft,,2,53,51,2,1212.0
3:47.0, ,53-51,Offensive rebound by M. Strus,,2,53,51,2,1213.0
3:47.0, ,53-51,M. Strus misses 2-pt layup from 2 ft,,2,53,51,2,1213.0
3:46.0, ,53-51,Offensive rebound by E. Mobley,,2,53,51,2,1214.0
3:37.0, ,53-53,E. Mobley makes 2-pt jump shot from 16 ft (assist by M. Strus),Tie,2,53,53,0,1223.0
3:20.0,Turnover by D. Murray (bad pass; steal by C. LeVert),53-53, ,,2,53,53,0,1240.0
3:15.0, ,53-55,D. Garland makes 2-pt layup from 1 ft,Lead change,2,53,55,-2,1245.0
3:01.0,Personal foul by D. Garland (drawn by T. Young),53-55, ,,2,53,55,-2,1259.0
2:56.0,T. Young misses 3-pt jump shot from 34 ft,53-55, ,,2,53,55,-2,1264.0
2:54.0, ,53-55,Defensive rebound by E. Mobley,,2,53,55,-2,1266.0
2:46.0, ,53-58,E. Mobley makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,2,53,58,-5,1274.0
2:27.0,C. Capela makes 2-pt dunk from 1 ft (assist by S. Bey),55-58, ,,2,55,58,-3,1293.0
2:12.0, ,55-60,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Mitchell),,2,55,60,-5,1308.0
2:00.0,B. Bogdanović misses 3-pt jump shot from 27 ft,55-60, ,,2,55,60,-5,1320.0
1:58.0,Offensive rebound by S. Bey,55-60, ,,2,55,60,-5,1322.0
1:55.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Bey),58-60, ,,2,58,60,-2,1325.0
1:35.0, ,58-60,D. Garland misses 2-pt layup from 1 ft (block by C. Capela),,2,58,60,-2,1345.0
1:31.0, ,58-60,Offensive rebound by E. Mobley,,2,58,60,-2,1349.0
1:30.0, ,58-60,E. Mobley misses 2-pt layup from 3 ft,,2,58,60,-2,1350.0
1:30.0,Defensive rebound by B. Bogdanović,58-60, ,,2,58,60,-2,1350.0
1:30.0,Turnover by B. Bogdanović (lost ball; steal by D. Garland),58-60, ,,2,58,60,-2,1350.0
1:30.0, ,58-62,D. Garland makes 2-pt layup from 3 ft,,2,58,62,-4,1350.0
1:08.0,B. Bogdanović misses 2-pt layup from 2 ft,58-62, ,,2,58,62,-4,1372.0
1:07.0,Offensive rebound by C. Capela,58-62, ,,2,58,62,-4,1373.0
1:06.0,C. Capela misses 2-pt layup from 2 ft (block by E. Mobley),58-62, ,,2,58,62,-4,1374.0
1:05.0, ,58-62,Defensive rebound by D. Mitchell,,2,58,62,-4,1375.0
1:03.0, ,58-62,Personal foul by S. Bey (drawn by D. Mitchell),,2,58,62,-4,1377.0
1:03.0, ,58-63,D. Mitchell makes free throw 1 of 2,,2,58,63,-5,1377.0
1:03.0, ,58-64,D. Mitchell makes free throw 2 of 2,,2,58,64,-6,1377.0
0:47.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),61-64, ,,2,61,64,-3,1393.0
0:32.0, ,61-64,Turnover by D. Mitchell (bad pass; steal by C. Capela),,2,61,64,-3,1408.0
0:27.0,Turnover by C. Capela (bad pass; steal by D. Mitchell),61-64, ,,2,61,64,-3,1413.0
0:26.0, ,61-64,Turnover by D. Mitchell (bad pass),,2,61,64,-3,1414.0
0:26.0, ,61-64,I. Okoro enters the game for D. Garland,,2,61,64,-3,1414.0
0:04.0,T. Young misses 2-pt layup from 4 ft (block by E. Mobley),61-64, ,,2,61,64,-3,1436.0
0:00.0,Offensive rebound by B. Bogdanović,61-64, ,,2,61,64,-3,1440.0
0:00.0,B. Bogdanović misses 2-pt jump shot from 22 ft,61-64, ,,2,61,64,-3,1440.0
0:00.0,Offensive rebound by C. Capela,61-64, ,,2,61,64,-3,1440.0
0:00.0,End of 2nd quarter,61-64,,,2,61,64,-3,1440.0
12:00.0,Start of 3rd quarter,61-64,,,3,61,64,-3,1440.0
11:38.0, ,61-67,D. Mitchell makes 3-pt jump shot from 25 ft,,3,61,67,-6,1462.0
11:22.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),63-67, ,,3,63,67,-4,1478.0
11:12.0, ,63-67,Turnover by D. Mitchell (bad pass; steal by D. Murray),,3,63,67,-4,1488.0
11:03.0,D. Hunter misses 2-pt jump shot from 8 ft,63-67, ,,3,63,67,-4,1497.0
11:03.0, ,63-67,Defensive rebound by Team,,3,63,67,-4,1497.0
10:52.0, ,63-67,D. Mitchell misses 3-pt jump shot from 26 ft,,3,63,67,-4,1508.0
10:49.0,Defensive rebound by S. Bey,63-67, ,,3,63,67,-4,1511.0
10:36.0,D. Murray misses 2-pt jump shot from 13 ft,63-67, ,,3,63,67,-4,1524.0
10:34.0, ,63-67,Defensive rebound by E. Mobley,,3,63,67,-4,1526.0
10:23.0, ,63-69,D. Mitchell makes 2-pt layup from 2 ft,,3,63,69,-6,1537.0
9:56.0,D. Murray makes 3-pt jump shot from 23 ft (assist by D. Hunter),66-69, ,,3,66,69,-3,1564.0
9:23.0, ,66-72,D. Mitchell makes 3-pt jump shot from 25 ft (assist by M. Strus),,3,66,72,-6,1597.0
9:03.0,D. Murray misses 3-pt jump shot from 25 ft,66-72, ,,3,66,72,-6,1617.0
9:02.0, ,66-72,Defensive rebound by Team,,3,66,72,-6,1618.0
9:02.0,Loose ball foul by C. Capela (drawn by J. Allen),66-72, ,,3,66,72,-6,1618.0
8:51.0, ,66-72,D. Mitchell misses 2-pt jump shot from 14 ft,,3,66,72,-6,1629.0
8:47.0,Defensive rebound by S. Bey,66-72, ,,3,66,72,-6,1633.0
8:43.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),68-72, ,,3,68,72,-4,1637.0
8:30.0, ,68-72,Shooting foul by T. Young (drawn by D. Garland),,3,68,72,-4,1650.0
8:30.0, ,68-73,D. Garland makes free throw 1 of 2,,3,68,73,-5,1650.0
8:30.0, ,68-74,D. Garland makes free throw 2 of 2,,3,68,74,-6,1650.0
8:15.0,T. Young misses 3-pt jump shot from 34 ft,68-74, ,,3,68,74,-6,1665.0
8:11.0, ,68-74,Defensive rebound by E. Mobley,,3,68,74,-6,1669.0
8:10.0, ,68-74,M. Strus misses 2-pt layup from 1 ft,,3,68,74,-6,1670.0
8:08.0, ,68-74,Offensive rebound by M. Strus,,3,68,74,-6,1672.0
8:01.0, ,68-76,M. Strus makes 2-pt layup from 2 ft,,3,68,76,-8,1679.0
7:52.0,S. Bey makes 2-pt jump shot from 15 ft,70-76, ,,3,70,76,-6,1688.0
7:37.0, ,70-76,E. Mobley misses 2-pt hook shot from 5 ft,,3,70,76,-6,1703.0
7:31.0, ,70-76,Offensive rebound by J. Allen,,3,70,76,-6,1709.0
7:31.0, ,70-78,J. Allen makes 2-pt layup at rim,,3,70,78,-8,1709.0
7:26.0,Turnover by T. Young (bad pass),70-78, ,,3,70,78,-8,1714.0
7:10.0, ,70-81,M. Strus makes 3-pt jump shot from 24 ft (assist by D. Garland),,3,70,81,-11,1730.0
7:00.0,Personal foul by E. Mobley (drawn by D. Hunter),70-81, ,,3,70,81,-11,1740.0
7:00.0,B. Bogdanović enters the game for T. Young,70-81, ,,3,70,81,-11,1740.0
6:56.0,Personal foul by M. Strus (drawn by D. Murray),70-81, ,,3,70,81,-11,1744.0
6:56.0, ,70-81,Cleveland full timeout,,3,70,81,-11,1744.0
6:44.0,B. Bogdanović misses 2-pt layup from 1 ft,70-81, ,,3,70,81,-11,1756.0
6:41.0, ,70-81,Defensive rebound by E. Mobley,,3,70,81,-11,1759.0
6:37.0, ,70-83,D. Mitchell makes 2-pt layup from 1 ft (assist by M. Strus),,3,70,83,-13,1763.0
6:21.0,D. Hunter misses 3-pt jump shot from 27 ft,70-83, ,,3,70,83,-13,1779.0
6:17.0, ,70-83,Defensive rebound by J. Allen,,3,70,83,-13,1783.0
6:08.0, ,70-85,D. Mitchell makes 2-pt jump shot from 11 ft,,3,70,85,-15,1792.0
5:54.0,D. Murray misses 2-pt jump shot from 14 ft,70-85, ,,3,70,85,-15,1806.0
5:52.0,Offensive rebound by C. Capela,70-85, ,,3,70,85,-15,1808.0
5:46.0,S. Bey misses 3-pt jump shot from 23 ft,70-85, ,,3,70,85,-15,1814.0
5:44.0,Offensive rebound by D. Murray,70-85, ,,3,70,85,-15,1816.0
5:35.0,S. Bey makes 2-pt hook shot from 7 ft,72-85, ,,3,72,85,-13,1825.0
5:29.0, ,72-85,Personal foul by S. Bey (drawn by D. Mitchell),,3,72,85,-13,1831.0
5:29.0,A. Griffin enters the game for S. Bey,72-85, ,,3,72,85,-13,1831.0
5:29.0,O. Okongwu enters the game for C. Capela,72-85, ,,3,72,85,-13,1831.0
5:29.0, ,72-85,C. LeVert enters the game for J. Allen,,3,72,85,-13,1831.0
5:29.0, ,72-85,G. Niang enters the game for D. Garland,,3,72,85,-13,1831.0
