Time,Atlanta,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:21.0, ,46-49,S. Curry misses 2-pt jump shot from 17 ft,,2,46,49,-3,1059.0
6:17.0,Defensive rebound by C. Capela,46-49, ,,2,46,49,-3,1063.0
6:06.0,O. Okongwu misses 3-pt jump shot from 23 ft,46-49, ,,2,46,49,-3,1074.0
6:04.0, ,46-49,Defensive rebound by Team,,2,46,49,-3,1076.0
6:04.0,S. Bey enters the game for P. Mills,46-49, ,,2,46,49,-3,1076.0
6:04.0, ,46-49,D. Green enters the game for T. Jackson-Davis,,2,46,49,-3,1076.0
5:55.0, ,46-51,B. Podziemski makes 2-pt layup from 4 ft (assist by A. Wiggins),,2,46,51,-5,1085.0
5:44.0,Turnover by O. Okongwu (traveling),46-51, ,,2,46,51,-5,1096.0
5:44.0,B. Bogdanović enters the game for G. Mathews,46-51, ,,2,46,51,-5,1096.0
5:44.0,J. Johnson enters the game for O. Okongwu,46-51, ,,2,46,51,-5,1096.0
5:34.0, ,46-54,D. Green makes 3-pt jump shot from 23 ft,,2,46,54,-8,1106.0
5:13.0,C. Capela makes 2-pt hook shot from 7 ft (assist by J. Johnson),48-54, ,,2,48,54,-6,1127.0
5:00.0, ,48-54,B. Podziemski misses 3-pt jump shot from 26 ft,,2,48,54,-6,1140.0
4:57.0,Defensive rebound by S. Bey,48-54, ,,2,48,54,-6,1143.0
4:55.0,S. Bey makes 2-pt layup from 6 ft,50-54, ,,2,50,54,-4,1145.0
4:55.0,Shooting foul by B. Podziemski (drawn by S. Bey),50-54, ,,2,50,54,-4,1145.0
4:55.0, ,50-54,K. Thompson enters the game for B. Podziemski,,2,50,54,-4,1145.0
4:55.0,S. Bey makes free throw 1 of 1,51-54, ,,2,51,54,-3,1145.0
4:44.0, ,51-54,S. Curry misses 2-pt jump shot from 18 ft,,2,51,54,-3,1156.0
4:40.0, ,51-54,Offensive rebound by D. Green,,2,51,54,-3,1160.0
4:39.0, ,51-54,A. Wiggins misses 3-pt jump shot from 27 ft,,2,51,54,-3,1161.0
4:36.0,Defensive rebound by J. Johnson,51-54, ,,2,51,54,-3,1164.0
