Time,Atlanta,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:19.0,Defensive rebound by J. Johnson,65-98, ,,3,65,98,-33,1721.0
7:14.0,T. Young misses 3-pt jump shot from 29 ft,65-98, ,,3,65,98,-33,1726.0
7:09.0,Offensive rebound by J. Johnson,65-98, ,,3,65,98,-33,1731.0
7:09.0,J. Johnson misses 2-pt layup at rim,65-98, ,,3,65,98,-33,1731.0
7:08.0, ,65-98,Defensive rebound by A. Nesmith,,3,65,98,-33,1732.0
7:03.0, ,65-98,A. Nesmith misses 2-pt layup from 4 ft (block by C. Capela),,3,65,98,-33,1737.0
7:03.0, ,65-98,Offensive rebound by M. Turner,,3,65,98,-33,1737.0
6:59.0, ,65-98,A. Nesmith misses 2-pt layup from 2 ft,,3,65,98,-33,1741.0
6:55.0,Defensive rebound by C. Capela,65-98, ,,3,65,98,-33,1745.0
6:49.0,D. Murray makes 2-pt jump shot from 12 ft,67-98, ,,3,67,98,-31,1751.0
6:31.0, ,67-98,Shooting foul by J. Johnson (drawn by M. Turner),,3,67,98,-31,1769.0
6:31.0, ,67-99,M. Turner makes free throw 1 of 2,,3,67,99,-32,1769.0
6:31.0,B. Bogdanović enters the game for C. Capela,67-99, ,,3,67,99,-32,1769.0
6:31.0,T. Forrest enters the game for J. Johnson,67-99, ,,3,67,99,-32,1769.0
6:31.0,O. Okongwu enters the game for T. Young,67-99, ,,3,67,99,-32,1769.0
6:31.0, ,67-100,M. Turner makes free throw 2 of 2,,3,67,100,-33,1769.0
6:24.0,Turnover by S. Bey (step out of bounds),67-100, ,,3,67,100,-33,1776.0
6:14.0, ,67-102,M. Turner makes 2-pt layup from 1 ft (assist by T. Haliburton),,3,67,102,-35,1786.0
5:58.0,T. Forrest misses 3-pt jump shot from 23 ft,67-102, ,,3,67,102,-35,1802.0
5:53.0, ,67-102,Defensive rebound by M. Turner,,3,67,102,-35,1807.0
