Time,Atlanta,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:21.0,B. Bogdanović misses 3-pt jump shot from 23 ft,14-9, ,,1,14,9,5,279.0
7:17.0, ,14-9,Defensive rebound by B. Hield,,1,14,9,5,283.0
7:06.0, ,14-9,T. Harris misses 3-pt jump shot from 26 ft,,1,14,9,5,294.0
7:03.0, ,14-9,Offensive rebound by P. Reed,,1,14,9,5,297.0
6:58.0, ,14-11,P. Reed makes 2-pt jump shot from 11 ft (assist by C. Payne),,1,14,11,3,302.0
6:58.0, ,14-11,Shooting foul by O. Okongwu (drawn by P. Reed),,1,14,11,3,302.0
6:58.0, ,14-11,Philadelphia full timeout,,1,14,11,3,302.0
6:58.0,T. Forrest enters the game for T. Young,14-11, ,,1,14,11,3,302.0
6:58.0, ,14-12,P. Reed makes free throw 1 of 1,,1,14,12,2,302.0
6:36.0,B. Bogdanović misses 2-pt jump shot from 9 ft,14-12, ,,1,14,12,2,324.0
6:32.0,Offensive rebound by O. Okongwu,14-12, ,,1,14,12,2,328.0
6:32.0,O. Okongwu makes 2-pt layup at rim,16-12, ,,1,16,12,4,328.0
6:19.0, ,16-15,T. Harris makes 3-pt jump shot from 23 ft (assist by P. Reed),,1,16,15,1,341.0
6:02.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by J. Johnson),18-15, ,,1,18,15,3,358.0
5:45.0, ,18-15,T. Harris misses 2-pt layup from 1 ft,,1,18,15,3,375.0
5:45.0, ,18-15,Offensive rebound by Team,,1,18,15,3,375.0
5:45.0,D. Hunter enters the game for J. Johnson,18-15, ,,1,18,15,3,375.0
5:42.0, ,18-15,B. Hield misses 3-pt jump shot from 27 ft,,1,18,15,3,378.0
5:37.0, ,18-15,Offensive rebound by C. Payne,,1,18,15,3,383.0
5:37.0, ,18-17,C. Payne makes 2-pt layup at rim,,1,18,17,1,383.0
5:23.0,S. Bey misses 2-pt layup from 4 ft,18-17, ,,1,18,17,1,397.0
5:19.0,Offensive rebound by S. Bey,18-17, ,,1,18,17,1,401.0
5:19.0,S. Bey misses 2-pt layup at rim,18-17, ,,1,18,17,1,401.0
5:18.0, ,18-17,Defensive rebound by T. Harris,,1,18,17,1,402.0
5:08.0, ,18-17,C. Payne misses 2-pt jump shot from 11 ft,,1,18,17,1,412.0
5:06.0,Defensive rebound by S. Bey,18-17, ,,1,18,17,1,414.0
4:59.0,D. Hunter misses 2-pt layup from 3 ft,18-17, ,,1,18,17,1,421.0
4:57.0,Offensive rebound by S. Bey,18-17, ,,1,18,17,1,423.0
4:56.0,S. Bey makes 2-pt layup from 4 ft,20-17, ,,1,20,17,3,424.0
4:39.0, ,20-19,P. Reed makes 2-pt jump shot from 17 ft,,1,20,19,1,441.0
4:20.0,Shooting foul by B. Hield (drawn by S. Bey),20-19, ,,1,20,19,1,460.0
4:20.0,S. Bey makes free throw 1 of 2,21-19, ,,1,21,19,2,460.0
4:20.0,G. Mathews enters the game for B. Bogdanović,21-19, ,,1,21,19,2,460.0
4:20.0, ,21-19,M. Bamba enters the game for B. Hield,,1,21,19,2,460.0
4:20.0, ,21-19,K. Martin enters the game for C. Payne,,1,21,19,2,460.0
4:20.0, ,21-19,T. Smith enters the game for P. Reed,,1,21,19,2,460.0
4:20.0,S. Bey makes free throw 2 of 2,22-19, ,,1,22,19,3,460.0
4:10.0, ,22-19,Turnover by T. Smith (bad pass),,1,22,19,3,470.0
3:48.0,D. Hunter misses 3-pt jump shot from 27 ft,22-19, ,,1,22,19,3,492.0
3:46.0,Offensive rebound by O. Okongwu,22-19, ,,1,22,19,3,494.0
3:42.0,G. Mathews makes 3-pt jump shot from 26 ft (assist by T. Forrest),25-19, ,,1,25,19,6,498.0
3:23.0, ,25-19,T. Smith misses 3-pt jump shot from 26 ft,,1,25,19,6,517.0
3:20.0,Defensive rebound by O. Okongwu,25-19, ,,1,25,19,6,520.0
3:09.0,O. Okongwu makes 2-pt jump shot from 9 ft (assist by T. Forrest),27-19, ,,1,27,19,8,531.0
2:59.0, ,27-19,Personal foul by G. Mathews (drawn by T. Smith),,1,27,19,8,541.0
2:59.0,Atlanta full timeout,27-19, ,,1,27,19,8,541.0
2:59.0,B. Fernando enters the game for S. Bey,27-19, ,,1,27,19,8,541.0
2:59.0,J. Johnson enters the game for T. Forrest,27-19, ,,1,27,19,8,541.0
2:59.0,T. Young enters the game for O. Okongwu,27-19, ,,1,27,19,8,541.0
2:59.0, ,27-19,B. Hield enters the game for T. Harris,,1,27,19,8,541.0
2:53.0, ,27-19,K. Oubre misses 3-pt jump shot from 23 ft,,1,27,19,8,547.0
2:49.0, ,27-19,Offensive rebound by K. Oubre,,1,27,19,8,551.0
2:47.0, ,27-19,Shooting foul by B. Fernando (drawn by K. Oubre),,1,27,19,8,553.0
2:47.0, ,27-20,K. Oubre makes free throw 1 of 2,,1,27,20,7,553.0
2:47.0, ,27-20,K. Oubre misses free throw 2 of 2,,1,27,20,7,553.0
2:44.0,Defensive rebound by B. Fernando,27-20, ,,1,27,20,7,556.0
2:34.0,Shooting foul by M. Bamba (drawn by D. Hunter),27-20, ,,1,27,20,7,566.0
2:34.0,D. Hunter makes free throw 1 of 2,28-20, ,,1,28,20,8,566.0
2:34.0,D. Hunter makes free throw 2 of 2,29-20, ,,1,29,20,9,566.0
2:23.0, ,29-23,T. Smith makes 3-pt jump shot from 29 ft (assist by B. Hield),,1,29,23,6,577.0
2:10.0,T. Young misses 3-pt jump shot from 28 ft,29-23, ,,1,29,23,6,590.0
2:08.0, ,29-23,Defensive rebound by K. Martin,,1,29,23,6,592.0
2:01.0, ,29-23,B. Hield misses 3-pt jump shot from 27 ft,,1,29,23,6,599.0
1:58.0,Defensive rebound by J. Johnson,29-23, ,,1,29,23,6,602.0
1:48.0,Personal foul by K. Martin (drawn by B. Fernando),29-23, ,,1,29,23,6,612.0
1:48.0, ,29-23,P. Reed enters the game for M. Bamba,,1,29,23,6,612.0
1:46.0,T. Young makes 2-pt jump shot from 13 ft (assist by J. Johnson),31-23, ,,1,31,23,8,614.0
1:46.0,Shooting foul by K. Oubre (drawn by T. Young),31-23, ,,1,31,23,8,614.0
1:46.0,T. Young makes free throw 1 of 1,32-23, ,,1,32,23,9,614.0
1:35.0, ,32-23,K. Oubre misses 3-pt jump shot from 27 ft,,1,32,23,9,625.0
1:33.0,Defensive rebound by G. Mathews,32-23, ,,1,32,23,9,627.0
1:25.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by J. Johnson),35-23, ,,1,35,23,12,635.0
1:13.0, ,35-23,T. Smith misses 3-pt jump shot from 25 ft,,1,35,23,12,647.0
1:09.0,Defensive rebound by J. Johnson,35-23, ,,1,35,23,12,651.0
0:59.0,B. Fernando makes 2-pt layup at rim (assist by T. Young),37-23, ,,1,37,23,14,661.0
0:45.0, ,37-23,Offensive foul by P. Reed (drawn by G. Mathews),,1,37,23,14,675.0
0:45.0, ,37-23,Turnover by P. Reed (offensive foul),,1,37,23,14,675.0
0:29.0,J. Johnson misses 2-pt layup from 1 ft,37-23, ,,1,37,23,14,691.0
0:26.0, ,37-23,Defensive rebound by B. Hield,,1,37,23,14,694.0
0:19.0, ,37-23,B. Hield misses 2-pt layup from 2 ft,,1,37,23,14,701.0
0:19.0, ,37-23,Offensive rebound by P. Reed,,1,37,23,14,701.0
0:19.0, ,37-25,P. Reed makes 2-pt layup at rim,,1,37,25,12,701.0
0:19.0, ,37-25,Shooting foul by J. Johnson (drawn by P. Reed),,1,37,25,12,701.0
0:19.0, ,37-25,R. Council enters the game for T. Smith,,1,37,25,12,701.0
0:19.0, ,37-26,P. Reed makes free throw 1 of 1,,1,37,26,11,701.0
0:02.0,Turnover by T. Young (out of bounds lost ball),37-26, ,,1,37,26,11,718.0
0:02.0, ,37-26,C. Payne enters the game for R. Council,,1,37,26,11,718.0
0:02.0, ,37-26,T. Smith enters the game for K. Martin,,1,37,26,11,718.0
0:00.0, ,37-26,C. Payne misses 2-pt jump shot from 8 ft (block by J. Johnson),,1,37,26,11,720.0
0:00.0, ,37-26,Offensive rebound by Team,,1,37,26,11,720.0
0:00.0,End of 1st quarter,37-26,,,1,37,26,11,720.0
12:00.0,Start of 2nd quarter,37-26,,,2,37,26,11,720.0
11:38.0, ,37-28,R. Council makes 2-pt jump shot from 17 ft (assist by B. Hield),,2,37,28,9,742.0
11:18.0,T. Young makes 3-pt jump shot from 27 ft (assist by G. Mathews),40-28, ,,2,40,28,12,762.0
11:04.0, ,40-30,C. Payne makes 2-pt jump shot from 6 ft,,2,40,30,10,776.0
10:52.0,Shooting foul by C. Payne (drawn by T. Young),40-30, ,,2,40,30,10,788.0
10:52.0,T. Young makes free throw 1 of 3,41-30, ,,2,41,30,11,788.0
10:52.0,T. Young makes free throw 2 of 3,42-30, ,,2,42,30,12,788.0
10:52.0,T. Young makes free throw 3 of 3,43-30, ,,2,43,30,13,788.0
10:35.0, ,43-30,C. Payne misses 2-pt jump shot from 12 ft,,2,43,30,13,805.0
10:33.0, ,43-30,Offensive rebound by P. Reed,,2,43,30,13,807.0
10:33.0, ,43-30,Shooting foul by G. Mathews (drawn by R. Council),,2,43,30,13,807.0
10:33.0, ,43-31,R. Council makes free throw 1 of 2,,2,43,31,12,807.0
10:33.0, ,43-32,R. Council makes free throw 2 of 2,,2,43,32,11,807.0
10:11.0,B. Fernando makes 2-pt dunk at rim (assist by D. Hunter),45-32, ,,2,45,32,13,829.0
9:58.0, ,45-32,R. Council misses 3-pt jump shot from 25 ft,,2,45,32,13,842.0
9:56.0, ,45-32,Offensive rebound by C. Payne,,2,45,32,13,844.0
9:54.0, ,45-32,B. Hield misses 3-pt jump shot from 27 ft,,2,45,32,13,846.0
9:51.0,Defensive rebound by B. Fernando,45-32, ,,2,45,32,13,849.0
9:33.0,T. Young misses 2-pt layup from 4 ft,45-32, ,,2,45,32,13,867.0
9:31.0, ,45-32,Defensive rebound by P. Reed,,2,45,32,13,869.0
9:28.0, ,45-32,C. Payne misses 3-pt jump shot from 26 ft,,2,45,32,13,872.0
9:26.0,Defensive rebound by D. Hunter,45-32, ,,2,45,32,13,874.0
9:24.0,Personal foul by C. Payne (drawn by T. Young),45-32, ,,2,45,32,13,876.0
9:13.0,B. Fernando makes 2-pt layup from 1 ft (assist by T. Young),47-32, ,,2,47,32,15,887.0
8:57.0, ,47-34,T. Harris makes 2-pt jump shot from 11 ft,,2,47,34,13,903.0
8:31.0,G. Mathews makes 2-pt jump shot from 2 ft (assist by T. Young),49-34, ,,2,49,34,15,929.0
8:23.0, ,49-34,R. Council misses 2-pt layup from 5 ft (block by B. Fernando),,2,49,34,15,937.0
8:23.0, ,49-34,Offensive rebound by Team,,2,49,34,15,937.0
8:23.0,B. Bogdanović enters the game for G. Mathews,49-34, ,,2,49,34,15,937.0
8:23.0,T. Forrest enters the game for T. Young,49-34, ,,2,49,34,15,937.0
8:18.0, ,49-36,P. Reed makes 2-pt layup from 1 ft (assist by T. Harris),,2,49,36,13,942.0
8:18.0, ,49-36,Shooting foul by B. Fernando (drawn by P. Reed),,2,49,36,13,942.0
8:18.0, ,49-36,P. Reed misses free throw 1 of 1,,2,49,36,13,942.0
8:16.0,Defensive rebound by J. Johnson,49-36, ,,2,49,36,13,944.0
7:58.0,D. Hunter misses 2-pt jump shot from 10 ft,49-36, ,,2,49,36,13,962.0
7:54.0, ,49-36,Defensive rebound by P. Reed,,2,49,36,13,966.0
7:38.0, ,49-36,T. Harris misses 2-pt layup from 4 ft (block by B. Fernando),,2,49,36,13,982.0
7:35.0,Defensive rebound by J. Johnson,49-36, ,,2,49,36,13,985.0
7:16.0,J. Johnson misses 2-pt jump shot from 4 ft,49-36, ,,2,49,36,13,1004.0
7:13.0, ,49-36,Defensive rebound by R. Council,,2,49,36,13,1007.0
7:10.0, ,49-36,B. Hield misses 3-pt jump shot from 26 ft,,2,49,36,13,1010.0
7:05.0, ,49-36,Offensive rebound by P. Reed,,2,49,36,13,1015.0
7:02.0, ,49-36,P. Reed misses 2-pt layup at rim,,2,49,36,13,1018.0
7:02.0, ,49-36,Offensive rebound by P. Reed,,2,49,36,13,1018.0
6:54.0, ,49-36,Turnover by C. Payne (traveling),,2,49,36,13,1026.0
6:54.0, ,49-36,Philadelphia full timeout,,2,49,36,13,1026.0
6:54.0,S. Bey enters the game for B. Fernando,49-36, ,,2,49,36,13,1026.0
6:54.0,O. Okongwu enters the game for J. Johnson,49-36, ,,2,49,36,13,1026.0
6:54.0, ,49-36,K. Oubre enters the game for R. Council,,2,49,36,13,1026.0
6:54.0,Violation by Team (delay of game),49-36, ,,2,49,36,13,1026.0
6:43.0,Turnover by T. Forrest (bad pass; steal by C. Payne),49-36, ,,2,49,36,13,1037.0
6:40.0, ,49-36,Shooting foul by T. Forrest (drawn by C. Payne),,2,49,36,13,1040.0
6:40.0, ,49-37,C. Payne makes free throw 1 of 2,,2,49,37,12,1040.0
6:40.0,T. Young enters the game for T. Forrest,49-37, ,,2,49,37,12,1040.0
6:40.0, ,49-37,K. Martin enters the game for T. Harris,,2,49,37,12,1040.0
6:40.0, ,49-38,C. Payne makes free throw 2 of 2,,2,49,38,11,1040.0
6:30.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),52-38, ,,2,52,38,14,1050.0
6:07.0, ,52-38,K. Oubre misses 2-pt layup from 4 ft,,2,52,38,14,1073.0
6:07.0, ,52-38,Offensive rebound by K. Oubre,,2,52,38,14,1073.0
6:07.0, ,52-38,Shooting foul by D. Hunter (drawn by K. Oubre),,2,52,38,14,1073.0
6:07.0, ,52-39,K. Oubre makes free throw 1 of 2,,2,52,39,13,1073.0
6:07.0, ,52-40,K. Oubre makes free throw 2 of 2,,2,52,40,12,1073.0
5:58.0,T. Young makes 3-pt jump shot from 29 ft,55-40, ,,2,55,40,15,1082.0
5:41.0, ,55-42,C. Payne makes 2-pt jump shot from 21 ft,,2,55,42,13,1099.0
5:18.0,Turnover by D. Hunter (step out of bounds),55-42, ,,2,55,42,13,1122.0
5:18.0,J. Johnson enters the game for D. Hunter,55-42, ,,2,55,42,13,1122.0
5:18.0, ,55-42,M. Bamba enters the game for P. Reed,,2,55,42,13,1122.0
4:55.0, ,55-42,Turnover by B. Hield (bad pass; steal by O. Okongwu),,2,55,42,13,1145.0
4:47.0,J. Johnson misses 2-pt layup from 5 ft (block by K. Oubre),55-42, ,,2,55,42,13,1153.0
4:44.0,Offensive rebound by B. Bogdanović,55-42, ,,2,55,42,13,1156.0
4:42.0,B. Bogdanović misses 2-pt layup from 4 ft (block by M. Bamba),55-42, ,,2,55,42,13,1158.0
4:41.0, ,55-42,Defensive rebound by K. Martin,,2,55,42,13,1159.0
4:38.0, ,55-42,Shooting foul by B. Bogdanović (drawn by K. Martin),,2,55,42,13,1162.0
4:38.0, ,55-42,K. Martin misses free throw 1 of 2,,2,55,42,13,1162.0
4:38.0, ,55-42,Offensive rebound by Team,,2,55,42,13,1162.0
4:38.0, ,55-42,T. Smith enters the game for C. Payne,,2,55,42,13,1162.0
4:38.0, ,55-43,K. Martin makes free throw 2 of 2,,2,55,43,12,1162.0
4:22.0,B. Bogdanović makes 2-pt hook shot from 4 ft,57-43, ,,2,57,43,14,1178.0
4:10.0, ,57-45,B. Hield makes 2-pt layup from 2 ft (assist by K. Oubre),,2,57,45,12,1190.0
4:03.0,O. Okongwu makes 2-pt dunk at rim (assist by B. Bogdanović),59-45, ,,2,59,45,14,1197.0
3:46.0, ,59-45,K. Oubre misses 3-pt jump shot from 28 ft,,2,59,45,14,1214.0
3:44.0, ,59-45,Offensive rebound by Team,,2,59,45,14,1216.0
3:34.0, ,59-47,K. Martin makes 2-pt layup from 1 ft (assist by M. Bamba),,2,59,47,12,1226.0
3:27.0,S. Bey misses 3-pt jump shot from 24 ft,59-47, ,,2,59,47,12,1233.0
3:25.0,Offensive rebound by B. Bogdanović,59-47, ,,2,59,47,12,1235.0
3:25.0,Personal foul by M. Bamba (drawn by B. Bogdanović),59-47, ,,2,59,47,12,1235.0
3:25.0,Atlanta full timeout,59-47, ,,2,59,47,12,1235.0
3:25.0, ,59-47,T. Harris enters the game for B. Hield,,2,59,47,12,1235.0
3:13.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by J. Johnson),62-47, ,,2,62,47,15,1247.0
2:50.0, ,62-47,T. Harris misses 2-pt jump shot from 6 ft,,2,62,47,15,1270.0
2:50.0,Defensive rebound by Team,62-47, ,,2,62,47,15,1270.0
2:45.0,B. Bogdanović misses 3-pt jump shot from 25 ft,62-47, ,,2,62,47,15,1275.0
2:42.0, ,62-47,Defensive rebound by K. Martin,,2,62,47,15,1278.0
2:40.0, ,62-47,Turnover by K. Martin (lost ball; steal by S. Bey),,2,62,47,15,1280.0
2:37.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by S. Bey),65-47, ,,2,65,47,18,1283.0
2:27.0, ,65-47,T. Smith misses 3-pt jump shot from 27 ft,,2,65,47,18,1293.0
2:24.0,Defensive rebound by O. Okongwu,65-47, ,,2,65,47,18,1296.0
2:15.0,O. Okongwu makes 2-pt hook shot from 3 ft (assist by B. Bogdanović),67-47, ,,2,67,47,20,1305.0
1:58.0, ,67-49,K. Oubre makes 2-pt layup from 5 ft,,2,67,49,18,1322.0
1:49.0,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),70-49, ,,2,70,49,21,1331.0
1:29.0, ,70-49,K. Oubre misses 2-pt layup from 4 ft,,2,70,49,21,1351.0
1:28.0, ,70-49,Offensive rebound by M. Bamba,,2,70,49,21,1352.0
1:26.0, ,70-52,T. Smith makes 3-pt jump shot from 23 ft (assist by M. Bamba),,2,70,52,18,1354.0
1:17.0,Turnover by O. Okongwu (step out of bounds),70-52, ,,2,70,52,18,1363.0
0:53.0, ,70-52,M. Bamba misses 2-pt jump shot from 9 ft,,2,70,52,18,1387.0
0:52.0, ,70-52,Offensive rebound by K. Martin,,2,70,52,18,1388.0
0:52.0, ,70-54,K. Martin makes 2-pt layup at rim,,2,70,54,16,1388.0
0:39.0,Turnover by T. Young (back court),70-54, ,,2,70,54,16,1401.0
0:39.0, ,70-54,C. Payne enters the game for K. Martin,,2,70,54,16,1401.0
0:30.0, ,70-54,M. Bamba misses 3-pt jump shot from 26 ft,,2,70,54,16,1410.0
0:27.0,Defensive rebound by J. Johnson,70-54, ,,2,70,54,16,1413.0
0:23.0,Turnover by J. Johnson (bad pass; steal by T. Smith),70-54, ,,2,70,54,16,1417.0
0:23.0, ,70-56,T. Smith makes 2-pt dunk from 1 ft,,2,70,56,14,1417.0
0:02.0,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),73-56, ,,2,73,56,17,1438.0
0:00.0,End of 2nd quarter,73-56,,,2,73,56,17,1440.0
12:00.0,Start of 3rd quarter,73-56,,,3,73,56,17,1440.0
11:42.0, ,73-56,Personal foul by J. Johnson (drawn by T. Harris),,3,73,56,17,1458.0
11:31.0, ,73-56,K. Oubre misses 2-pt jump shot from 9 ft,,3,73,56,17,1469.0
11:30.0, ,73-56,Offensive rebound by K. Oubre,,3,73,56,17,1470.0
11:28.0, ,73-58,K. Oubre makes 2-pt layup from 2 ft,,3,73,58,15,1472.0
11:17.0,T. Young misses 3-pt jump shot from 26 ft,73-58, ,,3,73,58,15,1483.0
11:16.0, ,73-58,Defensive rebound by Team,,3,73,58,15,1484.0
11:01.0, ,73-58,K. Oubre misses 2-pt layup from 4 ft (block by B. Bogdanović),,3,73,58,15,1499.0
11:01.0,Defensive rebound by Team,73-58, ,,3,73,58,15,1499.0
10:45.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by O. Okongwu),76-58, ,,3,76,58,18,1515.0
10:34.0, ,76-61,B. Hield makes 3-pt jump shot from 26 ft (assist by C. Payne),,3,76,61,15,1526.0
10:13.0,J. Johnson misses 3-pt jump shot from 25 ft,76-61, ,,3,76,61,15,1547.0
10:08.0,Offensive rebound by S. Bey,76-61, ,,3,76,61,15,1552.0
10:07.0,S. Bey makes 3-pt jump shot from 27 ft,79-61, ,,3,79,61,18,1553.0
9:47.0, ,79-61,B. Hield misses 2-pt layup from 1 ft (block by O. Okongwu),,3,79,61,18,1573.0
9:45.0,Defensive rebound by S. Bey,79-61, ,,3,79,61,18,1575.0
9:39.0,T. Young makes 2-pt jump shot from 17 ft,81-61, ,,3,81,61,20,1581.0
9:19.0, ,81-61,C. Payne misses 3-pt jump shot from 28 ft,,3,81,61,20,1601.0
9:19.0,Defensive rebound by T. Young,81-61, ,,3,81,61,20,1601.0
9:10.0,Turnover by T. Young (bad pass),81-61, ,,3,81,61,20,1610.0
8:56.0, ,81-64,C. Payne makes 3-pt jump shot from 26 ft,,3,81,64,17,1624.0
8:51.0,Turnover by T. Young (traveling),81-64, ,,3,81,64,17,1629.0
8:42.0, ,81-67,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Harris),,3,81,67,14,1638.0
8:31.0,Turnover by T. Young (bad pass; steal by C. Payne),81-67, ,,3,81,67,14,1649.0
8:26.0, ,81-67,B. Hield misses 3-pt jump shot from 28 ft,,3,81,67,14,1654.0
8:22.0,Defensive rebound by S. Bey,81-67, ,,3,81,67,14,1658.0
8:14.0,Shooting foul by T. Harris (drawn by S. Bey),81-67, ,,3,81,67,14,1666.0
8:14.0,S. Bey makes free throw 1 of 2,82-67, ,,3,82,67,15,1666.0
8:14.0,S. Bey makes free throw 2 of 2,83-67, ,,3,83,67,16,1666.0
7:57.0, ,83-67,Shooting foul by O. Okongwu (drawn by T. Harris),,3,83,67,16,1683.0
7:57.0, ,83-68,T. Harris makes free throw 1 of 2,,3,83,68,15,1683.0
7:57.0, ,83-68,T. Harris misses free throw 2 of 2,,3,83,68,15,1683.0
7:55.0,Defensive rebound by J. Johnson,83-68, ,,3,83,68,15,1685.0
7:43.0,T. Young misses 3-pt jump shot from 27 ft,83-68, ,,3,83,68,15,1697.0
7:40.0, ,83-68,Defensive rebound by B. Hield,,3,83,68,15,1700.0
7:39.0, ,83-68,Turnover by B. Hield (bad pass),,3,83,68,15,1701.0
7:19.0,O. Okongwu misses 3-pt jump shot from 24 ft,83-68, ,,3,83,68,15,1721.0
7:15.0,Offensive rebound by S. Bey,83-68, ,,3,83,68,15,1725.0
7:13.0,Shooting foul by P. Reed (drawn by S. Bey),83-68, ,,3,83,68,15,1727.0
7:13.0,S. Bey makes free throw 1 of 2,84-68, ,,3,84,68,16,1727.0
7:13.0,S. Bey makes free throw 2 of 2,85-68, ,,3,85,68,17,1727.0
6:59.0, ,85-68,Personal foul by B. Bogdanović (drawn by B. Hield),,3,85,68,17,1741.0
6:59.0, ,85-68,Philadelphia full timeout,,3,85,68,17,1741.0
6:59.0, ,85-68,K. Martin enters the game for K. Oubre,,3,85,68,17,1741.0
6:45.0, ,85-68,K. Martin misses 2-pt layup from 2 ft (block by O. Okongwu),,3,85,68,17,1755.0
6:45.0, ,85-68,Offensive rebound by Team,,3,85,68,17,1755.0
6:45.0, ,85-68,Turnover by Team (shot clock),,3,85,68,17,1755.0
6:31.0,J. Johnson makes 2-pt layup from 2 ft (assist by T. Young),87-68, ,,3,87,68,19,1769.0
6:21.0, ,87-70,P. Reed makes 2-pt dunk from 1 ft (assist by B. Hield),,3,87,70,17,1779.0
6:00.0,T. Young makes 3-pt jump shot from 27 ft,90-70, ,,3,90,70,20,1800.0
5:42.0, ,90-70,T. Harris misses 2-pt jump shot from 13 ft,,3,90,70,20,1818.0
5:42.0,Defensive rebound by Team,90-70, ,,3,90,70,20,1818.0
5:42.0,T. Forrest enters the game for J. Johnson,90-70, ,,3,90,70,20,1818.0
5:42.0,D. Hunter enters the game for T. Young,90-70, ,,3,90,70,20,1818.0
5:26.0,O. Okongwu makes 2-pt jump shot from 13 ft (assist by T. Forrest),92-70, ,,3,92,70,22,1834.0
5:16.0, ,92-73,T. Harris makes 3-pt jump shot from 27 ft (assist by C. Payne),,3,92,73,19,1844.0
5:00.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Forrest),95-73, ,,3,95,73,22,1860.0
4:42.0, ,95-76,C. Payne makes 3-pt jump shot from 28 ft (assist by T. Harris),,3,95,76,19,1878.0
4:25.0,S. Bey misses 2-pt layup from 4 ft (block by P. Reed),95-76, ,,3,95,76,19,1895.0
4:22.0, ,95-76,Defensive rebound by P. Reed,,3,95,76,19,1898.0
