Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:32.0,T. Young misses 3-pt jump shot from 31 ft,20-36, ,,1,20,36,-16,628.0
1:27.0, ,20-36,Defensive rebound by C. LeVert,,1,20,36,-16,633.0
1:24.0, ,20-38,C. LeVert makes 2-pt layup from 1 ft,,1,20,38,-18,636.0
1:24.0, ,20-38,Away from play foul by G. Mathews (drawn by J. Allen),,1,20,38,-18,636.0
1:24.0, ,20-39,J. Allen makes free throw 1 of 1,,1,20,39,-19,636.0
1:09.0,S. Bey makes 3-pt jump shot from 23 ft (assist by B. Fernando),23-39, ,,1,23,39,-16,651.0
0:55.0, ,23-39,S. Merrill misses 3-pt jump shot from 26 ft,,1,23,39,-16,665.0
0:53.0,Defensive rebound by B. Fernando,23-39, ,,1,23,39,-16,667.0
0:43.0,S. Bey misses 2-pt layup from 1 ft (block by J. Allen),23-39, ,,1,23,39,-16,677.0
0:39.0, ,23-39,Defensive rebound by S. Merrill,,1,23,39,-16,681.0
0:34.0, ,23-41,C. Porter makes 2-pt jump shot from 5 ft,,1,23,41,-18,686.0
0:30.0,T. Young makes 2-pt layup from 1 ft,25-41, ,,1,25,41,-16,690.0
0:09.0, ,25-41,Offensive foul by C. LeVert (drawn by G. Mathews),,1,25,41,-16,711.0
0:09.0, ,25-41,Turnover by C. LeVert (offensive foul),,1,25,41,-16,711.0
0:09.0, ,25-41,I. Okoro enters the game for S. Merrill,,1,25,41,-16,711.0
0:09.0, ,25-41,D. Wade enters the game for G. Niang,,1,25,41,-16,711.0
0:02.0,T. Young makes 3-pt jump shot from 25 ft,28-41, ,,1,28,41,-13,718.0
0:01.0, ,28-41,C. Porter misses 3-pt jump shot from 53 ft,,1,28,41,-13,719.0
0:00.0, ,28-41,Offensive rebound by Team,,1,28,41,-13,720.0
0:00.0,End of 1st quarter,28-41,,,1,28,41,-13,720.0
12:00.0,Start of 2nd quarter,28-41,,,2,28,41,-13,720.0
12:00.0,Violation by Team (delay of game),28-41, ,,2,28,41,-13,720.0
11:47.0,T. Young misses 2-pt jump shot from 5 ft,28-41, ,,2,28,41,-13,733.0
11:44.0, ,28-41,Defensive rebound by T. Thompson,,2,28,41,-13,736.0
11:30.0, ,28-41,C. Porter misses 2-pt layup at rim,,2,28,41,-13,750.0
11:29.0, ,28-41,Offensive rebound by C. Porter,,2,28,41,-13,751.0
11:26.0, ,28-44,S. Merrill makes 3-pt jump shot from 24 ft (assist by C. Porter),,2,28,44,-16,754.0
11:15.0,S. Bey misses 3-pt jump shot from 23 ft,28-44, ,,2,28,44,-16,765.0
11:14.0, ,28-44,Defensive rebound by Team,,2,28,44,-16,766.0
11:14.0,Loose ball foul by G. Mathews (drawn by C. Porter),28-44, ,,2,28,44,-16,766.0
10:52.0, ,28-44,C. LeVert misses 3-pt jump shot from 26 ft,,2,28,44,-16,788.0
10:52.0, ,28-44,Offensive rebound by Team,,2,28,44,-16,788.0
10:52.0,Loose ball foul by B. Fernando (drawn by T. Thompson),28-44, ,,2,28,44,-16,788.0
10:43.0, ,28-46,T. Thompson makes 2-pt dunk at rim (assist by S. Merrill),,2,28,46,-18,797.0
10:26.0,B. Fernando makes 2-pt hook shot from 6 ft (assist by T. Young),30-46, ,,2,30,46,-16,814.0
10:10.0, ,30-46,G. Niang misses 2-pt jump shot from 6 ft,,2,30,46,-16,830.0
10:07.0,Defensive rebound by T. Young,30-46, ,,2,30,46,-16,833.0
9:59.0,S. Bey misses 3-pt jump shot from 24 ft,30-46, ,,2,30,46,-16,841.0
9:56.0, ,30-46,Defensive rebound by C. LeVert,,2,30,46,-16,844.0
9:46.0, ,30-49,S. Merrill makes 3-pt jump shot from 25 ft (assist by C. LeVert),,2,30,49,-19,854.0
9:32.0,B. Fernando makes 2-pt hook shot from 6 ft (assist by T. Young),32-49, ,,2,32,49,-17,868.0
9:19.0, ,32-51,C. Porter makes 2-pt layup at rim,,2,32,51,-19,881.0
9:01.0,Personal foul by T. Thompson (drawn by T. Young),32-51, ,,2,32,51,-19,899.0
9:01.0,P. Mills enters the game for B. Fernando,32-51, ,,2,32,51,-19,899.0
9:01.0,O. Okongwu enters the game for W. Matthews,32-51, ,,2,32,51,-19,899.0
8:45.0,S. Bey misses 3-pt jump shot from 25 ft,32-51, ,,2,32,51,-19,915.0
8:41.0, ,32-51,Defensive rebound by C. LeVert,,2,32,51,-19,919.0
8:37.0, ,32-51,C. Porter misses 2-pt layup from 2 ft,,2,32,51,-19,923.0
8:33.0,Defensive rebound by P. Mills,32-51, ,,2,32,51,-19,927.0
8:31.0,Turnover by P. Mills (out of bounds lost ball),32-51, ,,2,32,51,-19,929.0
8:16.0, ,32-54,S. Merrill makes 3-pt jump shot from 26 ft (assist by G. Niang),,2,32,54,-22,944.0
8:00.0,T. Young misses 3-pt jump shot from 29 ft,32-54, ,,2,32,54,-22,960.0
8:00.0,Offensive rebound by Team,32-54, ,,2,32,54,-22,960.0
8:00.0, ,32-54,Loose ball foul by G. Niang (drawn by O. Okongwu),,2,32,54,-22,960.0
8:00.0,D. Murray enters the game for S. Bey,32-54, ,,2,32,54,-22,960.0
7:48.0,G. Mathews makes 3-pt jump shot from 28 ft (assist by P. Mills),35-54, ,,2,35,54,-19,972.0
7:30.0, ,35-54,C. LeVert misses 2-pt jump shot from 11 ft,,2,35,54,-19,990.0
7:30.0,Defensive rebound by Team,35-54, ,,2,35,54,-19,990.0
7:30.0, ,35-54,Loose ball foul by T. Thompson (drawn by O. Okongwu),,2,35,54,-19,990.0
7:30.0,T. Forrest enters the game for T. Young,35-54, ,,2,35,54,-19,990.0
7:30.0, ,35-54,D. Mitchell enters the game for C. Porter,,2,35,54,-19,990.0
7:14.0,T. Forrest misses 2-pt jump shot from 6 ft (block by C. LeVert),35-54, ,,2,35,54,-19,1006.0
7:10.0, ,35-54,Defensive rebound by T. Thompson,,2,35,54,-19,1010.0
7:00.0, ,35-54,S. Merrill misses 3-pt jump shot from 26 ft,,2,35,54,-19,1020.0
6:58.0, ,35-54,Offensive rebound by D. Mitchell,,2,35,54,-19,1022.0
6:56.0, ,35-54,C. LeVert misses 3-pt jump shot from 31 ft,,2,35,54,-19,1024.0
6:52.0,Defensive rebound by T. Forrest,35-54, ,,2,35,54,-19,1028.0
6:41.0,P. Mills misses 3-pt jump shot from 24 ft,35-54, ,,2,35,54,-19,1039.0
6:38.0, ,35-54,Defensive rebound by G. Niang,,2,35,54,-19,1042.0
6:29.0, ,35-54,Personal foul by P. Mills (drawn by D. Mitchell),,2,35,54,-19,1051.0
6:29.0, ,35-54,Cleveland full timeout,,2,35,54,-19,1051.0
6:29.0,D. Hunter enters the game for G. Mathews,35-54, ,,2,35,54,-19,1051.0
6:29.0, ,35-54,M. Strus enters the game for S. Merrill,,2,35,54,-19,1051.0
6:14.0, ,35-54,D. Mitchell misses 3-pt jump shot from 26 ft,,2,35,54,-19,1066.0
6:14.0, ,35-54,Offensive rebound by Team,,2,35,54,-19,1066.0
6:14.0,Loose ball foul by O. Okongwu (drawn by T. Thompson),35-54, ,,2,35,54,-19,1066.0
5:59.0, ,35-54,G. Niang misses 3-pt jump shot from 26 ft,,2,35,54,-19,1081.0
5:57.0,Defensive rebound by T. Forrest,35-54, ,,2,35,54,-19,1083.0
5:52.0,D. Murray misses 3-pt jump shot from 23 ft,35-54, ,,2,35,54,-19,1088.0
