Time,Oklahoma City,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:29.0,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,8-20, ,,1,20,8,12,391.0
5:27.0, ,8-20,Defensive rebound by T. Forrest,,1,20,8,12,393.0
5:17.0, ,8-20,D. Murray misses 3-pt jump shot from 26 ft,,1,20,8,12,403.0
5:13.0, ,8-20,Offensive rebound by C. Capela,,1,20,8,12,407.0
5:05.0, ,8-20,B. Bogdanović misses 2-pt jump shot from 22 ft,,1,20,8,12,415.0
5:02.0,Defensive rebound by J. Williams,8-20, ,,1,20,8,12,418.0
4:48.0,C. Wallace makes 3-pt jump shot from 24 ft (assist by L. Waters),11-20, ,,1,20,11,9,432.0
4:32.0, ,11-22,B. Bogdanović makes 2-pt jump shot from 9 ft,,1,22,11,11,448.0
4:18.0,Personal foul by D. Murray (drawn by S. Gilgeous-Alexander),11-22, ,,1,22,11,11,462.0
4:18.0,S. Gilgeous-Alexander makes free throw 1 of 2,12-22, ,,1,22,12,10,462.0
4:18.0, ,12-22,O. Okongwu enters the game for C. Capela,,1,22,12,10,462.0
4:18.0,S. Gilgeous-Alexander makes free throw 2 of 2,13-22, ,,1,22,13,9,462.0
4:07.0, ,13-25,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,25,13,12,473.0
3:49.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,13-25, ,,1,25,13,12,491.0
3:46.0, ,13-25,Defensive rebound by O. Okongwu,,1,25,13,12,494.0
3:35.0, ,13-27,O. Okongwu makes 2-pt layup from 4 ft (assist by B. Bogdanović),,1,27,13,14,505.0
3:19.0,I. Joe makes 2-pt layup from 1 ft (assist by C. Wallace),15-27, ,,1,27,15,12,521.0
3:09.0, ,15-27,Shooting foul by J. Williams (drawn by S. Bey),,1,27,15,12,531.0
3:09.0, ,15-28,S. Bey makes free throw 1 of 2,,1,28,15,13,531.0
3:09.0, ,15-28,T. Young enters the game for D. Murray,,1,28,15,13,531.0
3:09.0, ,15-29,S. Bey makes free throw 2 of 2,,1,29,15,14,531.0
2:57.0,I. Joe misses 3-pt jump shot from 24 ft,15-29, ,,1,29,15,14,543.0
2:54.0, ,15-29,Defensive rebound by S. Bey,,1,29,15,14,546.0
2:47.0, ,15-29,Turnover by T. Young (bad pass; steal by J. Williams),,1,29,15,14,553.0
2:45.0, ,15-29,Atlanta full timeout,,1,29,15,14,555.0
2:45.0,C. Holmgren enters the game for J. Williams,15-29, ,,1,29,15,14,555.0
2:45.0, ,15-29,G. Mathews enters the game for S. Bey,,1,29,15,14,555.0
2:37.0,C. Wallace makes 2-pt dunk at rim,17-29, ,,1,29,17,12,563.0
2:27.0, ,17-29,Personal foul by C. Wallace (drawn by T. Young),,1,29,17,12,573.0
2:27.0, ,17-30,T. Young makes free throw 1 of 2,,1,30,17,13,573.0
2:27.0, ,17-31,T. Young makes free throw 2 of 2,,1,31,17,14,573.0
2:12.0,C. Holmgren misses 2-pt jump shot from 12 ft,17-31, ,,1,31,17,14,588.0
2:09.0, ,17-31,Defensive rebound by T. Young,,1,31,17,14,591.0
2:03.0, ,17-33,T. Young makes 2-pt jump shot from 13 ft,,1,33,17,16,597.0
1:49.0,L. Waters misses 3-pt jump shot from 25 ft,17-33, ,,1,33,17,16,611.0
1:46.0,Offensive rebound by I. Joe,17-33, ,,1,33,17,16,614.0
