Time,Washington,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:19.0, ,5-6,Defensive rebound by J. Johnson,,1,6,5,1,221.0
8:10.0, ,5-6,J. Johnson misses 3-pt jump shot from 25 ft,,1,6,5,1,230.0
8:06.0, ,5-6,Offensive rebound by S. Bey,,1,6,5,1,234.0
8:06.0, ,5-6,Shooting foul by D. Avdija (drawn by S. Bey),,1,6,5,1,234.0
8:06.0, ,5-7,S. Bey makes free throw 1 of 2,,1,7,5,2,234.0
8:06.0, ,5-8,S. Bey makes free throw 2 of 2,,1,8,5,3,234.0
7:56.0,Turnover by J. Poole (bad pass; steal by S. Bey),5-8, ,,1,8,5,3,244.0
7:50.0, ,5-8,T. Young misses 3-pt jump shot from 29 ft,,1,8,5,3,250.0
7:47.0,Defensive rebound by K. Kuzma,5-8, ,,1,8,5,3,253.0
7:43.0,D. Avdija makes 2-pt dunk from 1 ft (assist by K. Kuzma),7-8, ,,1,8,7,1,257.0
7:17.0, ,7-8,S. Bey misses 2-pt layup from 4 ft,,1,8,7,1,283.0
7:13.0,Defensive rebound by D. Avdija,7-8, ,,1,8,7,1,287.0
7:12.0,Turnover by D. Avdija (lost ball; steal by S. Bey),7-8, ,,1,8,7,1,288.0
7:09.0, ,7-10,C. Capela makes 2-pt dunk at rim (assist by T. Young),,1,10,7,3,291.0
6:52.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by T. Jones),10-10, ,Tie,1,10,10,0,308.0
6:38.0, ,10-10,D. Murray misses 3-pt jump shot from 26 ft,,1,10,10,0,322.0
6:38.0, ,10-10,Offensive rebound by S. Bey,,1,10,10,0,322.0
6:34.0, ,10-10,S. Bey misses 2-pt layup at rim,,1,10,10,0,326.0
6:33.0,Defensive rebound by J. Poole,10-10, ,,1,10,10,0,327.0
6:26.0,K. Kuzma misses 3-pt jump shot from 26 ft,10-10, ,,1,10,10,0,334.0
6:24.0, ,10-10,Defensive rebound by Team,,1,10,10,0,336.0
6:24.0, ,10-10,Atlanta full timeout,,1,10,10,0,336.0
6:24.0,B. Coulibaly enters the game for D. Avdija,10-10, ,,1,10,10,0,336.0
6:24.0, ,10-10,B. Bogdanović enters the game for J. Johnson,,1,10,10,0,336.0
6:24.0, ,10-10,T. Forrest enters the game for T. Young,,1,10,10,0,336.0
6:08.0, ,10-12,T. Forrest makes 2-pt jump shot from 11 ft,,1,12,10,2,352.0
5:52.0,J. Poole makes 3-pt jump shot from 26 ft (assist by T. Jones),13-12, ,Lead change,1,12,13,-1,368.0
5:37.0, ,13-15,D. Murray makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),Lead change,1,15,13,2,383.0
5:24.0,B. Coulibaly makes 3-pt jump shot from 25 ft (assist by J. Poole),16-15, ,Lead change,1,15,16,-1,396.0
5:08.0, ,16-15,C. Capela misses 2-pt hook shot from 3 ft (block by B. Coulibaly),,1,15,16,-1,412.0
5:05.0,Defensive rebound by B. Coulibaly,16-15, ,,1,15,16,-1,415.0
5:00.0,J. Poole misses 3-pt jump shot from 28 ft,16-15, ,,1,15,16,-1,420.0
4:58.0,Offensive rebound by K. Kuzma,16-15, ,,1,15,16,-1,422.0
4:57.0,K. Kuzma makes 2-pt layup from 1 ft,18-15, ,,1,15,18,-3,423.0
4:39.0, ,18-17,D. Murray makes 2-pt jump shot from 7 ft,,1,17,18,-1,441.0
4:16.0,K. Kuzma makes 2-pt jump shot from 15 ft,20-17, ,,1,17,20,-3,464.0
3:54.0, ,20-17,S. Bey misses 3-pt jump shot from 23 ft,,1,17,20,-3,486.0
3:52.0,Defensive rebound by T. Jones,20-17, ,,1,17,20,-3,488.0
3:47.0,Shooting foul by T. Forrest (drawn by K. Kuzma),20-17, ,,1,17,20,-3,493.0
3:47.0,K. Kuzma makes free throw 1 of 2,21-17, ,,1,17,21,-4,493.0
3:47.0, ,21-17,J. Johnson enters the game for S. Bey,,1,17,21,-4,493.0
3:47.0, ,21-17,O. Okongwu enters the game for C. Capela,,1,17,21,-4,493.0
3:47.0, ,21-17,T. Young enters the game for D. Murray,,1,17,21,-4,493.0
3:47.0,K. Kuzma misses free throw 2 of 2,21-17, ,,1,17,21,-4,493.0
3:46.0, ,21-17,Defensive rebound by Team,,1,17,21,-4,494.0
3:31.0, ,21-17,T. Forrest misses 2-pt layup from 1 ft,,1,17,21,-4,509.0
3:27.0, ,21-17,Offensive rebound by O. Okongwu,,1,17,21,-4,513.0
3:27.0, ,21-19,O. Okongwu makes 2-pt layup at rim,,1,19,21,-2,513.0
3:14.0,D. Gafford makes 2-pt layup from 3 ft (assist by T. Jones),23-19, ,,1,19,23,-4,526.0
2:58.0, ,23-19,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,19,23,-4,542.0
2:54.0, ,23-19,Offensive rebound by O. Okongwu,,1,19,23,-4,546.0
2:53.0, ,23-19,T. Young misses 3-pt jump shot from 27 ft,,1,19,23,-4,547.0
2:50.0,Defensive rebound by D. Gafford,23-19, ,,1,19,23,-4,550.0
2:37.0,D. Gafford makes 2-pt layup from 1 ft,25-19, ,,1,19,25,-6,563.0
2:26.0, ,25-19,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,19,25,-6,574.0
2:23.0,Defensive rebound by D. Gafford,25-19, ,,1,19,25,-6,577.0
2:18.0,Washington full timeout,25-19, ,,1,19,25,-6,582.0
2:18.0,D. Avdija enters the game for D. Gafford,25-19, ,,1,19,25,-6,582.0
2:18.0,P. Baldwin enters the game for T. Jones,25-19, ,,1,19,25,-6,582.0
2:18.0,C. Kispert enters the game for K. Kuzma,25-19, ,,1,19,25,-6,582.0
2:18.0,D. Wright enters the game for J. Poole,25-19, ,,1,19,25,-6,582.0
2:18.0, ,25-19,G. Mathews enters the game for T. Forrest,,1,19,25,-6,582.0
2:05.0,P. Baldwin makes 2-pt dunk from 1 ft (assist by C. Kispert),27-19, ,,1,19,27,-8,595.0
2:05.0,Shooting foul by J. Johnson (drawn by P. Baldwin),27-19, ,,1,19,27,-8,595.0
2:05.0,P. Baldwin misses free throw 1 of 1,27-19, ,,1,19,27,-8,595.0
2:03.0, ,27-19,Defensive rebound by O. Okongwu,,1,19,27,-8,597.0
1:47.0, ,27-19,Personal foul by P. Baldwin (drawn by J. Johnson),,1,19,27,-8,613.0
1:39.0, ,27-19,O. Okongwu misses 2-pt hook shot from 5 ft,,1,19,27,-8,621.0
1:35.0,Defensive rebound by D. Wright,27-19, ,,1,19,27,-8,625.0
1:30.0,D. Avdija misses 2-pt jump shot from 8 ft,27-19, ,,1,19,27,-8,630.0
1:27.0, ,27-19,Defensive rebound by G. Mathews,,1,19,27,-8,633.0
1:20.0, ,27-22,G. Mathews makes 3-pt jump shot from 28 ft (assist by T. Young),,1,22,27,-5,640.0
1:04.0,C. Kispert misses 2-pt jump shot from 4 ft,27-22, ,,1,22,27,-5,656.0
1:01.0, ,27-22,Defensive rebound by O. Okongwu,,1,22,27,-5,659.0
0:56.0, ,27-22,T. Young misses 3-pt jump shot from 28 ft,,1,22,27,-5,664.0
0:52.0,Defensive rebound by C. Kispert,27-22, ,,1,22,27,-5,668.0
0:37.0,Turnover by D. Avdija (lost ball; steal by B. Bogdanović),27-22, ,,1,22,27,-5,683.0
0:32.0, ,27-22,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,22,27,-5,688.0
0:29.0,Defensive rebound by D. Avdija,27-22, ,,1,22,27,-5,691.0
0:10.0,C. Kispert makes 3-pt jump shot from 27 ft (assist by D. Wright),30-22, ,,1,22,30,-8,710.0
0:03.0, ,30-25,T. Young makes 3-pt jump shot from 34 ft,,1,25,30,-5,717.0
0:00.0,D. Wright misses 3-pt jump shot from 48 ft,30-25, ,,1,25,30,-5,720.0
0:00.0,Offensive rebound by Team,30-25, ,,1,25,30,-5,720.0
0:00.0,End of 1st quarter,30-25,,,1,25,30,-5,720.0
12:00.0,Start of 2nd quarter,30-25,,,2,25,30,-5,720.0
11:47.0, ,30-25,Turnover by T. Young (bad pass; steal by D. Wright),,2,25,30,-5,733.0
11:42.0,C. Kispert makes 3-pt jump shot from 27 ft (assist by D. Wright),33-25, ,,2,25,33,-8,738.0
11:17.0, ,33-25,T. Young misses 3-pt jump shot from 25 ft,,2,25,33,-8,763.0
11:14.0,Defensive rebound by D. Avdija,33-25, ,,2,25,33,-8,766.0
11:07.0,Shooting foul by O. Okongwu (drawn by B. Coulibaly),33-25, ,,2,25,33,-8,773.0
11:07.0,B. Coulibaly makes free throw 1 of 2,34-25, ,,2,25,34,-9,773.0
11:07.0,B. Coulibaly makes free throw 2 of 2,35-25, ,,2,25,35,-10,773.0
10:58.0, ,35-25,T. Young misses 2-pt layup from 2 ft (block by D. Avdija),,2,25,35,-10,782.0
10:58.0, ,35-25,Offensive rebound by Team,,2,25,35,-10,782.0
10:52.0, ,35-25,Personal foul by P. Baldwin (drawn by B. Bogdanović),,2,25,35,-10,788.0
10:39.0, ,35-25,J. Johnson misses 2-pt jump shot from 11 ft (block by P. Baldwin),,2,25,35,-10,801.0
10:34.0, ,35-25,Offensive rebound by O. Okongwu,,2,25,35,-10,806.0
10:34.0, ,35-25,O. Okongwu misses 2-pt jump shot from 2 ft,,2,25,35,-10,806.0
10:32.0,Defensive rebound by P. Baldwin,35-25, ,,2,25,35,-10,808.0
10:27.0,P. Baldwin misses 3-pt jump shot from 27 ft,35-25, ,,2,25,35,-10,813.0
10:25.0,Offensive rebound by C. Kispert,35-25, ,,2,25,35,-10,815.0
10:23.0,D. Avdija makes 3-pt jump shot from 26 ft (assist by C. Kispert),38-25, ,,2,25,38,-13,817.0
10:21.0, ,38-25,Atlanta full timeout,,2,25,38,-13,819.0
10:10.0, ,38-25,Turnover by G. Mathews (back court),,2,25,38,-13,830.0
10:01.0,B. Coulibaly misses 2-pt layup from 2 ft,38-25, ,,2,25,38,-13,839.0
9:58.0, ,38-25,Defensive rebound by B. Bogdanović,,2,25,38,-13,842.0
9:51.0, ,38-25,B. Bogdanović misses 2-pt layup from 1 ft,,2,25,38,-13,849.0
9:48.0, ,38-25,Offensive rebound by O. Okongwu,,2,25,38,-13,852.0
9:46.0, ,38-25,Turnover by O. Okongwu (lost ball; steal by D. Avdija),,2,25,38,-13,854.0
9:37.0,P. Baldwin misses 2-pt jump shot from 5 ft,38-25, ,,2,25,38,-13,863.0
9:34.0, ,38-25,Defensive rebound by J. Johnson,,2,25,38,-13,866.0
9:23.0, ,38-25,J. Johnson misses 2-pt jump shot from 6 ft (block by D. Wright),,2,25,38,-13,877.0
9:22.0, ,38-25,Offensive rebound by Team,,2,25,38,-13,878.0
9:17.0, ,38-25,B. Bogdanović misses 2-pt jump shot from 18 ft,,2,25,38,-13,883.0
9:15.0,Defensive rebound by B. Coulibaly,38-25, ,,2,25,38,-13,885.0
9:13.0,Turnover by B. Coulibaly (lost ball; steal by B. Bogdanović),38-25, ,,2,25,38,-13,887.0
9:09.0, ,38-27,B. Bogdanović makes 2-pt layup from 1 ft,,2,27,38,-11,891.0
8:47.0,C. Kispert misses 3-pt jump shot from 23 ft,38-27, ,,2,27,38,-11,913.0
8:44.0, ,38-27,Defensive rebound by B. Bogdanović,,2,27,38,-11,916.0
8:35.0, ,38-27,Personal foul by B. Coulibaly (drawn by T. Young),,2,27,38,-11,925.0
8:35.0, ,38-27,S. Bey enters the game for J. Johnson,,2,27,38,-11,925.0
8:35.0, ,38-27,T. Forrest enters the game for G. Mathews,,2,27,38,-11,925.0
8:35.0, ,38-27,D. Murray enters the game for T. Young,,2,27,38,-11,925.0
8:26.0, ,38-27,D. Murray misses 2-pt jump shot from 5 ft,,2,27,38,-11,934.0
8:25.0, ,38-27,Offensive rebound by O. Okongwu,,2,27,38,-11,935.0
8:25.0, ,38-27,Shooting foul by B. Coulibaly (drawn by O. Okongwu),,2,27,38,-11,935.0
8:25.0, ,38-28,O. Okongwu makes free throw 1 of 2,,2,28,38,-10,935.0
8:25.0, ,38-28,O. Okongwu misses free throw 2 of 2,,2,28,38,-10,935.0
8:23.0, ,38-28,Offensive rebound by B. Bogdanović,,2,28,38,-10,937.0
8:10.0, ,38-28,T. Forrest misses 2-pt jump shot from 9 ft,,2,28,38,-10,950.0
8:09.0, ,38-28,Offensive rebound by O. Okongwu,,2,28,38,-10,951.0
8:09.0, ,38-28,Shooting foul by B. Coulibaly (drawn by O. Okongwu),,2,28,38,-10,951.0
8:09.0, ,38-29,O. Okongwu makes free throw 1 of 2,,2,29,38,-9,951.0
8:09.0,D. Gafford enters the game for P. Baldwin,38-29, ,,2,29,38,-9,951.0
8:09.0,T. Jones enters the game for B. Coulibaly,38-29, ,,2,29,38,-9,951.0
8:09.0,K. Kuzma enters the game for D. Wright,38-29, ,,2,29,38,-9,951.0
8:09.0, ,38-30,O. Okongwu makes free throw 2 of 2,,2,30,38,-8,951.0
7:56.0,Turnover by C. Kispert (lost ball; steal by S. Bey),38-30, ,,2,30,38,-8,964.0
7:51.0, ,38-30,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,30,38,-8,969.0
7:48.0,Defensive rebound by Team,38-30, ,,2,30,38,-8,972.0
7:27.0,K. Kuzma makes 2-pt jump shot from 18 ft (assist by D. Avdija),40-30, ,,2,30,40,-10,993.0
7:07.0, ,40-30,S. Bey misses 3-pt jump shot from 25 ft,,2,30,40,-10,1013.0
7:05.0,Defensive rebound by D. Gafford,40-30, ,,2,30,40,-10,1015.0
6:50.0,K. Kuzma misses 2-pt layup from 7 ft (block by O. Okongwu),40-30, ,,2,30,40,-10,1030.0
6:47.0,Offensive rebound by K. Kuzma,40-30, ,,2,30,40,-10,1033.0
6:47.0,Shooting foul by O. Okongwu (drawn by D. Gafford),40-30, ,,2,30,40,-10,1033.0
6:47.0,D. Gafford makes free throw 1 of 2,41-30, ,,2,30,41,-11,1033.0
6:47.0,J. Poole enters the game for C. Kispert,41-30, ,,2,30,41,-11,1033.0
6:47.0, ,41-30,C. Capela enters the game for O. Okongwu,,2,30,41,-11,1033.0
6:47.0,D. Gafford makes free throw 2 of 2,42-30, ,,2,30,42,-12,1033.0
6:35.0, ,42-33,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,33,42,-9,1045.0
6:17.0,T. Jones misses 3-pt jump shot from 26 ft,42-33, ,,2,33,42,-9,1063.0
6:13.0, ,42-33,Defensive rebound by C. Capela,,2,33,42,-9,1067.0
6:03.0, ,42-33,Turnover by T. Forrest (lost ball; steal by T. Jones),,2,33,42,-9,1077.0
5:51.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by T. Jones),45-33, ,,2,33,45,-12,1089.0
5:34.0, ,45-33,D. Murray misses 3-pt jump shot from 25 ft,,2,33,45,-12,1106.0
5:32.0,Defensive rebound by J. Poole,45-33, ,,2,33,45,-12,1108.0
5:25.0,J. Poole misses 2-pt layup from 2 ft,45-33, ,,2,33,45,-12,1115.0
5:21.0, ,45-33,Defensive rebound by C. Capela,,2,33,45,-12,1119.0
5:14.0, ,45-33,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,33,45,-12,1126.0
5:12.0,Defensive rebound by K. Kuzma,45-33, ,,2,33,45,-12,1128.0
5:09.0,Turnover by D. Avdija (bad pass),45-33, ,,2,33,45,-12,1131.0
5:09.0, ,45-33,J. Johnson enters the game for B. Bogdanović,,2,33,45,-12,1131.0
5:09.0, ,45-33,T. Young enters the game for T. Forrest,,2,33,45,-12,1131.0
5:03.0, ,45-33,Personal foul by J. Poole (drawn by D. Murray),,2,33,45,-12,1137.0
5:03.0, ,45-34,D. Murray makes free throw 1 of 2,,2,34,45,-11,1137.0
5:03.0, ,45-35,D. Murray makes free throw 2 of 2,,2,35,45,-10,1137.0
4:45.0,J. Poole misses 3-pt jump shot from 25 ft,45-35, ,,2,35,45,-10,1155.0
4:42.0, ,45-35,Defensive rebound by S. Bey,,2,35,45,-10,1158.0
4:32.0, ,45-35,D. Murray misses 2-pt layup from 5 ft (block by T. Jones),,2,35,45,-10,1168.0
4:31.0, ,45-35,Offensive rebound by Team,,2,35,45,-10,1169.0
4:27.0, ,45-37,D. Murray makes 2-pt layup from 2 ft (assist by T. Young),,2,37,45,-8,1173.0
4:26.0,Washington full timeout,45-37, ,,2,37,45,-8,1174.0
4:13.0,D. Gafford makes 2-pt dunk from 1 ft (assist by D. Avdija),47-37, ,,2,37,47,-10,1187.0
3:52.0, ,47-37,Turnover by J. Johnson (bad pass; steal by J. Poole),,2,37,47,-10,1208.0
3:51.0,J. Poole makes 2-pt layup from 1 ft,49-37, ,,2,37,49,-12,1209.0
3:51.0,Shooting foul by S. Bey (drawn by J. Poole),49-37, ,,2,37,49,-12,1209.0
3:51.0,J. Poole makes free throw 1 of 1,50-37, ,,2,37,50,-13,1209.0
3:42.0, ,50-39,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),,2,39,50,-11,1218.0
3:26.0,K. Kuzma misses 2-pt jump shot from 13 ft,50-39, ,,2,39,50,-11,1234.0
3:25.0,Offensive rebound by Team,50-39, ,,2,39,50,-11,1235.0
3:23.0,D. Avdija misses 3-pt jump shot from 23 ft,50-39, ,,2,39,50,-11,1237.0
3:19.0,Offensive rebound by K. Kuzma,50-39, ,,2,39,50,-11,1241.0
3:12.0,K. Kuzma misses 3-pt jump shot from 26 ft,50-39, ,,2,39,50,-11,1248.0
3:08.0,Offensive rebound by T. Jones,50-39, ,,2,39,50,-11,1252.0
3:07.0,T. Jones makes 2-pt jump shot from 23 ft,52-39, ,,2,39,52,-13,1253.0
2:53.0, ,52-42,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),,2,42,52,-10,1267.0
2:35.0,Turnover by K. Kuzma (lost ball; steal by S. Bey),52-42, ,,2,42,52,-10,1285.0
2:32.0,Washington full timeout,52-42, ,,2,42,52,-10,1288.0
2:32.0,Instant Replay (Challenge: Ruling Stands),52-42, ,,2,42,52,-10,1288.0
2:32.0,Instant Replay,52-42, ,,2,42,52,-10,1288.0
2:32.0, ,52-42,Turnover by S. Bey (out of bounds lost ball),,2,42,52,-10,1288.0
2:15.0,J. Poole makes 2-pt layup from 2 ft (assist by K. Kuzma),54-42, ,,2,42,54,-12,1305.0
1:57.0, ,54-42,Personal foul by D. Avdija (drawn by T. Young),,2,42,54,-12,1323.0
1:57.0, ,54-43,T. Young makes free throw 1 of 2,,2,43,54,-11,1323.0
1:57.0, ,54-43,T. Young misses free throw 2 of 2,,2,43,54,-11,1323.0
1:55.0,Defensive rebound by D. Avdija,54-43, ,,2,43,54,-11,1325.0
1:41.0,K. Kuzma misses 2-pt jump shot from 19 ft,54-43, ,,2,43,54,-11,1339.0
1:39.0, ,54-43,Defensive rebound by D. Murray,,2,43,54,-11,1341.0
1:30.0, ,54-45,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),,2,45,54,-9,1350.0
1:20.0,J. Poole misses 2-pt layup from 2 ft,54-45, ,,2,45,54,-9,1360.0
1:18.0, ,54-45,Defensive rebound by D. Murray,,2,45,54,-9,1362.0
1:13.0, ,54-45,C. Capela misses 2-pt layup from 1 ft (block by D. Gafford),,2,45,54,-9,1367.0
1:08.0, ,54-45,Offensive rebound by S. Bey,,2,45,54,-9,1372.0
1:08.0, ,54-47,S. Bey makes 2-pt layup at rim,,2,47,54,-7,1372.0
0:56.0,Shooting foul by T. Young (drawn by K. Kuzma),54-47, ,,2,47,54,-7,1384.0
0:56.0,K. Kuzma makes free throw 1 of 2,55-47, ,,2,47,55,-8,1384.0
0:56.0,K. Kuzma makes free throw 2 of 2,56-47, ,,2,47,56,-9,1384.0
0:31.0, ,56-47,T. Young misses 2-pt jump shot from 9 ft,,2,47,56,-9,1409.0
0:29.0, ,56-47,Offensive rebound by Team,,2,47,56,-9,1411.0
0:27.0, ,56-47,D. Murray misses 2-pt jump shot from 13 ft,,2,47,56,-9,1413.0
0:23.0,Defensive rebound by D. Gafford,56-47, ,,2,47,56,-9,1417.0
0:00.0,K. Kuzma makes 2-pt layup from 2 ft (assist by T. Jones),58-47, ,,2,47,58,-11,1440.0
0:00.0,End of 2nd quarter,58-47,,,2,47,58,-11,1440.0
12:00.0,Start of 3rd quarter,58-47,,,3,47,58,-11,1440.0
11:47.0, ,58-49,T. Young makes 2-pt jump shot from 14 ft,,3,49,58,-9,1453.0
11:29.0,K. Kuzma misses 2-pt dunk from 1 ft (block by J. Johnson),58-49, ,,3,49,58,-9,1471.0
11:25.0, ,58-49,Defensive rebound by T. Young,,3,49,58,-9,1475.0
11:21.0, ,58-49,C. Capela misses 2-pt layup from 2 ft (block by D. Gafford),,3,49,58,-9,1479.0
11:21.0,Defensive rebound by Team,58-49, ,,3,49,58,-9,1479.0
11:21.0, ,58-49,Violation by Team (kicked ball),,3,49,58,-9,1479.0
11:11.0,J. Poole misses 2-pt jump shot from 19 ft,58-49, ,,3,49,58,-9,1489.0
11:08.0, ,58-49,Defensive rebound by C. Capela,,3,49,58,-9,1492.0
10:58.0, ,58-49,T. Young misses 3-pt jump shot from 27 ft,,3,49,58,-9,1502.0
10:56.0,Defensive rebound by D. Avdija,58-49, ,,3,49,58,-9,1504.0
10:51.0,D. Avdija makes 2-pt layup from 1 ft,60-49, ,,3,49,60,-11,1509.0
10:39.0, ,60-49,D. Murray misses 2-pt layup from 2 ft,,3,49,60,-11,1521.0
10:36.0, ,60-49,Offensive rebound by C. Capela,,3,49,60,-11,1524.0
10:36.0, ,60-49,C. Capela misses 2-pt layup at rim,,3,49,60,-11,1524.0
10:35.0, ,60-49,Offensive rebound by T. Young,,3,49,60,-11,1525.0
10:33.0, ,60-49,D. Murray misses 3-pt jump shot from 24 ft,,3,49,60,-11,1527.0
10:30.0,Defensive rebound by D. Avdija,60-49, ,,3,49,60,-11,1530.0
10:27.0,J. Poole makes 2-pt jump shot from 3 ft (assist by D. Avdija),62-49, ,,3,49,62,-13,1533.0
10:27.0,Shooting foul by T. Young (drawn by J. Poole),62-49, ,,3,49,62,-13,1533.0
10:27.0,J. Poole makes free throw 1 of 1,63-49, ,,3,49,63,-14,1533.0
10:10.0, ,63-49,S. Bey misses 2-pt layup from 2 ft (block by J. Poole),,3,49,63,-14,1550.0
10:07.0,Defensive rebound by D. Gafford,63-49, ,,3,49,63,-14,1553.0
10:06.0,Personal foul by T. Young (drawn by J. Poole),63-49, ,,3,49,63,-14,1554.0
9:57.0,D. Avdija makes 2-pt dunk from 1 ft (assist by K. Kuzma),65-49, ,,3,49,65,-16,1563.0
9:42.0, ,65-49,S. Bey misses 3-pt jump shot from 26 ft,,3,49,65,-16,1578.0
9:40.0, ,65-49,Offensive rebound by S. Bey,,3,49,65,-16,1580.0
9:39.0, ,65-49,S. Bey misses 3-pt jump shot from 26 ft,,3,49,65,-16,1581.0
9:36.0,Defensive rebound by K. Kuzma,65-49, ,,3,49,65,-16,1584.0
9:23.0,Turnover by K. Kuzma (bad pass),65-49, ,,3,49,65,-16,1597.0
9:13.0, ,65-49,Shooting foul by D. Avdija (drawn by T. Young),,3,49,65,-16,1607.0
9:13.0, ,65-50,T. Young makes free throw 1 of 2,,3,50,65,-15,1607.0
9:13.0, ,65-51,T. Young makes free throw 2 of 2,,3,51,65,-14,1607.0
8:57.0,J. Poole makes 2-pt layup from 3 ft (assist by K. Kuzma),67-51, ,,3,51,67,-16,1623.0
8:48.0, ,67-51,D. Murray misses 2-pt jump shot from 11 ft,,3,51,67,-16,1632.0
8:44.0,Defensive rebound by D. Avdija,67-51, ,,3,51,67,-16,1636.0
8:40.0,D. Gafford makes 2-pt dunk from 1 ft (assist by D. Avdija),69-51, ,,3,51,69,-18,1640.0
8:40.0, ,69-51,Atlanta full timeout,,3,51,69,-18,1640.0
8:27.0, ,69-51,C. Capela misses 2-pt layup from 2 ft,,3,51,69,-18,1653.0
8:24.0,Defensive rebound by Team,69-51, ,,3,51,69,-18,1656.0
8:05.0,K. Kuzma misses 2-pt jump shot from 14 ft,69-51, ,,3,51,69,-18,1675.0
8:02.0, ,69-51,Defensive rebound by D. Murray,,3,51,69,-18,1678.0
7:54.0, ,69-51,D. Murray misses 2-pt jump shot from 17 ft,,3,51,69,-18,1686.0
7:52.0, ,69-51,Offensive rebound by C. Capela,,3,51,69,-18,1688.0
7:50.0, ,69-51,C. Capela misses 2-pt layup from 3 ft (block by K. Kuzma),,3,51,69,-18,1690.0
7:50.0, ,69-51,Offensive rebound by S. Bey,,3,51,69,-18,1690.0
7:44.0, ,69-53,S. Bey makes 2-pt layup at rim,,3,53,69,-16,1696.0
7:28.0,K. Kuzma misses 2-pt hook shot from 4 ft,69-53, ,,3,53,69,-16,1712.0
7:26.0, ,69-53,Defensive rebound by D. Murray,,3,53,69,-16,1714.0
7:18.0, ,69-56,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),,3,56,69,-13,1722.0
7:01.0,J. Poole misses 2-pt jump shot from 12 ft,69-56, ,,3,56,69,-13,1739.0
6:59.0, ,69-56,Defensive rebound by J. Johnson,,3,56,69,-13,1741.0
6:59.0, ,69-56,Turnover by J. Johnson (out of bounds lost ball),,3,56,69,-13,1741.0
