Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:45.0,Offensive rebound by M. Bamba,22-18, ,,1,18,22,-4,435.0
4:45.0,M. Bamba makes 2-pt layup at rim,24-18, ,,1,18,24,-6,435.0
4:37.0, ,24-18,D. Murray misses 2-pt layup from 2 ft,,1,18,24,-6,443.0
4:36.0, ,24-18,Offensive rebound by O. Okongwu,,1,18,24,-6,444.0
4:36.0, ,24-18,O. Okongwu misses 2-pt layup at rim,,1,18,24,-6,444.0
4:35.0, ,24-18,Offensive rebound by S. Bey,,1,18,24,-6,445.0
4:35.0, ,24-20,S. Bey makes 2-pt layup at rim,,1,20,24,-4,445.0
4:35.0, ,24-20,Shooting foul by M. Bamba (drawn by S. Bey),,1,20,24,-4,445.0
4:35.0,P. Beverley enters the game for N. Batum,24-20, ,,1,20,24,-4,445.0
4:35.0, ,24-20,B. Fernando enters the game for O. Okongwu,,1,20,24,-4,445.0
4:35.0, ,24-21,S. Bey makes free throw 1 of 1,,1,21,24,-3,445.0
4:24.0,T. Maxey misses 2-pt jump shot from 16 ft,24-21, ,,1,21,24,-3,456.0
4:21.0, ,24-21,Defensive rebound by T. Forrest,,1,21,24,-3,459.0
4:15.0, ,24-23,T. Forrest makes 2-pt jump shot from 10 ft,,1,23,24,-1,465.0
3:58.0,K. Oubre misses 2-pt jump shot from 10 ft,24-23, ,,1,23,24,-1,482.0
3:55.0,Offensive rebound by M. Bamba,24-23, ,,1,23,24,-1,485.0
3:55.0,M. Bamba misses 2-pt layup from 6 ft,24-23, ,,1,23,24,-1,485.0
3:54.0, ,24-23,Defensive rebound by T. Forrest,,1,23,24,-1,486.0
3:49.0, ,24-23,Shooting foul by M. Bamba (drawn by B. Fernando),,1,23,24,-1,491.0
3:49.0, ,24-24,B. Fernando makes free throw 1 of 2,Tie,1,24,24,0,491.0
3:49.0,M. Morris enters the game for T. Harris,24-24, ,,1,24,24,0,491.0
3:49.0, ,24-24,J. Johnson enters the game for S. Bey,,1,24,24,0,491.0
3:49.0, ,24-24,P. Mills enters the game for T. Forrest,,1,24,24,0,491.0
3:49.0, ,24-24,T. Young enters the game for D. Murray,,1,24,24,0,491.0
3:49.0, ,24-24,B. Fernando misses free throw 2 of 2,,1,24,24,0,491.0
