Time,Atlanta,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:07.0, ,22-21,M. Kleber makes 2-pt jump shot from 12 ft (assist by T. Hardaway),,1,22,21,1,593.0
1:52.0,Shooting foul by M. Kleber (drawn by B. Fernando),22-21, ,,1,22,21,1,608.0
1:52.0,B. Fernando makes free throw 1 of 2,23-21, ,,1,23,21,2,608.0
1:52.0, ,23-21,J. Hardy enters the game for D. Exum,,1,23,21,2,608.0
1:52.0,B. Fernando misses free throw 2 of 2,23-21, ,,1,23,21,2,608.0
1:50.0, ,23-21,Defensive rebound by T. Hardaway,,1,23,21,2,610.0
1:41.0, ,23-21,J. Hardy misses 3-pt jump shot from 23 ft,,1,23,21,2,619.0
1:37.0,Defensive rebound by K. Bufkin,23-21, ,,1,23,21,2,623.0
1:24.0,B. Fernando misses 2-pt jump shot from 4 ft (block by K. Irving),23-21, ,,1,23,21,2,636.0
1:22.0, ,23-21,Defensive rebound by J. Hardy,,1,23,21,2,638.0
1:18.0, ,23-21,T. Hardaway misses 3-pt jump shot from 23 ft,,1,23,21,2,642.0
1:17.0, ,23-21,Offensive rebound by D. Powell,,1,23,21,2,643.0
1:17.0, ,23-23,D. Powell makes 2-pt layup at rim,Tie,1,23,23,0,643.0
1:17.0, ,23-23,Shooting foul by V. Krejci (drawn by D. Powell),,1,23,23,0,643.0
1:17.0, ,23-23,D. Powell misses free throw 1 of 1,,1,23,23,0,643.0
1:13.0,Defensive rebound by J. Johnson,23-23, ,,1,23,23,0,647.0
1:03.0,B. Bogdanović misses 3-pt jump shot from 26 ft,23-23, ,,1,23,23,0,657.0
1:02.0,Offensive rebound by Team,23-23, ,,1,23,23,0,658.0
0:57.0,V. Krejci makes 3-pt jump shot from 26 ft (assist by J. Johnson),26-23, ,,1,26,23,3,663.0
0:57.0,Shooting foul by J. Hardy (drawn by V. Krejci),26-23, ,,1,26,23,3,663.0
0:57.0,V. Krejci makes free throw 1 of 1,27-23, ,,1,27,23,4,663.0
0:42.0, ,27-23,Turnover by M. Kleber (lost ball; steal by K. Bufkin),,1,27,23,4,678.0
0:28.0,J. Johnson makes 2-pt jump shot from 7 ft (assist by V. Krejci),29-23, ,,1,29,23,6,692.0
0:07.0, ,29-25,K. Irving makes 2-pt jump shot from 9 ft,,1,29,25,4,713.0
0:00.0,K. Bufkin makes 2-pt jump shot from 22 ft,31-25, ,,1,31,25,6,720.0
0:00.0,Instant Replay (Request: Ruling Stands),31-25, ,,1,31,25,6,720.0
0:00.0,End of 1st quarter,31-25,,,1,31,25,6,720.0
12:00.0,Start of 2nd quarter,31-25,,,2,31,25,6,720.0
11:46.0,B. Fernando makes 2-pt dunk from 1 ft (assist by D. Hunter),33-25, ,,2,33,25,8,734.0
11:30.0, ,33-27,D. Gafford makes 2-pt layup from 2 ft (assist by L. Dončić),,2,33,27,6,750.0
11:17.0,K. Bufkin misses 3-pt jump shot from 26 ft,33-27, ,,2,33,27,6,763.0
11:17.0,Offensive rebound by B. Fernando,33-27, ,,2,33,27,6,763.0
11:09.0,B. Bogdanović misses 3-pt jump shot from 25 ft,33-27, ,,2,33,27,6,771.0
11:05.0, ,33-27,Defensive rebound by P. Washington,,2,33,27,6,775.0
10:58.0, ,33-27,Personal foul by K. Bufkin (drawn by L. Dončić),,2,33,27,6,782.0
10:48.0, ,33-27,D. Gafford misses 2-pt layup from 5 ft,,2,33,27,6,792.0
10:46.0,Defensive rebound by J. Johnson,33-27, ,,2,33,27,6,794.0
10:43.0,J. Johnson makes 2-pt layup from 1 ft,35-27, ,,2,35,27,8,797.0
