Time,Toronto,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:45.0, ,15-4,D. Murray makes 2-pt layup from 1 ft,,1,4,15,-11,315.0
6:32.0,J. Poeltl makes 2-pt layup from 1 ft (assist by S. Barnes),17-4, ,,1,4,17,-13,328.0
6:16.0, ,17-7,S. Bey makes 3-pt jump shot from 23 ft (assist by J. Johnson),,1,7,17,-10,344.0
6:03.0,I. Quickley makes 3-pt jump shot from 26 ft (assist by S. Barnes),20-7, ,,1,7,20,-13,357.0
6:01.0, ,20-7,Atlanta full timeout,,1,7,20,-13,359.0
6:01.0,B. Brown enters the game for S. Barnes,20-7, ,,1,7,20,-13,359.0
6:01.0, ,20-7,B. Bogdanović enters the game for C. Capela,,1,7,20,-13,359.0
6:01.0, ,20-7,D. Hunter enters the game for T. Young,,1,7,20,-13,359.0
5:48.0, ,20-7,B. Bogdanović misses 2-pt jump shot from 12 ft,,1,7,20,-13,372.0
5:46.0,Defensive rebound by J. Nwora,20-7, ,,1,7,20,-13,374.0
5:40.0,J. Nwora misses 3-pt jump shot from 26 ft,20-7, ,,1,7,20,-13,380.0
5:37.0, ,20-7,Defensive rebound by D. Murray,,1,7,20,-13,383.0
5:30.0, ,20-9,D. Murray makes 2-pt layup from 1 ft,,1,9,20,-11,390.0
5:13.0,G. Trent misses 3-pt jump shot from 26 ft,20-9, ,,1,9,20,-11,407.0
5:10.0, ,20-9,Defensive rebound by B. Bogdanović,,1,9,20,-11,410.0
5:00.0, ,20-11,D. Murray makes 2-pt layup from 2 ft (assist by B. Bogdanović),,1,11,20,-9,420.0
4:35.0,I. Quickley makes 3-pt jump shot from 25 ft (assist by J. Poeltl),23-11, ,,1,11,23,-12,445.0
4:22.0, ,23-11,D. Hunter misses 3-pt jump shot from 25 ft,,1,11,23,-12,458.0
4:20.0, ,23-11,Offensive rebound by S. Bey,,1,11,23,-12,460.0
4:20.0,G. Dick enters the game for J. Nwora,23-11, ,,1,11,23,-12,460.0
4:20.0,K. Olynyk enters the game for J. Poeltl,23-11, ,,1,11,23,-12,460.0
4:14.0, ,23-11,B. Bogdanović misses 2-pt dunk from 1 ft,,1,11,23,-12,466.0
4:11.0,Defensive rebound by K. Olynyk,23-11, ,,1,11,23,-12,469.0
4:02.0,I. Quickley misses 2-pt jump shot from 22 ft,23-11, ,,1,11,23,-12,478.0
3:59.0, ,23-11,Defensive rebound by J. Johnson,,1,11,23,-12,481.0
3:52.0, ,23-13,D. Murray makes 2-pt layup from 1 ft,,1,13,23,-10,488.0
3:52.0,Toronto full timeout,23-13, ,,1,13,23,-10,488.0
3:52.0, ,23-13,G. Mathews enters the game for S. Bey,,1,13,23,-10,488.0
3:52.0, ,23-13,T. Young enters the game for D. Murray,,1,13,23,-10,488.0
3:43.0,B. Brown misses 2-pt jump shot from 12 ft,23-13, ,,1,13,23,-10,497.0
3:39.0, ,23-13,Defensive rebound by J. Johnson,,1,13,23,-10,501.0
3:35.0, ,23-13,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,13,23,-10,505.0
3:31.0,Defensive rebound by G. Trent,23-13, ,,1,13,23,-10,509.0
3:26.0,K. Olynyk misses 3-pt jump shot from 25 ft,23-13, ,,1,13,23,-10,514.0
3:23.0, ,23-13,Defensive rebound by J. Johnson,,1,13,23,-10,517.0
3:18.0, ,23-13,Shooting foul by G. Dick (drawn by D. Hunter),,1,13,23,-10,522.0
3:18.0, ,23-14,D. Hunter makes free throw 1 of 2,,1,14,23,-9,522.0
3:18.0,O. Agbaji enters the game for I. Quickley,23-14, ,,1,14,23,-9,522.0
3:18.0,S. Barnes enters the game for G. Trent,23-14, ,,1,14,23,-9,522.0
3:18.0, ,23-14,B. Fernando enters the game for J. Johnson,,1,14,23,-9,522.0
3:18.0, ,23-15,D. Hunter makes free throw 2 of 2,,1,15,23,-8,522.0
3:08.0,K. Olynyk misses 3-pt jump shot from 24 ft,23-15, ,,1,15,23,-8,532.0
3:05.0, ,23-15,Defensive rebound by T. Young,,1,15,23,-8,535.0
2:50.0, ,23-17,B. Fernando makes 2-pt layup from 3 ft (assist by B. Bogdanović),,1,17,23,-6,550.0
2:40.0,Offensive foul by O. Agbaji (drawn by T. Young),23-17, ,,1,17,23,-6,560.0
2:40.0,Turnover by O. Agbaji (offensive foul),23-17, ,,1,17,23,-6,560.0
2:27.0, ,23-17,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,17,23,-6,573.0
2:24.0, ,23-17,Offensive rebound by B. Fernando,,1,17,23,-6,576.0
2:24.0, ,23-17,Shooting foul by K. Olynyk (drawn by B. Fernando),,1,17,23,-6,576.0
2:24.0, ,23-18,B. Fernando makes free throw 1 of 2,,1,18,23,-5,576.0
2:24.0, ,23-18,Technical foul by T. Young,,1,18,23,-5,576.0
2:24.0,S. Barnes makes technical free throw,24-18, ,,1,18,24,-6,576.0
2:24.0, ,24-18,B. Fernando misses free throw 2 of 2,,1,18,24,-6,576.0
2:21.0,Defensive rebound by K. Olynyk,24-18, ,,1,18,24,-6,579.0
2:10.0,S. Barnes makes 2-pt layup from 1 ft,26-18, ,,1,18,26,-8,590.0
1:59.0, ,26-18,D. Hunter misses 3-pt jump shot from 26 ft,,1,18,26,-8,601.0
1:59.0, ,26-18,Offensive rebound by Team,,1,18,26,-8,601.0
1:59.0,Loose ball foul by K. Olynyk (drawn by B. Fernando),26-18, ,,1,18,26,-8,601.0
1:59.0, ,26-18,B. Fernando misses free throw 1 of 2,,1,18,26,-8,601.0
1:59.0, ,26-19,B. Fernando makes free throw 2 of 2,,1,19,26,-7,601.0
1:41.0,S. Barnes misses 3-pt jump shot from 26 ft,26-19, ,,1,19,26,-7,619.0
1:39.0,Offensive rebound by O. Agbaji,26-19, ,,1,19,26,-7,621.0
1:34.0,K. Olynyk misses 2-pt layup from 2 ft,26-19, ,,1,19,26,-7,626.0
1:30.0, ,26-19,Defensive rebound by T. Young,,1,19,26,-7,630.0
1:20.0, ,26-19,B. Bogdanović misses 2-pt jump shot from 15 ft,,1,19,26,-7,640.0
1:17.0,Defensive rebound by G. Dick,26-19, ,,1,19,26,-7,643.0
1:13.0,O. Agbaji makes 3-pt jump shot from 23 ft (assist by G. Dick),29-19, ,,1,19,29,-10,647.0
1:05.0, ,29-19,Turnover by T. Young (bad pass),,1,19,29,-10,655.0
0:57.0,G. Dick makes 2-pt jump shot from 13 ft (assist by S. Barnes),31-19, ,,1,19,31,-12,663.0
0:46.0, ,31-19,Offensive foul by D. Hunter (drawn by S. Barnes),,1,19,31,-12,674.0
0:46.0, ,31-19,Turnover by D. Hunter (offensive foul),,1,19,31,-12,674.0
0:31.0,S. Barnes makes 2-pt jump shot from 18 ft,33-19, ,,1,19,33,-14,689.0
0:26.0, ,33-19,Personal foul by O. Agbaji (drawn by T. Young),,1,19,33,-14,694.0
0:26.0, ,33-19,T. Young misses free throw 1 of 2,,1,19,33,-14,694.0
0:26.0, ,33-19,Offensive rebound by Team,,1,19,33,-14,694.0
0:26.0,I. Quickley enters the game for O. Agbaji,33-19, ,,1,19,33,-14,694.0
0:26.0, ,33-20,T. Young makes free throw 2 of 2,,1,20,33,-13,694.0
0:08.0,Turnover by S. Barnes (lost ball; steal by B. Fernando),33-20, ,,1,20,33,-13,712.0
0:04.0, ,33-22,B. Fernando makes 2-pt layup from 1 ft (assist by B. Bogdanović),,1,22,33,-11,716.0
0:00.0,S. Barnes misses 2-pt jump shot from 21 ft,33-22, ,,1,22,33,-11,720.0
0:00.0,Offensive rebound by Team,33-22, ,,1,22,33,-11,720.0
0:00.0,End of 1st quarter,33-22,,,1,22,33,-11,720.0
12:00.0,Start of 2nd quarter,33-22,,,2,22,33,-11,720.0
11:41.0,K. Olynyk makes 2-pt hook shot from 4 ft (assist by S. Barnes),35-22, ,,2,22,35,-13,739.0
11:24.0, ,35-22,T. Young misses 2-pt jump shot from 9 ft,,2,22,35,-13,756.0
11:20.0,Defensive rebound by K. Olynyk,35-22, ,,2,22,35,-13,760.0
11:15.0,B. Brown makes 3-pt jump shot from 26 ft (assist by S. Barnes),38-22, ,,2,22,38,-16,765.0
11:07.0, ,38-25,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,2,25,38,-13,773.0
10:56.0,Offensive foul by O. Agbaji (drawn by T. Young),38-25, ,,2,25,38,-13,784.0
10:56.0,Turnover by O. Agbaji (offensive foul),38-25, ,,2,25,38,-13,784.0
10:56.0,G. Trent enters the game for O. Agbaji,38-25, ,,2,25,38,-13,784.0
10:56.0, ,38-25,J. Johnson enters the game for D. Hunter,,2,25,38,-13,784.0
10:44.0, ,38-27,B. Fernando makes 2-pt dunk from 1 ft (assist by T. Young),,2,27,38,-11,796.0
10:29.0,Turnover by S. Barnes (bad pass; steal by B. Bogdanović),38-27, ,,2,27,38,-11,811.0
10:24.0, ,38-30,G. Mathews makes 3-pt jump shot from 23 ft (assist by T. Young),,2,30,38,-8,816.0
10:23.0,Toronto full timeout,38-30, ,,2,30,38,-8,817.0
10:10.0,G. Trent misses 3-pt jump shot from 26 ft,38-30, ,,2,30,38,-8,830.0
10:06.0, ,38-30,Defensive rebound by J. Johnson,,2,30,38,-8,834.0
9:57.0, ,38-32,J. Johnson makes 2-pt jump shot from 3 ft (assist by T. Young),,2,32,38,-6,843.0
9:36.0,G. Dick makes 2-pt layup from 1 ft (assist by K. Olynyk),40-32, ,,2,32,40,-8,864.0
9:21.0, ,40-32,Turnover by T. Young (lost ball; steal by S. Barnes),,2,32,40,-8,879.0
9:17.0,G. Dick makes 2-pt dunk from 1 ft (assist by G. Trent),42-32, ,,2,32,42,-10,883.0
9:01.0, ,42-32,B. Fernando misses 2-pt layup from 1 ft,,2,32,42,-10,899.0
8:57.0, ,42-32,Offensive rebound by B. Fernando,,2,32,42,-10,903.0
8:57.0, ,42-32,B. Fernando misses 2-pt layup from 1 ft (block by B. Brown),,2,32,42,-10,903.0
8:53.0, ,42-32,Offensive rebound by B. Fernando,,2,32,42,-10,907.0
8:53.0, ,42-34,B. Fernando makes 2-pt layup from 2 ft,,2,34,42,-8,907.0
8:47.0,G. Dick misses 3-pt jump shot from 23 ft,42-34, ,,2,34,42,-8,913.0
8:44.0, ,42-34,Defensive rebound by B. Bogdanović,,2,34,42,-8,916.0
8:38.0, ,42-37,T. Young makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,2,37,42,-5,922.0
8:38.0,Toronto full timeout,42-37, ,,2,37,42,-5,922.0
8:38.0,J. Nwora enters the game for S. Barnes,42-37, ,,2,37,42,-5,922.0
8:38.0,J. Poeltl enters the game for B. Brown,42-37, ,,2,37,42,-5,922.0
8:38.0,I. Quickley enters the game for K. Olynyk,42-37, ,,2,37,42,-5,922.0
8:38.0, ,42-37,C. Capela enters the game for B. Fernando,,2,37,42,-5,922.0
8:38.0, ,42-37,D. Murray enters the game for T. Young,,2,37,42,-5,922.0
8:19.0,J. Nwora misses 2-pt hook shot from 7 ft,42-37, ,,2,37,42,-5,941.0
8:16.0, ,42-37,Defensive rebound by C. Capela,,2,37,42,-5,944.0
8:08.0, ,42-37,G. Mathews misses 3-pt jump shot from 24 ft,,2,37,42,-5,952.0
8:04.0, ,42-37,Offensive rebound by D. Murray,,2,37,42,-5,956.0
8:03.0, ,42-40,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,40,42,-2,957.0
7:48.0,Personal foul by D. Murray (drawn by I. Quickley),42-40, ,,2,40,42,-2,972.0
7:48.0, ,42-40,S. Bey enters the game for J. Johnson,,2,40,42,-2,972.0
7:48.0, ,42-40,D. Hunter enters the game for G. Mathews,,2,40,42,-2,972.0
7:44.0,Personal foul by B. Bogdanović (drawn by J. Poeltl),42-40, ,,2,40,42,-2,976.0
7:39.0,I. Quickley makes 3-pt jump shot from 27 ft,45-40, ,,2,40,45,-5,981.0
7:28.0, ,45-40,Personal foul by G. Trent (drawn by B. Bogdanović),,2,40,45,-5,992.0
7:21.0, ,45-40,Def 3 sec tech foul by Team,,2,40,45,-5,999.0
7:21.0, ,45-41,B. Bogdanović makes technical free throw,,2,41,45,-4,999.0
7:13.0, ,45-41,D. Hunter misses 2-pt jump shot from 6 ft,,2,41,45,-4,1007.0
7:09.0,Defensive rebound by J. Poeltl,45-41, ,,2,41,45,-4,1011.0
7:01.0,J. Nwora misses 3-pt jump shot from 23 ft,45-41, ,,2,41,45,-4,1019.0
6:57.0, ,45-41,Defensive rebound by D. Murray,,2,41,45,-4,1023.0
6:46.0, ,45-43,D. Hunter makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),,2,43,45,-2,1034.0
6:32.0,G. Dick makes 3-pt jump shot from 24 ft (assist by I. Quickley),48-43, ,,2,43,48,-5,1048.0
6:12.0, ,48-43,D. Hunter misses 2-pt jump shot from 10 ft,,2,43,48,-5,1068.0
6:10.0,Defensive rebound by I. Quickley,48-43, ,,2,43,48,-5,1070.0
6:10.0,Turnover by I. Quickley (step out of bounds),48-43, ,,2,43,48,-5,1070.0
6:10.0,S. Barnes enters the game for J. Nwora,48-43, ,,2,43,48,-5,1070.0
5:59.0, ,48-43,S. Bey misses 2-pt jump shot from 15 ft,,2,43,48,-5,1081.0
5:56.0,Defensive rebound by I. Quickley,48-43, ,,2,43,48,-5,1084.0
5:37.0,G. Trent misses 2-pt jump shot from 10 ft,48-43, ,,2,43,48,-5,1103.0
5:31.0,Offensive rebound by G. Trent,48-43, ,,2,43,48,-5,1109.0
5:31.0,Turnover by G. Trent (bad pass; steal by B. Bogdanović),48-43, ,,2,43,48,-5,1109.0
5:24.0, ,48-46,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,46,48,-2,1116.0
5:12.0,I. Quickley misses 3-pt jump shot from 26 ft,48-46, ,,2,46,48,-2,1128.0
5:09.0,Offensive rebound by Team,48-46, ,,2,46,48,-2,1131.0
5:09.0,Toronto full timeout,48-46, ,,2,46,48,-2,1131.0
5:09.0,Instant Replay (Challenge: Ruling Stands),48-46, ,,2,46,48,-2,1131.0
5:09.0,B. Brown enters the game for G. Dick,48-46, ,,2,46,48,-2,1131.0
5:09.0, ,48-46,J. Johnson enters the game for B. Bogdanović,,2,46,48,-2,1131.0
5:09.0, ,48-46,T. Young enters the game for C. Capela,,2,46,48,-2,1131.0
5:00.0,S. Barnes misses 3-pt jump shot from 26 ft,48-46, ,,2,46,48,-2,1140.0
4:57.0, ,48-46,Defensive rebound by T. Young,,2,46,48,-2,1143.0
4:51.0, ,48-46,J. Johnson misses 2-pt layup from 1 ft (block by J. Poeltl),,2,46,48,-2,1149.0
4:50.0, ,48-46,Offensive rebound by Team,,2,46,48,-2,1150.0
4:40.0, ,48-49,S. Bey makes 3-pt jump shot from 24 ft (assist by D. Murray),Lead change,2,49,48,1,1160.0
4:25.0,G. Trent misses 3-pt jump shot from 26 ft,48-49, ,,2,49,48,1,1175.0
4:25.0,Offensive rebound by Team,48-49, ,,2,49,48,1,1175.0
4:25.0, ,48-49,Technical foul by Q. Snyder,,2,49,48,1,1175.0
4:25.0, ,48-49,Q. Snyder ejected from game,,2,49,48,1,1175.0
4:25.0,G. Trent makes technical free throw,49-49, ,Tie,2,49,49,0,1175.0
4:25.0,G. Trent makes technical free throw,50-49, ,Lead change,2,49,50,-1,1175.0
4:22.0,Jump ball: J. Poeltl vs. J. Johnson (S. Barnes gains possession),50-49,,,2,49,50,-1,1178.0
4:12.0,S. Barnes makes 2-pt jump shot from 3 ft (assist by J. Poeltl),52-49, ,,2,49,52,-3,1188.0
4:12.0,Shooting foul by D. Hunter (drawn by S. Barnes),52-49, ,,2,49,52,-3,1188.0
4:12.0,S. Barnes makes free throw 1 of 1,53-49, ,,2,49,53,-4,1188.0
4:06.0, ,53-49,Shooting foul by I. Quickley (drawn by D. Murray),,2,49,53,-4,1194.0
4:06.0, ,53-50,D. Murray makes free throw 1 of 2,,2,50,53,-3,1194.0
4:06.0, ,53-51,D. Murray makes free throw 2 of 2,,2,51,53,-2,1194.0
3:51.0,Personal foul by D. Hunter (drawn by S. Barnes),53-51, ,,2,51,53,-2,1209.0
3:51.0, ,53-51,Technical foul by D. Hunter,,2,51,53,-2,1209.0
3:51.0,G. Trent makes technical free throw,54-51, ,,2,51,54,-3,1209.0
3:47.0,I. Quickley misses 2-pt jump shot from 4 ft (block by J. Johnson),54-51, ,,2,51,54,-3,1213.0
3:46.0,Offensive rebound by Team,54-51, ,,2,51,54,-3,1214.0
3:46.0, ,54-51,B. Bogdanović enters the game for D. Hunter,,2,51,54,-3,1214.0
3:42.0,B. Brown misses 3-pt jump shot from 26 ft,54-51, ,,2,51,54,-3,1218.0
3:37.0,Offensive rebound by S. Barnes,54-51, ,,2,51,54,-3,1223.0
3:36.0,G. Trent makes 3-pt jump shot from 26 ft (assist by S. Barnes),57-51, ,,2,51,57,-6,1224.0
3:17.0, ,57-51,D. Murray misses 3-pt jump shot from 25 ft,,2,51,57,-6,1243.0
3:13.0, ,57-51,Offensive rebound by J. Johnson,,2,51,57,-6,1247.0
3:12.0, ,57-53,J. Johnson makes 2-pt jump shot from 5 ft,,2,53,57,-4,1248.0
3:02.0,S. Barnes misses 2-pt jump shot from 22 ft,57-53, ,,2,53,57,-4,1258.0
3:00.0, ,57-53,Defensive rebound by D. Murray,,2,53,57,-4,1260.0
2:51.0, ,57-56,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),,2,56,57,-1,1269.0
2:37.0,I. Quickley makes 2-pt jump shot from 9 ft (assist by J. Poeltl),59-56, ,,2,56,59,-3,1283.0
2:15.0, ,59-58,J. Johnson makes 2-pt jump shot from 5 ft (assist by T. Young),,2,58,59,-1,1305.0
2:04.0,J. Poeltl misses 2-pt layup at rim,59-58, ,,2,58,59,-1,1316.0
2:00.0, ,59-58,Defensive rebound by B. Bogdanović,,2,58,59,-1,1320.0
1:53.0, ,59-58,J. Johnson misses 3-pt jump shot from 23 ft,,2,58,59,-1,1327.0
1:51.0,Defensive rebound by I. Quickley,59-58, ,,2,58,59,-1,1329.0
1:42.0,J. Poeltl makes 2-pt layup at rim (assist by I. Quickley),61-58, ,,2,58,61,-3,1338.0
1:28.0, ,61-60,J. Johnson makes 2-pt layup at rim (assist by T. Young),,2,60,61,-1,1352.0
1:28.0, ,61-60,Shooting foul by B. Brown (drawn by J. Johnson),,2,60,61,-1,1352.0
1:28.0, ,61-60,J. Johnson misses free throw 1 of 1,,2,60,61,-1,1352.0
1:26.0,Defensive rebound by S. Barnes,61-60, ,,2,60,61,-1,1354.0
1:22.0,Shooting foul by B. Bogdanović (drawn by S. Barnes),61-60, ,,2,60,61,-1,1358.0
1:22.0,S. Barnes makes free throw 1 of 2,62-60, ,,2,60,62,-2,1358.0
1:22.0,S. Barnes makes free throw 2 of 2,63-60, ,,2,60,63,-3,1358.0
1:11.0, ,63-60,T. Young misses 2-pt jump shot from 13 ft,,2,60,63,-3,1369.0
1:06.0,Defensive rebound by B. Brown,63-60, ,,2,60,63,-3,1374.0
1:02.0,G. Trent misses 3-pt jump shot from 24 ft,63-60, ,,2,60,63,-3,1378.0
0:59.0, ,63-60,Defensive rebound by J. Johnson,,2,60,63,-3,1381.0
0:55.0, ,63-62,B. Bogdanović makes 2-pt layup at rim (assist by J. Johnson),,2,62,63,-1,1385.0
0:35.0,I. Quickley misses 3-pt jump shot from 28 ft,63-62, ,,2,62,63,-1,1405.0
0:31.0,Offensive rebound by J. Poeltl,63-62, ,,2,62,63,-1,1409.0
0:29.0,B. Brown misses 2-pt layup from 1 ft,63-62, ,,2,62,63,-1,1411.0
0:29.0,Offensive rebound by J. Poeltl,63-62, ,,2,62,63,-1,1411.0
0:29.0,J. Poeltl makes 2-pt layup at rim,65-62, ,,2,62,65,-3,1411.0
0:25.0, ,65-64,T. Young makes 2-pt layup from 2 ft,,2,64,65,-1,1415.0
0:01.0,Turnover by Team (shot clock),65-64, ,,2,64,65,-1,1439.0
0:00.0, ,65-64,B. Bogdanović misses 3-pt jump shot from 50 ft,,2,64,65,-1,1440.0
0:00.0, ,65-64,Offensive rebound by Team,,2,64,65,-1,1440.0
0:00.0,End of 2nd quarter,65-64,,,2,64,65,-1,1440.0
12:00.0,Start of 3rd quarter,65-64,,,3,64,65,-1,1440.0
11:37.0,S. Barnes misses 2-pt jump shot from 9 ft,65-64, ,,3,64,65,-1,1463.0
11:32.0, ,65-64,Defensive rebound by S. Bey,,3,64,65,-1,1468.0
11:13.0, ,65-66,D. Murray makes 2-pt jump shot from 13 ft,Lead change,3,66,65,1,1487.0
10:54.0,J. Nwora misses 2-pt jump shot from 2 ft,65-66, ,,3,66,65,1,1506.0
10:51.0, ,65-66,Defensive rebound by C. Capela,,3,66,65,1,1509.0
10:47.0, ,65-68,J. Johnson makes 2-pt layup from 2 ft,,3,68,65,3,1513.0
10:24.0,G. Trent makes 2-pt jump shot from 4 ft,67-68, ,,3,68,67,1,1536.0
10:03.0, ,67-68,Turnover by C. Capela (lost ball; steal by J. Nwora),,3,68,67,1,1557.0
9:58.0,J. Nwora misses 3-pt jump shot from 25 ft,67-68, ,,3,68,67,1,1562.0
9:54.0, ,67-68,Defensive rebound by D. Murray,,3,68,67,1,1566.0
9:47.0, ,67-71,S. Bey makes 3-pt jump shot from 23 ft (assist by J. Johnson),,3,71,67,4,1573.0
9:34.0,Offensive foul by I. Quickley (drawn by T. Young),67-71, ,,3,71,67,4,1586.0
9:34.0,Turnover by I. Quickley (offensive foul),67-71, ,,3,71,67,4,1586.0
9:22.0, ,67-71,D. Murray misses 3-pt jump shot from 24 ft,,3,71,67,4,1598.0
9:18.0, ,67-71,Offensive rebound by C. Capela,,3,71,67,4,1602.0
9:17.0, ,67-71,C. Capela misses 2-pt hook shot from 5 ft,,3,71,67,4,1603.0
9:13.0, ,67-71,Offensive rebound by S. Bey,,3,71,67,4,1607.0
9:13.0, ,67-71,S. Bey misses 2-pt layup at rim,,3,71,67,4,1607.0
9:12.0,Defensive rebound by J. Poeltl,67-71, ,,3,71,67,4,1608.0
9:06.0,J. Poeltl makes 2-pt layup from 1 ft (assist by G. Trent),69-71, ,,3,71,69,2,1614.0
8:54.0, ,69-71,S. Bey misses 3-pt jump shot from 24 ft,,3,71,69,2,1626.0
8:51.0,Defensive rebound by G. Trent,69-71, ,,3,71,69,2,1629.0
8:42.0,G. Trent makes 2-pt jump shot from 13 ft (assist by J. Poeltl),71-71, ,Tie,3,71,71,0,1638.0
8:25.0, ,71-73,D. Murray makes 2-pt jump shot from 16 ft,,3,73,71,2,1655.0
8:02.0,Turnover by J. Poeltl (bad pass; steal by D. Murray),71-73, ,,3,73,71,2,1678.0
7:55.0, ,71-75,D. Murray makes 2-pt layup from 2 ft,,3,75,71,4,1685.0
7:54.0,Toronto full timeout,71-75, ,,3,75,71,4,1686.0
7:54.0,B. Brown enters the game for J. Nwora,71-75, ,,3,75,71,4,1686.0
