Time,Atlanta,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:17.0, ,57-65,T. Mann makes 2-pt layup from 1 ft,,3,57,65,-8,1543.0
10:12.0,Turnover by T. Young (bad pass; steal by T. Mann),57-65, ,,3,57,65,-8,1548.0
9:56.0, ,57-65,T. Mann misses 2-pt jump shot from 6 ft,,3,57,65,-8,1564.0
9:54.0,Defensive rebound by B. Fernando,57-65, ,,3,57,65,-8,1566.0
9:44.0,D. Murray misses 2-pt jump shot from 8 ft,57-65, ,,3,57,65,-8,1576.0
9:43.0, ,57-65,Defensive rebound by T. Mann,,3,57,65,-8,1577.0
9:42.0, ,57-65,Personal foul by B. Fernando (drawn by T. Mann),,3,57,65,-8,1578.0
9:26.0, ,57-67,B. Miller makes 2-pt jump shot from 17 ft,,3,57,67,-10,1594.0
9:08.0,Turnover by T. Young (bad pass),57-67, ,,3,57,67,-10,1612.0
8:49.0, ,57-67,M. Bridges misses 3-pt jump shot from 25 ft,,3,57,67,-10,1631.0
8:46.0,Defensive rebound by B. Fernando,57-67, ,,3,57,67,-10,1634.0
8:36.0,D. Murray misses 3-pt jump shot from 27 ft,57-67, ,,3,57,67,-10,1644.0
8:33.0, ,57-67,Defensive rebound by M. Bridges,,3,57,67,-10,1647.0
8:23.0, ,57-70,T. Mann makes 3-pt jump shot from 28 ft,,3,57,70,-13,1657.0
8:21.0,Atlanta full timeout,57-70, ,,3,57,70,-13,1659.0
8:03.0,B. Fernando misses 2-pt layup from 3 ft,57-70, ,,3,57,70,-13,1677.0
8:02.0,Offensive rebound by B. Fernando,57-70, ,,3,57,70,-13,1678.0
8:02.0,Personal foul by N. Richards (drawn by B. Fernando),57-70, ,,3,57,70,-13,1678.0
7:53.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),59-70, ,,3,59,70,-11,1687.0
7:35.0, ,59-70,Shooting foul by B. Fernando (drawn by B. Miller),,3,59,70,-11,1705.0
7:35.0, ,59-71,B. Miller makes free throw 1 of 2,,3,59,71,-12,1705.0
7:35.0,D. Hunter enters the game for B. Fernando,59-71, ,,3,59,71,-12,1705.0
7:35.0, ,59-72,B. Miller makes free throw 2 of 2,,3,59,72,-13,1705.0
7:28.0,Shooting foul by M. Bridges (drawn by D. Hunter),59-72, ,,3,59,72,-13,1712.0
7:28.0,D. Hunter makes free throw 1 of 2,60-72, ,,3,60,72,-12,1712.0
7:28.0,D. Hunter makes free throw 2 of 2,61-72, ,,3,61,72,-11,1712.0
7:18.0, ,61-72,Personal foul by D. Hunter (drawn by N. Richards),,3,61,72,-11,1722.0
7:06.0, ,61-74,N. Richards makes 2-pt layup from 2 ft (assist by T. Mann),,3,61,74,-13,1734.0
6:55.0,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),64-74, ,,3,64,74,-10,1745.0
6:44.0, ,64-74,Personal foul by T. Young (drawn by T. Mann),,3,64,74,-10,1756.0
6:44.0, ,64-75,T. Mann makes free throw 1 of 2,,3,64,75,-11,1756.0
6:44.0,B. Bogdanović enters the game for T. Young,64-75, ,,3,64,75,-11,1756.0
6:44.0, ,64-76,T. Mann makes free throw 2 of 2,,3,64,76,-12,1756.0
6:28.0,D. Hunter misses 3-pt jump shot from 27 ft,64-76, ,,3,64,76,-12,1772.0
6:25.0,Offensive rebound by J. Johnson,64-76, ,,3,64,76,-12,1775.0
6:24.0,J. Johnson misses 2-pt layup at rim,64-76, ,,3,64,76,-12,1776.0
6:21.0, ,64-76,Defensive rebound by N. Richards,,3,64,76,-12,1779.0
6:13.0, ,64-76,Turnover by B. Miller (bad pass; steal by B. Bogdanović),,3,64,76,-12,1787.0
6:09.0,Turnover by S. Bey (step out of bounds),64-76, ,,3,64,76,-12,1791.0
6:09.0, ,64-76,S. Curry enters the game for T. Mann,,3,64,76,-12,1791.0
6:09.0, ,64-76,V. Micić enters the game for C. Martin,,3,64,76,-12,1791.0
5:55.0, ,64-76,B. Miller misses 3-pt jump shot from 26 ft,,3,64,76,-12,1805.0
5:51.0, ,64-76,Offensive rebound by B. Miller,,3,64,76,-12,1809.0
5:46.0, ,64-76,V. Micić misses 2-pt jump shot from 7 ft (block by S. Bey),,3,64,76,-12,1814.0
5:44.0,Defensive rebound by S. Bey,64-76, ,,3,64,76,-12,1816.0
5:37.0,Personal foul by V. Micić (drawn by D. Murray),64-76, ,,3,64,76,-12,1823.0
5:31.0,D. Murray makes 2-pt layup from 2 ft,66-76, ,,3,66,76,-10,1829.0
5:19.0, ,66-76,Turnover by B. Miller (bad pass),,3,66,76,-10,1841.0
5:07.0,J. Johnson misses 2-pt jump shot from 5 ft,66-76, ,,3,66,76,-10,1853.0
5:07.0,Offensive rebound by J. Johnson,66-76, ,,3,66,76,-10,1853.0
5:07.0,J. Johnson makes 2-pt layup at rim,68-76, ,,3,68,76,-8,1853.0
5:07.0, ,68-76,Charlotte full timeout,,3,68,76,-8,1853.0
5:07.0, ,68-76,G. Williams enters the game for N. Richards,,3,68,76,-8,1853.0
4:58.0, ,68-76,V. Micić misses 2-pt layup from 1 ft,,3,68,76,-8,1862.0
4:57.0, ,68-76,Offensive rebound by G. Williams,,3,68,76,-8,1863.0
4:56.0, ,68-78,G. Williams makes 2-pt layup at rim,,3,68,78,-10,1864.0
4:40.0,D. Hunter makes 2-pt jump shot from 9 ft (assist by D. Murray),70-78, ,,3,70,78,-8,1880.0
4:27.0, ,70-81,S. Curry makes 3-pt jump shot from 23 ft (assist by V. Micić),,3,70,81,-11,1893.0
4:13.0,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),73-81, ,,3,73,81,-8,1907.0
3:56.0, ,73-81,M. Bridges misses 2-pt layup from 3 ft,,3,73,81,-8,1924.0
3:54.0,Defensive rebound by J. Johnson,73-81, ,,3,73,81,-8,1926.0
