Time,New Orleans,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:33.0,B. Ingram misses free throw 1 of 2,78-57, ,,3,57,78,-21,2067.0
1:33.0,Offensive rebound by Team,78-57, ,,3,57,78,-21,2067.0
1:33.0,J. Alvarado enters the game for C. McCollum,78-57, ,,3,57,78,-21,2067.0
1:33.0, ,78-57,S. Bey enters the game for G. Mathews,,3,57,78,-21,2067.0
1:33.0,B. Ingram makes free throw 2 of 2,79-57, ,,3,57,79,-22,2067.0
1:21.0, ,79-57,Shooting foul by J. Valančiūnas (drawn by S. Bey),,3,57,79,-22,2079.0
1:21.0, ,79-58,S. Bey makes free throw 1 of 2,,3,58,79,-21,2079.0
1:21.0,Z. Williamson enters the game for B. Ingram,79-58, ,,3,58,79,-21,2079.0
1:21.0, ,79-59,S. Bey makes free throw 2 of 2,,3,59,79,-20,2079.0
0:57.0,Turnover by J. Valančiūnas (lost ball; steal by B. Fernando),79-59, ,,3,59,79,-20,2103.0
0:51.0, ,79-62,D. Murray makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,3,62,79,-17,2109.0
0:39.0,Personal foul by D. Murray (drawn by Z. Williamson),79-62, ,,3,62,79,-17,2121.0
0:39.0,Z. Williamson makes free throw 1 of 2,80-62, ,,3,62,80,-18,2121.0
0:39.0,Z. Williamson misses free throw 2 of 2,80-62, ,,3,62,80,-18,2121.0
0:37.0, ,80-62,Defensive rebound by B. Fernando,,3,62,80,-18,2123.0
0:32.0, ,80-62,B. Bogdanović misses 3-pt jump shot from 25 ft,,3,62,80,-18,2128.0
0:28.0,Defensive rebound by J. Valančiūnas,80-62, ,,3,62,80,-18,2132.0
0:07.0,T. Murphy misses 3-pt jump shot from 25 ft,80-62, ,,3,62,80,-18,2153.0
0:03.0, ,80-62,Defensive rebound by B. Fernando,,3,62,80,-18,2157.0
0:00.0, ,80-65,S. Bey makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,3,65,80,-15,2160.0
0:00.0, ,80-65,Instant Replay (Request: Ruling Stands),,3,65,80,-15,2160.0
0:00.0,End of 3rd quarter,80-65,,,3,65,80,-15,2160.0
12:00.0,Start of 4th quarter,80-65,,,4,65,80,-15,2160.0
11:45.0, ,80-68,D. Hunter makes 3-pt jump shot from 24 ft (assist by B. Fernando),,4,68,80,-12,2175.0
11:26.0,Shooting foul by B. Fernando (drawn by Z. Williamson),80-68, ,,4,68,80,-12,2194.0
11:26.0,Z. Williamson makes free throw 1 of 2,81-68, ,,4,68,81,-13,2194.0
11:26.0,Z. Williamson makes free throw 2 of 2,82-68, ,,4,68,82,-14,2194.0
11:01.0, ,82-68,S. Bey misses 2-pt jump shot from 11 ft,,4,68,82,-14,2219.0
10:58.0,Defensive rebound by N. Marshall,82-68, ,,4,68,82,-14,2222.0
10:47.0,Z. Williamson misses 2-pt layup at rim (block by B. Fernando),82-68, ,,4,68,82,-14,2233.0
10:43.0, ,82-68,Defensive rebound by T. Forrest,,4,68,82,-14,2237.0
10:41.0, ,82-68,Shooting foul by T. Murphy (drawn by S. Bey),,4,68,82,-14,2239.0
10:41.0, ,82-68,Atlanta full timeout,,4,68,82,-14,2239.0
10:41.0, ,82-68,S. Bey misses free throw 1 of 2,,4,68,82,-14,2239.0
10:41.0, ,82-68,Offensive rebound by Team,,4,68,82,-14,2239.0
10:41.0, ,82-69,S. Bey makes free throw 2 of 2,,4,69,82,-13,2239.0
10:40.0,Personal take foul by T. Forrest (drawn by J. Alvarado),82-69, ,,4,69,82,-13,2240.0
10:40.0, ,82-69,V. Krejci enters the game for S. Bey,,4,69,82,-13,2240.0
10:40.0, ,82-69,D. Murray enters the game for T. Forrest,,4,69,82,-13,2240.0
10:30.0,T. Murphy makes 3-pt jump shot from 26 ft (assist by Z. Williamson),85-69, ,,4,69,85,-16,2250.0
10:17.0, ,85-69,Turnover by D. Murray (bad pass; steal by L. Nance),,4,69,85,-16,2263.0
10:13.0,Z. Williamson makes 2-pt layup from 2 ft (assist by N. Marshall),87-69, ,,4,69,87,-18,2267.0
10:07.0, ,87-69,Turnover by D. Murray (lost ball; steal by J. Alvarado),,4,69,87,-18,2273.0
10:03.0,N. Marshall makes 2-pt layup from 1 ft,89-69, ,,4,69,89,-20,2277.0
9:37.0, ,89-72,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,72,89,-17,2303.0
9:22.0,T. Murphy misses 3-pt jump shot from 30 ft,89-72, ,,4,72,89,-17,2318.0
9:20.0, ,89-72,Defensive rebound by D. Hunter,,4,72,89,-17,2320.0
9:15.0, ,89-72,D. Hunter misses 3-pt jump shot from 26 ft,,4,72,89,-17,2325.0
9:10.0,Defensive rebound by N. Marshall,89-72, ,,4,72,89,-17,2330.0
8:56.0,Technical foul by Z. Williamson,89-72, ,,4,72,89,-17,2344.0
8:56.0, ,89-72,D. Murray misses technical free throw,,4,72,89,-17,2344.0
8:56.0,Defensive rebound by Team,89-72, ,,4,72,89,-17,2344.0
8:56.0,New Orleans full timeout,89-72, ,,4,72,89,-17,2344.0
8:52.0,Z. Williamson makes 2-pt dunk from 1 ft (assist by L. Nance),91-72, ,,4,72,91,-19,2348.0
8:37.0, ,91-72,Turnover by V. Krejci (bad pass; steal by L. Nance),,4,72,91,-19,2363.0
8:33.0,Z. Williamson makes 2-pt layup from 1 ft (assist by L. Nance),93-72, ,,4,72,93,-21,2367.0
8:13.0, ,93-74,B. Fernando makes 2-pt dunk from 2 ft (assist by D. Murray),,4,74,93,-19,2387.0
7:56.0,T. Murphy misses 3-pt jump shot from 26 ft,93-74, ,,4,74,93,-19,2404.0
7:52.0, ,93-74,Defensive rebound by D. Hunter,,4,74,93,-19,2408.0
7:44.0, ,93-76,D. Hunter makes 2-pt jump shot from 13 ft,,4,76,93,-17,2416.0
7:27.0,T. Murphy makes 2-pt jump shot from 5 ft (assist by Z. Williamson),95-76, ,,4,76,95,-19,2433.0
7:09.0, ,95-79,V. Krejci makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,79,95,-16,2451.0
6:54.0,J. Alvarado makes 3-pt jump shot from 23 ft (assist by Z. Williamson),98-79, ,,4,79,98,-19,2466.0
6:34.0, ,98-82,B. Bogdanović makes 3-pt jump shot from 26 ft,,4,82,98,-16,2486.0
6:16.0, ,98-82,Violation by Team (kicked ball),,4,82,98,-16,2504.0
6:16.0,B. Ingram enters the game for N. Marshall,98-82, ,,4,82,98,-16,2504.0
6:16.0,H. Jones enters the game for Z. Williamson,98-82, ,,4,82,98,-16,2504.0
6:16.0, ,98-82,C. Capela enters the game for B. Fernando,,4,82,98,-16,2504.0
6:16.0, ,98-82,G. Mathews enters the game for V. Krejci,,4,82,98,-16,2504.0
6:07.0,J. Alvarado makes 3-pt jump shot from 23 ft (assist by H. Jones),101-82, ,,4,82,101,-19,2513.0
5:56.0, ,101-82,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,82,101,-19,2524.0
5:53.0, ,101-82,Offensive rebound by C. Capela,,4,82,101,-19,2527.0
5:50.0, ,101-82,G. Mathews misses 3-pt jump shot from 23 ft,,4,82,101,-19,2530.0
5:46.0,Defensive rebound by B. Ingram,101-82, ,,4,82,101,-19,2534.0
5:41.0,J. Alvarado misses 2-pt layup from 3 ft,101-82, ,,4,82,101,-19,2539.0
5:38.0, ,101-82,Defensive rebound by C. Capela,,4,82,101,-19,2542.0
5:34.0, ,101-85,D. Murray makes 3-pt jump shot from 26 ft,,4,85,101,-16,2546.0
5:19.0,L. Nance makes 2-pt dunk from 1 ft (assist by B. Ingram),103-85, ,,4,85,103,-18,2561.0
5:19.0,Shooting foul by B. Bogdanović (drawn by L. Nance),103-85, ,,4,85,103,-18,2561.0
5:19.0,C. McCollum enters the game for J. Alvarado,103-85, ,,4,85,103,-18,2561.0
5:19.0,L. Nance misses free throw 1 of 1,103-85, ,,4,85,103,-18,2561.0
5:17.0, ,103-85,Defensive rebound by C. Capela,,4,85,103,-18,2563.0
5:05.0, ,103-85,B. Bogdanović misses 2-pt jump shot from 11 ft,,4,85,103,-18,2575.0
5:00.0, ,103-85,Offensive rebound by C. Capela,,4,85,103,-18,2580.0
4:58.0, ,103-87,C. Capela makes 2-pt hook shot from 6 ft,,4,87,103,-16,2582.0
4:42.0,Shooting foul by G. Mathews (drawn by L. Nance),103-87, ,,4,87,103,-16,2598.0
4:42.0,L. Nance makes free throw 1 of 2,104-87, ,,4,87,104,-17,2598.0
4:42.0,L. Nance makes free throw 2 of 2,105-87, ,,4,87,105,-18,2598.0
4:25.0, ,105-90,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,90,105,-15,2615.0
4:07.0,Turnover by B. Ingram (lost ball; steal by B. Bogdanović),105-90, ,,4,90,105,-15,2633.0
4:04.0, ,105-90,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,90,105,-15,2636.0
4:00.0,Defensive rebound by B. Ingram,105-90, ,,4,90,105,-15,2640.0
3:56.0,New Orleans full timeout,105-90, ,,4,90,105,-15,2644.0
3:56.0,Z. Williamson enters the game for T. Murphy,105-90, ,,4,90,105,-15,2644.0
3:47.0,Shooting foul by G. Mathews (drawn by Z. Williamson),105-90, ,,4,90,105,-15,2653.0
3:47.0,Z. Williamson makes free throw 1 of 2,106-90, ,,4,90,106,-16,2653.0
3:47.0,Z. Williamson misses free throw 2 of 2,106-90, ,,4,90,106,-16,2653.0
3:45.0, ,106-90,Defensive rebound by C. Capela,,4,90,106,-16,2655.0
3:28.0, ,106-92,C. Capela makes 2-pt dunk from 2 ft (assist by B. Bogdanović),,4,92,106,-14,2672.0
3:04.0,Z. Williamson makes 2-pt layup from 1 ft,108-92, ,,4,92,108,-16,2696.0
2:43.0, ,108-92,D. Murray misses 2-pt jump shot from 12 ft,,4,92,108,-16,2717.0
2:39.0, ,108-92,Offensive rebound by D. Murray,,4,92,108,-16,2721.0
2:39.0, ,108-94,D. Murray makes 2-pt layup from 3 ft,,4,94,108,-14,2721.0
2:24.0,New Orleans full timeout,108-94, ,,4,94,108,-14,2736.0
2:13.0,H. Jones misses 2-pt layup from 3 ft,108-94, ,,4,94,108,-14,2747.0
2:07.0,Offensive rebound by Z. Williamson,108-94, ,,4,94,108,-14,2753.0
2:07.0,Z. Williamson makes 2-pt dunk at rim,110-94, ,,4,94,110,-16,2753.0
1:57.0, ,110-96,D. Hunter makes 2-pt layup from 3 ft (assist by D. Murray),,4,96,110,-14,2763.0
1:44.0,Turnover by Z. Williamson (bad pass),110-96, ,,4,96,110,-14,2776.0
1:26.0, ,110-98,C. Capela makes 2-pt hook shot from 9 ft (assist by D. Murray),,4,98,110,-12,2794.0
1:10.0,C. McCollum makes 2-pt jump shot from 8 ft (assist by B. Ingram),112-98, ,,4,98,112,-14,2810.0
1:10.0,Shooting foul by G. Mathews (drawn by C. McCollum),112-98, ,,4,98,112,-14,2810.0
1:10.0,C. McCollum makes free throw 1 of 1,113-98, ,,4,98,113,-15,2810.0
1:02.0, ,113-100,C. Capela makes 2-pt layup from 2 ft (assist by B. Bogdanović),,4,100,113,-13,2818.0
0:40.0,B. Ingram misses 2-pt jump shot from 16 ft,113-100, ,,4,100,113,-13,2840.0
0:36.0,Offensive rebound by Z. Williamson,113-100, ,,4,100,113,-13,2844.0
0:26.0,C. McCollum makes 3-pt jump shot from 26 ft,116-100, ,,4,100,116,-16,2854.0
0:19.0, ,116-103,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,103,116,-13,2861.0
0:00.0,End of 4th quarter,116-103,,,4,103,116,-13,2880.0
