Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:14.0,Turnover by T. Maxey (discontinued dribble),17-16, ,,1,16,17,-1,406.0
5:14.0, ,17-16,S. Bey enters the game for J. Johnson,,1,16,17,-1,406.0
4:57.0, ,17-18,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Murray),Lead change,1,18,17,1,423.0
4:38.0,R. Covington makes 3-pt jump shot from 24 ft (assist by J. Embiid),20-18, ,Lead change,1,18,20,-2,442.0
4:20.0, ,20-18,B. Bogdanović misses 2-pt jump shot from 12 ft,,1,18,20,-2,460.0
4:17.0, ,20-18,Offensive rebound by C. Capela,,1,18,20,-2,463.0
4:17.0, ,20-20,C. Capela makes 2-pt layup at rim,Tie,1,20,20,0,463.0
4:06.0,D. Melton makes 3-pt jump shot from 25 ft (assist by J. Embiid),23-20, ,,1,20,23,-3,474.0
3:45.0, ,23-20,Shooting foul by R. Covington (drawn by C. Capela),,1,20,23,-3,495.0
3:45.0, ,23-20,C. Capela misses free throw 1 of 2,,1,20,23,-3,495.0
3:45.0, ,23-20,Offensive rebound by Team,,1,20,23,-3,495.0
3:45.0,P. Beverley enters the game for T. Harris,23-20, ,,1,20,23,-3,495.0
3:45.0,D. House enters the game for T. Maxey,23-20, ,,1,20,23,-3,495.0
3:45.0, ,23-20,W. Matthews enters the game for D. Hunter,,1,20,23,-3,495.0
3:45.0, ,23-21,C. Capela makes free throw 2 of 2,,1,21,23,-2,495.0
3:29.0,D. House misses 3-pt jump shot from 24 ft,23-21, ,,1,21,23,-2,511.0
3:27.0,Offensive rebound by Team,23-21, ,,1,21,23,-2,513.0
3:27.0,M. Morris enters the game for R. Covington,23-21, ,,1,21,23,-2,513.0
3:27.0,J. Springer enters the game for D. Melton,23-21, ,,1,21,23,-2,513.0
3:27.0, ,23-21,O. Okongwu enters the game for C. Capela,,1,21,23,-2,513.0
3:23.0,Shooting foul by O. Okongwu (drawn by J. Embiid),23-21, ,,1,21,23,-2,517.0
3:23.0,J. Embiid makes free throw 1 of 2,24-21, ,,1,21,24,-3,517.0
3:23.0, ,24-21,T. Young enters the game for D. Murray,,1,21,24,-3,517.0
3:23.0,J. Embiid makes free throw 2 of 2,25-21, ,,1,21,25,-4,517.0
3:08.0, ,25-21,Shooting foul by P. Beverley (drawn by T. Young),,1,21,25,-4,532.0
3:08.0, ,25-22,T. Young makes free throw 1 of 2,,1,22,25,-3,532.0
3:08.0, ,25-23,T. Young makes free throw 2 of 2,,1,23,25,-2,532.0
2:51.0,Philadelphia full timeout,25-23, ,,1,23,25,-2,549.0
2:47.0,J. Embiid misses 2-pt jump shot from 17 ft,25-23, ,,1,23,25,-2,553.0
2:46.0,Offensive rebound by D. House,25-23, ,,1,23,25,-2,554.0
2:46.0,D. House makes 2-pt layup from 1 ft,27-23, ,,1,23,27,-4,554.0
2:46.0,Shooting foul by B. Bogdanović (drawn by D. House),27-23, ,,1,23,27,-4,554.0
2:46.0,D. House makes free throw 1 of 1,28-23, ,,1,23,28,-5,554.0
2:31.0, ,28-23,W. Matthews misses 3-pt jump shot from 27 ft,,1,23,28,-5,569.0
2:27.0, ,28-23,Offensive rebound by O. Okongwu,,1,23,28,-5,573.0
2:26.0, ,28-23,T. Young misses 2-pt jump shot from 9 ft,,1,23,28,-5,574.0
2:23.0,Defensive rebound by M. Morris,28-23, ,,1,23,28,-5,577.0
2:11.0,J. Embiid misses 2-pt jump shot from 11 ft,28-23, ,,1,23,28,-5,589.0
2:09.0, ,28-23,Defensive rebound by B. Bogdanović,,1,23,28,-5,591.0
2:03.0, ,28-23,B. Bogdanović misses 2-pt jump shot from 9 ft,,1,23,28,-5,597.0
2:02.0, ,28-23,Offensive rebound by Team,,1,23,28,-5,598.0
2:00.0, ,28-23,Personal foul by M. Morris (drawn by W. Matthews),,1,23,28,-5,600.0
2:00.0, ,28-24,W. Matthews makes free throw 1 of 2,,1,24,28,-4,600.0
2:00.0, ,28-24,W. Matthews misses free throw 2 of 2,,1,24,28,-4,600.0
1:58.0,Defensive rebound by D. House,28-24, ,,1,24,28,-4,602.0
1:37.0,Turnover by J. Springer (off goaltending),28-24, ,,1,24,28,-4,623.0
1:16.0, ,28-24,Turnover by O. Okongwu (off goaltending),,1,24,28,-4,644.0
1:16.0,T. Harris enters the game for M. Morris,28-24, ,,1,24,28,-4,644.0
1:16.0, ,28-24,Atlanta full timeout,,1,24,28,-4,644.0
1:16.0,M. Morris enters the game for T. Harris,28-24, ,,1,24,28,-4,644.0
1:16.0, ,28-24,Instant Replay (Challenge: Ruling Stands),,1,24,28,-4,644.0
0:57.0,T. Harris misses 2-pt jump shot from 7 ft,28-24, ,,1,24,28,-4,663.0
0:54.0,Offensive rebound by J. Springer,28-24, ,,1,24,28,-4,666.0
0:42.0,J. Embiid misses 2-pt jump shot from 13 ft,28-24, ,,1,24,28,-4,678.0
0:39.0, ,28-24,Defensive rebound by S. Bey,,1,24,28,-4,681.0
0:20.0, ,28-24,T. Young misses 2-pt jump shot from 20 ft,,1,24,28,-4,700.0
0:17.0,Defensive rebound by J. Embiid,28-24, ,,1,24,28,-4,703.0
0:00.0,Shooting foul by B. Bogdanović (drawn by D. House),28-24, ,,1,24,28,-4,720.0
0:00.0,Instant Replay (Request: Ruling Stands),28-24, ,,1,24,28,-4,720.0
0:00.0,D. House makes free throw 1 of 2,29-24, ,,1,24,29,-5,720.0
0:00.0, ,29-24,C. Capela enters the game for T. Young,,1,24,29,-5,720.0
0:00.0,D. House makes free throw 2 of 2,30-24, ,,1,24,30,-6,720.0
0:00.0, ,30-24,O. Okongwu misses 3-pt jump shot from 57 ft,,1,24,30,-6,720.0
0:00.0, ,30-24,Offensive rebound by Team,,1,24,30,-6,720.0
0:00.0,End of 1st quarter,30-24,,,1,24,30,-6,720.0
12:00.0,Start of 2nd quarter,30-24,,,2,24,30,-6,720.0
11:44.0,J. Springer misses 3-pt jump shot from 24 ft,30-24, ,,2,24,30,-6,736.0
11:42.0, ,30-24,Defensive rebound by S. Bey,,2,24,30,-6,738.0
11:30.0, ,30-27,O. Okongwu makes 3-pt jump shot from 23 ft (assist by T. Young),,2,27,30,-3,750.0
11:03.0,T. Harris misses 2-pt jump shot from 11 ft,30-27, ,,2,27,30,-3,777.0
11:00.0, ,30-27,Defensive rebound by O. Okongwu,,2,27,30,-3,780.0
10:57.0, ,30-30,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),Tie,2,30,30,0,783.0
10:31.0,Turnover by J. Springer (bad pass; steal by B. Bogdanović),30-30, ,,2,30,30,0,809.0
10:29.0, ,30-30,S. Bey misses 2-pt layup from 2 ft (block by J. Springer),,2,30,30,0,811.0
10:28.0, ,30-30,Offensive rebound by Team,,2,30,30,0,812.0
10:24.0, ,30-30,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,30,30,0,816.0
10:19.0,Defensive rebound by T. Maxey,30-30, ,,2,30,30,0,821.0
10:11.0,P. Reed misses 2-pt layup from 2 ft,30-30, ,,2,30,30,0,829.0
10:09.0, ,30-30,Defensive rebound by J. Johnson,,2,30,30,0,831.0
10:05.0, ,30-30,J. Johnson misses 2-pt layup from 2 ft (block by J. Springer),,2,30,30,0,835.0
10:05.0,Defensive rebound by T. Harris,30-30, ,,2,30,30,0,835.0
9:59.0,T. Harris misses 2-pt layup from 1 ft,30-30, ,,2,30,30,0,841.0
9:57.0, ,30-30,Defensive rebound by T. Young,,2,30,30,0,843.0
9:54.0, ,30-30,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,30,30,0,846.0
9:48.0,Defensive rebound by T. Maxey,30-30, ,,2,30,30,0,852.0
9:37.0,J. Springer misses 3-pt jump shot from 23 ft,30-30, ,,2,30,30,0,863.0
9:34.0,Offensive rebound by P. Reed,30-30, ,,2,30,30,0,866.0
9:33.0,T. Harris misses 3-pt jump shot from 26 ft,30-30, ,,2,30,30,0,867.0
9:33.0, ,30-30,Defensive rebound by O. Okongwu,,2,30,30,0,867.0
9:26.0, ,30-30,Shooting foul by D. House (drawn by B. Bogdanović),,2,30,30,0,874.0
9:26.0, ,30-31,B. Bogdanović makes free throw 1 of 2,Lead change,2,31,30,1,874.0
9:26.0, ,30-32,B. Bogdanović makes free throw 2 of 2,,2,32,30,2,874.0
9:05.0,T. Maxey misses 2-pt jump shot from 10 ft,30-32, ,,2,32,30,2,895.0
9:03.0, ,30-32,Defensive rebound by J. Johnson,,2,32,30,2,897.0
9:00.0, ,30-34,S. Bey makes 2-pt dunk from 1 ft (assist by J. Johnson),,2,34,30,4,900.0
9:00.0,Philadelphia full timeout,30-34, ,,2,34,30,4,900.0
9:00.0,D. Melton enters the game for J. Springer,30-34, ,,2,34,30,4,900.0
8:39.0,D. Melton misses 2-pt layup from 1 ft,30-34, ,,2,34,30,4,921.0
8:36.0, ,30-34,Defensive rebound by O. Okongwu,,2,34,30,4,924.0
8:33.0, ,30-34,S. Bey misses 3-pt jump shot from 23 ft,,2,34,30,4,927.0
8:31.0,Defensive rebound by T. Harris,30-34, ,,2,34,30,4,929.0
8:26.0,Turnover by D. House (bad pass; steal by T. Young),30-34, ,,2,34,30,4,934.0
8:22.0, ,30-36,S. Bey makes 2-pt dunk from 2 ft (assist by T. Young),,2,36,30,6,938.0
8:07.0,Shooting foul by S. Bey (drawn by T. Maxey),30-36, ,,2,36,30,6,953.0
8:07.0,T. Maxey makes free throw 1 of 2,31-36, ,,2,36,31,5,953.0
8:07.0,R. Covington enters the game for D. House,31-36, ,,2,36,31,5,953.0
8:07.0, ,31-36,D. Hunter enters the game for J. Johnson,,2,36,31,5,953.0
8:07.0, ,31-36,D. Murray enters the game for T. Young,,2,36,31,5,953.0
8:07.0,T. Maxey makes free throw 2 of 2,32-36, ,,2,36,32,4,953.0
7:53.0, ,32-36,D. Hunter misses 2-pt jump shot from 12 ft,,2,36,32,4,967.0
7:51.0,Defensive rebound by T. Harris,32-36, ,,2,36,32,4,969.0
7:44.0,T. Maxey makes 2-pt jump shot from 7 ft,34-36, ,,2,36,34,2,976.0
7:29.0, ,34-38,O. Okongwu makes 2-pt layup from 3 ft (assist by B. Bogdanović),,2,38,34,4,991.0
7:17.0,P. Reed misses 2-pt hook shot from 6 ft,34-38, ,,2,38,34,4,1003.0
7:14.0,Offensive rebound by R. Covington,34-38, ,,2,38,34,4,1006.0
7:12.0,D. Melton makes 3-pt jump shot from 26 ft (assist by R. Covington),37-38, ,,2,38,37,1,1008.0
6:43.0, ,37-38,D. Hunter misses 2-pt jump shot from 4 ft,,2,38,37,1,1037.0
6:41.0, ,37-38,Offensive rebound by S. Bey,,2,38,37,1,1039.0
6:39.0, ,37-38,Turnover by S. Bey (bad pass; steal by T. Maxey),,2,38,37,1,1041.0
6:35.0,T. Maxey misses 2-pt layup from 1 ft,37-38, ,,2,38,37,1,1045.0
6:32.0, ,37-38,Defensive rebound by B. Bogdanović,,2,38,37,1,1048.0
6:27.0, ,37-38,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,38,37,1,1053.0
6:22.0, ,37-38,Offensive rebound by S. Bey,,2,38,37,1,1058.0
6:21.0, ,37-38,Turnover by S. Bey (lost ball; steal by R. Covington),,2,38,37,1,1059.0
6:12.0,Turnover by D. Melton (lost ball; steal by S. Bey),37-38, ,,2,38,37,1,1068.0
6:09.0, ,37-40,S. Bey makes 2-pt layup from 1 ft (assist by D. Murray),,2,40,37,3,1071.0
6:09.0, ,37-40,Shooting foul by P. Reed (drawn by S. Bey),,2,40,37,3,1071.0
6:09.0,J. Embiid enters the game for P. Reed,37-40, ,,2,40,37,3,1071.0
6:09.0, ,37-41,S. Bey makes free throw 1 of 1,,2,41,37,4,1071.0
6:00.0,T. Harris misses 3-pt jump shot from 26 ft,37-41, ,,2,41,37,4,1080.0
5:56.0,Offensive rebound by R. Covington,37-41, ,,2,41,37,4,1084.0
5:52.0,T. Harris makes 2-pt dunk from 1 ft (assist by D. Melton),39-41, ,,2,41,39,2,1088.0
5:34.0, ,39-41,D. Murray misses 2-pt jump shot from 12 ft,,2,41,39,2,1106.0
5:32.0,Defensive rebound by T. Harris,39-41, ,,2,41,39,2,1108.0
5:27.0,R. Covington makes 3-pt jump shot from 24 ft (assist by T. Harris),42-41, ,Lead change,2,41,42,-1,1113.0
5:26.0, ,42-41,Atlanta full timeout,,2,41,42,-1,1114.0
5:26.0,P. Beverley enters the game for T. Harris,42-41, ,,2,41,42,-1,1114.0
5:26.0, ,42-41,C. Capela enters the game for S. Bey,,2,41,42,-1,1114.0
5:26.0, ,42-41,J. Johnson enters the game for B. Bogdanović,,2,41,42,-1,1114.0
5:26.0, ,42-41,T. Young enters the game for O. Okongwu,,2,41,42,-1,1114.0
5:10.0, ,42-41,Turnover by T. Young (bad pass; steal by J. Embiid),,2,41,42,-1,1130.0
5:02.0,T. Maxey makes 2-pt layup from 1 ft (assist by D. Melton),44-41, ,,2,41,44,-3,1138.0
4:39.0, ,44-43,D. Hunter makes 2-pt jump shot from 11 ft,,2,43,44,-1,1161.0
4:22.0,J. Embiid makes 2-pt jump shot from 12 ft (assist by T. Maxey),46-43, ,,2,43,46,-3,1178.0
4:14.0, ,46-45,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),,2,45,46,-1,1186.0
3:59.0,Shooting foul by C. Capela (drawn by J. Embiid),46-45, ,,2,45,46,-1,1201.0
3:59.0,J. Embiid makes free throw 1 of 2,47-45, ,,2,45,47,-2,1201.0
3:59.0,J. Embiid makes free throw 2 of 2,48-45, ,,2,45,48,-3,1201.0
3:50.0, ,48-45,T. Young misses 3-pt jump shot from 26 ft,,2,45,48,-3,1210.0
3:46.0,Defensive rebound by P. Beverley,48-45, ,,2,45,48,-3,1214.0
3:33.0,J. Embiid misses 2-pt jump shot from 13 ft,48-45, ,,2,45,48,-3,1227.0
3:30.0, ,48-45,Defensive rebound by D. Murray,,2,45,48,-3,1230.0
3:26.0, ,48-45,D. Murray misses 2-pt layup from 2 ft,,2,45,48,-3,1234.0
3:23.0,Defensive rebound by R. Covington,48-45, ,,2,45,48,-3,1237.0
3:18.0,T. Maxey misses 2-pt layup from 4 ft (block by J. Johnson),48-45, ,,2,45,48,-3,1242.0
3:17.0,Offensive rebound by Team,48-45, ,,2,45,48,-3,1243.0
3:17.0,T. Harris enters the game for P. Beverley,48-45, ,,2,45,48,-3,1243.0
3:05.0,T. Maxey makes 3-pt jump shot from 25 ft,51-45, ,,2,45,51,-6,1255.0
2:45.0, ,51-45,Shooting foul by R. Covington (drawn by T. Young),,2,45,51,-6,1275.0
2:45.0, ,51-46,T. Young makes free throw 1 of 2,,2,46,51,-5,1275.0
2:45.0, ,51-47,T. Young makes free throw 2 of 2,,2,47,51,-4,1275.0
2:33.0,J. Embiid misses 2-pt jump shot from 12 ft,51-47, ,,2,47,51,-4,1287.0
2:30.0, ,51-47,Defensive rebound by J. Johnson,,2,47,51,-4,1290.0
2:26.0, ,51-50,D. Hunter makes 3-pt jump shot from 27 ft (assist by T. Young),,2,50,51,-1,1294.0
2:10.0,T. Maxey misses 3-pt jump shot from 23 ft,51-50, ,,2,50,51,-1,1310.0
2:10.0, ,51-50,Defensive rebound by C. Capela,,2,50,51,-1,1310.0
2:04.0, ,51-52,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),Lead change,2,52,51,1,1316.0
1:53.0,Offensive foul by J. Embiid (drawn by C. Capela),51-52, ,,2,52,51,1,1327.0
1:53.0,Turnover by J. Embiid (offensive foul),51-52, ,,2,52,51,1,1327.0
1:45.0, ,51-54,T. Young makes 2-pt jump shot from 8 ft,,2,54,51,3,1335.0
1:26.0,D. Melton misses 3-pt jump shot from 25 ft,51-54, ,,2,54,51,3,1354.0
1:22.0,Offensive rebound by R. Covington,51-54, ,,2,54,51,3,1358.0
1:19.0,T. Maxey makes 3-pt jump shot from 25 ft (assist by R. Covington),54-54, ,Tie,2,54,54,0,1361.0
1:03.0, ,54-54,T. Young misses 3-pt jump shot from 26 ft,,2,54,54,0,1377.0
1:01.0, ,54-54,Offensive rebound by C. Capela,,2,54,54,0,1379.0
0:52.0, ,54-54,Shooting foul by J. Embiid (drawn by J. Johnson),,2,54,54,0,1388.0
0:52.0, ,54-55,J. Johnson makes free throw 1 of 2,,2,55,54,1,1388.0
0:52.0, ,54-56,J. Johnson makes free throw 2 of 2,,2,56,54,2,1388.0
0:29.0,J. Embiid misses 2-pt jump shot from 19 ft,54-56, ,,2,56,54,2,1411.0
0:27.0, ,54-56,Defensive rebound by J. Johnson,,2,56,54,2,1413.0
0:10.0, ,54-56,D. Murray misses 3-pt jump shot from 23 ft,,2,56,54,2,1430.0
0:05.0,Defensive rebound by R. Covington,54-56, ,,2,56,54,2,1435.0
0:03.0,T. Harris makes 2-pt dunk at rim (assist by T. Maxey),56-56, ,Tie,2,56,56,0,1437.0
0:03.0,Shooting foul by T. Young (drawn by T. Harris),56-56, ,,2,56,56,0,1437.0
0:03.0,P. Beverley enters the game for T. Maxey,56-56, ,,2,56,56,0,1437.0
0:03.0,T. Harris makes free throw 1 of 1,57-56, ,Lead change,2,56,57,-1,1437.0
0:00.0,End of 2nd quarter,57-56,,,2,56,57,-1,1440.0
12:00.0,Start of 3rd quarter,57-56,,,3,56,57,-1,1440.0
11:38.0,T. Maxey misses 2-pt jump shot from 14 ft,57-56, ,,3,56,57,-1,1462.0
11:33.0, ,57-56,Defensive rebound by T. Young,,3,56,57,-1,1467.0
11:26.0, ,57-56,Personal foul by R. Covington (drawn by T. Young),,3,56,57,-1,1474.0
11:13.0, ,57-58,D. Hunter makes 2-pt jump shot from 9 ft,Lead change,3,58,57,1,1487.0
10:59.0,T. Harris makes 3-pt jump shot from 26 ft (assist by T. Maxey),60-58, ,Lead change,3,58,60,-2,1501.0
10:43.0, ,60-60,C. Capela makes 2-pt layup from 3 ft (assist by D. Murray),Tie,3,60,60,0,1517.0
10:31.0,D. Melton misses 2-pt jump shot from 9 ft,60-60, ,,3,60,60,0,1529.0
10:29.0,Offensive rebound by R. Covington,60-60, ,,3,60,60,0,1531.0
10:29.0,R. Covington misses 2-pt layup from 1 ft,60-60, ,,3,60,60,0,1531.0
10:28.0,Offensive rebound by J. Embiid,60-60, ,,3,60,60,0,1532.0
10:27.0,Shooting foul by D. Hunter (drawn by J. Embiid),60-60, ,,3,60,60,0,1533.0
10:27.0, ,60-60,Technical foul by D. Hunter,,3,60,60,0,1533.0
10:27.0,T. Maxey makes technical free throw,61-60, ,,3,60,61,-1,1533.0
10:27.0, ,61-60,Technical foul by D. Hunter,,3,60,61,-1,1533.0
10:27.0, ,61-60,D. Hunter ejected from game,,3,60,61,-1,1533.0
10:27.0,T. Maxey makes technical free throw,62-60, ,,3,60,62,-2,1533.0
10:27.0, ,62-60,S. Bey enters the game for D. Hunter,,3,60,62,-2,1533.0
10:27.0,J. Embiid makes free throw 1 of 2,63-60, ,,3,60,63,-3,1533.0
10:27.0,J. Embiid makes free throw 2 of 2,64-60, ,,3,60,64,-4,1533.0
10:14.0, ,64-60,D. Murray misses 2-pt jump shot from 7 ft,,3,60,64,-4,1546.0
10:10.0, ,64-60,Offensive rebound by C. Capela,,3,60,64,-4,1550.0
10:10.0, ,64-60,C. Capela misses 2-pt layup at rim,,3,60,64,-4,1550.0
10:10.0,Defensive rebound by J. Embiid,64-60, ,,3,60,64,-4,1550.0
10:02.0,J. Embiid makes 2-pt layup from 2 ft,66-60, ,,3,60,66,-6,1558.0
9:46.0, ,66-62,J. Johnson makes 2-pt jump shot from 11 ft (assist by T. Young),,3,62,66,-4,1574.0
9:31.0,Turnover by T. Maxey (bad pass; steal by J. Johnson),66-62, ,,3,62,66,-4,1589.0
9:29.0, ,66-62,D. Murray misses 2-pt layup from 2 ft (block by D. Melton),,3,62,66,-4,1591.0
9:28.0, ,66-62,Offensive rebound by Team,,3,62,66,-4,1592.0
9:24.0, ,66-64,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,3,64,66,-2,1596.0
9:24.0, ,66-64,Shooting foul by R. Covington (drawn by C. Capela),,3,64,66,-2,1596.0
9:24.0, ,66-64,Instant Replay (Request: Ruling Stands),,3,64,66,-2,1596.0
9:24.0, ,66-65,C. Capela makes free throw 1 of 1,,3,65,66,-1,1596.0
9:17.0,Turnover by  (5 sec),66-65, ,,3,65,66,-1,1603.0
9:08.0, ,66-65,Shooting foul by D. Melton (drawn by J. Johnson),,3,65,66,-1,1612.0
9:08.0, ,66-66,J. Johnson makes free throw 1 of 2,Tie,3,66,66,0,1612.0
9:08.0, ,66-67,J. Johnson makes free throw 2 of 2,Lead change,3,67,66,1,1612.0
8:49.0,R. Covington misses 2-pt layup from 1 ft (block by J. Johnson),66-67, ,,3,67,66,1,1631.0
8:47.0, ,66-67,Defensive rebound by C. Capela,,3,67,66,1,1633.0
8:40.0, ,66-67,D. Murray misses 3-pt jump shot from 23 ft,,3,67,66,1,1640.0
8:36.0, ,66-67,Offensive rebound by C. Capela,,3,67,66,1,1644.0
8:35.0, ,66-69,C. Capela makes 2-pt layup from 1 ft,,3,69,66,3,1645.0
8:16.0,D. Melton misses 2-pt layup from 3 ft (block by J. Johnson),66-69, ,,3,69,66,3,1664.0
8:15.0,Offensive rebound by Team,66-69, ,,3,69,66,3,1665.0
8:15.0,P. Beverley enters the game for R. Covington,66-69, ,,3,69,66,3,1665.0
8:09.0,J. Embiid makes 2-pt jump shot from 15 ft,68-69, ,,3,69,68,1,1671.0
7:50.0, ,68-71,T. Young makes 2-pt jump shot from 8 ft,,3,71,68,3,1690.0
7:26.0,P. Beverley misses 3-pt jump shot from 23 ft,68-71, ,,3,71,68,3,1714.0
7:25.0,Offensive rebound by Team,68-71, ,,3,71,68,3,1715.0
7:25.0,Turnover by Team (shot clock),68-71, ,,3,71,68,3,1715.0
7:12.0, ,68-71,J. Johnson misses 3-pt jump shot from 26 ft,,3,71,68,3,1728.0
7:09.0,Defensive rebound by D. Melton,68-71, ,,3,71,68,3,1731.0
7:03.0,T. Maxey misses 3-pt jump shot from 26 ft,68-71, ,,3,71,68,3,1737.0
7:00.0, ,68-71,Defensive rebound by S. Bey,,3,71,68,3,1740.0
6:47.0, ,68-71,C. Capela misses 2-pt layup from 3 ft,,3,71,68,3,1753.0
6:45.0,Defensive rebound by D. Melton,68-71, ,,3,71,68,3,1755.0
6:44.0,Personal foul by T. Young (drawn by T. Maxey),68-71, ,,3,71,68,3,1756.0
6:44.0, ,68-71,Atlanta full timeout,,3,71,68,3,1756.0
6:33.0,Turnover by J. Embiid (bad pass),68-71, ,,3,71,68,3,1767.0
6:15.0, ,68-73,J. Johnson makes 2-pt jump shot from 13 ft,,3,73,68,5,1785.0
5:53.0,T. Harris makes 3-pt jump shot from 26 ft (assist by T. Maxey),71-73, ,,3,73,71,2,1807.0
5:39.0, ,71-73,D. Murray misses 3-pt jump shot from 26 ft,,3,73,71,2,1821.0
5:36.0,Defensive rebound by T. Harris,71-73, ,,3,73,71,2,1824.0
5:20.0,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. Harris),73-73, ,Tie,3,73,73,0,1840.0
5:04.0, ,73-73,D. Murray misses 3-pt jump shot from 25 ft,,3,73,73,0,1856.0
