Time,Boston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:26.0,J. Brown misses 2-pt layup from 1 ft,7-4, ,,1,4,7,-3,154.0
9:24.0, ,7-4,Defensive rebound by C. Capela,,1,4,7,-3,156.0
9:16.0, ,7-4,Shooting foul by K. Porziņģis (drawn by C. Capela),,1,4,7,-3,164.0
9:16.0, ,7-4,C. Capela misses free throw 1 of 2,,1,4,7,-3,164.0
9:16.0, ,7-4,Offensive rebound by Team,,1,4,7,-3,164.0
9:16.0, ,7-5,C. Capela makes free throw 2 of 2,,1,5,7,-2,164.0
8:57.0,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Tatum),9-5, ,,1,5,9,-4,183.0
8:45.0, ,9-5,B. Bogdanović misses 3-pt jump shot from 27 ft,,1,5,9,-4,195.0
8:43.0,Defensive rebound by A. Horford,9-5, ,,1,5,9,-4,197.0
8:28.0,J. Brown makes 3-pt jump shot from 25 ft,12-5, ,,1,5,12,-7,212.0
8:28.0,Shooting foul by C. Capela (drawn by J. Brown),12-5, ,,1,5,12,-7,212.0
8:28.0,J. Brown makes free throw 1 of 1,13-5, ,,1,5,13,-8,212.0
8:17.0, ,13-5,Turnover by B. Bogdanović (lost ball; steal by J. Brown),,1,5,13,-8,223.0
8:14.0,J. Brown makes 2-pt layup from 1 ft,15-5, ,,1,5,15,-10,226.0
8:14.0, ,15-5,Atlanta full timeout,,1,5,15,-10,226.0
8:01.0, ,15-7,C. Capela makes 2-pt dunk from 1 ft (assist by D. Hunter),,1,7,15,-8,239.0
7:51.0,J. Brown misses 2-pt jump shot from 6 ft,15-7, ,,1,7,15,-8,249.0
7:50.0, ,15-7,Defensive rebound by Team,,1,7,15,-8,250.0
7:43.0,Violation by Team (kicked ball),15-7, ,,1,7,15,-8,257.0
7:35.0, ,15-7,D. Murray misses 2-pt jump shot from 10 ft,,1,7,15,-8,265.0
7:34.0, ,15-7,Offensive rebound by C. Capela,,1,7,15,-8,266.0
7:34.0, ,15-7,C. Capela misses 2-pt layup at rim,,1,7,15,-8,266.0
7:33.0,Defensive rebound by Team,15-7, ,,1,7,15,-8,267.0
7:19.0,J. Tatum makes 3-pt jump shot from 26 ft,18-7, ,,1,7,18,-11,281.0
7:04.0, ,18-10,D. Hunter makes 3-pt jump shot from 23 ft (assist by D. Murray),,1,10,18,-8,296.0
6:49.0,J. Brown makes 2-pt layup from 2 ft,20-10, ,,1,10,20,-10,311.0
6:36.0, ,20-10,V. Krejci misses 2-pt layup from 5 ft (block by K. Porziņģis),,1,10,20,-10,324.0
6:34.0,Defensive rebound by A. Horford,20-10, ,,1,10,20,-10,326.0
6:30.0, ,20-10,Violation by Team (kicked ball),,1,10,20,-10,330.0
6:30.0, ,20-10,G. Mathews enters the game for B. Bogdanović,,1,10,20,-10,330.0
6:18.0,J. Tatum makes 2-pt layup from 2 ft,22-10, ,,1,10,22,-12,342.0
6:18.0,Shooting foul by G. Mathews (drawn by J. Tatum),22-10, ,,1,10,22,-12,342.0
6:18.0,P. Pritchard enters the game for A. Horford,22-10, ,,1,10,22,-12,342.0
6:18.0,J. Tatum makes free throw 1 of 1,23-10, ,,1,10,23,-13,342.0
6:04.0, ,23-10,Personal foul by P. Pritchard (drawn by D. Hunter),,1,10,23,-13,356.0
6:04.0, ,23-10,B. Fernando enters the game for C. Capela,,1,10,23,-13,356.0
5:53.0, ,23-10,D. Hunter misses 2-pt jump shot from 19 ft,,1,10,23,-13,367.0
5:49.0,Defensive rebound by J. Brown,23-10, ,,1,10,23,-13,371.0
5:38.0,J. Tatum misses 2-pt layup from 1 ft,23-10, ,,1,10,23,-13,382.0
5:36.0, ,23-10,Defensive rebound by B. Fernando,,1,10,23,-13,384.0
5:32.0, ,23-12,D. Murray makes 2-pt jump shot from 7 ft,,1,12,23,-11,388.0
5:16.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by P. Pritchard),25-12, ,,1,12,25,-13,404.0
5:02.0, ,25-12,D. Murray misses 3-pt jump shot from 26 ft,,1,12,25,-13,418.0
4:59.0,Defensive rebound by S. Hauser,25-12, ,,1,12,25,-13,421.0
4:53.0,Shooting foul by B. Fernando (drawn by K. Porziņģis),25-12, ,,1,12,25,-13,427.0
4:53.0,K. Porziņģis makes free throw 1 of 2,26-12, ,,1,12,26,-14,427.0
4:53.0,O. Brissett enters the game for J. Tatum,26-12, ,,1,12,26,-14,427.0
4:53.0,K. Porziņģis makes free throw 2 of 2,27-12, ,,1,12,27,-15,427.0
4:41.0, ,27-14,D. Murray makes 2-pt layup at rim (assist by B. Fernando),,1,14,27,-13,439.0
4:29.0,J. Brown makes 3-pt jump shot from 24 ft (assist by O. Brissett),30-14, ,,1,14,30,-16,451.0
4:09.0, ,30-14,Turnover by D. Hunter (lost ball; steal by J. Brown),,1,14,30,-16,471.0
4:07.0,J. Brown makes 2-pt layup from 1 ft,32-14, ,,1,14,32,-18,473.0
3:51.0, ,32-17,V. Krejci makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,17,32,-15,489.0
3:29.0,J. Brown misses 3-pt jump shot from 29 ft,32-17, ,,1,17,32,-15,511.0
3:25.0, ,32-17,Defensive rebound by G. Mathews,,1,17,32,-15,515.0
3:19.0, ,32-19,B. Fernando makes 2-pt layup from 2 ft (assist by D. Murray),,1,19,32,-13,521.0
3:18.0,Boston full timeout,32-19, ,,1,19,32,-13,522.0
3:18.0, ,32-19,B. Bogdanović enters the game for D. Hunter,,1,19,32,-13,522.0
3:02.0,P. Pritchard misses 3-pt jump shot from 25 ft,32-19, ,,1,19,32,-13,538.0
3:01.0,Offensive rebound by Team,32-19, ,,1,19,32,-13,539.0
2:50.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by O. Brissett),35-19, ,,1,19,35,-16,550.0
2:26.0, ,35-22,G. Mathews makes 3-pt jump shot from 23 ft (assist by B. Fernando),,1,22,35,-13,574.0
2:12.0,K. Porziņģis makes 2-pt layup at rim (assist by P. Pritchard),37-22, ,,1,22,37,-15,588.0
2:01.0, ,37-22,Turnover by B. Fernando (bad pass),,1,22,37,-15,599.0
2:01.0,L. Kornet enters the game for J. Brown,37-22, ,,1,22,37,-15,599.0
2:01.0,S. Mykhailiuk enters the game for S. Hauser,37-22, ,,1,22,37,-15,599.0
2:01.0,J. Tatum enters the game for K. Porziņģis,37-22, ,,1,22,37,-15,599.0
2:01.0, ,37-22,T. Forrest enters the game for D. Murray,,1,22,37,-15,599.0
1:39.0,J. Tatum misses 2-pt layup from 2 ft,37-22, ,,1,22,37,-15,621.0
1:37.0, ,37-22,Defensive rebound by T. Forrest,,1,22,37,-15,623.0
1:22.0, ,37-22,B. Fernando misses 2-pt layup from 2 ft (block by J. Tatum),,1,22,37,-15,638.0
1:19.0,Defensive rebound by Team,37-22, ,,1,22,37,-15,641.0
1:19.0,Jump ball: J. Tatum vs. B. Fernando (L. Kornet gains possession),37-22,,,1,22,37,-15,641.0
1:04.0,P. Pritchard makes 2-pt jump shot from 16 ft,39-22, ,,1,22,39,-17,656.0
0:48.0, ,39-22,Turnover by B. Fernando (bad pass; steal by J. Tatum),,1,22,39,-17,672.0
0:39.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by S. Mykhailiuk),42-22, ,,1,22,42,-20,681.0
0:23.0, ,42-22,T. Forrest misses 2-pt jump shot from 7 ft,,1,22,42,-20,697.0
0:21.0,Defensive rebound by O. Brissett,42-22, ,,1,22,42,-20,699.0
0:03.0,L. Kornet makes 2-pt jump shot from 9 ft (assist by P. Pritchard),44-22, ,,1,22,44,-22,717.0
0:00.0,End of 1st quarter,44-22,,,1,22,44,-22,720.0
12:00.0,Start of 2nd quarter,44-22,,,2,22,44,-22,720.0
11:43.0, ,44-22,B. Bogdanović misses 2-pt jump shot from 11 ft,,2,22,44,-22,737.0
11:39.0,Defensive rebound by J. Tatum,44-22, ,,2,22,44,-22,741.0
11:28.0,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by J. Tatum),47-22, ,,2,22,47,-25,752.0
11:07.0, ,47-22,W. Matthews misses 2-pt jump shot from 12 ft,,2,22,47,-25,773.0
11:05.0,Defensive rebound by P. Pritchard,47-22, ,,2,22,47,-25,775.0
11:03.0,J. Tatum makes 2-pt dunk at rim (assist by P. Pritchard),49-22, ,,2,22,49,-27,777.0
11:03.0, ,49-22,Atlanta full timeout,,2,22,49,-27,777.0
10:50.0, ,49-22,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,22,49,-27,790.0
10:49.0, ,49-22,Offensive rebound by B. Fernando,,2,22,49,-27,791.0
10:48.0, ,49-22,Shooting foul by O. Brissett (drawn by B. Fernando),,2,22,49,-27,792.0
10:48.0, ,49-22,B. Fernando misses free throw 1 of 2,,2,22,49,-27,792.0
10:48.0, ,49-22,Offensive rebound by Team,,2,22,49,-27,792.0
10:48.0, ,49-23,B. Fernando makes free throw 2 of 2,,2,23,49,-26,792.0
10:28.0,J. Tatum misses 3-pt jump shot from 26 ft (block by T. Forrest),49-23, ,,2,23,49,-26,812.0
10:27.0,Offensive rebound by Team,49-23, ,,2,23,49,-26,813.0
10:24.0,P. Pritchard misses 3-pt jump shot from 32 ft,49-23, ,,2,23,49,-26,816.0
10:21.0, ,49-23,Defensive rebound by W. Matthews,,2,23,49,-26,819.0
10:12.0, ,49-23,Turnover by T. Forrest (bad pass),,2,23,49,-26,828.0
10:12.0,A. Horford enters the game for O. Brissett,49-23, ,,2,23,49,-26,828.0
10:12.0, ,49-23,G. Mathews enters the game for T. Forrest,,2,23,49,-26,828.0
10:12.0, ,49-23,D. Murray enters the game for D. Windler,,2,23,49,-26,828.0
10:07.0,J. Tatum makes 2-pt jump shot from 15 ft (assist by S. Mykhailiuk),51-23, ,,2,23,51,-28,833.0
9:47.0, ,51-25,B. Fernando makes 2-pt layup from 3 ft (assist by B. Bogdanović),,2,25,51,-26,853.0
9:26.0,P. Pritchard misses 3-pt jump shot from 26 ft,51-25, ,,2,25,51,-26,874.0
9:24.0, ,51-25,Defensive rebound by D. Murray,,2,25,51,-26,876.0
9:14.0, ,51-25,D. Murray misses 3-pt jump shot from 24 ft,,2,25,51,-26,886.0
9:11.0,Defensive rebound by P. Pritchard,51-25, ,,2,25,51,-26,889.0
8:55.0,L. Kornet makes 2-pt layup at rim (assist by S. Mykhailiuk),53-25, ,,2,25,53,-28,905.0
8:43.0, ,53-28,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,28,53,-25,917.0
8:30.0,A. Horford makes 2-pt dunk at rim (assist by P. Pritchard),55-28, ,,2,28,55,-27,930.0
8:15.0, ,55-31,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,31,55,-24,945.0
7:55.0,Shooting foul by G. Mathews (drawn by J. Tatum),55-31, ,,2,31,55,-24,965.0
7:55.0,J. Tatum makes free throw 1 of 2,56-31, ,,2,31,56,-25,965.0
7:55.0,K. Porziņģis enters the game for L. Kornet,56-31, ,,2,31,56,-25,965.0
7:55.0, ,56-31,C. Capela enters the game for B. Fernando,,2,31,56,-25,965.0
7:55.0, ,56-31,D. Hunter enters the game for G. Mathews,,2,31,56,-25,965.0
7:55.0,J. Tatum makes free throw 2 of 2,57-31, ,,2,31,57,-26,965.0
7:39.0, ,57-31,B. Bogdanović misses 3-pt jump shot from 24 ft,,2,31,57,-26,981.0
7:34.0, ,57-31,Offensive rebound by D. Hunter,,2,31,57,-26,986.0
7:34.0, ,57-31,D. Hunter misses 2-pt layup at rim,,2,31,57,-26,986.0
7:33.0, ,57-31,Offensive rebound by D. Hunter,,2,31,57,-26,987.0
7:33.0, ,57-33,D. Hunter makes 2-pt layup at rim,,2,33,57,-24,987.0
7:15.0,Shooting foul by D. Hunter (drawn by J. Tatum),57-33, ,,2,33,57,-24,1005.0
7:15.0,J. Tatum misses free throw 1 of 3,57-33, ,,2,33,57,-24,1005.0
7:15.0,Offensive rebound by Team,57-33, ,,2,33,57,-24,1005.0
7:15.0,J. Tatum misses free throw 2 of 3,57-33, ,,2,33,57,-24,1005.0
7:15.0,J. Brown enters the game for S. Mykhailiuk,57-33, ,,2,33,57,-24,1005.0
7:15.0,S. Hauser enters the game for P. Pritchard,57-33, ,,2,33,57,-24,1005.0
7:15.0, ,57-33,V. Krejci enters the game for B. Bogdanović,,2,33,57,-24,1005.0
7:15.0,J. Tatum makes free throw 3 of 3,58-33, ,,2,33,58,-25,1005.0
7:00.0, ,58-33,C. Capela misses 2-pt hook shot from 8 ft,,2,33,58,-25,1020.0
6:58.0, ,58-33,Offensive rebound by W. Matthews,,2,33,58,-25,1022.0
6:56.0, ,58-33,W. Matthews misses 3-pt jump shot from 23 ft (block by A. Horford),,2,33,58,-25,1024.0
6:52.0,Defensive rebound by J. Brown,58-33, ,,2,33,58,-25,1028.0
6:48.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by A. Horford),61-33, ,,2,33,61,-28,1032.0
6:30.0, ,61-33,Shooting foul by K. Porziņģis (drawn by C. Capela),,2,33,61,-28,1050.0
6:30.0, ,61-34,C. Capela makes free throw 1 of 2,,2,34,61,-27,1050.0
6:30.0, ,61-34,C. Capela misses free throw 2 of 2,,2,34,61,-27,1050.0
6:28.0,Defensive rebound by J. Tatum,61-34, ,,2,34,61,-27,1052.0
6:14.0,S. Hauser misses 3-pt jump shot from 25 ft,61-34, ,,2,34,61,-27,1066.0
6:11.0, ,61-34,Defensive rebound by C. Capela,,2,34,61,-27,1069.0
6:01.0, ,61-36,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,2,36,61,-25,1079.0
5:48.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),63-36, ,,2,36,63,-27,1092.0
5:37.0, ,63-36,V. Krejci misses 2-pt jump shot from 21 ft,,2,36,63,-27,1103.0
5:34.0,Defensive rebound by S. Hauser,63-36, ,,2,36,63,-27,1106.0
5:25.0,J. Tatum makes 2-pt layup at rim,65-36, ,,2,36,65,-29,1115.0
5:13.0, ,65-36,D. Murray misses 2-pt jump shot from 9 ft,,2,36,65,-29,1127.0
5:11.0, ,65-36,Offensive rebound by C. Capela,,2,36,65,-29,1129.0
5:06.0, ,65-36,Turnover by W. Matthews (bad pass; steal by J. Tatum),,2,36,65,-29,1134.0
5:05.0,Personal foul by V. Krejci (drawn by J. Tatum),65-36, ,,2,36,65,-29,1135.0
5:05.0, ,65-36,B. Bogdanović enters the game for W. Matthews,,2,36,65,-29,1135.0
4:52.0,S. Hauser misses 3-pt jump shot from 23 ft,65-36, ,,2,36,65,-29,1148.0
4:49.0, ,65-36,Defensive rebound by V. Krejci,,2,36,65,-29,1151.0
4:41.0, ,65-38,C. Capela makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,2,38,65,-27,1159.0
4:38.0, ,65-38,Violation by Team (delay of game),,2,38,65,-27,1162.0
4:27.0,A. Horford misses 3-pt jump shot from 24 ft,65-38, ,,2,38,65,-27,1173.0
4:23.0,Offensive rebound by K. Porziņģis,65-38, ,,2,38,65,-27,1177.0
4:23.0,A. Horford makes 3-pt jump shot from 23 ft (assist by K. Porziņģis),68-38, ,,2,38,68,-30,1177.0
4:07.0, ,68-40,B. Bogdanović makes 2-pt layup from 3 ft,,2,40,68,-28,1193.0
3:58.0,J. Brown misses 3-pt jump shot from 26 ft,68-40, ,,2,40,68,-28,1202.0
3:55.0,Offensive rebound by Team,68-40, ,,2,40,68,-28,1205.0
3:54.0,Turnover by J. Tatum (bad pass; steal by D. Murray),68-40, ,,2,40,68,-28,1206.0
3:49.0, ,68-42,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,2,42,68,-26,1211.0
3:49.0,Boston full timeout,68-42, ,,2,42,68,-26,1211.0
3:41.0,J. Brown misses 2-pt jump shot from 4 ft,68-42, ,,2,42,68,-26,1219.0
3:38.0, ,68-42,Defensive rebound by V. Krejci,,2,42,68,-26,1222.0
3:34.0, ,68-42,D. Hunter misses 3-pt jump shot from 26 ft,,2,42,68,-26,1226.0
3:34.0, ,68-42,Offensive rebound by V. Krejci,,2,42,68,-26,1226.0
3:30.0, ,68-45,D. Hunter makes 3-pt jump shot from 26 ft (assist by V. Krejci),,2,45,68,-23,1230.0
3:09.0,J. Tatum misses 2-pt jump shot from 10 ft,68-45, ,,2,45,68,-23,1251.0
3:06.0, ,68-45,Defensive rebound by C. Capela,,2,45,68,-23,1254.0
3:06.0, ,68-45,Personal foul by S. Hauser (drawn by D. Murray),,2,45,68,-23,1254.0
2:55.0, ,68-45,D. Murray misses 3-pt jump shot from 24 ft,,2,45,68,-23,1265.0
2:53.0,Defensive rebound by J. Tatum,68-45, ,,2,45,68,-23,1267.0
2:41.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Tatum),71-45, ,,2,45,71,-26,1279.0
2:26.0, ,71-45,Personal foul by K. Porziņģis (drawn by D. Hunter),,2,45,71,-26,1294.0
2:19.0, ,71-47,D. Hunter makes 2-pt jump shot from 10 ft (assist by D. Murray),,2,47,71,-24,1301.0
2:03.0,S. Hauser misses 3-pt jump shot from 23 ft,71-47, ,,2,47,71,-24,1317.0
2:01.0, ,71-47,Defensive rebound by D. Murray,,2,47,71,-24,1319.0
1:55.0, ,71-47,D. Murray misses 2-pt jump shot from 12 ft,,2,47,71,-24,1325.0
1:51.0,Defensive rebound by S. Hauser,71-47, ,,2,47,71,-24,1329.0
1:44.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by J. Brown),74-47, ,,2,47,74,-27,1336.0
1:31.0, ,74-49,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),,2,49,74,-25,1349.0
1:03.0,S. Hauser misses 3-pt jump shot from 23 ft,74-49, ,,2,49,74,-25,1377.0
1:01.0, ,74-49,Defensive rebound by B. Bogdanović,,2,49,74,-25,1379.0
0:57.0, ,74-49,B. Bogdanović misses 2-pt layup from 2 ft (block by S. Hauser),,2,49,74,-25,1383.0
0:55.0, ,74-49,Offensive rebound by C. Capela,,2,49,74,-25,1385.0
0:55.0, ,74-51,C. Capela makes 2-pt dunk at rim,,2,51,74,-23,1385.0
0:54.0,Turnover by K. Porziņģis (bad pass; steal by B. Bogdanović),74-51, ,,2,51,74,-23,1386.0
0:51.0, ,74-54,B. Bogdanović makes 3-pt jump shot from 26 ft,,2,54,74,-20,1389.0
0:39.0,Personal foul by B. Bogdanović (drawn by J. Brown),74-54, ,,2,54,74,-20,1401.0
0:33.0,J. Brown misses 2-pt jump shot from 17 ft,74-54, ,,2,54,74,-20,1407.0
0:30.0,Offensive rebound by S. Hauser,74-54, ,,2,54,74,-20,1410.0
0:27.0,J. Brown misses 3-pt jump shot from 27 ft,74-54, ,,2,54,74,-20,1413.0
0:24.0, ,74-54,Defensive rebound by C. Capela,,2,54,74,-20,1416.0
0:04.0, ,74-56,D. Murray makes 2-pt jump shot from 7 ft,,2,56,74,-18,1436.0
0:01.0,J. Tatum misses 3-pt jump shot from 25 ft,74-56, ,,2,56,74,-18,1439.0
0:00.0,Offensive rebound by Team,74-56, ,,2,56,74,-18,1440.0
0:00.0,End of 2nd quarter,74-56,,,2,56,74,-18,1440.0
12:00.0,Start of 3rd quarter,74-56,,,3,56,74,-18,1440.0
11:46.0, ,74-58,D. Hunter makes 2-pt dunk from 1 ft (assist by C. Capela),,3,58,74,-16,1454.0
11:29.0,Turnover by A. Horford (bad pass),74-58, ,,3,58,74,-16,1471.0
11:06.0, ,74-60,B. Bogdanović makes 2-pt jump shot from 21 ft (assist by D. Hunter),,3,60,74,-14,1494.0
10:53.0,A. Horford makes 2-pt layup from 1 ft (assist by P. Pritchard),76-60, ,,3,60,76,-16,1507.0
10:42.0, ,76-60,Shooting foul by P. Pritchard (drawn by B. Bogdanović),,3,60,76,-16,1518.0
10:42.0, ,76-60,B. Bogdanović misses free throw 1 of 3,,3,60,76,-16,1518.0
10:42.0, ,76-60,Offensive rebound by Team,,3,60,76,-16,1518.0
10:42.0, ,76-61,B. Bogdanović makes free throw 2 of 3,,3,61,76,-15,1518.0
10:42.0, ,76-62,B. Bogdanović makes free throw 3 of 3,,3,62,76,-14,1518.0
10:22.0,J. Tatum misses 2-pt layup from 2 ft,76-62, ,,3,62,76,-14,1538.0
10:18.0,Offensive rebound by K. Porziņģis,76-62, ,,3,62,76,-14,1542.0
10:18.0,K. Porziņģis makes 2-pt layup at rim,78-62, ,,3,62,78,-16,1542.0
10:08.0, ,78-65,D. Hunter makes 3-pt jump shot from 23 ft (assist by D. Murray),,3,65,78,-13,1552.0
9:49.0,J. Tatum misses 3-pt jump shot from 26 ft,78-65, ,,3,65,78,-13,1571.0
9:46.0, ,78-65,Defensive rebound by D. Hunter,,3,65,78,-13,1574.0
9:40.0, ,78-65,D. Hunter misses 3-pt jump shot from 26 ft,,3,65,78,-13,1580.0
9:36.0, ,78-65,Offensive rebound by V. Krejci,,3,65,78,-13,1584.0
9:35.0, ,78-67,V. Krejci makes 2-pt dunk at rim,,3,67,78,-11,1585.0
9:21.0,J. Brown misses 2-pt layup from 2 ft (block by C. Capela),78-67, ,,3,67,78,-11,1599.0
9:18.0, ,78-67,Defensive rebound by D. Hunter,,3,67,78,-11,1602.0
9:13.0, ,78-67,Turnover by V. Krejci (bad pass),,3,67,78,-11,1607.0
9:04.0,P. Pritchard misses 3-pt jump shot from 26 ft,78-67, ,,3,67,78,-11,1616.0
9:01.0, ,78-67,Defensive rebound by D. Hunter,,3,67,78,-11,1619.0
8:50.0, ,78-69,D. Murray makes 2-pt jump shot from 14 ft,,3,69,78,-9,1630.0
8:30.0,K. Porziņģis misses 3-pt jump shot from 26 ft,78-69, ,,3,69,78,-9,1650.0
8:28.0, ,78-69,Defensive rebound by B. Bogdanović,,3,69,78,-9,1652.0
8:23.0, ,78-72,V. Krejci makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,3,72,78,-6,1657.0
7:57.0,Turnover by K. Porziņģis (bad pass; steal by D. Murray),78-72, ,,3,72,78,-6,1683.0
7:53.0, ,78-75,D. Murray makes 3-pt jump shot from 25 ft (assist by V. Krejci),,3,75,78,-3,1687.0
7:52.0,Boston full timeout,78-75, ,,3,75,78,-3,1688.0
7:41.0,Shooting foul by V. Krejci (drawn by J. Tatum),78-75, ,,3,75,78,-3,1699.0
7:41.0,J. Tatum makes free throw 1 of 2,79-75, ,,3,75,79,-4,1699.0
7:41.0,J. Tatum makes free throw 2 of 2,80-75, ,,3,75,80,-5,1699.0
7:22.0, ,80-75,Turnover by D. Murray (lost ball; steal by A. Horford),,3,75,80,-5,1718.0
7:17.0,J. Brown makes 2-pt layup from 1 ft,82-75, ,,3,75,82,-7,1723.0
7:02.0, ,82-75,V. Krejci misses 3-pt jump shot from 25 ft,,3,75,82,-7,1738.0
6:59.0,Defensive rebound by A. Horford,82-75, ,,3,75,82,-7,1741.0
6:48.0,K. Porziņģis misses 3-pt jump shot from 27 ft,82-75, ,,3,75,82,-7,1752.0
6:44.0,Offensive rebound by J. Brown,82-75, ,,3,75,82,-7,1756.0
6:40.0,J. Brown misses 2-pt layup from 1 ft,82-75, ,,3,75,82,-7,1760.0
6:38.0, ,82-75,Defensive rebound by B. Bogdanović,,3,75,82,-7,1762.0
6:33.0, ,82-75,D. Murray misses 3-pt jump shot from 23 ft,,3,75,82,-7,1767.0
6:29.0,Defensive rebound by A. Horford,82-75, ,,3,75,82,-7,1771.0
6:15.0,J. Tatum makes 2-pt layup from 1 ft (assist by K. Porziņģis),84-75, ,,3,75,84,-9,1785.0
6:00.0, ,84-75,C. Capela misses 2-pt layup at rim,,3,75,84,-9,1800.0
5:58.0,Defensive rebound by A. Horford,84-75, ,,3,75,84,-9,1802.0
5:54.0,P. Pritchard makes 2-pt layup from 1 ft (assist by A. Horford),86-75, ,,3,75,86,-11,1806.0
5:45.0, ,86-75,Atlanta full timeout,,3,75,86,-11,1815.0
5:45.0,S. Hauser enters the game for J. Tatum,86-75, ,,3,75,86,-11,1815.0
5:45.0, ,86-75,G. Mathews enters the game for B. Bogdanović,,3,75,86,-11,1815.0
5:38.0, ,86-78,V. Krejci makes 3-pt jump shot from 25 ft (assist by D. Hunter),,3,78,86,-8,1822.0
5:22.0,Turnover by K. Porziņģis (bad pass; steal by V. Krejci),86-78, ,,3,78,86,-8,1838.0
5:19.0, ,86-80,V. Krejci makes 2-pt dunk from 2 ft,,3,80,86,-6,1841.0
5:08.0,K. Porziņģis misses 3-pt jump shot from 26 ft,86-80, ,,3,80,86,-6,1852.0
5:04.0, ,86-80,Defensive rebound by D. Hunter,,3,80,86,-6,1856.0
4:48.0, ,86-83,V. Krejci makes 3-pt jump shot from 26 ft (assist by D. Murray),,3,83,86,-3,1872.0
4:37.0,P. Pritchard misses 2-pt layup from 2 ft,86-83, ,,3,83,86,-3,1883.0
4:34.0, ,86-83,Defensive rebound by C. Capela,,3,83,86,-3,1886.0
4:25.0, ,86-83,Turnover by V. Krejci (bad pass; steal by S. Hauser),,3,83,86,-3,1895.0
4:14.0,J. Brown misses 2-pt jump shot from 9 ft,86-83, ,,3,83,86,-3,1906.0
4:11.0,Offensive rebound by J. Brown,86-83, ,,3,83,86,-3,1909.0
4:10.0,J. Brown makes 2-pt layup from 5 ft,88-83, ,,3,83,88,-5,1910.0
4:10.0,Shooting foul by C. Capela (drawn by J. Brown),88-83, ,,3,83,88,-5,1910.0
4:10.0,O. Brissett enters the game for K. Porziņģis,88-83, ,,3,83,88,-5,1910.0
4:10.0,J. Brown misses free throw 1 of 1,88-83, ,,3,83,88,-5,1910.0
4:07.0,Offensive rebound by Team,88-83, ,,3,83,88,-5,1913.0
3:58.0,S. Hauser misses 3-pt jump shot from 27 ft,88-83, ,,3,83,88,-5,1922.0
3:54.0, ,88-83,Defensive rebound by V. Krejci,,3,83,88,-5,1926.0
