Time,Atlanta,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:12.0, ,66-56,T. Jones misses 3-pt jump shot from 24 ft,,2,66,56,10,1368.0
1:09.0,Defensive rebound by S. Bey,66-56, ,,2,66,56,10,1371.0
1:05.0,Turnover by T. Young (bad pass; steal by L. Shamet),66-56, ,,2,66,56,10,1375.0
1:00.0, ,66-58,L. Shamet makes 2-pt layup from 1 ft (assist by T. Jones),,2,66,58,8,1380.0
0:46.0,S. Bey misses 3-pt jump shot from 23 ft,66-58, ,,2,66,58,8,1394.0
0:44.0,Offensive rebound by Team,66-58, ,,2,66,58,8,1396.0
0:39.0,C. Capela makes 2-pt dunk from 4 ft (assist by T. Young),68-58, ,,2,68,58,10,1401.0
0:30.0, ,68-58,K. Kuzma misses 3-pt jump shot from 28 ft,,2,68,58,10,1410.0
0:28.0,Defensive rebound by S. Bey,68-58, ,,2,68,58,10,1412.0
0:05.0,T. Young makes 2-pt layup from 5 ft,70-58, ,,2,70,58,12,1435.0
0:00.0, ,70-58,T. Jones misses 2-pt jump shot from 12 ft,,2,70,58,12,1440.0
0:00.0, ,70-58,Offensive rebound by Team,,2,70,58,12,1440.0
0:00.0,End of 2nd quarter,70-58,,,2,70,58,12,1440.0
12:00.0,Start of 3rd quarter,70-58,,,3,70,58,12,1440.0
11:45.0, ,70-60,K. Kuzma makes 2-pt jump shot from 11 ft (assist by T. Jones),,3,70,60,10,1455.0
11:28.0,T. Young misses 3-pt jump shot from 27 ft,70-60, ,,3,70,60,10,1472.0
11:24.0, ,70-60,Defensive rebound by D. Avdija,,3,70,60,10,1476.0
11:19.0, ,70-62,K. Kuzma makes 2-pt hook shot from 6 ft,,3,70,62,8,1481.0
11:02.0,J. Johnson makes 2-pt jump shot from 4 ft (assist by T. Young),72-62, ,,3,72,62,10,1498.0
10:41.0, ,72-62,D. Gafford misses 2-pt jump shot from 9 ft,,3,72,62,10,1519.0
10:40.0,Defensive rebound by J. Johnson,72-62, ,,3,72,62,10,1520.0
10:29.0,T. Young makes 2-pt jump shot from 8 ft (assist by J. Johnson),74-62, ,,3,74,62,12,1531.0
10:16.0, ,74-62,Turnover by T. Jones (bad pass),,3,74,62,12,1544.0
10:06.0,T. Young misses 2-pt layup from 8 ft (block by J. Poole),74-62, ,,3,74,62,12,1554.0
10:04.0, ,74-62,Defensive rebound by J. Poole,,3,74,62,12,1556.0
10:02.0, ,74-65,J. Poole makes 3-pt jump shot from 26 ft,,3,74,65,9,1558.0
9:43.0,D. Murray misses 2-pt jump shot from 12 ft,74-65, ,,3,74,65,9,1577.0
9:41.0, ,74-65,Defensive rebound by D. Avdija,,3,74,65,9,1579.0
9:39.0, ,74-65,Shooting foul by S. Bey (drawn by D. Avdija),,3,74,65,9,1581.0
9:39.0, ,74-66,D. Avdija makes free throw 1 of 2,,3,74,66,8,1581.0
9:39.0, ,74-67,D. Avdija makes free throw 2 of 2,,3,74,67,7,1581.0
9:26.0,Shooting foul by K. Kuzma (drawn by T. Young),74-67, ,,3,74,67,7,1594.0
9:26.0,T. Young makes free throw 1 of 2,75-67, ,,3,75,67,8,1594.0
9:26.0,T. Young makes free throw 2 of 2,76-67, ,,3,76,67,9,1594.0
9:19.0, ,76-67,J. Poole misses 3-pt jump shot from 31 ft,,3,76,67,9,1601.0
9:17.0,Defensive rebound by J. Johnson,76-67, ,,3,76,67,9,1603.0
9:10.0,Turnover by C. Capela (traveling),76-67, ,,3,76,67,9,1610.0
8:59.0, ,76-67,K. Kuzma misses 3-pt jump shot from 24 ft,,3,76,67,9,1621.0
8:56.0, ,76-67,Offensive rebound by D. Gafford,,3,76,67,9,1624.0
8:56.0, ,76-67,Personal foul by T. Young (drawn by D. Gafford),,3,76,67,9,1624.0
