Time,Atlanta,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:37.0,W. Matthews misses 3-pt jump shot from 23 ft,14-13, ,,1,14,13,1,443.0
4:35.0, ,14-13,Defensive rebound by K. Murray,,1,14,13,1,445.0
4:21.0, ,14-13,D. Ayton misses 2-pt jump shot from 13 ft,,1,14,13,1,459.0
4:19.0,Defensive rebound by B. Bogdanović,14-13, ,,1,14,13,1,461.0
4:16.0,Shooting foul by A. Simons (drawn by C. Capela),14-13, ,,1,14,13,1,464.0
4:16.0,C. Capela misses free throw 1 of 2,14-13, ,,1,14,13,1,464.0
4:16.0,Offensive rebound by Team,14-13, ,,1,14,13,1,464.0
4:16.0,T. Forrest enters the game for B. Bogdanović,14-13, ,,1,14,13,1,464.0
4:16.0,D. Hunter enters the game for V. Krejci,14-13, ,,1,14,13,1,464.0
4:16.0,G. Mathews enters the game for W. Matthews,14-13, ,,1,14,13,1,464.0
4:16.0,C. Capela misses free throw 2 of 2,14-13, ,,1,14,13,1,464.0
4:14.0, ,14-13,Defensive rebound by D. Ayton,,1,14,13,1,466.0
4:05.0, ,14-13,Offensive foul by D. Ayton (drawn by D. Hunter),,1,14,13,1,475.0
4:05.0, ,14-13,Turnover by D. Ayton (offensive foul),,1,14,13,1,475.0
4:05.0,B. Fernando enters the game for C. Capela,14-13, ,,1,14,13,1,475.0
4:05.0, ,14-13,J. Minaya enters the game for K. Murray,,1,14,13,1,475.0
3:51.0,T. Forrest makes 2-pt jump shot from 9 ft,16-13, ,,1,16,13,3,489.0
3:40.0, ,16-13,Offensive foul by J. Minaya (drawn by D. Murray),,1,16,13,3,500.0
3:40.0, ,16-13,Turnover by J. Minaya (offensive foul),,1,16,13,3,500.0
3:25.0,D. Murray makes 2-pt jump shot from 11 ft,18-13, ,,1,18,13,5,515.0
3:13.0, ,18-15,D. Ayton makes 2-pt jump shot from 8 ft (assist by A. Simons),,1,18,15,3,527.0
3:00.0,Turnover by D. Murray (bad pass; steal by M. Thybulle),18-15, ,,1,18,15,3,540.0
2:55.0, ,18-15,Personal foul by D. Hunter (drawn by D. Ayton),,1,18,15,3,545.0
2:55.0,Atlanta full timeout,18-15, ,,1,18,15,3,545.0
2:55.0, ,18-15,D. Banton enters the game for D. Ayton,,1,18,15,3,545.0
2:55.0, ,18-15,S. Henderson enters the game for T. Camara,,1,18,15,3,545.0
2:55.0, ,18-15,D. Reath enters the game for A. Simons,,1,18,15,3,545.0
2:47.0, ,18-17,S. Henderson makes 2-pt jump shot from 13 ft (assist by D. Banton),,1,18,17,1,553.0
2:28.0,D. Murray misses 3-pt jump shot from 22 ft,18-17, ,,1,18,17,1,572.0
2:24.0, ,18-17,Defensive rebound by D. Banton,,1,18,17,1,576.0
2:08.0, ,18-17,D. Reath misses 2-pt hook shot from 4 ft,,1,18,17,1,592.0
2:06.0,Defensive rebound by B. Fernando,18-17, ,,1,18,17,1,594.0
1:52.0,B. Fernando makes 2-pt hook shot from 9 ft (assist by T. Forrest),20-17, ,,1,20,17,3,608.0
1:41.0, ,20-17,S. Henderson misses 3-pt jump shot from 25 ft,,1,20,17,3,619.0
1:39.0,Defensive rebound by D. Murray,20-17, ,,1,20,17,3,621.0
1:21.0,B. Fernando makes 2-pt dunk from 2 ft (assist by T. Forrest),22-17, ,,1,22,17,5,639.0
1:10.0, ,22-17,Offensive foul by S. Henderson (drawn by G. Mathews),,1,22,17,5,650.0
1:10.0, ,22-17,Turnover by S. Henderson (offensive foul),,1,22,17,5,650.0
1:10.0,B. Bogdanović enters the game for D. Murray,22-17, ,,1,22,17,5,650.0
0:55.0,B. Bogdanović misses 3-pt jump shot from 24 ft,22-17, ,,1,22,17,5,665.0
0:53.0, ,22-17,Defensive rebound by D. Banton,,1,22,17,5,667.0
0:44.0, ,22-17,Turnover by S. Henderson (lost ball; steal by B. Bogdanović),,1,22,17,5,676.0
0:41.0,Shooting foul by S. Henderson (drawn by T. Forrest),22-17, ,,1,22,17,5,679.0
0:41.0,T. Forrest makes free throw 1 of 2,23-17, ,,1,23,17,6,679.0
0:41.0,T. Forrest makes free throw 2 of 2,24-17, ,,1,24,17,7,679.0
0:26.0, ,24-17,M. Thybulle misses 3-pt jump shot from 26 ft,,1,24,17,7,694.0
0:20.0,Defensive rebound by B. Fernando,24-17, ,,1,24,17,7,700.0
0:01.0,Turnover by T. Forrest (traveling),24-17, ,,1,24,17,7,719.0
0:00.0, ,24-17,S. Henderson misses 3-pt jump shot from 44 ft,,1,24,17,7,720.0
0:00.0, ,24-17,Offensive rebound by Team,,1,24,17,7,720.0
0:00.0,End of 1st quarter,24-17,,,1,24,17,7,720.0
12:00.0,Start of 2nd quarter,24-17,,,2,24,17,7,720.0
11:41.0,G. Mathews misses 3-pt jump shot from 26 ft,24-17, ,,2,24,17,7,739.0
11:36.0, ,24-17,Defensive rebound by S. Henderson,,2,24,17,7,744.0
11:32.0, ,24-17,S. Henderson misses 2-pt layup from 4 ft,,2,24,17,7,748.0
11:27.0, ,24-17,Offensive rebound by M. Thybulle,,2,24,17,7,753.0
11:25.0, ,24-17,D. Reath misses 3-pt jump shot from 28 ft,,2,24,17,7,755.0
11:22.0,Defensive rebound by B. Fernando,24-17, ,,2,24,17,7,758.0
11:19.0,Offensive foul by B. Bogdanović (drawn by M. Thybulle),24-17, ,,2,24,17,7,761.0
11:19.0,Turnover by B. Bogdanović (offensive foul),24-17, ,,2,24,17,7,761.0
11:07.0, ,24-17,J. Minaya misses 2-pt dunk from 3 ft (block by B. Fernando),,2,24,17,7,773.0
11:03.0,Defensive rebound by G. Mathews,24-17, ,,2,24,17,7,777.0
10:48.0,B. Fernando makes 2-pt hook shot from 5 ft (assist by B. Bogdanović),26-17, ,,2,26,17,9,792.0
10:24.0, ,26-17,D. Reath misses 2-pt jump shot from 17 ft,,2,26,17,9,816.0
10:22.0,Defensive rebound by B. Bogdanović,26-17, ,,2,26,17,9,818.0
10:17.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by T. Forrest),29-17, ,,2,29,17,12,823.0
10:15.0, ,29-17,Portland full timeout,,2,29,17,12,825.0
10:15.0, ,29-17,D. Ayton enters the game for J. Minaya,,2,29,17,12,825.0
10:15.0, ,29-17,A. Simons enters the game for D. Reath,,2,29,17,12,825.0
9:56.0, ,29-17,Turnover by M. Thybulle (bad pass; steal by B. Fernando),,2,29,17,12,844.0
9:44.0,T. Forrest misses 2-pt jump shot from 9 ft,29-17, ,,2,29,17,12,856.0
9:41.0,Offensive rebound by B. Fernando,29-17, ,,2,29,17,12,859.0
9:38.0,D. Hunter misses 3-pt jump shot from 26 ft,29-17, ,,2,29,17,12,862.0
9:34.0,Offensive rebound by B. Bogdanović,29-17, ,,2,29,17,12,866.0
9:32.0,T. Forrest makes 2-pt jump shot from 3 ft (assist by B. Bogdanović),31-17, ,,2,31,17,14,868.0
9:25.0, ,31-17,S. Henderson misses 2-pt layup from 2 ft,,2,31,17,14,875.0
9:23.0,Defensive rebound by B. Fernando,31-17, ,,2,31,17,14,877.0
9:04.0,D. Hunter makes 2-pt layup from 3 ft (assist by B. Bogdanović),33-17, ,,2,33,17,16,896.0
8:43.0, ,33-19,A. Simons makes 2-pt jump shot from 12 ft,,2,33,19,14,917.0
8:24.0,Personal foul by M. Thybulle (drawn by D. Hunter),33-19, ,,2,33,19,14,936.0
8:24.0,D. Murray enters the game for B. Bogdanović,33-19, ,,2,33,19,14,936.0
8:24.0, ,33-19,T. Camara enters the game for D. Banton,,2,33,19,14,936.0
8:24.0, ,33-19,K. Murray enters the game for S. Henderson,,2,33,19,14,936.0
8:14.0,Shooting foul by T. Camara (drawn by G. Mathews),33-19, ,,2,33,19,14,946.0
8:14.0,G. Mathews makes free throw 1 of 2,34-19, ,,2,34,19,15,946.0
8:14.0,D. Windler enters the game for D. Hunter,34-19, ,,2,34,19,15,946.0
8:14.0,G. Mathews makes free throw 2 of 2,35-19, ,,2,35,19,16,946.0
7:57.0, ,35-21,D. Ayton makes 2-pt jump shot from 12 ft (assist by A. Simons),,2,35,21,14,963.0
7:43.0,D. Murray misses 2-pt jump shot from 14 ft,35-21, ,,2,35,21,14,977.0
7:39.0, ,35-21,Defensive rebound by D. Ayton,,2,35,21,14,981.0
7:37.0, ,35-23,A. Simons makes 2-pt layup from 3 ft,,2,35,23,12,983.0
7:37.0, ,35-23,Shooting foul by D. Windler (drawn by A. Simons),,2,35,23,12,983.0
7:37.0, ,35-24,A. Simons makes free throw 1 of 1,,2,35,24,11,983.0
7:25.0,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Forrest),38-24, ,,2,38,24,14,995.0
7:06.0, ,38-26,K. Murray makes 2-pt jump shot from 6 ft,,2,38,26,12,1014.0
6:54.0,B. Fernando misses 2-pt layup from 2 ft,38-26, ,,2,38,26,12,1026.0
6:52.0, ,38-26,Defensive rebound by D. Ayton,,2,38,26,12,1028.0
6:47.0, ,38-26,T. Camara misses 3-pt jump shot from 25 ft,,2,38,26,12,1033.0
6:44.0, ,38-26,Offensive rebound by D. Ayton,,2,38,26,12,1036.0
6:44.0, ,38-28,D. Ayton makes 2-pt dunk from 3 ft,,2,38,28,10,1036.0
6:28.0,Offensive foul by B. Fernando (drawn by T. Camara),38-28, ,,2,38,28,10,1052.0
6:28.0,Turnover by B. Fernando (offensive foul),38-28, ,,2,38,28,10,1052.0
6:28.0,D. Hunter enters the game for G. Mathews,38-28, ,,2,38,28,10,1052.0
6:17.0, ,38-28,A. Simons misses 3-pt jump shot from 26 ft,,2,38,28,10,1063.0
6:16.0,Defensive rebound by Team,38-28, ,,2,38,28,10,1064.0
6:16.0, ,38-28,Loose ball foul by T. Camara (drawn by D. Windler),,2,38,28,10,1064.0
