Time,Atlanta,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:20.0, ,12-17,B. Miller enters the game for L. Ball,,1,12,17,-5,340.0
6:03.0,D. Hunter makes 2-pt layup from 3 ft (assist by J. Johnson),14-17, ,,1,14,17,-3,357.0
5:40.0, ,14-17,P. Washington misses 3-pt jump shot from 23 ft,,1,14,17,-3,380.0
5:38.0,Defensive rebound by B. Bogdanović,14-17, ,,1,14,17,-3,382.0
5:28.0,D. Murray misses 2-pt hook shot from 3 ft,14-17, ,,1,14,17,-3,392.0
5:28.0, ,14-17,Defensive rebound by Team,,1,14,17,-3,392.0
5:28.0, ,14-17,J. Thor enters the game for P. Washington,,1,14,17,-3,392.0
5:12.0, ,14-17,J. Thor misses 3-pt jump shot from 24 ft,,1,14,17,-3,408.0
5:10.0,Defensive rebound by C. Capela,14-17, ,,1,14,17,-3,410.0
4:55.0,Shooting foul by B. Miller (drawn by C. Capela),14-17, ,,1,14,17,-3,425.0
4:55.0,C. Capela makes free throw 1 of 2,15-17, ,,1,15,17,-2,425.0
4:55.0,A. Griffin enters the game for D. Hunter,15-17, ,,1,15,17,-2,425.0
4:55.0,C. Capela makes free throw 2 of 2,16-17, ,,1,16,17,-1,425.0
4:40.0, ,16-17,G. Hayward misses 2-pt jump shot from 13 ft,,1,16,17,-1,440.0
4:38.0,Defensive rebound by J. Johnson,16-17, ,,1,16,17,-1,442.0
4:25.0,J. Johnson misses 2-pt layup from 3 ft,16-17, ,,1,16,17,-1,455.0
4:21.0,Offensive rebound by C. Capela,16-17, ,,1,16,17,-1,459.0
4:21.0,C. Capela makes 2-pt layup at rim,18-17, ,Lead change,1,18,17,1,459.0
4:02.0, ,18-17,T. Rozier misses 3-pt jump shot from 23 ft,,1,18,17,1,478.0
3:57.0,Defensive rebound by J. Johnson,18-17, ,,1,18,17,1,483.0
3:57.0,O. Okongwu enters the game for C. Capela,18-17, ,,1,18,17,1,483.0
3:57.0, ,18-17,T. Maledon enters the game for G. Hayward,,1,18,17,1,483.0
3:57.0, ,18-17,N. Richards enters the game for M. Williams,,1,18,17,1,483.0
3:49.0,B. Bogdanović misses 2-pt jump shot from 17 ft,18-17, ,,1,18,17,1,491.0
3:46.0, ,18-17,Defensive rebound by N. Richards,,1,18,17,1,494.0
3:33.0, ,18-20,B. Miller makes 3-pt jump shot from 30 ft (assist by T. Rozier),Lead change,1,18,20,-2,507.0
3:10.0,A. Griffin makes 2-pt jump shot from 3 ft,20-20, ,Tie,1,20,20,0,530.0
2:59.0, ,20-20,T. Rozier misses 2-pt layup from 3 ft,,1,20,20,0,541.0
2:57.0,Defensive rebound by O. Okongwu,20-20, ,,1,20,20,0,543.0
2:53.0,J. Johnson makes 2-pt dunk from 1 ft (assist by B. Bogdanović),22-20, ,Lead change,1,22,20,2,547.0
2:53.0, ,22-20,Charlotte full timeout,,1,22,20,2,547.0
2:53.0,T. Young enters the game for D. Murray,22-20, ,,1,22,20,2,547.0
2:53.0, ,22-20,L. Ball enters the game for T. Rozier,,1,22,20,2,547.0
2:39.0, ,22-20,L. Ball misses 2-pt jump shot from 11 ft,,1,22,20,2,561.0
2:35.0,Defensive rebound by J. Johnson,22-20, ,,1,22,20,2,565.0
2:31.0,Personal foul by T. Maledon (drawn by T. Young),22-20, ,,1,22,20,2,569.0
2:24.0,B. Bogdanović misses 3-pt jump shot from 26 ft,22-20, ,,1,22,20,2,576.0
2:21.0, ,22-20,Defensive rebound by T. Maledon,,1,22,20,2,579.0
2:17.0, ,22-20,Shooting foul by A. Griffin (drawn by L. Ball),,1,22,20,2,583.0
2:17.0, ,22-20,L. Ball misses free throw 1 of 2,,1,22,20,2,583.0
2:17.0, ,22-20,Offensive rebound by Team,,1,22,20,2,583.0
2:17.0, ,22-20,P. Washington enters the game for J. Thor,,1,22,20,2,583.0
2:17.0, ,22-21,L. Ball makes free throw 2 of 2,,1,22,21,1,583.0
2:04.0,T. Young misses 2-pt layup from 3 ft,22-21, ,,1,22,21,1,596.0
2:02.0, ,22-21,Defensive rebound by T. Maledon,,1,22,21,1,598.0
1:58.0, ,22-23,N. Richards makes 2-pt dunk from 2 ft (assist by B. Miller),Lead change,1,22,23,-1,602.0
1:44.0,Turnover by A. Griffin (lost ball; steal by L. Ball),22-23, ,,1,22,23,-1,616.0
1:29.0, ,22-23,Turnover by T. Maledon (bad pass; steal by B. Bogdanović),,1,22,23,-1,631.0
1:22.0,B. Bogdanović makes 2-pt dunk at rim (assist by T. Young),24-23, ,Lead change,1,24,23,1,638.0
1:11.0, ,24-23,Turnover by P. Washington (bad pass; steal by B. Bogdanović),,1,24,23,1,649.0
1:06.0,J. Johnson makes 2-pt dunk at rim (assist by B. Bogdanović),26-23, ,,1,26,23,3,654.0
0:53.0, ,26-23,Turnover by L. Ball (bad pass; steal by J. Johnson),,1,26,23,3,667.0
0:48.0,J. Johnson makes 2-pt dunk from 2 ft,28-23, ,,1,28,23,5,672.0
0:31.0, ,28-23,L. Ball misses 2-pt layup from 3 ft,,1,28,23,5,689.0
0:29.0,Defensive rebound by A. Griffin,28-23, ,,1,28,23,5,691.0
0:26.0,Shooting foul by P. Washington (drawn by J. Johnson),28-23, ,,1,28,23,5,694.0
0:26.0,J. Johnson makes free throw 1 of 2,29-23, ,,1,29,23,6,694.0
0:26.0,J. Johnson misses free throw 2 of 2,29-23, ,,1,29,23,6,694.0
0:24.0, ,29-23,Defensive rebound by P. Washington,,1,29,23,6,696.0
0:04.0, ,29-25,P. Washington makes 2-pt jump shot from 10 ft (assist by L. Ball),,1,29,25,4,716.0
0:00.0,End of 1st quarter,29-25,,,1,29,25,4,720.0
12:00.0,Start of 2nd quarter,29-25,,,2,29,25,4,720.0
11:42.0,O. Okongwu makes 2-pt dunk from 2 ft (assist by B. Bogdanović),31-25, ,,2,31,25,6,738.0
11:22.0, ,31-25,L. Ball misses 2-pt layup from 3 ft,,2,31,25,6,758.0
11:20.0,Defensive rebound by J. Johnson,31-25, ,,2,31,25,6,760.0
11:19.0, ,31-25,Loose ball foul by B. Miller (drawn by S. Bey),,2,31,25,6,761.0
11:19.0, ,31-25,Instant Replay (Request: Ruling Stands),,2,31,25,6,761.0
11:12.0,Atlanta full timeout,31-25, ,,2,31,25,6,768.0
11:12.0,Instant Replay (Challenge: Ruling Stands),31-25, ,,2,31,25,6,768.0
11:01.0,T. Young misses 2-pt layup from 3 ft,31-25, ,,2,31,25,6,779.0
10:59.0, ,31-25,Defensive rebound by T. Maledon,,2,31,25,6,781.0
10:47.0, ,31-25,P. Washington misses 3-pt jump shot from 27 ft,,2,31,25,6,793.0
10:45.0,Defensive rebound by B. Bogdanović,31-25, ,,2,31,25,6,795.0
10:40.0,Shooting foul by T. Maledon (drawn by T. Young),31-25, ,,2,31,25,6,800.0
10:40.0,T. Young makes free throw 1 of 2,32-25, ,,2,32,25,7,800.0
10:40.0,T. Young makes free throw 2 of 2,33-25, ,,2,33,25,8,800.0
10:20.0, ,33-25,P. Washington misses 3-pt jump shot from 23 ft,,2,33,25,8,820.0
10:19.0, ,33-25,Offensive rebound by Team,,2,33,25,8,821.0
10:10.0, ,33-25,L. Ball misses 3-pt jump shot from 23 ft,,2,33,25,8,830.0
10:08.0,Defensive rebound by J. Johnson,33-25, ,,2,33,25,8,832.0
10:06.0,Shooting foul by N. Richards (drawn by T. Young),33-25, ,,2,33,25,8,834.0
10:06.0,T. Young makes free throw 1 of 2,34-25, ,,2,34,25,9,834.0
10:06.0,T. Young makes free throw 2 of 2,35-25, ,,2,35,25,10,834.0
9:45.0, ,35-25,Turnover by N. Richards (lost ball; steal by S. Bey),,2,35,25,10,855.0
9:35.0,B. Bogdanović misses 3-pt jump shot from 27 ft,35-25, ,,2,35,25,10,865.0
9:30.0, ,35-25,Defensive rebound by L. Ball,,2,35,25,10,870.0
9:27.0, ,35-25,Shooting foul by O. Okongwu (drawn by L. Ball),,2,35,25,10,873.0
9:27.0, ,35-26,L. Ball makes free throw 1 of 2,,2,35,26,9,873.0
9:27.0, ,35-27,L. Ball makes free throw 2 of 2,,2,35,27,8,873.0
9:17.0,Turnover by S. Bey (bad pass),35-27, ,,2,35,27,8,883.0
9:06.0, ,35-29,P. Washington makes 2-pt jump shot from 9 ft (assist by L. Ball),,2,35,29,6,894.0
8:50.0,S. Bey misses 2-pt layup from 3 ft,35-29, ,,2,35,29,6,910.0
8:48.0, ,35-29,Defensive rebound by L. Ball,,2,35,29,6,912.0
8:44.0, ,35-31,T. Maledon makes 2-pt layup from 2 ft (assist by P. Washington),,2,35,31,4,916.0
8:44.0,Atlanta full timeout,35-31, ,,2,35,31,4,916.0
8:24.0,T. Young makes 2-pt jump shot from 23 ft (assist by O. Okongwu),37-31, ,,2,37,31,6,936.0
8:08.0, ,37-33,P. Washington makes 2-pt dunk from 3 ft (assist by N. Richards),,2,37,33,4,952.0
7:52.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by T. Young),40-33, ,,2,40,33,7,968.0
7:37.0, ,40-33,L. Ball misses 3-pt jump shot from 30 ft,,2,40,33,7,983.0
7:34.0,Defensive rebound by J. Johnson,40-33, ,,2,40,33,7,986.0
7:31.0,Shooting foul by B. Miller (drawn by T. Young),40-33, ,,2,40,33,7,989.0
7:31.0,T. Young misses free throw 1 of 3,40-33, ,,2,40,33,7,989.0
7:31.0,Offensive rebound by Team,40-33, ,,2,40,33,7,989.0
7:31.0,T. Young makes free throw 2 of 3,41-33, ,,2,41,33,8,989.0
7:31.0,D. Hunter enters the game for S. Bey,41-33, ,,2,41,33,8,989.0
7:31.0, ,41-33,G. Hayward enters the game for L. Ball,,2,41,33,8,989.0
7:31.0, ,41-33,T. Rozier enters the game for T. Maledon,,2,41,33,8,989.0
7:31.0, ,41-33,J. Thor enters the game for B. Miller,,2,41,33,8,989.0
7:31.0,T. Young makes free throw 3 of 3,42-33, ,,2,42,33,9,989.0
7:08.0, ,42-33,Turnover by G. Hayward (lost ball; steal by T. Young),,2,42,33,9,1012.0
7:06.0,Turnover by T. Young (bad pass),42-33, ,,2,42,33,9,1014.0
7:06.0,D. Murray enters the game for T. Young,42-33, ,,2,42,33,9,1014.0
6:44.0, ,42-33,T. Rozier misses 2-pt jump shot from 18 ft,,2,42,33,9,1036.0
6:40.0, ,42-33,Offensive rebound by G. Hayward,,2,42,33,9,1040.0
6:33.0, ,42-33,Personal foul by O. Okongwu (drawn by N. Richards),,2,42,33,9,1047.0
6:19.0, ,42-33,Turnover by T. Rozier (bad pass; steal by B. Bogdanović),,2,42,33,9,1061.0
6:14.0,B. Bogdanović makes 2-pt layup from 2 ft,44-33, ,,2,44,33,11,1066.0
5:54.0, ,44-35,P. Washington makes 2-pt jump shot from 19 ft (assist by G. Hayward),,2,44,35,9,1086.0
5:42.0,Personal foul by P. Washington (drawn by J. Johnson),44-35, ,,2,44,35,9,1098.0
5:42.0,J. Johnson makes free throw 1 of 2,45-35, ,,2,45,35,10,1098.0
5:42.0,C. Capela enters the game for O. Okongwu,45-35, ,,2,45,35,10,1098.0
5:42.0, ,45-35,M. Williams enters the game for N. Richards,,2,45,35,10,1098.0
5:42.0,J. Johnson misses free throw 2 of 2,45-35, ,,2,45,35,10,1098.0
5:36.0, ,45-35,Defensive rebound by M. Williams,,2,45,35,10,1104.0
5:27.0, ,45-35,J. Thor misses 2-pt layup from 2 ft (block by J. Johnson),,2,45,35,10,1113.0
5:24.0,Defensive rebound by C. Capela,45-35, ,,2,45,35,10,1116.0
5:21.0,D. Murray misses 3-pt jump shot from 27 ft,45-35, ,,2,45,35,10,1119.0
5:15.0, ,45-35,Defensive rebound by T. Rozier,,2,45,35,10,1125.0
5:10.0, ,45-38,J. Thor makes 3-pt jump shot from 26 ft (assist by T. Rozier),,2,45,38,7,1130.0
4:57.0,J. Johnson misses 3-pt jump shot from 25 ft,45-38, ,,2,45,38,7,1143.0
4:54.0, ,45-38,Defensive rebound by M. Williams,,2,45,38,7,1146.0
4:45.0, ,45-38,J. Thor misses 2-pt layup from 3 ft,,2,45,38,7,1155.0
4:42.0,Defensive rebound by C. Capela,45-38, ,,2,45,38,7,1158.0
4:39.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Murray),47-38, ,,2,47,38,9,1161.0
4:39.0, ,47-38,Charlotte full timeout,,2,47,38,9,1161.0
4:39.0,S. Bey enters the game for B. Bogdanović,47-38, ,,2,47,38,9,1161.0
4:39.0,T. Young enters the game for J. Johnson,47-38, ,,2,47,38,9,1161.0
4:21.0, ,47-38,Shooting foul by D. Hunter (drawn by T. Rozier),,2,47,38,9,1179.0
4:21.0, ,47-39,T. Rozier makes free throw 1 of 2,,2,47,39,8,1179.0
4:21.0, ,47-40,T. Rozier makes free throw 2 of 2,,2,47,40,7,1179.0
4:01.0,D. Murray misses 2-pt jump shot from 18 ft,47-40, ,,2,47,40,7,1199.0
3:59.0,Offensive rebound by Team,47-40, ,,2,47,40,7,1201.0
3:48.0,T. Young misses 2-pt layup from 5 ft,47-40, ,,2,47,40,7,1212.0
3:44.0,Offensive rebound by C. Capela,47-40, ,,2,47,40,7,1216.0
3:44.0,C. Capela misses 2-pt layup at rim,47-40, ,,2,47,40,7,1216.0
3:43.0,Offensive rebound by C. Capela,47-40, ,,2,47,40,7,1217.0
3:41.0,C. Capela makes 2-pt layup from 1 ft,49-40, ,,2,49,40,9,1219.0
3:36.0, ,49-40,Shooting foul by T. Young (drawn by T. Rozier),,2,49,40,9,1224.0
3:36.0, ,49-40,T. Rozier misses free throw 1 of 2,,2,49,40,9,1224.0
3:36.0, ,49-40,Offensive rebound by Team,,2,49,40,9,1224.0
3:36.0, ,49-40,L. Ball enters the game for P. Washington,,2,49,40,9,1224.0
3:36.0, ,49-41,T. Rozier makes free throw 2 of 2,,2,49,41,8,1224.0
3:24.0,T. Young misses 3-pt jump shot from 25 ft,49-41, ,,2,49,41,8,1236.0
3:21.0, ,49-41,Defensive rebound by L. Ball,,2,49,41,8,1239.0
3:21.0, ,49-41,Shooting foul by T. Young (drawn by T. Rozier),,2,49,41,8,1239.0
3:21.0, ,49-42,T. Rozier makes free throw 1 of 2,,2,49,42,7,1239.0
3:21.0, ,49-43,T. Rozier makes free throw 2 of 2,,2,49,43,6,1239.0
3:08.0,D. Murray misses 2-pt layup from 3 ft,49-43, ,,2,49,43,6,1252.0
3:06.0, ,49-43,Defensive rebound by G. Hayward,,2,49,43,6,1254.0
2:57.0, ,49-46,T. Rozier makes 3-pt jump shot from 26 ft (assist by G. Hayward),,2,49,46,3,1263.0
2:42.0,D. Hunter misses 2-pt jump shot from 9 ft,49-46, ,,2,49,46,3,1278.0
2:40.0, ,49-46,Defensive rebound by M. Williams,,2,49,46,3,1280.0
2:35.0, ,49-46,Turnover by T. Rozier (lost ball; steal by S. Bey),,2,49,46,3,1285.0
2:33.0,Shooting foul by L. Ball (drawn by D. Murray),49-46, ,,2,49,46,3,1287.0
2:33.0,D. Murray makes free throw 1 of 2,50-46, ,,2,50,46,4,1287.0
2:33.0,D. Murray makes free throw 2 of 2,51-46, ,,2,51,46,5,1287.0
2:23.0, ,51-46,L. Ball misses 3-pt jump shot from 29 ft,,2,51,46,5,1297.0
2:22.0,Defensive rebound by Team,51-46, ,,2,51,46,5,1298.0
2:22.0, ,51-46,T. Maledon enters the game for L. Ball,,2,51,46,5,1298.0
2:12.0,D. Murray misses 3-pt jump shot from 24 ft,51-46, ,,2,51,46,5,1308.0
2:08.0,Offensive rebound by D. Hunter,51-46, ,,2,51,46,5,1312.0
2:04.0,D. Murray misses 2-pt layup from 2 ft,51-46, ,,2,51,46,5,1316.0
2:01.0, ,51-46,Defensive rebound by G. Hayward,,2,51,46,5,1319.0
1:56.0, ,51-49,T. Rozier makes 3-pt jump shot from 23 ft (assist by T. Maledon),,2,51,49,2,1324.0
1:45.0,C. Capela misses 2-pt layup from 1 ft (block by M. Williams),51-49, ,,2,51,49,2,1335.0
1:45.0,Offensive rebound by Team,51-49, ,,2,51,49,2,1335.0
1:38.0,T. Young misses 2-pt jump shot from 16 ft,51-49, ,,2,51,49,2,1342.0
1:36.0, ,51-49,Defensive rebound by M. Williams,,2,51,49,2,1344.0
1:16.0, ,51-49,T. Rozier misses 2-pt jump shot from 4 ft,,2,51,49,2,1364.0
1:13.0, ,51-49,Offensive rebound by M. Williams,,2,51,49,2,1367.0
1:13.0, ,51-51,M. Williams makes 2-pt layup at rim,Tie,2,51,51,0,1367.0
0:54.0,T. Young misses 2-pt layup from 7 ft (block by G. Hayward),51-51, ,,2,51,51,0,1386.0
0:52.0,Offensive rebound by C. Capela,51-51, ,,2,51,51,0,1388.0
0:52.0,Shooting foul by T. Maledon (drawn by C. Capela),51-51, ,,2,51,51,0,1388.0
0:52.0,C. Capela makes free throw 1 of 2,52-51, ,,2,52,51,1,1388.0
0:52.0,C. Capela misses free throw 2 of 2,52-51, ,,2,52,51,1,1388.0
0:49.0,Offensive rebound by S. Bey,52-51, ,,2,52,51,1,1391.0
0:47.0,S. Bey misses 2-pt layup from 3 ft,52-51, ,,2,52,51,1,1393.0
0:45.0, ,52-51,Defensive rebound by M. Williams,,2,52,51,1,1395.0
0:43.0, ,52-51,Shooting foul by D. Hunter (drawn by T. Rozier),,2,52,51,1,1397.0
0:43.0, ,52-51,T. Rozier misses free throw 1 of 2,,2,52,51,1,1397.0
0:43.0, ,52-51,Offensive rebound by Team,,2,52,51,1,1397.0
0:43.0, ,52-51,N. Smith enters the game for T. Maledon,,2,52,51,1,1397.0
0:43.0, ,52-51,T. Rozier misses free throw 2 of 2,,2,52,51,1,1397.0
0:42.0,Defensive rebound by C. Capela,52-51, ,,2,52,51,1,1398.0
0:32.0,Turnover by T. Young (bad pass; steal by M. Williams),52-51, ,,2,52,51,1,1408.0
0:24.0, ,52-51,G. Hayward misses 3-pt jump shot from 23 ft,,2,52,51,1,1416.0
0:22.0, ,52-51,Offensive rebound by G. Hayward,,2,52,51,1,1418.0
0:20.0, ,52-51,Turnover by G. Hayward (lost ball; steal by S. Bey),,2,52,51,1,1420.0
0:00.0,Turnover by T. Young (lost ball; steal by G. Hayward),52-51, ,,2,52,51,1,1440.0
0:00.0,End of 2nd quarter,52-51,,,2,52,51,1,1440.0
12:00.0,Start of 3rd quarter,52-51,,,3,52,51,1,1440.0
11:41.0,D. Hunter makes 2-pt jump shot from 9 ft,54-51, ,,3,54,51,3,1459.0
11:21.0, ,54-51,L. Ball misses 3-pt jump shot from 26 ft,,3,54,51,3,1479.0
11:19.0, ,54-51,Offensive rebound by G. Hayward,,3,54,51,3,1481.0
11:16.0, ,54-51,G. Hayward misses 2-pt jump shot from 17 ft,,3,54,51,3,1484.0
11:13.0,Defensive rebound by S. Bey,54-51, ,,3,54,51,3,1487.0
11:04.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),56-51, ,,3,56,51,5,1496.0
10:43.0, ,56-51,T. Rozier misses 3-pt jump shot from 25 ft,,3,56,51,5,1517.0
10:40.0,Defensive rebound by D. Hunter,56-51, ,,3,56,51,5,1520.0
10:31.0,T. Young misses 2-pt jump shot from 23 ft,56-51, ,,3,56,51,5,1529.0
10:28.0, ,56-51,Defensive rebound by P. Washington,,3,56,51,5,1532.0
10:21.0, ,56-51,Turnover by L. Ball (out of bounds lost ball),,3,56,51,5,1539.0
10:08.0,S. Bey misses 3-pt jump shot from 24 ft,56-51, ,,3,56,51,5,1552.0
10:05.0, ,56-51,Defensive rebound by G. Hayward,,3,56,51,5,1555.0
9:55.0, ,56-54,L. Ball makes 3-pt jump shot from 29 ft (assist by P. Washington),,3,56,54,2,1565.0
9:39.0,C. Capela makes 2-pt hook shot from 7 ft (assist by D. Hunter),58-54, ,,3,58,54,4,1581.0
9:39.0, ,58-54,Violation by Team (def goaltending),,3,58,54,4,1581.0
9:26.0, ,58-57,L. Ball makes 3-pt jump shot from 29 ft (assist by G. Hayward),,3,58,57,1,1594.0
9:16.0, ,58-57,Violation by Team (kicked ball),,3,58,57,1,1604.0
9:07.0,C. Capela makes 2-pt dunk from 2 ft (assist by D. Murray),60-57, ,,3,60,57,3,1613.0
8:50.0, ,60-59,P. Washington makes 2-pt jump shot from 10 ft (assist by T. Rozier),,3,60,59,1,1630.0
8:33.0,C. Capela misses 2-pt layup from 4 ft,60-59, ,,3,60,59,1,1647.0
8:30.0, ,60-59,Defensive rebound by L. Ball,,3,60,59,1,1650.0
8:25.0, ,60-59,T. Rozier misses 3-pt jump shot from 22 ft,,3,60,59,1,1655.0
8:22.0,Defensive rebound by C. Capela,60-59, ,,3,60,59,1,1658.0
8:16.0,Turnover by T. Young (out of bounds lost ball),60-59, ,,3,60,59,1,1664.0
7:59.0, ,60-61,G. Hayward makes 2-pt jump shot from 13 ft,Lead change,3,60,61,-1,1681.0
7:59.0,Atlanta full timeout,60-61, ,,3,60,61,-1,1681.0
7:39.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by T. Young),63-61, ,Lead change,3,63,61,2,1701.0
7:28.0, ,63-61,Shooting foul by D. Hunter (drawn by G. Hayward),,3,63,61,2,1712.0
7:28.0, ,63-62,G. Hayward makes free throw 1 of 2,,3,63,62,1,1712.0
7:28.0, ,63-63,G. Hayward makes free throw 2 of 2,Tie,3,63,63,0,1712.0
7:13.0,D. Murray misses 2-pt jump shot from 18 ft,63-63, ,,3,63,63,0,1727.0
7:10.0, ,63-63,Defensive rebound by M. Williams,,3,63,63,0,1730.0
7:00.0, ,63-65,T. Rozier makes 2-pt jump shot from 9 ft,Lead change,3,63,65,-2,1740.0
6:51.0,T. Young misses 3-pt jump shot from 28 ft,63-65, ,,3,63,65,-2,1749.0
6:48.0, ,63-65,Defensive rebound by M. Williams,,3,63,65,-2,1752.0
6:37.0, ,63-65,G. Hayward misses 2-pt jump shot from 19 ft,,3,63,65,-2,1763.0
6:34.0, ,63-65,Offensive rebound by L. Ball,,3,63,65,-2,1766.0
6:29.0, ,63-65,P. Washington misses 3-pt jump shot from 25 ft,,3,63,65,-2,1771.0
6:26.0, ,63-65,Offensive rebound by T. Rozier,,3,63,65,-2,1774.0
6:21.0, ,63-65,L. Ball misses 3-pt jump shot from 30 ft,,3,63,65,-2,1779.0
6:16.0, ,63-65,Offensive rebound by P. Washington,,3,63,65,-2,1784.0
6:14.0, ,63-67,P. Washington makes 2-pt layup from 1 ft,,3,63,67,-4,1786.0
5:58.0,Shooting foul by L. Ball (drawn by T. Young),63-67, ,,3,63,67,-4,1802.0
5:58.0,T. Young makes free throw 1 of 2,64-67, ,,3,64,67,-3,1802.0
5:58.0,J. Johnson enters the game for D. Hunter,64-67, ,,3,64,67,-3,1802.0
