Time,Houston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:40.0,J. Smith misses 2-pt jump shot from 12 ft,7-10, ,,1,10,7,3,260.0
7:37.0,Offensive rebound by Team,7-10, ,,1,10,7,3,263.0
7:29.0,J. Smith misses 3-pt jump shot from 26 ft,7-10, ,,1,10,7,3,271.0
7:27.0, ,7-10,Defensive rebound by S. Bey,,1,10,7,3,273.0
7:13.0, ,7-12,S. Bey makes 2-pt dunk at rim (assist by D. Murray),,1,12,7,5,287.0
6:48.0,J. Green makes 3-pt jump shot from 24 ft (assist by J. Green),10-12, ,,1,12,10,2,312.0
6:33.0, ,10-12,J. Johnson misses 2-pt jump shot from 4 ft,,1,12,10,2,327.0
6:30.0,Defensive rebound by J. Smith,10-12, ,,1,12,10,2,330.0
6:27.0,J. Smith makes 2-pt jump shot from 15 ft,12-12, ,Tie,1,12,12,0,333.0
6:12.0, ,12-15,T. Young makes 3-pt jump shot from 28 ft,,1,15,12,3,348.0
6:03.0,A. Thompson makes 2-pt layup from 4 ft,14-15, ,,1,15,14,1,357.0
5:49.0, ,14-15,S. Bey misses 2-pt layup from 6 ft (block by J. Smith),,1,15,14,1,371.0
5:49.0,Defensive rebound by Team,14-15, ,,1,15,14,1,371.0
5:49.0,A. Holiday enters the game for J. Green,14-15, ,,1,15,14,1,371.0
5:49.0,J. Landale enters the game for A. Thompson,14-15, ,,1,15,14,1,371.0
5:49.0, ,14-15,B. Bogdanović enters the game for O. Okongwu,,1,15,14,1,371.0
5:49.0, ,14-15,K. Bufkin enters the game for T. Young,,1,15,14,1,371.0
5:49.0,Jump ball: J. Smith vs. S. Bey (J. Landale gains possession),14-15,,,1,15,14,1,371.0
5:36.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by J. Green),17-15, ,Lead change,1,15,17,-2,384.0
5:20.0, ,17-15,K. Bufkin misses 3-pt jump shot from 26 ft,,1,15,17,-2,400.0
5:17.0,Defensive rebound by J. Green,17-15, ,,1,15,17,-2,403.0
5:08.0,Shooting foul by B. Bogdanović (drawn by J. Landale),17-15, ,,1,15,17,-2,412.0
5:08.0,J. Landale makes free throw 1 of 2,18-15, ,,1,15,18,-3,412.0
5:08.0,J. Landale makes free throw 2 of 2,19-15, ,,1,15,19,-4,412.0
4:57.0, ,19-15,D. Murray misses 3-pt jump shot from 25 ft,,1,15,19,-4,423.0
4:54.0,Defensive rebound by J. Smith,19-15, ,,1,15,19,-4,426.0
4:49.0,J. Green misses 3-pt jump shot from 26 ft,19-15, ,,1,15,19,-4,431.0
4:47.0,Offensive rebound by J. Landale,19-15, ,,1,15,19,-4,433.0
4:47.0,J. Landale misses 2-pt layup at rim (block by J. Johnson),19-15, ,,1,15,19,-4,433.0
