Time,Atlanta,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:21.0,Defensive rebound by B. Fernando,27-25, ,,1,27,25,2,699.0
0:01.0,Shooting foul by A. Edwards (drawn by B. Fernando),27-25, ,,1,27,25,2,719.0
0:01.0,B. Fernando misses free throw 1 of 2,27-25, ,,1,27,25,2,719.0
0:01.0,Offensive rebound by Team,27-25, ,,1,27,25,2,719.0
0:01.0,B. Fernando misses free throw 2 of 2,27-25, ,,1,27,25,2,719.0
0:00.0, ,27-25,Defensive rebound by K. Towns,,1,27,25,2,720.0
0:00.0,End of 1st quarter,27-25,,,1,27,25,2,720.0
12:00.0,Start of 2nd quarter,27-25,,,2,27,25,2,720.0
11:34.0, ,27-25,K. Anderson misses 2-pt jump shot from 12 ft,,2,27,25,2,746.0
11:31.0,Defensive rebound by A. Griffin,27-25, ,,2,27,25,2,749.0
11:19.0,B. Fernando makes 2-pt hook shot from 7 ft (assist by B. Bogdanović),29-25, ,,2,29,25,4,761.0
11:06.0, ,29-25,M. Conley misses 3-pt jump shot from 25 ft,,2,29,25,4,774.0
11:04.0, ,29-25,Offensive rebound by J. McLaughlin,,2,29,25,4,776.0
10:58.0, ,29-25,J. McLaughlin misses 3-pt jump shot from 22 ft,,2,29,25,4,782.0
10:55.0,Defensive rebound by M. Gueye,29-25, ,,2,29,25,4,785.0
10:34.0,T. Young misses 2-pt jump shot from 14 ft,29-25, ,,2,29,25,4,806.0
10:30.0, ,29-25,Defensive rebound by M. Conley,,2,29,25,4,810.0
10:25.0, ,29-25,N. Alexander-Walker misses 3-pt jump shot from 22 ft,,2,29,25,4,815.0
10:22.0,Defensive rebound by B. Fernando,29-25, ,,2,29,25,4,818.0
10:09.0,M. Gueye misses 3-pt jump shot from 23 ft,29-25, ,,2,29,25,4,831.0
10:07.0, ,29-25,Defensive rebound by R. Gobert,,2,29,25,4,833.0
10:04.0, ,29-25,Personal foul by T. Young (drawn by J. McLaughlin),,2,29,25,4,836.0
10:04.0,D. Murray enters the game for T. Young,29-25, ,,2,29,25,4,836.0
9:51.0, ,29-25,Personal foul by M. Gueye (drawn by N. Alexander-Walker),,2,29,25,4,849.0
9:44.0, ,29-25,Shooting foul by D. Murray (drawn by R. Gobert),,2,29,25,4,856.0
