Time,New York,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:03.0, ,35-29,Personal foul by J. Hart (drawn by T. Young),,1,29,35,-6,717.0
0:03.0, ,35-30,T. Young makes free throw 1 of 2,,1,30,35,-5,717.0
0:03.0, ,35-31,T. Young makes free throw 2 of 2,,1,31,35,-4,717.0
0:02.0,Turnover by R. Barrett (bad pass; steal by T. Young),35-31, ,,1,31,35,-4,718.0
0:00.0, ,35-31,T. Young misses 2-pt jump shot from 7 ft,,1,31,35,-4,720.0
0:00.0, ,35-31,Offensive rebound by Team,,1,31,35,-4,720.0
0:00.0,End of 1st quarter,35-31,,,1,31,35,-4,720.0
12:00.0,Start of 2nd quarter,35-31,,,2,31,35,-4,720.0
11:51.0, ,35-31,Shooting foul by I. Hartenstein (drawn by O. Okongwu),,2,31,35,-4,729.0
11:51.0, ,35-32,O. Okongwu makes free throw 1 of 2,,2,32,35,-3,729.0
11:51.0, ,35-33,O. Okongwu makes free throw 2 of 2,,2,33,35,-2,729.0
11:37.0,Turnover by D. DiVincenzo (step out of bounds),35-33, ,,2,33,35,-2,743.0
11:24.0, ,35-33,Personal foul by I. Hartenstein (drawn by O. Okongwu),,2,33,35,-2,756.0
11:24.0,M. Robinson enters the game for I. Hartenstein,35-33, ,,2,33,35,-2,756.0
11:11.0, ,35-33,S. Bey misses 2-pt layup from 3 ft (block by M. Robinson),,2,33,35,-2,769.0
11:04.0,Defensive rebound by M. Robinson,35-33, ,,2,33,35,-2,776.0
10:59.0,Turnover by I. Quickley (lost ball; steal by J. Johnson),35-33, ,,2,33,35,-2,781.0
10:54.0, ,35-35,S. Bey makes 2-pt dunk at rim (assist by J. Johnson),Tie,2,35,35,0,786.0
10:43.0,I. Quickley makes 3-pt jump shot from 23 ft (assist by R. Barrett),38-35, ,,2,35,38,-3,797.0
10:27.0, ,38-35,Turnover by T. Young (bad pass; steal by J. Hart),,2,35,38,-3,813.0
10:25.0,Shooting foul by B. Bogdanović (drawn by R. Barrett),38-35, ,,2,35,38,-3,815.0
10:25.0,R. Barrett makes free throw 1 of 2,39-35, ,,2,35,39,-4,815.0
10:25.0,R. Barrett makes free throw 2 of 2,40-35, ,,2,35,40,-5,815.0
10:13.0, ,40-38,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),,2,38,40,-2,827.0
9:57.0,D. DiVincenzo makes 2-pt layup from 1 ft (assist by R. Barrett),42-38, ,,2,38,42,-4,843.0
9:40.0, ,42-38,Turnover by T. Young (bad pass; steal by R. Barrett),,2,38,42,-4,860.0
9:40.0,Personal foul by O. Okongwu (drawn by R. Barrett),42-38, ,,2,38,42,-4,860.0
9:22.0,D. DiVincenzo makes 2-pt jump shot from 19 ft,44-38, ,,2,38,44,-6,878.0
9:15.0, ,44-40,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),,2,40,44,-4,885.0
8:52.0,R. Barrett misses 2-pt jump shot from 11 ft,44-40, ,,2,40,44,-4,908.0
8:50.0, ,44-40,Defensive rebound by J. Johnson,,2,40,44,-4,910.0
8:44.0, ,44-40,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,40,44,-4,916.0
8:41.0,Defensive rebound by I. Quickley,44-40, ,,2,40,44,-4,919.0
8:36.0,I. Quickley makes 2-pt jump shot from 11 ft,46-40, ,,2,40,46,-6,924.0
8:20.0, ,46-40,Turnover by B. Bogdanović (bad pass; steal by M. Robinson),,2,40,46,-6,940.0
8:15.0,I. Quickley makes 2-pt layup from 1 ft (assist by R. Barrett),48-40, ,,2,40,48,-8,945.0
7:52.0, ,48-42,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),,2,42,48,-6,968.0
7:32.0,R. Barrett makes 2-pt jump shot from 19 ft (assist by I. Quickley),50-42, ,,2,42,50,-8,988.0
7:25.0, ,50-42,Atlanta full timeout,,2,42,50,-8,995.0
7:25.0, ,50-42,D. Hunter enters the game for S. Bey,,2,42,50,-8,995.0
7:25.0, ,50-42,D. Murray enters the game for T. Young,,2,42,50,-8,995.0
7:13.0, ,50-42,Turnover by B. Bogdanović (bad pass; steal by D. DiVincenzo),,2,42,50,-8,1007.0
7:08.0,R. Barrett misses 3-pt jump shot from 23 ft,50-42, ,,2,42,50,-8,1012.0
7:05.0, ,50-42,Defensive rebound by D. Hunter,,2,42,50,-8,1015.0
6:57.0, ,50-45,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Hunter),,2,45,50,-5,1023.0
6:37.0,Turnover by R. Barrett (bad pass; steal by O. Okongwu),50-45, ,,2,45,50,-5,1043.0
6:34.0, ,50-47,J. Johnson makes 2-pt dunk from 1 ft,,2,47,50,-3,1046.0
6:23.0,New York full timeout,50-47, ,,2,47,50,-3,1057.0
6:23.0,J. Brunson enters the game for R. Barrett,50-47, ,,2,47,50,-3,1057.0
6:23.0,J. Randle enters the game for J. Hart,50-47, ,,2,47,50,-3,1057.0
6:23.0, ,50-47,C. Capela enters the game for O. Okongwu,,2,47,50,-3,1057.0
6:22.0,Turnover by I. Quickley (bad pass),50-47, ,,2,47,50,-3,1058.0
6:08.0, ,50-49,D. Hunter makes 2-pt layup from 1 ft (assist by C. Capela),,2,49,50,-1,1072.0
5:45.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by I. Quickley),53-49, ,,2,49,53,-4,1095.0
5:35.0, ,53-49,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,49,53,-4,1105.0
5:33.0,Defensive rebound by M. Robinson,53-49, ,,2,49,53,-4,1107.0
5:23.0,J. Brunson misses 3-pt jump shot from 26 ft,53-49, ,,2,49,53,-4,1117.0
5:17.0,Offensive rebound by M. Robinson,53-49, ,,2,49,53,-4,1123.0
5:17.0,M. Robinson misses 2-pt layup at rim,53-49, ,,2,49,53,-4,1123.0
5:16.0,Offensive rebound by M. Robinson,53-49, ,,2,49,53,-4,1124.0
5:16.0,M. Robinson misses 2-pt layup at rim,53-49, ,,2,49,53,-4,1124.0
5:14.0,Offensive rebound by J. Randle,53-49, ,,2,49,53,-4,1126.0
5:05.0,I. Quickley makes 2-pt layup from 3 ft,55-49, ,,2,49,55,-6,1135.0
4:49.0, ,55-49,Shooting foul by D. DiVincenzo (drawn by D. Hunter),,2,49,55,-6,1151.0
4:49.0, ,55-50,D. Hunter makes free throw 1 of 2,,2,50,55,-5,1151.0
4:49.0,Q. Grimes enters the game for D. DiVincenzo,55-50, ,,2,50,55,-5,1151.0
4:49.0, ,55-50,T. Young enters the game for B. Bogdanović,,2,50,55,-5,1151.0
4:49.0, ,55-51,D. Hunter makes free throw 2 of 2,,2,51,55,-4,1151.0
4:37.0,J. Brunson misses 2-pt jump shot from 12 ft,55-51, ,,2,51,55,-4,1163.0
4:34.0,Offensive rebound by Team,55-51, ,,2,51,55,-4,1166.0
4:21.0,J. Brunson misses 2-pt jump shot from 7 ft,55-51, ,,2,51,55,-4,1179.0
4:17.0, ,55-51,Defensive rebound by D. Murray,,2,51,55,-4,1183.0
4:12.0, ,55-51,D. Murray misses 2-pt layup from 2 ft,,2,51,55,-4,1188.0
4:07.0, ,55-51,Offensive rebound by C. Capela,,2,51,55,-4,1193.0
4:07.0, ,55-53,C. Capela makes 2-pt dunk at rim,,2,53,55,-2,1193.0
3:48.0,I. Quickley misses 3-pt jump shot from 25 ft,55-53, ,,2,53,55,-2,1212.0
3:44.0,Offensive rebound by Q. Grimes,55-53, ,,2,53,55,-2,1216.0
3:44.0,Q. Grimes misses 2-pt layup from 2 ft (block by C. Capela),55-53, ,,2,53,55,-2,1216.0
3:43.0,Offensive rebound by M. Robinson,55-53, ,,2,53,55,-2,1217.0
3:43.0,Shooting foul by C. Capela (drawn by M. Robinson),55-53, ,,2,53,55,-2,1217.0
3:43.0,M. Robinson misses free throw 1 of 2,55-53, ,,2,53,55,-2,1217.0
3:43.0,Offensive rebound by Team,55-53, ,,2,53,55,-2,1217.0
3:43.0,R. Barrett enters the game for I. Quickley,55-53, ,,2,53,55,-2,1217.0
3:43.0, ,55-53,S. Bey enters the game for J. Johnson,,2,53,55,-2,1217.0
3:43.0,M. Robinson makes free throw 2 of 2,56-53, ,,2,53,56,-3,1217.0
3:33.0, ,56-53,T. Young misses 2-pt jump shot from 8 ft,,2,53,56,-3,1227.0
3:31.0,Defensive rebound by J. Randle,56-53, ,,2,53,56,-3,1229.0
3:31.0,Turnover by J. Randle (traveling),56-53, ,,2,53,56,-3,1229.0
3:10.0, ,56-53,Turnover by T. Young (bad pass; steal by M. Robinson),,2,53,56,-3,1250.0
3:01.0,J. Randle makes 3-pt jump shot from 25 ft (assist by J. Brunson),59-53, ,,2,53,59,-6,1259.0
2:45.0, ,59-56,D. Hunter makes 3-pt jump shot from 25 ft,,2,56,59,-3,1275.0
2:29.0,M. Robinson makes 2-pt dunk from 1 ft (assist by R. Barrett),61-56, ,,2,56,61,-5,1291.0
2:17.0, ,61-56,Turnover by C. Capela (bad pass),,2,56,61,-5,1303.0
2:05.0, ,61-56,Violation by Team (kicked ball),,2,56,61,-5,1315.0
1:59.0,J. Brunson makes 3-pt jump shot from 25 ft,64-56, ,,2,56,64,-8,1321.0
1:49.0, ,64-56,D. Murray misses 3-pt jump shot from 23 ft,,2,56,64,-8,1331.0
1:47.0,Defensive rebound by M. Robinson,64-56, ,,2,56,64,-8,1333.0
1:42.0,Q. Grimes makes 3-pt jump shot from 23 ft (assist by R. Barrett),67-56, ,,2,56,67,-11,1338.0
1:24.0, ,67-56,T. Young misses 2-pt layup from 1 ft (block by M. Robinson),,2,56,67,-11,1356.0
1:18.0, ,67-56,Offensive rebound by C. Capela,,2,56,67,-11,1362.0
1:18.0, ,67-58,C. Capela makes 2-pt layup at rim,,2,58,67,-9,1362.0
0:55.0,Q. Grimes misses 3-pt jump shot from 26 ft,67-58, ,,2,58,67,-9,1385.0
0:53.0, ,67-58,Defensive rebound by C. Capela,,2,58,67,-9,1387.0
0:40.0, ,67-60,D. Murray makes 2-pt layup from 3 ft,,2,60,67,-7,1400.0
0:40.0, ,67-60,Shooting foul by R. Barrett (drawn by D. Murray),,2,60,67,-7,1400.0
0:40.0, ,67-61,D. Murray makes free throw 1 of 1,,2,61,67,-6,1400.0
0:31.0,J. Brunson misses 3-pt jump shot from 24 ft,67-61, ,,2,61,67,-6,1409.0
0:28.0, ,67-61,Defensive rebound by C. Capela,,2,61,67,-6,1412.0
0:05.0, ,67-61,T. Young misses 2-pt jump shot from 21 ft,,2,61,67,-6,1435.0
0:01.0,Defensive rebound by J. Randle,67-61, ,,2,61,67,-6,1439.0
0:00.0,R. Barrett makes 2-pt dunk from 1 ft (assist by J. Randle),69-61, ,,2,61,69,-8,1440.0
0:00.0,End of 2nd quarter,69-61,,,2,61,69,-8,1440.0
12:00.0,Start of 3rd quarter,69-61,,,3,61,69,-8,1440.0
11:44.0, ,69-61,D. Hunter misses 3-pt jump shot from 25 ft,,3,61,69,-8,1456.0
11:42.0,Defensive rebound by Team,69-61, ,,3,61,69,-8,1458.0
11:26.0,J. Randle misses 3-pt jump shot from 26 ft,69-61, ,,3,61,69,-8,1474.0
11:23.0, ,69-61,Defensive rebound by D. Hunter,,3,61,69,-8,1477.0
11:18.0, ,69-61,C. Capela misses 2-pt layup from 2 ft (block by M. Robinson),,3,61,69,-8,1482.0
11:17.0, ,69-61,Offensive rebound by C. Capela,,3,61,69,-8,1483.0
11:17.0, ,69-61,Shooting foul by J. Randle (drawn by C. Capela),,3,61,69,-8,1483.0
11:17.0, ,69-61,C. Capela misses free throw 1 of 2,,3,61,69,-8,1483.0
11:17.0, ,69-61,Offensive rebound by Team,,3,61,69,-8,1483.0
11:17.0, ,69-62,C. Capela makes free throw 2 of 2,,3,62,69,-7,1483.0
11:08.0,Personal foul by D. Murray (drawn by J. Brunson),69-62, ,,3,62,69,-7,1492.0
10:58.0,J. Brunson misses 2-pt jump shot from 10 ft,69-62, ,,3,62,69,-7,1502.0
10:55.0, ,69-62,Defensive rebound by D. Hunter,,3,62,69,-7,1505.0
10:48.0, ,69-62,D. Murray misses 2-pt layup at rim,,3,62,69,-7,1512.0
10:44.0, ,69-62,Offensive rebound by C. Capela,,3,62,69,-7,1516.0
10:44.0, ,69-64,C. Capela makes 2-pt layup at rim,,3,64,69,-5,1516.0
10:34.0,J. Brunson misses 2-pt jump shot from 9 ft,69-64, ,,3,64,69,-5,1526.0
10:31.0, ,69-64,Defensive rebound by S. Bey,,3,64,69,-5,1529.0
10:20.0, ,69-64,Shooting foul by M. Robinson (drawn by D. Hunter),,3,64,69,-5,1540.0
10:20.0, ,69-65,D. Hunter makes free throw 1 of 2,,3,65,69,-4,1540.0
10:20.0, ,69-66,D. Hunter makes free throw 2 of 2,,3,66,69,-3,1540.0
10:06.0,R. Barrett makes 3-pt jump shot from 25 ft (assist by J. Randle),72-66, ,,3,66,72,-6,1554.0
10:01.0, ,72-66,Turnover by T. Young (bad pass),,3,66,72,-6,1559.0
9:41.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by J. Randle),75-66, ,,3,66,75,-9,1579.0
9:25.0, ,75-66,D. Murray misses 3-pt jump shot from 23 ft,,3,66,75,-9,1595.0
9:22.0,Defensive rebound by J. Randle,75-66, ,,3,66,75,-9,1598.0
9:15.0,Turnover by R. Barrett (lost ball; steal by D. Murray),75-66, ,,3,66,75,-9,1605.0
9:09.0, ,75-69,S. Bey makes 3-pt jump shot from 22 ft (assist by D. Murray),,3,69,75,-6,1611.0
9:06.0,New York full timeout,75-69, ,,3,69,75,-6,1614.0
8:52.0,R. Barrett misses 2-pt jump shot from 10 ft,75-69, ,,3,69,75,-6,1628.0
8:48.0, ,75-69,Defensive rebound by C. Capela,,3,69,75,-6,1632.0
8:43.0, ,75-72,T. Young makes 3-pt jump shot from 34 ft (assist by D. Murray),,3,72,75,-3,1637.0
8:16.0,R. Barrett makes 3-pt jump shot from 24 ft (assist by J. Randle),78-72, ,,3,72,78,-6,1664.0
8:06.0, ,78-72,T. Young misses 2-pt jump shot from 13 ft,,3,72,78,-6,1674.0
8:04.0, ,78-72,Offensive rebound by C. Capela,,3,72,78,-6,1676.0
8:02.0, ,78-74,C. Capela makes 2-pt dunk from 2 ft,,3,74,78,-4,1678.0
7:40.0,J. Brunson makes 3-pt jump shot from 25 ft,81-74, ,,3,74,81,-7,1700.0
7:30.0, ,81-74,Offensive foul by S. Bey (drawn by J. Brunson),,3,74,81,-7,1710.0
7:30.0, ,81-74,Turnover by S. Bey (offensive foul),,3,74,81,-7,1710.0
7:25.0,Personal foul by D. Hunter (drawn by R. Barrett),81-74, ,,3,74,81,-7,1715.0
7:08.0,J. Randle misses 3-pt jump shot from 24 ft,81-74, ,,3,74,81,-7,1732.0
7:05.0, ,81-74,Defensive rebound by C. Capela,,3,74,81,-7,1735.0
6:59.0, ,81-76,D. Murray makes 2-pt layup from 3 ft (assist by T. Young),,3,76,81,-5,1741.0
6:47.0,Turnover by J. Randle (bad pass),81-76, ,,3,76,81,-5,1753.0
6:36.0, ,81-78,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,3,78,81,-3,1764.0
6:16.0,Q. Grimes misses 3-pt jump shot from 23 ft,81-78, ,,3,78,81,-3,1784.0
6:14.0, ,81-78,Defensive rebound by D. Hunter,,3,78,81,-3,1786.0
6:09.0, ,81-78,D. Hunter misses 3-pt jump shot from 25 ft,,3,78,81,-3,1791.0
6:05.0,Defensive rebound by R. Barrett,81-78, ,,3,78,81,-3,1795.0
6:02.0,J. Brunson misses 3-pt jump shot from 25 ft,81-78, ,,3,78,81,-3,1798.0
5:59.0, ,81-78,Defensive rebound by T. Young,,3,78,81,-3,1801.0
5:56.0, ,81-78,Shooting foul by R. Barrett (drawn by T. Young),,3,78,81,-3,1804.0
5:56.0, ,81-79,T. Young makes free throw 1 of 2,,3,79,81,-2,1804.0
5:56.0,J. Hart enters the game for R. Barrett,81-79, ,,3,79,81,-2,1804.0
5:56.0, ,81-79,J. Johnson enters the game for S. Bey,,3,79,81,-2,1804.0
5:56.0, ,81-80,T. Young makes free throw 2 of 2,,3,80,81,-1,1804.0
5:32.0,J. Brunson makes 3-pt jump shot from 24 ft (assist by Q. Grimes),84-80, ,,3,80,84,-4,1828.0
5:15.0, ,84-80,D. Murray misses 2-pt jump shot from 15 ft,,3,80,84,-4,1845.0
5:12.0,Defensive rebound by J. Hart,84-80, ,,3,80,84,-4,1848.0
5:08.0,Q. Grimes misses 3-pt jump shot from 22 ft,84-80, ,,3,80,84,-4,1852.0
5:05.0, ,84-80,Defensive rebound by J. Johnson,,3,80,84,-4,1855.0
4:56.0, ,84-80,C. Capela misses 2-pt layup from 2 ft,,3,80,84,-4,1864.0
4:53.0, ,84-80,Offensive rebound by C. Capela,,3,80,84,-4,1867.0
4:53.0, ,84-80,C. Capela misses 2-pt layup at rim,,3,80,84,-4,1867.0
4:52.0,Defensive rebound by J. Brunson,84-80, ,,3,80,84,-4,1868.0
4:44.0,J. Brunson misses 2-pt layup from 2 ft,84-80, ,,3,80,84,-4,1876.0
4:40.0,Offensive rebound by M. Robinson,84-80, ,,3,80,84,-4,1880.0
4:40.0,M. Robinson misses 2-pt layup at rim,84-80, ,,3,80,84,-4,1880.0
