Time,Sacramento,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:37.0, ,4-13,Offensive rebound by Team,,1,13,4,9,263.0
7:37.0, ,4-13,C. Capela misses free throw 2 of 2,,1,13,4,9,263.0
7:36.0, ,4-13,Offensive rebound by Team,,1,13,4,9,264.0
7:33.0, ,4-13,D. Murray misses 3-pt jump shot from 23 ft,,1,13,4,9,267.0
7:29.0,Defensive rebound by K. Huerter,4-13, ,,1,13,4,9,271.0
7:25.0,D. Sabonis makes 2-pt layup from 1 ft (assist by K. Huerter),6-13, ,,1,13,6,7,275.0
7:13.0, ,6-15,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,1,15,6,9,287.0
7:13.0, ,6-15,Shooting foul by D. Sabonis (drawn by C. Capela),,1,15,6,9,287.0
7:13.0, ,6-16,C. Capela makes free throw 1 of 1,,1,16,6,10,287.0
7:04.0,D. Sabonis misses 2-pt layup from 2 ft (block by C. Capela),6-16, ,,1,16,6,10,296.0
7:00.0, ,6-16,Defensive rebound by S. Bey,,1,16,6,10,300.0
6:55.0, ,6-18,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),,1,18,6,12,305.0
6:55.0,Sacramento full timeout,6-18, ,,1,18,6,12,305.0
6:55.0,T. Lyles enters the game for H. Barnes,6-18, ,,1,18,6,12,305.0
6:55.0,M. Monk enters the game for K. Huerter,6-18, ,,1,18,6,12,305.0
6:55.0, ,6-18,B. Bogdanović enters the game for J. Johnson,,1,18,6,12,305.0
6:55.0, ,6-18,G. Mathews enters the game for T. Young,,1,18,6,12,305.0
6:32.0,M. Monk misses 3-pt jump shot from 23 ft,6-18, ,,1,18,6,12,328.0
6:27.0, ,6-18,Defensive rebound by C. Capela,,1,18,6,12,333.0
6:15.0, ,6-21,S. Bey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,1,21,6,15,345.0
6:01.0,K. Murray makes 2-pt dunk at rim (assist by D. Sabonis),8-21, ,,1,21,8,13,359.0
5:41.0, ,8-21,B. Bogdanović misses 2-pt layup from 3 ft (block by K. Murray),,1,21,8,13,379.0
5:37.0, ,8-21,Offensive rebound by C. Capela,,1,21,8,13,383.0
5:36.0, ,8-24,G. Mathews makes 3-pt jump shot from 25 ft (assist by C. Capela),,1,24,8,16,384.0
5:31.0,Turnover by M. Monk (bad pass),8-24, ,,1,24,8,16,389.0
5:31.0,C. Duarte enters the game for D. Fox,8-24, ,,1,24,8,16,389.0
5:31.0, ,8-24,O. Okongwu enters the game for C. Capela,,1,24,8,16,389.0
5:19.0, ,8-26,B. Bogdanović makes 2-pt jump shot from 7 ft (assist by D. Murray),,1,26,8,18,401.0
5:04.0,K. Murray misses 3-pt jump shot from 22 ft,8-26, ,,1,26,8,18,416.0
5:01.0, ,8-26,Defensive rebound by D. Murray,,1,26,8,18,419.0
4:55.0, ,8-26,Turnover by D. Murray (bad pass; steal by C. Duarte),,1,26,8,18,425.0
4:52.0,Turnover by T. Lyles (bad pass; steal by G. Mathews),8-26, ,,1,26,8,18,428.0
4:45.0, ,8-26,Shooting foul by T. Lyles (drawn by S. Bey),,1,26,8,18,435.0
4:45.0, ,8-27,S. Bey makes free throw 1 of 2,,1,27,8,19,435.0
4:45.0, ,8-28,S. Bey makes free throw 2 of 2,,1,28,8,20,435.0
4:30.0,K. Murray misses 3-pt jump shot from 25 ft,8-28, ,,1,28,8,20,450.0
4:25.0, ,8-28,Defensive rebound by D. Murray,,1,28,8,20,455.0
4:17.0, ,8-28,S. Bey misses 2-pt layup from 4 ft,,1,28,8,20,463.0
4:16.0, ,8-28,Offensive rebound by S. Bey,,1,28,8,20,464.0
4:16.0, ,8-28,S. Bey misses 2-pt layup from 3 ft,,1,28,8,20,464.0
4:15.0, ,8-28,Offensive rebound by S. Bey,,1,28,8,20,465.0
4:15.0, ,8-28,S. Bey misses 2-pt layup from 1 ft,,1,28,8,20,465.0
4:14.0, ,8-28,Offensive rebound by S. Bey,,1,28,8,20,466.0
4:14.0, ,8-28,S. Bey misses 2-pt layup at rim,,1,28,8,20,466.0
