Time,Golden State,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:58.0, ,37-30,G. Mathews enters the game for D. Hunter,,2,30,37,-7,842.0
9:58.0,G. Santos makes free throw 2 of 2,38-30, ,,2,30,38,-8,842.0
9:50.0, ,38-32,J. Johnson makes 2-pt layup from 2 ft (assist by B. Bogdanović),,2,32,38,-6,850.0
9:37.0,A. Wiggins misses 2-pt hook shot from 6 ft,38-32, ,,2,32,38,-6,863.0
9:34.0, ,38-32,Defensive rebound by G. Mathews,,2,32,38,-6,866.0
9:26.0, ,38-34,T. Young makes 2-pt layup from 2 ft,,2,34,38,-4,874.0
9:26.0, ,38-34,Shooting foul by G. Santos (drawn by T. Young),,2,34,38,-4,874.0
9:26.0,Golden State full timeout,38-34, ,,2,34,38,-4,874.0
9:26.0, ,38-35,T. Young makes free throw 1 of 1,,2,35,38,-3,874.0
9:15.0,K. Thompson misses 2-pt jump shot from 22 ft,38-35, ,,2,35,38,-3,885.0
9:12.0,Offensive rebound by K. Looney,38-35, ,,2,35,38,-3,888.0
9:12.0,J. Kuminga enters the game for G. Santos,38-35, ,,2,35,38,-3,888.0
9:12.0,B. Podziemski enters the game for A. Wiggins,38-35, ,,2,35,38,-3,888.0
9:02.0,K. Thompson misses 2-pt jump shot from 8 ft,38-35, ,,2,35,38,-3,898.0
9:00.0, ,38-35,Defensive rebound by O. Okongwu,,2,35,38,-3,900.0
8:56.0, ,38-35,Turnover by T. Young (bad pass; steal by K. Thompson),,2,35,38,-3,904.0
8:52.0,K. Thompson misses 3-pt jump shot from 27 ft,38-35, ,,2,35,38,-3,908.0
8:50.0, ,38-35,Defensive rebound by O. Okongwu,,2,35,38,-3,910.0
8:40.0, ,38-37,T. Young makes 2-pt layup from 5 ft,,2,37,38,-1,920.0
8:25.0,L. Quinones misses 3-pt jump shot from 25 ft,38-37, ,,2,37,38,-1,935.0
8:23.0, ,38-37,Defensive rebound by J. Johnson,,2,37,38,-1,937.0
8:17.0, ,38-40,J. Johnson makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),Lead change,2,40,38,2,943.0
7:58.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Looney),41-40, ,Lead change,2,40,41,-1,962.0
7:46.0, ,41-40,Offensive foul by B. Bogdanović (drawn by L. Quinones),,2,40,41,-1,974.0
7:46.0, ,41-40,Turnover by B. Bogdanović (offensive foul),,2,40,41,-1,974.0
7:46.0,S. Curry enters the game for K. Looney,41-40, ,,2,40,41,-1,974.0
7:46.0,D. Green enters the game for L. Quinones,41-40, ,,2,40,41,-1,974.0
7:46.0,A. Wiggins enters the game for K. Thompson,41-40, ,,2,40,41,-1,974.0
7:46.0, ,41-40,C. Capela enters the game for J. Johnson,,2,40,41,-1,974.0
7:46.0, ,41-40,P. Mills enters the game for G. Mathews,,2,40,41,-1,974.0
7:46.0, ,41-40,D. Murray enters the game for T. Young,,2,40,41,-1,974.0
7:29.0,D. Green misses 3-pt jump shot from 26 ft,41-40, ,,2,40,41,-1,991.0
7:26.0, ,41-40,Defensive rebound by D. Murray,,2,40,41,-1,994.0
7:23.0, ,41-40,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,40,41,-1,997.0
7:20.0,Defensive rebound by D. Green,41-40, ,,2,40,41,-1,1000.0
7:09.0,J. Kuminga makes 2-pt jump shot from 11 ft,43-40, ,,2,40,43,-3,1011.0
6:55.0, ,43-43,O. Okongwu makes 3-pt jump shot from 23 ft (assist by D. Murray),Tie,2,43,43,0,1025.0
6:42.0,B. Podziemski makes 2-pt layup from 1 ft,45-43, ,,2,43,45,-2,1038.0
6:28.0, ,45-43,B. Bogdanović misses 2-pt jump shot from 13 ft,,2,43,45,-2,1052.0
6:26.0,Defensive rebound by A. Wiggins,45-43, ,,2,43,45,-2,1054.0
6:15.0,Shooting foul by D. Murray (drawn by B. Podziemski),45-43, ,,2,43,45,-2,1065.0
6:15.0,B. Podziemski misses free throw 1 of 2,45-43, ,,2,43,45,-2,1065.0
6:15.0,Offensive rebound by Team,45-43, ,,2,43,45,-2,1065.0
6:15.0, ,45-43,G. Mathews enters the game for B. Bogdanović,,2,43,45,-2,1065.0
6:15.0,B. Podziemski misses free throw 2 of 2,45-43, ,,2,43,45,-2,1065.0
6:12.0, ,45-43,Defensive rebound by C. Capela,,2,43,45,-2,1068.0
6:02.0, ,45-45,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),Tie,2,45,45,0,1078.0
5:47.0,S. Curry misses 3-pt jump shot from 26 ft,45-45, ,,2,45,45,0,1093.0
5:46.0,Offensive rebound by J. Kuminga,45-45, ,,2,45,45,0,1094.0
5:44.0,D. Green makes 2-pt layup at rim (assist by J. Kuminga),47-45, ,,2,45,47,-2,1096.0
5:32.0, ,47-45,Shooting foul by S. Curry (drawn by G. Mathews),,2,45,47,-2,1108.0
5:32.0, ,47-46,G. Mathews makes free throw 1 of 3,,2,46,47,-1,1108.0
5:32.0, ,47-47,G. Mathews makes free throw 2 of 3,Tie,2,47,47,0,1108.0
5:32.0, ,47-48,G. Mathews makes free throw 3 of 3,Lead change,2,48,47,1,1108.0
5:16.0,S. Curry makes 3-pt jump shot from 27 ft (assist by J. Kuminga),50-48, ,Lead change,2,48,50,-2,1124.0
5:00.0, ,50-51,G. Mathews makes 3-pt jump shot from 25 ft (assist by D. Murray),Lead change,2,51,50,1,1140.0
4:53.0,A. Wiggins makes 2-pt layup from 1 ft (assist by S. Curry),52-51, ,Lead change,2,51,52,-1,1147.0
4:40.0, ,52-53,D. Murray makes 2-pt layup from 4 ft,Lead change,2,53,52,1,1160.0
4:25.0,J. Kuminga misses 2-pt layup from 1 ft (block by O. Okongwu),52-53, ,,2,53,52,1,1175.0
4:18.0, ,52-53,Defensive rebound by C. Capela,,2,53,52,1,1182.0
4:17.0, ,52-55,D. Murray makes 2-pt jump shot from 4 ft,,2,55,52,3,1183.0
4:04.0,S. Curry misses 2-pt layup from 2 ft,52-55, ,,2,55,52,3,1196.0
4:01.0,Offensive rebound by D. Green,52-55, ,,2,55,52,3,1199.0
4:01.0,D. Green misses 2-pt layup at rim,52-55, ,,2,55,52,3,1199.0
4:00.0, ,52-55,Defensive rebound by D. Murray,,2,55,52,3,1200.0
3:58.0, ,52-57,D. Murray makes 2-pt layup from 2 ft,,2,57,52,5,1202.0
3:58.0,Golden State full timeout,52-57, ,,2,57,52,5,1202.0
3:58.0, ,52-57,B. Bogdanović enters the game for G. Mathews,,2,57,52,5,1202.0
3:58.0, ,52-57,J. Johnson enters the game for P. Mills,,2,57,52,5,1202.0
3:58.0, ,52-57,T. Young enters the game for O. Okongwu,,2,57,52,5,1202.0
3:47.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),54-57, ,,2,57,54,3,1213.0
3:47.0,Shooting foul by D. Murray (drawn by S. Curry),54-57, ,,2,57,54,3,1213.0
3:47.0,S. Curry makes free throw 1 of 1,55-57, ,,2,57,55,2,1213.0
3:35.0, ,55-57,D. Murray misses 2-pt jump shot from 11 ft (block by D. Green),,2,57,55,2,1225.0
3:31.0, ,55-57,Offensive rebound by C. Capela,,2,57,55,2,1229.0
3:23.0, ,55-57,T. Young misses 3-pt jump shot from 24 ft,,2,57,55,2,1237.0
3:19.0,Defensive rebound by B. Podziemski,55-57, ,,2,57,55,2,1241.0
3:14.0,D. Green misses 2-pt layup from 1 ft,55-57, ,,2,57,55,2,1246.0
3:12.0, ,55-57,Defensive rebound by J. Johnson,,2,57,55,2,1248.0
3:06.0, ,55-59,C. Capela makes 2-pt layup from 1 ft (assist by J. Johnson),,2,59,55,4,1254.0
2:50.0,D. Green makes 2-pt layup from 1 ft,57-59, ,,2,59,57,2,1270.0
2:32.0, ,57-59,D. Murray misses 2-pt jump shot from 15 ft,,2,59,57,2,1288.0
2:29.0, ,57-59,Offensive rebound by J. Johnson,,2,59,57,2,1291.0
2:28.0, ,57-59,J. Johnson misses 2-pt layup from 1 ft,,2,59,57,2,1292.0
2:26.0,Defensive rebound by B. Podziemski,57-59, ,,2,59,57,2,1294.0
2:22.0,B. Podziemski makes 2-pt layup from 2 ft,59-59, ,Tie,2,59,59,0,1298.0
2:11.0, ,59-59,B. Bogdanović misses 2-pt jump shot from 11 ft (block by S. Curry),,2,59,59,0,1309.0
2:09.0,Defensive rebound by S. Curry,59-59, ,,2,59,59,0,1311.0
1:59.0,S. Curry makes 3-pt jump shot from 25 ft (assist by B. Podziemski),62-59, ,Lead change,2,59,62,-3,1321.0
1:37.0, ,62-62,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by C. Capela),Tie,2,62,62,0,1343.0
1:23.0,Personal foul by B. Bogdanović (drawn by S. Curry),62-62, ,,2,62,62,0,1357.0
1:18.0,S. Curry misses 3-pt jump shot from 27 ft,62-62, ,,2,62,62,0,1362.0
1:13.0, ,62-62,Defensive rebound by Team,,2,62,62,0,1367.0
1:13.0,Loose ball foul by A. Wiggins (drawn by J. Johnson),62-62, ,,2,62,62,0,1367.0
1:00.0, ,62-62,Turnover by T. Young (bad pass; steal by J. Kuminga),,2,62,62,0,1380.0
0:58.0,Personal foul by J. Johnson (drawn by S. Curry),62-62, ,,2,62,62,0,1382.0
0:58.0,S. Curry makes free throw 1 of 2,63-62, ,,2,62,63,-1,1382.0
0:58.0,S. Curry makes free throw 2 of 2,64-62, ,,2,62,64,-2,1382.0
0:49.0, ,64-62,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,62,64,-2,1391.0
0:46.0, ,64-62,Offensive rebound by C. Capela,,2,62,64,-2,1394.0
0:40.0, ,64-62,D. Murray misses 3-pt jump shot from 25 ft,,2,62,64,-2,1400.0
0:37.0, ,64-62,Offensive rebound by C. Capela,,2,62,64,-2,1403.0
0:37.0, ,64-64,C. Capela makes 2-pt dunk from 1 ft,Tie,2,64,64,0,1403.0
0:31.0,S. Curry misses 3-pt jump shot from 29 ft,64-64, ,,2,64,64,0,1409.0
0:28.0, ,64-64,Defensive rebound by D. Murray,,2,64,64,0,1412.0
0:10.0, ,64-64,J. Johnson misses 3-pt jump shot from 23 ft,,2,64,64,0,1430.0
0:07.0,Defensive rebound by B. Podziemski,64-64, ,,2,64,64,0,1433.0
0:03.0,B. Podziemski misses 2-pt jump shot from 8 ft,64-64, ,,2,64,64,0,1437.0
0:01.0, ,64-64,Defensive rebound by C. Capela,,2,64,64,0,1439.0
0:00.0, ,64-64,D. Murray misses 3-pt jump shot from 49 ft,,2,64,64,0,1440.0
0:00.0, ,64-64,Offensive rebound by Team,,2,64,64,0,1440.0
0:00.0,End of 2nd quarter,64-64,,,2,64,64,0,1440.0
12:00.0,Start of 3rd quarter,64-64,,,3,64,64,0,1440.0
11:48.0,D. Green misses 2-pt layup from 2 ft,64-64, ,,3,64,64,0,1452.0
11:44.0,Offensive rebound by J. Kuminga,64-64, ,,3,64,64,0,1456.0
11:44.0,J. Kuminga misses 2-pt layup at rim,64-64, ,,3,64,64,0,1456.0
