Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:49.0, ,25-24,Personal foul by D. Smith (drawn by T. Young),,1,24,25,-1,551.0
2:49.0, ,25-25,T. Young makes free throw 1 of 2,Tie,1,25,25,0,551.0
2:49.0, ,25-26,T. Young makes free throw 2 of 2,Lead change,1,26,25,1,551.0
2:36.0,D. Sharpe makes 2-pt layup from 1 ft (assist by D. Smith),27-26, ,Lead change,1,26,27,-1,564.0
2:36.0,Shooting foul by O. Okongwu (drawn by D. Sharpe),27-26, ,,1,26,27,-1,564.0
2:36.0,D. Sharpe misses free throw 1 of 1,27-26, ,,1,26,27,-1,564.0
2:34.0, ,27-26,Defensive rebound by S. Bey,,1,26,27,-1,566.0
2:21.0, ,27-26,Turnover by T. Young (bad pass),,1,26,27,-1,579.0
2:04.0,M. Bridges misses 2-pt jump shot from 18 ft,27-26, ,,1,26,27,-1,596.0
2:03.0, ,27-26,Defensive rebound by B. Bogdanović,,1,26,27,-1,597.0
2:03.0, ,27-26,Personal foul by D. Sharpe (drawn by B. Bogdanović),,1,26,27,-1,597.0
2:03.0, ,27-27,B. Bogdanović makes free throw 1 of 2,Tie,1,27,27,0,597.0
2:03.0, ,27-28,B. Bogdanović makes free throw 2 of 2,Lead change,1,28,27,1,597.0
1:55.0,Personal foul by W. Matthews (drawn by M. Bridges),27-28, ,,1,28,27,1,605.0
1:55.0,M. Bridges makes free throw 1 of 2,28-28, ,Tie,1,28,28,0,605.0
1:55.0,M. Bridges makes free throw 2 of 2,29-28, ,Lead change,1,28,29,-1,605.0
1:39.0, ,29-28,O. Okongwu misses 2-pt hook shot from 3 ft,,1,28,29,-1,621.0
1:34.0,Defensive rebound by R. O'Neale,29-28, ,,1,28,29,-1,626.0
1:20.0,Personal foul by B. Bogdanović (drawn by D. Smith),29-28, ,,1,28,29,-1,640.0
1:20.0,D. Smith makes free throw 1 of 2,30-28, ,,1,28,30,-2,640.0
1:20.0,C. Thomas enters the game for M. Bridges,30-28, ,,1,28,30,-2,640.0
1:20.0,D. Smith makes free throw 2 of 2,31-28, ,,1,28,31,-3,640.0
1:09.0, ,31-28,T. Young misses 3-pt jump shot from 25 ft,,1,28,31,-3,651.0
1:07.0, ,31-28,Offensive rebound by T. Young,,1,28,31,-3,653.0
1:06.0, ,31-28,Shooting foul by D. Sharpe (drawn by T. Young),,1,28,31,-3,654.0
1:06.0, ,31-29,T. Young makes free throw 1 of 2,,1,29,31,-2,654.0
1:06.0,N. Claxton enters the game for D. Sharpe,31-29, ,,1,29,31,-2,654.0
1:06.0, ,31-30,T. Young makes free throw 2 of 2,,1,30,31,-1,654.0
0:44.0,D. Smith misses 2-pt layup from 2 ft,31-30, ,,1,30,31,-1,676.0
0:42.0,Offensive rebound by D. Smith,31-30, ,,1,30,31,-1,678.0
0:40.0,R. O'Neale misses 3-pt jump shot from 26 ft,31-30, ,,1,30,31,-1,680.0
0:35.0, ,31-30,Defensive rebound by W. Matthews,,1,30,31,-1,685.0
0:32.0, ,31-32,T. Young makes 2-pt jump shot from 11 ft,Lead change,1,32,31,1,688.0
0:32.0, ,31-32,Shooting foul by D. Smith (drawn by T. Young),,1,32,31,1,688.0
0:32.0, ,31-33,T. Young makes free throw 1 of 1,,1,33,31,2,688.0
0:17.0,C. Thomas misses 2-pt jump shot from 6 ft,31-33, ,,1,33,31,2,703.0
0:14.0, ,31-33,Defensive rebound by O. Okongwu,,1,33,31,2,706.0
0:01.0, ,31-33,W. Matthews misses 3-pt jump shot from 26 ft,,1,33,31,2,719.0
0:01.0,Defensive rebound by N. Claxton,31-33, ,,1,33,31,2,719.0
0:00.0,End of 1st quarter,31-33,,,1,33,31,2,720.0
12:00.0,Start of 2nd quarter,31-33,,,2,33,31,2,720.0
11:49.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Smith),34-33, ,Lead change,2,33,34,-1,731.0
11:30.0, ,34-33,T. Young misses 3-pt jump shot from 25 ft,,2,33,34,-1,750.0
11:28.0,Defensive rebound by N. Claxton,34-33, ,,2,33,34,-1,752.0
11:19.0,Turnover by C. Thomas (lost ball; steal by S. Bey),34-33, ,,2,33,34,-1,761.0
11:15.0, ,34-35,S. Bey makes 2-pt layup from 2 ft,Lead change,2,35,34,1,765.0
10:58.0,C. Thomas misses 2-pt jump shot from 12 ft,34-35, ,,2,35,34,1,782.0
10:56.0, ,34-35,Defensive rebound by S. Bey,,2,35,34,1,784.0
10:46.0, ,34-35,C. Capela misses 2-pt hook shot from 7 ft,,2,35,34,1,794.0
10:41.0,Defensive rebound by N. Claxton,34-35, ,,2,35,34,1,799.0
10:26.0,C. Thomas misses 3-pt jump shot from 25 ft,34-35, ,,2,35,34,1,814.0
10:22.0, ,34-35,Defensive rebound by S. Bey,,2,35,34,1,818.0
10:08.0, ,34-35,S. Bey misses 3-pt jump shot from 25 ft,,2,35,34,1,832.0
10:04.0,Defensive rebound by N. Claxton,34-35, ,,2,35,34,1,836.0
10:01.0,N. Claxton misses 2-pt dunk from 2 ft,34-35, ,,2,35,34,1,839.0
9:59.0,Offensive rebound by D. Finney-Smith,34-35, ,,2,35,34,1,841.0
9:49.0,Offensive foul by D. Finney-Smith (drawn by T. Young),34-35, ,,2,35,34,1,851.0
9:49.0,Turnover by D. Finney-Smith (offensive foul),34-35, ,,2,35,34,1,851.0
9:40.0, ,34-35,Turnover by T. Young (step out of bounds),,2,35,34,1,860.0
9:40.0, ,34-35,Violation by Team (delay of game),,2,35,34,1,860.0
9:25.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,34-35, ,,2,35,34,1,875.0
9:22.0, ,34-35,Defensive rebound by O. Okongwu,,2,35,34,1,878.0
9:09.0, ,34-35,Turnover by S. Bey (bad pass; steal by R. O'Neale),,2,35,34,1,891.0
9:09.0, ,34-35,D. Hunter enters the game for S. Bey,,2,35,34,1,891.0
9:09.0, ,34-35,W. Matthews enters the game for C. Capela,,2,35,34,1,891.0
8:50.0,Turnover by C. Thomas (lost ball; steal by W. Matthews),34-35, ,,2,35,34,1,910.0
8:47.0, ,34-35,Shooting foul by R. O'Neale (drawn by W. Matthews),,2,35,34,1,913.0
8:47.0, ,34-36,W. Matthews makes free throw 1 of 2,,2,36,34,2,913.0
8:47.0, ,34-37,W. Matthews makes free throw 2 of 2,,2,37,34,3,913.0
8:31.0,Personal foul by O. Okongwu (drawn by N. Claxton),34-37, ,,2,37,34,3,929.0
8:25.0,D. Smith makes 2-pt jump shot from 20 ft (assist by N. Claxton),36-37, ,,2,37,36,1,935.0
8:07.0, ,36-37,T. Young misses 2-pt layup from 6 ft,,2,37,36,1,953.0
8:05.0,Defensive rebound by N. Claxton,36-37, ,,2,37,36,1,955.0
7:57.0,D. Smith makes 2-pt dunk at rim,38-37, ,Lead change,2,37,38,-1,963.0
7:43.0, ,38-39,B. Bogdanović makes 2-pt layup from 3 ft (assist by T. Young),Lead change,2,39,38,1,977.0
7:32.0,N. Claxton misses 2-pt layup from 3 ft,38-39, ,,2,39,38,1,988.0
7:29.0, ,38-39,Defensive rebound by D. Hunter,,2,39,38,1,991.0
7:26.0, ,38-39,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,39,38,1,994.0
7:24.0,Defensive rebound by D. Smith,38-39, ,,2,39,38,1,996.0
7:12.0,C. Thomas misses 3-pt jump shot from 25 ft,38-39, ,,2,39,38,1,1008.0
7:08.0,Offensive rebound by D. Finney-Smith,38-39, ,,2,39,38,1,1012.0
7:07.0,D. Finney-Smith makes 3-pt jump shot from 26 ft,41-39, ,Lead change,2,39,41,-2,1013.0
7:06.0, ,41-39,Atlanta full timeout,,2,39,41,-2,1014.0
7:06.0,S. Dinwiddie enters the game for N. Claxton,41-39, ,,2,39,41,-2,1014.0
7:06.0,C. Johnson enters the game for D. Finney-Smith,41-39, ,,2,39,41,-2,1014.0
7:06.0,D. Sharpe enters the game for C. Thomas,41-39, ,,2,39,41,-2,1014.0
7:06.0, ,41-39,D. Murray enters the game for T. Young,,2,39,41,-2,1014.0
6:46.0, ,41-41,D. Murray makes 2-pt jump shot from 19 ft,Tie,2,41,41,0,1034.0
6:25.0,D. Smith misses 2-pt jump shot from 10 ft,41-41, ,,2,41,41,0,1055.0
6:20.0, ,41-41,Defensive rebound by D. Hunter,,2,41,41,0,1060.0
