Time,Memphis,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:33.0, ,44-45,T. Young misses 2-pt layup from 3 ft,,2,45,44,1,1107.0
5:29.0, ,44-45,Offensive rebound by C. Capela,,2,45,44,1,1111.0
5:29.0, ,44-47,C. Capela makes 2-pt layup at rim,,2,47,44,3,1111.0
5:27.0,Turnover by B. Biyombo (bad pass; steal by T. Young),44-47, ,,2,47,44,3,1113.0
5:16.0, ,44-47,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,47,44,3,1124.0
5:13.0,Defensive rebound by B. Biyombo,44-47, ,,2,47,44,3,1127.0
4:57.0,Turnover by D. Bane (step out of bounds),44-47, ,,2,47,44,3,1143.0
4:57.0,Z. Williams enters the game for V. Williams,44-47, ,,2,47,44,3,1143.0
4:57.0, ,44-47,S. Bey enters the game for O. Okongwu,,2,47,44,3,1143.0
4:46.0, ,44-49,D. Murray makes 2-pt jump shot from 11 ft,,2,49,44,5,1154.0
4:34.0,Z. Williams misses 2-pt layup from 3 ft,44-49, ,,2,49,44,5,1166.0
4:31.0,Offensive rebound by B. Biyombo,44-49, ,,2,49,44,5,1169.0
4:28.0,Turnover by Z. Williams (bad pass; steal by D. Murray),44-49, ,,2,49,44,5,1172.0
4:19.0, ,44-49,Shooting foul by J. Jackson (drawn by T. Young),,2,49,44,5,1181.0
4:19.0, ,44-50,T. Young makes free throw 1 of 2,,2,50,44,6,1181.0
4:19.0, ,44-50,T. Young misses free throw 2 of 2,,2,50,44,6,1181.0
4:17.0,Defensive rebound by B. Biyombo,44-50, ,,2,50,44,6,1183.0
4:08.0,B. Biyombo makes 2-pt dunk from 2 ft (assist by D. Bane),46-50, ,,2,50,46,4,1192.0
3:52.0, ,46-50,B. Bogdanović misses 2-pt layup from 2 ft,,2,50,46,4,1208.0
3:50.0, ,46-50,Offensive rebound by C. Capela,,2,50,46,4,1210.0
3:50.0, ,46-52,C. Capela makes 2-pt layup from 1 ft,,2,52,46,6,1210.0
3:50.0, ,46-52,Shooting foul by J. Jackson (drawn by C. Capela),,2,52,46,6,1210.0
3:50.0,S. Aldama enters the game for J. Jackson,46-52, ,,2,52,46,6,1210.0
3:50.0, ,46-53,C. Capela makes free throw 1 of 1,,2,53,46,7,1210.0
3:27.0,S. Aldama misses 2-pt jump shot from 9 ft,46-53, ,,2,53,46,7,1233.0
3:25.0, ,46-53,Defensive rebound by Team,,2,53,46,7,1235.0
3:16.0, ,46-53,T. Young misses 3-pt jump shot from 28 ft,,2,53,46,7,1244.0
3:13.0,Defensive rebound by J. Konchar,46-53, ,,2,53,46,7,1247.0
3:07.0,Personal foul by S. Bey (drawn by S. Aldama),46-53, ,,2,53,46,7,1253.0
3:07.0,J. Morant enters the game for J. Konchar,46-53, ,,2,53,46,7,1253.0
3:07.0,V. Williams enters the game for Z. Williams,46-53, ,,2,53,46,7,1253.0
2:57.0,S. Aldama misses 2-pt layup from 3 ft,46-53, ,,2,53,46,7,1263.0
2:56.0,Offensive rebound by B. Biyombo,46-53, ,,2,53,46,7,1264.0
2:55.0,B. Biyombo misses 2-pt layup from 5 ft,46-53, ,,2,53,46,7,1265.0
2:54.0,Offensive rebound by V. Williams,46-53, ,,2,53,46,7,1266.0
2:49.0,D. Bane misses 3-pt jump shot from 26 ft,46-53, ,,2,53,46,7,1271.0
2:49.0,Offensive rebound by B. Biyombo,46-53, ,,2,53,46,7,1271.0
2:49.0,Shooting foul by C. Capela (drawn by B. Biyombo),46-53, ,,2,53,46,7,1271.0
2:49.0,B. Biyombo misses free throw 1 of 2,46-53, ,,2,53,46,7,1271.0
2:49.0,Offensive rebound by Team,46-53, ,,2,53,46,7,1271.0
2:49.0,B. Biyombo makes free throw 2 of 2,47-53, ,,2,53,47,6,1271.0
2:33.0, ,47-56,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),,2,56,47,9,1287.0
2:24.0,D. Bane misses 3-pt jump shot from 28 ft,47-56, ,,2,56,47,9,1296.0
2:21.0, ,47-56,Defensive rebound by S. Bey,,2,56,47,9,1299.0
2:08.0, ,47-56,D. Murray misses 2-pt jump shot from 12 ft,,2,56,47,9,1312.0
2:03.0,Defensive rebound by B. Biyombo,47-56, ,,2,56,47,9,1317.0
1:56.0,V. Williams misses 3-pt jump shot from 25 ft,47-56, ,,2,56,47,9,1324.0
1:53.0,Offensive rebound by V. Williams,47-56, ,,2,56,47,9,1327.0
1:52.0,Turnover by V. Williams (bad pass; steal by D. Murray),47-56, ,,2,56,47,9,1328.0
1:44.0, ,47-56,S. Bey misses 3-pt jump shot from 25 ft,,2,56,47,9,1336.0
1:41.0,Defensive rebound by V. Williams,47-56, ,,2,56,47,9,1339.0
1:33.0,J. Morant misses 3-pt jump shot from 22 ft,47-56, ,,2,56,47,9,1347.0
1:29.0, ,47-56,Defensive rebound by B. Bogdanović,,2,56,47,9,1351.0
1:25.0, ,47-56,T. Young misses 3-pt jump shot from 30 ft,,2,56,47,9,1355.0
1:23.0, ,47-56,Offensive rebound by B. Bogdanović,,2,56,47,9,1357.0
1:20.0, ,47-58,B. Bogdanović makes 2-pt jump shot from 6 ft,,2,58,47,11,1360.0
1:03.0,Personal foul by B. Bogdanović (drawn by B. Biyombo),47-58, ,,2,58,47,11,1377.0
1:03.0,B. Biyombo misses free throw 1 of 2,47-58, ,,2,58,47,11,1377.0
1:03.0,Offensive rebound by Team,47-58, ,,2,58,47,11,1377.0
1:03.0,B. Biyombo makes free throw 2 of 2,48-58, ,,2,58,48,10,1377.0
0:51.0, ,48-58,T. Young misses 2-pt jump shot from 11 ft,,2,58,48,10,1389.0
0:48.0,Defensive rebound by D. Bane,48-58, ,,2,58,48,10,1392.0
0:43.0,J. Morant makes 2-pt layup from 2 ft (assist by D. Bane),50-58, ,,2,58,50,8,1397.0
0:30.0, ,50-60,T. Young makes 2-pt jump shot from 8 ft,,2,60,50,10,1410.0
0:12.0,D. Bane misses 3-pt jump shot from 26 ft,50-60, ,,2,60,50,10,1428.0
0:08.0, ,50-60,Defensive rebound by C. Capela,,2,60,50,10,1432.0
0:00.0, ,50-60,T. Young misses 2-pt layup from 5 ft,,2,60,50,10,1440.0
0:00.0, ,50-60,Offensive rebound by Team,,2,60,50,10,1440.0
0:00.0,End of 2nd quarter,50-60,,,2,60,50,10,1440.0
12:00.0,Start of 3rd quarter,50-60,,,3,60,50,10,1440.0
11:47.0, ,50-62,D. Murray makes 2-pt layup from 1 ft (assist by S. Bey),,3,62,50,12,1453.0
11:32.0,B. Biyombo misses 2-pt layup from 2 ft (block by C. Capela),50-62, ,,3,62,50,12,1468.0
11:31.0,Offensive rebound by B. Biyombo,50-62, ,,3,62,50,12,1469.0
11:30.0,B. Biyombo misses 2-pt layup from 4 ft,50-62, ,,3,62,50,12,1470.0
11:29.0,Offensive rebound by Team,50-62, ,,3,62,50,12,1471.0
11:29.0,Away from play foul by G. Mathews (drawn by D. Bane),50-62, ,,3,62,50,12,1471.0
11:29.0,Instant Replay (Request: Ruling Stands),50-62, ,,3,62,50,12,1471.0
11:29.0,D. Bane makes free throw 1 of 1,51-62, ,,3,62,51,11,1471.0
11:24.0,J. Morant makes 2-pt jump shot from 4 ft (assist by D. Bane),53-62, ,,3,62,53,9,1476.0
10:57.0, ,53-62,T. Young misses 3-pt jump shot from 27 ft,,3,62,53,9,1503.0
10:55.0,Defensive rebound by D. Bane,53-62, ,,3,62,53,9,1505.0
10:39.0,D. Bane makes 3-pt jump shot from 24 ft (assist by J. Morant),56-62, ,,3,62,56,6,1521.0
10:20.0, ,56-62,C. Capela misses 2-pt layup from 3 ft,,3,62,56,6,1540.0
10:17.0,Defensive rebound by V. Williams,56-62, ,,3,62,56,6,1543.0
10:13.0,D. Bane makes 2-pt layup from 1 ft,58-62, ,,3,62,58,4,1547.0
10:11.0, ,58-62,Atlanta full timeout,,3,62,58,4,1549.0
9:54.0, ,58-62,G. Mathews misses 3-pt jump shot from 26 ft,,3,62,58,4,1566.0
9:51.0,Defensive rebound by V. Williams,58-62, ,,3,62,58,4,1569.0
9:43.0,J. Morant makes 2-pt layup from 1 ft,60-62, ,,3,62,60,2,1577.0
