Time,Utah,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:48.0,J. Clarkson misses 3-pt jump shot from 26 ft,6-17, ,,1,17,6,11,432.0
4:44.0, ,6-17,Defensive rebound by Team,,1,17,6,11,436.0
4:29.0, ,6-17,D. Murray misses 3-pt jump shot from 26 ft,,1,17,6,11,451.0
4:25.0,Defensive rebound by W. Kessler,6-17, ,,1,17,6,11,455.0
4:16.0,T. Hendricks makes 3-pt jump shot from 26 ft (assist by J. Clarkson),9-17, ,,1,17,9,8,464.0
3:55.0, ,9-17,S. Bey misses 2-pt jump shot from 16 ft,,1,17,9,8,485.0
3:52.0,Defensive rebound by T. Hendricks,9-17, ,,1,17,9,8,488.0
3:41.0,K. Dunn misses 2-pt jump shot from 7 ft,9-17, ,,1,17,9,8,499.0
3:38.0, ,9-17,Defensive rebound by S. Bey,,1,17,9,8,502.0
3:32.0, ,9-17,D. Murray misses 2-pt jump shot from 11 ft,,1,17,9,8,508.0
3:28.0,Defensive rebound by T. Hendricks,9-17, ,,1,17,9,8,512.0
3:12.0,K. Dunn misses 2-pt layup from 2 ft,9-17, ,,1,17,9,8,528.0
3:09.0,Offensive rebound by W. Kessler,9-17, ,,1,17,9,8,531.0
3:09.0,W. Kessler makes 2-pt layup at rim,11-17, ,,1,17,11,6,531.0
3:09.0, ,11-17,Atlanta full timeout,,1,17,11,6,531.0
3:09.0,L. Markkanen enters the game for K. George,11-17, ,,1,17,11,6,531.0
3:09.0,B. Sensabaugh enters the game for T. Hendricks,11-17, ,,1,17,11,6,531.0
3:09.0, ,11-17,B. Bogdanović enters the game for S. Bey,,1,17,11,6,531.0
3:09.0, ,11-17,K. Bufkin enters the game for G. Mathews,,1,17,11,6,531.0
3:09.0, ,11-17,J. Johnson enters the game for D. Murray,,1,17,11,6,531.0
2:53.0, ,11-17,K. Bufkin misses 2-pt jump shot from 5 ft,,1,17,11,6,547.0
2:49.0,Defensive rebound by W. Kessler,11-17, ,,1,17,11,6,551.0
2:42.0,J. Clarkson misses 2-pt jump shot from 12 ft,11-17, ,,1,17,11,6,558.0
2:39.0, ,11-17,Defensive rebound by J. Johnson,,1,17,11,6,561.0
2:36.0, ,11-17,D. Hunter misses 3-pt jump shot from 26 ft,,1,17,11,6,564.0
2:33.0, ,11-17,Offensive rebound by B. Fernando,,1,17,11,6,567.0
2:31.0, ,11-19,B. Fernando makes 2-pt layup from 1 ft,,1,19,11,8,569.0
2:16.0,J. Clarkson makes 2-pt layup from 4 ft,13-19, ,,1,19,13,6,584.0
2:04.0, ,13-19,B. Bogdanović misses 2-pt layup from 2 ft,,1,19,13,6,596.0
2:01.0, ,13-19,Offensive rebound by B. Fernando,,1,19,13,6,599.0
2:00.0, ,13-21,B. Fernando makes 2-pt dunk from 1 ft,,1,21,13,8,600.0
1:45.0,L. Markkanen misses 2-pt layup from 3 ft,13-21, ,,1,21,13,8,615.0
1:42.0, ,13-21,Defensive rebound by J. Johnson,,1,21,13,8,618.0
1:32.0, ,13-21,D. Hunter misses 2-pt jump shot from 11 ft,,1,21,13,8,628.0
1:30.0,Defensive rebound by L. Markkanen,13-21, ,,1,21,13,8,630.0
1:21.0,B. Sensabaugh makes 3-pt jump shot from 26 ft (assist by J. Clarkson),16-21, ,,1,21,16,5,639.0
1:07.0, ,16-23,D. Hunter makes 2-pt jump shot from 8 ft (assist by K. Bufkin),,1,23,16,7,653.0
1:07.0, ,16-23,Shooting foul by B. Sensabaugh (drawn by D. Hunter),,1,23,16,7,653.0
1:07.0, ,16-24,D. Hunter makes free throw 1 of 1,,1,24,16,8,653.0
0:52.0,L. Markkanen misses 3-pt jump shot from 26 ft,16-24, ,,1,24,16,8,668.0
0:50.0, ,16-24,Defensive rebound by K. Bufkin,,1,24,16,8,670.0
0:44.0, ,16-26,K. Bufkin makes 2-pt jump shot from 16 ft,,1,26,16,10,676.0
0:39.0,L. Markkanen makes 2-pt dunk from 2 ft (assist by J. Clarkson),18-26, ,,1,26,18,8,681.0
0:27.0, ,18-26,K. Bufkin misses 3-pt jump shot from 25 ft,,1,26,18,8,693.0
0:24.0,Defensive rebound by K. Dunn,18-26, ,,1,26,18,8,696.0
0:05.0,K. Dunn misses 3-pt jump shot from 23 ft,18-26, ,,1,26,18,8,715.0
0:02.0, ,18-26,Defensive rebound by D. Hunter,,1,26,18,8,718.0
0:00.0,End of 1st quarter,18-26,,,1,26,18,8,720.0
12:00.0,Start of 2nd quarter,18-26,,,2,26,18,8,720.0
11:45.0, ,18-26,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,26,18,8,735.0
11:42.0, ,18-26,Offensive rebound by D. Hunter,,2,26,18,8,738.0
11:42.0, ,18-28,D. Hunter makes 2-pt layup at rim,,2,28,18,10,738.0
11:29.0,L. Markkanen makes 2-pt layup from 4 ft (assist by K. Dunn),20-28, ,,2,28,20,8,751.0
11:09.0, ,20-28,J. Johnson misses 2-pt hook shot from 6 ft,,2,28,20,8,771.0
11:05.0,Defensive rebound by W. Kessler,20-28, ,,2,28,20,8,775.0
10:45.0,J. Clarkson misses 2-pt jump shot from 18 ft (block by D. Hunter),20-28, ,,2,28,20,8,795.0
10:41.0, ,20-28,Defensive rebound by D. Hunter,,2,28,20,8,799.0
10:39.0, ,20-28,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,28,20,8,801.0
10:37.0, ,20-28,Offensive rebound by Team,,2,28,20,8,803.0
10:35.0, ,20-30,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by K. Bufkin),,2,30,20,10,805.0
10:18.0,J. Clarkson makes 2-pt layup from 6 ft (assist by K. Dunn),22-30, ,,2,30,22,8,822.0
10:06.0, ,22-32,J. Johnson makes 2-pt layup at rim (assist by K. Bufkin),,2,32,22,10,834.0
10:01.0,Turnover by K. Dunn (bad pass),22-32, ,,2,32,22,10,839.0
10:01.0, ,22-32,G. Mathews enters the game for D. Hunter,,2,32,22,10,839.0
9:44.0, ,22-32,Turnover by B. Bogdanović (bad pass; steal by J. Clarkson),,2,32,22,10,856.0
9:42.0,J. Clarkson misses 2-pt dunk from 2 ft,22-32, ,,2,32,22,10,858.0
9:41.0, ,22-32,Defensive rebound by Team,,2,32,22,10,859.0
9:41.0,J. Collins enters the game for W. Kessler,22-32, ,,2,32,22,10,859.0
9:41.0, ,22-32,C. Capela enters the game for B. Fernando,,2,32,22,10,859.0
9:41.0, ,22-32,Atlanta full timeout,,2,32,22,10,859.0
9:41.0,W. Kessler enters the game for J. Collins,22-32, ,,2,32,22,10,859.0
9:41.0, ,22-32,B. Fernando enters the game for C. Capela,,2,32,22,10,859.0
9:41.0, ,22-32,Instant Replay (Challenge: Ruling Stands),,2,32,22,10,859.0
9:41.0,J. Collins enters the game for K. Dunn,22-32, ,,2,32,22,10,859.0
9:41.0,C. Sexton enters the game for W. Kessler,22-32, ,,2,32,22,10,859.0
9:35.0, ,22-32,Offensive foul by J. Johnson (drawn by B. Sensabaugh),,2,32,22,10,865.0
9:35.0, ,22-32,Turnover by J. Johnson (offensive foul),,2,32,22,10,865.0
9:25.0,Turnover by L. Markkanen (bad pass; steal by B. Bogdanović),22-32, ,,2,32,22,10,875.0
9:20.0, ,22-34,J. Johnson makes 2-pt layup from 3 ft (assist by G. Mathews),,2,34,22,12,880.0
9:04.0,J. Clarkson misses 3-pt jump shot from 26 ft,22-34, ,,2,34,22,12,896.0
9:01.0, ,22-34,Defensive rebound by G. Mathews,,2,34,22,12,899.0
8:49.0, ,22-34,Turnover by B. Bogdanović (bad pass; steal by C. Sexton),,2,34,22,12,911.0
8:46.0,C. Sexton makes 2-pt layup at rim,24-34, ,,2,34,24,10,914.0
8:27.0, ,24-34,G. Mathews misses 3-pt jump shot from 24 ft,,2,34,24,10,933.0
8:25.0, ,24-34,Offensive rebound by C. Capela,,2,34,24,10,935.0
8:23.0, ,24-36,C. Capela makes 2-pt hook shot from 5 ft,,2,36,24,12,937.0
8:01.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Clarkson),27-36, ,,2,36,27,9,959.0
7:46.0, ,27-36,J. Johnson misses 2-pt jump shot from 7 ft,,2,36,27,9,974.0
7:40.0,Defensive rebound by J. Collins,27-36, ,,2,36,27,9,980.0
7:36.0,J. Clarkson misses 3-pt jump shot from 26 ft,27-36, ,,2,36,27,9,984.0
7:33.0,Offensive rebound by L. Markkanen,27-36, ,,2,36,27,9,987.0
7:33.0,L. Markkanen makes 2-pt layup at rim,29-36, ,,2,36,29,7,987.0
7:33.0, ,29-36,Atlanta full timeout,,2,36,29,7,987.0
7:33.0,K. George enters the game for L. Markkanen,29-36, ,,2,36,29,7,987.0
7:33.0,T. Hendricks enters the game for B. Sensabaugh,29-36, ,,2,36,29,7,987.0
7:33.0, ,29-36,S. Bey enters the game for B. Bogdanović,,2,36,29,7,987.0
7:33.0, ,29-36,D. Hunter enters the game for K. Bufkin,,2,36,29,7,987.0
7:33.0, ,29-36,D. Murray enters the game for J. Johnson,,2,36,29,7,987.0
7:15.0, ,29-36,S. Bey misses 3-pt jump shot from 25 ft,,2,36,29,7,1005.0
7:12.0,Defensive rebound by T. Hendricks,29-36, ,,2,36,29,7,1008.0
6:58.0,J. Collins misses 2-pt jump shot from 15 ft,29-36, ,,2,36,29,7,1022.0
6:56.0, ,29-36,Defensive rebound by G. Mathews,,2,36,29,7,1024.0
6:50.0, ,29-36,S. Bey misses 3-pt jump shot from 23 ft,,2,36,29,7,1030.0
6:47.0, ,29-36,Offensive rebound by C. Capela,,2,36,29,7,1033.0
6:44.0, ,29-36,C. Capela misses 2-pt hook shot from 3 ft (block by J. Collins),,2,36,29,7,1036.0
6:44.0, ,29-36,Offensive rebound by S. Bey,,2,36,29,7,1036.0
6:35.0, ,29-38,D. Murray makes 2-pt jump shot from 8 ft,,2,38,29,9,1045.0
6:13.0,J. Collins misses 3-pt jump shot from 26 ft,29-38, ,,2,38,29,9,1067.0
6:12.0, ,29-38,Defensive rebound by G. Mathews,,2,38,29,9,1068.0
6:02.0, ,29-38,Turnover by D. Murray (bad pass; steal by C. Sexton),,2,38,29,9,1078.0
5:59.0,Offensive foul by C. Sexton (drawn by G. Mathews),29-38, ,,2,38,29,9,1081.0
5:59.0,Turnover by C. Sexton (offensive foul),29-38, ,,2,38,29,9,1081.0
5:59.0, ,29-38,B. Bogdanović enters the game for G. Mathews,,2,38,29,9,1081.0
5:56.0, ,29-38,B. Bogdanović misses 3-pt jump shot from 24 ft,,2,38,29,9,1084.0
5:53.0, ,29-38,Offensive rebound by S. Bey,,2,38,29,9,1087.0
5:41.0, ,29-38,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,38,29,9,1099.0
5:39.0,Defensive rebound by J. Collins,29-38, ,,2,38,29,9,1101.0
5:34.0,C. Sexton makes 2-pt layup from 3 ft (assist by K. George),31-38, ,,2,38,31,7,1106.0
