Time,LA Lakers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:38.0,A. Reaves misses 2-pt jump shot from 17 ft,22-29, ,,1,29,22,7,622.0
1:34.0, ,22-29,Defensive rebound by S. Bey,,1,29,22,7,626.0
1:28.0, ,22-29,D. Murray misses 2-pt jump shot from 2 ft,,1,29,22,7,632.0
1:26.0,Defensive rebound by C. Wood,22-29, ,,1,29,22,7,634.0
1:11.0,A. Reaves makes 3-pt jump shot from 26 ft (assist by C. Wood),25-29, ,,1,29,25,4,649.0
0:54.0, ,25-32,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,32,25,7,666.0
0:34.0,M. Christie makes 2-pt jump shot from 17 ft (assist by J. Vanderbilt),27-32, ,,1,32,27,5,686.0
0:28.0, ,27-32,Shooting foul by M. Christie (drawn by D. Murray),,1,32,27,5,692.0
0:28.0, ,27-33,D. Murray makes free throw 1 of 2,,1,33,27,6,692.0
0:28.0,D. Russell enters the game for J. Vanderbilt,27-33, ,,1,33,27,6,692.0
0:28.0, ,27-34,D. Murray makes free throw 2 of 2,,1,34,27,7,692.0
0:10.0,C. Wood makes 2-pt dunk from 1 ft,29-34, ,,1,34,29,5,710.0
0:02.0, ,29-36,D. Murray makes 2-pt jump shot from 18 ft,,1,36,29,7,718.0
0:00.0,D. Russell misses 3-pt jump shot from 49 ft,29-36, ,,1,36,29,7,720.0
0:00.0,Offensive rebound by Team,29-36, ,,1,36,29,7,720.0
0:00.0,End of 1st quarter,29-36,,,1,36,29,7,720.0
12:00.0,Start of 2nd quarter,29-36,,,2,36,29,7,720.0
11:46.0,D. Russell misses 2-pt jump shot from 12 ft,29-36, ,,2,36,29,7,734.0
11:41.0,Offensive rebound by L. James,29-36, ,,2,36,29,7,739.0
11:40.0,C. Wood makes 2-pt dunk from 1 ft (assist by L. James),31-36, ,,2,36,31,5,740.0
11:24.0, ,31-36,D. Hunter misses 3-pt jump shot from 25 ft,,2,36,31,5,756.0
11:22.0,Defensive rebound by C. Wood,31-36, ,,2,36,31,5,758.0
11:14.0,C. Wood misses 3-pt jump shot from 24 ft,31-36, ,,2,36,31,5,766.0
11:11.0, ,31-36,Defensive rebound by J. Johnson,,2,36,31,5,769.0
11:04.0, ,31-36,J. Johnson misses 2-pt jump shot from 8 ft,,2,36,31,5,776.0
11:00.0,Defensive rebound by D. Russell,31-36, ,,2,36,31,5,780.0
10:57.0,J. Vanderbilt makes 2-pt dunk from 1 ft (assist by L. James),33-36, ,,2,36,33,3,783.0
10:38.0, ,33-36,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,36,33,3,802.0
10:37.0, ,33-36,Offensive rebound by O. Okongwu,,2,36,33,3,803.0
10:34.0, ,33-39,T. Young makes 3-pt jump shot from 27 ft (assist by O. Okongwu),,2,39,33,6,806.0
10:06.0,D. Russell misses 2-pt jump shot from 19 ft,33-39, ,,2,39,33,6,834.0
10:03.0, ,33-39,Defensive rebound by O. Okongwu,,2,39,33,6,837.0
9:52.0, ,33-39,D. Hunter misses 3-pt jump shot from 26 ft,,2,39,33,6,848.0
9:49.0,Defensive rebound by L. James,33-39, ,,2,39,33,6,851.0
9:43.0,J. Vanderbilt makes 2-pt layup from 1 ft,35-39, ,,2,39,35,4,857.0
9:41.0, ,35-39,Atlanta full timeout,,2,39,35,4,859.0
9:41.0, ,35-39,G. Mathews enters the game for D. Hunter,,2,39,35,4,859.0
9:25.0, ,35-39,Personal foul by J. Vanderbilt (drawn by T. Young),,2,39,35,4,875.0
9:21.0, ,35-39,B. Bogdanović misses 2-pt jump shot from 19 ft,,2,39,35,4,879.0
9:19.0,Defensive rebound by C. Wood,35-39, ,,2,39,35,4,881.0
9:00.0,L. James misses 2-pt layup from 2 ft,35-39, ,,2,39,35,4,900.0
8:57.0, ,35-39,Defensive rebound by T. Young,,2,39,35,4,903.0
8:43.0, ,35-39,G. Mathews misses 3-pt jump shot from 27 ft,,2,39,35,4,917.0
8:40.0,Defensive rebound by M. Christie,35-39, ,,2,39,35,4,920.0
8:37.0,Personal foul by G. Mathews (drawn by D. Russell),35-39, ,,2,39,35,4,923.0
8:37.0,R. Hachimura enters the game for M. Christie,35-39, ,,2,39,35,4,923.0
8:37.0,T. Prince enters the game for J. Vanderbilt,35-39, ,,2,39,35,4,923.0
8:31.0,R. Hachimura makes 2-pt layup from 1 ft (assist by D. Russell),37-39, ,,2,39,37,2,929.0
8:19.0, ,37-41,J. Johnson makes 2-pt dunk from 2 ft (assist by T. Young),,2,41,37,4,941.0
8:08.0,Personal foul by G. Mathews (drawn by D. Russell),37-41, ,,2,41,37,4,952.0
8:03.0,R. Hachimura misses 2-pt layup from 2 ft,37-41, ,,2,41,37,4,957.0
7:59.0, ,37-41,Defensive rebound by G. Mathews,,2,41,37,4,961.0
7:56.0, ,37-41,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,41,37,4,964.0
7:54.0,Defensive rebound by Team,37-41, ,,2,41,37,4,966.0
7:49.0,R. Hachimura misses 3-pt jump shot from 23 ft,37-41, ,,2,41,37,4,971.0
7:45.0,Offensive rebound by R. Hachimura,37-41, ,,2,41,37,4,975.0
7:41.0,C. Wood misses 2-pt layup from 5 ft,37-41, ,,2,41,37,4,979.0
