Time,Atlanta,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:38.0, ,17-23,Turnover by C. Braun (bad pass; steal by G. Mathews),,1,17,23,-6,442.0
4:28.0,G. Mathews misses 3-pt jump shot from 24 ft,17-23, ,,1,17,23,-6,452.0
4:24.0, ,17-23,Defensive rebound by J. Murray,,1,17,23,-6,456.0
4:18.0, ,17-25,J. Murray makes 2-pt layup from 1 ft,,1,17,25,-8,462.0
3:59.0,Turnover by D. Hunter (bad pass; steal by N. Jokić),17-25, ,,1,17,25,-8,481.0
3:55.0, ,17-25,Shooting foul by V. Krejci (drawn by N. Jokić),,1,17,25,-8,485.0
3:55.0, ,17-26,N. Jokić makes free throw 1 of 2,,1,17,26,-9,485.0
3:55.0, ,17-26,R. Jackson enters the game for J. Murray,,1,17,26,-9,485.0
3:55.0, ,17-26,P. Watson enters the game for M. Porter,,1,17,26,-9,485.0
3:55.0, ,17-27,N. Jokić makes free throw 2 of 2,,1,17,27,-10,485.0
3:41.0,D. Hunter misses 3-pt jump shot from 23 ft,17-27, ,,1,17,27,-10,499.0
3:38.0, ,17-27,Defensive rebound by R. Jackson,,1,17,27,-10,502.0
3:25.0, ,17-27,N. Jokić misses 2-pt hook shot from 4 ft,,1,17,27,-10,515.0
3:23.0,Defensive rebound by D. Hunter,17-27, ,,1,17,27,-10,517.0
3:18.0,Turnover by D. Hunter (bad pass),17-27, ,,1,17,27,-10,522.0
3:10.0, ,17-27,Turnover by N. Jokić (lost ball; steal by D. Hunter),,1,17,27,-10,530.0
3:05.0,Shooting foul by R. Jackson (drawn by D. Murray),17-27, ,,1,17,27,-10,535.0
3:05.0,D. Murray makes free throw 1 of 2,18-27, ,,1,18,27,-9,535.0
3:05.0,B. Bogdanović enters the game for D. Hunter,18-27, ,,1,18,27,-9,535.0
3:05.0,J. Johnson enters the game for G. Mathews,18-27, ,,1,18,27,-9,535.0
3:05.0, ,18-27,J. Holiday enters the game for K. Caldwell-Pope,,1,18,27,-9,535.0
3:05.0,D. Murray misses free throw 2 of 2,18-27, ,,1,18,27,-9,535.0
3:03.0, ,18-27,Defensive rebound by P. Watson,,1,18,27,-9,537.0
2:47.0, ,18-27,Shooting foul by B. Fernando (drawn by N. Jokić),,1,18,27,-9,553.0
2:47.0,Atlanta full timeout,18-27, ,,1,18,27,-9,553.0
2:47.0,K. Bufkin enters the game for D. Murray,18-27, ,,1,18,27,-9,553.0
2:47.0, ,18-28,N. Jokić makes free throw 1 of 2,,1,18,28,-10,553.0
2:47.0, ,18-29,N. Jokić makes free throw 2 of 2,,1,18,29,-11,553.0
2:29.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by V. Krejci),21-29, ,,1,21,29,-8,571.0
2:08.0, ,21-29,Turnover by J. Holiday (out of bounds lost ball),,1,21,29,-8,592.0
1:47.0,K. Bufkin misses 3-pt jump shot from 22 ft,21-29, ,,1,21,29,-8,613.0
1:45.0, ,21-29,Defensive rebound by Team,,1,21,29,-8,615.0
1:45.0, ,21-29,M. Porter enters the game for C. Braun,,1,21,29,-8,615.0
1:27.0, ,21-29,R. Jackson misses 3-pt jump shot from 23 ft,,1,21,29,-8,633.0
1:24.0,Defensive rebound by J. Johnson,21-29, ,,1,21,29,-8,636.0
1:18.0,Turnover by J. Johnson (bad pass; steal by P. Watson),21-29, ,,1,21,29,-8,642.0
1:13.0, ,21-29,N. Jokić misses 2-pt jump shot from 2 ft,,1,21,29,-8,647.0
1:10.0,Defensive rebound by B. Fernando,21-29, ,,1,21,29,-8,650.0
1:04.0,B. Fernando misses 2-pt layup from 1 ft,21-29, ,,1,21,29,-8,656.0
1:03.0,Offensive rebound by B. Fernando,21-29, ,,1,21,29,-8,657.0
1:03.0,B. Fernando misses 2-pt layup at rim,21-29, ,,1,21,29,-8,657.0
1:03.0,Offensive rebound by Team,21-29, ,,1,21,29,-8,657.0
0:51.0,B. Bogdanović misses 3-pt jump shot from 27 ft,21-29, ,,1,21,29,-8,669.0
0:49.0, ,21-29,Defensive rebound by N. Jokić,,1,21,29,-8,671.0
0:47.0, ,21-31,J. Holiday makes 2-pt layup from 2 ft (assist by N. Jokić),,1,21,31,-10,673.0
0:37.0,B. Fernando makes 2-pt dunk at rim (assist by K. Bufkin),23-31, ,,1,23,31,-8,683.0
0:33.0, ,23-31,N. Jokić misses 3-pt jump shot from 25 ft,,1,23,31,-8,687.0
0:30.0,Defensive rebound by B. Fernando,23-31, ,,1,23,31,-8,690.0
0:17.0,Personal foul by M. Porter (drawn by V. Krejci),23-31, ,,1,23,31,-8,703.0
0:17.0, ,23-31,Technical foul by M. Porter,,1,23,31,-8,703.0
0:17.0,B. Bogdanović makes technical free throw,24-31, ,,1,24,31,-7,703.0
0:17.0, ,24-31,K. Caldwell-Pope enters the game for M. Porter,,1,24,31,-7,703.0
0:07.0,B. Fernando makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),26-31, ,,1,26,31,-5,713.0
0:01.0, ,26-31,R. Jackson misses 2-pt layup from 3 ft,,1,26,31,-5,719.0
0:01.0, ,26-31,Offensive rebound by P. Watson,,1,26,31,-5,719.0
0:01.0, ,26-33,P. Watson makes 2-pt layup at rim,,1,26,33,-7,719.0
0:00.0,End of 1st quarter,26-33,,,1,26,33,-7,720.0
12:00.0,Start of 2nd quarter,26-33,,,2,26,33,-7,720.0
11:47.0, ,26-33,R. Jackson misses 2-pt jump shot from 6 ft,,2,26,33,-7,733.0
11:44.0, ,26-33,Offensive rebound by R. Jackson,,2,26,33,-7,736.0
11:43.0, ,26-35,R. Jackson makes 2-pt jump shot from 5 ft,,2,26,35,-9,737.0
11:29.0,Turnover by J. Johnson (bad pass; steal by J. Holiday),26-35, ,,2,26,35,-9,751.0
11:09.0, ,26-35,P. Watson misses 2-pt jump shot from 3 ft,,2,26,35,-9,771.0
11:07.0,Defensive rebound by B. Fernando,26-35, ,,2,26,35,-9,773.0
11:01.0,J. Johnson misses 2-pt layup from 3 ft,26-35, ,,2,26,35,-9,779.0
10:59.0, ,26-35,Defensive rebound by Z. Nnaji,,2,26,35,-9,781.0
10:52.0, ,26-35,R. Jackson misses 3-pt jump shot from 26 ft,,2,26,35,-9,788.0
10:49.0,Defensive rebound by K. Bufkin,26-35, ,,2,26,35,-9,791.0
10:41.0,Personal foul by J. Strawther (drawn by B. Fernando),26-35, ,,2,26,35,-9,799.0
10:33.0,B. Fernando misses 2-pt layup from 2 ft,26-35, ,,2,26,35,-9,807.0
10:28.0,Offensive rebound by B. Fernando,26-35, ,,2,26,35,-9,812.0
10:28.0,Turnover by B. Fernando (lane violation),26-35, ,,2,26,35,-9,812.0
10:11.0, ,26-38,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Strawther),,2,26,38,-12,829.0
9:50.0,J. Johnson misses 3-pt jump shot from 23 ft,26-38, ,,2,26,38,-12,850.0
9:47.0, ,26-38,Defensive rebound by P. Watson,,2,26,38,-12,853.0
9:42.0, ,26-38,Shooting foul by B. Fernando (drawn by P. Watson),,2,26,38,-12,858.0
9:42.0, ,26-38,P. Watson misses free throw 1 of 2,,2,26,38,-12,858.0
9:42.0, ,26-38,Offensive rebound by Team,,2,26,38,-12,858.0
9:42.0,C. Capela enters the game for K. Bufkin,26-38, ,,2,26,38,-12,858.0
9:42.0,D. Murray enters the game for B. Fernando,26-38, ,,2,26,38,-12,858.0
9:42.0, ,26-39,P. Watson makes free throw 2 of 2,,2,26,39,-13,858.0
9:25.0,Shooting foul by P. Watson (drawn by C. Capela),26-39, ,,2,26,39,-13,875.0
9:25.0,C. Capela misses free throw 1 of 2,26-39, ,,2,26,39,-13,875.0
9:25.0,Offensive rebound by Team,26-39, ,,2,26,39,-13,875.0
9:25.0,C. Capela misses free throw 2 of 2,26-39, ,,2,26,39,-13,875.0
9:23.0, ,26-39,Defensive rebound by P. Watson,,2,26,39,-13,877.0
9:11.0, ,26-41,R. Jackson makes 2-pt layup from 1 ft (assist by J. Holiday),,2,26,41,-15,889.0
8:58.0,B. Bogdanović makes 3-pt jump shot from 25 ft,29-41, ,,2,29,41,-12,902.0
8:43.0, ,29-44,R. Jackson makes 3-pt jump shot from 24 ft (assist by J. Holiday),,2,29,44,-15,917.0
8:27.0,Shooting foul by R. Jackson (drawn by G. Mathews),29-44, ,,2,29,44,-15,933.0
8:27.0,G. Mathews makes free throw 1 of 3,30-44, ,,2,30,44,-14,933.0
8:27.0,G. Mathews makes free throw 2 of 3,31-44, ,,2,31,44,-13,933.0
8:27.0,G. Mathews makes free throw 3 of 3,32-44, ,,2,32,44,-12,933.0
8:18.0, ,32-44,Personal foul by B. Bogdanović (drawn by J. Strawther),,2,32,44,-12,942.0
8:18.0,D. Hunter enters the game for B. Bogdanović,32-44, ,,2,32,44,-12,942.0
8:18.0,V. Krejci enters the game for J. Johnson,32-44, ,,2,32,44,-12,942.0
8:15.0, ,32-44,Offensive foul by J. Strawther (drawn by G. Mathews),,2,32,44,-12,945.0
