Time,Brooklyn,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:01.0, ,38-50,O. Okongwu misses 2-pt layup from 5 ft (block by R. O'Neale),,2,50,38,12,839.0
9:58.0,Defensive rebound by R. O'Neale,38-50, ,,2,50,38,12,842.0
9:57.0,L. Walker misses 3-pt jump shot from 26 ft,38-50, ,,2,50,38,12,843.0
9:54.0, ,38-50,Defensive rebound by B. Bogdanović,,2,50,38,12,846.0
9:46.0, ,38-50,B. Bogdanović misses 3-pt jump shot from 27 ft,,2,50,38,12,854.0
9:44.0,Defensive rebound by D. Sharpe,38-50, ,,2,50,38,12,856.0
9:35.0,C. Johnson misses 2-pt layup from 1 ft,38-50, ,,2,50,38,12,865.0
9:30.0,Offensive rebound by D. Sharpe,38-50, ,,2,50,38,12,870.0
9:30.0,D. Sharpe makes 2-pt layup at rim,40-50, ,,2,50,40,10,870.0
9:15.0, ,40-50,T. Young misses 2-pt jump shot from 7 ft,,2,50,40,10,885.0
9:10.0, ,40-50,Offensive rebound by O. Okongwu,,2,50,40,10,890.0
9:10.0, ,40-52,O. Okongwu makes 2-pt layup at rim,,2,52,40,12,890.0
9:03.0,L. Walker makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),43-52, ,,2,52,43,9,897.0
8:44.0, ,43-52,B. Bogdanović misses 2-pt jump shot from 11 ft,,2,52,43,9,916.0
8:40.0, ,43-52,Offensive rebound by B. Bogdanović,,2,52,43,9,920.0
8:40.0, ,43-54,B. Bogdanović makes 2-pt layup at rim,,2,54,43,11,920.0
8:34.0,S. Dinwiddie makes 2-pt layup from 2 ft,45-54, ,,2,54,45,9,926.0
8:18.0, ,45-54,O. Okongwu misses 3-pt jump shot from 25 ft,,2,54,45,9,942.0
8:15.0, ,45-54,Offensive rebound by O. Okongwu,,2,54,45,9,945.0
8:13.0, ,45-54,Turnover by S. Bey (step out of bounds),,2,54,45,9,947.0
8:13.0, ,45-54,D. Hunter enters the game for J. Johnson,,2,54,45,9,947.0
8:13.0, ,45-54,D. Murray enters the game for T. Young,,2,54,45,9,947.0
8:04.0,C. Johnson makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),48-54, ,,2,54,48,6,956.0
8:01.0, ,48-54,Atlanta full timeout,,2,54,48,6,959.0
8:01.0, ,48-54,J. Johnson enters the game for S. Bey,,2,54,48,6,959.0
7:48.0, ,48-54,O. Okongwu misses 2-pt dunk from 1 ft (block by D. Sharpe),,2,54,48,6,972.0
7:44.0,Defensive rebound by L. Walker,48-54, ,,2,54,48,6,976.0
7:31.0,C. Johnson makes 2-pt jump shot from 20 ft,50-54, ,,2,54,50,4,989.0
7:13.0, ,50-54,Def 3 sec tech foul by Team,,2,54,50,4,1007.0
7:13.0, ,50-55,B. Bogdanović makes technical free throw,,2,55,50,5,1007.0
7:13.0,N. Claxton enters the game for D. Sharpe,50-55, ,,2,55,50,5,1007.0
7:04.0, ,50-58,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,58,50,8,1016.0
6:48.0,Shooting foul by B. Bogdanović (drawn by S. Dinwiddie),50-58, ,,2,58,50,8,1032.0
6:48.0,S. Dinwiddie makes free throw 1 of 2,51-58, ,,2,58,51,7,1032.0
6:48.0,M. Bridges enters the game for R. O'Neale,51-58, ,,2,58,51,7,1032.0
6:48.0,D. Finney-Smith enters the game for L. Walker,51-58, ,,2,58,51,7,1032.0
6:48.0, ,51-58,S. Bey enters the game for B. Bogdanović,,2,58,51,7,1032.0
6:48.0,S. Dinwiddie makes free throw 2 of 2,52-58, ,,2,58,52,6,1032.0
6:36.0, ,52-58,D. Murray misses 3-pt jump shot from 24 ft (block by N. Claxton),,2,58,52,6,1044.0
6:33.0,Defensive rebound by N. Claxton,52-58, ,,2,58,52,6,1047.0
6:24.0,N. Claxton misses 2-pt dunk from 2 ft (block by J. Johnson),52-58, ,,2,58,52,6,1056.0
6:21.0, ,52-58,Defensive rebound by D. Hunter,,2,58,52,6,1059.0
6:18.0, ,52-58,J. Johnson misses 2-pt layup from 1 ft,,2,58,52,6,1062.0
6:15.0,Defensive rebound by C. Johnson,52-58, ,,2,58,52,6,1065.0
6:11.0,M. Bridges misses 3-pt jump shot from 24 ft,52-58, ,,2,58,52,6,1069.0
6:08.0, ,52-58,Defensive rebound by J. Johnson,,2,58,52,6,1072.0
5:57.0, ,52-60,O. Okongwu makes 2-pt dunk from 1 ft (assist by J. Johnson),,2,60,52,8,1083.0
5:44.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,52-60, ,,2,60,52,8,1096.0
5:42.0,Offensive rebound by N. Claxton,52-60, ,,2,60,52,8,1098.0
5:41.0,Personal foul by D. Murray (drawn by M. Bridges),52-60, ,,2,60,52,8,1099.0
5:41.0,T. Watford enters the game for S. Dinwiddie,52-60, ,,2,60,52,8,1099.0
5:41.0, ,52-60,C. Capela enters the game for S. Bey,,2,60,52,8,1099.0
5:41.0, ,52-60,T. Young enters the game for O. Okongwu,,2,60,52,8,1099.0
5:28.0,M. Bridges makes 2-pt jump shot from 17 ft,54-60, ,,2,60,54,6,1112.0
5:11.0, ,54-60,T. Young misses 3-pt jump shot from 31 ft,,2,60,54,6,1129.0
5:09.0,Defensive rebound by M. Bridges,54-60, ,,2,60,54,6,1131.0
4:55.0,T. Watford misses 3-pt jump shot from 23 ft,54-60, ,,2,60,54,6,1145.0
4:51.0, ,54-60,Defensive rebound by J. Johnson,,2,60,54,6,1149.0
4:48.0, ,54-63,D. Hunter makes 3-pt jump shot from 26 ft (assist by J. Johnson),,2,63,54,9,1152.0
4:35.0,Offensive foul by T. Watford (drawn by J. Johnson),54-63, ,,2,63,54,9,1165.0
4:35.0,Turnover by T. Watford (offensive foul),54-63, ,,2,63,54,9,1165.0
4:24.0, ,54-66,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),,2,66,54,12,1176.0
4:15.0,T. Watford misses 2-pt layup from 1 ft,54-66, ,,2,66,54,12,1185.0
4:11.0,Offensive rebound by N. Claxton,54-66, ,,2,66,54,12,1189.0
4:11.0,N. Claxton makes 2-pt layup at rim,56-66, ,,2,66,56,10,1189.0
3:54.0, ,56-66,D. Murray misses 2-pt jump shot from 17 ft,,2,66,56,10,1206.0
3:52.0,Defensive rebound by D. Finney-Smith,56-66, ,,2,66,56,10,1208.0
3:39.0,M. Bridges makes 2-pt jump shot from 10 ft (assist by D. Finney-Smith),58-66, ,,2,66,58,8,1221.0
3:37.0, ,58-66,Atlanta full timeout,,2,66,58,8,1223.0
3:25.0, ,58-66,T. Young misses 2-pt layup from 1 ft,,2,66,58,8,1235.0
3:20.0, ,58-66,Offensive rebound by C. Capela,,2,66,58,8,1240.0
3:20.0, ,58-68,C. Capela makes 2-pt dunk at rim,,2,68,58,10,1240.0
3:07.0,C. Johnson misses 3-pt jump shot from 26 ft,58-68, ,,2,68,58,10,1253.0
3:06.0, ,58-68,Defensive rebound by Team,,2,68,58,10,1254.0
3:06.0,Loose ball foul by D. Finney-Smith (drawn by D. Hunter),58-68, ,,2,68,58,10,1254.0
2:50.0, ,58-68,Shooting foul by M. Bridges (drawn by D. Murray),,2,68,58,10,1270.0
2:50.0, ,58-69,D. Murray makes free throw 1 of 3,,2,69,58,11,1270.0
2:50.0, ,58-70,D. Murray makes free throw 2 of 3,,2,70,58,12,1270.0
2:50.0, ,58-71,D. Murray makes free throw 3 of 3,,2,71,58,13,1270.0
2:40.0,T. Watford makes 2-pt dunk from 1 ft,60-71, ,,2,71,60,11,1280.0
2:25.0, ,60-71,T. Young misses 2-pt layup from 3 ft,,2,71,60,11,1295.0
2:21.0,Defensive rebound by T. Watford,60-71, ,,2,71,60,11,1299.0
2:16.0,T. Watford misses 2-pt jump shot from 10 ft,60-71, ,,2,71,60,11,1304.0
2:14.0, ,60-71,Defensive rebound by C. Capela,,2,71,60,11,1306.0
2:06.0, ,60-71,D. Murray misses 2-pt jump shot from 12 ft,,2,71,60,11,1314.0
2:02.0, ,60-71,Offensive rebound by D. Hunter,,2,71,60,11,1318.0
2:00.0, ,60-71,J. Johnson misses 3-pt jump shot from 25 ft,,2,71,60,11,1320.0
1:57.0,Defensive rebound by T. Watford,60-71, ,,2,71,60,11,1323.0
1:51.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by C. Johnson),63-71, ,,2,71,63,8,1329.0
1:33.0, ,63-71,T. Young misses 3-pt jump shot from 26 ft,,2,71,63,8,1347.0
1:30.0, ,63-71,Offensive rebound by D. Hunter,,2,71,63,8,1350.0
1:27.0, ,63-71,D. Hunter misses 3-pt jump shot from 25 ft,,2,71,63,8,1353.0
1:24.0,Defensive rebound by D. Finney-Smith,63-71, ,,2,71,63,8,1356.0
1:13.0,N. Claxton misses 2-pt hook shot from 5 ft,63-71, ,,2,71,63,8,1367.0
1:09.0, ,63-71,Defensive rebound by D. Murray,,2,71,63,8,1371.0
1:02.0, ,63-71,D. Murray misses 2-pt layup from 3 ft,,2,71,63,8,1378.0
1:00.0, ,63-71,Offensive rebound by D. Murray,,2,71,63,8,1380.0
1:00.0, ,63-71,Shooting foul by T. Watford (drawn by D. Murray),,2,71,63,8,1380.0
1:00.0, ,63-72,D. Murray makes free throw 1 of 2,,2,72,63,9,1380.0
1:00.0, ,63-73,D. Murray makes free throw 2 of 2,,2,73,63,10,1380.0
0:49.0,Turnover by C. Johnson (bad pass; steal by J. Johnson),63-73, ,,2,73,63,10,1391.0
0:46.0, ,63-75,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,2,75,63,12,1394.0
0:37.0,T. Watford misses 2-pt jump shot from 8 ft (block by C. Capela),63-75, ,,2,75,63,12,1403.0
0:33.0,Offensive rebound by T. Watford,63-75, ,,2,75,63,12,1407.0
0:31.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,63-75, ,,2,75,63,12,1409.0
0:27.0,Offensive rebound by C. Johnson,63-75, ,,2,75,63,12,1413.0
0:27.0,N. Claxton makes 2-pt dunk from 1 ft (assist by C. Johnson),65-75, ,,2,75,65,10,1413.0
0:06.0, ,65-77,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),,2,77,65,12,1434.0
0:04.0,Personal foul by D. Murray (drawn by M. Bridges),65-77, ,,2,77,65,12,1436.0
0:01.0,M. Bridges makes 2-pt dunk from 1 ft,67-77, ,,2,77,67,10,1439.0
0:00.0,End of 2nd quarter,67-77,,,2,77,67,10,1440.0
12:00.0,Start of 3rd quarter,67-77,,,3,77,67,10,1440.0
11:45.0, ,67-77,Turnover by D. Murray (bad pass; steal by M. Bridges),,3,77,67,10,1455.0
11:42.0,Shooting foul by D. Murray (drawn by M. Bridges),67-77, ,,3,77,67,10,1458.0
11:42.0,M. Bridges makes free throw 1 of 2,68-77, ,,3,77,68,9,1458.0
11:42.0,M. Bridges misses free throw 2 of 2,68-77, ,,3,77,68,9,1458.0
11:40.0, ,68-77,Defensive rebound by C. Capela,,3,77,68,9,1460.0
11:29.0, ,68-79,T. Young makes 2-pt jump shot from 23 ft,,3,79,68,11,1471.0
11:23.0,N. Claxton misses 2-pt dunk from 1 ft (block by C. Capela),68-79, ,,3,79,68,11,1477.0
11:16.0,Offensive rebound by N. Claxton,68-79, ,,3,79,68,11,1484.0
11:16.0,N. Claxton makes 2-pt layup at rim,70-79, ,,3,79,70,9,1484.0
11:09.0, ,70-81,D. Hunter makes 2-pt layup from 1 ft (assist by T. Young),,3,81,70,11,1491.0
10:52.0,M. Bridges misses 3-pt jump shot from 24 ft,70-81, ,,3,81,70,11,1508.0
10:48.0,Offensive rebound by N. Claxton,70-81, ,,3,81,70,11,1512.0
10:47.0,C. Johnson misses 3-pt jump shot from 25 ft,70-81, ,,3,81,70,11,1513.0
10:47.0,Offensive rebound by M. Bridges,70-81, ,,3,81,70,11,1513.0
10:40.0,M. Bridges makes 2-pt layup at rim,72-81, ,,3,81,72,9,1520.0
10:29.0, ,72-81,J. Johnson misses 2-pt jump shot from 5 ft,,3,81,72,9,1531.0
10:26.0,Defensive rebound by S. Dinwiddie,72-81, ,,3,81,72,9,1534.0
10:22.0,Turnover by S. Dinwiddie (bad pass; steal by D. Hunter),72-81, ,,3,81,72,9,1538.0
10:19.0, ,72-81,Turnover by J. Johnson (bad pass),,3,81,72,9,1541.0
10:06.0,M. Bridges misses 2-pt jump shot from 12 ft,72-81, ,,3,81,72,9,1554.0
10:03.0, ,72-81,Defensive rebound by J. Johnson,,3,81,72,9,1557.0
9:55.0, ,72-81,T. Young misses 3-pt jump shot from 28 ft,,3,81,72,9,1565.0
9:51.0,Defensive rebound by D. Finney-Smith,72-81, ,,3,81,72,9,1569.0
9:40.0,N. Claxton makes 2-pt layup at rim (assist by S. Dinwiddie),74-81, ,,3,81,74,7,1580.0
9:28.0, ,74-81,D. Hunter misses 2-pt layup from 1 ft,,3,81,74,7,1592.0
9:25.0,Defensive rebound by M. Bridges,74-81, ,,3,81,74,7,1595.0
9:21.0,C. Johnson makes 2-pt layup from 1 ft (assist by S. Dinwiddie),76-81, ,,3,81,76,5,1599.0
9:21.0, ,76-81,Atlanta full timeout,,3,81,76,5,1599.0
8:59.0, ,76-81,Shooting foul by N. Claxton (drawn by T. Young),,3,81,76,5,1621.0
8:59.0, ,76-82,T. Young makes free throw 1 of 2,,3,82,76,6,1621.0
8:59.0, ,76-83,T. Young makes free throw 2 of 2,,3,83,76,7,1621.0
8:46.0,Personal foul by D. Hunter (drawn by S. Dinwiddie),76-83, ,,3,83,76,7,1634.0
8:30.0,S. Dinwiddie misses 2-pt jump shot from 11 ft,76-83, ,,3,83,76,7,1650.0
8:27.0,Offensive rebound by S. Dinwiddie,76-83, ,,3,83,76,7,1653.0
8:27.0,S. Dinwiddie misses 2-pt layup at rim,76-83, ,,3,83,76,7,1653.0
8:25.0,Offensive rebound by S. Dinwiddie,76-83, ,,3,83,76,7,1655.0
8:25.0,S. Dinwiddie makes 2-pt layup at rim,78-83, ,,3,83,78,5,1655.0
8:06.0, ,78-83,J. Johnson misses 2-pt jump shot from 13 ft,,3,83,78,5,1674.0
8:01.0, ,78-83,Offensive rebound by C. Capela,,3,83,78,5,1679.0
8:01.0, ,78-85,C. Capela makes 2-pt dunk at rim,,3,85,78,7,1679.0
7:55.0,Turnover by S. Dinwiddie (bad pass; steal by J. Johnson),78-85, ,,3,85,78,7,1685.0
