Time,Atlanta,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:55.0,Offensive rebound by B. Bogdanović,37-41, ,,2,37,41,-4,965.0
7:55.0,B. Bogdanović makes 2-pt layup at rim,39-41, ,,2,39,41,-2,965.0
7:47.0, ,39-41,H. Jones misses 3-pt jump shot from 24 ft,,2,39,41,-2,973.0
7:44.0,Defensive rebound by J. Johnson,39-41, ,,2,39,41,-2,976.0
7:40.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),41-41, ,Tie,2,41,41,0,980.0
7:40.0, ,41-41,New Orleans full timeout,,2,41,41,0,980.0
7:40.0,S. Bey enters the game for J. Johnson,41-41, ,,2,41,41,0,980.0
7:40.0,D. Murray enters the game for T. Young,41-41, ,,2,41,41,0,980.0
7:40.0, ,41-41,D. Daniels enters the game for H. Jones,,2,41,41,0,980.0
7:22.0, ,41-41,Turnover by J. Valančiūnas (bad pass),,2,41,41,0,998.0
7:09.0,B. Bogdanović misses 3-pt jump shot from 27 ft,41-41, ,,2,41,41,0,1011.0
7:07.0,Offensive rebound by D. Murray,41-41, ,,2,41,41,0,1013.0
7:05.0,D. Murray makes 2-pt layup from 5 ft,43-41, ,Lead change,2,43,41,2,1015.0
6:46.0, ,43-43,J. Valančiūnas makes 2-pt hook shot from 7 ft (assist by D. Daniels),Tie,2,43,43,0,1034.0
6:35.0,B. Bogdanović misses 3-pt jump shot from 23 ft,43-43, ,,2,43,43,0,1045.0
6:31.0,Offensive rebound by S. Bey,43-43, ,,2,43,43,0,1049.0
6:29.0,S. Bey misses 2-pt layup from 3 ft (block by D. Daniels),43-43, ,,2,43,43,0,1051.0
6:27.0, ,43-43,Defensive rebound by J. Hawkins,,2,43,43,0,1053.0
6:25.0, ,43-43,Personal foul by D. Hunter (drawn by J. Valančiūnas),,2,43,43,0,1055.0
6:25.0,T. Young enters the game for B. Bogdanović,43-43, ,,2,43,43,0,1055.0
6:25.0, ,43-43,B. Ingram enters the game for J. Hawkins,,2,43,43,0,1055.0
6:25.0, ,43-43,L. Nance enters the game for C. McCollum,,2,43,43,0,1055.0
6:25.0, ,43-43,Z. Williamson enters the game for J. Valančiūnas,,2,43,43,0,1055.0
6:13.0, ,43-45,B. Ingram makes 2-pt layup from 2 ft (assist by D. Daniels),Lead change,2,43,45,-2,1067.0
5:59.0,O. Okongwu misses 3-pt jump shot from 25 ft,43-45, ,,2,43,45,-2,1081.0
5:58.0, ,43-45,Defensive rebound by Team,,2,43,45,-2,1082.0
5:58.0,C. Capela enters the game for O. Okongwu,43-45, ,,2,43,45,-2,1082.0
5:51.0, ,43-45,Shooting foul by S. Bey (drawn by Z. Williamson),,2,43,45,-2,1089.0
5:51.0, ,43-46,Z. Williamson makes free throw 1 of 2,,2,43,46,-3,1089.0
5:51.0, ,43-47,Z. Williamson makes free throw 2 of 2,,2,43,47,-4,1089.0
5:37.0,C. Capela makes 2-pt hook shot from 4 ft (assist by T. Young),45-47, ,,2,45,47,-2,1103.0
5:21.0, ,45-50,D. Daniels makes 3-pt jump shot from 23 ft (assist by Z. Williamson),,2,45,50,-5,1119.0
5:05.0,D. Murray misses 3-pt jump shot from 26 ft,45-50, ,,2,45,50,-5,1135.0
5:01.0,Offensive rebound by D. Hunter,45-50, ,,2,45,50,-5,1139.0
4:59.0,S. Bey misses 3-pt jump shot from 26 ft,45-50, ,,2,45,50,-5,1141.0
4:56.0, ,45-50,Defensive rebound by B. Ingram,,2,45,50,-5,1144.0
4:35.0, ,45-50,Z. Williamson misses 2-pt layup from 5 ft,,2,45,50,-5,1165.0
4:33.0,Defensive rebound by D. Murray,45-50, ,,2,45,50,-5,1167.0
4:28.0,D. Murray misses 2-pt layup from 4 ft,45-50, ,,2,45,50,-5,1172.0
