Time,Toronto,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:24.0,Shooting foul by O. Okongwu (drawn by G. Dick),44-39, ,,2,39,44,-5,996.0
7:24.0,G. Dick misses free throw 1 of 2,44-39, ,,2,39,44,-5,996.0
7:24.0,Offensive rebound by Team,44-39, ,,2,39,44,-5,996.0
7:24.0,G. Dick makes free throw 2 of 2,45-39, ,,2,39,45,-6,996.0
7:03.0, ,45-39,G. Mathews misses 2-pt jump shot from 13 ft,,2,39,45,-6,1017.0
7:00.0,Defensive rebound by J. Nwora,45-39, ,,2,39,45,-6,1020.0
6:52.0,S. Barnes makes 2-pt jump shot from 5 ft,47-39, ,,2,39,47,-8,1028.0
6:52.0,Shooting foul by G. Mathews (drawn by S. Barnes),47-39, ,,2,39,47,-8,1028.0
6:52.0, ,47-39,J. Johnson enters the game for T. Forrest,,2,39,47,-8,1028.0
6:52.0, ,47-39,T. Young enters the game for G. Mathews,,2,39,47,-8,1028.0
6:52.0,S. Barnes makes free throw 1 of 1,48-39, ,,2,39,48,-9,1028.0
6:30.0, ,48-41,B. Bogdanović makes 2-pt layup from 2 ft,,2,41,48,-7,1050.0
6:19.0,C. Boucher misses 3-pt jump shot from 23 ft,48-41, ,,2,41,48,-7,1061.0
6:15.0, ,48-41,Defensive rebound by J. Johnson,,2,41,48,-7,1065.0
6:10.0, ,48-43,T. Young makes 2-pt layup from 2 ft,,2,43,48,-5,1070.0
6:05.0,C. Boucher makes 2-pt layup from 2 ft (assist by S. Barnes),50-43, ,,2,43,50,-7,1075.0
6:05.0,Shooting foul by B. Bogdanović (drawn by C. Boucher),50-43, ,,2,43,50,-7,1075.0
6:05.0,B. Brown enters the game for G. Dick,50-43, ,,2,43,50,-7,1075.0
6:05.0,D. Schröder enters the game for J. Nwora,50-43, ,,2,43,50,-7,1075.0
6:05.0, ,50-43,C. Capela enters the game for O. Okongwu,,2,43,50,-7,1075.0
6:05.0,C. Boucher makes free throw 1 of 1,51-43, ,,2,43,51,-8,1075.0
5:52.0, ,51-45,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,2,45,51,-6,1088.0
5:29.0,B. Brown misses 2-pt jump shot from 10 ft,51-45, ,,2,45,51,-6,1111.0
5:22.0,Offensive rebound by T. Young,51-45, ,,2,45,51,-6,1118.0
5:22.0,T. Young misses 2-pt layup at rim,51-45, ,,2,45,51,-6,1118.0
5:21.0, ,51-45,Defensive rebound by S. Bey,,2,45,51,-6,1119.0
5:09.0, ,51-45,J. Johnson misses 2-pt jump shot from 18 ft,,2,45,51,-6,1131.0
5:05.0, ,51-45,Offensive rebound by C. Capela,,2,45,51,-6,1135.0
5:02.0, ,51-45,S. Bey misses 3-pt jump shot from 23 ft,,2,45,51,-6,1138.0
4:59.0, ,51-45,Offensive rebound by J. Johnson,,2,45,51,-6,1141.0
4:59.0, ,51-45,Shooting foul by B. Brown (drawn by J. Johnson),,2,45,51,-6,1141.0
4:59.0, ,51-46,J. Johnson makes free throw 1 of 2,,2,46,51,-5,1141.0
4:59.0, ,51-47,J. Johnson makes free throw 2 of 2,,2,47,51,-4,1141.0
4:44.0,B. Brown makes 3-pt jump shot from 23 ft (assist by D. Schröder),54-47, ,,2,47,54,-7,1156.0
4:33.0, ,54-47,Shooting foul by B. Brown (drawn by B. Bogdanović),,2,47,54,-7,1167.0
4:33.0, ,54-48,B. Bogdanović makes free throw 1 of 3,,2,48,54,-6,1167.0
4:33.0, ,54-49,B. Bogdanović makes free throw 2 of 3,,2,49,54,-5,1167.0
4:33.0,J. Nwora enters the game for C. Boucher,54-49, ,,2,49,54,-5,1167.0
4:33.0,G. Trent enters the game for T. Young,54-49, ,,2,49,54,-5,1167.0
4:33.0, ,54-50,B. Bogdanović makes free throw 3 of 3,,2,50,54,-4,1167.0
4:15.0,G. Trent misses 2-pt jump shot from 22 ft,54-50, ,,2,50,54,-4,1185.0
4:12.0,Offensive rebound by J. Nwora,54-50, ,,2,50,54,-4,1188.0
4:00.0,S. Barnes misses 2-pt jump shot from 16 ft,54-50, ,,2,50,54,-4,1200.0
3:57.0, ,54-50,Defensive rebound by J. Johnson,,2,50,54,-4,1203.0
3:48.0, ,54-50,Personal foul by D. Schröder (drawn by S. Bey),,2,50,54,-4,1212.0
3:48.0, ,54-51,S. Bey makes free throw 1 of 2,,2,51,54,-3,1212.0
3:48.0, ,54-52,S. Bey makes free throw 2 of 2,,2,52,54,-2,1212.0
3:29.0,B. Brown makes 2-pt jump shot from 9 ft (assist by S. Barnes),56-52, ,,2,52,56,-4,1231.0
3:09.0, ,56-52,Turnover by B. Bogdanović (lost ball; steal by G. Trent),,2,52,56,-4,1251.0
3:02.0,Turnover by G. Trent (lost ball; steal by B. Bogdanović),56-52, ,,2,52,56,-4,1258.0
2:57.0, ,56-52,S. Bey misses 3-pt jump shot from 24 ft,,2,52,56,-4,1263.0
2:54.0,Defensive rebound by B. Brown,56-52, ,,2,52,56,-4,1266.0
2:41.0,Turnover by S. Barnes (bad pass; steal by T. Young),56-52, ,,2,52,56,-4,1279.0
2:35.0, ,56-52,J. Johnson misses 2-pt jump shot from 6 ft,,2,52,56,-4,1285.0
2:32.0, ,56-52,Offensive rebound by S. Bey,,2,52,56,-4,1288.0
2:32.0, ,56-52,S. Bey misses 2-pt layup from 4 ft (block by S. Barnes),,2,52,56,-4,1288.0
2:30.0,Defensive rebound by J. Nwora,56-52, ,,2,52,56,-4,1290.0
2:27.0,Offensive foul by J. Nwora (drawn by T. Young),56-52, ,,2,52,56,-4,1293.0
2:27.0,Turnover by J. Nwora (offensive foul),56-52, ,,2,52,56,-4,1293.0
2:27.0,Toronto full timeout,56-52, ,,2,52,56,-4,1293.0
2:17.0, ,56-54,T. Young makes 2-pt jump shot from 1 ft (assist by J. Johnson),,2,54,56,-2,1303.0
1:53.0,D. Schröder misses 2-pt jump shot from 8 ft,56-54, ,,2,54,56,-2,1327.0
1:50.0, ,56-54,Defensive rebound by J. Johnson,,2,54,56,-2,1330.0
1:45.0, ,56-54,T. Young misses 2-pt layup from 11 ft,,2,54,56,-2,1335.0
1:43.0,Defensive rebound by S. Barnes,56-54, ,,2,54,56,-2,1337.0
1:39.0,G. Trent makes 2-pt layup from 2 ft (assist by S. Barnes),58-54, ,,2,54,58,-4,1341.0
1:26.0, ,58-54,J. Johnson misses 2-pt layup from 2 ft,,2,54,58,-4,1354.0
1:22.0,Defensive rebound by J. Nwora,58-54, ,,2,54,58,-4,1358.0
1:20.0,G. Trent misses 3-pt jump shot from 25 ft,58-54, ,,2,54,58,-4,1360.0
1:20.0, ,58-54,Defensive rebound by C. Capela,,2,54,58,-4,1360.0
0:56.0, ,58-54,S. Bey misses 2-pt jump shot from 10 ft,,2,54,58,-4,1384.0
0:53.0,Defensive rebound by D. Schröder,58-54, ,,2,54,58,-4,1387.0
0:49.0,J. Nwora misses 3-pt jump shot from 23 ft,58-54, ,,2,54,58,-4,1391.0
0:46.0,Offensive rebound by B. Brown,58-54, ,,2,54,58,-4,1394.0
0:45.0,G. Trent makes 3-pt jump shot from 26 ft (assist by D. Schröder),61-54, ,,2,54,61,-7,1395.0
0:31.0, ,61-57,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Johnson),,2,57,61,-4,1409.0
0:09.0,D. Schröder misses 2-pt layup from 2 ft (block by C. Capela),61-57, ,,2,57,61,-4,1431.0
0:07.0, ,61-57,Defensive rebound by Team,,2,57,61,-4,1433.0
0:01.0, ,61-57,T. Young misses 2-pt jump shot from 18 ft,,2,57,61,-4,1439.0
0:00.0, ,61-57,Offensive rebound by Team,,2,57,61,-4,1440.0
0:00.0,End of 2nd quarter,61-57,,,2,57,61,-4,1440.0
12:00.0,Start of 3rd quarter,61-57,,,3,57,61,-4,1440.0
11:41.0,T. Young makes 2-pt dunk from 1 ft (assist by S. Barnes),63-57, ,,3,57,63,-6,1459.0
11:35.0, ,63-57,Turnover by J. Johnson (bad pass; steal by D. Schröder),,3,57,63,-6,1465.0
11:31.0,B. Brown misses 3-pt jump shot from 25 ft,63-57, ,,3,57,63,-6,1469.0
11:29.0,Offensive rebound by S. Barnes,63-57, ,,3,57,63,-6,1471.0
11:25.0,G. Trent misses 3-pt jump shot from 25 ft,63-57, ,,3,57,63,-6,1475.0
11:22.0, ,63-57,Defensive rebound by C. Capela,,3,57,63,-6,1478.0
11:17.0, ,63-57,S. Bey misses 3-pt jump shot from 25 ft,,3,57,63,-6,1483.0
11:14.0,Defensive rebound by G. Trent,63-57, ,,3,57,63,-6,1486.0
11:02.0,D. Schröder makes 3-pt jump shot from 23 ft (assist by B. Brown),66-57, ,,3,57,66,-9,1498.0
10:46.0, ,66-57,J. Johnson misses 3-pt jump shot from 23 ft,,3,57,66,-9,1514.0
10:42.0, ,66-57,Offensive rebound by S. Bey,,3,57,66,-9,1518.0
10:42.0, ,66-59,S. Bey makes 2-pt layup at rim,,3,59,66,-7,1518.0
10:30.0,Offensive foul by D. Schröder (drawn by J. Johnson),66-59, ,,3,59,66,-7,1530.0
10:30.0,Turnover by D. Schröder (offensive foul),66-59, ,,3,59,66,-7,1530.0
10:17.0, ,66-59,B. Bogdanović misses 3-pt jump shot from 24 ft,,3,59,66,-7,1543.0
10:13.0,Defensive rebound by T. Young,66-59, ,,3,59,66,-7,1547.0
10:05.0,G. Trent misses 3-pt jump shot from 25 ft,66-59, ,,3,59,66,-7,1555.0
10:01.0, ,66-59,Defensive rebound by C. Capela,,3,59,66,-7,1559.0
9:57.0, ,66-59,Personal foul by T. Young (drawn by T. Young),,3,59,66,-7,1563.0
9:55.0, ,66-59,T. Young misses 2-pt layup from 2 ft (block by S. Barnes),,3,59,66,-7,1565.0
9:54.0, ,66-59,Offensive rebound by Team,,3,59,66,-7,1566.0
9:52.0, ,66-59,Shooting foul by G. Trent (drawn by S. Bey),,3,59,66,-7,1568.0
9:52.0, ,66-60,S. Bey makes free throw 1 of 2,,3,60,66,-6,1568.0
9:52.0, ,66-61,S. Bey makes free throw 2 of 2,,3,61,66,-5,1568.0
9:33.0,Shooting foul by J. Johnson (drawn by S. Barnes),66-61, ,,3,61,66,-5,1587.0
9:33.0,S. Barnes makes free throw 1 of 2,67-61, ,,3,61,67,-6,1587.0
9:33.0,S. Barnes makes free throw 2 of 2,68-61, ,,3,61,68,-7,1587.0
9:14.0, ,68-64,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Johnson),,3,64,68,-4,1606.0
8:56.0,Turnover by S. Barnes (bad pass; steal by B. Bogdanović),68-64, ,,3,64,68,-4,1624.0
8:49.0, ,68-64,Shooting foul by B. Brown (drawn by B. Bogdanović),,3,64,68,-4,1631.0
8:49.0, ,68-65,B. Bogdanović makes free throw 1 of 2,,3,65,68,-3,1631.0
8:49.0, ,68-66,B. Bogdanović makes free throw 2 of 2,,3,66,68,-2,1631.0
8:35.0,Shooting foul by T. Young (drawn by D. Schröder),68-66, ,,3,66,68,-2,1645.0
8:35.0,D. Schröder makes free throw 1 of 2,69-66, ,,3,66,69,-3,1645.0
8:35.0,D. Schröder makes free throw 2 of 2,70-66, ,,3,66,70,-4,1645.0
8:25.0, ,70-66,Personal foul by D. Schröder (drawn by C. Capela),,3,66,70,-4,1655.0
8:25.0,J. Nwora enters the game for D. Schröder,70-66, ,,3,66,70,-4,1655.0
8:24.0, ,70-66,Personal foul by J. Nwora (drawn by B. Bogdanović),,3,66,70,-4,1656.0
8:24.0, ,70-67,B. Bogdanović makes free throw 1 of 2,,3,67,70,-3,1656.0
8:24.0, ,70-67,B. Bogdanović misses free throw 2 of 2,,3,67,70,-3,1656.0
8:22.0,Defensive rebound by J. Nwora,70-67, ,,3,67,70,-3,1658.0
8:13.0,J. Nwora misses 2-pt jump shot from 20 ft,70-67, ,,3,67,70,-3,1667.0
8:10.0, ,70-67,Defensive rebound by J. Johnson,,3,67,70,-3,1670.0
7:58.0, ,70-67,T. Young misses 2-pt layup from 4 ft,,3,67,70,-3,1682.0
7:54.0, ,70-67,Offensive rebound by C. Capela,,3,67,70,-3,1686.0
7:54.0, ,70-69,C. Capela makes 2-pt layup at rim,,3,69,70,-1,1686.0
7:39.0,B. Brown makes 2-pt dunk from 1 ft (assist by J. Nwora),72-69, ,,3,69,72,-3,1701.0
7:25.0, ,72-72,T. Young makes 3-pt jump shot from 27 ft (assist by S. Bey),Tie,3,72,72,0,1715.0
7:13.0,J. Nwora misses 3-pt jump shot from 26 ft,72-72, ,,3,72,72,0,1727.0
7:11.0,Offensive rebound by B. Brown,72-72, ,,3,72,72,0,1729.0
7:04.0,B. Brown misses 2-pt layup from 2 ft,72-72, ,,3,72,72,0,1736.0
7:02.0, ,72-72,Defensive rebound by B. Bogdanović,,3,72,72,0,1738.0
6:59.0, ,72-72,Shooting foul by G. Trent (drawn by T. Young),,3,72,72,0,1741.0
6:59.0, ,72-72,Atlanta full timeout,,3,72,72,0,1741.0
6:59.0,G. Dick enters the game for G. Trent,72-72, ,,3,72,72,0,1741.0
6:59.0, ,72-73,T. Young makes free throw 1 of 2,Lead change,3,73,72,1,1741.0
6:59.0, ,72-74,T. Young makes free throw 2 of 2,,3,74,72,2,1741.0
6:45.0,G. Dick misses 2-pt jump shot from 9 ft,72-74, ,,3,74,72,2,1755.0
6:42.0, ,72-74,Defensive rebound by T. Young,,3,74,72,2,1758.0
6:39.0, ,72-76,T. Young makes 2-pt jump shot from 11 ft,,3,76,72,4,1761.0
6:29.0,S. Barnes makes 2-pt jump shot from 1 ft,74-76, ,,3,76,74,2,1771.0
