Time,Portland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:53.0, ,60-67,Offensive rebound by Team,,3,67,60,7,1507.0
10:53.0, ,60-67,C. Capela misses free throw 2 of 2,,3,67,60,7,1507.0
10:51.0,Defensive rebound by T. Camara,60-67, ,,3,67,60,7,1509.0
10:45.0,S. Henderson misses 2-pt layup from 1 ft,60-67, ,,3,67,60,7,1515.0
10:43.0, ,60-67,Defensive rebound by C. Capela,,3,67,60,7,1517.0
10:29.0, ,60-70,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by V. Krejci),,3,70,60,10,1531.0
10:08.0,D. Reath misses 3-pt jump shot from 25 ft,60-70, ,,3,70,60,10,1552.0
10:05.0, ,60-70,Defensive rebound by C. Capela,,3,70,60,10,1555.0
9:56.0, ,60-72,D. Murray makes 2-pt jump shot from 14 ft,,3,72,60,12,1564.0
9:40.0,S. Henderson misses 3-pt jump shot from 26 ft,60-72, ,,3,72,60,12,1580.0
9:37.0, ,60-72,Defensive rebound by C. Capela,,3,72,60,12,1583.0
9:33.0, ,60-74,V. Krejci makes 2-pt layup from 1 ft (assist by D. Hunter),,3,74,60,14,1587.0
9:33.0,Portland full timeout,60-74, ,,3,74,60,14,1587.0
9:33.0,D. Banton enters the game for K. Murray,60-74, ,,3,74,60,14,1587.0
9:20.0,Turnover by T. Camara (bad pass),60-74, ,,3,74,60,14,1600.0
9:05.0, ,60-76,D. Murray makes 2-pt jump shot from 15 ft,,3,76,60,16,1615.0
8:49.0,S. Henderson makes 2-pt jump shot from 11 ft,62-76, ,,3,76,62,14,1631.0
8:35.0, ,62-78,D. Hunter makes 2-pt jump shot from 10 ft (assist by D. Murray),,3,78,62,16,1645.0
8:19.0,S. Henderson makes 2-pt layup from 1 ft (assist by D. Banton),64-78, ,,3,78,64,14,1661.0
8:03.0, ,64-80,C. Capela makes 2-pt hook shot from 6 ft,,3,80,64,16,1677.0
7:41.0,D. Banton makes 2-pt layup from 2 ft (assist by T. Camara),66-80, ,,3,80,66,14,1699.0
7:24.0, ,66-80,Turnover by C. Capela (lost ball; steal by D. Reath),,3,80,66,14,1716.0
7:19.0,D. Banton makes 3-pt jump shot from 25 ft (assist by D. Reath),69-80, ,,3,80,69,11,1721.0
6:57.0, ,69-82,D. Murray makes 2-pt jump shot from 13 ft,,3,82,69,13,1743.0
6:50.0,T. Camara misses 3-pt jump shot from 25 ft,69-82, ,,3,82,69,13,1750.0
6:46.0, ,69-82,Defensive rebound by C. Capela,,3,82,69,13,1754.0
6:44.0, ,69-82,Turnover by C. Capela (bad pass; steal by T. Camara),,3,82,69,13,1756.0
6:39.0,D. Reath makes 2-pt dunk from 1 ft (assist by T. Camara),71-82, ,,3,82,71,11,1761.0
6:25.0, ,71-82,Offensive foul by C. Capela (drawn by T. Camara),,3,82,71,11,1775.0
6:25.0, ,71-82,Turnover by C. Capela (offensive foul),,3,82,71,11,1775.0
6:25.0,J. Walker enters the game for T. Camara,71-82, ,,3,82,71,11,1775.0
6:25.0, ,71-82,B. Fernando enters the game for B. Bogdanović,,3,82,71,11,1775.0
6:25.0, ,71-82,G. Mathews enters the game for C. Capela,,3,82,71,11,1775.0
6:19.0,D. Banton misses 3-pt jump shot from 25 ft,71-82, ,,3,82,71,11,1781.0
6:15.0, ,71-82,Defensive rebound by V. Krejci,,3,82,71,11,1785.0
6:08.0, ,71-85,D. Murray makes 3-pt jump shot from 25 ft,,3,85,71,14,1792.0
6:03.0,Turnover by D. Banton (bad pass),71-85, ,,3,85,71,14,1797.0
5:46.0, ,71-85,D. Hunter misses 3-pt jump shot from 25 ft,,3,85,71,14,1814.0
5:45.0, ,71-85,Offensive rebound by Team,,3,85,71,14,1815.0
5:45.0,Loose ball foul by J. Walker (drawn by B. Fernando),71-85, ,,3,85,71,14,1815.0
5:41.0, ,71-85,Offensive foul by B. Fernando (drawn by S. Henderson),,3,85,71,14,1819.0
5:41.0, ,71-85,Turnover by B. Fernando (offensive foul),,3,85,71,14,1819.0
5:30.0,D. Reath makes 3-pt jump shot from 26 ft (assist by R. Rupert),74-85, ,,3,85,74,11,1830.0
5:08.0, ,74-85,D. Hunter misses 3-pt jump shot from 24 ft,,3,85,74,11,1852.0
5:05.0,Defensive rebound by D. Banton,74-85, ,,3,85,74,11,1855.0
5:01.0,J. Walker makes 2-pt layup from 2 ft (assist by D. Banton),76-85, ,,3,85,76,9,1859.0
5:01.0, ,76-85,Violation by Team (def goaltending),,3,85,76,9,1859.0
5:01.0, ,76-85,Atlanta full timeout,,3,85,76,9,1859.0
4:37.0, ,76-88,G. Mathews makes 3-pt jump shot from 26 ft,,3,88,76,12,1883.0
4:19.0,Turnover by R. Rupert (bad pass),76-88, ,,3,88,76,12,1901.0
4:04.0, ,76-90,B. Fernando makes 2-pt layup from 1 ft (assist by D. Murray),,3,90,76,14,1916.0
4:04.0, ,76-90,Shooting foul by S. Henderson (drawn by B. Fernando),,3,90,76,14,1916.0
4:04.0,A. Hagans enters the game for S. Henderson,76-90, ,,3,90,76,14,1916.0
4:04.0, ,76-91,B. Fernando makes free throw 1 of 1,,3,91,76,15,1916.0
3:49.0,D. Banton makes 3-pt jump shot from 23 ft (assist by A. Hagans),79-91, ,,3,91,79,12,1931.0
3:34.0, ,79-91,D. Murray misses 3-pt jump shot from 25 ft,,3,91,79,12,1946.0
3:30.0,Defensive rebound by R. Rupert,79-91, ,,3,91,79,12,1950.0
3:19.0,D. Reath misses 3-pt jump shot from 25 ft,79-91, ,,3,91,79,12,1961.0
3:17.0,Offensive rebound by Team,79-91, ,,3,91,79,12,1963.0
3:17.0,M. Brown enters the game for D. Reath,79-91, ,,3,91,79,12,1963.0
3:17.0, ,79-91,B. Bogdanović enters the game for V. Krejci,,3,91,79,12,1963.0
3:08.0,M. Brown misses 2-pt layup from 1 ft (block by B. Fernando),79-91, ,,3,91,79,12,1972.0
3:07.0, ,79-91,Defensive rebound by D. Hunter,,3,91,79,12,1973.0
