Time,Atlanta,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:31.0,T. Young misses 3-pt jump shot from 27 ft,7-8, ,,1,7,8,-1,269.0
7:28.0, ,7-8,Defensive rebound by D. DeRozan,,1,7,8,-1,272.0
7:06.0, ,7-8,D. DeRozan misses 2-pt jump shot from 14 ft,,1,7,8,-1,294.0
7:04.0,Defensive rebound by D. Murray,7-8, ,,1,7,8,-1,296.0
6:58.0,Turnover by D. Murray (bad pass),7-8, ,,1,7,8,-1,302.0
6:58.0, ,7-8,Chicago full timeout,,1,7,8,-1,302.0
6:58.0,B. Bogdanović enters the game for J. Johnson,7-8, ,,1,7,8,-1,302.0
6:58.0,S. Lundy enters the game for T. Young,7-8, ,,1,7,8,-1,302.0
6:58.0, ,7-8,A. Dosunmu enters the game for A. Caruso,,1,7,8,-1,302.0
6:47.0, ,7-10,A. Drummond makes 2-pt dunk at rim (assist by D. DeRozan),,1,7,10,-3,313.0
6:29.0,S. Lundy misses 3-pt jump shot from 24 ft,7-10, ,,1,7,10,-3,331.0
6:27.0, ,7-10,Defensive rebound by A. Dosunmu,,1,7,10,-3,333.0
6:05.0, ,7-10,C. White misses 2-pt jump shot from 19 ft,,1,7,10,-3,355.0
6:02.0,Defensive rebound by D. Murray,7-10, ,,1,7,10,-3,358.0
5:55.0,Turnover by S. Lundy (lost ball; steal by A. Dosunmu),7-10, ,,1,7,10,-3,365.0
5:50.0, ,7-12,C. White makes 2-pt layup from 1 ft (assist by A. Dosunmu),,1,7,12,-5,370.0
5:41.0,Atlanta full timeout,7-12, ,,1,7,12,-5,379.0
5:41.0,W. Matthews enters the game for S. Lundy,7-12, ,,1,7,12,-5,379.0
5:41.0, ,7-12,J. Carter enters the game for D. DeRozan,,1,7,12,-5,379.0
5:19.0,C. Capela misses 2-pt hook shot from 3 ft,7-12, ,,1,7,12,-5,401.0
5:17.0, ,7-12,Defensive rebound by A. Drummond,,1,7,12,-5,403.0
5:04.0, ,7-12,A. Dosunmu misses 2-pt layup from 1 ft (block by D. Murray),,1,7,12,-5,416.0
4:58.0, ,7-12,Offensive rebound by A. Drummond,,1,7,12,-5,422.0
4:58.0, ,7-14,A. Drummond makes 2-pt layup at rim,,1,7,14,-7,422.0
4:49.0,D. Murray makes 2-pt jump shot from 8 ft,9-14, ,,1,9,14,-5,431.0
4:39.0, ,9-14,Shooting foul by W. Matthews (drawn by A. Dosunmu),,1,9,14,-5,441.0
4:39.0, ,9-15,A. Dosunmu makes free throw 1 of 2,,1,9,15,-6,441.0
4:39.0,O. Okongwu enters the game for C. Capela,9-15, ,,1,9,15,-6,441.0
4:39.0, ,9-16,A. Dosunmu makes free throw 2 of 2,,1,9,16,-7,441.0
4:25.0,D. Murray misses 3-pt jump shot from 27 ft,9-16, ,,1,9,16,-7,455.0
4:23.0,Offensive rebound by Team,9-16, ,,1,9,16,-7,457.0
4:18.0,O. Okongwu misses 2-pt hook shot from 7 ft,9-16, ,,1,9,16,-7,462.0
4:16.0, ,9-16,Defensive rebound by A. Drummond,,1,9,16,-7,464.0
4:15.0, ,9-16,Personal foul by B. Bogdanović (drawn by P. Williams),,1,9,16,-7,465.0
4:15.0,G. Mathews enters the game for S. Bey,9-16, ,,1,9,16,-7,465.0
4:15.0,T. Young enters the game for D. Murray,9-16, ,,1,9,16,-7,465.0
4:11.0, ,9-16,P. Williams misses 3-pt jump shot from 26 ft,,1,9,16,-7,469.0
4:08.0,Defensive rebound by G. Mathews,9-16, ,,1,9,16,-7,472.0
3:56.0,Turnover by W. Matthews (bad pass),9-16, ,,1,9,16,-7,484.0
3:45.0, ,9-16,Shooting foul by O. Okongwu (drawn by P. Williams),,1,9,16,-7,495.0
3:45.0, ,9-17,P. Williams makes free throw 1 of 2,,1,9,17,-8,495.0
3:45.0, ,9-18,P. Williams makes free throw 2 of 2,,1,9,18,-9,495.0
3:26.0,G. Mathews makes 3-pt jump shot from 26 ft (assist by W. Matthews),12-18, ,,1,12,18,-6,514.0
3:12.0, ,12-18,A. Dosunmu misses 3-pt jump shot from 24 ft,,1,12,18,-6,528.0
3:10.0,Defensive rebound by O. Okongwu,12-18, ,,1,12,18,-6,530.0
3:04.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),15-18, ,,1,15,18,-3,536.0
2:52.0, ,15-18,C. White misses 3-pt jump shot from 25 ft,,1,15,18,-3,548.0
2:50.0,Defensive rebound by O. Okongwu,15-18, ,,1,15,18,-3,550.0
2:38.0,B. Bogdanović misses 3-pt jump shot from 26 ft,15-18, ,,1,15,18,-3,562.0
2:35.0, ,15-18,Defensive rebound by J. Carter,,1,15,18,-3,565.0
2:30.0, ,15-18,Shooting foul by G. Mathews (drawn by C. White),,1,15,18,-3,570.0
2:30.0, ,15-19,C. White makes free throw 1 of 2,,1,15,19,-4,570.0
2:30.0,J. Johnson enters the game for W. Matthews,15-19, ,,1,15,19,-4,570.0
2:30.0, ,15-19,D. DeRozan enters the game for A. Drummond,,1,15,19,-4,570.0
2:30.0, ,15-19,T. Taylor enters the game for P. Williams,,1,15,19,-4,570.0
2:30.0, ,15-19,C. White misses free throw 2 of 2,,1,15,19,-4,570.0
2:28.0,Defensive rebound by B. Bogdanović,15-19, ,,1,15,19,-4,572.0
2:10.0,T. Young makes 2-pt jump shot from 21 ft,17-19, ,,1,17,19,-2,590.0
1:58.0, ,17-19,J. Carter misses 3-pt jump shot from 22 ft,,1,17,19,-2,602.0
1:55.0,Defensive rebound by O. Okongwu,17-19, ,,1,17,19,-2,605.0
1:43.0,J. Johnson misses 2-pt jump shot from 5 ft,17-19, ,,1,17,19,-2,617.0
1:42.0, ,17-19,Defensive rebound by D. DeRozan,,1,17,19,-2,618.0
1:27.0, ,17-22,J. Carter makes 3-pt jump shot from 24 ft (assist by C. White),,1,17,22,-5,633.0
1:14.0,B. Bogdanović misses 3-pt jump shot from 26 ft,17-22, ,,1,17,22,-5,646.0
1:12.0, ,17-22,Defensive rebound by C. White,,1,17,22,-5,648.0
1:06.0, ,17-22,C. White misses 2-pt jump shot from 9 ft,,1,17,22,-5,654.0
1:05.0,Defensive rebound by O. Okongwu,17-22, ,,1,17,22,-5,655.0
0:59.0,T. Young misses 3-pt jump shot from 30 ft,17-22, ,,1,17,22,-5,661.0
0:55.0, ,17-22,Defensive rebound by J. Carter,,1,17,22,-5,665.0
0:51.0, ,17-25,J. Carter makes 3-pt jump shot from 26 ft,,1,17,25,-8,669.0
0:27.0,Turnover by T. Young (bad pass; steal by D. DeRozan),17-25, ,,1,17,25,-8,693.0
0:05.0, ,17-28,A. Dosunmu makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,1,17,28,-11,715.0
0:00.0,Turnover by T. Young (bad pass; steal by A. Dosunmu),17-28, ,,1,17,28,-11,720.0
0:00.0, ,17-28,C. White misses 3-pt jump shot from 64 ft,,1,17,28,-11,720.0
0:00.0, ,17-28,Offensive rebound by Team,,1,17,28,-11,720.0
0:00.0,End of 1st quarter,17-28,,,1,17,28,-11,720.0
12:00.0,Start of 2nd quarter,17-28,,,2,17,28,-11,720.0
11:44.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by J. Johnson),20-28, ,,2,20,28,-8,736.0
11:18.0, ,20-28,D. DeRozan misses 2-pt jump shot from 19 ft,,2,20,28,-8,762.0
11:15.0,Defensive rebound by J. Johnson,20-28, ,,2,20,28,-8,765.0
11:06.0,J. Johnson makes 2-pt layup from 2 ft (assist by B. Bogdanović),22-28, ,,2,22,28,-6,774.0
10:54.0, ,22-30,A. Caruso makes 2-pt jump shot from 7 ft,,2,22,30,-8,786.0
10:29.0,J. Johnson misses 2-pt jump shot from 6 ft,22-30, ,,2,22,30,-8,811.0
10:27.0, ,22-30,Defensive rebound by A. Caruso,,2,22,30,-8,813.0
10:15.0, ,22-32,T. Taylor makes 2-pt layup from 2 ft (assist by A. Caruso),,2,22,32,-10,825.0
10:03.0,B. Bogdanović makes 2-pt jump shot from 6 ft,24-32, ,,2,24,32,-8,837.0
10:03.0,Shooting foul by T. Taylor (drawn by B. Bogdanović),24-32, ,,2,24,32,-8,837.0
10:03.0,B. Bogdanović makes free throw 1 of 1,25-32, ,,2,25,32,-7,837.0
9:39.0, ,25-32,Turnover by Team (shot clock),,2,25,32,-7,861.0
9:26.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),27-32, ,,2,27,32,-5,874.0
9:15.0, ,27-32,Shooting foul by G. Mathews (drawn by A. Caruso),,2,27,32,-5,885.0
9:15.0, ,27-33,A. Caruso makes free throw 1 of 2,,2,27,33,-6,885.0
9:15.0,S. Bey enters the game for J. Johnson,27-33, ,,2,27,33,-6,885.0
9:15.0,D. Murray enters the game for G. Mathews,27-33, ,,2,27,33,-6,885.0
9:15.0, ,27-33,A. Drummond enters the game for T. Taylor,,2,27,33,-6,885.0
9:15.0, ,27-34,A. Caruso makes free throw 2 of 2,,2,27,34,-7,885.0
9:00.0,B. Bogdanović misses 3-pt jump shot from 26 ft,27-34, ,,2,27,34,-7,900.0
8:57.0, ,27-34,Defensive rebound by A. Drummond,,2,27,34,-7,903.0
8:41.0, ,27-34,Turnover by J. Carter (lost ball; steal by T. Young),,2,27,34,-7,919.0
8:37.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),29-34, ,,2,29,34,-5,923.0
8:23.0, ,29-34,A. Caruso misses 3-pt jump shot from 26 ft,,2,29,34,-5,937.0
8:21.0,Defensive rebound by S. Bey,29-34, ,,2,29,34,-5,939.0
8:16.0,B. Bogdanović misses 3-pt jump shot from 29 ft,29-34, ,,2,29,34,-5,944.0
8:14.0,Offensive rebound by S. Bey,29-34, ,,2,29,34,-5,946.0
8:14.0,Personal foul by D. Terry (drawn by S. Bey),29-34, ,,2,29,34,-5,946.0
8:14.0,T. Forrest enters the game for T. Young,29-34, ,,2,29,34,-5,946.0
8:14.0, ,29-34,A. Dosunmu enters the game for A. Caruso,,2,29,34,-5,946.0
8:00.0,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),32-34, ,,2,32,34,-2,960.0
7:45.0, ,32-34,Personal foul by O. Okongwu (drawn by A. Drummond),,2,32,34,-2,975.0
7:45.0, ,32-34,P. Williams enters the game for D. DeRozan,,2,32,34,-2,975.0
7:32.0, ,32-34,D. Terry misses 3-pt jump shot from 22 ft,,2,32,34,-2,988.0
7:29.0, ,32-34,Offensive rebound by A. Drummond,,2,32,34,-2,991.0
7:29.0, ,32-36,A. Drummond makes 2-pt layup at rim,,2,32,36,-4,991.0
7:18.0,Shooting foul by P. Williams (drawn by D. Murray),32-36, ,,2,32,36,-4,1002.0
7:18.0,D. Murray makes free throw 1 of 2,33-36, ,,2,33,36,-3,1002.0
7:18.0, ,33-36,C. White enters the game for J. Carter,,2,33,36,-3,1002.0
7:18.0,D. Murray misses free throw 2 of 2,33-36, ,,2,33,36,-3,1002.0
7:16.0, ,33-36,Defensive rebound by A. Drummond,,2,33,36,-3,1004.0
7:00.0, ,33-36,Turnover by D. Terry (bad pass; steal by D. Murray),,2,33,36,-3,1020.0
6:58.0,S. Bey makes 2-pt layup from 1 ft,35-36, ,,2,35,36,-1,1022.0
6:58.0, ,35-36,Chicago full timeout,,2,35,36,-1,1022.0
6:44.0, ,35-36,C. White misses 2-pt layup from 2 ft,,2,35,36,-1,1036.0
6:41.0, ,35-36,Offensive rebound by A. Drummond,,2,35,36,-1,1039.0
6:41.0, ,35-38,A. Drummond makes 2-pt layup at rim,,2,35,38,-3,1039.0
6:27.0,Shooting foul by A. Drummond (drawn by D. Murray),35-38, ,,2,35,38,-3,1053.0
6:27.0,D. Murray makes free throw 1 of 2,36-38, ,,2,36,38,-2,1053.0
6:27.0,D. Murray makes free throw 2 of 2,37-38, ,,2,37,38,-1,1053.0
6:10.0, ,37-38,A. Dosunmu misses 3-pt jump shot from 23 ft,,2,37,38,-1,1070.0
6:08.0,Defensive rebound by S. Bey,37-38, ,,2,37,38,-1,1072.0
5:54.0,D. Murray makes 2-pt layup from 2 ft,39-38, ,Lead change,2,39,38,1,1086.0
5:42.0, ,39-40,A. Dosunmu makes 2-pt jump shot from 8 ft (assist by C. White),Lead change,2,39,40,-1,1098.0
5:30.0,B. Bogdanović misses 2-pt jump shot from 5 ft,39-40, ,,2,39,40,-1,1110.0
5:28.0,Offensive rebound by B. Bogdanović,39-40, ,,2,39,40,-1,1112.0
5:27.0,B. Bogdanović makes 2-pt hook shot from 4 ft,41-40, ,Lead change,2,41,40,1,1113.0
5:27.0,C. Capela enters the game for T. Forrest,41-40, ,,2,41,40,1,1113.0
5:27.0,T. Young enters the game for O. Okongwu,41-40, ,,2,41,40,1,1113.0
5:27.0, ,41-40,D. DeRozan enters the game for D. Terry,,2,41,40,1,1113.0
5:01.0, ,41-40,C. White misses 3-pt jump shot from 25 ft,,2,41,40,1,1139.0
4:59.0,Defensive rebound by D. Murray,41-40, ,,2,41,40,1,1141.0
4:52.0,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),44-40, ,,2,44,40,4,1148.0
4:42.0, ,44-40,Personal foul by D. Murray (drawn by A. Dosunmu),,2,44,40,4,1158.0
4:42.0, ,44-40,A. Caruso enters the game for A. Drummond,,2,44,40,4,1158.0
4:23.0, ,44-40,P. Williams misses 2-pt dunk from 1 ft,,2,44,40,4,1177.0
4:20.0,Defensive rebound by D. Murray,44-40, ,,2,44,40,4,1180.0
4:13.0,Turnover by D. Murray (lost ball; steal by P. Williams),44-40, ,,2,44,40,4,1187.0
4:01.0, ,44-40,A. Caruso misses 3-pt jump shot from 23 ft,,2,44,40,4,1199.0
3:59.0,Defensive rebound by S. Bey,44-40, ,,2,44,40,4,1201.0
3:42.0,T. Young makes 3-pt jump shot from 31 ft,47-40, ,,2,47,40,7,1218.0
3:28.0, ,47-40,P. Williams misses 2-pt jump shot from 19 ft,,2,47,40,7,1232.0
3:26.0,Defensive rebound by D. Murray,47-40, ,,2,47,40,7,1234.0
3:19.0,T. Young misses 3-pt jump shot from 34 ft,47-40, ,,2,47,40,7,1241.0
3:18.0,Offensive rebound by Team,47-40, ,,2,47,40,7,1242.0
3:18.0, ,47-40,Loose ball foul by A. Dosunmu (drawn by C. Capela),,2,47,40,7,1242.0
3:18.0,C. Capela makes free throw 1 of 2,48-40, ,,2,48,40,8,1242.0
3:18.0, ,48-40,A. Drummond enters the game for P. Williams,,2,48,40,8,1242.0
3:18.0,C. Capela misses free throw 2 of 2,48-40, ,,2,48,40,8,1242.0
3:15.0, ,48-40,Defensive rebound by A. Drummond,,2,48,40,8,1245.0
3:04.0, ,48-40,Shooting foul by C. Capela (drawn by D. DeRozan),,2,48,40,8,1256.0
3:04.0, ,48-41,D. DeRozan makes free throw 1 of 2,,2,48,41,7,1256.0
3:04.0, ,48-42,D. DeRozan makes free throw 2 of 2,,2,48,42,6,1256.0
2:45.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),50-42, ,,2,50,42,8,1275.0
2:32.0, ,50-42,D. DeRozan misses 2-pt jump shot from 11 ft,,2,50,42,8,1288.0
2:30.0,Defensive rebound by S. Bey,50-42, ,,2,50,42,8,1290.0
2:23.0,Personal foul by D. DeRozan (drawn by T. Young),50-42, ,,2,50,42,8,1297.0
2:23.0,Atlanta full timeout,50-42, ,,2,50,42,8,1297.0
2:23.0,T. Young makes free throw 1 of 2,51-42, ,,2,51,42,9,1297.0
2:23.0,T. Young makes free throw 2 of 2,52-42, ,,2,52,42,10,1297.0
2:08.0, ,52-42,Offensive foul by C. White (drawn by S. Bey),,2,52,42,10,1312.0
2:08.0, ,52-42,Turnover by C. White (offensive foul),,2,52,42,10,1312.0
1:55.0,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),54-42, ,,2,54,42,12,1325.0
1:43.0, ,54-44,C. White makes 2-pt layup from 6 ft,,2,54,44,10,1337.0
1:31.0,Turnover by T. Young (traveling),54-44, ,,2,54,44,10,1349.0
1:14.0, ,54-46,D. DeRozan makes 2-pt jump shot from 8 ft,,2,54,46,8,1366.0
1:02.0,B. Bogdanović misses 3-pt jump shot from 25 ft,54-46, ,,2,54,46,8,1378.0
0:57.0, ,54-46,Defensive rebound by A. Drummond,,2,54,46,8,1383.0
0:57.0, ,54-46,Shooting foul by D. Murray (drawn by A. Caruso),,2,54,46,8,1383.0
0:57.0, ,54-47,A. Caruso makes free throw 1 of 2,,2,54,47,7,1383.0
0:57.0, ,54-48,A. Caruso makes free throw 2 of 2,,2,54,48,6,1383.0
0:48.0,Personal foul by A. Caruso (drawn by T. Young),54-48, ,,2,54,48,6,1392.0
0:48.0,T. Young makes free throw 1 of 2,55-48, ,,2,55,48,7,1392.0
0:48.0,T. Young makes free throw 2 of 2,56-48, ,,2,56,48,8,1392.0
0:32.0, ,56-48,D. DeRozan misses 2-pt dunk at rim,,2,56,48,8,1408.0
0:31.0, ,56-48,Offensive rebound by A. Dosunmu,,2,56,48,8,1409.0
0:24.0, ,56-48,C. White misses 2-pt layup from 2 ft,,2,56,48,8,1416.0
0:24.0, ,56-48,Offensive rebound by A. Drummond,,2,56,48,8,1416.0
0:24.0, ,56-50,A. Drummond makes 2-pt layup at rim,,2,56,50,6,1416.0
0:00.0,D. Murray misses 3-pt jump shot from 26 ft,56-50, ,,2,56,50,6,1440.0
0:00.0,Offensive rebound by Team,56-50, ,,2,56,50,6,1440.0
0:00.0,Turnover by Team (shot clock),56-50, ,,2,56,50,6,1440.0
0:00.0,End of 2nd quarter,56-50,,,2,56,50,6,1440.0
12:00.0,Start of 3rd quarter,56-50,,,3,56,50,6,1440.0
11:45.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),59-50, ,,3,59,50,9,1455.0
11:25.0, ,59-50,Shooting foul by C. Capela (drawn by A. Drummond),,3,59,50,9,1475.0
11:25.0, ,59-51,A. Drummond makes free throw 1 of 2,,3,59,51,8,1475.0
11:25.0, ,59-52,A. Drummond makes free throw 2 of 2,,3,59,52,7,1475.0
11:09.0,S. Bey makes 3-pt jump shot from 23 ft (assist by J. Johnson),62-52, ,,3,62,52,10,1491.0
10:56.0, ,62-52,C. White misses 3-pt jump shot from 25 ft,,3,62,52,10,1504.0
10:50.0, ,62-52,Offensive rebound by P. Williams,,3,62,52,10,1510.0
10:49.0, ,62-52,Turnover by P. Williams (bad pass; steal by D. Murray),,3,62,52,10,1511.0
10:32.0,C. Capela makes 2-pt dunk at rim (assist by T. Young),64-52, ,,3,64,52,12,1528.0
10:32.0, ,64-52,Chicago full timeout,,3,64,52,12,1528.0
10:19.0, ,64-52,P. Williams misses 2-pt dunk from 1 ft (block by C. Capela),,3,64,52,12,1541.0
10:17.0, ,64-52,Offensive rebound by A. Drummond,,3,64,52,12,1543.0
10:10.0, ,64-52,C. White misses 3-pt jump shot from 29 ft,,3,64,52,12,1550.0
10:06.0, ,64-52,Offensive rebound by A. Caruso,,3,64,52,12,1554.0
10:04.0, ,64-52,Turnover by A. Caruso (lost ball; steal by S. Bey),,3,64,52,12,1556.0
9:58.0,D. Murray misses 3-pt jump shot from 25 ft,64-52, ,,3,64,52,12,1562.0
9:56.0, ,64-52,Defensive rebound by A. Drummond,,3,64,52,12,1564.0
9:37.0, ,64-52,D. DeRozan misses 2-pt jump shot from 23 ft,,3,64,52,12,1583.0
9:35.0, ,64-52,Offensive rebound by A. Caruso,,3,64,52,12,1585.0
9:30.0, ,64-54,C. White makes 2-pt layup from 2 ft (assist by A. Caruso),,3,64,54,10,1590.0
9:10.0,J. Johnson misses 3-pt jump shot from 24 ft,64-54, ,,3,64,54,10,1610.0
9:08.0, ,64-54,Defensive rebound by A. Drummond,,3,64,54,10,1612.0
8:44.0, ,64-56,C. White makes 2-pt jump shot from 12 ft,,3,64,56,8,1636.0
8:16.0,D. Murray misses 2-pt jump shot from 17 ft,64-56, ,,3,64,56,8,1664.0
8:16.0,Offensive rebound by J. Johnson,64-56, ,,3,64,56,8,1664.0
8:10.0,J. Johnson makes 2-pt layup at rim,66-56, ,,3,66,56,10,1670.0
8:05.0, ,66-58,D. DeRozan makes 2-pt jump shot from 16 ft,,3,66,58,8,1675.0
8:05.0, ,66-58,Shooting foul by C. Capela (drawn by D. DeRozan),,3,66,58,8,1675.0
8:05.0, ,66-58,A. Dosunmu enters the game for C. White,,3,66,58,8,1675.0
8:05.0, ,66-59,D. DeRozan makes free throw 1 of 1,,3,66,59,7,1675.0
7:50.0,T. Young makes 3-pt jump shot from 27 ft (assist by C. Capela),69-59, ,,3,69,59,10,1690.0
7:34.0, ,69-61,P. Williams makes 2-pt layup at rim (assist by A. Drummond),,3,69,61,8,1706.0
7:21.0,T. Young misses 2-pt jump shot from 13 ft,69-61, ,,3,69,61,8,1719.0
7:19.0, ,69-61,Defensive rebound by A. Drummond,,3,69,61,8,1721.0
7:17.0, ,69-61,A. Caruso misses 2-pt layup from 2 ft,,3,69,61,8,1723.0
7:17.0, ,69-61,Offensive rebound by A. Dosunmu,,3,69,61,8,1723.0
7:04.0, ,69-64,D. DeRozan makes 3-pt jump shot from 26 ft (assist by A. Caruso),,3,69,64,5,1736.0
6:50.0,D. Murray misses 3-pt jump shot from 27 ft,69-64, ,,3,69,64,5,1750.0
6:46.0,Offensive rebound by C. Capela,69-64, ,,3,69,64,5,1754.0
6:45.0,C. Capela misses 2-pt layup from 3 ft (block by A. Drummond),69-64, ,,3,69,64,5,1755.0
6:45.0, ,69-64,Defensive rebound by A. Drummond,,3,69,64,5,1755.0
6:30.0, ,69-64,D. DeRozan misses 2-pt jump shot from 10 ft,,3,69,64,5,1770.0
6:28.0,Defensive rebound by C. Capela,69-64, ,,3,69,64,5,1772.0
6:25.0,Turnover by C. Capela (lost ball; steal by A. Dosunmu),69-64, ,,3,69,64,5,1775.0
6:25.0, ,69-64,A. Dosunmu misses 2-pt layup at rim,,3,69,64,5,1775.0
6:23.0, ,69-64,Offensive rebound by A. Dosunmu,,3,69,64,5,1777.0
6:23.0, ,69-64,A. Dosunmu misses 2-pt layup at rim,,3,69,64,5,1777.0
6:22.0,Defensive rebound by J. Johnson,69-64, ,,3,69,64,5,1778.0
6:15.0,Turnover by T. Young (bad pass; steal by A. Drummond),69-64, ,,3,69,64,5,1785.0
6:11.0, ,69-64,A. Caruso misses 2-pt layup from 1 ft,,3,69,64,5,1789.0
6:10.0,Defensive rebound by D. Murray,69-64, ,,3,69,64,5,1790.0
6:06.0,Turnover by J. Johnson (bad pass),69-64, ,,3,69,64,5,1794.0
6:06.0,B. Bogdanović enters the game for J. Johnson,69-64, ,,3,69,64,5,1794.0
6:06.0,W. Matthews enters the game for T. Young,69-64, ,,3,69,64,5,1794.0
6:06.0, ,69-64,C. White enters the game for A. Caruso,,3,69,64,5,1794.0
5:51.0, ,69-66,D. DeRozan makes 2-pt jump shot from 12 ft,,3,69,66,3,1809.0
5:31.0,C. Capela makes 2-pt dunk at rim (assist by D. Murray),71-66, ,,3,71,66,5,1829.0
5:12.0, ,71-66,Shooting foul by D. Murray (drawn by C. White),,3,71,66,5,1848.0
5:12.0, ,71-66,C. White misses free throw 1 of 2,,3,71,66,5,1848.0
5:12.0, ,71-66,Offensive rebound by Team,,3,71,66,5,1848.0
5:12.0,O. Okongwu enters the game for C. Capela,71-66, ,,3,71,66,5,1848.0
5:12.0, ,71-66,J. Carter enters the game for D. DeRozan,,3,71,66,5,1848.0
5:12.0, ,71-66,T. Taylor enters the game for A. Drummond,,3,71,66,5,1848.0
5:12.0, ,71-67,C. White makes free throw 2 of 2,,3,71,67,4,1848.0
4:58.0,O. Okongwu makes 2-pt layup at rim (assist by D. Murray),73-67, ,,3,73,67,6,1862.0
4:39.0, ,73-67,Shooting foul by O. Okongwu (drawn by C. White),,3,73,67,6,1881.0
4:39.0, ,73-68,C. White makes free throw 1 of 2,,3,73,68,5,1881.0
4:39.0, ,73-69,C. White makes free throw 2 of 2,,3,73,69,4,1881.0
4:20.0,B. Bogdanović misses 3-pt jump shot from 25 ft,73-69, ,,3,73,69,4,1900.0
4:18.0, ,73-69,Defensive rebound by Team,,3,73,69,4,1902.0
4:06.0, ,73-69,C. White misses 2-pt layup from 2 ft,,3,73,69,4,1914.0
