Time,Atlanta,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:11.0, ,45-46,Offensive rebound by V. Wembanyama,,2,45,46,-1,1069.0
6:10.0, ,45-48,V. Wembanyama makes 2-pt dunk at rim,,2,45,48,-3,1070.0
5:59.0,Offensive foul by D. Hunter (drawn by T. Jones),45-48, ,,2,45,48,-3,1081.0
5:59.0,Turnover by D. Hunter (offensive foul),45-48, ,,2,45,48,-3,1081.0
5:59.0,S. Bey enters the game for D. Hunter,45-48, ,,2,45,48,-3,1081.0
5:59.0,C. Capela enters the game for W. Matthews,45-48, ,,2,45,48,-3,1081.0
5:59.0,T. Young enters the game for O. Okongwu,45-48, ,,2,45,48,-3,1081.0
5:59.0, ,45-48,Z. Collins enters the game for V. Wembanyama,,2,45,48,-3,1081.0
5:43.0, ,45-50,K. Johnson makes 2-pt layup from 3 ft (assist by Z. Collins),,2,45,50,-5,1097.0
5:21.0,T. Young misses 3-pt jump shot from 27 ft,45-50, ,,2,45,50,-5,1119.0
5:17.0, ,45-50,Defensive rebound by M. Branham,,2,45,50,-5,1123.0
5:15.0, ,45-52,K. Johnson makes 2-pt dunk from 1 ft (assist by M. Branham),,2,45,52,-7,1125.0
5:03.0,D. Murray misses 2-pt layup from 2 ft,45-52, ,,2,45,52,-7,1137.0
5:02.0,Offensive rebound by C. Capela,45-52, ,,2,45,52,-7,1138.0
5:00.0,C. Capela makes 2-pt layup at rim,47-52, ,,2,47,52,-5,1140.0
4:47.0, ,47-54,J. Sochan makes 2-pt dunk from 1 ft (assist by Z. Collins),,2,47,54,-7,1153.0
4:36.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),50-54, ,,2,50,54,-4,1164.0
4:25.0, ,50-54,M. Branham misses 3-pt jump shot from 27 ft,,2,50,54,-4,1175.0
4:22.0,Defensive rebound by C. Capela,50-54, ,,2,50,54,-4,1178.0
4:15.0,T. Young misses 2-pt layup from 1 ft,50-54, ,,2,50,54,-4,1185.0
4:14.0,Offensive rebound by C. Capela,50-54, ,,2,50,54,-4,1186.0
4:14.0,C. Capela misses 2-pt layup from 2 ft,50-54, ,,2,50,54,-4,1186.0
4:13.0,Offensive rebound by Team,50-54, ,,2,50,54,-4,1187.0
4:13.0,Turnover by C. Capela (traveling),50-54, ,,2,50,54,-4,1187.0
4:13.0, ,50-54,D. Vassell enters the game for M. Branham,,2,50,54,-4,1187.0
3:57.0, ,50-54,T. Jones misses 3-pt jump shot from 23 ft,,2,50,54,-4,1203.0
3:51.0,Defensive rebound by D. Murray,50-54, ,,2,50,54,-4,1209.0
3:45.0,Offensive foul by C. Capela (drawn by T. Jones),50-54, ,,2,50,54,-4,1215.0
3:45.0,Turnover by C. Capela (offensive foul),50-54, ,,2,50,54,-4,1215.0
3:45.0,D. Hunter enters the game for B. Bogdanović,50-54, ,,2,50,54,-4,1215.0
3:45.0,O. Okongwu enters the game for C. Capela,50-54, ,,2,50,54,-4,1215.0
3:26.0, ,50-54,D. Vassell misses 3-pt jump shot from 26 ft,,2,50,54,-4,1234.0
3:22.0,Defensive rebound by O. Okongwu,50-54, ,,2,50,54,-4,1238.0
3:13.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by T. Young),53-54, ,,2,53,54,-1,1247.0
2:55.0, ,53-57,J. Sochan makes 3-pt jump shot from 23 ft (assist by K. Johnson),,2,53,57,-4,1265.0
2:45.0,Shooting foul by Z. Collins (drawn by T. Young),53-57, ,,2,53,57,-4,1275.0
2:45.0,T. Young makes free throw 1 of 2,54-57, ,,2,54,57,-3,1275.0
2:45.0,T. Young makes free throw 2 of 2,55-57, ,,2,55,57,-2,1275.0
2:26.0, ,55-59,J. Sochan makes 2-pt hook shot from 8 ft (assist by D. Vassell),,2,55,59,-4,1294.0
2:08.0,S. Bey makes 3-pt jump shot from 26 ft (assist by D. Hunter),58-59, ,,2,58,59,-1,1312.0
1:51.0, ,58-61,J. Sochan makes 2-pt dunk from 1 ft,,2,58,61,-3,1329.0
1:34.0,D. Murray misses 2-pt jump shot from 12 ft,58-61, ,,2,58,61,-3,1346.0
1:31.0, ,58-61,Defensive rebound by D. Vassell,,2,58,61,-3,1349.0
1:23.0, ,58-61,Shooting foul by T. Young (drawn by K. Johnson),,2,58,61,-3,1357.0
1:23.0, ,58-62,K. Johnson makes free throw 1 of 3,,2,58,62,-4,1357.0
1:23.0, ,58-63,K. Johnson makes free throw 2 of 3,,2,58,63,-5,1357.0
1:23.0, ,58-64,K. Johnson makes free throw 3 of 3,,2,58,64,-6,1357.0
1:09.0,S. Bey makes 2-pt dunk from 1 ft (assist by T. Young),60-64, ,,2,60,64,-4,1371.0
0:53.0, ,60-64,Turnover by Z. Collins (bad pass; steal by D. Murray),,2,60,64,-4,1387.0
0:45.0,S. Bey misses 3-pt jump shot from 23 ft,60-64, ,,2,60,64,-4,1395.0
0:42.0,Offensive rebound by O. Okongwu,60-64, ,,2,60,64,-4,1398.0
0:41.0,O. Okongwu misses 2-pt hook shot from 4 ft,60-64, ,,2,60,64,-4,1399.0
0:41.0, ,60-64,Defensive rebound by Z. Collins,,2,60,64,-4,1399.0
0:35.0, ,60-64,D. Vassell misses 3-pt jump shot from 24 ft,,2,60,64,-4,1405.0
0:31.0,Defensive rebound by T. Young,60-64, ,,2,60,64,-4,1409.0
0:26.0,T. Young makes 2-pt jump shot from 11 ft,62-64, ,,2,62,64,-2,1414.0
0:02.0, ,62-66,D. Vassell makes 2-pt jump shot from 20 ft,,2,62,66,-4,1438.0
0:00.0,End of 2nd quarter,62-66,,,2,62,66,-4,1440.0
12:00.0,Start of 3rd quarter,62-66,,,3,62,66,-4,1440.0
11:41.0,D. Murray misses 3-pt jump shot from 27 ft,62-66, ,,3,62,66,-4,1459.0
11:39.0, ,62-66,Defensive rebound by V. Wembanyama,,3,62,66,-4,1461.0
11:33.0, ,62-66,Turnover by J. Sochan (bad pass; steal by D. Murray),,3,62,66,-4,1467.0
11:17.0,D. Hunter misses 3-pt jump shot from 27 ft,62-66, ,,3,62,66,-4,1483.0
11:14.0, ,62-66,Defensive rebound by V. Wembanyama,,3,62,66,-4,1486.0
11:12.0, ,62-66,Personal foul by D. Hunter (drawn by Z. Collins),,3,62,66,-4,1488.0
11:12.0,W. Matthews enters the game for D. Hunter,62-66, ,,3,62,66,-4,1488.0
11:05.0, ,62-66,M. Branham misses 2-pt jump shot from 12 ft,,3,62,66,-4,1495.0
11:03.0,Defensive rebound by C. Capela,62-66, ,,3,62,66,-4,1497.0
10:49.0,S. Bey makes 3-pt jump shot from 26 ft (assist by D. Murray),65-66, ,,3,65,66,-1,1511.0
10:36.0, ,65-66,Z. Collins misses 3-pt jump shot from 25 ft,,3,65,66,-1,1524.0
10:34.0,Defensive rebound by T. Young,65-66, ,,3,65,66,-1,1526.0
10:30.0,C. Capela makes 2-pt layup from 1 ft (assist by T. Young),67-66, ,Lead change,3,67,66,1,1530.0
10:18.0, ,67-69,K. Johnson makes 3-pt jump shot from 24 ft (assist by J. Sochan),Lead change,3,67,69,-2,1542.0
10:00.0,T. Young makes 2-pt layup from 2 ft,69-69, ,Tie,3,69,69,0,1560.0
9:52.0, ,69-69,Turnover by J. Sochan (dbl dribble),,3,69,69,0,1568.0
9:37.0,D. Murray makes 2-pt jump shot from 15 ft (assist by W. Matthews),71-69, ,Lead change,3,71,69,2,1583.0
9:22.0, ,71-71,K. Johnson makes 2-pt jump shot from 16 ft,Tie,3,71,71,0,1598.0
