Time,San Antonio,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:47.0,C. Osman makes 3-pt jump shot from 26 ft (assist by B. Wesley),13-24, ,,1,24,13,11,553.0
2:26.0, ,13-26,O. Okongwu makes 2-pt hook shot from 5 ft (assist by T. Young),,1,26,13,13,574.0
2:15.0,C. Osman misses 3-pt jump shot from 26 ft,13-26, ,,1,26,13,13,585.0
2:12.0, ,13-26,Defensive rebound by J. Johnson,,1,26,13,13,588.0
2:02.0, ,13-26,O. Okongwu misses 2-pt hook shot from 1 ft,,1,26,13,13,598.0
1:59.0,Defensive rebound by K. Johnson,13-26, ,,1,26,13,13,601.0
1:51.0,Turnover by K. Johnson (lost ball; steal by J. Johnson),13-26, ,,1,26,13,13,609.0
1:48.0, ,13-28,T. Young makes 2-pt layup from 1 ft (assist by J. Johnson),,1,28,13,15,612.0
1:30.0,M. Branham misses 3-pt jump shot from 25 ft,13-28, ,,1,28,13,15,630.0
1:26.0, ,13-28,Defensive rebound by O. Okongwu,,1,28,13,15,634.0
1:19.0,Violation by Team (kicked ball),13-28, ,,1,28,13,15,641.0
1:14.0, ,13-30,B. Bogdanović makes 2-pt layup from 1 ft,,1,30,13,17,646.0
0:59.0,D. Barlow makes 2-pt hook shot from 6 ft (assist by B. Wesley),15-30, ,,1,30,15,15,661.0
0:46.0, ,15-32,O. Okongwu makes 2-pt layup from 1 ft (assist by T. Young),,1,32,15,17,674.0
0:46.0, ,15-32,Shooting foul by C. Osman (drawn by O. Okongwu),,1,32,15,17,674.0
0:46.0,T. Jones enters the game for M. Branham,15-32, ,,1,32,15,17,674.0
0:46.0, ,15-33,O. Okongwu makes free throw 1 of 1,,1,33,15,18,674.0
0:39.0,Shooting foul by O. Okongwu (drawn by K. Johnson),15-33, ,,1,33,15,18,681.0
0:39.0,K. Johnson misses free throw 1 of 2,15-33, ,,1,33,15,18,681.0
0:39.0,Offensive rebound by Team,15-33, ,,1,33,15,18,681.0
0:39.0,K. Johnson makes free throw 2 of 2,16-33, ,,1,33,16,17,681.0
0:31.0, ,16-33,T. Young misses 2-pt jump shot from 11 ft,,1,33,16,17,689.0
0:28.0,Defensive rebound by D. Barlow,16-33, ,,1,33,16,17,692.0
0:09.0,K. Johnson misses 2-pt jump shot from 9 ft,16-33, ,,1,33,16,17,711.0
0:05.0, ,16-33,Defensive rebound by O. Okongwu,,1,33,16,17,715.0
0:00.0, ,16-35,T. Young makes 2-pt layup from 1 ft,,1,35,16,19,720.0
0:00.0, ,16-35,Instant Replay (Request: Ruling Stands),,1,35,16,19,720.0
0:00.0,End of 1st quarter,16-35,,,1,35,16,19,720.0
12:00.0,Start of 2nd quarter,16-35,,,2,35,16,19,720.0
11:40.0,T. Jones misses 3-pt jump shot from 23 ft,16-35, ,,2,35,16,19,740.0
11:37.0, ,16-35,Defensive rebound by O. Okongwu,,2,35,16,19,743.0
11:22.0, ,16-35,J. Johnson misses 2-pt jump shot from 10 ft,,2,35,16,19,758.0
11:20.0,Defensive rebound by K. Johnson,16-35, ,,2,35,16,19,760.0
11:10.0,K. Johnson misses 2-pt layup from 1 ft,16-35, ,,2,35,16,19,770.0
11:07.0, ,16-35,Defensive rebound by J. Johnson,,2,35,16,19,773.0
10:56.0, ,16-38,T. Young makes 3-pt jump shot from 26 ft (assist by J. Johnson),,2,38,16,22,784.0
10:45.0,V. Wembanyama misses 2-pt jump shot from 3 ft,16-38, ,,2,38,16,22,795.0
10:41.0, ,16-38,Defensive rebound by T. Young,,2,38,16,22,799.0
10:34.0, ,16-40,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,2,40,16,24,806.0
10:15.0,V. Wembanyama misses 3-pt jump shot from 25 ft,16-40, ,,2,40,16,24,825.0
10:12.0, ,16-40,Defensive rebound by J. Johnson,,2,40,16,24,828.0
10:05.0, ,16-40,Turnover by B. Bogdanović (traveling),,2,40,16,24,835.0
10:05.0,D. Vassell enters the game for C. Osman,16-40, ,,2,40,16,24,835.0
9:54.0,Turnover by K. Johnson (lost ball; steal by B. Bogdanović),16-40, ,,2,40,16,24,846.0
9:50.0, ,16-40,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,40,16,24,850.0
9:47.0,Defensive rebound by V. Wembanyama,16-40, ,,2,40,16,24,853.0
9:41.0,Personal foul by B. Bogdanović (drawn by V. Wembanyama),16-40, ,,2,40,16,24,859.0
9:41.0,J. Sochan enters the game for K. Johnson,16-40, ,,2,40,16,24,859.0
9:35.0,Personal foul by J. Johnson (drawn by V. Wembanyama),16-40, ,,2,40,16,24,865.0
9:25.0,T. Jones misses 2-pt jump shot from 6 ft,16-40, ,,2,40,16,24,875.0
9:20.0,Offensive rebound by D. Vassell,16-40, ,,2,40,16,24,880.0
9:20.0,D. Vassell misses 2-pt dunk at rim,16-40, ,,2,40,16,24,880.0
9:19.0, ,16-40,Defensive rebound by T. Young,,2,40,16,24,881.0
9:15.0, ,16-40,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,40,16,24,885.0
9:14.0,Defensive rebound by Team,16-40, ,,2,40,16,24,886.0
9:06.0,D. McDermott misses 3-pt jump shot from 25 ft,16-40, ,,2,40,16,24,894.0
9:03.0,Offensive rebound by V. Wembanyama,16-40, ,,2,40,16,24,897.0
8:58.0,V. Wembanyama misses 3-pt jump shot from 26 ft,16-40, ,,2,40,16,24,902.0
8:55.0, ,16-40,Defensive rebound by J. Johnson,,2,40,16,24,905.0
8:47.0, ,16-43,T. Young makes 3-pt jump shot from 26 ft,,2,43,16,27,913.0
8:33.0,Turnover by T. Jones (bad pass; steal by J. Johnson),16-43, ,,2,43,16,27,927.0
8:29.0, ,16-43,Turnover by J. Johnson (lost ball; steal by T. Jones),,2,43,16,27,931.0
8:17.0,Turnover by J. Sochan (lost ball; steal by T. Young),16-43, ,,2,43,16,27,943.0
8:04.0, ,16-46,T. Young makes 3-pt jump shot from 29 ft,,2,46,16,30,956.0
8:01.0,San Antonio full timeout,16-46, ,,2,46,16,30,959.0
