Time,Atlanta,Score,Toronto,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:35.0,Turnover by T. Young (bad pass; steal by S. Barnes),32-30, ,,2,32,30,2,805.0
10:31.0, ,32-30,G. Trent misses 3-pt jump shot from 26 ft,,2,32,30,2,809.0
10:28.0,Defensive rebound by B. Bogdanović,32-30, ,,2,32,30,2,812.0
10:12.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Young),34-30, ,,2,34,30,4,828.0
10:12.0,Shooting foul by D. Schröder (drawn by B. Bogdanović),34-30, ,,2,34,30,4,828.0
10:12.0,B. Bogdanović makes free throw 1 of 1,35-30, ,,2,35,30,5,828.0
10:01.0, ,35-30,Offensive foul by G. Trent (drawn by G. Mathews),,2,35,30,5,839.0
10:01.0, ,35-30,Turnover by G. Trent (offensive foul),,2,35,30,5,839.0
9:46.0,Turnover by T. Young (bad pass; steal by D. Schröder),35-30, ,,2,35,30,5,854.0
9:41.0, ,35-32,P. Achiuwa makes 2-pt dunk at rim (assist by G. Trent),,2,35,32,3,859.0
9:28.0,B. Bogdanović makes 2-pt layup from 8 ft (assist by T. Young),37-32, ,,2,37,32,5,872.0
9:07.0, ,37-35,G. Trent makes 3-pt jump shot from 26 ft (assist by D. Schröder),,2,37,35,2,893.0
8:50.0,S. Bey makes 2-pt layup at rim (assist by B. Bogdanović),39-35, ,,2,39,35,4,910.0
8:32.0, ,39-35,Shooting foul by S. Bey (drawn by C. Boucher),,2,39,35,4,928.0
8:32.0, ,39-35,C. Boucher misses free throw 1 of 2,,2,39,35,4,928.0
8:32.0, ,39-35,Offensive rebound by Team,,2,39,35,4,928.0
8:32.0, ,39-35,Violation by Team (delay of game),,2,39,35,4,928.0
8:32.0, ,39-35,C. Boucher misses free throw 2 of 2,,2,39,35,4,928.0
8:30.0,Defensive rebound by S. Bey,39-35, ,,2,39,35,4,930.0
8:15.0,T. Young misses 3-pt jump shot from 29 ft,39-35, ,,2,39,35,4,945.0
8:14.0, ,39-35,Defensive rebound by C. Boucher,,2,39,35,4,946.0
8:13.0, ,39-35,Personal foul by T. Young (drawn by C. Boucher),,2,39,35,4,947.0
8:13.0,C. Capela enters the game for G. Mathews,39-35, ,,2,39,35,4,947.0
8:13.0,T. Forrest enters the game for O. Okongwu,39-35, ,,2,39,35,4,947.0
8:13.0,D. Murray enters the game for T. Young,39-35, ,,2,39,35,4,947.0
8:13.0, ,39-35,M. Flynn enters the game for D. Schröder,,2,39,35,4,947.0
7:56.0, ,39-37,G. Trent makes 2-pt jump shot from 11 ft (assist by P. Achiuwa),,2,39,37,2,964.0
7:37.0,B. Bogdanović misses 2-pt jump shot from 15 ft,39-37, ,,2,39,37,2,983.0
7:35.0,Offensive rebound by Team,39-37, ,,2,39,37,2,985.0
7:35.0, ,39-37,O. Anunoby enters the game for S. Barnes,,2,39,37,2,985.0
7:33.0,Shooting foul by M. Flynn (drawn by B. Bogdanović),39-37, ,,2,39,37,2,987.0
7:33.0,B. Bogdanović makes free throw 1 of 2,40-37, ,,2,40,37,3,987.0
7:33.0,O. Okongwu enters the game for S. Bey,40-37, ,,2,40,37,3,987.0
7:33.0, ,40-37,P. Siakam enters the game for G. Trent,,2,40,37,3,987.0
7:33.0,B. Bogdanović makes free throw 2 of 2,41-37, ,,2,41,37,4,987.0
7:23.0, ,41-40,P. Siakam makes 3-pt jump shot from 26 ft (assist by P. Achiuwa),,2,41,40,1,997.0
7:09.0,D. Murray makes 2-pt jump shot from 9 ft (assist by T. Forrest),43-40, ,,2,43,40,3,1011.0
7:01.0, ,43-40,P. Achiuwa misses 3-pt jump shot from 26 ft,,2,43,40,3,1019.0
6:56.0,Defensive rebound by O. Okongwu,43-40, ,,2,43,40,3,1024.0
6:50.0,T. Forrest misses 3-pt jump shot from 23 ft,43-40, ,,2,43,40,3,1030.0
6:45.0,Offensive rebound by O. Okongwu,43-40, ,,2,43,40,3,1035.0
6:36.0,O. Okongwu makes 2-pt layup from 1 ft,45-40, ,,2,45,40,5,1044.0
6:34.0, ,45-40,Toronto full timeout,,2,45,40,5,1046.0
6:34.0, ,45-40,J. Poeltl enters the game for P. Achiuwa,,2,45,40,5,1046.0
6:21.0,Jump ball: J. Poeltl vs. O. Okongwu (O. Anunoby gains possession),45-40,,,2,45,40,5,1059.0
6:16.0, ,45-40,C. Boucher misses 3-pt jump shot from 23 ft,,2,45,40,5,1064.0
6:13.0,Defensive rebound by D. Murray,45-40, ,,2,45,40,5,1067.0
6:02.0,Personal foul by M. Flynn (drawn by C. Capela),45-40, ,,2,45,40,5,1078.0
6:02.0, ,45-40,D. Schröder enters the game for M. Flynn,,2,45,40,5,1078.0
5:56.0,B. Bogdanović misses 3-pt jump shot from 26 ft,45-40, ,,2,45,40,5,1084.0
5:53.0, ,45-40,Defensive rebound by P. Siakam,,2,45,40,5,1087.0
5:37.0, ,45-42,J. Poeltl makes 2-pt hook shot from 7 ft (assist by D. Schröder),,2,45,42,3,1103.0
5:17.0,C. Capela misses 2-pt hook shot from 6 ft,45-42, ,,2,45,42,3,1123.0
5:14.0,Offensive rebound by T. Forrest,45-42, ,,2,45,42,3,1126.0
5:11.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Forrest),48-42, ,,2,48,42,6,1129.0
4:54.0, ,48-42,Turnover by J. Poeltl (bad pass),,2,48,42,6,1146.0
4:54.0,S. Bey enters the game for T. Forrest,48-42, ,,2,48,42,6,1146.0
4:54.0,T. Young enters the game for O. Okongwu,48-42, ,,2,48,42,6,1146.0
4:37.0,T. Young misses 3-pt jump shot from 25 ft,48-42, ,,2,48,42,6,1163.0
4:34.0, ,48-42,Defensive rebound by C. Boucher,,2,48,42,6,1166.0
4:30.0, ,48-42,Offensive foul by C. Boucher (drawn by T. Young),,2,48,42,6,1170.0
4:30.0, ,48-42,Turnover by C. Boucher (offensive foul),,2,48,42,6,1170.0
4:30.0, ,48-42,S. Barnes enters the game for C. Boucher,,2,48,42,6,1170.0
4:19.0,T. Young misses 2-pt jump shot from 12 ft,48-42, ,,2,48,42,6,1181.0
4:16.0, ,48-42,Defensive rebound by J. Poeltl,,2,48,42,6,1184.0
4:07.0, ,48-44,O. Anunoby makes 2-pt jump shot from 16 ft,,2,48,44,4,1193.0
3:49.0,S. Bey misses 2-pt layup from 3 ft,48-44, ,,2,48,44,4,1211.0
3:47.0, ,48-44,Defensive rebound by P. Siakam,,2,48,44,4,1213.0
3:43.0, ,48-44,S. Barnes misses 3-pt jump shot from 26 ft,,2,48,44,4,1217.0
3:40.0,Defensive rebound by S. Bey,48-44, ,,2,48,44,4,1220.0
3:35.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),51-44, ,,2,51,44,7,1225.0
3:19.0, ,51-44,O. Anunoby misses 3-pt jump shot from 25 ft,,2,51,44,7,1241.0
3:16.0,Defensive rebound by D. Murray,51-44, ,,2,51,44,7,1244.0
3:11.0,Personal foul by D. Schröder (drawn by T. Young),51-44, ,,2,51,44,7,1249.0
3:11.0,O. Okongwu enters the game for B. Bogdanović,51-44, ,,2,51,44,7,1249.0
2:56.0,Turnover by D. Murray (bad pass; steal by J. Poeltl),51-44, ,,2,51,44,7,1264.0
2:53.0, ,51-44,Shooting foul by D. Murray (drawn by S. Barnes),,2,51,44,7,1267.0
2:53.0,Atlanta full timeout,51-44, ,,2,51,44,7,1267.0
2:53.0,B. Bogdanović enters the game for O. Okongwu,51-44, ,,2,51,44,7,1267.0
2:53.0, ,51-45,S. Barnes makes free throw 1 of 2,,2,51,45,6,1267.0
2:53.0, ,51-45,S. Barnes misses free throw 2 of 2,,2,51,45,6,1267.0
2:49.0,Defensive rebound by C. Capela,51-45, ,,2,51,45,6,1271.0
2:36.0,T. Young misses 2-pt layup from 3 ft (block by J. Poeltl),51-45, ,,2,51,45,6,1284.0
2:34.0, ,51-45,Defensive rebound by J. Poeltl,,2,51,45,6,1286.0
2:17.0, ,51-47,S. Barnes makes 2-pt jump shot from 8 ft (assist by O. Anunoby),,2,51,47,4,1303.0
2:05.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),54-47, ,,2,54,47,7,1315.0
1:46.0, ,54-47,Turnover by J. Poeltl (bad pass; steal by D. Murray),,2,54,47,7,1334.0
1:38.0,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),57-47, ,,2,57,47,10,1342.0
1:20.0, ,57-47,D. Schröder misses 2-pt layup from 1 ft,,2,57,47,10,1360.0
1:18.0, ,57-47,Offensive rebound by J. Poeltl,,2,57,47,10,1362.0
1:12.0, ,57-47,P. Siakam misses 2-pt jump shot from 18 ft,,2,57,47,10,1368.0
1:09.0,Defensive rebound by T. Young,57-47, ,,2,57,47,10,1371.0
0:59.0,D. Murray makes 2-pt jump shot from 9 ft,59-47, ,,2,59,47,12,1381.0
0:52.0, ,59-49,J. Poeltl makes 2-pt jump shot from 11 ft (assist by S. Barnes),,2,59,49,10,1388.0
0:35.0,B. Bogdanović misses 2-pt hook shot from 7 ft (block by S. Barnes),59-49, ,,2,59,49,10,1405.0
0:31.0, ,59-49,Defensive rebound by J. Poeltl,,2,59,49,10,1409.0
0:27.0, ,59-49,Personal foul by T. Young (drawn by S. Barnes),,2,59,49,10,1413.0
0:23.0, ,59-49,D. Schröder misses 2-pt layup from 2 ft (block by C. Capela),,2,59,49,10,1417.0
0:18.0,Defensive rebound by D. Murray,59-49, ,,2,59,49,10,1422.0
0:01.0,B. Bogdanović misses 3-pt jump shot from 25 ft,59-49, ,,2,59,49,10,1439.0
0:01.0,Offensive rebound by Team,59-49, ,,2,59,49,10,1439.0
0:00.0,End of 2nd quarter,59-49,,,2,59,49,10,1440.0
12:00.0,Start of 3rd quarter,59-49,,,3,59,49,10,1440.0
11:49.0,D. Murray makes 2-pt jump shot from 17 ft,61-49, ,,3,61,49,12,1451.0
11:28.0, ,61-49,Shooting foul by O. Okongwu (drawn by P. Siakam),,3,61,49,12,1472.0
11:28.0, ,61-50,P. Siakam makes free throw 1 of 2,,3,61,50,11,1472.0
11:28.0, ,61-51,P. Siakam makes free throw 2 of 2,,3,61,51,10,1472.0
11:15.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Murray),64-51, ,,3,64,51,13,1485.0
10:56.0, ,64-51,D. Schröder misses 3-pt jump shot from 25 ft,,3,64,51,13,1504.0
10:53.0,Defensive rebound by O. Okongwu,64-51, ,,3,64,51,13,1507.0
10:41.0,Personal foul by J. Poeltl (drawn by T. Young),64-51, ,,3,64,51,13,1519.0
10:31.0,Turnover by T. Young (bad pass; steal by P. Siakam),64-51, ,,3,64,51,13,1529.0
10:26.0, ,64-53,O. Anunoby makes 2-pt layup from 1 ft (assist by S. Barnes),,3,64,53,11,1534.0
10:10.0,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),67-53, ,,3,67,53,14,1550.0
9:57.0, ,67-55,S. Barnes makes 2-pt layup from 1 ft,,3,67,55,12,1563.0
9:57.0, ,67-55,Shooting foul by C. Capela (drawn by S. Barnes),,3,67,55,12,1563.0
9:57.0, ,67-55,S. Barnes misses free throw 1 of 1,,3,67,55,12,1563.0
9:55.0,Defensive rebound by C. Capela,67-55, ,,3,67,55,12,1565.0
9:47.0,O. Okongwu makes 2-pt hook shot from 9 ft (assist by D. Murray),69-55, ,,3,69,55,14,1573.0
9:39.0, ,69-57,S. Barnes makes 2-pt dunk from 1 ft,,3,69,57,12,1581.0
9:27.0,Personal foul by J. Poeltl (drawn by T. Young),69-57, ,,3,69,57,12,1593.0
9:23.0,Personal foul by D. Schröder (drawn by T. Young),69-57, ,,3,69,57,12,1597.0
9:19.0,T. Young misses 3-pt jump shot from 27 ft,69-57, ,,3,69,57,12,1601.0
9:16.0,Offensive rebound by D. Murray,69-57, ,,3,69,57,12,1604.0
9:10.0,D. Murray makes 2-pt jump shot from 18 ft,71-57, ,,3,71,57,14,1610.0
9:01.0, ,71-57,S. Barnes misses 3-pt jump shot from 26 ft,,3,71,57,14,1619.0
8:58.0,Defensive rebound by D. Murray,71-57, ,,3,71,57,14,1622.0
8:54.0,S. Bey misses 3-pt jump shot from 26 ft,71-57, ,,3,71,57,14,1626.0
8:52.0, ,71-57,Defensive rebound by P. Siakam,,3,71,57,14,1628.0
8:48.0, ,71-57,Shooting foul by D. Murray (drawn by S. Barnes),,3,71,57,14,1632.0
8:48.0, ,71-58,S. Barnes makes free throw 1 of 2,,3,71,58,13,1632.0
8:48.0, ,71-58,S. Barnes misses free throw 2 of 2,,3,71,58,13,1632.0
8:46.0,Defensive rebound by T. Young,71-58, ,,3,71,58,13,1634.0
8:34.0,D. Murray misses 3-pt jump shot from 25 ft,71-58, ,,3,71,58,13,1646.0
8:31.0,Offensive rebound by O. Okongwu,71-58, ,,3,71,58,13,1649.0
8:30.0,Personal foul by D. Schröder (drawn by C. Capela),71-58, ,,3,71,58,13,1650.0
8:24.0,S. Bey misses 3-pt jump shot from 26 ft,71-58, ,,3,71,58,13,1656.0
8:21.0, ,71-58,Defensive rebound by O. Anunoby,,3,71,58,13,1659.0
8:12.0, ,71-61,P. Siakam makes 3-pt jump shot from 25 ft (assist by S. Barnes),,3,71,61,10,1668.0
7:51.0,T. Young makes 2-pt jump shot from 12 ft,73-61, ,,3,73,61,12,1689.0
7:43.0, ,73-61,Shooting foul by S. Bey (drawn by P. Siakam),,3,73,61,12,1697.0
7:43.0, ,73-61,P. Siakam misses free throw 1 of 2,,3,73,61,12,1697.0
7:43.0, ,73-61,Offensive rebound by Team,,3,73,61,12,1697.0
7:43.0, ,73-61,M. Flynn enters the game for D. Schröder,,3,73,61,12,1697.0
7:43.0, ,73-62,P. Siakam makes free throw 2 of 2,,3,73,62,11,1697.0
7:27.0,T. Young misses 3-pt jump shot from 26 ft,73-62, ,,3,73,62,11,1713.0
7:24.0, ,73-62,Defensive rebound by J. Poeltl,,3,73,62,11,1716.0
7:19.0, ,73-62,Turnover by O. Anunoby (traveling),,3,73,62,11,1721.0
7:07.0,Turnover by T. Young (bad pass; steal by J. Poeltl),73-62, ,,3,73,62,11,1733.0
7:03.0, ,73-64,S. Barnes makes 2-pt layup at rim (assist by P. Siakam),,3,73,64,9,1737.0
7:03.0,Atlanta full timeout,73-64, ,,3,73,64,9,1737.0
7:03.0,B. Bogdanović enters the game for O. Okongwu,73-64, ,,3,73,64,9,1737.0
6:49.0,T. Young makes 2-pt layup from 7 ft,75-64, ,,3,75,64,11,1751.0
6:37.0, ,75-64,Turnover by M. Flynn (lost ball; steal by T. Young),,3,75,64,11,1763.0
6:24.0,Turnover by S. Bey (out of bounds lost ball),75-64, ,,3,75,64,11,1776.0
6:19.0, ,75-64,Personal foul by C. Capela (drawn by J. Poeltl),,3,75,64,11,1781.0
6:19.0, ,75-64,J. Poeltl misses free throw 1 of 2,,3,75,64,11,1781.0
6:19.0, ,75-64,Offensive rebound by Team,,3,75,64,11,1781.0
6:19.0, ,75-65,J. Poeltl makes free throw 2 of 2,,3,75,65,10,1781.0
6:07.0,T. Young makes 2-pt jump shot from 11 ft,77-65, ,,3,77,65,12,1793.0
5:51.0, ,77-68,M. Flynn makes 3-pt jump shot from 25 ft (assist by P. Siakam),,3,77,68,9,1809.0
5:32.0,T. Young makes 3-pt jump shot from 30 ft,80-68, ,,3,80,68,12,1828.0
5:13.0, ,80-68,O. Anunoby misses 2-pt dunk from 6 ft (block by C. Capela),,3,80,68,12,1847.0
5:11.0,Defensive rebound by C. Capela,80-68, ,,3,80,68,12,1849.0
5:11.0,Turnover by C. Capela (bad pass),80-68, ,,3,80,68,12,1849.0
5:11.0,Loose ball foul by S. Bey (drawn by M. Flynn),80-68, ,,3,80,68,12,1849.0
5:11.0, ,80-68,M. Flynn misses free throw 1 of 2,,3,80,68,12,1849.0
5:11.0, ,80-68,Offensive rebound by Team,,3,80,68,12,1849.0
5:11.0,T. Forrest enters the game for S. Bey,80-68, ,,3,80,68,12,1849.0
5:11.0,G. Mathews enters the game for T. Young,80-68, ,,3,80,68,12,1849.0
5:11.0, ,80-68,G. Trent enters the game for S. Barnes,,3,80,68,12,1849.0
5:11.0, ,80-69,M. Flynn makes free throw 2 of 2,,3,80,69,11,1849.0
4:49.0,D. Murray misses 3-pt jump shot from 28 ft,80-69, ,,3,80,69,11,1871.0
4:45.0, ,80-69,Defensive rebound by J. Poeltl,,3,80,69,11,1875.0
4:37.0, ,80-69,M. Flynn misses 2-pt layup from 3 ft,,3,80,69,11,1883.0
4:36.0, ,80-69,Offensive rebound by J. Poeltl,,3,80,69,11,1884.0
4:31.0, ,80-69,Offensive foul by J. Poeltl (drawn by G. Mathews),,3,80,69,11,1889.0
4:31.0, ,80-69,Turnover by J. Poeltl (offensive foul),,3,80,69,11,1889.0
4:31.0, ,80-69,P. Achiuwa enters the game for J. Poeltl,,3,80,69,11,1889.0
