Time,Charlotte,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:03.0,G. Williams misses 3-pt jump shot from 35 ft,31-35, ,,2,35,31,4,837.0
10:02.0,Offensive rebound by Team,31-35, ,,2,35,31,4,838.0
10:02.0,Turnover by Team (shot clock),31-35, ,,2,35,31,4,838.0
9:44.0, ,31-35,B. Bogdanović misses 2-pt jump shot from 16 ft,,2,35,31,4,856.0
9:41.0,Defensive rebound by N. Richards,31-35, ,,2,35,31,4,859.0
9:34.0,B. Miller makes 2-pt jump shot from 20 ft,33-35, ,,2,35,33,2,866.0
9:21.0, ,33-37,B. Fernando makes 2-pt layup from 1 ft (assist by T. Forrest),,2,37,33,4,879.0
9:21.0, ,33-37,Shooting foul by N. Richards (drawn by B. Fernando),,2,37,33,4,879.0
9:21.0, ,33-37,G. Mathews enters the game for B. Bogdanović,,2,37,33,4,879.0
9:21.0, ,33-37,D. Murray enters the game for T. Forrest,,2,37,33,4,879.0
9:21.0, ,33-38,B. Fernando makes free throw 1 of 1,,2,38,33,5,879.0
9:05.0,T. Mann makes 2-pt layup from 2 ft (assist by G. Williams),35-38, ,,2,38,35,3,895.0
8:50.0, ,35-38,Turnover by D. Murray (back court),,2,38,35,3,910.0
8:42.0,D. Bertāns misses 3-pt jump shot from 23 ft,35-38, ,,2,38,35,3,918.0
8:39.0,Offensive rebound by N. Richards,35-38, ,,2,38,35,3,921.0
8:39.0,N. Richards misses 2-pt layup from 1 ft (block by B. Fernando),35-38, ,,2,38,35,3,921.0
8:35.0, ,35-38,Defensive rebound by G. Mathews,,2,38,35,3,925.0
8:30.0, ,35-38,D. Windler misses 3-pt jump shot from 26 ft,,2,38,35,3,930.0
8:30.0,Defensive rebound by T. Mann,35-38, ,,2,38,35,3,930.0
8:19.0,N. Richards makes 2-pt dunk from 1 ft (assist by G. Williams),37-38, ,,2,38,37,1,941.0
8:18.0,Technical foul by N. Richards,37-38, ,,2,38,37,1,942.0
8:18.0, ,37-39,D. Murray makes technical free throw,,2,39,37,2,942.0
8:18.0,M. Bridges enters the game for G. Williams,37-39, ,,2,39,37,2,942.0
8:07.0, ,37-39,D. Windler misses 3-pt jump shot from 25 ft,,2,39,37,2,953.0
8:03.0, ,37-39,Offensive rebound by B. Fernando,,2,39,37,2,957.0
8:00.0, ,37-39,G. Mathews misses 3-pt jump shot from 24 ft,,2,39,37,2,960.0
7:58.0,Defensive rebound by D. Bertāns,37-39, ,,2,39,37,2,962.0
7:51.0,N. Richards makes 2-pt layup from 1 ft (assist by T. Mann),39-39, ,Tie,2,39,39,0,969.0
7:50.0,Violation by Team (delay of game),39-39, ,,2,39,39,0,970.0
7:34.0, ,39-39,W. Matthews misses 2-pt jump shot from 4 ft,,2,39,39,0,986.0
7:30.0, ,39-39,Offensive rebound by B. Fernando,,2,39,39,0,990.0
7:29.0, ,39-42,D. Murray makes 3-pt jump shot from 25 ft (assist by B. Fernando),,2,42,39,3,991.0
7:16.0,B. Miller misses 3-pt jump shot from 26 ft,39-42, ,,2,42,39,3,1004.0
7:13.0, ,39-42,Defensive rebound by D. Murray,,2,42,39,3,1007.0
7:06.0, ,39-42,D. Murray misses 3-pt jump shot from 25 ft,,2,42,39,3,1014.0
7:03.0, ,39-42,Offensive rebound by B. Fernando,,2,42,39,3,1017.0
7:03.0, ,39-42,Shooting foul by M. Bridges (drawn by B. Fernando),,2,42,39,3,1017.0
7:03.0, ,39-43,B. Fernando makes free throw 1 of 2,,2,43,39,4,1017.0
7:03.0,V. Micić enters the game for T. Mann,39-43, ,,2,43,39,4,1017.0
7:03.0,A. Pokusevski enters the game for B. Miller,39-43, ,,2,43,39,4,1017.0
7:03.0, ,39-43,D. Hunter enters the game for W. Matthews,,2,43,39,4,1017.0
7:03.0, ,39-43,V. Krejci enters the game for D. Windler,,2,43,39,4,1017.0
7:03.0, ,39-44,B. Fernando makes free throw 2 of 2,,2,44,39,5,1017.0
6:47.0,D. Bertāns misses 3-pt jump shot from 25 ft,39-44, ,,2,44,39,5,1033.0
6:44.0, ,39-44,Defensive rebound by D. Murray,,2,44,39,5,1036.0
6:35.0, ,39-44,Shooting foul by N. Richards (drawn by G. Mathews),,2,44,39,5,1045.0
6:35.0, ,39-44,Atlanta full timeout,,2,44,39,5,1045.0
6:35.0,G. Williams enters the game for N. Richards,39-44, ,,2,44,39,5,1045.0
6:35.0, ,39-44,C. Capela enters the game for B. Fernando,,2,44,39,5,1045.0
6:35.0, ,39-45,G. Mathews makes free throw 1 of 2,,2,45,39,6,1045.0
6:35.0, ,39-45,G. Mathews misses free throw 2 of 2,,2,45,39,6,1045.0
6:32.0,Defensive rebound by M. Bridges,39-45, ,,2,45,39,6,1048.0
6:21.0,D. Bertāns misses 3-pt jump shot from 26 ft,39-45, ,,2,45,39,6,1059.0
6:18.0, ,39-45,Defensive rebound by D. Hunter,,2,45,39,6,1062.0
6:06.0, ,39-48,D. Hunter makes 3-pt jump shot from 24 ft (assist by D. Murray),,2,48,39,9,1074.0
5:53.0,Turnover by G. Williams (bad pass; steal by D. Murray),39-48, ,,2,48,39,9,1087.0
5:48.0, ,39-50,D. Hunter makes 2-pt layup at rim (assist by D. Murray),,2,50,39,11,1092.0
5:34.0,V. Micić misses 2-pt layup at rim,39-50, ,,2,50,39,11,1106.0
5:29.0, ,39-50,Defensive rebound by C. Capela,,2,50,39,11,1111.0
5:20.0, ,39-50,Turnover by V. Krejci (traveling),,2,50,39,11,1120.0
5:05.0,V. Micić makes 2-pt jump shot from 14 ft (assist by G. Williams),41-50, ,,2,50,41,9,1135.0
4:50.0, ,41-52,G. Mathews makes 2-pt jump shot from 12 ft (assist by C. Capela),,2,52,41,11,1150.0
4:42.0,Shooting foul by G. Mathews (drawn by V. Micić),41-52, ,,2,52,41,11,1158.0
4:42.0,V. Micić makes free throw 1 of 2,42-52, ,,2,52,42,10,1158.0
4:42.0,B. Miller enters the game for D. Bertāns,42-52, ,,2,52,42,10,1158.0
4:42.0, ,42-52,B. Bogdanović enters the game for G. Mathews,,2,52,42,10,1158.0
4:42.0,V. Micić makes free throw 2 of 2,43-52, ,,2,52,43,9,1158.0
4:29.0, ,43-52,D. Hunter misses 3-pt jump shot from 26 ft,,2,52,43,9,1171.0
4:26.0,Defensive rebound by A. Pokusevski,43-52, ,,2,52,43,9,1174.0
4:20.0,G. Williams misses 2-pt layup from 2 ft,43-52, ,,2,52,43,9,1180.0
4:18.0, ,43-52,Defensive rebound by Team,,2,52,43,9,1182.0
4:09.0, ,43-55,V. Krejci makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,55,43,12,1191.0
4:08.0,Charlotte full timeout,43-55, ,,2,55,43,12,1192.0
3:53.0,Turnover by G. Williams (out of bounds lost ball),43-55, ,,2,55,43,12,1207.0
3:41.0, ,43-58,D. Murray makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,2,58,43,15,1219.0
3:15.0,V. Micić misses 2-pt layup from 4 ft (block by C. Capela),43-58, ,,2,58,43,15,1245.0
3:14.0,Offensive rebound by V. Micić,43-58, ,,2,58,43,15,1246.0
3:14.0,Turnover by Team (shot clock),43-58, ,,2,58,43,15,1246.0
3:03.0, ,43-58,D. Murray misses 3-pt jump shot from 25 ft,,2,58,43,15,1257.0
3:00.0,Defensive rebound by A. Pokusevski,43-58, ,,2,58,43,15,1260.0
2:55.0,B. Miller misses 3-pt jump shot from 23 ft,43-58, ,,2,58,43,15,1265.0
2:51.0, ,43-58,Defensive rebound by V. Krejci,,2,58,43,15,1269.0
2:41.0, ,43-58,C. Capela misses 2-pt layup from 2 ft,,2,58,43,15,1279.0
2:38.0, ,43-58,Offensive rebound by B. Bogdanović,,2,58,43,15,1282.0
2:30.0, ,43-60,C. Capela makes 2-pt layup from 1 ft (assist by B. Bogdanović),,2,60,43,17,1290.0
2:17.0,V. Micić misses 3-pt jump shot from 26 ft,43-60, ,,2,60,43,17,1303.0
2:14.0, ,43-60,Defensive rebound by V. Krejci,,2,60,43,17,1306.0
1:58.0, ,43-60,Shooting foul by G. Williams (drawn by C. Capela),,2,60,43,17,1322.0
1:58.0, ,43-61,C. Capela makes free throw 1 of 2,,2,61,43,18,1322.0
1:58.0,T. Mann enters the game for A. Pokusevski,43-61, ,,2,61,43,18,1322.0
1:58.0,N. Richards enters the game for G. Williams,43-61, ,,2,61,43,18,1322.0
1:58.0, ,43-62,C. Capela makes free throw 2 of 2,,2,62,43,19,1322.0
1:46.0,V. Micić makes 2-pt layup from 1 ft,45-62, ,,2,62,45,17,1334.0
1:30.0, ,45-64,B. Bogdanović makes 2-pt jump shot from 12 ft,,2,64,45,19,1350.0
1:12.0,V. Micić misses 3-pt jump shot from 23 ft,45-64, ,,2,64,45,19,1368.0
1:09.0, ,45-64,Defensive rebound by D. Murray,,2,64,45,19,1371.0
1:03.0, ,45-64,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,64,45,19,1377.0
1:00.0, ,45-64,Offensive rebound by C. Capela,,2,64,45,19,1380.0
1:00.0, ,45-64,C. Capela misses 2-pt layup from 1 ft (block by M. Bridges),,2,64,45,19,1380.0
0:59.0, ,45-64,Offensive rebound by C. Capela,,2,64,45,19,1381.0
0:47.0, ,45-66,C. Capela makes 2-pt hook shot from 4 ft (assist by D. Murray),,2,66,45,21,1393.0
0:34.0,M. Bridges misses 3-pt jump shot from 26 ft,45-66, ,,2,66,45,21,1406.0
0:30.0, ,45-66,Defensive rebound by C. Capela,,2,66,45,21,1410.0
0:12.0, ,45-66,Turnover by V. Krejci (out of bounds lost ball),,2,66,45,21,1428.0
0:12.0,G. Williams enters the game for N. Richards,45-66, ,,2,66,45,21,1428.0
0:02.0,M. Bridges makes 3-pt jump shot from 24 ft (assist by V. Micić),48-66, ,,2,66,48,18,1438.0
0:00.0, ,48-66,C. Capela misses 3-pt jump shot from 73 ft,,2,66,48,18,1440.0
0:00.0, ,48-66,Offensive rebound by Team,,2,66,48,18,1440.0
0:00.0,End of 2nd quarter,48-66,,,2,66,48,18,1440.0
12:00.0,Start of 3rd quarter,48-66,,,3,66,48,18,1440.0
11:48.0,M. Bridges makes 2-pt layup from 2 ft (assist by B. Miller),50-66, ,,3,66,50,16,1452.0
11:34.0, ,50-66,B. Bogdanović misses 2-pt jump shot from 2 ft,,3,66,50,16,1466.0
11:33.0, ,50-66,Offensive rebound by C. Capela,,3,66,50,16,1467.0
11:32.0, ,50-66,C. Capela misses 2-pt layup from 1 ft (block by V. Micić),,3,66,50,16,1468.0
11:31.0, ,50-66,Offensive rebound by C. Capela,,3,66,50,16,1469.0
11:30.0, ,50-66,C. Capela misses 2-pt layup at rim,,3,66,50,16,1470.0
11:29.0,Defensive rebound by N. Richards,50-66, ,,3,66,50,16,1471.0
11:22.0,B. Miller misses 3-pt jump shot from 25 ft,50-66, ,,3,66,50,16,1478.0
11:18.0, ,50-66,Defensive rebound by D. Murray,,3,66,50,16,1482.0
11:04.0, ,50-66,D. Hunter misses 3-pt jump shot from 25 ft,,3,66,50,16,1496.0
11:02.0,Defensive rebound by N. Richards,50-66, ,,3,66,50,16,1498.0
10:51.0,T. Mann misses 2-pt jump shot from 11 ft,50-66, ,,3,66,50,16,1509.0
10:46.0, ,50-66,Defensive rebound by C. Capela,,3,66,50,16,1514.0
10:43.0, ,50-66,D. Hunter misses 2-pt layup from 1 ft (block by M. Bridges),,3,66,50,16,1517.0
10:41.0,Defensive rebound by N. Richards,50-66, ,,3,66,50,16,1519.0
10:30.0,M. Bridges makes 2-pt layup from 1 ft (assist by N. Richards),52-66, ,,3,66,52,14,1530.0
10:15.0, ,52-66,V. Krejci misses 3-pt jump shot from 23 ft,,3,66,52,14,1545.0
10:12.0,Defensive rebound by N. Richards,52-66, ,,3,66,52,14,1548.0
9:58.0,Shooting foul by D. Hunter (drawn by M. Bridges),52-66, ,,3,66,52,14,1562.0
9:58.0,M. Bridges misses free throw 1 of 2,52-66, ,,3,66,52,14,1562.0
9:58.0,Offensive rebound by Team,52-66, ,,3,66,52,14,1562.0
9:58.0,M. Bridges makes free throw 2 of 2,53-66, ,,3,66,53,13,1562.0
9:44.0, ,53-66,D. Hunter misses 3-pt jump shot from 26 ft,,3,66,53,13,1576.0
9:41.0,Defensive rebound by N. Richards,53-66, ,,3,66,53,13,1579.0
9:36.0,T. Mann makes 3-pt jump shot from 27 ft (assist by V. Micić),56-66, ,,3,66,56,10,1584.0
9:34.0, ,56-66,Atlanta full timeout,,3,66,56,10,1586.0
9:23.0, ,56-69,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),,3,69,56,13,1597.0
8:58.0,V. Micić misses 3-pt jump shot from 26 ft,56-69, ,,3,69,56,13,1622.0
8:55.0, ,56-69,Defensive rebound by C. Capela,,3,69,56,13,1625.0
8:43.0, ,56-71,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,3,71,56,15,1637.0
8:21.0,M. Bridges misses 2-pt jump shot from 10 ft,56-71, ,,3,71,56,15,1659.0
8:17.0, ,56-71,Defensive rebound by D. Murray,,3,71,56,15,1663.0
8:11.0, ,56-71,D. Murray misses 2-pt jump shot from 17 ft,,3,71,56,15,1669.0
8:07.0, ,56-71,Offensive rebound by C. Capela,,3,71,56,15,1673.0
8:07.0,Jump ball: C. Capela vs. T. Mann (B. Bogdanović gains possession),56-71,,,3,71,56,15,1673.0
8:02.0, ,56-74,V. Krejci makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,3,74,56,18,1678.0
7:44.0,Turnover by T. Mann (bad pass),56-74, ,,3,74,56,18,1696.0
7:26.0, ,56-74,D. Murray misses 2-pt jump shot from 10 ft,,3,74,56,18,1714.0
7:19.0,Defensive rebound by V. Micić,56-74, ,,3,74,56,18,1721.0
7:16.0,B. Miller makes 2-pt dunk from 1 ft (assist by V. Micić),58-74, ,,3,74,58,16,1724.0
7:16.0,Shooting foul by V. Krejci (drawn by B. Miller),58-74, ,,3,74,58,16,1724.0
7:16.0, ,58-74,G. Mathews enters the game for B. Bogdanović,,3,74,58,16,1724.0
7:16.0,B. Miller makes free throw 1 of 1,59-74, ,,3,74,59,15,1724.0
6:55.0, ,59-77,D. Murray makes 3-pt jump shot from 25 ft (assist by V. Krejci),,3,77,59,18,1745.0
6:41.0,T. Mann misses 3-pt jump shot from 25 ft,59-77, ,,3,77,59,18,1759.0
6:38.0, ,59-77,Defensive rebound by V. Krejci,,3,77,59,18,1762.0
6:35.0, ,59-77,Shooting foul by B. Miller (drawn by D. Hunter),,3,77,59,18,1765.0
6:35.0, ,59-78,D. Hunter makes free throw 1 of 2,,3,78,59,19,1765.0
6:35.0,A. Pokusevski enters the game for T. Mann,59-78, ,,3,78,59,19,1765.0
6:35.0, ,59-79,D. Hunter makes free throw 2 of 2,,3,79,59,20,1765.0
6:23.0,Personal foul by V. Krejci (drawn by B. Miller),59-79, ,,3,79,59,20,1777.0
6:23.0, ,59-79,B. Fernando enters the game for C. Capela,,3,79,59,20,1777.0
6:14.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by V. Micić),62-79, ,,3,79,62,17,1786.0
5:56.0, ,62-82,D. Murray makes 3-pt jump shot from 26 ft (assist by D. Hunter),,3,82,62,20,1804.0
5:39.0,M. Bridges misses 3-pt jump shot from 24 ft,62-82, ,,3,82,62,20,1821.0
5:38.0,Offensive rebound by Team,62-82, ,,3,82,62,20,1822.0
5:36.0,B. Miller misses 2-pt jump shot from 14 ft,62-82, ,,3,82,62,20,1824.0
5:32.0,Offensive rebound by M. Bridges,62-82, ,,3,82,62,20,1828.0
5:26.0,V. Micić misses 2-pt layup from 2 ft (block by G. Mathews),62-82, ,,3,82,62,20,1834.0
5:23.0,Offensive rebound by N. Richards,62-82, ,,3,82,62,20,1837.0
5:23.0,Shooting foul by B. Fernando (drawn by N. Richards),62-82, ,,3,82,62,20,1837.0
5:23.0,N. Richards makes free throw 1 of 2,63-82, ,,3,82,63,19,1837.0
5:23.0,N. Richards makes free throw 2 of 2,64-82, ,,3,82,64,18,1837.0
5:05.0, ,64-84,B. Fernando makes 2-pt layup from 2 ft (assist by D. Murray),,3,84,64,20,1855.0
4:43.0,B. Miller misses 3-pt jump shot from 26 ft,64-84, ,,3,84,64,20,1877.0
4:42.0,Offensive rebound by Team,64-84, ,,3,84,64,20,1878.0
4:42.0,G. Williams enters the game for N. Richards,64-84, ,,3,84,64,20,1878.0
4:38.0,G. Williams misses 3-pt jump shot from 25 ft,64-84, ,,3,84,64,20,1882.0
4:36.0, ,64-84,Defensive rebound by D. Murray,,3,84,64,20,1884.0
4:26.0, ,64-86,D. Hunter makes 2-pt jump shot from 7 ft (assist by D. Murray),,3,86,64,22,1894.0
4:12.0,Turnover by M. Bridges (bad pass; steal by B. Fernando),64-86, ,,3,86,64,22,1908.0
3:58.0, ,64-89,D. Murray makes 3-pt jump shot from 23 ft,,3,89,64,25,1922.0
3:57.0,Charlotte full timeout,64-89, ,,3,89,64,25,1923.0
3:43.0,Turnover by V. Micić (bad pass; steal by D. Murray),64-89, ,,3,89,64,25,1937.0
3:37.0, ,64-89,Offensive foul by D. Murray (drawn by G. Williams),,3,89,64,25,1943.0
3:37.0, ,64-89,Turnover by D. Murray (offensive foul),,3,89,64,25,1943.0
3:24.0,B. Miller makes 3-pt jump shot from 25 ft (assist by G. Williams),67-89, ,,3,89,67,22,1956.0
3:05.0, ,67-92,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),,3,92,67,25,1975.0
2:54.0,A. Pokusevski makes 3-pt jump shot from 23 ft (assist by V. Micić),70-92, ,,3,92,70,22,1986.0
2:34.0, ,70-92,B. Fernando misses 2-pt jump shot from 10 ft,,3,92,70,22,2006.0
2:31.0,Defensive rebound by M. Bridges,70-92, ,,3,92,70,22,2009.0
2:18.0,Shooting foul by G. Mathews (drawn by B. Miller),70-92, ,,3,92,70,22,2022.0
2:18.0,B. Miller misses free throw 1 of 2,70-92, ,,3,92,70,22,2022.0
2:18.0,Offensive rebound by Team,70-92, ,,3,92,70,22,2022.0
2:18.0,T. Mann enters the game for V. Micić,70-92, ,,3,92,70,22,2022.0
2:18.0, ,70-92,B. Bogdanović enters the game for D. Hunter,,3,92,70,22,2022.0
2:18.0, ,70-92,T. Forrest enters the game for V. Krejci,,3,92,70,22,2022.0
2:18.0, ,70-92,D. Windler enters the game for D. Murray,,3,92,70,22,2022.0
2:18.0,B. Miller misses free throw 2 of 2,70-92, ,,3,92,70,22,2022.0
2:15.0, ,70-92,Defensive rebound by G. Mathews,,3,92,70,22,2025.0
