Time,Boston,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:06.0,Personal foul by M. Robinson (drawn by K. Porziņģis),11-8, ,,1,11,8,3,354.0
6:06.0, ,11-8,J. Hart enters the game for R. Barrett,,1,11,8,3,354.0
5:58.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),14-8, ,,1,14,8,6,362.0
5:32.0, ,14-11,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Brunson),,1,14,11,3,388.0
5:18.0,Turnover by J. Tatum (bad pass; steal by J. Randle),14-11, ,,1,14,11,3,402.0
5:13.0, ,14-11,J. Randle misses 2-pt layup from 2 ft,,1,14,11,3,407.0
5:11.0,Defensive rebound by J. Brown,14-11, ,,1,14,11,3,409.0
5:05.0,J. Brown makes 2-pt layup from 1 ft,16-11, ,,1,16,11,5,415.0
4:57.0, ,16-11,New York full timeout,,1,16,11,5,423.0
4:57.0,S. Hauser enters the game for J. Brown,16-11, ,,1,16,11,5,423.0
4:57.0, ,16-11,I. Quickley enters the game for Q. Grimes,,1,16,11,5,423.0
4:38.0, ,16-11,J. Brunson misses 2-pt jump shot from 11 ft,,1,16,11,5,442.0
4:36.0,Defensive rebound by J. Tatum,16-11, ,,1,16,11,5,444.0
4:27.0,K. Porziņģis misses 3-pt jump shot from 26 ft,16-11, ,,1,16,11,5,453.0
4:25.0,Offensive rebound by A. Horford,16-11, ,,1,16,11,5,455.0
4:18.0,J. Tatum misses 3-pt jump shot from 27 ft,16-11, ,,1,16,11,5,462.0
4:16.0, ,16-11,Defensive rebound by J. Randle,,1,16,11,5,464.0
4:08.0, ,16-11,J. Brunson misses 2-pt jump shot from 9 ft,,1,16,11,5,472.0
4:06.0,Defensive rebound by S. Hauser,16-11, ,,1,16,11,5,474.0
3:57.0,J. Holiday makes 3-pt jump shot from 25 ft,19-11, ,,1,19,11,8,483.0
3:39.0, ,19-13,I. Quickley makes 2-pt jump shot from 16 ft (assist by J. Brunson),,1,19,13,6,501.0
3:19.0,Shooting foul by M. Robinson (drawn by K. Porziņģis),19-13, ,,1,19,13,6,521.0
3:19.0,K. Porziņģis makes free throw 1 of 2,20-13, ,,1,20,13,7,521.0
3:19.0,P. Pritchard enters the game for J. Holiday,20-13, ,,1,20,13,7,521.0
3:19.0, ,20-13,R. Barrett enters the game for J. Brunson,,1,20,13,7,521.0
3:19.0, ,20-13,D. DiVincenzo enters the game for J. Randle,,1,20,13,7,521.0
3:19.0, ,20-13,I. Hartenstein enters the game for M. Robinson,,1,20,13,7,521.0
3:19.0,K. Porziņģis makes free throw 2 of 2,21-13, ,,1,21,13,8,521.0
3:11.0, ,21-13,Turnover by J. Hart (bad pass; steal by J. Tatum),,1,21,13,8,529.0
3:00.0,J. Tatum makes 3-pt jump shot from 23 ft,24-13, ,,1,24,13,11,540.0
2:45.0, ,24-13,R. Barrett misses 2-pt jump shot from 5 ft (block by K. Porziņģis),,1,24,13,11,555.0
2:43.0,Defensive rebound by K. Porziņģis,24-13, ,,1,24,13,11,557.0
2:31.0,S. Hauser misses 3-pt jump shot from 25 ft,24-13, ,,1,24,13,11,569.0
2:30.0, ,24-13,Defensive rebound by Team,,1,24,13,11,570.0
2:30.0,Boston full timeout,24-13, ,,1,24,13,11,570.0
2:30.0,Instant Replay (Challenge: Stands),24-13, ,,1,24,13,11,570.0
2:30.0,J. Brown enters the game for J. Tatum,24-13, ,,1,24,13,11,570.0
2:17.0, ,24-15,R. Barrett makes 2-pt jump shot from 10 ft (assist by I. Quickley),,1,24,15,9,583.0
1:51.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by A. Horford),27-15, ,,1,27,15,12,609.0
1:39.0, ,27-18,J. Hart makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),,1,27,18,9,621.0
1:22.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by P. Pritchard),30-18, ,,1,30,18,12,638.0
1:08.0, ,30-18,I. Hartenstein misses 2-pt layup from 3 ft,,1,30,18,12,652.0
1:06.0,Defensive rebound by A. Horford,30-18, ,,1,30,18,12,654.0
1:02.0,P. Pritchard misses 3-pt jump shot from 27 ft,30-18, ,,1,30,18,12,658.0
1:00.0, ,30-18,Defensive rebound by I. Quickley,,1,30,18,12,660.0
0:50.0, ,30-18,D. DiVincenzo misses 2-pt layup from 3 ft,,1,30,18,12,670.0
0:48.0,Defensive rebound by P. Pritchard,30-18, ,,1,30,18,12,672.0
0:34.0,Personal foul by D. DiVincenzo (drawn by J. Brown),30-18, ,,1,30,18,12,686.0
0:34.0,J. Holiday enters the game for K. Porziņģis,30-18, ,,1,30,18,12,686.0
0:26.0,J. Brown misses 2-pt jump shot from 16 ft,30-18, ,,1,30,18,12,694.0
0:24.0, ,30-18,Defensive rebound by D. DiVincenzo,,1,30,18,12,696.0
0:05.0, ,30-18,R. Barrett misses 2-pt jump shot from 15 ft,,1,30,18,12,715.0
0:03.0, ,30-18,Offensive rebound by J. Hart,,1,30,18,12,717.0
0:01.0, ,30-18,D. DiVincenzo misses 3-pt jump shot from 25 ft,,1,30,18,12,719.0
0:00.0, ,30-18,Offensive rebound by Team,,1,30,18,12,720.0
0:00.0,End of 1st quarter,30-18,,,1,30,18,12,720.0
12:00.0,Start of 2nd quarter,30-18,,,2,30,18,12,720.0
11:46.0, ,30-21,I. Quickley makes 3-pt jump shot from 27 ft,,2,30,21,9,734.0
11:29.0,D. White makes 3-pt jump shot from 26 ft (assist by L. Kornet),33-21, ,,2,33,21,12,751.0
11:16.0, ,33-23,R. Barrett makes 2-pt jump shot from 6 ft (assist by I. Quickley),,2,33,23,10,764.0
11:16.0, ,33-23,Shooting foul by J. Brown (drawn by R. Barrett),,2,33,23,10,764.0
11:16.0, ,33-24,R. Barrett makes free throw 1 of 1,,2,33,24,9,764.0
10:52.0,J. Brown makes 2-pt jump shot from 12 ft,35-24, ,,2,35,24,11,788.0
10:36.0, ,35-26,I. Hartenstein makes 2-pt layup from 1 ft (assist by R. Barrett),,2,35,26,9,804.0
10:18.0,J. Brown misses 2-pt layup from 3 ft,35-26, ,,2,35,26,9,822.0
10:16.0, ,35-26,Defensive rebound by I. Quickley,,2,35,26,9,824.0
10:00.0, ,35-26,Turnover by R. Barrett (bad pass),,2,35,26,9,840.0
10:00.0, ,35-26,Loose ball foul by I. Hartenstein (drawn by D. White),,2,35,26,9,840.0
9:52.0,Offensive foul by A. Horford (drawn by D. DiVincenzo),35-26, ,,2,35,26,9,848.0
9:52.0,Turnover by A. Horford (offensive foul),35-26, ,,2,35,26,9,848.0
9:41.0, ,35-26,Turnover by I. Hartenstein (out of bounds lost ball),,2,35,26,9,859.0
9:29.0,Offensive foul by A. Horford (drawn by R. Barrett),35-26, ,,2,35,26,9,871.0
9:29.0,Turnover by A. Horford (offensive foul),35-26, ,,2,35,26,9,871.0
9:29.0,S. Hauser enters the game for J. Brown,35-26, ,,2,35,26,9,871.0
9:29.0,J. Tatum enters the game for A. Horford,35-26, ,,2,35,26,9,871.0
9:12.0, ,35-26,J. Hart misses 3-pt jump shot from 26 ft,,2,35,26,9,888.0
9:10.0,Defensive rebound by D. White,35-26, ,,2,35,26,9,890.0
9:01.0,L. Kornet misses 2-pt hook shot from 5 ft,35-26, ,,2,35,26,9,899.0
8:59.0, ,35-26,Defensive rebound by R. Barrett,,2,35,26,9,901.0
8:50.0, ,35-26,D. DiVincenzo misses 3-pt jump shot from 23 ft,,2,35,26,9,910.0
8:49.0, ,35-26,Offensive rebound by Team,,2,35,26,9,911.0
8:49.0,Loose ball foul by P. Pritchard (drawn by I. Hartenstein),35-26, ,,2,35,26,9,911.0
8:49.0,J. Holiday enters the game for P. Pritchard,35-26, ,,2,35,26,9,911.0
8:42.0, ,35-26,I. Quickley misses 3-pt jump shot from 27 ft,,2,35,26,9,918.0
8:40.0,Defensive rebound by J. Tatum,35-26, ,,2,35,26,9,920.0
8:36.0,J. Holiday makes 2-pt layup from 2 ft (assist by J. Tatum),37-26, ,,2,37,26,11,924.0
8:30.0, ,37-26,New York full timeout,,2,37,26,11,930.0
8:14.0, ,37-26,Shooting foul by S. Hauser (drawn by I. Quickley),,2,37,26,11,946.0
8:14.0, ,37-27,I. Quickley makes free throw 1 of 2,,2,37,27,10,946.0
8:14.0, ,37-28,I. Quickley makes free throw 2 of 2,,2,37,28,9,946.0
8:00.0,J. Tatum misses 2-pt jump shot from 11 ft,37-28, ,,2,37,28,9,960.0
7:58.0,Offensive rebound by L. Kornet,37-28, ,,2,37,28,9,962.0
7:56.0,S. Hauser misses 3-pt jump shot from 26 ft,37-28, ,,2,37,28,9,964.0
7:54.0, ,37-28,Defensive rebound by J. Hart,,2,37,28,9,966.0
7:46.0, ,37-28,J. Hart misses 3-pt jump shot from 25 ft,,2,37,28,9,974.0
7:44.0,Defensive rebound by Team,37-28, ,,2,37,28,9,976.0
7:44.0,K. Porziņģis enters the game for S. Hauser,37-28, ,,2,37,28,9,976.0
7:44.0, ,37-28,M. Robinson enters the game for I. Hartenstein,,2,37,28,9,976.0
7:30.0,J. Tatum misses 2-pt jump shot from 20 ft,37-28, ,,2,37,28,9,990.0
7:28.0, ,37-28,Defensive rebound by D. DiVincenzo,,2,37,28,9,992.0
7:22.0, ,37-28,Offensive foul by I. Quickley (drawn by J. Holiday),,2,37,28,9,998.0
7:22.0, ,37-28,Turnover by I. Quickley (offensive foul),,2,37,28,9,998.0
7:22.0, ,37-28,J. Brunson enters the game for D. DiVincenzo,,2,37,28,9,998.0
7:22.0, ,37-28,J. Randle enters the game for J. Hart,,2,37,28,9,998.0
7:05.0,J. Tatum makes 3-pt jump shot from 25 ft,40-28, ,,2,40,28,12,1015.0
6:47.0, ,40-28,J. Brunson misses 3-pt jump shot from 24 ft,,2,40,28,12,1033.0
6:45.0, ,40-28,Offensive rebound by M. Robinson,,2,40,28,12,1035.0
6:42.0, ,40-31,I. Quickley makes 3-pt jump shot from 25 ft (assist by M. Robinson),,2,40,31,9,1038.0
6:40.0,Boston full timeout,40-31, ,,2,40,31,9,1040.0
6:40.0,J. Brown enters the game for L. Kornet,40-31, ,,2,40,31,9,1040.0
6:22.0,Turnover by J. Holiday (bad pass; steal by M. Robinson),40-31, ,,2,40,31,9,1058.0
6:11.0, ,40-31,Personal foul by J. Brown (drawn by J. Randle),,2,40,31,9,1069.0
6:06.0, ,40-33,J. Brunson makes 2-pt jump shot from 18 ft (assist by J. Randle),,2,40,33,7,1074.0
5:52.0,J. Tatum misses 3-pt jump shot from 26 ft,40-33, ,,2,40,33,7,1088.0
5:50.0, ,40-33,Defensive rebound by I. Quickley,,2,40,33,7,1090.0
5:47.0, ,40-36,R. Barrett makes 3-pt jump shot from 25 ft (assist by I. Quickley),,2,40,36,4,1093.0
5:25.0,J. Holiday makes 2-pt jump shot from 16 ft,42-36, ,,2,42,36,6,1115.0
5:25.0, ,42-36,Q. Grimes enters the game for I. Quickley,,2,42,36,6,1115.0
5:00.0, ,42-36,J. Randle misses 2-pt jump shot from 13 ft,,2,42,36,6,1140.0
4:58.0,Defensive rebound by J. Tatum,42-36, ,,2,42,36,6,1142.0
4:45.0,Turnover by J. Holiday (bad pass; steal by R. Barrett),42-36, ,,2,42,36,6,1155.0
4:37.0, ,42-36,Shooting foul by D. White (drawn by M. Robinson),,2,42,36,6,1163.0
4:37.0,A. Horford enters the game for D. White,42-36, ,,2,42,36,6,1163.0
4:37.0, ,42-36,M. Robinson misses free throw 1 of 2,,2,42,36,6,1163.0
4:37.0, ,42-36,Offensive rebound by Team,,2,42,36,6,1163.0
4:37.0, ,42-36,M. Robinson misses free throw 2 of 2,,2,42,36,6,1163.0
4:36.0,Defensive rebound by J. Brown,42-36, ,,2,42,36,6,1164.0
4:13.0,J. Brown misses 3-pt jump shot from 26 ft,42-36, ,,2,42,36,6,1187.0
4:11.0, ,42-36,Defensive rebound by Team,,2,42,36,6,1189.0
4:00.0, ,42-36,J. Randle misses 2-pt layup from 3 ft (block by K. Porziņģis),,2,42,36,6,1200.0
3:58.0,Defensive rebound by A. Horford,42-36, ,,2,42,36,6,1202.0
3:54.0,Shooting foul by J. Brunson (drawn by J. Brown),42-36, ,,2,42,36,6,1206.0
3:54.0,J. Brown misses free throw 1 of 2,42-36, ,,2,42,36,6,1206.0
3:54.0,Offensive rebound by Team,42-36, ,,2,42,36,6,1206.0
3:54.0,J. Brown makes free throw 2 of 2,43-36, ,,2,43,36,7,1206.0
3:37.0, ,43-36,Q. Grimes misses 3-pt jump shot from 23 ft,,2,43,36,7,1223.0
3:35.0, ,43-36,Offensive rebound by M. Robinson,,2,43,36,7,1225.0
3:34.0, ,43-36,M. Robinson misses 2-pt hook shot from 1 ft (block by K. Porziņģis),,2,43,36,7,1226.0
3:32.0,Defensive rebound by K. Porziņģis,43-36, ,,2,43,36,7,1228.0
3:21.0,J. Tatum makes 2-pt layup from 1 ft,45-36, ,,2,45,36,9,1239.0
3:10.0, ,45-36,R. Barrett misses 3-pt jump shot from 25 ft,,2,45,36,9,1250.0
3:09.0,Defensive rebound by J. Tatum,45-36, ,,2,45,36,9,1251.0
2:59.0,J. Tatum misses 2-pt jump shot from 13 ft,45-36, ,,2,45,36,9,1261.0
2:58.0, ,45-36,Defensive rebound by J. Randle,,2,45,36,9,1262.0
2:49.0, ,45-36,J. Brunson misses 3-pt jump shot from 26 ft,,2,45,36,9,1271.0
2:47.0,Defensive rebound by A. Horford,45-36, ,,2,45,36,9,1273.0
2:33.0,J. Holiday misses 2-pt jump shot from 20 ft,45-36, ,,2,45,36,9,1287.0
2:31.0, ,45-36,Defensive rebound by J. Randle,,2,45,36,9,1289.0
2:27.0, ,45-36,J. Randle misses 2-pt layup from 3 ft (block by J. Tatum),,2,45,36,9,1293.0
2:25.0, ,45-36,Offensive rebound by J. Randle,,2,45,36,9,1295.0
2:16.0, ,45-39,Q. Grimes makes 3-pt jump shot from 25 ft (assist by J. Randle),,2,45,39,6,1304.0
1:57.0,J. Tatum makes 2-pt layup from 2 ft,47-39, ,,2,47,39,8,1323.0
1:44.0, ,47-39,R. Barrett misses 2-pt layup from 1 ft,,2,47,39,8,1336.0
1:42.0,Defensive rebound by K. Porziņģis,47-39, ,,2,47,39,8,1338.0
1:38.0,A. Horford makes 2-pt dunk from 1 ft (assist by J. Tatum),49-39, ,,2,49,39,10,1342.0
1:20.0, ,49-42,J. Brunson makes 3-pt jump shot from 25 ft,,2,49,42,7,1360.0
0:59.0,J. Tatum misses 3-pt jump shot from 25 ft,49-42, ,,2,49,42,7,1381.0
0:57.0,Offensive rebound by J. Holiday,49-42, ,,2,49,42,7,1383.0
0:57.0,Personal foul by M. Robinson (drawn by J. Holiday),49-42, ,,2,49,42,7,1383.0
0:57.0, ,49-42,I. Hartenstein enters the game for R. Barrett,,2,49,42,7,1383.0
0:57.0, ,49-42,J. Hart enters the game for M. Robinson,,2,49,42,7,1383.0
0:50.0,J. Holiday misses 3-pt jump shot from 25 ft,49-42, ,,2,49,42,7,1390.0
0:47.0, ,49-42,Defensive rebound by J. Hart,,2,49,42,7,1393.0
0:36.0, ,49-44,Q. Grimes makes 2-pt layup from 2 ft (assist by J. Brunson),,2,49,44,5,1404.0
0:29.0,J. Holiday misses 3-pt jump shot from 25 ft,49-44, ,,2,49,44,5,1411.0
0:27.0,Offensive rebound by A. Horford,49-44, ,,2,49,44,5,1413.0
0:24.0,J. Tatum makes 2-pt dunk from 1 ft (assist by A. Horford),51-44, ,,2,51,44,7,1416.0
0:03.0, ,51-44,Q. Grimes misses 3-pt jump shot from 27 ft,,2,51,44,7,1437.0
0:01.0, ,51-44,Offensive rebound by I. Hartenstein,,2,51,44,7,1439.0
0:01.0, ,51-46,I. Hartenstein makes 2-pt layup at rim,,2,51,46,5,1439.0
0:00.0, ,51-46,Instant Replay (Request: Stands),,2,51,46,5,1440.0
0:00.0,End of 2nd quarter,51-46,,,2,51,46,5,1440.0
12:00.0,Start of 3rd quarter,51-46,,,3,51,46,5,1440.0
11:37.0, ,51-46,J. Randle misses 3-pt jump shot from 25 ft,,3,51,46,5,1463.0
11:35.0,Defensive rebound by J. Tatum,51-46, ,,3,51,46,5,1465.0
11:24.0,J. Tatum makes 2-pt layup from 1 ft,53-46, ,,3,53,46,7,1476.0
11:24.0,Shooting foul by M. Robinson (drawn by J. Tatum),53-46, ,,3,53,46,7,1476.0
11:24.0, ,53-46,I. Hartenstein enters the game for M. Robinson,,3,53,46,7,1476.0
11:24.0,J. Tatum makes free throw 1 of 1,54-46, ,,3,54,46,8,1476.0
11:05.0, ,54-48,J. Randle makes 2-pt jump shot from 14 ft (assist by I. Hartenstein),,3,54,48,6,1495.0
10:40.0,J. Tatum makes 2-pt jump shot from 20 ft,56-48, ,,3,56,48,8,1520.0
10:24.0, ,56-48,J. Randle misses 2-pt layup from 3 ft (block by D. White),,3,56,48,8,1536.0
10:22.0,Defensive rebound by D. White,56-48, ,,3,56,48,8,1538.0
10:19.0,J. Tatum makes 2-pt dunk from 1 ft (assist by D. White),58-48, ,,3,58,48,10,1541.0
10:19.0, ,58-48,New York full timeout,,3,58,48,10,1541.0
10:04.0, ,58-50,J. Brunson makes 2-pt jump shot from 16 ft,,3,58,50,8,1556.0
9:49.0,K. Porziņģis misses 2-pt jump shot from 17 ft,58-50, ,,3,58,50,8,1571.0
9:47.0, ,58-50,Defensive rebound by J. Randle,,3,58,50,8,1573.0
9:29.0, ,58-50,J. Brunson misses 2-pt layup from 1 ft,,3,58,50,8,1591.0
9:28.0,Defensive rebound by Team,58-50, ,,3,58,50,8,1592.0
9:28.0, ,58-50,Loose ball foul by I. Hartenstein (drawn by J. Tatum),,3,58,50,8,1592.0
9:07.0,J. Holiday misses 2-pt layup from 4 ft,58-50, ,,3,58,50,8,1613.0
9:05.0, ,58-50,Defensive rebound by J. Randle,,3,58,50,8,1615.0
9:05.0, ,58-50,R. Barrett misses 2-pt layup from 2 ft (block by K. Porziņģis),,3,58,50,8,1615.0
9:03.0,Defensive rebound by J. Tatum,58-50, ,,3,58,50,8,1617.0
9:00.0,Personal foul by J. Brunson (drawn by D. White),58-50, ,,3,58,50,8,1620.0
8:54.0,Turnover by J. Tatum (bad pass; steal by J. Brunson),58-50, ,,3,58,50,8,1626.0
8:50.0, ,58-50,Turnover by J. Brunson (lost ball; steal by D. White),,3,58,50,8,1630.0
8:50.0,Personal foul by J. Brunson (drawn by J. Tatum),58-50, ,,3,58,50,8,1630.0
8:36.0,J. Brown misses 3-pt jump shot from 23 ft,58-50, ,,3,58,50,8,1644.0
8:34.0, ,58-50,Defensive rebound by I. Hartenstein,,3,58,50,8,1646.0
8:23.0, ,58-50,Turnover by R. Barrett (lost ball; steal by J. Tatum),,3,58,50,8,1657.0
8:21.0,J. Tatum makes 2-pt dunk at rim (assist by J. Brown),60-50, ,,3,60,50,10,1659.0
8:02.0, ,60-50,J. Brunson misses 2-pt layup from 2 ft,,3,60,50,10,1678.0
8:02.0, ,60-50,Offensive rebound by Team,,3,60,50,10,1678.0
8:02.0,Loose ball foul by K. Porziņģis (drawn by I. Hartenstein),60-50, ,,3,60,50,10,1678.0
7:56.0, ,60-50,Personal foul by J. Tatum (drawn by I. Hartenstein),,3,60,50,10,1684.0
7:47.0, ,60-50,Turnover by J. Brunson (lost ball; steal by J. Brown),,3,60,50,10,1693.0
7:44.0,J. Brown makes 2-pt dunk at rim,62-50, ,,3,62,50,12,1696.0
7:24.0, ,62-53,J. Brunson makes 3-pt jump shot from 23 ft (assist by R. Barrett),,3,62,53,9,1716.0
7:17.0,Offensive foul by K. Porziņģis (drawn by J. Brunson),62-53, ,,3,62,53,9,1723.0
7:17.0,Turnover by K. Porziņģis (offensive foul),62-53, ,,3,62,53,9,1723.0
7:03.0, ,62-53,J. Randle misses 3-pt jump shot from 26 ft,,3,62,53,9,1737.0
7:01.0,Defensive rebound by J. Holiday,62-53, ,,3,62,53,9,1739.0
6:57.0,D. White makes 2-pt layup from 1 ft (assist by J. Holiday),64-53, ,,3,64,53,11,1743.0
6:56.0, ,64-53,New York full timeout,,3,64,53,11,1744.0
6:56.0,A. Horford enters the game for K. Porziņģis,64-53, ,,3,64,53,11,1744.0
6:37.0, ,64-55,J. Randle makes 2-pt jump shot from 4 ft,,3,64,55,9,1763.0
6:37.0, ,64-55,Shooting foul by J. Holiday (drawn by J. Randle),,3,64,55,9,1763.0
6:37.0, ,64-55,J. Randle misses free throw 1 of 1,,3,64,55,9,1763.0
6:35.0, ,64-55,Offensive rebound by I. Hartenstein,,3,64,55,9,1765.0
6:32.0, ,64-58,Q. Grimes makes 3-pt jump shot from 26 ft (assist by J. Randle),,3,64,58,6,1768.0
6:10.0,A. Horford misses 3-pt jump shot from 23 ft,64-58, ,,3,64,58,6,1790.0
6:08.0, ,64-58,Defensive rebound by J. Randle,,3,64,58,6,1792.0
6:03.0, ,64-60,R. Barrett makes 2-pt layup from 2 ft (assist by J. Randle),,3,64,60,4,1797.0
5:57.0,J. Brown misses 2-pt layup at rim,64-60, ,,3,64,60,4,1803.0
5:55.0, ,64-60,Defensive rebound by Q. Grimes,,3,64,60,4,1805.0
5:49.0, ,64-63,J. Randle makes 3-pt jump shot from 23 ft (assist by J. Brunson),,3,64,63,1,1811.0
5:48.0,Boston full timeout,64-63, ,,3,64,63,1,1812.0
5:38.0,Shooting foul by I. Hartenstein (drawn by J. Brown),64-63, ,,3,64,63,1,1822.0
5:38.0,Instant Replay (Request: Ruling Stands),64-63, ,,3,64,63,1,1822.0
5:38.0, ,64-63,Technical foul by I. Hartenstein,,3,64,63,1,1822.0
5:38.0,Technical foul by J. Brown,64-63, ,,3,64,63,1,1822.0
5:38.0,J. Brown makes free throw 1 of 2,65-63, ,,3,65,63,2,1822.0
5:38.0,J. Brown makes free throw 2 of 2,66-63, ,,3,66,63,3,1822.0
5:19.0, ,66-66,J. Brunson makes 3-pt jump shot from 27 ft (assist by J. Randle),Tie,3,66,66,0,1841.0
4:54.0,D. White misses 3-pt jump shot from 25 ft,66-66, ,,3,66,66,0,1866.0
4:52.0, ,66-66,Defensive rebound by I. Hartenstein,,3,66,66,0,1868.0
4:36.0, ,66-66,R. Barrett misses 2-pt layup from 3 ft,,3,66,66,0,1884.0
4:34.0,Defensive rebound by D. White,66-66, ,,3,66,66,0,1886.0
4:32.0,Personal foul by J. Randle (drawn by D. White),66-66, ,,3,66,66,0,1888.0
4:32.0,D. White misses free throw 1 of 2,66-66, ,,3,66,66,0,1888.0
