Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:51.0, ,23-23,K. Porziņģis misses 3-pt jump shot from 29 ft,,1,23,23,0,489.0
3:48.0,Defensive rebound by M. Porter,23-23, ,,1,23,23,0,492.0
3:48.0,C. Braun enters the game for M. Porter,23-23, ,,1,23,23,0,492.0
3:32.0,N. Jokić makes 2-pt jump shot from 18 ft,25-23, ,Lead change,1,23,25,-2,508.0
3:16.0, ,25-23,Turnover by D. White (bad pass),,1,23,25,-2,524.0
2:56.0,P. Watson misses 3-pt jump shot from 25 ft,25-23, ,,1,23,25,-2,544.0
2:52.0, ,25-23,Defensive rebound by A. Horford,,1,23,25,-2,548.0
2:44.0, ,25-25,J. Brown makes 2-pt jump shot from 5 ft (assist by A. Horford),Tie,1,25,25,0,556.0
2:37.0,Personal foul by J. Brown (drawn by R. Jackson),25-25, ,,1,25,25,0,563.0
2:37.0,Denver full timeout,25-25, ,,1,25,25,0,563.0
2:37.0,J. Holiday enters the game for K. Caldwell-Pope,25-25, ,,1,25,25,0,563.0
2:37.0, ,25-25,J. Holiday enters the game for J. Brown,,1,25,25,0,563.0
2:37.0, ,25-25,P. Pritchard enters the game for K. Porziņģis,,1,25,25,0,563.0
2:37.0, ,25-25,J. Tatum enters the game for D. White,,1,25,25,0,563.0
2:25.0,C. Braun misses 3-pt jump shot from 28 ft,25-25, ,,1,25,25,0,575.0
2:23.0, ,25-25,Defensive rebound by A. Horford,,1,25,25,0,577.0
2:16.0, ,25-28,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),Lead change,1,28,25,3,584.0
1:56.0,P. Watson misses 3-pt jump shot from 24 ft,25-28, ,,1,28,25,3,604.0
1:54.0, ,25-28,Defensive rebound by P. Pritchard,,1,28,25,3,606.0
1:45.0, ,25-30,J. Tatum makes 2-pt jump shot from 19 ft,,1,30,25,5,615.0
1:27.0,N. Jokić makes 2-pt jump shot from 7 ft,27-30, ,,1,30,27,3,633.0
1:06.0, ,27-32,J. Tatum makes 2-pt dunk at rim (assist by S. Hauser),,1,32,27,5,654.0
0:50.0,P. Watson misses 2-pt jump shot from 6 ft,27-32, ,,1,32,27,5,670.0
0:49.0,Offensive rebound by Team,27-32, ,,1,32,27,5,671.0
0:37.0,R. Jackson makes 2-pt jump shot from 16 ft,29-32, ,,1,32,29,3,683.0
0:32.0, ,29-32,J. Tatum misses 3-pt jump shot from 28 ft,,1,32,29,3,688.0
0:27.0, ,29-32,Offensive rebound by J. Tatum,,1,32,29,3,693.0
0:25.0, ,29-32,S. Hauser misses 3-pt jump shot from 29 ft,,1,32,29,3,695.0
0:22.0,Defensive rebound by N. Jokić,29-32, ,,1,32,29,3,698.0
0:01.0,R. Jackson makes 2-pt hook shot from 13 ft (assist by N. Jokić),31-32, ,,1,32,31,1,719.0
0:00.0,End of 1st quarter,31-32,,,1,32,31,1,720.0
12:00.0,Start of 2nd quarter,31-32,,,2,32,31,1,720.0
11:50.0,C. Braun misses 3-pt jump shot from 27 ft,31-32, ,,2,32,31,1,730.0
11:46.0,Offensive rebound by R. Jackson,31-32, ,,2,32,31,1,734.0
11:36.0,A. Gordon misses 2-pt hook shot from 11 ft,31-32, ,,2,32,31,1,744.0
11:29.0, ,31-32,Defensive rebound by L. Kornet,,2,32,31,1,751.0
11:21.0, ,31-35,J. Tatum makes 3-pt jump shot from 29 ft,,2,35,31,4,759.0
11:06.0,Personal foul by P. Pritchard (drawn by P. Watson),31-35, ,,2,35,31,4,774.0
11:06.0, ,31-35,Violation by Team (delay of game),,2,35,31,4,774.0
10:55.0,Turnover by R. Jackson (bad pass),31-35, ,,2,35,31,4,785.0
10:37.0, ,31-37,J. Tatum makes 2-pt jump shot from 8 ft (assist by J. Holiday),,2,37,31,6,803.0
10:37.0, ,31-37,Shooting foul by P. Watson (drawn by J. Tatum),,2,37,31,6,803.0
10:37.0,M. Porter enters the game for C. Braun,31-37, ,,2,37,31,6,803.0
10:37.0, ,31-38,J. Tatum makes free throw 1 of 1,,2,38,31,7,803.0
10:29.0,Turnover by R. Jackson (traveling),31-38, ,,2,38,31,7,811.0
10:29.0,Denver full timeout,31-38, ,,2,38,31,7,811.0
10:11.0, ,31-38,J. Tatum misses 2-pt jump shot from 19 ft,,2,38,31,7,829.0
10:07.0,Defensive rebound by A. Gordon,31-38, ,,2,38,31,7,833.0
9:50.0,J. Murray makes 2-pt jump shot from 19 ft (assist by A. Gordon),33-38, ,,2,38,33,5,850.0
