Time,Boston,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:08.0, ,42-35,J. Champagnie enters the game for D. McDermott,,2,42,35,7,952.0
8:08.0, ,42-35,D. Vassell enters the game for B. Wesley,,2,42,35,7,952.0
7:55.0,J. Tatum makes 2-pt jump shot from 19 ft,44-35, ,,2,44,35,9,965.0
7:37.0, ,44-37,D. Vassell makes 2-pt jump shot from 13 ft (assist by V. Wembanyama),,2,44,37,7,983.0
7:14.0,L. Kornet makes 2-pt layup from 1 ft (assist by P. Pritchard),46-37, ,,2,46,37,9,1006.0
7:03.0, ,46-39,J. Sochan makes 2-pt layup from 1 ft (assist by T. Jones),,2,46,39,7,1017.0
7:03.0,Boston full timeout,46-39, ,,2,46,39,7,1017.0
7:03.0,J. Brown enters the game for S. Hauser,46-39, ,,2,46,39,7,1017.0
7:03.0, ,46-39,M. Branham enters the game for T. Jones,,2,46,39,7,1017.0
6:43.0,A. Horford misses 3-pt jump shot from 24 ft,46-39, ,,2,46,39,7,1037.0
6:40.0,Offensive rebound by L. Kornet,46-39, ,,2,46,39,7,1040.0
6:39.0,P. Pritchard misses 3-pt jump shot from 22 ft,46-39, ,,2,46,39,7,1041.0
6:35.0,Offensive rebound by J. Tatum,46-39, ,,2,46,39,7,1045.0
6:34.0,J. Tatum makes 2-pt layup at rim,48-39, ,,2,48,39,9,1046.0
6:34.0,D. White enters the game for P. Pritchard,48-39, ,,2,48,39,9,1046.0
6:12.0, ,48-39,D. Vassell misses 2-pt jump shot from 16 ft,,2,48,39,9,1068.0
6:10.0,Defensive rebound by L. Kornet,48-39, ,,2,48,39,9,1070.0
5:59.0,D. White misses 3-pt jump shot from 29 ft,48-39, ,,2,48,39,9,1081.0
5:56.0, ,48-39,Defensive rebound by J. Sochan,,2,48,39,9,1084.0
5:47.0, ,48-41,J. Sochan makes 2-pt layup from 3 ft (assist by V. Wembanyama),,2,48,41,7,1093.0
5:37.0,J. Brown misses 2-pt layup from 2 ft,48-41, ,,2,48,41,7,1103.0
5:34.0, ,48-41,Defensive rebound by J. Champagnie,,2,48,41,7,1106.0
5:33.0, ,48-43,M. Branham makes 2-pt dunk from 1 ft (assist by J. Champagnie),,2,48,43,5,1107.0
5:33.0, ,48-43,Shooting foul by D. White (drawn by M. Branham),,2,48,43,5,1107.0
5:33.0,K. Porziņģis enters the game for L. Kornet,48-43, ,,2,48,43,5,1107.0
5:33.0, ,48-44,M. Branham makes free throw 1 of 1,,2,48,44,4,1107.0
5:16.0,Shooting foul by J. Sochan (drawn by K. Porziņģis),48-44, ,,2,48,44,4,1124.0
5:16.0,K. Porziņģis makes free throw 1 of 2,49-44, ,,2,49,44,5,1124.0
5:16.0,O. Brissett enters the game for A. Horford,49-44, ,,2,49,44,5,1124.0
