Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:30.0,D. Hunter misses 3-pt jump shot from 28 ft,39-48, ,,2,48,39,9,1050.0
6:28.0, ,39-48,Defensive rebound by J. Tatum,,2,48,39,9,1052.0
6:22.0, ,39-48,J. Brown misses 3-pt jump shot from 23 ft,,2,48,39,9,1058.0
6:19.0,Defensive rebound by A. Griffin,39-48, ,,2,48,39,9,1061.0
6:04.0,A. Griffin misses 2-pt jump shot from 19 ft,39-48, ,,2,48,39,9,1076.0
6:02.0, ,39-48,Defensive rebound by J. Brown,,2,48,39,9,1078.0
5:47.0, ,39-48,J. Tatum misses 3-pt jump shot from 29 ft,,2,48,39,9,1093.0
5:45.0, ,39-48,Offensive rebound by N. Queta,,2,48,39,9,1095.0
5:44.0, ,39-48,N. Queta misses 2-pt layup from 2 ft,,2,48,39,9,1096.0
5:42.0, ,39-48,Offensive rebound by N. Queta,,2,48,39,9,1098.0
5:42.0, ,39-50,N. Queta makes 2-pt layup from 4 ft,,2,50,39,11,1098.0
5:42.0, ,39-50,Shooting foul by O. Okongwu (drawn by N. Queta),,2,50,39,11,1098.0
5:42.0,S. Bey enters the game for A. Griffin,39-50, ,,2,50,39,11,1098.0
5:42.0, ,39-50,S. Hauser enters the game for J. Tatum,,2,50,39,11,1098.0
5:42.0, ,39-51,N. Queta makes free throw 1 of 1,,2,51,39,12,1098.0
5:23.0,Jump ball: D. White vs. S. Bey (N. Queta gains possession),39-51,,,2,51,39,12,1117.0
5:23.0,Turnover by D. Murray (lost ball; steal by D. White),39-51, ,,2,51,39,12,1117.0
5:16.0, ,39-53,J. Brown makes 2-pt layup from 1 ft,,2,53,39,14,1124.0
5:02.0,O. Okongwu makes 2-pt layup from 4 ft (assist by D. Hunter),41-53, ,,2,53,41,12,1138.0
4:51.0, ,41-53,Personal foul by D. Murray (drawn by J. Brown),,2,53,41,12,1149.0
4:51.0,C. Capela enters the game for B. Bogdanović,41-53, ,,2,53,41,12,1149.0
4:51.0,T. Young enters the game for O. Okongwu,41-53, ,,2,53,41,12,1149.0
4:51.0, ,41-53,A. Horford enters the game for N. Queta,,2,53,41,12,1149.0
4:44.0, ,41-56,P. Pritchard makes 3-pt jump shot from 31 ft (assist by D. White),,2,56,41,15,1156.0
4:23.0,D. Murray misses 3-pt jump shot from 28 ft,41-56, ,,2,56,41,15,1177.0
