Time,Portland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:59.0, ,49-55,J. Holiday enters the game for S. Hauser,,2,55,49,6,1261.0
2:59.0, ,49-55,A. Horford enters the game for X. Tillman,,2,55,49,6,1261.0
2:46.0, ,49-55,A. Horford misses 3-pt jump shot from 26 ft,,2,55,49,6,1274.0
2:44.0,Defensive rebound by K. Murray,49-55, ,,2,55,49,6,1276.0
2:34.0,K. Murray misses 2-pt jump shot from 9 ft (block by K. Porziņģis),49-55, ,,2,55,49,6,1286.0
2:33.0,Offensive rebound by K. Murray,49-55, ,,2,55,49,6,1287.0
2:26.0,S. Henderson misses 3-pt jump shot from 27 ft,49-55, ,,2,55,49,6,1294.0
2:24.0, ,49-55,Defensive rebound by K. Porziņģis,,2,55,49,6,1296.0
2:17.0, ,49-55,K. Porziņģis misses 3-pt jump shot from 27 ft,,2,55,49,6,1303.0
2:16.0,Defensive rebound by D. Ayton,49-55, ,,2,55,49,6,1304.0
1:59.0,D. Ayton misses 2-pt hook shot from 5 ft,49-55, ,,2,55,49,6,1321.0
1:58.0, ,49-55,Defensive rebound by J. Brown,,2,55,49,6,1322.0
1:52.0, ,49-57,J. Brown makes 2-pt layup from 5 ft,,2,57,49,8,1328.0
1:52.0, ,49-57,Shooting foul by J. Minaya (drawn by J. Brown),,2,57,49,8,1328.0
1:52.0, ,49-58,J. Brown makes free throw 1 of 1,,2,58,49,9,1328.0
1:30.0,S. Henderson misses 2-pt jump shot from 14 ft,49-58, ,,2,58,49,9,1350.0
1:29.0, ,49-58,Defensive rebound by Team,,2,58,49,9,1351.0
1:25.0, ,49-58,Personal foul by J. Minaya (drawn by K. Porziņģis),,2,58,49,9,1355.0
1:25.0, ,49-59,K. Porziņģis makes free throw 1 of 2,,2,59,49,10,1355.0
1:25.0, ,49-60,K. Porziņģis makes free throw 2 of 2,,2,60,49,11,1355.0
1:06.0,D. Banton makes 3-pt jump shot from 27 ft (assist by J. Minaya),52-60, ,,2,60,52,8,1374.0
0:57.0, ,52-60,Turnover by D. White (out of bounds lost ball),,2,60,52,8,1383.0
0:45.0,Turnover by D. Banton (bad pass; steal by A. Horford),52-60, ,,2,60,52,8,1395.0
0:37.0, ,52-60,K. Porziņģis misses 2-pt layup from 3 ft (block by D. Ayton),,2,60,52,8,1403.0
0:35.0,Defensive rebound by D. Ayton,52-60, ,,2,60,52,8,1405.0
0:32.0,D. Banton makes 2-pt layup from 3 ft,54-60, ,,2,60,54,6,1408.0
0:11.0, ,54-63,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Brown),,2,63,54,9,1429.0
0:03.0,Personal take foul by J. Holiday (drawn by S. Henderson),54-63, ,,2,63,54,9,1437.0
0:00.0,D. Ayton makes 2-pt jump shot from 11 ft (assist by K. Murray),56-63, ,,2,63,56,7,1440.0
0:00.0, ,56-63,K. Porziņģis misses 3-pt jump shot from 67 ft,,2,63,56,7,1440.0
0:00.0, ,56-63,Offensive rebound by Team,,2,63,56,7,1440.0
0:00.0,End of 2nd quarter,56-63,,,2,63,56,7,1440.0
12:00.0,Start of 3rd quarter,56-63,,,3,63,56,7,1440.0
11:50.0,S. Henderson misses 3-pt jump shot from 26 ft,56-63, ,,3,63,56,7,1450.0
11:49.0,Offensive rebound by J. Walker,56-63, ,,3,63,56,7,1451.0
11:48.0,J. Walker misses 2-pt layup at rim (block by K. Porziņģis),56-63, ,,3,63,56,7,1452.0
11:46.0, ,56-63,Defensive rebound by K. Porziņģis,,3,63,56,7,1454.0
11:37.0, ,56-63,Def 3 sec tech foul by Team,,3,63,56,7,1463.0
11:37.0, ,56-63,K. Porziņģis misses technical free throw,,3,63,56,7,1463.0
11:37.0, ,56-63,Offensive rebound by Team,,3,63,56,7,1463.0
11:28.0, ,56-65,J. Brown makes 2-pt layup from 3 ft (assist by K. Porziņģis),,3,65,56,9,1472.0
